##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@코넥스기업
바이오시네틱스||||코넥스기업|02-2113-1285|서울특별시 금천구 가산디지털2로 184||||||||바이오시네틱스|708호 (가산동,벽산디지털밸리 2차)|||210203
바이오인프라생명과학||||코넥스기업|02-6271-0102|서울특별시 종로구 대학로 49||||||||바이오인프라생명과학|7층 (연건동)|||210203
바이오코아||||코넥스기업|02-2027-6200|서울특별시 금천구 디지털로9길 33||||||||바이오코아|(가산동,IT미래TOWER) 8층 바이오코아 (주)|||210203
바이오프로테크||||코넥스기업|033-735-7720|강원도 원주시 문막읍 동화공단로 151-3||||||||바이오프로테크|(동화첨단의료기기산업단지)|||210203
바이옵트로||||코넥스기업|031-8005-5155|경기도 용인시 기흥구 탑실로58번길 14||||||||바이옵트로||||210203
볼빅||||코넥스기업|02-424-5211|충청북도 음성군 대소면 대금로 628||||||||볼빅||||210203
비나텍||||코넥스기업|063-715-3020|전라북도 전주시 덕진구 운암로 15||||||||비나텍|(팔복동2가)|||210203
비보존||||코넥스기업|02-916-1004|경기도 용인시 기흥구 구성로 357||||||||비보존|디동 9층,10층 (청덕동,용인 테크노밸리)|||210203
비엔디생활건강||||코넥스기업|02-552-8481|충청북도 음성군 생극면 생극산단길 31||||||||비엔디생활건강|(주)비엔디생활건강|||210203
비엔에프코퍼레이션||||코넥스기업|032-564-6612|인천광역시 서구 보듬로 176||||||||비엔에프코퍼레이션||||210203
비트로시스||||코넥스기업|054-635-4533|경상북도 영주시 풍기읍 죽령로1371번길 17||||||||비트로시스||||210203
비플라이소프트||||코넥스기업|02-3487-0215|서울특별시 광진구 강변역로 2||||||||비플라이소프트|6층 (구의동,광진우체국)|||210203
빅텐츠||||코넥스기업|02-786-2245|서울특별시 강남구 도산대로 317||||||||빅텐츠|8층 (신사동,호림아트센터1빌딩)|||210203
산타크루즈컴퍼니||||코넥스기업|02-3446-8775|서울시 강남구 논현로 122길 10||||||||산타크루즈컴퍼니|(논현동,우연빌딩 5층)|||210203
삼보컴퓨터||||코넥스기업|031-489-3000|경기도 안산시 단원구 능안로 98-12||||||||삼보컴퓨터||||210203
삼중테크||||코넥스기업|02-3468-2311|서울시 강남구 언주로 337||||||||삼중테크|9층 (역삼동)|||210203
서울개인택시복지법인||||코넥스기업|02-569-2220|서울특별시 송파구 올림픽로 319||||||||서울개인택시복지법인|(신천동,교통회관)|||210203
서울바이오시스||||코넥스기업|1566-2771|경기도 안산시 단원구 산단로163번길 65-16||||||||서울바이오시스|1블럭 36호 (원시동)|||210203
선바이오||||코넥스기업|031-423-5467|경기도 군포시 산본로 95||||||||선바이오||||210203
세메스||||코넥스기업|041-620-8000|충청남도 천안시 서북구 직산읍 4산단 5길 77||||||||세메스||||210203
세종머티리얼즈||||코넥스기업|031-491-1850|경기도 안산시 단원구 성곡로 112||||||||세종머티리얼즈|(성곡동,반월공단 604블럭29롯트)|||210203
셀인바이오||||코넥스기업|031-695-7955|경기도 수원시 영통구 신원로 88||||||||셀인바이오|103-1308 (신동,디지털엠파이어2)|||210203
셀젠텍||||코넥스기업|042-822-9482|대전광역시 유성구 유성대로 579-4||||||||셀젠텍|(구암동)|||210203
소리대장간||||코넥스기업|1588-3975|대전광역시 대덕구 덕암북로70번길 7||||||||소리대장간|(덕암동)|||210203
소프트캠프||||코넥스기업|02-3453-9999|경기도 성남시 분당구 판교로228번길 17||||||||소프트캠프|이랜텍동 3층 (삼평동,판교세븐벤처밸리2)|||210203
수프로||||코넥스기업|02-6300-2444|서울시 서초구 강남대로 27||||||||수프로|aT센터 1301호|||210203
스템랩||||코넥스기업|02-7586-9619|서울특별시 성북구 안암로 145||||||||스템랩|고려대학교 (자연계캠퍼스) 산학관 711호|||210203
시그넷이브이||||코넥스기업|070-4618-6057|전라남도 영광군 대마면 전기차로 49||||||||시그넷이브이||||210203
시큐센||||코넥스기업|02-3497-6980|서울특별시 서초구 반포대로 13||||||||시큐센|2층 (서초동,아이티센빌딩)|||210203
썬테크||||코넥스기업|061-721-2222||전라남도 순천시 해룡면 신성리 901-1|||||||썬테크||||210203
씨브이네트||||코넥스기업|031-218-1800|경기도 수원시 영통구 매영로345번길 111||||||||씨브이네트|경기방송국 2층|||210203
씨알푸드||||코넥스기업|043-645-4100|충청북도 제천시 바이오밸리1로 85||||||||씨알푸드||||210203
씨앗||||코넥스기업|062-940-7200|광주광역시 광산구 평동산단로169번길 40||||||||씨앗|(월전동926)|||210203
씨앤에스링크||||코넥스기업|070-8786-6458|경기도 성남시 분당구 방아로16번길 11||||||||씨앤에스링크|메카텍빌딩 3층|||210203
씨이랩||||코넥스기업|031-628-6810|서울특별시 강남구 논현로76길 9||||||||씨이랩|4층 (역삼동,서울강남빌딩)|||210203
씨티네트웍스||||코넥스기업|041-742-0609|충남 논산시 연무읍 신화길 12||||||||씨티네트웍스||||210203
씽크풀||||코넥스기업|1666-6300|서울특별시 영등포구 국제금융로 70||||||||씽크풀|(여의도동,미원빌딩 15층)|||210203
아리바이오||||코넥스기업|02-2637-0009|경기도 성남시 분당구 판교로228번길 15||||||||아리바이오|2동 301호 (삼평동,판교세븐벤처밸리1)|||210203
아이엔오기술||||코넥스기업|02-2027-0200||서울특별시 금천구 가산동 60-11|||||||아이엔오기술|스타밸리 1009호|||210203
아이엘사이언스||||코넥스기업|031-757-5100|경기도 성남시 중원구 마지로 123-1||||||||아이엘사이언스|아이엘밸리|||210203
아이케이세미콘||||코넥스기업|02-3153-7090|서울특별시 마포구 성암로 179||||||||아이케이세미콘|8층 (상암동,한샘상암)|||210203
아이피몬스터||||코넥스기업|02-414-9909|광주광역시 남구 송암로 60||||||||아이피몬스터|광주 CGI센터 402호|||210203
아주엠씨엠||||코넥스기업|054-974-5500|경상북도 칠곡군 왜관읍 공단로 286||||||||아주엠씨엠||||210203
아하정보통신||||코넥스기업|031-997-0909|경기도 김포시 양촌읍 황금로109번길 67||||||||아하정보통신|(학운리)|||210203
안국바이오진단||||코넥스기업|02-457-9308|강원도 춘천시 소양강로 40||||||||안국바이오진단|(후평동,춘천바이오타운 바이오2동 308호)|||210203
안지오랩||||코넥스기업|042-867-5786|대전광역시 유성구 테크노3로 65||||||||안지오랩|(관평동,한신에스메카)|||210203
알로이스||||코넥스기업|070-8680-5501|경기도 성남시 중원구 양현로405번길 4-5||||||||알로이스|3층|||210203
앙츠||||코넥스기업|02-2677-9915|서울특별시 영등포구 양산로 53||||||||앙츠|(양평동3가,월드메르디앙비즈센터) 911호|||210203
앤알커뮤니케이션||||코넥스기업|02-3016-9822|서울특별시 강남구 테헤란로7길 8||||||||앤알커뮤니케이션|14층 (역삼동,BYC빌딩)|||210203
앤유엔터테인먼트||||코넥스기업|02-565-1676|서울특별시 강남구 학동로82길 7||||||||앤유엔터테인먼트|HYUN빌딩 (삼성동,HYUN빌딩 4층)|||210203
엄지하우스||||코넥스기업|02-550-7800|서울특별시 강남구 테헤란로28길 25||||||||엄지하우스||||210203
에듀파트너||||코넥스기업|02-6337-5433|서울특별시 마포구 양화로 125||||||||에듀파트너|8층 (서교동,경남관광빌딩)|||210203
에브리봇||||코넥스기업|070-4913-8805|경기도 성남시 분당구 판교역로 240||||||||에브리봇|삼환하이펙스 에이동 1001호|||210203
에스알바이오텍||||코넥스기업|031-726-3134|경기도 성남시 중원구 둔촌대로 484||||||||에스알바이오텍|시콕스타워 B101호|||210203
에스앤디||||코넥스기업|043-710-8000|충청북도 청주시 흥덕구 오송읍 오송생명4로 163||||||||에스앤디||||210203
에스에이티이엔지||||코넥스기업|031-433-4711|경기도 시흥시 군자천로21번길 66||||||||에스에이티이엔지|시화공단2바 707호 (정왕동)|||210203
에스엔피제네틱스||||코넥스기업|02-3273-1671|서울특별시 마포구 백범로 35||||||||에스엔피제네틱스|(신수동) 서강대학교 티이관 1007호|||210203
에스엘에스바이오||||코넥스기업|031-275-5522|경기도 수원시 영통구 창룡대로 260||||||||에스엘에스바이오|광교센트럴비즈타워 7층|||210203
에스엠면세점||||코넥스기업|02-2120-6735|서울특별시 종로구 인사동 5길 41||||||||에스엠면세점||||210203
에스엠비나||||코넥스기업|02-6953-7020|서울특별시 마포구 마포대로 53||||||||에스엠비나|비동 803호 (도화동,마포트라팰리스)|||210203
에스제이켐||||코넥스기업|041-881-9454|전라북도 익산시 왕궁면 무왕로 2243-23||||||||에스제이켐||||210203
에스케이씨에스||||코넥스기업|031-761-7703|경기도 광주시 초월읍 산수로554번길 47||||||||에스케이씨에스||||210203
에스코어||||코넥스기업|070-7125-5114|경기도 성남시 분당구 황새울로 258번길 31||||||||에스코어|9층 (수내동,분당예미지빌딩)|||210203
에스피반도체통신||||코넥스기업|032-680-7777|경기도 부천시 원미구 평천로 832번길 30||||||||에스피반도체통신|(도당동)|||210203
에어미디어||||코넥스기업|02-3485-3000|서울특별시 성동구 성수일로 8길 5||||||||에어미디어|1509호 (성수동2가,서울숲에스케이브이1타워)|||210203
에이비온||||코넥스기업|02-6006-7610|서울특별시 구로구 디지털로 242||||||||에이비온|915호 (구로동,한화비즈메트로 1차)|||210203
에이원알폼||||코넥스기업|031-8017-5305|충청북도 괴산군 괴산읍 대제산단3길 46||||||||에이원알폼||||210203
에이치엔에스하이텍||||코넥스기업|042-866-1300||대전광역시 유성구 관평동 757-2|||||||에이치엔에스하이텍||||210203
에이치케이자산관리대부||||코넥스기업|02-3468-4011|대전광역시 서구 둔산서로 81||||||||에이치케이자산관리대부|(둔산동 1305)|||210203
에이펙스인텍||||코넥스기업|054-976-7667|경상북도 칠곡군 가산면 인동가산로 619-9||||||||에이펙스인텍||||210203
에이플러스라이프||||코넥스기업|02-6006-0618|서울특별시 강남구 역삼로 415||||||||에이플러스라이프|(대치동,성진빌딩)|||210203
에코텍||||코넥스기업|070-5031-9628|서울특별시 금천구 가산디지털1로 168||||||||에코텍|(가산동,우림라이온스밸리)|||210203
에프앤가이드||||코넥스기업|02-769-7700|서울특별시 강서구 마곡중앙2로 61||||||||에프앤가이드||||210203
엔솔바이오사이언스||||코넥스기업|042-939-4500|대전광역시 유성구 테크노10로 51||||||||엔솔바이오사이언스|(탑립동)|||210203
엔에스컴퍼니||||코넥스기업|052-289-2888|경상북도 경주시 외동읍 구어2산단로 127||||||||엔에스컴퍼니||||210203
엘리비젼||||코넥스기업|032-576-3050|인천광역시 남동구 논현고잔로 109번길 105||||||||엘리비젼|비동 202호 (고잔동)|||210203
엘에스아이앤디||||코넥스기업|031-8068-3020|경기도 안양시 동안구 엘에스로 127||||||||엘에스아이앤디|301 (호계동,LS타워 3층)|||210203
엘에이티||||코넥스기업|031-8019-5050|경기도 수원시 권선구 서부로 1433-100||||||||엘에이티|수원산업2단지 (고색동)|||210203
엠로||||코넥스기업|02-785-9848|서울특별시 영등포구 당산로41길 11||||||||엠로|이동 5층 (당산동4가,당산에스케이브이1센터)|||210203
엠앤씨생명과학||||코넥스기업|031-731-1401|경기도 성남시 중원구 갈마치로 215||||||||엠앤씨생명과학|A동 807호 (상대원동,금강펜테리움아이티타워)|||210203
엠에프엠코리아||||코넥스기업|02-531-5780|서울특별시 강남구 도곡로 204||||||||엠에프엠코리아|4층 (도곡동,동신빌딩)|||210203
엠텍비젼||||코넥스기업|031-627-0100|경기도 성남시 분당구 판교로 255번길 58||||||||엠텍비젼|씨즈타워 6층|||210203
옐로페이||||코넥스기업|02-6354-9110|서울특별시 강남구 논현로168길 39||||||||옐로페이|301호 (신사동,원빌딩)|||210203
완도전복||||코넥스기업|061-555-3600|전라남도 완도군 완도읍 농공단지8길 11||||||||완도전복|(죽청리)|||210203
원바이오젠||||코넥스기업|054-462-7965|경상북도 구미시 1공단로5길 56||||||||원바이오젠|(공단동)|||210203
원텍||||코넥스기업|042-934-6802|대전광역시 유성구 테크노8로 64||||||||원텍|(용산동)|||210203
위세아이텍||||코넥스기업|02-6246-1400|경기도 성남시 분당구 판교로 253||||||||위세아이텍|이노벨리C동 5층|||210203
위월드||||코넥스기업|042-630-0600|대전시 유성구 테크노7로 32-4||||||||위월드||||210203
유니텍||||코넥스기업|02-3281-8431|서울특별시 구로구 디지털로33길 55||||||||유니텍|이앤씨벤쳐드림타워2차 601호|||210203
유니포인트||||코넥스기업|02-6676-5500|서울특별시 동작구 남부순환로 2049||||||||유니포인트|(사당동 네오티스빌딩 2층)|||210203
유비온||||코넥스기업|02-3782-8771|서울특별시 구로구 디지털로34길 27||||||||유비온|601호|||210203
유쎌||||코넥스기업|063-834-6877|전라북도 익산시 함열읍 익산대로78길 265||||||||유쎌||||210203
유투바이오||||코넥스기업|1577-1338|서울특별시 송파구 거마로 65||||||||유투바이오|(마천동)|||210203
이노벡스||||코넥스기업|070-7707-0932|경기도 수원시 영통구 청명남로 3||||||||이노벡스|(영통동,케이티빌딩 3층)|||210203
이비테크||||코넥스기업|042-930-7510|대전광역시 유성구 테크노2로 170-9||||||||이비테크|(용산동) 이비테크 (주)|||210203
이에스산업||||코넥스기업|041-424-8200|충청남도 천안시 서북구 성거읍 모전1길 354-43||||||||이에스산업|이에스산업 (주)|||210203
이엔드디||||코넥스기업|043-268-8588|충청북도 청주시 흥덕구 직지대로409번길 37||||||||이엔드디|(송정동)|||210203
이엠티||||코넥스기업|070-7166-0203|충청북도 충주시 대소원면 첨단산업3로 85-1||||||||이엠티||||210203
인카금융서비스||||코넥스기업|02-2192-8916|서울특별시 성동구 성수이로7길 27||||||||인카금융서비스|(성수동2가,서울숲코오롱디지탈타워2차)|||210203
인터코스||||코넥스기업|032-815-8081|인천광역시 남동구 남동서로362번길 62||||||||인터코스|(남촌동)|||210203
인프라웨어테크놀러지||||코넥스기업|02-6003-8800|서울특별시 금천구 가산디지털1로 19||||||||인프라웨어테크놀러지|대륭테크노타운18차 20층|||210203
자비스||||코넥스기업|031-740-3800||경기도 성남시 중원구 상대원동 133-1|||||||자비스|금강하이테크벨리 619호|||210203
자일대우자동차판매||||코넥스기업|032-680-6915|인천광역시 부평구 부평대로 337||||||||자일대우자동차판매|(청천동)|||210203
전우정밀||||코넥스기업|053-859-5404|경상북도 경산시 진량읍 공단8로 24||||||||전우정밀||||210203
제노텍||||코넥스기업|042-862-8404|대전광역시 유성구 가정북로 26-69||||||||제노텍|(장동)|||210203
제놀루션||||코넥스기업|02-3010-8670|서울특별시 송파구 법원로11길 11||||||||제놀루션|A동 506호 (문정동,문정현대지식산업센터)|||210203
제로웹||||코넥스기업|070-4659-2311|부산광역시 해운대구 수영강변대로 140||||||||제로웹|806호 (우동,부산문화콘텐츠컴플렉스)|||210203
제주국제컨벤션센터||||코넥스기업|064-735-1000|제주특별자치도 서귀포시 중문관광로 224||||||||제주국제컨벤션센터|(중문동)|||210203
젠큐릭스||||코넥스기업|070-7508-2340|서울특별시 구로구 디지털로 242||||||||젠큐릭스|402,403,404,908,910,911호|||210203
조인트리||||코넥스기업|1670-6031|광주광역시 광산구 상무대로 287||||||||조인트리|(소촌동),3층|||210203
주노콜렉션||||코넥스기업|031-970-2955|경기도 고양시 덕양구 지도로 44||||||||주노콜렉션|1,2,3,4,5,6층 (토당동)|||210203
지놈앤컴퍼니||||코넥스기업|031-628-0150|경기도 성남시 분당구 판교로 253||||||||지놈앤컴퍼니|A동 801,802,806호|||210203
지앤이헬스케어||||코넥스기업|1688-8845|경기도 하남시 조정대로 150||||||||지앤이헬스케어|365호,366호,368호,370호,371호|||210203
지에스엘제약||||코넥스기업|043-855-3071|서울특별시 금천구 벚꽃로 278||||||||지에스엘제약|(가산동,SJ테크노빌)|||210203
지오씨||||코넥스기업|062-973-6114|광주광역시 북구 첨단벤처로60번길 10||||||||지오씨|(대촌동)|||210203
질경이||||코넥스기업|070-8952-5702|서울특별시 서초구 사임당로 32||||||||질경이|2층 (서초동,재우빌딩)|||210203
청광종건||||코넥스기업|02-3461-3600|서울 강남구 언주로 550||||||||청광종건||||210203
카이노스메드||||코넥스기업|02-567-7419|경기도 성남시 분당구 대왕판교로712번길 16||||||||카이노스메드|한국파스퇴르연구소 4층|||210203
케미메디||||코넥스기업|02-3443-9252|경상북도 안동시 풍산읍 산업단지길 88||||||||케미메디|(재)경북바이오벤처프라자 3층 302호|||210203
케이디비생명보험||||코넥스기업|1588-4040|서울특별시 용산구 한강대로 372||||||||케이디비생명보험|(동자동,센트레빌아스테리움서울)|||210203
케이디이노베이션||||코넥스기업|051-265-4771|부산광역시 사하구 다대로300번길 22||||||||케이디이노베이션|(장림동)|||210203
케이아이티||||코넥스기업|02-476-4231|경상북도 포항시 북구 중흥로125번길 18||||||||케이아이티|(죽도동,2층)|||210203
케이알투자증권||||코넥스기업|02-2168-7400|서울특별시 영등포구 여의나루로 57||||||||케이알투자증권|14층 (여의도동,신송센타빌딩)|||210203
케이티파워텔||||코넥스기업|02-2166-0130|서울특별시 양천구 목동서로 201||||||||케이티파워텔|(목동)|||210203
코리아2000||||코넥스기업|031-638-3750|경기도 이천시 호법면 중부대로866번길 15||||||||코리아2000||||210203
코리아로터리서비스||||코넥스기업|041-629-4000|충청남도 천안시 동남구 만남로 82||||||||코리아로터리서비스|(신부동)|||210203
코셋||||코넥스기업|062-975-8811|광주시 북구 첨단벤처로60번길 39||||||||코셋||||210203
코스텍시스||||코넥스기업|032-821-0162|인천광역시 남동구 능허대로625번길 43||||||||코스텍시스|(고잔동,남동공단 136B-3L)|||210203
코엔스||||코넥스기업|0510740-5091|부산광역시 해운대구 센텀6로 21||||||||코엔스|901호|||210203
코캄||||코넥스기업|031-362-0100|경기도 수원시 장안구 경수대로 1220번길 30-78||||||||코캄||||210203
큐엠씨||||코넥스기업|031-427-0710|경기도 안양시 동안구 흥안대로439번길 55||||||||큐엠씨|(관양동,QMC)|||210203
크로넥스||||코넥스기업|02-557-3982|경기도 화성시 팔탄면 주석로778번길 55||||||||크로넥스|(기천리)|||210203
탑선||||코넥스기업|061-399-1500|전라남도 장성군 동화면 전자농공단지길 32||||||||탑선||||210203
태양기계||||코넥스기업|031-354-9150|경기도 화성시 팔탄면 푸른들판로 843-24||||||||태양기계||||210203
테크엔||||코넥스기업|053-593-5678|대구광역시 달성군 구지면 국가산단대로50길 99||||||||테크엔||||210203
테크트랜스||||코넥스기업|053-815-8830|경상북도 경산시 진량읍 금박로 656-6||||||||테크트랜스||||210203
투에버||||코넥스기업|053-757-9000|대구광역시 동구 동대구로 503||||||||투에버|(신천동)|||210203
툴젠||||코넥스기업|02-873-8168|서울특별시 금천구 가산디지털1로 219||||||||툴젠|(가산동) 벽산디지털밸리 6차 1204,1205,1206|||210203
티씨엠생명과학||||코넥스기업|031-698-3041|경기도 성남시 분당구 판교로228번길 15||||||||티씨엠생명과학|3동 3층 (삼평동,판교세븐벤처밸리 1)|||210203
티에스아이||||코넥스기업|031-667-2623|경기도 화성시 향남읍 발안로 702-66||||||||티에스아이|(주)티에스아이|||210203
티케이씨||||코넥스기업|032-818-6440|인천광역시 남동구 남동서로269번길 4||||||||티케이씨||||210203
티티씨디펜스||||코넥스기업|02-406-3789|서울특별시 송파구 법원로9길 26||||||||티티씨디펜스|씨동 505호 (문정동,에이치비지니스파크)|||210203
틸론||||코넥스기업|02-2627-9005|서울특별시 구로구 디지털로 288||||||||틸론|대륭포스트타워 1차 1602호|||210203
파마리서치바이오||||코넥스기업|031-8039-1401|강원도 강릉시 사임당로 641-3||||||||파마리서치바이오||||210203
파워풀엑스||||코넥스기업|02-500-8088|서울특별시 강남구 논현로115길 13||||||||파워풀엑스|파워풀엑스빌딩|||210203
