##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@태권도장
야무진태권도||||태권도장|728-2888||기장군 정관면 용수리 1366-3|||||||야무진태권도|제일프라자 5층|||20311
타이거즈/태권도장||||태권도장|791-2522||중동 1686|||||||타이거즈 태권도장|성호1차A 상가3층 305호|||20311
KMC체육관||||태권도장|442-7589||주안6동 927-26|||||||KMC체육관|4층|||20311
차우영태권스쿨||||태권도장|952-4567||광산구 수완동 905|||||||차우영태권스쿨|201호|||20311
용인대태권도장||||태권도장|252-3330||창원시 팔용동 원풍벽산B블럭 123-1|||||||용인대태권도장|5층|||20311
크로바체육관||||태권도장|041-951-6667||충남 서천군 서천읍 군사리 598-8|||||||크로바체육관||||20311
태극태권도장||||태권도장|831-4946||전북 익산시 부송동 1039-12|||||||태극태권도장||||20311
상무/체육관||||태권도장|0337619883||원주시 반곡동 1763-4층 |||||||상무 체육관||||20311
금강/체육관||||태권도장|748-7839|강원도 원주시 남산로 141||||||||금강 체육관|(일산동)|||20311
평원/체육관||||태권도장|744-4166|강원도 원주시 평원초교길 10||||||||평원 체육관|(단계동)|||20311
원주/체육관||||태권도장|033-743-8590|강원도 원주시 입춘로 110||||||||원주 체육관|파라다이스빌딩 4층 (반곡동)|||20311
상지대태권아카데미||||태권도장|763-5777|강원도 원주시 늘품로 43||||||||상지대태권아카데미|(단구동)|||20311
무궁화/체육관||||태권도장|0337618910|강원도 원주시 단관초교길 22-3||||||||무궁화 체육관|2층 (관설동)|||20311
지킴이/체육관||||태권도장|0337426632|강원도 원주시 단관길 195||||||||지킴이 체육관|(관설동)|||20311
성원/체육관||||태권도장|033-747-7942|강원도 원주시 흥양로51번길 11||||||||성원 체육관|(태장동)|||20311
무궁화제1/체육관||||태권도장|735-5456|강원도 원주시 건등로 20||||||||무궁화제1 체육관||||20311
리틀다윗태권도스쿨||||태권도장|5449779||진해시 자은동 870-4|||||||리틀다윗태권도스쿨||||20311
삼문태권도장||||태권도장|313-0808||김해시 장유면 삼문리 60-3|||||||삼문태권도장|젤미마을부영A상가내 4층|||20311
혜종태권도예절관||||태권도장|635-3178||거제시 사등면 덕호리 107-36|||||||혜종태권도예절관||||20311
블랙벨트월드태권도||||태권도장|223-6778|전북 전주시 완산구 호암로 63||||||||블랙벨트월드태권도|명이빌딩 3층 (효자동2가)|||20311
건국대/정훈||||태권도장|933-6322||서울 노원구 상계동 740-1|||||||건국대 정훈|주공2단지 영은유치원 401호|||20311
한체대에이스태권도||||태권도장|032-513-3560||인천 부평구 부평동 132|||||||한체대에이스태권도|13호 2층|||20311
수영태권도||||태권도장|051-742-5506||부산 해운대구 우2동 1185-63|||||||수영태권도||||20311
한국부부태권도||||태권도장|211-8999||전북 전주시 덕진구 반월동 남양@상가 2층 |||||||한국부부태권도||||20311
드래곤||||태권도장|254-4200||대전 중구 용두동 21-4|||||||드래곤|3층|||20311
탑||||태권도장|931-8979||서울특별시 노원구 중계동 450|||||||탑|2층|||20311
큰솔태권도||||태권도장|952-0727||광주 광산구 장덕동 1306|||||||큰솔태권도|진흥수완더루벤스상가|||20311
한양태권도||||태권도장|954-3603||광주 광산구 신가동 302-42|||||||한양태권도|5층|||20311
청룡태권도교육관||||태권도장|453-9621||전북 군산시 조촌동 844|||||||청룡태권도교육관||||20311
부림체육관본관||||태권도장|582-1884||경남 함안군 가야읍 도항리 318-5|||||||부림체육관본관||||20311
늘푸른||||태권도장|042-628-2992||대전광역시 동구 가양동 651-13|||||||늘푸른|2층|||20311
도원결의태권도||||태권도장|502-4488||동래구 사직동 56-24|||||||도원결의태권도||||20311
백호||||태권도장|583-2866||중구 문화동 676-6|||||||백호|2층|||20311
엘리트태권스쿨||||태권도장|054-444-0980||경북 구미시 도량동 90|||||||엘리트태권스쿨||||20311
나토얀태권도스쿨||||태권도장|2643-1024||서울 강서구 화곡4동 799-22호 2층 |||||||나토얀태권도스쿨||||20311
천하무적||||태권도장|879-2234|서울특별시 관악구 양녕로6길 75||||||||천하무적|101호|||20311
한국||||태권도장|02-858-1273||서울 관악구 조원동 547-23|||||||한국|4층|||20311
한체대선도태권도장||||태권도장|574-2722||경기 남양주시 진접읍 장현리 381-19|||||||한체대선도태권도장|2층|||20311
이정민태권스쿨||||태권도장|054-275-0016|경상북도 포항시 남구 상공로46번길 6-1||||||||이정민태권스쿨|1층 (대도동)|||20311
대성태권스쿨||||태권도장|653-6162|강원도 강릉시 경강로 2537||||||||대성태권스쿨|2층 대성태권스쿨 (견소동)|||20311
문현대영태권도||||태권도장|632-9924|부산 남구 고동골로78번길 91||||||||문현대영태권도|(문현동,부산은행)|||20311
죽도힘찬해오름태권스쿨||||태권도장|054-275-9969||경북 포항시 북구 죽도동 212-20|||||||죽도힘찬해오름태권스쿨|2층|||20311
아름찬코리아||||태권도장|400-4691||서울특별시 송파구 송파동 48-18|||||||아름찬코리아|2층|||20311
고려대석사경찰||||태권도장|431-1112||서울 송파구 가락동 154-18|||||||고려대석사경찰|대성빌딩|||20311
용인대승리||||태권도장|858-5085||서울 구로구 가리봉1동 115-113|||||||용인대승리|2층|||20311
청무체육관||||태권도장|264-5656||부산 사하구 다대2동 120-1|||||||청무체육관|맘모스상가 4층|||20311
백호용인대태권도||||태권도장|561-5505||인천 서구 연희동 776-4|||||||백호용인대태권도|호반18블럭상가2층 201호|||20311
투혼경희대태권도||||태권도장|513-9544||인천광역시 부평구 부평6동 669-2|||||||투혼경희대태권도|영혜빌딩|||20311
경희대/효||||태권도장|374-9997||서울 마포구 상암동 333-1|||||||경희대 효|타워클리닉 6층|||20311
부국태권도장||||태권도장|032-818-5262|인천 연수구 앵고개로264번길 18||||||||부국태권도장|6층 (동춘동,정방빌딩)|||20311
JM/태권스쿨||||태권도장|772-1632||인천 동구 송현동 12-32|||||||JM 태권스쿨||||20311
한미태권도스쿨||||태권도장|032-764-1287||인천 동구 송림동 43-12|||||||한미태권도스쿨|한미빌딩 4층|||20311
MTA태권도장||||태권도장|309-2008|서울특별시 서대문구 응암로 86||||||||MTA태권도장|지상 3층|||20311
박사태권도||||태권도장|0522852230|울산광역시 중구 남외3길 7||||||||박사태권도|(남외동)|||20311
태권TREE||||태권도장|055-383-3429||경상남도 양산시 물금읍 범어리 2711-3|||||||태권TREE|청암프라자 제5층 제502호|||20311
금메달/태권도/교육관||||태권도장|568-0908||인천 서구 당하동 44블럭 1|||||||금메달 태권도 교육관|2롯트 대주파크빌상가 301,302호|||20311
익스트림태권도||||태권도장|032-563-2205|인천광역시 서구 청라커낼로 223번길 9||||||||익스트림태권도|1층 101호 (경서동)|||20311
해랑태권도장||||태권도장|||대전광역시 유성구 반석동 621-5|||||||해랑태권도장|양지타워 402호|||20311
화랑태권도장||||태권도장|04-484-6999||서울특별시 강동구 천호2동 317-2|||||||화랑태권도장|3층|||20311
효동태권도||||태권도장|062-522-1041||광주광역시 북구 중흥3동 802-28|||||||효동태권도||||20311
초은태권도||||태권도장|032-567-0830|인천광역시 서구 청라에메랄드로 30||||||||초은태권도|204,205호 (연희동,청라자이상가)|||20311
해광태권도우리아이태권스쿨||||태권도장|032-562-6669|인천광역시 서구 청라에메랄드로76번길 14||||||||해광태권도우리아이태권스쿨|2층 (연희동,호반베르디움 제상가동 201,202호)|||20311
계명대활기찬태권도||||태권도장||대구광역시 달성군 대실역북로 38||||||||계명대활기찬태권도|120동 201호 (대실역청아람1단지)|||20311
연세상일태권도장||||태권도장|032-511-0795||인천광역시 부평구 산곡1동 38-5|||||||연세상일태권도장||||20311
황실태권도스포츠짐||||태권도장|053-253-6601|대구광역시 중구 남산로 61||||||||황실태권도스포츠짐|3층|||20311
한양대챔피언체육관||||태권도장|02-937-4864||서울특별시 노원구 상계동 1281|||||||한양대챔피언체육관|코오롱A상가 2층 201~202호|||20311
경희대태권도교육관||||태권도장|932-2687||서울특별시 노원구 상계1동 994|||||||경희대태권도교육관|명안빌딩 4층 1호|||20311
둥글이태권도||||태권도장||경기도 고양시 일산동구 강촌로 157||||||||둥글이태권도|6층 602,603호 (마두동,서울코아)|||20311
고려태권도장||||태권도장||경기도 고양시 일산서구 강선로 92||||||||고려태권도장|동부부영상가동 201호 (주엽동,강선마을 5단지아파트)|||20311
나토얀||||태권도장|||경기 고양시 덕양구 성사동 722-3|||||||나토얀|신원당프라자 4층 4호|||20311
용인대석사중앙태권도||||태권도장|461-8781|경기도 군포시 송부로273번안길 3-7||||||||용인대석사중앙태권도|1층 (부곡동)|||20311
21세기태권도장||||태권도장|394-6904||경기 군포시 산본동 1066-2|||||||21세기태권도장|대현프라자 302호|||20311
참태권도체육관||||태권도장|351-8234||경기 부천시 소사구 소사본동 135|||||||참태권도체육관|SK뷰아파트 상가동 207,208호|||20311
부천고려태권도||||태권도장|672-1780||경기 부천시 원미구 약대동 91-3|||||||부천고려태권도|약대빌딩 6층|||20311
비전태권도장||||태권도장|681-0582||경기 부천시 오정구 고강동 295|||||||비전태권도장|1호 4층|||20311
예전태권도||||태권도장|679-2174||경기 부천시 오정구 고강동 325|||||||예전태권도|9호 3층|||20311
에이원태권도장||||태권도장|0625720700||북구 본촌동 3019|||||||에이원태권도장||||20311
무림제3체육관||||태권도장|854-9999||사천시 사천읍 정의리 425-9|||||||무림제3체육관||||20311
아승태권도체육관||||태권도장|055-356-8184||밀양시 상남면 예림리 1136-5|||||||아승태권도체육관||||20311
쌍용태권도체육관||||태권도장|934-0020||경남 합천군 합천읍 합천리 869-34|||||||쌍용태권도체육관||||20311
워너비태권도장||||태권도장|062-373-9353|광주 서구 염화로45번길 17||||||||워너비태권도장|상가 3층 (화정동,라인동산아파트)|||20311
태권도무사단국가대표영웅태권도장||||태권도장|032-262-8801|인천 계양구 양지로 131||||||||태권도무사단국가대표영웅태권도장|3층 (귤현동)|||20311
엘리트태권도장||||태권도장|054-436-8283|경북 김천시 혁신5로 48||||||||엘리트태권도장|호원빌딩 4층 (율곡동)|||20311
한양대태권도장||||태권도장|010-2436-9907|경기 안산시 상록구 각골로 55||||||||한양대태권도장|연지프라자 2층 204호 (본오동,연지프라자)|||20311
고려캡틴태권도장||||태권도장|031-919-7555|경기 고양시 일산서구 산현로 38||||||||고려캡틴태권도장|상가 2층 204호 (일산동)|||20311
조한태권도장||||태권도장|032-361-6811|인천 부평구 부흥북로 174||||||||조한태권도장|(부개동)|||20311
캡틴코리아/태권도장||||태권도장|02-459-5600|서울 강남구 밤고개로1길 22||||||||캡틴코리아 태권도장|4층 401호 (수서동)|||20311
강동부부태권도장||||태권도장|0512084150||부산 사하구 감천동 143-3|||||||강동부부태권도장||||20311
고려운정태권도장||||태권도장|031-939-0302|경기 파주시 와석순환로 35||||||||고려운정태권도장|휴먼시아 한빛마을 상가동 2층 203,304호 (야당동,한빛마을8단지휴먼시아아파트|||20311
분당용인대명문태권도장||||태권도장|031-711-1105|경기 성남시 분당구 불정로 195||||||||분당용인대명문태권도장|상가동 2층 205,206,211~213호 (정자동,정든마을우성6단지아파트)|||20311
성남태권도장||||태권도장|031-757-9777|경기 성남시 중원구 원터로17번길 23||||||||성남태권도장|3층 (하대원동)|||20311
엘리트리더태권도장||||태권도장|031-715-7075|경기 성남시 분당구 미금로 177||||||||엘리트리더태권도장|상가동 3층 301호 (구미동,까치마을신원아파트)|||20311
파주경희대멘토태권도장||||태권도장|031-944-3698|경기 파주시 교하로159번길 7||||||||파주경희대멘토태권도장|목동프라자2 5층501~503호 (목동동)|||20311
논현용인대백호태권도장||||태권도장|032-429-1005|인천 남동구 에코중앙로156번길 1||||||||논현용인대백호태권도장|2~3층 (논현동)|||20311
오천경희대인성태권도장||||태권도장|061-743-6629|전남 순천시 오천6길 6-10||||||||오천경희대인성태권도장|(오천동)|||20311
다한태권도장||||태권도장|051-714-3609|부산 서구 대영로 34||||||||다한태권도장|(서대신동1가)|||20311
비호태권도장||||태권도장|964-3383||대구 동구 서호동 76-2|||||||비호태권도장|2층|||20311
일신체육관||||태권도장|416-2462||부산광역시 영도구 청학2동 86-4|||||||일신체육관||||20311
경희대/휘경||||태권도장|2246-6100||서울 동대문구 휘경동 78|||||||경희대 휘경|롯데@ 상가 2층|||20311
쌍용백마태권도||||태권도장|315-5277||부산광역시 사상구 엄궁동 678-1|||||||쌍용백마태권도||||20311
신동아태권도장||||태권도장|061-686-7833||여수시 학동 54|||||||신동아태권도장|신동아파밀리에상가 2동 203호|||20311
건강한태권도||||태권도장|476-3396||대구 남구 이천동 121-70|||||||건강한태권도|이천주공 1단지상가 지하1층 1호|||20311
반여유성체육관||||태권도장|521-1888||반여1동 1652|||||||반여유성체육관|6층|||20311
리라태권도장||||태권도장|842-4233||충북 충주시 연수동 666-3|||||||리라태권도장|4층|||20311
용인대챔피온태권도장||||태권도장|041-554-6502||충남 천안시 두정동 664|||||||용인대챔피온태권도장|골드프라자 401호|||20311
경호태권도교실||||태권도장|064-747-5022|제주특별자치도 제주시 신대로 125||||||||경호태권도교실|2층 (연동)|||20311
명성태권스쿨||||태권도장|053-741-8966||대구 수성구 수성동3가 57|||||||명성태권스쿨|롯데캐슬 101동 209호|||20311
영웅/체육관||||태권도장|836-4117||충북 증평군 증평읍 초중리 595-4|||||||영웅 체육관||||20311
승리태권도체육관||||태권도장|055-632-2579||경남 거제시 상동동 대동다숲아파트상가 405호 |||||||승리태권도체육관||||20311
문화체육관||||태권도장|223-8580||경남 마산시 월남동4가 5-4|||||||문화체육관||||20311
동아대부산체육관||||태권도장|291-2876||사하구 괴정2동 356-1|||||||동아대부산체육관|제일빌딩 3층|||20311
용인대석사태권스쿨||||태권도장|2295-8866||서울 성동구 금호동4가 서울숲푸르지오아파트 상가 201호 |||||||용인대석사태권스쿨||||20311
최강두리태권도||||태권도장|544-2322||대전 서구 관저동 1405|||||||최강두리태권도|502호|||20311
강호동/태권도||||태권도장|054-931-3116||경북 성주군 성주읍 경산리 772-6|||||||강호동 태권도||||20311
마전태권도교육관||||태권도장|041-753-5138||충남 금산군 추부면 마전리 549-3|||||||마전태권도교육관||||20311
한국체대비전태권도||||태권도장|032-671-5758||경기 부천시 오정구 원종동 206-3|||||||한국체대비전태권도||||20311
한신2태권도||||태권도장|070-7333-9338||부산광역시 부산진구 연지동 199-7|||||||한신2태권도|2층|||20311
경희대태권스쿨||||태권도장|032-466-5959|인천 남동구 독곡로 46||||||||경희대태권스쿨|서진빌딩 201호 (서창동)|||20311
효나눔태권도||||태권도장|062-971-7720|광주광역시 광산구 월계로 122||||||||효나눔태권도||||20311
길라잡이/태권도장||||태권도장|033-257-0528|강원도 춘천시 서부대성로 33||||||||길라잡이 태권도장|(소양로2가,ms마트상가 3층)|||20311
용인대예사랑태권도(용두관)||||태권도장|042-255-0935||대전광역시 중구 용두동 25-1|||||||용인대예사랑태권도(용두관)||||20311
J.H/GYM태권도장||||태권도장|032-425-5510|인천 미추홀구 주안동로 43-1||||||||J.H GYM태권도장|영림빌딩 4층 (주안동,영림빌딩)|||20311
고려대박사태권도장||||태권도장|02-556-0708|서울특별시 강남구 언주로 314||||||||고려대박사태권도장|3층 (역삼동)|||20311
봉선태권도장||||태권도장|062-651-3013||광주 남구 봉선동 985|||||||봉선태권도장||||20311
단웅태권도장(가오관)||||태권도장|042-286-1062|대전 동구 신기로 85||||||||단웅태권도장(가오관)|4층 (가오동)|||20311
국가대표효태권도장||||태권도장|02-356-9664|서울 은평구 진흥로 267-16||||||||국가대표효태권도장|삼성레미안상가 201~204호 (불광동)|||20311
용인정도태권도장||||태권도장|031-285-6688|경기 용인시 기흥구 구성로 102||||||||용인정도태권도장|푸른종합상가 2층 209호 (언남동)|||20311
용인용호태권도장||||태권도장|031-896-3377|경기 용인시 기흥구 죽현로 29||||||||용인용호태권도장|현대휴먼프라자 5층 501,502호 (보정동,현대휴먼프라자)|||20311
용인대한결태권도장||||태권도장|02-358-9911|경기 고양시 덕양구 동세로 90||||||||용인대한결태권도장|4층 401호 (삼송동)|||20311
인성||||태권도장|487-4382|서울특별시 강동구 성안로 201||||||||인성|2층 (천호동)|||20311
계명대/태권/강스짐/도장||||태권도장|053-811-7789||경북 경산시 백천동 574-5|||||||계명대 태권 강스짐 도장|금강빌딩|||20311
포스코태권도장||||태권도장|755-3366||부산시 수영구 망미동 693-1|||||||포스코태권도장||||20311
조은/체육관||||태권도장|856-7066||서울 금천구 독산동 165-3|||||||조은 체육관||||20311
명문태권도장||||태권도장|284-5887|전남 무안군 삼향읍 남악리 부영사랑으로 단지내상가 ||||||||명문태권도장||||20311
다사랑||||태권도장|283-7222||동구 천동 2-9|||||||다사랑|10번지 월드빌딩 4층|||20311
동아대한비태권도장||||태권도장|054-743-4616||경주시 황성동 269-14|||||||동아대한비태권도장|2층|||20311
동부||||태권도장|02-355-0301|서울특별시 은평구 진관1로 55||||||||동부|마고정 301동상가 B201,202호|||20311
계명대학군단||||태권도장|0535805491|||||||||계명대학군단||||20311
육군제3기갑여단80전차대대||||태권도장|7302|||||||||육군제3기갑여단80전차대대||||20311
노화태권도체육관||||태권도장|061-554-0685||전라남도 완도군 노화읍 이포리 702-7|||||||노화태권도체육관||||20311
한사랑/태권도장||||태권도장|042-223-1555||대전광역시 중구 목동 111-12|||||||한사랑 태권도장|금호한사랑@상가 303호|||20311
세원태권도||||태권도장||충북 청주시 청원구 오창읍 과학산업3로 202-7||||||||세원태권도|602호 (각리)|||20311
무궁화태권도||||태권도장|0432915339|충북 청주시 상당구 산성로116번길 28||||||||무궁화태권도|301호 (용담동,드림21)|||20311
동아대리더스태권도장||||태권도장|||부산 사상구 괘법동 555-7|||||||동아대리더스태권도장|3층|||20311
챔피언/태권도장(고운동)||||태권도장|0448663212|세종특별자치시 마음로 70||||||||챔피언 태권도장(고운동)|고운동 407호 (고운동,에셀프라자)|||20311
용인대/SK태권도장||||태권도장||세종특별자치시 새롬중앙로 47||||||||용인대 SK태권도장|301호 (새롬동,세움빌딩)|||20311
글로벌태권도장||||태권도장|044-866-1324|세종특별자치시 도움1로 106||||||||글로벌태권도장|종촌동 672 메가시티 318호 (종촌동,메가시티)|||20311
드림체육관||||태권도장|033-574-1213|강원도 삼척시 중앙로 246||||||||드림체육관|3층 (남양동)|||20311
호돌이체육관||||태권도장|033-552-5352|강원도 태백시 태백로 1052-1||||||||호돌이체육관|(황지동)|||20311
베스트연세태권도체육관||||태권도장|635-0801|강원도 속초시 동해대로 4323||||||||베스트연세태권도체육관|(교동)|||20311
차오름태권도||||태권도장|702-4666||부산 해운대구 좌동 1443-8|||||||차오름태권도|금강빌딩 6층|||20311
학교1||||태권도장|02-425-2855|||||||||학교1||||20311
사하현인태권도||||태권도장|265-8808||부산 사하구 다대1동 1548-48|||||||사하현인태권도|성호빌딩3층|||20311
챔피언||||태권도장|309-2121|서울 은평구 응암로22길 28-6||||||||챔피언|5층 (응암동)|||20311
우리태권도장||||태권도장|783-9090||부산광역시 해운대구 재송동 1118-3|||||||우리태권도장||||20311
현진태권도패밀리||||태권도장|054-254-2082||포항시 북구 장성동 866|||||||현진태권도패밀리|14호 (2층)|||20311
천마2태권도||||태권도장|7931513||대구 수성구 사월동 464|||||||천마2태권도|시지2차 사월보성 201/303,304호|||20311
슈퍼맨태권도||||태권도장|525-7953||대구 서구 평리4동 1333-10|||||||슈퍼맨태권도||||20311
승리마루다대도장||||태권도장|266-5453||부산 사하구 다대1동 949-15|||||||승리마루다대도장|2층|||20311
이찬우태권도||||태권도장|331-6767||부산 북구 화명동 2277-6|||||||이찬우태권도|메인플라자 4층|||20311
승리마루동일도장||||태권도장|554-9254||동래구 온천2동 784-11|||||||승리마루동일도장|2층|||20311
문태권스쿨||||태권도장|054-854-6019||남구 연일읍 동문리 337|||||||문태권스쿨|1호 (2층)|||20311
한국체대/국일||||태권도장|02-865-6205||서울 구로구 구로동 447-7|||||||한국체대 국일|2층|||20311
경북대동부태권도||||태권도장|054-473-7008||구미시 옥계동 산업단지내 18-1B 3L 214~215호 |||||||경북대동부태권도||||20311
삼성체육관||||태권도장|291-9750|부산 사하구 감천로21번길 3||||||||삼성체육관|(감천동)|||20311
한미체육관||||태권도장|0516332254||남구 문현4동 351-22|||||||한미체육관|5층|||20311
경희대학동태권도장||||태권도장|691-4747||전남 여수시 학동 54|||||||경희대학동태권도장|신동아파밀리에 단지내 상가 303호|||20311
코리아연합태권도||||태권도장|053-643-5959||대구시 달서구 유천동 298-1|||||||코리아연합태권도|대곡역화성파크드림상가 111동 201,202호|||20311
연세토성태권도||||태권도장|255-1333||서구 토성동3가 13-7|||||||연세토성태권도|8/5|||20311
권호태권도장||||태권도장|462-7113||전남 영암군 삼호읍 용앙리 778|||||||권호태권도장|2층|||20311
청심||||태권도장|598-2377||서울 서초구 방배2동 950-17|||||||청심|2층|||20311
용인대/으뜸||||태권도장|999-5688||서울 도봉구 창동 826|||||||용인대 으뜸|북한산 한신휴플러스상가 104-206|||20311
한국체대/백호/김기준||||태권도장|2681-6176||서울 구로구 개봉동 38-10|||||||한국체대 백호 김기준||||20311
관문태권도||||태권도장|314-1950||대구 북구 태전동 1103|||||||관문태권도|태전휴먼시아1단지 주상가동 303호|||20311
경희대에이스/태권도장||||태권도장|0632225898|||||||||경희대에이스 태권도장||||20311
충효||||태권도장|886-3051|서울특별시 관악구 행운1길 40||||||||충효|2층 (봉천동)|||20311
경호태권도스쿨||||태권도장|897-5847||부산 부산진구 부암3동 560-14|||||||경호태권도스쿨|협성아파트 상가 112-308|||20311
동의태권도교육관||||태권도장|895-1943||부산 부산진구 개금3동 19-6|||||||동의태권도교육관|반도보라A상가 201호|||20311
비상태권도장||||태권도장|721-8811||부산시 기장군 기장읍 대라리 184-5|||||||비상태권도장||||20311
현대태권도장||||태권도장|061-371-1211||전남 화순군 , 읍 광덕리 300|||||||현대태권도장|3층 505호|||20311
신동||||태권도장|2668-3667||서울특별시 강서구 가양동 194-2|||||||신동|마곡지웰 에스테이트 B-101호|||20311
계명대좋은친구태권도||||태권도장|385-5678||경남 양산시 물금읍 범어리 2673-8|||||||계명대좋은친구태권도|e편한세상 상가 2층|||20311
영웅태권도||||태권도장|362-4541||경남 양산시 삼호동 861|||||||영웅태권도|웅상신도시푸르지오A상가 3층 304호|||20311
태극태권도장||||태권도장|231-3993||경남 마산시 내서읍 삼계리 302-1|||||||태극태권도장|203호|||20311
신암태권도체육관||||태권도장|643-2381||부산시 진구 범천4동 1183-14|||||||신암태권도체육관|2층|||20311
천생태권도||||태권도장|0544759333||구미시 구평동 434-7|||||||천생태권도|강동빌딩 5층|||20311
금강||||태권도장|949-7363||서울 노원구 공릉동 109|||||||금강|비선아파트 상가 301호|||20311
태권도이현재수련관||||태권도장|851-0700||익산시 동산동 995-5|||||||태권도이현재수련관|우남@사아 201호|||20311
용인대||||태권도장|2692-8784|서울 양천구 오목로 32||||||||용인대|2층 (신월동)|||20311
한결태권도장||||태권도장|651-0073||전라남도 여수시 문수동 787|||||||한결태권도장|코아루 수아파트상가 2층|||20311
소명태권도장||||태권도장|526-1956||북구 운암동 959-2|||||||소명태권도장||||20311
한국체대/월드||||태권도장|955-2004||서울 도봉구 방학동 720-33|||||||한국체대 월드|월드상가|||20311
호서체육관||||태권도장|041-355-4722||충남 당진군 당진읍 읍내리 245-2|||||||호서체육관||||20311
경희대/파란||||태권도장|421-2003||서울 송파구 석촌동 297-32|||||||경희대 파란||||20311
한양대/올림픽||||태권도장|2209-1744||서울 중랑구 면목동 185-116|||||||한양대 올림픽||||20311
신석||||태권도장|704-5755||서울 마포구 현석동 48-2|||||||신석|3층|||20311
승리마루구서도장||||태권도장|516-7766||부산 금정구 구서동 251-24|||||||승리마루구서도장|구서골드상가 6층|||20311
중앙태권도||||태권도장|232-1050||전주시 완산구 경원동2가 28-2|||||||중앙태권도||||20311
국가대표/창비/효/태권도||||태권도장|032-518-2398||인천광역시 부평구 부평2동 756-75|||||||국가대표 창비 효 태권도||||20311
MTA화랑태권도장||||태권도장|061-284-4884|전라남도 무안군 남악5로22번길 60||||||||MTA화랑태권도장|201호|||20311
MTA태권도||||태권도장|061-282-5505|전라남도 목포시 신흥로 24||||||||MTA태권도|(상동)|||20311
목포명문태권도||||태권도장|061-285-4778|전라남도 목포시 옥암로 168-14||||||||목포명문태권도|3층 (옥암동)|||20311
경희대꿈나무태권도||||태권도장|032-575-2474|인천광역시 서구 장고개로287번길 6-1||||||||경희대꿈나무태권도|(가좌동)|||20311
용인대지노태권스쿨도장||||태권도장|042-584-1323||대전광역시 서구 복수동 274-13|||||||용인대지노태권스쿨도장|2층|||20311
장한태권도||||태권도장|062-943-4550|광주광역시 광산구 송정로65번길 16-24||||||||장한태권도|2층 (송정동)|||20311
늘찬태권도||||태권도장|062-653-6644|광주광역시 남구 서문대로 790||||||||늘찬태권도|상가 201~2호 (주월동,제석산호반힐하임아파트)|||20311
강산/태권도||||태권도장|062-382-3278||광주광역시 서구 치평동 1168|||||||강산 태권도|해광한신@상가 202호|||20311
엄지태권도||||태권도장|062-959-4550||광주광역시 광산구 하남동 544|||||||엄지태권도|다사로움3차 상가1동 201호|||20311
아빠가/가르치는/태권도||||태권도장|062-463-2000||광주광역시 광산구 산정동 1060|||||||아빠가 가르치는 태권도|중흥S클래스 상가 2층|||20311
태권스마일체육관||||태권도장|062-362-8463|광주 남구 효우2로26번길 3||||||||태권스마일체육관|4층 (행암동)|||20311
경희대석사태권도장||||태권도장|02-574-9888|서울특별시 서초구 태봉로 62||||||||경희대석사태권도장|네이처프라자 301호 (우면동)|||20311
홍제용인대체육관||||태권도장|02-396-4803||서울특별시 서대문구 홍제3동 273-195|||||||홍제용인대체육관||||20311
고려서구태권도장||||태권도장|042-533-6740||대전광역시 서구 갈마동 368-1|||||||고려서구태권도장||||20311
용인대엘리트태권도장||||태권도장|042-542-2910||대전광역시 서구 가수원동 776-1|||||||용인대엘리트태권도장||||20311
한양대/탑/태권도장||||태권도장|02-813-1080|서울특별시 동작구 상도로 346-2||||||||한양대 탑 태권도장|제401동 B-302~303호 (상도동,상도엠코타운 애스톤파크)|||20311
고양태양태권도장||||태권도장|031-962-2585|경기도 고양시 덕양구 화수로 48||||||||고양태양태권도장|201호~203호 (화정동,은빛마을분산상가동 2층)|||20311
용인대한뫼태권도장||||태권도장|031-976-1175|경기도 고양시 일산서구 원일로21번길 19||||||||용인대한뫼태권도장|4층 (일산동,충만빌딩)|||20311
성사태권도장||||태권도장|031-962-0148|경기도 고양시 덕양구 원당로125번길 12||||||||성사태권도장|501호 (주교동,원릉빌딩 5층)|||20311
용인대한수태권도장||||태권도장|031-912-3330|경기도 고양시 일산서구 주엽로 121||||||||용인대한수태권도장|106호~108호 (주엽동,문촌마을15단지 상가동 1층)|||20311
한국체대한누리태권도장||||태권도장|031-921-5577|경기도 고양시 일산서구 일산로 528||||||||한국체대한누리태권도장|202호,203호 (일산동,신문화빌딩 2층)|||20311
연세대미래태권도장||||태권도장|032-321-7911|경기도 부천시 원미구 장말로 136||||||||연세대미래태권도장|상가 1층 (상동,꿈동산마을 신안아파트)|||20311
경희대석사한국태권도장||||태권도장|031-446-6333|경기도 안양시 만안구 양화로37번길 11||||||||경희대석사한국태권도장|2층 (안양동)|||20311
한국체대태양태권도장||||태권도장|031-437-6981|경기도 안산시 상록구 팔곡길 40||||||||한국체대태양태권도장|3층 (팔곡이동)|||20311
참조은고려태권도장||||태권도장|031-483-1357|경기도 안산시 상록구 충장로 574||||||||참조은고려태권도장|4층 (월피동)|||20311
큰빛태권도||||태권도장|052-297-4994||울산광역시 중구 반구동 593-26|||||||큰빛태권도|3층|||20311
