##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@골프장
센테리움||||골프장|043-849-7000|충북 충주시 노은면 솔고개로 750||퍼블릭:27||||||센테리움|(신효리)|||50206
소피아그린||||골프장|031-887-8100|경기 여주시 점동면 소피아그린길 84||퍼블릭:27||||||소피아그린|(현수리)|||50206
솔모로||||골프장|031-884-7000|경기 여주시 가남읍 솔모로그린길 171||회원제:36||||||솔모로|(양귀리)|||50206
솔트베이||||골프장|031-400-0000|경기도 시흥시 마유로 987||퍼블릭:18||||||솔트베이|(장곡동)|||50206
송추||||골프장|031-871-9410/~6|경기도 양주시 광적면 쇠장이길 435||회원제:18||||||송추||||50206
수원||||골프장|031-281-6611/~5|경기 용인시 기흥구 중부대로 495||회원제:36||||||수원|(구갈동,수원컨트리클럽)|||50206
스카이밸리||||골프장|031-880-8800|경기 여주시 북내면 운촌길 254||회원제:18;퍼블릭:18||||||스카이밸리|(운촌리,스카이밸리CC)|||50206
스카이뷰||||골프장|02-515-0004|경남 함양군 서상면 소로길 207||퍼블릭:18||||||스카이뷰|(대남리)|||50206
스테이트월셔||||골프장|02-3141-2220||경기 안성시 보개면 동평리 산11-1|회원제:(18);퍼블릭:(9)||||||스테이트월셔||||50206
스톤게이트||||골프장|051-722-7000|부산 기장군 일광면 곡천길 317||퍼블릭:18||||||스톤게이트|(용천리)|||50206
스프링데일||||골프장|064-800-8000|제주특별자치도 서귀포시 남원읍 서성로 459||퍼블릭:18||||||스프링데일|(위미리,스프링데일C.C)|||50206
스프링베일||||골프장|033-254-7900|강원 춘천시 동면 금베이길 93-27||퍼블릭:9||||||스프링베일|(만천리)|||50206
승주||||골프장|061-740-8000|전남 순천시 별량면 오실길 333||회원제:27||||||승주|(덕정리)|||50206
시그너스||||골프장|043-857-5001|충청북도 충주시 앙성면 중방곡길 57-44||회원제:9;퍼블릭:18||||||시그너스||||50206
신동||||골프장|033-264-6700|강원도 춘천시 김유정로 1885||퍼블릭:(18)||||||신동|중앙하이츠빌딩 3층 (퇴계동)|||50206
신라||||골프장|031-886-3030|경기도 여주시 북내면 신라그린길 84||퍼블릭:27||||||신라||||50206
신안||||골프장|031-8046-0777|경기도 안성시 고삼면 개울말길 149||회원제:18;퍼블릭:9||||||신안||||50206
신원||||골프장|031-333-1800|경기도 용인시 처인구 이동면 이원로 225||회원제:27||||||신원||||50206
실크리버||||골프장|043-277-5000|충청북도 청주시 서원구 남이면 문곡구절골길 235||회원제:18||||||실크리버||||50206
썬밸리||||골프장|043-881-5307|충북 음성군 삼성면 범말길 49||퍼블릭:18||||||썬밸리|(대사리,썬벨리컨트리클럽)|||50206
썬힐||||골프장|031-585-7900|경기도 가평군 조종면 운악청계로 809||회원제:18;퍼블릭:18||||||썬힐||||50206
아난티클럽서울||||골프장|031-589-3000|경기도 가평군 설악면 유명로 961-34||회원제:27||||||아난티클럽서울||||50206
아덴힐||||골프장|1588-7208|제주 제주시 한림읍 금악리 화전길 82||퍼블릭:18||||||아덴힐||||50206
아델스코트||||골프장|055-930-7777|경남 합천군 가야면 가조가야로 1916-10||퍼블릭:27||||||아델스코트||||50206
아리솔||||골프장|043-540-8000|충청북도 보은군 보은읍 보은로 148||퍼블릭:18||||||아리솔|2층|||50206
아시아나||||골프장|031-334-8800|경기도 용인시 처인구 양지면 양대로 290||회원제:36||||||아시아나||||50206
아시아드||||골프장|051-720-6000|부산 기장군 일광면 차양길 26||회원제:27||||||아시아드||||50206
아일랜드||||골프장|032-884-1004||경기 안산시 단원구 대부남동 1111|퍼블릭:27||||||아일랜드||||50206
아크로||||골프장|061-470-7000|전라남도 영암군 금정면 안적동길 403||퍼블릭:27||||||아크로||||50206
아트밸리||||골프장|043-531-3000|충청북도 진천군 진천읍 송강로 783-51||회원제:27||||||아트밸리||||50206
안성||||골프장|031-674-9111|경기 안성시 죽산면 걸미로 487||회원제:18||||||안성|(장계리)|||50206
안성베네스트||||골프장|031-670-0700|경기도 안성시 금광면 삼흥로 660||회원제:27;퍼블릭:9||||||안성베네스트||||50206
안양||||골프장|031-460-3301|경기도 군포시 군포로 364||회원제:18||||||안양|(부곡동)|||50206
알펜시아||||골프장|033-339-3100|강원 평창군 대관령면 솔봉로 325||회원제:27||||||알펜시아|(용산리)|||50206
양산||||골프장|055-379-0000|경남 양산시 상북면 충렬로 687||퍼블릭:27||||||양산|(소토리,양산컨트리클럽)|||50206
양산에덴밸리||||골프장|055-379-9000|양산시 원동면 어실로 910||회원제:18||||||양산에덴밸리||||50206
양주||||골프장|031-592-6060/4|경기 남양주시 화도읍 북한강로 1525-52||회원제:18||||||양주|(금남리,양주컨트리클럽)|||50206
양지파인||||골프장|031-338-2001|경기 용인시 처인구 양지면 남평로 112||퍼블릭:27||||||양지파인|(남곡리,양지파인리조트)|||50206
양평TPC||||골프장|031-772-3000|경기도 양평군 지평면 대평평장길 113-8||회원제:27||||||양평TPC||||50206
어등산||||골프장|062-605-3000|광주 광산구 무진대로 31||회원제:18;퍼블릭:9||||||어등산|(운수동)|||50206
에덴블루||||골프장|031-678-7021|경기 안성시 죽산면 녹배길 175||퍼블릭:27||||||에덴블루|(장능리)|||50206
에딘버러||||골프장|041-750-0114|충남 금산군 진산면 살구정길 167||회원제:18||||||에딘버러||||50206
에머슨GC||||골프장|043-533-6666|충청북도 진천군 백곡면 배티로 818-105||회원제:27||||||에머슨GC||||50206
에버리스||||골프장|064-795-5001|제주특별자치도 제주시 애월읍 평화로 1693-75||회원제:18;퍼블릭:9||||||에버리스|(어음리,에버리스골프장)|||50206
SG아름다운||||골프장|041-536-8132|충남 아산시 영인면 영인산로 440||퍼블릭:18||||||SG아름다운|(신현리,아름다운골프장)|||50206
에이원||||골프장|055-371-3500|경남 양산시 덕명로 190||회원제:27||||||에이원|(매곡동,에이원컨트리클럽)|||50206
엘리시안강촌||||골프장|033-260-2000|강원도 춘천시 남산면 북한강변길 688||회원제:27;퍼블릭:9||||||엘리시안강촌||||50206
엘리시안제주||||골프장|064-798-7000|제주특별자치도 제주시 애월읍 평화로 1738-116||회원제:18;퍼블릭:18||||||엘리시안제주||||50206
여수경도||||골프장|061-660-1000|여수경도해안단지길 22||퍼블릭:27||||||여수경도|(경호동)|||50206
여주||||골프장|031-883-7000|경기 여주시 월평로 78||회원제:27||||||여주|(월송동)|||50206
오너스||||골프장|033-260-1900|강원 춘천시 남산면 동촌로 667||퍼블릭:18||||||오너스|(수동리)|||50206
오라||||골프장|064-747-5100|제주특별자치도 제주시 오라남로 130-16||회원제:36||||||오라|(오라2동,오라칸트리클럽)|||50206
오션비치||||골프장|054-730-9000|경북 영덕군 강구면 동해대로 4265-43||퍼블릭:27||||||오션비치|(삼사리,오션비치골프&리조트)|||50206
오션힐스영천||||골프장|054-330-9000|경북 영천시 임고면 방목길 34-2||회원제:27||||||오션힐스영천|(효리,오션힐스영천컨트리클럽)|||50206
오션힐스청도||||골프장|054-373-5600|경상북도 청도군 매전면 곰티로 370-204||회원제:18||||||오션힐스청도||||50206
오션힐스포항||||골프장|054-262-9988|경북 포항시 북구 송라면 대전길 7||회원제:18;퍼블릭:9||||||오션힐스포항|(방석리,오션힐스포항CC)|||50206
오크밸리||||골프장|033-730-3500|강원도 원주시 지정면 오크밸리1길 66||회원제:54;퍼블릭:9||||||오크밸리||||50206
오투||||골프장|033-580-7000|강원도 태백시 서학로 861||퍼블릭:27||||||오투|(황지동)|||50206
오펠||||골프장|054-333-2100|경상북도 영천시 고경면 호국로 1221-24||회원제:27||||||오펠||||50206
옥스필드||||골프장|033-340-7700|강원도 횡성군 서원면 경강로유현6길 28||퍼블릭:18||||||옥스필드||||50206
용원||||골프장|055-552-0080|경남 창원시 진해구 가주로 133||회원제:27||||||용원|(용원동,용원GC클럽)|||50206
용평||||골프장|033-335-5757|강원도 평창군 대관령면 올림픽로 715||회원제:18;퍼블릭:9||||||용평||||50206
우리들||||골프장|064-766-7777|제주특별자치도 서귀포시 산록남로 2914||회원제:18||||||우리들|(상효동)|||50206
우정힐스||||골프장|041-557-2902/4|충남 천안시 동남구 목천읍 충절로 1048-68||회원제:18||||||우정힐스|(운전리,우정힐스컨트리클럽)|||50206
울산||||골프장|052-225-0707|울산 울주군 웅촌면 웅촌로 1||회원제:27||||||울산|(대대리)|||50206
웰리힐리||||골프장|033-340-1400|강원 횡성군 둔내면 조항로 360||회원제:36;퍼블릭:9||||||웰리힐리||||50206
웰링턴||||골프장|031-645-1800|경기 이천시 모가면 사실로725번길 119-73||회원제:27||||||웰링턴||||50206
윈체스트안성||||골프장|031-678-9000|경기도 안성시 서운면 오촌길 97-31||퍼블릭:18||||||윈체스트안성||||50206
유성||||골프장|042-822-7103|대전광역시 유성구 현충원로 200||회원제:18||||||유성|(덕명동)|||50206
은화삼||||골프장|031-335-8255|경기도 용인시 처인구 백옥대로 860-38||회원제:18||||||은화삼|(호동,은화삼cc)|||50206
이븐데일||||골프장|043-288-1000|충청북도 청원군 미원면 대신2길 31||퍼블릭:18||||||이븐데일||||50206
이스트밸리||||골프장|031-760-3800|경기 광주시 곤지암읍 건업길 195||회원제:27||||||이스트밸리|(건업리)|||50206
이천마이다스||||골프장|031-640-0103|경기 이천시 설성면 설가로 602||퍼블릭:27||||||이천마이다스|(송계리)|||50206
이포||||골프장|031-886-8100|경기도 여주시 금사면 장흥로 416||회원제:18;퍼블릭:6||||||이포||||50206
인천국제||||골프장|032-562-6666|인천 서구 도요지로 37||회원제:18||||||인천국제|(경서동,인천국제 C.C Club House)|||50206
인터불고||||골프장|053-819-6100|경북 경산시 삼성현로 614-26||회원제:27||||||인터불고|(평산동,인터불고경산컨트리클럽)|||50206
일동레이크||||골프장|031-539-5900|경기도 포천시 일동면 화동로 738||회원제:18;퍼블릭:9||||||일동레이크||||50206
임페리얼레이크||||골프장|043-853-5555|충북 충주시 금가면 다래울길 52||퍼블릭:18||||||임페리얼레이크||||50206
자유||||골프장|031-880-9900||경기 여주군 가남면 삼군리 산44|회원제:36||||||자유||||50206
잭니클라우스||||골프장|032-850-8000|인천광역시 연수구 아카데미로 209||회원제:18||||||잭니클라우스|(송도동)|||50206
전주샹그릴라||||골프장|063-643-1000|전북 임실군 신덕면 수지로 559-90||회원제:(27)||||||전주샹그릴라|(지장리,전주샹그릴라컨트리클럽 (골프장))|||50206
정산||||골프장|055-338-8300|경상남도 김해시 주촌면 서부로1701번길 294-16||회원제:27||||||정산||||50206
제이드팰리스||||골프장|033-260-8000|강원 춘천시 남산면 경춘로 212-30||회원제:18||||||제이드팰리스|(서천리,제이드팰리스G.C.)|||50206
제일||||골프장|031-400-2500|경기 안산시 상록구 태마당로 28||회원제:27;퍼블릭:9||||||제일|(부곡동,제일문화프라자)제일컨트리클럽|||50206
제주||||골프장|064-702-0451|제주특별자치도 제주시 516로 2695||회원제:18||||||제주|(영평동)|||50206
제피로스||||골프장|064-720-7000|제주특별자치도 제주시 조천읍 번영로 1040-70||회원제:18||||||제피로스||||50206
젠스필드||||골프장|043-880-1000|충북 음성군 삼성면 덕호로 382||퍼블릭:18||||||젠스필드|(용대리,젠스필드CC)|||50206
중문||||골프장|064-735-7200|제주특별자치도 서귀포시 중문관광로72번길 60||퍼블릭:18||||||중문|(색달동,중문골프장)|||50206
중부||||골프장|031-762-6588/9|경기도 광주시 곤지암읍 경충대로 451||회원제:18||||||중부||||50206
중원||||골프장|043-849-8000|충청북도 충주시 산척면 인등로 392||퍼블릭:27||||||중원||||50206
지산||||골프장|031-330-1400|경기도 용인시 처인구 원삼면 죽양대로 2000번길 60||회원제:27;퍼블릭:9||||||지산||||50206
