##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@部瘤荤膊
部瘤荤膊|何魂备乞痢|||部瘤荤膊|051-264-0552|何魂 荤窍备 辑器肺30锅辨 8||||||||部瘤荤膊 何魂备乞痢|(备乞悼) 季飘凡颇农 405龋|||80221
部瘤荤膊|拳己豪淬痢|||部瘤荤膊|031-227-1042|版扁 拳己矫 豪淬谰 基付阑辨 29||||||||部瘤荤膊 拳己豪淬痢|(惑府) 102龋|||80221
部瘤荤膊|己巢悼痢|||部瘤荤膊|031-755-8287|版扁 己巢矫 吝盔备 堡疙肺 96-1||||||||部瘤荤膊 己巢悼痢|(己巢悼) 1摸|||80221
部瘤荤膊|何魂俺陛痢|||部瘤荤膊|051-893-5648|何魂 何魂柳备 汗瘤肺41锅辨 2||||||||部瘤荤膊 何魂俺陛痢|(俺陛悼)|||80221
部瘤荤膊|咯林芒悼痢|||部瘤荤膊|031-884-4998|版扁 咯林矫 技辆肺40锅辨 9||||||||部瘤荤膊 咯林芒悼痢|(芒悼)|||80221
部瘤荤膊|辑匡悼背痢|||部瘤荤膊|02-336-4195|辑匡 付器备 剧拳肺19辨 22-4||||||||部瘤荤膊 辑匡悼背痢|(悼背悼)|||80221
部瘤荤膊|救己傍档痢|||部瘤荤膊|031-654-1593|版扁 救己矫 傍档谰 傍档2肺 13||||||||部瘤荤膊 救己傍档痢|(父沥府)|||80221
部瘤荤膊|辑匡锅悼痢|||部瘤荤膊|02-980-5090|辑匡 碍合备 茄玫肺109啊辨 3||||||||部瘤荤膊 辑匡锅悼痢|(锅悼) 1摸 (锅悼)|||80221
部瘤荤膊|措疙叼惯叼痢|||部瘤荤膊|033-439-7307|碍盔 全玫焙 辑搁 茄摹榜辨 262||||||||部瘤荤膊 措疙叼惯叼痢|(迫豪府,措疙厚惯叼颇农) 坷农悼 瘤窍1摸|||80221
部瘤荤膊|芒盔惑巢痢|||部瘤荤膊|055-263-3337|版巢 芒盔矫 己魂备 付叼固肺73锅辨 21||||||||部瘤荤膊 芒盔惑巢痢|(惑巢悼,绢胶呼爹) 1摸|||80221
部瘤荤膊|绊剧盔蕊开痢|||部瘤荤膊|031-966-9201|版扁 绊剧矫 傣剧备 伙价肺 8||||||||部瘤荤膊 绊剧盔蕊开痢|(盔蕊悼) 204龋 (茄老榜靛鸥况 2摸)|||80221
部瘤荤膊|牢力盔烹痢|||部瘤荤膊|033-462-9199|碍盔 牢力焙 合搁 盔烹肺168锅辨 4||||||||部瘤荤膊 牢力盔烹痢|(盔烹府)|||80221
部瘤荤膊|咯林坷切痢|||部瘤荤膊|031-885-8217|版扁 咯林矫 泅鞠3辨 3||||||||部瘤荤膊 咯林坷切痢|(泅鞠悼) 1摸|||80221
部瘤荤膊|辫樊厘痢|||部瘤荤膊|031-323-0995|版扁 侩牢矫 贸牢备 陛飞肺39锅辨 5||||||||部瘤荤膊 辫樊厘痢|(辫樊厘悼)|||80221
部瘤荤膊|救己浅覆痢|||部瘤荤膊|031-651-6689|版扁 救己矫 傍档谰 辑悼措肺 4081||||||||部瘤荤膊 救己浅覆痢|(侩滴府) 林篮浅覆@惑啊 215龋|||80221
部瘤荤膊|唱林酋脚档矫痢|||部瘤荤膊|061-3329940|傈巢 唱林矫 惑具1辨 21||||||||部瘤荤膊 唱林酋脚档矫痢|(蝴啊恩悼) 欧待橇扼磊 104龋|||80221
部瘤荤膊|郴器脚档矫痢|||部瘤荤膊|041-634-1222|面巢 全己焙 全合谰 没荤肺174锅辨 11||||||||部瘤荤膊 郴器脚档矫痢|(脚版府,没淬橇扼磊 I) 104龋|||80221
部瘤荤膊|何魂切厘痢|||部瘤荤膊|051-316-2220|何魂 荤惑备 措悼肺 154||||||||部瘤荤膊 何魂切厘痢|(切厘悼)|||80221
部瘤荤膊|厘救痢|||部瘤荤膊|02-6101-9800|辑匡 悼措巩备 厘茄肺 173||||||||部瘤荤膊 厘救痢|(厘救悼)|||80221
部瘤荤膊|陛沥开痢|||部瘤荤膊|031-393-8957|版扁 焙器矫 焙器肺745锅辨 30||||||||部瘤荤膊 陛沥开痢|(魂夯悼) 1摸|||80221
部瘤荤膊|侩牢寇措痢|||部瘤荤膊|031-339-5204|版扁 侩牢矫 贸牢备 葛泅谰 寇措肺 42-1||||||||部瘤荤膊 侩牢寇措痢|(空魂府)|||80221
部瘤荤膊|拳玫痢|||部瘤荤膊|033-441-3355|碍盔 拳玫焙 拳玫谰 惑铰肺 32-6||||||||部瘤荤膊 拳玫痢|(窍府,魂玫绢付飘)|||80221
部瘤荤膊|器亲楷老痢|||部瘤荤膊|054-278-9690|版合 器亲矫 巢备 楷老谰 楷老肺199锅辨 28||||||||部瘤荤膊 器亲楷老痢|(积瘤府,矫盔茄付澜惑啊) 108龋|||80221
部瘤荤膊|力林岿尔痢|||部瘤荤膊|064-713-6001|力林 力林矫 岿尔肺 29||||||||部瘤荤膊 力林岿尔痢|(畴屈悼)|||80221
部瘤荤膊|剧魂烹档荤痢|||部瘤荤膊|055-381-4363|版巢 剧魂矫 窍合搁 烹档荤肺 60||||||||部瘤荤膊 剧魂烹档荤痢|1摸 2龋|||80221
部瘤荤膊|辫玫酋脚档矫痢|||部瘤荤膊|054-435-5552|版合 辫玫矫 酋脚1肺 50||||||||部瘤荤膊 辫玫酋脚档矫痢|(啦邦悼,啦邦胶涅绢 KTX) 225龋|||80221
部瘤荤膊|酒魂澜豪器胶内痢|||部瘤荤膊|041-546-9291|面巢 酒魂矫 澜豪搁 澜豪肺 515-42||||||||部瘤荤膊 酒魂澜豪器胶内痢|(岿尔府)|||80221
部瘤荤膊|巢剧林喊郴痢|||部瘤荤膊|031-529-1300|版扁 巢剧林矫 喊郴5肺5锅辨 4-55||||||||部瘤荤膊 巢剧林喊郴痢|(喊郴悼)|||80221
部瘤荤膊|匡魂巢芒痢|||部瘤荤膊|052-239-0337|匡魂 匡林焙 柯剧谰 柯剧肺 157||||||||部瘤荤膊 匡魂巢芒痢|(措救府) 1摸|||80221
部瘤荤膊|窍巢胶鸥鞘靛痢|||部瘤荤膊|031-791-0040|版扁 窍巢矫 脚厘悼肺140锅辨 34||||||||部瘤荤膊 窍巢胶鸥鞘靛痢|(脚厘悼) 2面|||80221
部瘤荤膊|何魂裹老痢|||部瘤荤膊|051-638-8889|何魂 悼备 吝居措肺 514||||||||部瘤荤膊 何魂裹老痢|(裹老悼,茄己扁赴橇扼磊) 1摸 104龋|||80221
部瘤荤膊|牢玫阂肺痢|||部瘤荤膊|032-562-6565|牢玫 辑备 八窜肺744锅1辨 24||||||||部瘤荤膊 牢玫阂肺痢|(阂肺悼,快沥橇扼磊) 1F|||80221
部瘤荤膊|剧魂啊锰痢|||部瘤荤膊|055-383-1412|版巢 剧魂矫 拱陛谰 没款肺 181||||||||部瘤荤膊 剧魂啊锰痢|(啊锰府,炼剧鸥况2) 1摸 110龋|||80221
部瘤荤膊|何玫脚蕊痢|||部瘤荤膊|032-677-9749|版扁 何玫矫 吝悼肺 406||||||||部瘤荤膊 何玫脚蕊痢|(伙沥悼) 12龋|||80221
部瘤荤膊|固酒抛扼胶颇农痢|||部瘤荤膊|02-980-8944|辑匡 碍合备 伙剧肺27辨 43||||||||部瘤荤膊 固酒抛扼胶颇农痢|(固酒悼,困宏 抛扼胶 颇农) 110龋|||80221
部瘤荤膊|堡林老邦痢|||部瘤荤膊|062-574-0852|堡林 合备 汲磷肺 496-5||||||||部瘤荤膊 堡林老邦痢|(老邦悼)|||80221
部瘤荤膊|酒魂帕沥痢|||部瘤荤膊|041-533-0125|面巢 酒魂矫 帕沥搁 帕沥搁肺 221||||||||部瘤荤膊 酒魂帕沥痢|(龋魂府)|||80221
部瘤荤膊|楷玫傈邦痢|||部瘤荤膊|031-833-9938|版扁 楷玫焙 傈邦谰 篮傈肺78锅辨 58||||||||部瘤荤膊 楷玫傈邦痢|(傈邦府)|||80221
部瘤荤膊|何魂疙瘤坷记矫萍痢|||部瘤荤膊|051-207-6558|何魂 碍辑备 疙瘤坷记矫萍4肺 74||||||||部瘤荤膊 何魂疙瘤坷记矫萍痢|(疙瘤悼) 102龋|||80221
部瘤荤膊|堡林档乞痢|||部瘤荤膊|031-764-4630|版扁 堡林矫 檬岿谰 泅魂肺 87||||||||部瘤荤膊 堡林档乞痢|(档乞府) . 寇 1鞘瘤|||80221
部瘤荤膊|鉴玫坷玫痢|||部瘤荤膊|061-743-1160|傈巢 鉴玫矫 坷玫6辨 10||||||||部瘤荤膊 鉴玫坷玫痢|(坷玫悼) 1摸|||80221
部瘤荤膊|备府哎概痢|||部瘤荤膊|031-573-8983|版扁 备府矫 哎概吝居肺55锅辨 110||||||||部瘤荤膊 备府哎概痢|(哎概悼)|||80221
部瘤荤膊|堡林蜡锰痢|||部瘤荤膊|062-372-6868|堡林 辑备 惑公滚甸肺40锅辨 13||||||||部瘤荤膊 堡林蜡锰痢|(蜡锰悼)|||80221
部瘤荤膊|辫秦伙拌痢|||部瘤荤膊|055-311-7343|版巢 辫秦矫 伙拌肺55锅辨 26||||||||部瘤荤膊 辫秦伙拌痢|(伙拌悼) 1摸 102龋|||80221
部瘤荤膊|何魂荐康肺鸥府痢|||部瘤荤膊|051-754-9979|何魂 荐康备 皑器肺102锅辨 11||||||||部瘤荤膊 何魂荐康肺鸥府痢|(堡救悼) 俊捞胶季乓呼府瘤 惑啊 103龋|||80221
部瘤荤膊|玫救脚阂寸痢|||部瘤荤膊|041-522-3111|面巢 玫救矫 辑合备 阂寸34辨 26||||||||部瘤荤膊 玫救脚阂寸痢|(阂寸悼) M鸥况 104龋|||80221
部瘤荤膊|匡魂拳沥痢|||部瘤荤膊|052-234-7972|匡魂 悼备 拳柳辨 100||||||||部瘤荤膊 匡魂拳沥痢|(拳沥悼,骏内鸥款 捞胶畔海捞) 惑啊1悼 101龋|||80221
部瘤荤膊|何咯街合痢|||部瘤荤膊|041-836-3338|面巢 何咯焙 何咯谰 己空肺352锅辨 14||||||||部瘤荤膊 何咯街合痢|(街合府) 林傍惑啊 7龋 (街合府)|||80221
部瘤荤膊|老魂扼其胶鸥痢|||部瘤荤膊|031-905-0204|版扁 绊剧矫 老魂悼备 公泵拳肺 20-11||||||||部瘤荤膊 老魂扼其胶鸥痢|(厘亲悼,扼其胶鸥 F) 扼其胶鸥F悼 107龋|||80221
部瘤荤膊|矫蕊荤芭府痢|||部瘤荤膊|02-2038-2348|辑匡 陛玫备 矫蕊措肺52辨 46||||||||部瘤荤膊 矫蕊荤芭府痢|(矫蕊悼) 1摸|||80221
部瘤荤膊|匡魂魂窍痢|||部瘤荤膊|052-292-2878|匡魂 合备 拳鞠1辨 55||||||||部瘤荤膊 匡魂魂窍痢|(魂窍悼) 102龋|||80221
部瘤荤膊|何玫盔辆痢|||部瘤荤膊|032-672-7789|版扁 何玫矫 盔辆肺 33||||||||部瘤荤膊 何玫盔辆痢|(盔辆悼) 1摸 2龋|||80221
部瘤荤膊|何魂磊哎摹开痢|||部瘤荤膊|051-256-8600|何魂 吝备 吝备肺6锅辨 4-2||||||||部瘤荤膊 何魂磊哎摹开痢|(巢器悼5啊) 1摸|||80221
部瘤荤膊|悼傣咯措痢|||部瘤荤膊|02-943-8181|辑匡 己合备 厘岿肺1啊辨 2||||||||部瘤荤膊 悼傣咯措痢|(惑岿邦悼)|||80221
部瘤荤膊|鉴玫脚措痢|||部瘤荤膊|061-723-5812|傈巢 鉴玫矫 秦锋搁 概救3辨 24||||||||部瘤荤膊 鉴玫脚措痢|(脚措府)|||80221
部瘤荤膊|何魂巢玫痢|||部瘤荤膊|051-624-7790|何魂 荐康备 巢玫悼肺108锅辨 31||||||||部瘤荤膊 何魂巢玫痢|(巢玫悼) 1摸|||80221
部瘤荤膊|付魂泅悼痢|||部瘤荤膊|055-242-1931|版巢 芒盔矫 付魂钦器备 泅悼肺 111||||||||部瘤荤膊 付魂泅悼痢|(泅悼) 没贾橇扼烙 105龋|||80221
部瘤荤膊|何魂堡救开痢|||部瘤荤膊|051-758-0888|何魂 荐康备 荐康肺 577||||||||部瘤荤膊 何魂堡救开痢|(堡救悼) 1摸|||80221
部瘤荤膊|何魂脚乞开痢|||部瘤荤膊|051-206-0228|何魂 荤窍备 厚豪肺 6||||||||部瘤荤膊 何魂脚乞开痢|(脚乞悼)|||80221
部瘤荤膊|傍焙20傈捧厚青窜痢|||部瘤荤膊|041-688-4003|面巢 辑魂矫 绊合搁 脚己肺 330||||||||部瘤荤膊 傍焙20傈捧厚青窜痢|(脚沥府) 侩己雀包 1摸|||80221
部瘤荤膊|芭芒惑悼痢|||部瘤荤膊|055-941-3721|版巢 芭芒焙 芭芒谰 惑悼7辨 23-4||||||||部瘤荤膊 芭芒惑悼痢|(惑覆府)|||80221
部瘤荤膊|何乞备没开痢|||部瘤荤膊|070-7322-4047|牢玫 何乞备 何乞措肺 132||||||||部瘤荤膊 何乞备没开痢|(何乞悼,庆府框畴喉饭胶) 107|||80221
部瘤荤膊|傈林吝拳魂痢|||部瘤荤膊|063-222-8853|傈合 傈林矫 肯魂备 脚锰4辨 18-4||||||||部瘤荤膊 傈林吝拳魂痢|(吝拳魂悼2啊)|||80221
部瘤荤膊|辑匡惑拌痢|||部瘤荤膊|02-938-5822|辑匡 畴盔备 惑拌肺1辨 54-4||||||||部瘤荤膊 辑匡惑拌痢|(惑拌悼,惑拌悼 季飘凡鸥况) 季飘凡鸥况 109龋 (惑拌悼)|||80221
部瘤荤膊|畴盔开痢|||部瘤荤膊|02-930-3339|辑匡 畴盔备 悼老肺217啊辨 23||||||||部瘤荤膊 畴盔开痢|(惑拌悼,归版距惫) 1摸|||80221
部瘤荤膊|措备夯府痢|||部瘤荤膊|053-571-7674|措备 崔辑备 措疙玫肺42辨 27||||||||部瘤荤膊 措备夯府痢|(夯府悼) 1摸|||80221
部瘤荤膊|傍亲脚档矫痢|||部瘤荤膊|032-751-4493|牢玫 吝备 脚档矫巢肺141锅辨 5-12||||||||部瘤荤膊 傍亲脚档矫痢|(款辑悼,拳乞俊绢呼)|||80221
部瘤荤膊|堡林梅窜痢|||部瘤荤膊|062-972-5051|堡林 堡魂备 烙规匡措肺801锅辨 32||||||||部瘤荤膊 堡林梅窜痢|(街鞠悼) 档盔呼爹 102龋|||80221
部瘤荤膊|柳秦浅龋痢|||部瘤荤膊|055-547-5669|版巢 芒盔矫 柳秦备 悼柳肺 189||||||||部瘤荤膊 柳秦浅龋痢|(浅龋悼)|||80221
部瘤荤膊|玫救滴沥痢|||部瘤荤膊|041-556-8883|面巢 玫救矫 辑合备 盔滴沥4辨 19||||||||部瘤荤膊 玫救滴沥痢|(滴沥悼) 1龋|||80221
部瘤荤膊|辑匡堡厘痢|||部瘤荤膊|02-455-2660|辑匡 堡柳备 酒瞒魂肺78辨 170||||||||部瘤荤膊 辑匡堡厘痢|(堡厘悼,茄碍呼爹) 茄碍呼爹 104龋|||80221
部瘤荤膊|辫秦绢规痢|||部瘤荤膊|055-311-4059|版巢 辫秦矫 牢力肺170锅辨 9-25||||||||部瘤荤膊 辫秦绢规痢|(绢规悼)|||80221
部瘤荤膊|窜剧档傈痢|||部瘤荤膊|043-422-7110|面合 窜剧焙 窜剧谰 荐函肺 67||||||||部瘤荤膊 窜剧档傈痢|(档傈府,坷其扼窍快胶葛炮)|||80221
部瘤荤膊|磨邦籍利痢|||部瘤荤膊|054-975-7711||版合 磨邦焙 籍利谰 巢啦府 188-1|||||||部瘤荤膊 磨邦籍利痢|惑啊 107龋|||80221
部瘤荤膊|牢玫付傈痢|||部瘤荤膊|032-563-6038|牢玫 辑备 肯沥肺 23||||||||部瘤荤膊 牢玫付傈痢|(付傈悼,傣救呼爹)|||80221
部瘤荤膊|器亲瓤磊痢|||部瘤荤膊|054-277-5586|版合 器亲矫 巢备 瓤己肺30锅辨 26-8||||||||部瘤荤膊 器亲瓤磊痢||||80221
部瘤荤膊|咯荐咯辑痢|||部瘤荤膊|061-655-4107|傈巢 咯荐矫 咯巩巩拳辨 21||||||||部瘤荤膊 咯荐咯辑痢|(咯辑悼)|||80221
部瘤荤膊|措傈傈刮痢|||部瘤荤膊|042-861-1308|措傈 蜡己备 傈刮肺14锅辨 36||||||||部瘤荤膊 措傈傈刮痢|(傈刮悼)|||80221
部瘤荤膊|剧林傣拌痢|||部瘤荤膊|031-858-9245|版扁 剧林矫 乞拳肺 1440||||||||部瘤荤膊 剧林傣拌痢|(傣拌悼) 胶鸥橇扼磊 1摸 114,115龋 (傣拌悼)|||80221
部瘤荤膊|匡魂采官困痢|||部瘤荤膊|052-201-9219|匡魂 悼备 采官困肺 207||||||||部瘤荤膊 匡魂采官困痢|(规绢悼) 备 倔府档绢|||80221
部瘤荤膊|荐盔陛邦痢|||部瘤荤膊|031-292-6364|版扁 荐盔矫 鼻急备 陛龋肺 77-17||||||||部瘤荤膊 荐盔陛邦痢|(陛邦悼)|||80221
部瘤荤膊|荐盔沥磊痢|||部瘤荤膊|031-253-2257|版扁 荐盔矫 厘救备 沥磊玫肺173锅辨 17||||||||部瘤荤膊 荐盔沥磊痢|(沥磊悼,捧措老鸥款) 103龋 (沥磊悼)|||80221
部瘤荤膊|何魂楷力痢|||部瘤荤膊|051-752-6616|何魂 楷力备 绊盒肺 241||||||||部瘤荤膊 何魂楷力痢|(楷魂悼)|||80221
