##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@한스델리
한스델리|충장로2호점|||한스델리|062-232-2027|광주광역시 동구 충장로 3가 38-14||||||||한스델리 충장로2호점||||80518
한스델리|광주화정점|||한스델리|062-373-1318||광주시 서구 화정동 350-14|||||||한스델리 광주화정점|대주피오레상가 1동 102호|||80518
한스델리|목포하당점|||한스델리|061-283-3560||전라남도 목포시 상동 986|||||||한스델리 목포하당점|3층 301호|||80518
한스델리|북수원점|||한스델리|031-244-7555||경기도 수원시 장안구 송죽동 506|||||||한스델리 북수원점|2층|||80518
한스델리|순천중앙점|||한스델리|061-755-0504||전라남도 순천시 중앙동 90|||||||한스델리 순천중앙점|- 7|||80518
한스델리|원주일산점|||한스델리|033-747-8418||강원도 원주시 중앙동 28-4|||||||한스델리 원주일산점||||80518
한스델리|충장로1호점|||한스델리|062-222-0058||광주광역시 동구 황금동 74-4|||||||한스델리 충장로1호점||||80518
한스델리|광명사거리점|||한스델리|02-2060-2922||경기도 광명시 광명동 158-1347|||||||한스델리 광명사거리점||||80518
한스델리|목포점|||한스델리|061-243-2627||전라남도 목포시 죽동 15|||||||한스델리 목포점||||80518
한스델리|이천점|||한스델리|031-631-0522||경기도 이천시 창전동 158|||||||한스델리 이천점|- 7|||80518
한스델리|대전은행점|||한스델리|042-252-5212||대전광역시 중구 은행동 48-20|||||||한스델리 대전은행점||||80518
한스델리|수원천천점|||한스델리|031-269-6881||경기도 수원시 천천동 527-10|||||||한스델리 수원천천점|골든 프라자 303호 3층|||80518
한스델리|오산점|||한스델리|031-374-4144||경기도 오산시 원동 776-3|||||||한스델리 오산점||||80518
한스델리|수원남문점|||한스델리|031-258-6112||경기도 수원시 팔달구 팔달동 3가 90|||||||한스델리 수원남문점||||80518
한스델리|영풍문고점|||한스델리|02-399-7885||서울특별시 종로구 서린동 33|||||||한스델리 영풍문고점|영풍빌딩|||80518
한스델리|공주점|||한스델리|041-852-9587||충청남도 공주시 중동 147-203|||||||한스델리 공주점||||80518
한스델리|천호점|||한스델리|02-477-1960||서울특별시 강동구 천호2동 412-9|||||||한스델리 천호점||||80518
한스델리|광주신가점|||한스델리|062-951-9587||광주광역시 광산구 신가동 993-11|||||||한스델리 광주신가점||||80518
한스델리|명일점|||한스델리|02-426-5156||서울특별시 강동구 명일동 325-|||||||한스델리 명일점|11 명일 메가타운 104|||80518
한스델리|광주풍암점|||한스델리|062-681-2570||광주광역시 서구 풍암동 1116|||||||한스델리 광주풍암점||||80518
한스델리|충주성서점|||한스델리|043-843-7575||충청북도 충주시 성서동 150|||||||한스델리 충주성서점||||80518
