##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@이디야
이디야|세인트존스경포호텔점|||이디야|033-652-7223|강원 강릉시 창해로 307|||평일 운영시간 : 09:00 ~ 22:30;주말 및 공휴일 : 08:30 ~ 23:00|||||이디야 세인트존스경포호텔점|(강문동,세인트존스 호텔) 이디야커피|||80716
이디야|주문진점|||이디야|033-662-4230|강원 강릉시 주문진읍 항구로 50|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00|||||이디야 주문진점|(주문리) 이디야커피 주문진점|||80716
이디야|고성경동대점|||이디야|033-638-6971|강원 고성군 토성면 봉포4길 18|||평일 운영시간 : 08:30 ~ 21:45;주말 및 공휴일 : 08:30 ~ 21:45|||||이디야 고성경동대점|(봉포리)|||80716
이디야|동해무릉계곡점|||이디야|033-532-2231|강원 동해시 삼화로 510|||평일 운영시간 : 09:00 ~ 18:00;주말 및 공휴일에는 변경될 수 있습니다.점심식사시간에는 주문이 불가능할 수 있습니다.|||||이디야 동해무릉계곡점|(삼화동) 1층 이디야커피|||80716
이디야|동해쇄운점|||이디야|033-532-0940|강원 동해시 청운1길 49|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00|||||이디야 동해쇄운점|(쇄운동)|||80716
이디야|동해천곡동점|||이디야||강원 동해시 한섬로 112|||평일 운영시간 : 10:00 ~ 23:30;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 동해천곡동점|(천곡동)|||80716
이디야|삼척교동점|||이디야|033-575-2815|강원 삼척시 청석로 59|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 삼척교동점|(교동)|||80716
이디야|삼척중앙점|||이디야|033-572-2833|강원 삼척시 대학로 30-1|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 삼척중앙점|(남양동,나성미용실) 이디야커피 삼척중앙점|||80716
이디야|속초교동점|||이디야|033-636-5578|강원 속초시 중앙로 44|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00|||||이디야 속초교동점|(교동)|||80716
이디야|속초대포항점|||이디야|033-631-6164|강원 속초시 동해대로 3741|||평일 운영시간 : 09:00 ~ 23:00일요일: 09:00 ~ 23:00|||||이디야 속초대포항점|(대포동) 1층,2층|||80716
이디야|속초엑스포점|||이디야|02-728-1546|강원 속초시 엑스포로 45|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00|||||이디야 속초엑스포점|(조양동) 1층 이디야커피 속초엑스포점|||80716
이디야|속초장사항점|||이디야|033-631-7999|강원 속초시 장사항해안길 51|||평일 운영시간 : 10:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 속초장사항점|(장사동)|||80716
이디야|속초조양동점|||이디야|033-631-4777|강원 속초시 조양로 213|||평일 운영시간 : 08:00 ~ 22:00;주말 및 공휴일 : 08:00 ~ 22:00|||||이디야 속초조양동점|(조양동) 1,2층 이디야커피|||80716
이디야|속초중앙점|||이디야|033-631-1816|강원 속초시 수복로 199|||평일 운영시간 : 09:00 ~ 18:40;주말 및 공휴일 : 09:00 ~ 21:40|||||이디야 속초중앙점|(금호동)|||80716
이디야|속초해수욕장점|||이디야|033-633-1816|강원 속초시 해오름로 137|||평일 운영시간 : 09:00 ~ 22:50;주말 및 공휴일 : 09:00 ~ 22:50|||||이디야 속초해수욕장점|(조양동)|||80716
이디야|강원양구점|||이디야|033-481-2221|강원 양구군 양구읍 중앙길 10|||평일 운영시간 : 08:00 ~ 22:55;주말 및 공휴일 : 08:00 ~ 21:55|||||이디야 강원양구점||||80716
이디야|강원양양점|||이디야|033-672-4321|강원 양양군 양양읍 양양로 72|||평일 운영시간 : 09:00 ~ 22:10;주말 및 공휴일 : 09:00 ~ 22:10|||||이디야 강원양양점||||80716
이디야|강원영월점|||이디야|033-372-1112|강원 영월군 영월읍 중앙로 40-5|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강원영월점|(영흥리) 1층|||80716
이디야|상지대2호점|||이디야|033-738-7808|강원 원주시 상지대길 84|||평일 운영시간 : 09:00 ~ 18:00;주말 및 공휴일에는 휴점입니다.|||||이디야 상지대2호점|(우산동,상지대학교) 동악관 1층|||80716
이디야|상지대점|||이디야|033-738-7808|강원 원주시 상지대길 84|||평일 운영시간 : 09:00 ~ 18:00;주말 및 공휴일에는 휴점입니다.|||||이디야 상지대점|(우산동,상지대학교) (민주관) 3층|||80716
이디야|원주단관점|||이디야|033-765-7969|강원 원주시 단구로 387|||평일 운영시간 : 09:00 ~ 23:30;주말 및 공휴일 : 09:30 ~ 23:30|||||이디야 원주단관점|(단구동)|||80716
이디야|원주단구동점|||이디야|033-766-0303|강원 원주시 남원로 528-31|||평일 운영시간 : 09:00 ~ 23:30토요일 : 09:00 ~ 23:30 / 일요일 09:00 ~ 23:00|||||이디야 원주단구동점|(단구동)|||80716
이디야|원주무실점|||이디야|033-731-3677|강원 원주시 시청로 70|||평일 운영시간 : 08:00 ~ 21:40;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 원주무실점|(무실동)|||80716
이디야|원주문막동화점|||이디야|033-734-3678|강원 원주시 문막읍 왕건로 81|||평일 운영시간 : 09:00 ~ 21:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 원주문막동화점||||80716
이디야|원주반곡동점|||이디야|033-745-2280|강원 원주시 오리현길 16-9|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 10:00 ~ 22:00|||||이디야 원주반곡동점|(반곡동) 우측상가|||80716
이디야|원주법원점|||이디야|033-745-9007|강원 원주시 능라동길 48|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 원주법원점|(무실동) 이디야커피 원주법원점|||80716
이디야|원주봉화산점|||이디야|033-735-5058|강원 원주시 바우골길 8|||평일 운영시간 : 09:00 ~ 23:00주말 : 09:00 ~ 22:00공휴일 : 09:00 ~ 22:00|||||이디야 원주봉화산점|(단계동) 이디야커피 원주봉화산점|||80716
이디야|원주원예하나로클럽점|||이디야|033-765-0857|강원 원주시 무실로 173|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00|||||이디야 원주원예하나로클럽점|(명륜동) 1층 이디야커피|||80716
이디야|원주중앙점|||이디야|033-731-9701|강원 원주시 무실로12번길 33|||평일 운영시간 : 09:00 ~ 21:45;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 원주중앙점|(일산동)|||80716
이디야|원주태장점|||이디야|033-735-9704|강원 원주시 흥양로51번길 11|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 원주태장점|(태장동)|||80716
이디야|원주터미널점|||이디야|033-731-3133|강원 원주시 서원대로 168|||평일 운영시간 : 08:00 ~ 00:00;주말 및 공휴일 : 08:00 ~ 00:00|||||이디야 원주터미널점|(단계동)|||80716
이디야|원주혁신건강보험공단점|||이디야|033-731-3133|강원 원주시 건강로 23|||평일 운영시간 : 07:45 ~ 22:00;주말 및 공휴일 : 11:00 ~ 18:00|||||이디야 원주혁신건강보험공단점|(반곡동) 이디야커피 원주혁신건강보험공단점|||80716
이디야|원주혁신도시점|||이디야|033-732-3248|강원 원주시 양지로 10|||평일 운영시간 : 08:30 ~ 23:00;주말 및 공휴일 : 10:00 ~ 23:00|||||이디야 원주혁신도시점|(반곡동) 이디야커피 원주혁신도시점|||80716
이디야|원주홈플러스점|||이디야|070-4179-7577|강원 원주시 치악로 1489|||평일 운영시간 : 10:00 ~ 22:00;주말 및 공휴일 : 10:00 ~ 22:00|||||이디야 원주홈플러스점|(관설동,홈플러스)|||80716
이디야|원주흥업점|||이디야|033-765-5009|강원 원주시 흥업면 남원로 85|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:001,2월 학교 겨울방학 : 09:00 ~ 22:00|||||이디야 원주흥업점||||80716
이디야|강원원통점|||이디야|02-728-1546|강원 인제군 북면 금강로 5|||평일 운영시간 : 10:00 ~ 21:30;주말 및 공휴일 : 10:00 ~ 21:30|||||이디야 강원원통점||||80716
이디야|강원인제점|||이디야|033-461-7557|강원 인제군 인제읍 인제로 200-1|||평일 운영시간 : 10:00 ~ 22:50;주말 및 공휴일 : 10:00 ~ 22:50|||||이디야 강원인제점||||80716
이디야|하이원리조트점|||이디야||강원 정선군 고한읍 하이원길 265-1|||평일 운영시간 : 10:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 하이원리조트점||||80716
이디야|동송터미널점|||이디야|033-455-1826|강원 철원군 동송읍 이평1로 1|||평일 운영시간 : 08:00 ~ 22:50공휴일에는 변경될 수 있습니다.|||||이디야 동송터미널점||||80716
이디야|신철원터미널점|||이디야|033-452-9936|강원 철원군 갈말읍 삼부연로 9|||평일 운영시간 : 10:00 ~ 22:00공휴일에는 변경될 수 있습니다.|||||이디야 신철원터미널점||||80716
이디야|철원와수리점|||이디야|033-458-2234|강원 철원군 서면 와수로181번길 25-21|||평일 운영시간 : 09:00 ~ 23:00주말 8:00 ~ 23:00, 공휴일에는 변경될 수 있습니다.|||||이디야 철원와수리점|1층|||80716
이디야|강원대점|||이디야|033-256-7799|강원 춘천시 서부대성로 245|||평일 운영시간 : 11:00 ~ 20:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 강원대점|(효자동)|||80716
이디야|강원도청점|||이디야|033-251-4074|강원 춘천시 서부대성로 44|||평일 운영시간 : 09:30 ~ 23:00;주말 및 공휴일 : 09:30 ~ 23:00|||||이디야 강원도청점|(요선동)|||80716
이디야|남춘천점|||이디야|033-241-0023|강원 춘천시 행촌로 47|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 22:00|||||이디야 남춘천점|(퇴계동)|||80716
이디야|춘천거두사거리점|||이디야|033-261-5866|강원 춘천시 동내면 춘천순환로 70|||평일 운영시간 : 10:00 ~ 23:00;주말 및 공휴일 : 10:00 ~ 23:00|||||이디야 춘천거두사거리점||||80716
이디야|춘천거두점|||이디야|033-262-0823|강원 춘천시 동내면 춘천순환로 134|||평일 운영시간 : 10:00 ~ 23:00;주말 및 공휴일 : 10:00 ~ 23:00|||||이디야 춘천거두점||||80716
이디야|춘천공지천점|||이디야|033-252-2272|강원 춘천시 수변공원길 11|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 10:00 ~ 23:00홀마감 22:30 / TAKE OUT 23:00까지|||||이디야 춘천공지천점|(삼천동) 2동 1층|||80716
이디야|춘천김유정역점|||이디야|033-251-7748|강원 춘천시 신동면 김유정로 1417|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00|||||이디야 춘천김유정역점|(증리) 이디야 춘천김유정역점|||80716
이디야|춘천낙원점|||이디야|033-253-5759|강원 춘천시 중앙로 110|||평일 운영시간 : 08:00 ~ 21:30;주말 및 공휴일 : 11:00 ~ 18:30|||||이디야 춘천낙원점|(낙원동)|||80716
이디야|춘천벨몽드점|||이디야|033-251-0492|강원 춘천시 춘천로 197-1|||평일 운영시간 : 09:00 ~ 21:50;주말 및 공휴일 : 11:00 ~ 21:50|||||이디야 춘천벨몽드점|(효자동) 벨몽드1층|||80716
이디야|춘천사농동점|||이디야|033-256-7784|강원 춘천시 사우로 38|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 춘천사농동점|(사농동) 이디야커피 춘천사농동점|||80716
이디야|춘천석사점|||이디야|--|강원 춘천시 퇴계농공로 10|||평일 운영시간 : 09:00 ~ 22:00평일과 주말 동일합니다.|||||이디야 춘천석사점|(석사동) 한주빌딩 1층|||80716
이디야|춘천애막골점|||이디야|02-728-1546|강원 춘천시 후석로186번길 18|||평일 운영시간 : 08:00 ~ 23:30;주말 및 공휴일 : 08:00 ~ 23:30|||||이디야 춘천애막골점|(석사동)|||80716
이디야|춘천여고점|||이디야|033-252-0899|강원 춘천시 동면 만천양지길 91|||평일 운영시간 : 07:30 ~ 22:00;주말 및 공휴일 : 10:00 ~ 22:00|||||이디야 춘천여고점|(만천리) 이디야커피 춘천여고점|||80716
이디야|춘천온의롯데캐슬점|||이디야|02-728-1546|강원 춘천시 방송길 70|||평일 운영시간 : 09:30 ~ 22:50;주말 및 공휴일 : 09:30 ~ 22:50|||||이디야 춘천온의롯데캐슬점|(온의동,온의 롯데캐슬 스카이클래스)|||80716
이디야|춘천우두동점|||이디야|033-241-1220|강원 춘천시 충열로79번길 37|||평일 운영시간 : 09:00 ~ 21:50;주말 및 공휴일 : 09:00 ~ 21:50|||||이디야 춘천우두동점|(우두동)|||80716
이디야|춘천의암호점|||이디야||강원 춘천시 서면 박사로 734|||평일 운영시간 : 11:00 ~ 20:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 춘천의암호점|(현암리) 1층 이디야 커피|||80716
이디야|춘천장학점|||이디야|033-252-2620|강원 춘천시 동면 춘천로449번길 30|||평일 운영시간 : 09:30 ~ 22:00;주말 및 공휴일 : 09:30 ~ 22:00|||||이디야 춘천장학점||||80716
이디야|춘천점|||이디야|033-251-8887|강원 춘천시 시청길10번길 4-1|||평일 운영시간 : 09:00 ~ 20:00;주말 및 공휴일 : 10:00 ~ 20:00|||||이디야 춘천점|(조양동)|||80716
이디야|춘천제일점|||이디야|033-251-7137|강원 춘천시 춘주로 89|||평일 운영시간 : 09:00 ~ 22:30;주말 및 공휴일 : 09:00 ~ 22:30|||||이디야 춘천제일점|(온의동)|||80716
이디야|춘천중앙역점|||이디야|02-728-1546|강원 춘천시 우묵길52번길 24|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00|||||이디야 춘천중앙역점|(퇴계동)|||80716
이디야|춘천퇴계점|||이디야|033-261-0222|강원 춘천시 퇴계로93번길 15|||평일 운영시간 : 10:00 ~ 23:00;주말 및 공휴일 : 10:00 ~ 23:00|||||이디야 춘천퇴계점|(퇴계동)|||80716
이디야|춘천학곡점|||이디야|033-262-1420|강원 춘천시 동내면 영서로 1783|||평일 운영시간 : 09:00 ~ 21:00;주말 및 공휴일 : 09:00 ~ 21:00|||||이디야 춘천학곡점|(학곡리) 이디야커피 춘천학곡점|||80716
이디야|춘천현대점|||이디야|033-256-3832|강원 춘천시 춘천로 267|||평일 운영시간 : 09:00 ~ 09:00;주말 및 공휴일 : 09:00 ~ 21:00|||||이디야 춘천현대점|(후평동)|||80716
이디야|춘천후평동점|||이디야|033-256-3572|강원 춘천시 보안길 70-2|||평일 운영시간 : 10:00 ~ 22:25;주말 및 공휴일 : 10:30 ~ 22:30|||||이디야 춘천후평동점|(후평동)|||80716
이디야|한림대점|||이디야|033-910-3792|강원 춘천시 삭주로 62-1|||평일 운영시간 : 10:00 ~ 22:30;주말 및 공휴일 : 11:00 ~ 22:00|||||이디야 한림대점|(교동) 2층|||80716
이디야|가평대성점|||이디야|031-584-8288|경기 가평군 청평면 경춘로 524|||평일 운영시간 : 08:00 ~ 20:00;주말 및 공휴일 : 08:00 ~ 20:00|||||이디야 가평대성점||||80716
이디야|가평설악점|||이디야|031-585-9975|경기 가평군 설악면 유명로 1600|||평일 운영시간 : 07:00 ~ 19:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 가평설악점|(신천리) 1층 (이디야커피 가평설악점)|||80716
이디야|가평점|||이디야|031-582-0049|경기 가평군 가평읍 가화로 104|||평일 운영시간 : 08:00 ~ 22:00;주말 및 공휴일 : 08:00 ~ 22:00|||||이디야 가평점||||80716
이디야|가평터미널점|||이디야|031-581-0010|경기 가평군 가평읍 가화로 51|||평일 운영시간 : 08:00 ~ 21:00;주말 및 공휴일 : 08:00 ~ 21:00|||||이디야 가평터미널점||||80716
이디야|가평현리점|||이디야|031-584-6566|경기 가평군 조종면 조종희망로 14|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 08:00 ~ 22:00|||||이디야 가평현리점||||80716
이디야|청평점|||이디야|031-584-8177|경기 가평군 청평면 청평중앙로 57|||평일 운영시간 : 08:00 ~ 22:00토요일 : 08:00~22:00, 일요일 및 공휴일 : 09:00 ~ 22:00|||||이디야 청평점|(청평리)|||80716
이디야|고양관산점|||이디야|031-969-8284|경기 고양시 덕양구 통일로 774|||평일 운영시간 : 09:00 ~ 21:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 고양관산점|(관산동) 이디야커피 고양관산점|||80716
이디야|고양내유점|||이디야|031-966-2609|경기 고양시 덕양구 통일로 1072|||평일 운영시간 : 09:00 ~ 22:50;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 고양내유점|(내유동) 1층 이디야커피|||80716
이디야|고양동산점|||이디야|02-381-8821|경기 고양시 덕양구 동세로 11|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 고양동산점|(동산동) 명주프라자 1층|||80716
이디야|고양삼송시티점|||이디야|02-6403-7890|경기 고양시 덕양구 동송로 33|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 고양삼송시티점|(동산동,이편한세상시티삼송) 상가동 1-12호|||80716
이디야|고양삼송역점|||이디야|02-371-2701|경기 고양시 덕양구 삼송로 189-7|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 08:00 ~ 23:00|||||이디야 고양삼송역점|(삼송동)|||80716
이디야|고양삼송점|||이디야|02-371-3211|경기 고양시 덕양구 삼송로 88|||평일 운영시간 : 09:00 ~ 22:30;주말 및 공휴일 : 09:00 ~ 22:30|||||이디야 고양삼송점|(삼송동) 오성프라자 1층|||80716
이디야|고양삼송중앙점|||이디야|070-4408-7788|경기 고양시 덕양구 고양대로 1772|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00|||||이디야 고양삼송중앙점|(삼송동) 세움빌딩 1층|||80716
이디야|고양어울림점|||이디야|031-964-7723|경기 고양시 덕양구 고양대로1384번길 15|||평일 운영시간 : 09:00 ~ 22:55;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 고양어울림점|(성사동) 1층|||80716
이디야|고양원당점|||이디야|031-965-6229|경기 고양시 덕양구 호국로 804|||평일 운영시간 : 09:00 ~ 22:50;주말 및 공휴일 : 09:00~23:30|||||이디야 고양원당점|(성사동)|||80716
이디야|고양지축점|||이디야|070-8866-7391|경기 고양시 덕양구 삼송로 299|||평일 운영시간 : 09:00 ~ 20:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 고양지축점|(지축동)|||80716
이디야|고양화정동점|||이디야|031-970-4700|경기 고양시 덕양구 성신로 22|||평일 운영시간 : 08:30 ~ 20:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 고양화정동점|(화정동) 백년프라자 1층|||80716
이디야|능곡역점|||이디야|031-971-4588|경기 고양시 덕양구 토당로 54|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00|||||이디야 능곡역점|(토당동,충정회관) 1층 이디야커피|||80716
이디야|능곡점|||이디야|031-971-4288|경기 고양시 덕양구 지도로 100|||평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 동일합니다.|||||이디야 능곡점|(토당동) 107호|||80716
이디야|덕양구청점|||이디야|031-968-9456|경기 고양시 덕양구 화중로104번길 26|||평일 운영시간 : 09:30 ~ 22:30;주말 및 공휴일 : 10:00~23:00|||||이디야 덕양구청점|(화정동) 한솔빌딩 105호|||80716
이디야|삼송신원마을점|||이디야|02-371-1181|경기 고양시 덕양구 권율대로 885|||평일 운영시간 : 08:30 ~ 23:30;주말 및 공휴일 : 08:30 ~ 23:30|||||이디야 삼송신원마을점|(신원동) 태웅프라자 1층|||80716
이디야|원흥도내동점|||이디야|031-962-2410|경기 고양시 덕양구 도래울로 34|||평일 운영시간 : 09:00 ~ 22:45;주말 및 공휴일 : 10:00 ~ 22:45|||||이디야 원흥도내동점|(도내동) 1층|||80716
이디야|원흥역점|||이디야|031-965-3951|경기 고양시 덕양구 삼송로 8|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00|||||이디야 원흥역점|(원흥동) 한일골드타워 1층|||80716
이디야|원흥중앙점|||이디야|031-967-3054|경기 고양시 덕양구 도래울로 105|||평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00|||||이디야 원흥중앙점|(도내동) 아카메디 1층|||80716
이디야|일산고양동점|||이디야|031-969-4605|경기 고양시 덕양구 혜음로 42|||평일 운영시간 : 09:00 ~ 22:50;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 일산고양동점|(고양동)|||80716
이디야|행신서정점|||이디야|031-979-3834|경기 고양시 덕양구 중앙로 438|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 일요일 휴무|||||이디야 행신서정점|(행신동) 106호|||80716
이디야|행신역점|||이디야|031-970-3321|경기 고양시 덕양구 충장로 20|||평일 운영시간 : 08:30 ~ 22:50주말 : 09:00 ~ 23:00|||||이디야 행신역점|(행신동) 청원프라자 101호|||80716
이디야|행신점|||이디야|031-974-0905|경기 고양시 덕양구 중앙로 554|||평일 운영시간 : 08:00 ~ 22:50;주말 및 공휴일 : 08:00~22:00|||||이디야 행신점|(행신동) 희성프라자 108호|||80716
이디야|행신중앙점|||이디야|031-972-4288|경기 고양시 덕양구 행신로 131-11|||평일 운영시간 : 08:00 ~ 00:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 행신중앙점|(행신동) 113호|||80716
이디야|화정로데오점|||이디야|031-970-4177|경기 고양시 덕양구 화신로260번길 31|||평일 운영시간 : 09:00 ~ 23:30월~금   09:00~23:30 토,일   10:00~22:00|||||이디야 화정로데오점|(화정동) 백양빌딩 1층|||80716
이디야|화정이마트점|||이디야|070-4157-0817|경기 고양시 덕양구 백양로 79|||평일 운영시간 : 10:00 ~ 22:00;주말 및 공휴일 : 10:00~23:30|||||이디야 화정이마트점|(화정동) 화정이마트 내 1층|||80716
이디야|화정중앙점|||이디야|031-966-6051|경기 고양시 덕양구 화중로130번길 32|||평일 운영시간 : 08:00 ~ 00:00;주말 및 공휴일에는 변경될 수 있습니다.|||||이디야 화정중앙점|(화정동) 파스텔프라자 1층|||80716
이디야|EBS1호점|||이디야|031-917-6467|경기 고양시 일산동구 한류월드로 281|||평일 운영시간 : 08:00 ~ 22:00토요일, 공휴일 09:00~18:00 (일요일 휴업)|||||이디야 EBS1호점|(장항동) 1층 로비|||80716
이디야|EBS2호점|||이디야|031-917-6466|경기 고양시 일산동구 한류월드로 281|||평일 운영시간 : 08:00 ~ 19:00(토,일요일,공휴일 휴업)|||||이디야 EBS2호점|(장항동) EBS 통합사옥 20층|||80716
이디야|고양백석터미널점|||이디야|02-728-1546|경기 고양시 일산동구 일산로 74-17|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 08:00 ~ 23:00|||||이디야 고양백석터미널점|(백석동) 대방 샤인밸리 1층|||80716
이디야|동국대일산병원점|||이디야|070-8866-4316|경기 고양시 일산동구 동국로 18|||평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 08:00 ~ 22:00|||||이디야 동국대일산병원점|(식사동,연합빌딩) 101,102호 이디야커피 동국대일산병원점|||80716
이디야|마두역2호점|||이디야|031-902-4177|경기 고양시 일산동구 중앙로 1190|||평일 운영시간 : 08:00 ~ 22:50;주말 및 공휴일 동일합니다.|||||이디야 마두역2호점|(마두동) 서울타워 1층|||80716
이디야|마두역점|||이디야|031-907-4177|경기 고양시 일산동구 장백로 184|||평일 운영시간 : 08:00 ~ 22:50;주말 및 공휴일 : 08:00 ~ 22:50|||||이디야 마두역점|(장항동) 우신프라자 102호|||80716
이디야|마두중앙점|||이디야|031-905-6051|경기 고양시 일산동구 강송로 181|||평일 운영시간 : 09:00 ~ 22:45평일과 주말 동일합니다.|||||이디야 마두중앙점|(마두동) 일산프라자 1층|||80716
이디야|백석역점|||이디야|031-901-1181|경기 고양시 일산동구 일산로 46|||평일 운영시간 : 08:00 ~ 01:00;주말 및 공휴일 : 08:00 ~ 01:00|||||이디야 백석역점|(백석동) 남경씨티프라자 3호 1층|||80716
이디야|일산MBC점|||이디야|031-903-8884|경기 고양시 일산동구 정발산로 21|||평일 운영시간 : 09:30 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00|||||이디야 일산MBC점|(장항동) J3타워 109호|||80716
이디야|일산국립암센터점|||이디야|070-4242-5858|경기 고양시 일산동구 일산로330번길 12-2|||평일 운영시간 : 08:00 ~ 22:00;주말 및 공휴일 : 08:00 ~ 22:00|||||이디야 일산국립암센터점|(마두동) 이디야커피 일산국립암센터점|||80716
