##NAME|SUBNAME|TYPE|ID|TELNUM|NEWADDR|OT|XCOORD|YCOORD@@유치원
가경초등학교병설유치원||공립(병설)|1ecec08d-0079-b044-e053-0a32095ab044|043-235-7086|충청북도 청주시 흥덕구 장구봉로 93|08 : 40 ~ 17 : 30|127.443618826471|36.6247423824147
가고파유치원||사립(사인)|b02911db-851b-4d25-ac5a-ff78d6296beb|055-242-0101|경상남도 창원시 마산회원구 회원남32길 14|08 : 00 ~ 16 : 00|128.562458923603|35.2176401978406
가곡초등학교대곡분교장병설유치원||공립(병설)|1ecec08c-f742-b044-e053-0a32095ab044|043-422-3396|충청북도 단양군 대대길 51|08 : 40 ~ 16 : 40|128.427038109041|36.9980623132372
가곡초등학교병설유치원||공립(병설)|1ecec08c-fea9-b044-e053-0a32095ab044|031-593-7646|경기도 남양주시 비룡로379번길 3|09 : 00 ~ 16 : 40|127.305219478872|37.6843818738888
가곡초등학교병설유치원||공립(병설)|1ecec08d-0227-b044-e053-0a32095ab044|043-422-8057|충청북도 단양군 남한강로 548|08 : 40 ~ 16 : 40|128.384876992589|37.0268984637793
가곡초등학교보발분교장병설유치원                                                              (폐원)||공립(병설)|1ecec08d-028e-b044-e053-0a32095ab044|043-422-8017|충청북도 단양군 보발본동1길 17|08 : 40 ~ 16 : 40|128.448768596396|37.0295398828608
가나유치원||사립(사인)|1ecec08d-073b-b044-e053-0a32095ab044|053-632-6655|대구광역시 달서구 송현로7길 15|09 : 00 ~ 18 : 00|128.546934919561|35.8209159168848
가나유치원||사립(사인)|1ecec08c-eede-b044-e053-0a32095ab044|052-244-0922|울산광역시 중구 유곡로 10|09 : 00 ~ 16 : 00|129.309553670925|35.557153985901
가나유치원||사립(사인)|1ecec08d-0889-b044-e053-0a32095ab044|061-276-9878|전라남도 목포시 산정로238번길 68|09 : 00 ~ 19 : 00|126.395734869353|34.8103800714595
가나유치원||사립(사인)|1ecec08d-02e3-b044-e053-0a32095ab044|063-244-1335|전라북도 전주시 덕진구 안덕원1길 39|09 : 00 ~ 17 : 00|127.165770381031|35.8401209926238
가남초등학교병설유치원||공립(병설)|1ecec08d-0de9-b044-e053-0a32095ab044|031-884-2041|경기도 여주시 태평4길 2|08 : 40 ~ 17 : 00|127.548048041368|37.2053800179035
가남초등학교병설유치원||공립(병설)|0004f153-a98f-4ea9-857a-b0a1070fd3fa|055-372-7130|경상남도 양산시 청운로 114|08 : 40 ~ 17 : 00|128.9981234944|35.3121292569
가남초등학교병설유치원||공립(병설)|1ecec08c-ff6f-b044-e053-0a32095ab044|041-943-4756|충청남도 청양군 충절로 1962-7|08 : 30 ~ 17 : 00|126.788210985562|36.5170717236064
가납초등학교병설유치원||공립(병설)|1ecec08d-07b6-b044-e053-0a32095ab044|031-836-8940|경기도 양주시 부흥로 793|09 : 00 ~ 18 : 00|126.982418054123|37.8193889267518
가내초등학교병설유치원||공립(병설)|9af25f55-642c-4c97-93d0-0e41b8ae8b4a|031-6861603|경기도 평택시 비전2로 265|09 : 00 ~ 17 : 00|127.1158533003|37.0170121301
가능초등학교병설유치원||공립(병설)|1ecec08c-f8ed-b044-e053-0a32095ab044|031-877-6799|경기도 의정부시 의정로140번길 15|09 : 00 ~ 18 : 00|127.034775274654|37.7456904380812
가덕초등학교병설유치원||공립(병설)|1ecec08c-f294-b044-e053-0a32095ab044|043-298-5480|충청북도 청주시 상당구 단재로 1448|08 : 40 ~ 16 : 40|127.578467789739|36.5785476757478
가동유치원||공립(단설)|1fc6dd86-ccc1-d1d2-e053-0a32095ad1d2|051-728-2430|부산광역시 기장군 정관5로 100|09 : 00 ~ 18 : 00|129.178587422867|35.326899804133
가득유치원||공립(단설)|99f774af-337a-42bb-a529-ac73171e1ce6|044-999-6800|세종특별자치시  세종로 933|09 : 00 ~ 17 : 00|127.2435191608|36.4870553182
가락유치원||공립(단설)|ff101a42-527f-4e7a-a92c-7a4d2e407fc2|044-903-1300|세종특별자치시  마음안1로 22|09 : 00 ~ 17 : 00|127.230883834051|36.5150838764385
가락초등학교병설유치원||공립(병설)|1ecec08d-093d-b044-e053-0a32095ab044|051-971-8930|부산광역시 강서구 호계로 41|09 : 00 ~ 18 : 00|128.896440905074|35.1954889773001
가람유치원||사립(사인)|1ecec08d-0be1-b044-e053-0a32095ab044|031-206-0901|경기도 용인시 기흥구 중부대로55번길 10-18|09 : 30 ~ 18 : 30|127.077578696285|37.2675642641601
가람유치원||사립(사인)|1ecec08c-f037-b044-e053-0a32095ab044|031-668-3791|경기도 평택시 둥구재길 22|09 : 00 ~ 18 : 30|127.061538331201|37.0585823273707
가람유치원||사립(사인)|f8c6ac64-9b1a-41c7-887d-01bd4768550c|031-374-6004|경기도 화성시 동탄대로시범길 20|09 : 00 ~ 19 : 00|127.099569|37.196383
가람유치원||사립(사인)|1ecec08c-eec0-b044-e053-0a32095ab044|055-252-4006|경상남도 창원시 의창구 반계로68번길 7|09 : 00 ~ 17 : 00|128.615155575125|35.2512666894484
가람유치원||사립(사인)|1ecec08d-0ee8-b044-e053-0a32095ab044|054-281-8890|경상북도 포항시 남구 양학천로 80|09 : 00 ~ 17 : 00|129.360196872806|36.0206326285642
가람유치원||사립(사인)|1ecec08c-fcdb-b044-e053-0a32095ab044|053-311-8883|대구광역시 북구 칠곡중앙대로52길 20|09 : 00 ~ 18 : 00|128.549010584604|35.9202431932565
가람유치원||사립(사인)|1ecec08d-0da6-b044-e053-0a32095ab044|051-312-3050|부산광역시 사상구 엄궁로191번길 20|09 : 00 ~ 19 : 30|128.973465418194|35.1291474395672
가람유치원                                                              (폐원)||사립(사인)|1ecec08d-0387-b044-e053-0a32095ab044|051-255-5296|부산광역시 서구 해돋이로 422|09 : 00 ~ 19 : 00|129.009400046826|35.1083961616564
가람유치원||사립(사인)|1ecec08d-04f4-b044-e053-0a32095ab044|02-427-3151|서울특별시 강동구 상암로63길 39|09 : 00 ~ 19 : 00|127.153926568308|37.5482518859685
가람유치원                                                              (폐원)||사립(사인)|1ecec08d-0390-b044-e053-0a32095ab044|032-543-6625|인천광역시 계양구 주부토로 587|09 : 10 ~ 19 : 00|126.728352780046|37.5466892105517
가람유치원||공립(단설)|de8bd768-9d59-4ae2-9e96-a40d04d7afc1|041-339-3920|충청남도 홍성군 홍학로 180|09 : 00 ~ 17 : 00|126.6830426321|36.6416273807
가람초등학교병설유치원                                                              (폐원)||사립(사인)|1ecec08d-0a15-b044-e053-0a32095ab044|055-753-4783|경상남도 진주시 남강로959번길 22|-|128.101466766464|35.1736143958568
가림유치원||사립(사인)|1ecec08c-ef33-b044-e053-0a32095ab044|02-898-5550|경기도 광명시 가림로 40|09 : 00 ~ 18 : 20|126.866452267865|37.4641801220579
가림초등학교병설유치원||공립(병설)|1ecec08d-0716-b044-e053-0a32095ab044|02-808-4091|경기도 광명시 금당로 11-7|09 : 00 ~ 18 : 00|126.878410321901|37.4584641178986
가명유치원||사립(법인)|1ecec08c-f734-b044-e053-0a32095ab044|02-362-7593|서울특별시 중구 청파로 447-1|09 : 00 ~ 14 : 00|126.967621626777|37.5591420997771
가북초등학교병설유치원||공립(병설)|1ecec08c-f0ed-b044-e053-0a32095ab044|055-942-2730|경상남도 거창군 가북로 628|08 : 30 ~ 16 : 30|127.992652603013|35.7632796148145
가사초등학교병설유치원||공립(병설)|1ecec08c-f3f6-b044-e053-0a32095ab044|031-683-8077|경기도 평택시 기산2길 16|08 : 30 ~ 17 : 00|126.91697512554|36.938236460318
가사초등학교병설유치원||공립(병설)|1ecec08d-048d-b044-e053-0a32095ab044|041-662-1396|충청남도 서산시 강경벌로 478|08 : 40 ~ 17 : 00|126.372011830787|36.7526329444523
가산초등학교병설유치원||공립(병설)|1ecec08d-06dd-b044-e053-0a32095ab044|031-544-7434|경기도 포천시 가산로309번길 25|09 : 00 ~ 17 : 00|127.186210817832|37.8472295043886
가산초등학교병설유치원                                                              (폐원)||공립(병설)|1ecec08d-0d92-b044-e053-0a32095ab044|055-932-5711|경상남도 합천군 가조가야로 2754-10|08 : 30 ~ 16 : 30|128.126775707634|35.7494648719035
가산초등학교병설유치원||공립(병설)|1ecec08d-0cc8-b044-e053-0a32095ab044|054-974-7574|경상북도 칠곡군 경북대로 1500|08 : 30 ~ 16 : 30|128.539938506088|36.0801007819024
가수원초등학교병설유치원||공립(병설)|1ecec08c-f56e-b044-e053-0a32095ab044|042-542-3516|대전광역시 서구 벌곡로 1359|09 : 00 ~ 17 : 30|127.353245793785|36.3031225719059
가수초등학교병설유치원||공립(병설)|1ecec08c-f84b-b044-e053-0a32095ab044|031-377-8564|경기도 오산시 가수로 50|08 : 40 ~ 17 : 00|127.047956075958|37.1481036040254
가야곡초등학교병설유치원||공립(병설)|1ecec08c-fcbc-b044-e053-0a32095ab044|070-7805-1856|충청남도 논산시 덕은로 160|09 : 00 ~ 17 : 00|127.168396566917|36.1440058728963
가야유치원                                                              (폐원)||사립(사인)|1ecec08d-0038-b044-e053-0a32095ab044|033-573-3447|강원도 삼척시 척주로 58|09 : 00 ~ 18 : 00|129.170410965208|37.4440779410402
가야유치원||사립(사인)|1ecec08d-05d5-b044-e053-0a32095ab044|055-321-9568|경상남도 김해시 활천로 195-8|09 : 00 ~ 18 : 00|128.90011649696|35.2426553837487
가야유치원||사립(사인)|1ecec08c-fc0c-b044-e053-0a32095ab044|054-473-5556|경상북도 구미시 옥계2공단로 264-11|09 : 00 ~ 17 : 00|128.417521564911|36.1278888398987
가야유치원||사립(사인)|1ecec08d-0bb0-b044-e053-0a32095ab044|053-584-2368|대구광역시 달서구 성서동로 350|09 : 10 ~ 19 : 00|128.517365154083|35.8521308005324
가양초등학교병설유치원||공립(병설)|c1316203-6458-4e94-89bb-e852b33286fb|055-367-7448|경상남도 양산시 물금로 60|09 : 00 ~ 17 : 00|128.9915796789|35.3106872621
가온유치원||사립(사인)|1fd6777e-1541-e0b0-e053-0a32095ae0b0|033-645-1231|강원도 강릉시 하슬라로20번길 15|09 : 00 ~ 16 : 00|128.879358137224|37.7561090100373
가온유치원||사립(사인)|1ecec08c-f36d-b044-e053-0a32095ab044|031-278-5355|경기도 수원시 장안구 정자천로13번길 30|08 : 30 ~ 19 : 00|126.978567749696|37.2900982502867
가온유치원||공립(단설)|1fc6dd86-ccc6-d1d2-e053-0a32095ad1d2|031-949-7366|경기도 파주시 가온로 134|09 : 00 ~ 18 : 30|126.747281147648|37.720682629496
가온유치원||사립(사인)|e762de5b-a0c9-4c8b-9d60-b47c6691951c|055-546-6657|경상남도 창원시 진해구 조천북로68번길 3|09 : 00 ~ 19 : 00|128.6804553626|35.1595416924
가온유치원                                                              (폐원)||사립(사인)|05ad2312-7347-45ca-9224-f41fa4051966|053-627-1900|대구광역시 달서구 조암남로20길 27|08 : 00 ~ 16 : 10|128.521541077688|35.8207701943036
가온유치원||공립(단설)|1ecec08c-ed0c-b044-e053-0a32095ab044|044-867-3062|세종특별자치시  보람로 71|09 : 00 ~ 17 : 00|127.26237094262|36.5146549234242
가온유치원||사립(법인)|1ecec08c-fd71-b044-e053-0a32095ab044|063-278-1007|전라북도 전주시 덕진구 숲정이2길 15-1|09 : 00 ~ 17 : 00|127.130341044171|35.8296513866315
가온초등학교병설유치원||공립(병설)|1ecec08d-02fe-b044-e053-0a32095ab044|031-945-1794|경기도 파주시 가온로 134|-|126.747281147648|37.720682629496
가온호수유치원||사립(사인)|1ecec08d-0aac-b044-e053-0a32095ab044|031-945-7008|경기도 파주시 한빛로 70|09 : 00 ~ 19 : 00|126.756715355249|37.7151318093128
가운초등학교병설유치원||공립(병설)|1ecec08c-f85e-b044-e053-0a32095ab044|031-558-3803|경기도 남양주시 가운로2길 54|09 : 00 ~ 17 : 00|127.155810645101|37.600570006538
가원유치원||사립(법인)|1ecec08c-f72d-b044-e053-0a32095ab044|041-562-1004|충청남도 천안시 동남구 목천안터1길 55|09 : 00 ~ 18 : 00|127.20755193322|36.7770389850415
가은초등학교병설유치원||공립(병설)|1ecec08c-ff84-b044-e053-0a32095ab044|054-571-6281|경상북도 문경시 가은로 129|08 : 30 ~ 16 : 30|128.062074737643|36.6443381393461
가은초등학교희양분교장병설유치원                                                                                              (휴원)||공립(병설)|1ecec08c-f6c0-b044-e053-0a32095ab044|054-571-9141|경상북도 문경시 대야로 1871|-|128.011596648713|36.6703264444
가음초등학교병설유치원                                                                                              (휴원)||공립(병설)|1ecec08c-f73c-b044-e053-0a32095ab044|054-832-2964|경상북도 의성군 산성가음로 2194|08 : 30 ~ 16 : 30|128.728451789385|36.2318676759055
가조초등학교병설유치원||공립(병설)|1ecec08d-0f4c-b044-e053-0a32095ab044|055-943-8364|경상남도 거창군 가조가야로 1087|08 : 30 ~ 16 : 30|128.013631428419|35.711500048594
가좌초등학교병설유치원||공립(병설)|1ecec08d-0c00-b044-e053-0a32095ab044|031-922-6047|경기도 고양시 일산서구 가좌2로 31|09 : 00 ~ 18 : 00|126.721364648651|37.68848159848
가좌초등학교병설유치원||공립(병설)|1ecec08c-fab7-b044-e053-0a32095ab044|055-756-0534|경상남도 진주시 내동로348번길 17|09 : 00 ~ 18 : 00|128.103331847529|35.1495783394142
가천초등학교병설유치원||공립(병설)|1ecec08d-0c0c-b044-e053-0a32095ab044|054-932-4046|경상북도 성주군 가천로 52|08 : 30 ~ 16 : 30|128.16763220501|35.8852292537146
가천초등학교병설유치원                                                                                              (휴원)||공립(병설)|1ecec08c-facc-b044-e053-0a32095ab044|063-262-9174|전라북도 완주군 경가천길 148-9|08 : 30 ~ 16 : 30|127.263939456347|36.0331370673389
가톨릭상지대학부속상지유치원||사립(법인)|1ecec08c-f0e9-b044-e053-0a32095ab044|054-857-6763|경상북도 안동시 상지길 31|09 : 00 ~ 18 : 00|128.733601827516|36.5697267875453
가파초등학교병설유치원||공립(병설)|1ecec08d-0f29-b044-e053-0a32095ab044|794-6711|제주특별자치도 서귀포시 가파로67번길 45|09 : 00 ~ 17 : 00|126.270222588169|33.1693215319979
가평마장초등학교병설유치원||공립(병설)|1ecec08c-f0a3-b044-e053-0a32095ab044|031-582-8796|경기도 가평군 각담말길 15|09 : 00 ~ 17 : 00|127.51474004756|37.8596106628962
가평유치원||공립(단설)|1ecec08d-044c-b044-e053-0a32095ab044|031-582-4986|경기도 가평군 향교로 23-3|09 : 00 ~ 19 : 00|127.507532939758|37.8295317964485
가평초등학교병설유치원||공립(병설)|1ecec08c-f8e2-b044-e053-0a32095ab044|063-561-5665|전라북도 고창군 가평로 472|08 : 30 ~ 17 : 00|126.738516468559|35.4779146745992
가평초등학교병설유치원                                                                                              (휴원)||공립(병설)|1ecec08d-036b-b044-e053-0a32095ab044|043-423-0995|충청북도 단양군 가평길 58|09 : 00 ~ 17 : 00|128.282641607074|37.0729353141634
가현도담유치원||사립(사인)|abea1f9f-597c-4905-87aa-d8aceebb0a6b|031-114|경기도 김포시 김포한강8로194번길 20-8|09 : 00 ~ 19 : 00|126.645109057962|37.6388596500003
가현초등학교병설유치원||공립(병설)|1ecec08c-ee7c-b044-e053-0a32095ab044|031-996-1870|경기도 김포시 김포한강2로 83|09 : 00 ~ 17 : 00|126.674002257374|37.6380758333456
가회초등학교병설유치원||공립(병설)|1ecec08d-0d93-b044-e053-0a32095ab044|055-932-5902|경상남도 합천군 황매산로 58-2|08 : 40 ~ 16 : 40|128.034409920175|35.4350650732577
가흥초등학교병설유치원||공립(병설)|1ecec08d-0c14-b044-e053-0a32095ab044|043-855-7049|충청북도 충주시 가곡로 2037|08 : 40 ~ 16 : 40|127.854467859645|37.0767095095223
각골초등학교병설유치원||공립(병설)|1ecec08d-017c-b044-e053-0a32095ab044|031-502-1768|경기도 안산시 상록구 석호로 384|09 : 00 ~ 17 : 00|126.872808814695|37.2931031918732
각남초등학교병설유치원||공립(병설)|1ecec08d-08c3-b044-e053-0a32095ab044|054-372-6065|경상북도 청도군 각남로 59|08 : 30 ~ 16 : 30|128.657696692432|35.6427674712085
각리초등학교병설유치원||공립(병설)|1ecec08c-f38b-b044-e053-0a32095ab044|043-217-2278|충청북도 청주시 청원구 오창중앙로 47-8|08 : 40 ~ 16 : 10|127.423923664995|36.7068592993247
각화초등학교병설유치원||공립(병설)|1ecec08c-ffa2-b044-e053-0a32095ab044|062-260-2687|광주광역시 북구 각화대로39번길 10|09 : 00 ~ 18 : 30|126.935747773398|35.1824353865837
간문초등학교병설유치원||공립(병설)|1ecec08c-f0b2-b044-e053-0a32095ab044|061-781-4306|전라남도 구례군 간전중앙로 164|09 : 00 ~ 17 : 00|127.542450566726|35.1775195376598
간석유치원||사립(사인)|1ecec08c-f3fc-b044-e053-0a32095ab044|032-467-6446|인천광역시 남동구 석산로220번길 18|09 : 30 ~ 19 : 00|126.715954690711|37.4600352361387
간성초등학교병설유치원||공립(병설)|1ecec08c-f1ed-b044-e053-0a32095ab044|033-681-2003|강원도 고성군 간성로39번길 20|09 : 00 ~ 17 : 00|128.469691408062|38.377996914916
간중초등학교병설유치원||공립(병설)|1ecec08c-facd-b044-e053-0a32095ab044|063-243-7355|전라북도 완주군 간중길 39|08 : 30 ~ 17 : 00|127.181230522517|35.8912635578196
갈곡초등학교병설유치원||공립(병설)|1ecec08c-fd5a-b044-e053-0a32095ab044|031-285-9665|경기도 용인시 기흥구 강남동로 61|09 : 00 ~ 17 : 00|127.133251985891|37.2712832964269
갈곶초등학교병설유치원||공립(병설)|1ecec08c-f89d-b044-e053-0a32095ab044|031-372-5125|경기도 평택시 엘지로 57|09 : 00 ~ 17 : 00|127.072030848934|37.125627850674
갈담초등학교병설유치원||공립(병설)|1ecec08d-0b51-b044-e053-0a32095ab044|031-227-0233|경기도 화성시 갈담초교길 24|09 : 00 ~ 17 : 00|126.932910063713|37.175142447568
갈담초등학교병설유치원||공립(병설)|1ecec08d-05bc-b044-e053-0a32095ab044|063-643-7784|전라북도 임실군 호국로 65|08 : 30 ~ 16 : 30|127.165386541638|35.5318873143647
갈래초등학교병설유치원||공립(병설)|1ecec08c-f537-b044-e053-0a32095ab044|033-591-1341|강원도 정선군 고한로 300|09 : 00 ~ 17 : 00|128.866141713153|37.1948907800971
갈매유치원||공립(단설)|2bb1753f-a8e1-4c01-b006-f3976ed65827|031-523-8750|경기도 구리시 산마루로 72|09 : 00 ~ 18 : 00|127.1210611535|37.6293162375
갈매초등학교병설유치원||공립(병설)|1ecec08d-0727-b044-e053-0a32095ab044|031-522-2871|경기도 구리시 경춘북로 179-0(갈매동)|09 : 00 ~ 17 : 00|127.112429634458|37.6295011538512
갈뫼유치원||사립(사인)|1ecec08c-f63a-b044-e053-0a32095ab044|031-429-6723|경기도 의왕시 오리나무1길 11|09 : 00 ~ 19 : 00|126.969068157874|37.3755466836295
갈뫼초등학교병설유치원||공립(병설)|1ecec08d-09ad-b044-e053-0a32095ab044|031-426-6706|경기도 의왕시 갈미로 27|09 : 00 ~ 18 : 00|126.972236036239|37.37679394431
갈산초등학교병설유치원||공립(병설)|1ecec08d-0461-b044-e053-0a32095ab044|041-634-6653|충청남도 홍성군 갈산로 135|09 : 00 ~ 17 : 00|126.554576842227|36.6027934282526
갈원초등학교병설유치원||공립(병설)|1ecec08d-0827-b044-e053-0a32095ab044|043-260-6615|충청북도 청주시 서원구 저산척북로 375|09 : 00 ~ 18 : 00|127.396572043628|36.5688698837511
갈천초등학교병설유치원                                                                                              (휴원)||공립(병설)|1ecec08d-0b52-b044-e053-0a32095ab044|031-352-0599|경기도 화성시 발안로 701-23|09 : 00 ~ 17 : 00|126.980294605269|37.1279140479548
갈현초등학교병설유치원||공립(병설)|1ecec08c-fcee-b044-e053-0a32095ab044|031-945-9022|경기도 파주시 평화로591번길 76|09 : 00 ~ 16 : 30|126.716362605039|37.7718250515204
감계초등학교병설유치원||공립(병설)|1386cea1-fd86-4add-9f07-2c03ac6b1417|055-296-3711|경상남도 창원시 의창구 감계로140번길 51|09 : 00 ~ 17 : 30|128.5884823392|35.3003404429
감곡초등학교병설유치원||공립(병설)|1ecec08d-0453-b044-e053-0a32095ab044|063-571-1048|전라북도 정읍시 감곡동서로 355|08 : 30 ~ 17 : 00|126.926318706965|35.7189872542017
감곡초등학교병설유치원||공립(병설)|1ecec08d-0f22-b044-e053-0a32095ab044|041-732-7067|충청남도 논산시 계백로 1676-26|08 : 30 ~ 16 : 30|127.160307904545|36.2100271932817
감곡초등학교병설유치원||공립(병설)|1ecec08d-0f18-b044-e053-0a32095ab044|043-881-2020|충청북도 음성군 장감로 207|08 : 40 ~ 17 : 00|127.645439019969|37.1160655380308
감물초등학교병설유치원||공립(병설)|1ecec08c-f4a4-b044-e053-0a32095ab044|043-833-5217|충청북도 괴산군 남양동길 38|08 : 30 ~ 16 : 40|127.871441951633|36.8391405735042
감성초등학교병설유치원||공립(병설)|1ecec08c-f4d7-b044-e053-0a32095ab044|070-5180-1914|세종특별자치시  감성길 6|09 : 00 ~ 17 : 00|127.289373199501|36.4435261250513
감전샛별유치원||사립(법인)|1ecec08d-0504-b044-e053-0a32095ab044|051-317-5042|부산광역시 사상구 괘감로 77|10 : 00 ~ 18 : 00|128.98343170505|35.158307751565
감전초등학교병설유치원||공립(병설)|1ecec08c-ef4f-b044-e053-0a32095ab044|051-310-8393|부산광역시 사상구 괘감로 132|09 : 00 ~ 18 : 00|128.988037524346|35.1553092803352
감정초등학교병설유치원||공립(병설)|1ecec08c-f96f-b044-e053-0a32095ab044|031-982-0609|경기도 김포시 중봉로 11|09 : 00 ~ 17 : 00|126.695331713399|37.6234829925507
감정초등학교병설유치원                                                              (폐원)||공립(병설)|1ecec08c-f155-b044-e053-0a32095ab044|051-207-3368|부산광역시 사하구 옥천로 130|09 : 00 ~ 18 : 00|129.01109072427|35.0968604834536
감천초등학교병설유치원||공립(병설)|1ecec08d-0c7f-b044-e053-0a32095ab044|055-231-5874|경상남도 창원시 마산회원구 감천로 53|08 : 30 ~ 17 : 00|128.515475734208|35.2071873949088
감천초등학교병설유치원||공립(병설)|1ecec08d-01d0-b044-e053-0a32095ab044|054-431-0006|경상북도 김천시 금감로 1550-2|08 : 30 ~ 16 : 30|128.125389716256|36.0656232297154
감천초등학교병설유치원||공립(병설)|1ecec08d-0674-b044-e053-0a32095ab044|054-652-9939|경상북도 예천군 충효로 1395|08 : 30 ~ 17 : 00|128.526415935285|36.7225618910761
감천초등학교병설유치원||공립(병설)|1ecec08c-fa2e-b044-e053-0a32095ab044|051-201-1107|부산광역시 사하구 원양로 368-2|09 : 00 ~ 18 : 00|129.007918521826|35.0832394804996
감포초등학교병설유치원||공립(병설)|1ecec08c-f262-b044-e053-0a32095ab044|054-776-2683|경상북도 경주시 감포로10길 21|08 : 40 ~ 17 : 00|129.503091521237|35.8089686102798
갑룡초등학교병설유치원||공립(병설)|1ecec08d-0812-b044-e053-0a32095ab044|032-934-9515|인천광역시 강화군 갑룡길 88|08 : 40 ~ 19 : 00|126.502625387759|37.744826660074
갑천초등학교병설유치원||공립(병설)|1ecec08d-0495-b044-e053-0a32095ab044|033-343-9015|강원도 횡성군 청정로 262|09 : 00 ~ 17 : 00|128.107662012021|37.5575527995203
강경산양초등학교병설유치원||공립(병설)|1ecec08c-f9a1-b044-e053-0a32095ab044|041-745-2219|충청남도 논산시 산양길 45|08 : 30 ~ 16 : 30|127.021420857715|36.1470780344735
강경중앙초등학교병설유치원||공립(병설)|1ecec08d-0050-b044-e053-0a32095ab044|041-745-6674|충청남도 논산시 옥녀봉로 8|08 : 30 ~ 16 : 30|127.01957375434|36.16070495351
강경황산초등학교병설유치원||공립(병설)|1ecec08d-0051-b044-e053-0a32095ab044|041-745-0263|충청남도 논산시 대흥로34번길 5|08 : 30 ~ 16 : 30|127.012945598378|36.1575272230597
강구초등학교병설유치원||공립(병설)|1ecec08d-0f27-b044-e053-0a32095ab044|054-734-1680|경상북도 영덕군 나비산길 8|08 : 30 ~ 16 : 30|129.378080380248|36.3570830330682
강남대학교사범대학부설유치원||사립(법인)|1ecec08c-f180-b044-e053-0a32095ab044|031-275-0061|경기도 용인시 기흥구 강남로 40|09 : 00 ~ 18 : 00|127.13443337509|37.2777184122189
강남새싹유치원||사립(사인)|1ecec08c-fd9a-b044-e053-0a32095ab044|052-273-2363|울산광역시 남구 중앙로28번길 5-11|09 : 00 ~ 16 : 00|129.318613334508|35.5245748168924
강남유정유치원||사립(사인)|34140010-58e8-44b4-9e91-49d5eb6669e1|02-2226-9500|서울특별시 강남구 광평로34길 17|09 : 00 ~ 19 : 00|127.0949420948|37.4830073857
강남유치원||사립(사인)|1ecec08d-0285-b044-e053-0a32095ab044|031-293-7003|경기도 수원시 권선구 수성로 18|09 : 00 ~ 19 : 00|126.975890391846|37.280542514807
강남유치원||사립(사인)|1ecec08d-0710-b044-e053-0a32095ab044|031-275-7171|경기도 용인시 기흥구 강남동로114번길 6|08 : 30 ~ 18 : 30|127.136925657166|37.2738771212942
