##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD@@파파이스치킨
파파이스치킨|방학역점|02-3492-8824|서울시 도봉구 도봉로 696|서울시 도봉구 도봉로 696| 127.043424|37.666496
파파이스치킨|신대방삼거리역|02-812-8824|서울시 동작구 상도로 59|서울시 동작구 상도로 59| 126.927075|37.499932
파파이스치킨|신도림 테크노마트점|02-863-8824|서울시 구로구 구로동 3-25번지 신도림 테크노마트 판매동 10층 13호|서울시 구로구 새말로 97 신도림 테크노마트 판매동 10층 13호|126.890247|37.506917
파파이스치킨|신림점|02-865-8824|서울특별시 관악구 난곡로 262|서울특별시 관악구 난곡로 262|126.91572|37.477238
파파이스치킨|역삼역점|02-2051-8824|서울시 강남구 논현로 406|서울시 강남구 논현로 406|127.039287|37.496476
파파이스치킨|연신내점|02-355-8805|서울시 은평구 연서로 216|서울시 은평구 연서로 216|126.920089|37.617775
파파이스치킨|위례점|02-400-8824|서울시 송파구 위례광장로 270|서울시 송파구 위례광장로 270| 127.143861|37.477635
파파이스치킨|이대역점|02-364-8824|서울시 서대문구 이화여대길 20|서울시 서대문구 이화여대길 20| 126.945954|37.557776
파파이스치킨|장안점|02-2115-1100|서울시 동대문구 장안동 368-1 바우하우스 10층|서울시 동대문구 답십리로 288  바우하우스 10층|127.07235|37.571836
파파이스치킨|충무로점|02-2264-8854|서울시 중구 필동 2가 15-7 대한극장 옆|서울시 중구 퇴계로 206  대한극장 옆|126.994797|37.561157
파파이스치킨|프라임점|010-5848-1411|서울시 광진구 구의동 546-4 테크노마트판매동9F 43|서울시 광진구 광나루로56길 85  테크노마트판매동9F 43|127.095701|37.534907
파파이스치킨|홍대대학로점|02-763-8824|서울특별시 종로구 연건동 128-8 홍익대 대학로캠퍼스 아트센터 1층|서울시 종로구  대학로 57 홍익대 대학로캠퍼스 아트센터 1층|127.001456|37.576483
파파이스치킨|익산KTX점|063-854-8824|전북 익산시 창인동2가 1 익산역 1층|전북 익산시 창인동2가 1 익산역 1층| 126.946379|35.940292
파파이스치킨|철원점|033-455-8824|강원도 철원군 동송읍 이평리 679-19|강원도 철원군 동송읍 금학로 234-1|127.217484|38.209384
파파이스치킨|하이원리조트점(휴점)|033-591-8823|강원도 정선군 고한읍 하이원길 500 밸리콘도 3층|강원도 정선군 고한읍 하이원길 500 밸리콘도 3층| 128.840353|37.205530
파파이스치킨|거창점|055-943-8899|경상남도 거창군 거창읍 거열로 84|경상남도 거창군 거창읍 거열로 84| 127.903046|35.688312
파파이스치킨|경상대생협점(휴점)|055-772-0947|경상남도 진주시 진주대로 501 경상대학교 느티마루 식당1층|경상남도 진주시 진주대로 501 경상대학교 느티마루 식당1층| 128.098025|35.150655
파파이스치킨|창원대동점|055-212-8851|경상남도 창원시 성산구 상남동 44-1 대동백화점 1층|경상남도 창원시 성산구 동산로 115  대동백화점 1층|128.691023|35.220306
파파이스치킨|논산점|041-734-8823|충남 논산시 해월로 172 1층|충남 논산시 해월로 172 1층| 127.085796|36.205216
파파이스치킨|천안두정점|041- 569-3377|충청남도 천안시 두정동 68-1외 6필지 센트하임프라자 3층 301호|충청남도 천안시 서북구 1공단1길 52 센트하임프라자 3층 301호|127.148417|36.832409
파파이스치킨|천안모다점|041-904-6908|충청남도 천안시 서북구 불당동 1289-1번지 펜타포트 모다아울렛 1층|충청남도 천안시 서북구 공원로 196 펜타포트 모다아울렛 1층|127.106269|36.808378
파파이스치킨|문현이마트점|051-631-8825|부산광역시 남구 문현동 751번지 문현이마트내 1층|부산광역시 남구 전포대로 91번길 47  문현이마트내 1층|129.064218|35.144312
파파이스치킨|반여홈플러스점|051-522-8824|부산광역시 해운대구 반여1동 1406-1 홈플러스 1층|부산광역시 해운대구 선수촌로21번길 37 반여홈플러스 1층|129.102402|35.187942
파파이스치킨|광주야구장점|062-526-8811|광주광역시 북구 서림로 10|광주광역시 북구 서림로 10| 126.889478|35.167537
파파이스치킨|광주충장로점|062-222-0422|광주광역시 동구 충장로안길 12|광주광역시 동구 충장로안길 12| 126.914652|35.148105
파파이스치킨|인천완정역점|032-565-8829|인천광역시 서구 청마로19번길 21|인천광역시 서구 청마로19번길 21| 126.672781|37.592444
파파이스치킨|인하대병원점|032-891-8878|인천광역시 중구 신흥동 3가 7-206 인하대병원 지하1층|인천광역시 중구 인항로 27  인하대병원 지하1층|126.633943|37.4585
파파이스치킨|작전홈플러스점|032-549-2020|인천광역시 계양구 작전동 홈플러스 2층|인천광역시 계양구 계양대로 27  홈플러스 2층|126.721184|37.526133
