##NAME|SUBNAME|ID|TELNUM|ADDR|NEWADDR|ETCADDR|OT|FEAT|XCOORD|YCOORD@@KFC
KFC|청주수곡DT점|1410780|043-283-5853|충북 청주시 서원구 수곡동 77-3|충북 청주시 서원구 수영로7번길 7 (수곡동)||매장 11:00 ~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;주차가능;단체주문|127.486542695|36.6155354895
KFC|청주메가폴리스점|1410732|043-233-0669|충북 청주시 흥덕구 가경동 1416-2|충북 청주시 흥덕구 풍산로 15 (가경동)|메가폴리스 1층|매장 10:30~23:00 / 딜리버리 11:00~23:00|딜리버리;단체주문;징거벨오더|127.431992509|36.6267828065
KFC|청량리역사점|1410688|02-3707-1370|서울 동대문구 전농동 591-53|서울 동대문구 왕산로 214 (전농동)|청량리역사3층303호 (전농동)|09:00~23:00|단체주문;지하철인근;징거벨오더|127.047901608|37.5799655333
KFC|청계천점|1410782|02-720-7947|서울 종로구 서린동 88|서울 종로구 청계천로 35 (서린동)|관정빌딩 1층|매장 10:00~23:00 / 딜리버리 10:00~23:00|치맥;딜리버리;단체주문;징거벨오더|126.981377262|37.569338442
KFC|천호역점|1410724|02-475-0332|서울 강동구 성내동 43-11|서울 강동구 천호옛길 88 (성내동)|G-lite빌딩 1층|매장 10:30~24:00 / 딜리버리 10:30~23:30|치맥;딜리버리;단체주문;징거벨오더|127.125825925|37.5364837579
KFC|천안쌍용점|1410794|041-902-0960|충남 천안시 서북구 쌍용동 203-19|충남 천안시 서북구 충무로 205 (쌍용동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;징거벨오더|127.12880491|36.796666409
KFC|천안신부동점|1410716|041-565-0332|충남 천안시 동남구 신부동 455-14|충남 천안시 동남구 먹거리10길 11 (신부동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;단체주문;징거벨오더|127.154986224|36.8179914999
KFC|천안불당점|1410835|041-522-3616|충남 천안시 서북구 불당동 1614|충남 천안시 서북구 불당26로 50 (불당동, 천안불당지웰시티푸르지오2단지)|F107-1,2호|매장 10:30 ~ 23:00 / 딜리버리 11:00 ~ 23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|127.105655595|36.8127001771
KFC|창원상남동점|1410575|055-283-6083|경남 창원시 성산구 상남동 1-6|경남 창원시 성산구 원이대로 658 (상남동)|상남프라자1층 (상남동)|매장 10:30~23:00 / 딜리버리 10:30~23:00|딜리버리;단체주문;징거벨오더|128.685383711|35.2241089197
KFC|창원더시티세븐점|1410662|055-600-5308|경남 창원시 의창구 대원동 121|경남 창원시 의창구 원이대로 320 (대원동)|시티세븐몰 1층 101호|매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;징거벨오더|128.654407468|35.2396660497
KFC|진주이마트점|1410797|055-924-0924|경남 진주시 인사동 3|경남 진주시 진양호로 477 (인사동)|진주이마트 지하1층|매장 10:30 ~ 22:20 / 딜리버리  11:00 ~ 22:00|딜리버리;대형마트&백화점내;징거벨오더|128.077412908|35.191596552
KFC|중계은행사거리점|1410799|02-6436-0390|서울 노원구 중계동 360-14|서울 노원구 한글비석로 227 (중계동)||매장 10:00~24:00 / 딜리버리 10:30~23:30|딜리버리;단체주문;징거벨오더|127.076250922|37.6479103853
KFC|주엽역점|1410652|031-924-7211|경기 고양시 일산서구 주엽동 109|경기 고양시 일산서구 중앙로 1437 (주엽동)|화성프라자101,102,201호|매장 10:00~23:30 / 딜리버리 10:30~23:00|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|126.760497593|37.6700578372
KFC|종로점|1410301|02-735-1230|서울 종로구 종로2가 71-4|서울 종로구 종로 88 (종로2가)||매장 10:00~23:00 / 딜리버리 10:00~23:00|딜리버리;단체주문;지하철인근;징거벨오더|126.987181764|37.5699518918
KFC|정자역점|1410733|031-711-3339|경기 성남시 분당구 정자동 15-7|경기 성남시 분당구 느티로 27 (정자동)||매장: 10:30 ~ 01:30 / 딜리버리: 10:30~01:00|치맥;딜리버리;단체주문;지하철인근;징거벨오더|127.107518734|37.3688233361
KFC|전주영화점|1410738|063-231-8318|전북 전주시 완산구 고사동 114-2|전북 전주시 완산구 전주객사4길 24-14 (고사동)||매장 10:30~22:30 / 딜리버리 10:30~22:30|딜리버리;단체주문;지하철인근;징거벨오더|127.144646234|35.8188717346
KFC|전북도청점|1410754|063-221-2920|전북 전주시 완산구 효자동3가 1525-1|전북 전주시 완산구 효자로 194 (효자동3가)|로자벨시티 106호|매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;단체주문;징거벨오더|127.106469313|35.8186340229
KFC|잠실점|1410364|02-421-6528|서울 송파구 잠실동 234-7|서울 송파구 백제고분로 159 (잠실동)||매장 10:30~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|127.084651563|37.5055367713
KFC|일원동점|1410613|02-445-6449|서울 강남구 일원동 615|서울 강남구 개포로110길 15 (일원동, 우성7차아파트)||매장 10:30~23:00 / 딜리버리 11:00~23:00|딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근|127.079114888|37.4932436794
KFC|일산후곡점|1410831|031-923-8309|경기 고양시 일산서구 일산동 1059-2|경기 고양시 일산서구 일산로 577 (일산동)|문화촌상가 1층|매장 10:30 ~ 23:00 / 딜리버리 10:30 ~ 23:00|딜리버리;징거벨오더|126.764100945|37.6789919838
KFC|일산장항점|1410808|031-901-9610|경기 고양시 일산동구 장항동 859-1|경기 고양시 일산동구 정발산로 27 (장항동)||매장 10:00~24:30 / 딜리버리 10:30~24:00|치맥;딜리버리;징거벨오더|126.771849801|37.6569296487
KFC|인천청라점|1410753|032-561-1506|인천 서구 청라동 163-3|인천 서구 중봉대로586번길 19 (연희동)||매장 10:30~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;단체주문;징거벨오더|126.652037602|37.5321062019
KFC|인천스퀘어원점|1410719|032-456-4490|인천 연수구 동춘동 926|인천 연수구 청능대로 210 (동춘동)|SQUARE 1 외부광장동 1층|매장 10:30~23:00 / 딜리버리 11:00 ~ 23:00|치맥;딜리버리;주차가능;단체주문;대형마트&백화점내;지하철인근;징거벨오더|126.683623521|37.405999969
KFC|인천더플라워점|1410689|032-541-8928|인천 계양구 작전동 899-1|인천 계양구 장제로 738 (작전동)|김포공항아울렛 계양점 1층 (작전동)|매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문|126.734513737|37.5337259694
KFC|인천논현점|1410807|032-431-9726|인천 남동구 논현동 747-1|인천 남동구 논고개로 61 (논현동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;징거벨오더|126.727518563|37.3975387891
KFC|인천구월점|1410759|032-461-6101|인천 남동구 구월동 1199-9|인천 남동구 남동대로 784 (구월동)|1,2층|매장 10:00~01:00 / 딜리버리 10:30~00:30|딜리버리;단체주문;징거벨오더|126.7083243|37.452242247
KFC|인천공항랜드2점|1410788|032-743-3618|인천 중구 운서동 2840|인천 중구 공항로 272 (운서동)|인천국제공항 여객터미널 1층|매장 24시간 / 딜리버리 운영 안함|24시간매장;Wi-Fi 매장;주차가능;단체주문;지하철인근|126.427697698|37.4583524165
KFC|이천터미널점|1410720|031-634-0324|경기 이천시 중리동 218-5|경기 이천시 중리천로 84 (중리동)||매장 10:00~22:30 / 딜리버리 11:00~22:30|치맥;딜리버리;단체주문;징거벨오더|127.446349554|37.2782229466
KFC|이대점|1410727|02-312-3921|서울 서대문구 대현동 37-39|서울 서대문구 이화여대길 81 (대현동)||매장 10:30 ~ 23:00 / 딜리버리 11:00 ~ 23:00|치맥;딜리버리;Wi-Fi 매장;단체주문|126.943926749|37.55897595
KFC|의정부엔터점|1410637|031-829-7972|경기 의정부시 의정부동 494|경기 의정부시 시민로 80 (의정부동)|센트럴타워빌딩 1층(의정부동)|매장 09:00 ~ 02:00 / 딜리버리 10:00~01:30|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|127.044286462|37.7377540763
KFC|의정부민락DT점|1410809|031-851-3761|경기 의정부시 민락동 805-1|경기 의정부시 천보로 64 (민락동)||매장 10:00~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;징거벨오더|127.094413717|37.745199023
KFC|의정부HP점|1410837|031-851-6073|경기 의정부시 금오동 475-1|경기 의정부시 청사로 38 (금오동)|홈플러스|매장: 10:00~23:00 / 딜리버리: 10:00~23:00|딜리버리;주차가능;단체주문;대형마트&백화점내;징거벨오더|127.071001888|37.752163715
KFC|응암역점|1410804|02-352-5961|서울 은평구 응암동 110-12|서울 은평구 은평로 102 (응암동)||매장 10:00~24:00 / 딜리버리 10:30~23:30|치맥;딜리버리;단체주문;징거벨오더|126.919105817|37.5995242926
KFC|은행동1점|1410686|042-251-8911|대전 중구 은행동 65-1|대전 중구 대종로488번길 54 (은행동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|127.429082224|36.3290267587
KFC|월계이마트점|1410648|02-971-8396|서울 노원구 월계동 333-1|서울 노원구 마들로3길 15 (월계동)|월계이마트2층 (월계동)|10:30~22:00|주차가능;단체주문;대형마트&백화점내;징거벨오더|127.061978305|37.6265077394
KFC|원주이마트점|1410817|033-761-6420|강원 원주시 무실동 1062-1|강원 원주시 북원로 1928 (무실동)|원주이마트 지하1층 푸드코트 內|10:30 ~ 22:00|대형마트&백화점내;징거벨오더|127.919037465|37.3206516472
KFC|원주단계DT점|1410830|033-734-0984|강원 원주시 단계동 214-4|강원 원주시 북원로 2266 (단계동)|KFC원주단계DT|매장 10:00 ~ 23:30 / 딜리버리 10:00~23:00|치맥;딜리버리;단체주문|127.934385459|37.348015526
KFC|웅진플레이도시점|1410663|032-220-7981|경기 부천시 상동 572-1|경기 부천시 조마루로 2 (상동)||매장 10:00~22:00 / 딜리버리 10:30~22:00|치맥;주차가능;단체주문;징거벨오더|126.744236834|37.4999706941
KFC|울산현대점|1410504|052-273-5032|울산 남구 달동 1367-3|울산 남구 삼산중로 71 (달동)||매장 10:00~01:30 / 딜리버리 10:30~00:00|딜리버리;주차가능;단체주문;징거벨오더|129.335116136|35.5399063957
KFC|우장산역점|1410770|02-2065-8641|서울 강서구 화곡동 70-5|서울 강서구 화곡로 230 (화곡동)|강서 힐스테이트 상가 18~22호|매장 10:00~23:30 / 딜리버리 10:30~23:00|치맥;딜리버리;단체주문;징거벨오더|126.845108765|37.5455853423
KFC|우이동점|1410327|02-995-1162|서울 도봉구 쌍문동 423-17|서울 도봉구 삼양로 544 (쌍문동)||매장 10:30~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|127.012981871|37.6517869172
KFC|용인에버랜드점|1410781|031-320-9057|경기 용인시 처인구 포곡읍 전대리 310|경기 용인시 처인구 포곡읍 에버랜드로 199|에버랜드리조트 內 버거카페 스타라이트|매장 11:00~22:00 / 딜리버리 운영 안함|주차가능|127.202129831|37.2940653413
KFC|용인상현점|1410756|031-261-3527|경기 용인시 수지구 상현동 255|경기 용인시 수지구 만현로 102 (상현동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;단체주문|127.084699547|37.3073014881
KFC|용인보정점|1410773|031-889-8566|경기 용인시 기흥구 보정동 1265-3|경기 용인시 기흥구 죽전로 52 (보정동)||매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;단체주문;징거벨오더|127.114670022|37.32029078
KFC|용인명지DT점|1410789|031-328-7538|경기 용인시 처인구 역북동 446-12|경기 용인시 처인구 중부대로 1339 (역북동)||매장 10:00~23:00 / 딜리버리 11:00~23:00|딜리버리;단체주문;징거벨오더|127.193728581|37.2354396637
KFC|용산아이파크몰점|1410677|02-2012-0641|서울 용산구 한강로3가 40-999|서울 용산구 한강대로23길 55 (한강로3가)|아이파크몰 6층|10:00~ 22:00|치맥;주차가능;단체주문;지하철인근;징거벨오더|126.964742747|37.5297736038
KFC|왕십리역사점|1410666|02-2200-1511|서울 성동구 행당동 168-151|서울 성동구 왕십리광장로 17 (행당동)|왕십리민자역사 지상1층 C-02호|매장 10:00~01:00 / 딜리버리 11:00~00:30|치맥;딜리버리;단체주문;지하철인근;징거벨오더|127.038396005|37.5614409414
KFC|오산DT점|1410769|031-372-2620|경기 오산시 원동 421-3|경기 오산시 경기대로 136 (원동)||매장 10:00~23:00 / 딜리버리 11:00~22:30|치맥;딜리버리;주차가능;단체주문;징거벨오더|127.073515488|37.1367441115
KFC|영통씨네마점|1410556|031-206-0168|경기 수원시 영통구 영통동 1011-1|경기 수원시 영통구 청명남로 40 (영통동)|영통시네마 1층|매장 10:00~24:00 / 딜리버리 10:00~23:30|치맥;딜리버리;주차가능;단체주문;징거벨오더|127.076301932|37.2529348729
KFC|영등포역점|1410693|02-2164-5226|서울 영등포구 영등포동 618-496|서울 영등포구 경인로 846 (영등포동)|영등포역사3층|매장 10:00~23:00 / 딜리버리 운영 안함|치맥;단체주문;지하철인근;징거벨오더|126.907667917|37.5156691168
KFC|염창동점|1410670|02-2093-7911|서울 강서구 염창동 240-21|서울 강서구 양천로 583 (염창동)|우림블루나인비즈니스센터1층|매장 10:30~23:00 / 딜리버리 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;주차가능;단체주문;지하철인근;징거벨오더|126.864347419|37.5571165523
KFC|연제이마트점|1410825|051-851-1069|부산 연제구 연산동 822-7|부산 연제구 연수로 89 (연산동)|연제이마트 1층 푸드코트|매장 10:30 ~ 22:00 / 딜리버리 11:00 ~ 22:00|대형마트&백화점내;징거벨오더|129.081316183|35.1761553747
KFC|역삼역점|1410591|02-569-2515|서울 강남구 역삼동 642-10|서울 강남구 논현로 509 (역삼동)|지상1층2층|매장 10:30~23:00 / 딜리버리 10:30~23:00|딜리버리;단체주문;지하철인근;징거벨오더|127.036090089|37.5019323393
KFC|여의도점|1410721|02-780-0338|서울 영등포구 여의도동 14-8|서울 영등포구 국회대로70길 15-1 (여의도동)|극동VIP빌딩 1층|매장 10:00 ~ 23:00 / 딜리버리 10:30 ~ 23:00|치맥;딜리버리;단체주문;지하철인근;징거벨오더|126.920398651|37.5296619402
KFC|양주고읍점|1410836|031-821-5886|경기 양주시 광사동 653-2|경기 양주시 고읍남로 24 (광사동)|레드플라자 1층 106호|매장: 10:30~23:00 / 딜리버리: 11:00~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|127.078930883|37.7944499251
KFC|양재동점|1410373|02-576-4020|서울 서초구 양재동 12-3|서울 서초구 남부순환로350길 4 (양재동)||매장 10:00~23:00 / 딜리버리 10:00~23:00|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근|127.035177096|37.4843377475
KFC|양산이마트점|1410730|055-366-8267|경남 양산시 중부동 705|경남 양산시 양산역6길 12 (중부동)||매장 10:30~22:00 / 딜리버리 11:00~22:00|딜리버리;주차가능;단체주문;대형마트&백화점내;지하철인근;징거벨오더|129.026440305|35.3368250914
KFC|야탑역점|1410751|031-701-9137|경기 성남시 분당구 야탑동 366-3|경기 성남시 분당구 성남대로916번길 7 (야탑동)||매장 10:00~01:00 / 딜리버리 10:30~24:30|치맥;딜리버리;단체주문;지하철인근;징거벨오더|127.129863147|37.4111597751
KFC|압구정1점|1410362|02-545-2617|서울 강남구 신사동 581|서울 강남구 논현로175길 7 (신사동)||매장 10:00~23:00 / 딜리버리 10:30~23:00|치맥;딜리버리;주차가능;단체주문;지하철인근;징거벨오더|127.02792478|37.5261427259
KFC|안양호계점|1410806|031-381-9580|경기 안양시 동안구 호계동 1058-4|경기 안양시 동안구 평촌대로 135 (호계동)||매장 10:30~24:00 / 딜리버리 10:30~23:30|딜리버리;단체주문;징거벨오더|126.959088527|37.3840852433
KFC|안양점|1410390|031-466-2093|경기 안양시 만안구 안양동 674-140|경기 안양시 만안구 안양로292번길 7 (안양동)||매장 10:30~01:30 / 딜리버리 10:30~01:00|딜리버리;Wi-Fi 매장;단체주문|126.922290158|37.3986993934
KFC|안산중앙점|1410726|031-481-8557|경기 안산시 단원구 고잔동 535|경기 안산시 단원구 고잔1길 16 (고잔동)||매장 10:30~23:30 / 딜리버리 10:30~23:00|딜리버리;단체주문;징거벨오더|126.835166257|37.3180258074
