##NAME|SUBNAME|TELNUM|CAT|ADDR|NEWADDR|KATECX|KATECY@@나뚜루
나뚜루|군산롯데마트점|063-461-3403|카페,디저트>아이스크림|전라북도 군산시 수송동 833 롯데마트 3층|전라북도 군산시 수송로 185 롯데마트|284418|374604
나뚜루|당진롯데마트점|041-354-1645|카페,디저트>아이스크림|충청남도 당진시 원당동 824|충청남도 당진시 정안로 20 롯데마트|279570|479144
나뚜루|천안펜타포트점||카페,디저트>아이스크림|충청남도 천안시 서북구 불당동 1289|충청남도 천안시 서북구 공원로 196 펜타포트몰 B동 5층|320009|466731
나뚜루|입장휴게소(상)||카페,디저트>아이스크림|충청남도 천안시 서북구 입장면 가산리 362-1|충청남도 천안시 서북구 입장면 연곡길 407|328279|482707
나뚜루|행담도/휴게소||카페,디저트>아이스크림|충청남도 당진시 신평면 매산리 513|충청남도 당진시 신평면 서해안고속도로 275 행담도휴게소 BF-0|293880|483359
나뚜루|롯데아울렛동부산점||카페,디저트>아이스크림|부산광역시 기장군 기장읍 당사리 64 롯데몰동부산점 3F|부산광역시 기장군 기장읍 기장해안로 147 롯데몰동부산점 3F|510572|288791
나뚜루|천안삼거리휴게소||카페,디저트>아이스크림|충청남도 천안시 동남구 구성동 155-1|충청남도 천안시 동남구 쉼1길 42|326453|465413
나뚜루|단양대명콘도점||카페,디저트>아이스크림|충청북도 단양군 단양읍 상진리 4-1 대명콘도 지하 1층|충청북도 단양군 단양읍 삼봉로 187-17 단양대명콘도|432503|486305
나뚜루|울산언양|052-254-8288|카페,디저트>아이스크림|울산광역시 울주군 언양읍 서부리 199|울산광역시 울주군 언양읍 읍성로 45|501521|330399
나뚜루|평창휴게소상행점||카페,디저트>아이스크림|강원도 평창군 용평면 이목정리 472-2|강원도 평창군 용평면 탑거리길 63|441109|556605
나뚜루|경남의령점||카페,디저트>아이스크림|경상남도 의령군 의령읍 서동리 508-6|경상남도 의령군 의령읍 의병로16길 24-1|423866|302069
나뚜루|백령도|032-836-0030|카페,디저트>아이스크림|인천광역시 옹진군 백령면 진촌리 658-2|인천광역시 옹진군 백령면 백령로 240|112059|601347
나뚜루|단양대명리조트||카페,디저트>아이스크림|충청북도 단양군 단양읍 상진리 4-1|충청북도 단양군 단양읍 삼봉로 187-17 단양대명리조트 B1층|432485|486291
나뚜루|경주휴게소(하)|054-748-3195|카페,디저트>아이스크림|경상북도 경주시 내남면 월산리 산43-1|경상북도 경주시 내남면 경부고속도로 59 (1층)|508070|347758
나뚜루|여수디오션리조트점||카페,디저트>아이스크림|전라남도 여수시 소호동 923|전라남도 여수시 소호로 295|367618|237165
나뚜루|무주리조트점||카페,디저트>아이스크림|전라북도 무주군 설천면 심곡리 산43-15|전라북도 무주군 설천면 만선로 185|376092|365600
나뚜루|청도새마을휴게소하행||카페,디저트>아이스크림|경상북도 청도군 청도읍 거연리 950|경상북도 청도군 청도읍 하지길 59-49|469687|333142
나뚜루|청도새마을휴게소상행||카페,디저트>아이스크림|경상북도 청도군 청도읍 거연리 산288-4|경상북도 청도군 청도읍 하지길 59-50|469941|333042
나뚜루|롯데마트송도|032-833-0036|카페,디저트>아이스크림|인천광역시 연수구 송도동 6-11|인천광역시 연수구 컨벤시아대로 177|280059|532658
