##NAME|SUBNAME|TELNUM|ADDR|NEWADDR@@교촌치킨
교촌치킨|신수점|02-704-6364|서울 마포구 신수동 451번지 세양청마루아파트 상가 101호|서울 마포구 독막로 209(신수동,세양청마루아파트)
교촌치킨|아현점|02-363-9993|서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호|서울 마포구 마포대로 195 (마포래미안 푸르지오 101동 상가 114호)
교촌치킨|연남점|02-323-1997|서울 마포구 연남동 369-20|서울 마포구 연남로 45
교촌치킨|홍대점|02-338-1300,338-1307|서울 마포구 서교동 371-3|서울 마포구 양화로16길 6
교촌치킨|독립문점|02-392-6668|서울 서대문구 냉천동 228|서울 서대문구 통일로 153-1  (냉천동)
교촌치킨|명지대점|02-305-9996|서울 서대문구 남가좌동 344-7|서울 서대문구 거북골로 57-1
교촌치킨|북가좌1호점|02-304-3003,3053|서울 서대문구 응암로 11|서울 서대문구 북가좌1동 385-41
교촌치킨|북아현1호점|02-393-5393|서울 서대문구 북아현동 1006|서울 서대문구 북아현로 40
교촌치킨|신촌점|02-312-1991|서울 서대문구 창천동 41-14|서울 서대문구 명물길 21
교촌치킨|연희1호(서울)|02-334-7999|서울 서대문구 연희3동 344-26|서울 서대문구 성산로 381
교촌치킨|홍은1호점|02-396-0111|서울 서대문구 홍제동 279-52|서울 서대문구 세검정로 89
교촌치킨|홍은사거리점|02-3216-9989|서울 서대문구 홍제동 326-20|서울 서대문구 통일로 473
교촌치킨|반포1호점|02-533-9279,9179|서울 서초구 반포동 1053 H동 26호|서울 서초구 신반포로 22, H동 26호
교촌치킨|방배1호점|02-535-1991|서울 서초구 방배동 761-8|서울 서초구 방배중앙로27길 2
교촌치킨|방배2호점|02-522-9995|서울 서초구 방배3동 918-4번지|서울 서초구 방배중앙로 14
교촌치킨|서초1호점|02-581-9949,581-9945|서울 서초구 서초동 1357-56|서울 서초구 강남대로 43길 22-1 1층
교촌치킨|서초2호점|02-588-9905|서울 서초구 서초동 1669-15|서울 서초구 서초대로56길 22
교촌치킨|서초3호점|02-582-9233|서울 서초구 서초동 1579-5|서울 서초구 사임당로 31
교촌치킨|양재1호점|02-579-9245|서울 서초구 양재동 327-2|서울 서초구 동산로 6
교촌치킨|잠원1호점|02-532-9992|서울 서초구 잠원동 15-4|서울 서초구 나루터로 69
교촌치킨|금호역점|02-2296-5992|서울 성동구 금호동4가 1380|서울 성동구 장터길 26
교촌치킨|성수1호점|02-464-9992|서울 성동구 성수동2가 235-1|서울 성동구 동일로 41
교촌치킨|성수역점|02-497-1991|서울 성동구 성수동2가 289-251|서울 성동구 아차산로 7길 10-1
교촌치킨|왕십리1호점|02-2293-9985~6|서울 성동구 하왕십리동 946-15|서울 성동구 왕십리로 363
교촌치킨|왕십리도선점|02-2292-1991|서울 성동구 홍익동 131-1|서울 성동구 고산자로281 1층
교촌치킨|응봉점|02-2299-9965|서울 성동구 응봉동 100 상가내 1층|서울 성동구 독서당로62길 43  상가내 1층 (응봉동, 대림아파트)
교촌치킨|동덕여대점|02-913-8292,909-8292|서울 성북구 하월곡동 17-1|서울 성북구 화랑로 103
교촌치킨|동소문점|02-953-9922|서울 성북구 동소문동 6가 227 1층|서울 성북구 아리랑로 21-1, 1층
교촌치킨|보문역점|02-921-3292|서울 성북구 보문동2가 40|서울 성북구 보문로 129-8  (보문동2가)
교촌치킨|석관장위점|02-918-9925|서울 성북구 장위2동 64-129|서울 성북구 돌곶이로 93
교촌치킨|정릉1호점|02-909-3311,9282|서울 성북구 정릉4동 285-4|서울 성북구 보국문로 68
교촌치킨|정릉2호점|02-912-1333|서울 성북구 정릉동 175-24|서울 성북구 정릉로31길 32
교촌치킨|가락2호점|02-448-9005,9045|서울 송파구 가락동 75-7|서울 송파구 양재대로 62길 35 다우빌딩 1층
교촌치킨|거여가락1호점|02-406-9282|서울 송파구 가락동 180-9|서울 송파구 문정로 143
교촌치킨|마천1호점|02-404-9907~8|서울 송파구 거여동 32-6|서울 송파구 오금로 544 1층
교촌치킨|문정법조점|02-3012-1992|서울 송파구 문정동 620 송파푸르지오시티 B09호|서울 송파구 새말로 62(문정동)
교촌치킨|방이2호점|02-420-0495|서울 송파구 방이동 59-1|서울 송파구 오금로 11길 22
교촌치킨|방이역점|02-418-9599,9569|서울 송파구 오금동 41-23 성암빌딩 1층|서울 송파구 마천로 76 성암빌딩 1층
교촌치킨|석촌점|02-412-0799|서울 송파구 석촌동 163-1|서울 송파구 백제고분로 39길 29
교촌치킨|송파1호점|02-418-8892|서울 송파구 송파동 147|서울 송파구 가락로 212
교촌치킨|위례송파점|02-2043-1991|서울 송파구 장지동 894 위례아이파크 상가1동 103호, 104호|서울 송파구 위례광장로 136 위례아이파크 상가1동 103호, 104호
교촌치킨|잠실1호점|02-416-9939,423-9989|서울 송파구 잠실본동 313-8|서울 송파구 백제고분로 142
교촌치킨|잠실2호점|02-417-9225~6|서울 송파구 신천동 11-4|서울 송파구 올림픽로35가길 9
교촌치킨|장지점|02-403-9225,9222|서울 송파구 문정동 102-1|서울 송파구 새말로 167
교촌치킨|풍납1호점|02-478-5844~5|서울 송파구 풍납2동 405번지|서울 송파구 토성로 55
교촌치킨|목동1호점|02-2645-9925|서울 양천구 목동 797-3|서울 양천구 목동중앙서로 24
교촌치킨|목동2호점|02-2643-9339,2643-9329|서울 양천구 목동 909-8 이화프라자 1층 101호|서울 양천구 목동동로 423, 이화프라자 1층 101호
교촌치킨|목동오거리점|02-2647-0092|서울 양천구 목동 940 현대아이파크상가 102|서울 양천구 목동로 230, 목동2차아이파크 상가 102호
교촌치킨|신월2호점|02-2697-7272,2692-0030|서울 양천구 신월7동 972-6|서울 양천구 지양로 52
교촌치킨|신정1호점|02-2649-9282|서울 양천구 신정1동 1027-2|서울 양천구 신월로 326
교촌치킨|신트리점|02-2605-7892|서울 양천구 신정동 1267 목동뉴프라자|서울 양천구 신정로 312, 목동뉴프라자
교촌치킨|오목교점|02-2654-0833|서울 양천구 신정동 1296 아이파크 상가 1층|서울 양천구 목동동로 180, 아이파크아파트 상가 1층
교촌치킨|화곡1호점|02-2606-9961~2|서울 양천구 신월동 23-17|서울 양천구 화곡로 103
교촌치킨|당산1호점|02-2672-9995,2672-9994|서울 영등포구 영등포동8가 76-1 삼환@상가 112호|서울 영등포구 영중로 145, 삼환아파트 상가 112호
교촌치킨|대림2호점|02-847-9939,847-9989|서울 영등포구 대림3동 783-6|서울 영등포구 대림로 235
교촌치킨|문래점|02-2672-7676|서울시 영등포구 문래동3가 77-34|서울시 영등포구 선유로 62
교촌치킨|신길1호점|02-833-6016|서울 영등포구 신길동 296-14|서울 영등포구 도신로 108
교촌치킨|신길2호점|02-849-0033|서울 영등포구 신길7동 674|서울 영등포구 여의대방로 177
교촌치킨|여의도점|02-769-1555,1888|서울 영등포구 여의도동 44-31|서울 영등포구 여의대방로 67길 11
교촌치킨|영등포1호점|02-841-7282,849-7282|서울 영등포구 도림동 76-24|서울 영등포구 도신로 145
교촌치킨|동부이촌점|02-795-4747|서울 용산구 이촌1동 301-153 오성상가 103|서울 용산구 이촌로75길 22  오성상가 103 (이촌동)
교촌치킨|보광점|02-3785-1991|서울 용산구 보광동 217-13|서울 용산구 장문로 81
교촌치킨|용문점|02-702-2858|서울 용산구 용문동 28-26|서울 용산구 새창로 108
교촌치킨|후암점|02-757-3535|서울 용산구 후암동 244-59|서울 용산구 후암로 28-1
교촌치킨|구산역점|02-352-9949,352-9954|서울 은평구 갈현2동 464-14|서울 은평구 연서로 157
교촌치킨|대조점|02-355-6173~4|서울 은평구 대조동 231 삼성타운 A 101호|서울 은평구 서오릉로 94, 삼성아파트 101호
교촌치킨|불광1동점|02-354-8592|서울 은평구 불광동 554-1 라비앙프라자1층 101호|서울 은평구 불광로 60 (불광동,라비앙프라자1층 101호)
교촌치킨|신사1동점|02-375-8295|서울 은평구 신사동 29-13|서울 은평구 은평로 22
교촌치킨|역촌1호점|02-356-4326~7|서울 은평구 역촌동 55-1|서울 은평구 역말로 8
교촌치킨|연신내점|02-382-1990|서울 은평구 불광동 484-72|서울 은평구 통일로 866-1
교촌치킨|은평뉴타운점|02-359-9288,382-8889|서울 은평구 진관동 22 은평뉴타운상가 914-103호|서울특별시 은평구 진관3로 67 (진관동,은평뉴타운상가 914-103호)
교촌치킨|응암1동점|02-389-9327|서울 은평구 응암동 236-33|서울 은평구 백련산로 85(응암동)
교촌치킨|증산(서울)|02-376-9999,9992|서울 은평구 증산동 209-18|서울 은평구 증산서길 65
교촌치킨|대학로점|02-3672-9292|서울 종로구 명륜동4가 113-1|서울특별시 종로구 대학로11길 23
교촌치킨|숭인점|02-765-5800|서울 종로구 숭인2동 183-13|서울 종로구 종로 385
교촌치킨|동대문1호점|02-2231-9337|서울 중구 창신동 464-6|서울 종로구 종로 294
교촌치킨|신당1호점|02-2237-9952~3|서울 중구 신당동 846|서울 중구 다산로 42나길 46
교촌치킨|약수점|02-2233-9917|서울 중구 신당동 374-14|서울 중구 다산로 137-1
교촌치킨|망우본동점|02-433-1993|서울 중랑구 망우동 149-7|서울 중랑구 망우로 478-1
교촌치킨|면목1호점|02-494-9962~3|서울 중랑구 면목본동 72-43|서울 중랑구 겸재로 226-2
교촌치킨|면목2호점|02-494-6282,496-6282|서울 중랑구 면목2동 191-126|서울 중랑구 중랑천로 50
교촌치킨|면목3호점|02-2207-6543|서울 중랑구 면목동 1096-16|서울 중랑구 용마산로 297
교촌치킨|묵동점|02-948-1992|서울 중랑구 묵동 238-90|서울 중랑구 동일로 929
교촌치킨|상봉1호점|02-491-9738,9|서울 중랑구 상봉1동 268-34|서울 중랑구 상봉중앙로 34
교촌치킨|신내1호점|02-2209-9980,7870|서울 중랑구 신내1동 571-26 1층 상가|서울 중랑구 신내로10길 4, 1층 상가
교촌치킨|국제신도시점|051-291-9993|부산 강서구 명지동 3412-6|부산 강서구 명지국제8로 246
교촌치킨|명지신도시점|051-271-7725|부산 강서구 명지동 3256-5|부산 강서구 명지오션시티8로30번길 26
교촌치킨|신호점|051-941-9207|부산 강서구 신호동 317-15|부산 강서구 신호산단1로 76
교촌치킨|지사점|051-831-6880|부산 강서구 지사동 1191-5|부산 강서구 과학산단로 334번길 8
교촌치킨|구서1호점|051-516-8600|부산 금정구 구서2동 1024-1|부산 금정구 금강로565번길 25
교촌치킨|남산1호점|051-581-9968,9264|부산 금정구 남산동 99-6|부산 금정구 금강로 678-1
교촌치킨|부곡1호점|051-517-3009|부산 금정구 부곡동 23-15|부산 금정구 무학송로 127
교촌치킨|부곡2호점|051-516-0111|부산 금정구 부곡1동 324-20|부산 금정구 부곡로 92
교촌치킨|부산대점|051-582-8588|부산 금정구 금강로 장전동 418-13|부산 금정구 금강로 270
교촌치킨|서동1호점|051-526-8292|부산 금정구 서동 210-6|부산 금정구 서동로 182
교촌치킨|장전1호점|051-514-8200|부산 금정구 장전동 134-19|부산 금정구 금강로 335번길 48
교촌치킨|기장점|051-722-9945|부산 기장군 기장읍 동부리 134-2|부산 기장군 기장읍 차성로338번길 1층
교촌치킨|정관1호점|051-728-9233|부산 기장군 정관면 매학리 751-8|부산 기장군 정관면 구연3로 5 신세계프라자 102호
교촌치킨|정관2호점|051-728-5399|부산 기장군 모전리 747-7|부산 기장군 정관읍 모전3길 2
교촌치킨|감만점|051-631-0900|부산 남구 감만1동 158-6|부산 남구 우암로 53
교촌치킨|대연1호점|051-639-9292|부산 남구 대연동 1013-8|부산 남구 유엔로 126-1
교촌치킨|대연2호점|051-621-4800|부산 남구 대연동 52-7|부산 남구 용소로 13번길 26
교촌치킨|메트로시티1호점|051-625-8900|부산 남구 용호동 176-30|부산 남구 분포로 113
교촌치킨|못골점|051-637-7733|부산 남구 대연동 1543-33|부산 남구 진남로 78
교촌치킨|문현2호점|051-646-5592|부산 남구 문현1동 127-56|부산 남구 고동골로 68
교촌치킨|용호1호점|051-626-3999|부산 남구 용호3동 495-46 1층|부산 남구 용호로 185
교촌치킨|범일1호점|051-642-8558|부산 동구 범일2동 833-2|부산 동구 조방로49번길 10
교촌치킨|수정1호점|051-469-8880|부산 동구 수정동 295-3|부산 동구 고관로 103
교촌치킨|초량점|051-441-9994|부산 동구 초량2동 489-4|부산 동구 중앙대로209번길 6
교촌치킨|명륜(부산)|051-555-9224|부산 동래구 명륜1동 673-9|부산 동래구 명륜로 177
교촌치킨|명장1호점|051-525-9233,9345|부산 동래구 명장동 26-24번지 국제아파트 상가 106호|부산 동래구 충렬사로 81, 국제파크 상가 106호
교촌치킨|복천점|051-555-8592,556-8592|부산 동래구 복천동 476-1|부산 동래구 동래로 128
교촌치킨|사직1호(부산)|051-505-9289|부산 동래구 사직동 137-5번지|부산 동래구 미남로 70
교촌치킨|사직2호점|051-501-9995|부산 동래구 사직동 89-16|부산 동래구 사직로 60
교촌치킨|수안점|051-557-1990|부산 동래구 수안동 192-4|부산 동래구 명륜로 78-1
교촌치킨|안락2호점|051-526-7171|부산 동래구 안락동 670-13|부산 동래구 안남로 77
교촌치킨|온천1호점|051-555-2016,2017|부산 동래구 온천동 210-5번지|부산 동래구 금강공원로 30-1
교촌치킨|온천2호점|051-506-4949,9595|부산 동래구 온천3동 1448-1 명보아파트 상가 가동 101호|부산 동래구 충렬대로86번길 62, 가동 101호
교촌치킨|우방신세계점|051-521-8477~8|부산 동래구 안락동 471-41|부산 동래구 명장로 137-1
교촌치킨|가야점|051-894-9909|부산 부산진구 가야동 478|부산 부산진구 엄광로 143
교촌치킨|개금1호점|051-894-6071,6072|부산 부산진구 개금동 2-1|부산 부산진구 백양대로 208번길 90
교촌치킨|개금2호점|051-894-8292|부산 부산진구 개금1동 201-6|부산 부산진구 가야대로 475
교촌치킨|당감점|051-891-9979,9980|부산 부산진구 당감동 367-2|부산 부산진구 동평로 46
교촌치킨|범천점|051-637-9982|부산 부산진구 범천동 1278-11|부산 부산진구 신암로 55-1
교촌치킨|서면점|051-808-9981|부산 부산진구 부전동 266-24|부산 부산진구 중앙대로 745-1
교촌치킨|양정점|051-853-5458|부산 부산진구 양정동 310-6|부산 부산진구 연수로 13-1
교촌치킨|연지점|051-807-7701~2|부산 부산진구 동평로 299|부산 부산진구 연지동 40-12
교촌치킨|초읍대공원점|051-807-3492,3498|부산 부산진구 초읍동 288-6|부산 부산진구 새싹로 274-1
교촌치킨|구포1호점|051-363-9992,5793|부산 북구 구포3동 1228-1|부산 북구 시랑로101번길 38, A동 100호
교촌치킨|덕천2호점|051-331-3179,343-3171|부산 북구 덕천3동 781-2|부산 북구 덕천로 135
교촌치킨|만덕2호점|051-337-4300|부산 북구 만덕3동 915-6|부산 북구 만덕3로 44-1
교촌치킨|화명1호점|051-338-9933|부산 북구 화명동 1417-15호 좌측|부산 북구 산성로12번길 72, 좌측
교촌치킨|화명3호점|051-362-7770,080-965-9999|부산 북구 화명동 182-5 (2층)|부산 북구 금곡대로 414, 2층
교촌치킨|화명신도시점|051-342-9282|부산 북구 화명동 2266-1|부산 북구 금곡대로 303번길 94
교촌치킨|괘법점|051-325-0090|부산 사상구 괘법동 516-1|부산 사상구 운산로 36
교촌치킨|덕포점|051-303-5592|부산 사상구 덕포동 420-4|부산 사상구 사상로 304
교촌치킨|동서대점|051-325-2827|부산 사상구 주례동 55-176|부산 사상구 냉정로 125
교촌치킨|모라점|051-322-9998|부산 사상구 모라동 1349-|부산 사상구 백양대로 937
교촌치킨|신주례점|051-315-9977,324-2626|부산 사상구 주례2동 3-17|부산 사상구 백양대로 328
교촌치킨|엄궁점|051-311-7599,7598|부산 사상구 엄궁동 40-94|부산 사상구 엄궁북로 39
교촌치킨|학장점|051-313-9925|부산 사상구 학장동 579-9|부산 사상구 대동로 117
교촌치킨|괴정1호점|051-202-9951|부산 사하구 괴정동 487-24|부산 사하구 괴정로 288
교촌치킨|다대1호점|051-265-4446|부산 사하구 다대2동 85-5|부산 사하구 다송로 4
교촌치킨|다대2호점|051-266-8806|부산 사하구 다대동 1014|부산 사하구 윤공단로75번길 43 102호
교촌치킨|당리괴정2호점|051-207-9242|부산 사하구 괴정동 577-42|부산 사하구 낙동대로 310
교촌치킨|신평1호점|051-294-8853~4|부산 사하구 신평동 71-15|부산 사하구 다대로 141-1
교촌치킨|장림점|051-266-1182|부산 사하구 장림동 590|부산 사하구 장평로 111
교촌치킨|하단1호점|051-202-4780~1|부산 사하구 하단2동 506-15|부산 사하구 낙동대로 512
교촌치킨|하단2호점|051-292-8592|부산 사하구 하단동 605-42|부산 사하구 동매로 31-1
교촌치킨|국제신도시점|051-291-9993|부산 강서구 명지동 3412-6|부산 강서구 명지국제8로 246
교촌치킨|남부민점|051-247-9282,248-9282|부산 서구 남부민동 457-18|부산 서구 남부민동 천마로 93
교촌치킨|대신점|051-231-9992~3|부산 서구 대영로 30|부산 서구 서대신동1가 163-1
교촌치킨|명지신도시점|051-271-7725|부산 강서구 명지동 3256-5|부산 강서구 명지오션시티8로30번길 26
교촌치킨|송도감천점|051-231-9292|부산 서구 암남동 64-2 104호|부산 서구 감천로 271, 104호
