##NAME|SUBNAME|TYPE|TELNUM|NEWADDR|FEAT|XCOORD|YCOORD@@푸마
푸마|현대/킨텍스점|백화점|031-822-3522|경기도 고양시 일산서구 호수로 817(대화동) 현대백화점 킨텍스점 5층|life style;running|126.750925|37.668283
푸마|신세계/센텀시티/셀렉트점|백화점|051-745-1530|부산광역시 해운대구 우동 1495 신세계백화점 센텀시티점 3층|select|129.129728|35.168840
푸마|안산한대점|일반대리점|031-406-8756|경기도 안산시 상록구 삼리로 49 안산의류상설타운 104호|life style;running|126.846181|37.305044
푸마|롯데/상인점|백화점|053-258-3555|대구광역시 달서구 월배로 232 롯데백화점 상인점 5층|life style;running|128.538937|35.819016
푸마|롯데/구리점|백화점|031-550-7569|경기도 구리시 경춘로 261 인창동, 롯데백화점 5층|life style;running|127.143811|37.60266
푸마|롯데/창원점|백화점|055-279-2557|경상남도 창원시 성산구 중앙대로 124, 롯데백화점 5층|life style;running|128.68181|35.224708
푸마|롯데/잠실점|백화점|02-2143-7772|서울시 송파구 올림픽로 240 롯데잠실|life style;running;select|127.097963|37.511405
푸마|NC/야탑점|대형쇼핑몰|031-780-3593|경기도 성남시 분당구 야탑로81번길 11, NC야탑6층|life style;running|127.127469|37.410718
푸마|현대/천호점|백화점|02-2225-7778|서울시 강동구 천호대로 1005, 현대백화점 천호점 7층|life style;running|127.127488|37.410586
푸마|현대김포/FOC점|아울렛|031-8048-2410|경기도 김포시 고촌읍 아라육로152번길 100 현대김포프리미엄아울렛 410호|life style;running;football|126.785888|37.599257
푸마|롯데기흥/FOC점|아울렛|031-8036-3186|경기도 용인시 기흥구 신고매로 124 롯데프리미엄아울렛 기흥점 1층 F350호|life style;running;football|127.121688|37.225575
푸마|현대시티몰/가든파이브점|대형쇼핑몰|02-2673-2367|서울특별시 송파구 충민로 66 현대시티몰 아울렛관 3층|life style;running|127.124996|37.477656
푸마|동대문/HOOPCITY점|대형쇼핑몰|02-2277-1950|서울특별시 중구 퇴계로 324(광희동2가) 1층 HOOPCITY|basketball|127.007689|37.564142
푸마|홍대엑시트/FP점|직영점|02-2250-7705|서울 마포구 양화로 161 홍대 엑시트 지하 1층|life style;running;select;kids|126.923236|37.557124
푸마|남원점|일반대리점|063-631-6001|전라북도 남원시 남문로 453-1(하정동)|life style;kids|127.381067|35.406508
푸마|롯데/김포점|백화점|02-6116-3031|서울특별시 강서구 하늘길 38 롯데백화점 김포공항점 B2층|life style|126.802544|37.566969
푸마|광주용봉점|일반대리점|062-512-7679|광주광역시 북구 설죽로 245 길후빌딩 1층|life style;running;football;kids|126.897988|35.181704
