##NAME|SUBNAME|ID|TELNUM|ADDR|NEWADDR@@한국투자증권
한국투자증권|돈암동지점|253|02-926-3911|서울특별시 성북구 동소문동6가 117-2번지 2층|서울특별시 성북구 동소문로 89, 2층(동소문동6가)
한국투자증권|동래PB센터|352|051-553-3001|부산광역시 동래구 명륜동 506-13 동림빌딩 1층|부산광역시 동래구 충렬대로 194, 1층 (명륜동)
한국투자증권|둔산PB센터|348|042-489-4911|대전광역시 서구 둔산동 1267번지 중소기업중앙회빌딩 1층|대전광역시 서구 둔산서로 47, 1층 (둔산동, 중소기업중앙회빌딩)
한국투자증권|마곡PB센터|241|02-2697-1254|서울특별시 강서구 마곡동 801-2|서울특별시 강서구 공항대로 248, 3층 (마곡동, 대방건설신사옥)
한국투자증권|마산PB센터|331|055-221-1212|경상남도 창원시 마산합포구 동성동 299번지 1층|경상남도 창원시 마산합포구 남성로 131, 1층 (동성동)
한국투자증권|마포지점|254|02-3273-1254|서울특별시 마포구 도화동 563번지 아크로타워 3층|서울특별시 마포구 마포대로 68, 3층 (도화동, 아크로타워)
한국투자증권|명동PB센터|349|02-775-1212|서울특별시 중구 명동1가 54-8번지 개양빌딩 5층|서울특별시 중구 명동3길 6, 5층(개양빌딩)
한국투자증권|목동PB센터|240|02-2691-1254|서울특별시 양천구 목동 962-1 목동트라팰리스 이스턴에비뉴 6층  (이마트 건물)|서울특별시 양천구 오목로 299, 6층 (목동, 목동트라팰리스 이스턴에비뉴빌딩)
한국투자증권|목포지점|312|061-283-0006|전라남도 목포시 상동 869 스타시티빌딩 2층|전라남도 목포시 상동 869 2층 (상동, 스타시티빌딩)
한국투자증권|반포/PB센터|270|02-3482-0200|서울특별시 서초구 반포2동 18-3번지 래미안퍼스티지중심상가 3층|서울특별시 서초구 반포대로 287, 3층 (반포2동, 래미안퍼스티지중심상가)
한국투자증권|방배PB센터|356|02-536-1254|서울특별시 서초구 방배동 3250 4층(구산타워)|서울특별시 서초구 방배천로 91, 4층(방배동)
한국투자증권|부산PB센터|333|051-241-1212|부산광역시 중구 동광동 1가 15번지 1,2층|부산광역시 중구 해관로 1, 1층 (동광동)
한국투자증권|부천지점|242|032-326-1254|경기도 부천시 중4동 1033-3번지 굿모닝프라자 2층|경기도 부천시 길주로 199, 2층 (중4동, 굿모닝프라자빌딩)
한국투자증권|부평지점|243|032-526-1254|인천광역시 부평구 부평동 549-5번지 금남빌딩 1,2층|인천광역시 부평구 부평대로 21, 1층 (부평동, 금남빌딩)
한국투자증권|북광주지점|360|062-224-9400|광주광역시 북구 용봉동 476-1, 2층|광주광역시 북구 서하로 156, 2층
한국투자증권|분당PB센터|353|031-781-2525|경기도 성남시 분당구 서현동 265-3번지 1,2층|경기도 성남시 분당구 황새울로312번길 26, 1층 (서현동)
한국투자증권|사하지점|334|051-291-1254|부산광역시 사하구 괴정동 971-9번지 2층|부산광역시 사하구 낙동대로 219, 2층 (괴정동)
한국투자증권|삼성동PB센터|355|02-501-3911|서울특별시 강남구 대치동 945-1번지 홍우빌딩 3층|서울특별시 강남구 테헤란로 522, 3층 (대치동, 홍우빌딩)
한국투자증권|상무영업소지점|314|062-376-8585|광주광역시 서구 치평동 1182-2번지 MK타워 2층|광주광역시 서구 상무중앙로 75, 2층 (치평동, MK타워)
한국투자증권|상봉지점|256|02-2209-1254|서울특별시 중랑구 망우동 470-10 삼부빌딩 6층|서울특별시 중랑구 망우로 410, 6층 (망우동, 삼부빌딩)
한국투자증권|상인PB센터|364|053-657-1254|대구광역시 달서구 월배로 상인동 253-4|대구광역시 달서구 월배로 188 (2층)
한국투자증권|서광주PB센터|359|062-365-7700|광주광역시 서구 농성동 418-19번지 대인빌딩 2층|광주광역시 서구 죽봉대로 86, 2층 (농성동, 대인빌딩)
한국투자증권|서면PB센터|336|051-818-1212|부산광역시 부산진구 부전1동 259-9번지 1,2층|부산광역시 부산진구 가야대로 795, 1층 (부전1동)
한국투자증권|서전주PB센터|322|063-254-5111|전라북도 전주시 완산구 서신동 766번지 KT빌딩 1층|전라북도 전주시 완산구 온고을로 29, 1층 (서신동, KT빌딩)
한국투자증권|서초동지점|273|02-587-0381|서울특별시 서초구 서초동 1602-4번지 일복빌딩 1층|서울특별시 서초구 효령로 285, 1층 (서초동, 일복빌딩)
한국투자증권|서초중앙PB센터|274|02-595-0121|서울특별시 서초구 서초4동 1699-9번지 남계빌딩 1층|서울특별시 서초구 서초중앙로 158, 1층 (서초4동, 남계빌딩)
한국투자증권|송도지점|244|032-858-0990|인천광역시 연수구 송도동 3-2 드림시티빌딩 2층|인천광역시 연수구 컨벤시아대로 81, 2층 (송도동, 드림시티빌딩)
한국투자증권|송파PB센터|279|02-443-1212|서울특별시 송파구 문정동 150-2번지 LG문정플라자 3층|서울특별시 송파구 중대로 80, 3층 (문정동, LG문정플라자빌딩)
한국투자증권|수원PB센터|357|031-236-1122|경기도 수원시 팔달구 인계동 1038-2번지 세영빌딩 7층|경기도 수원시 팔달구 권광로 199 세영빌딩 7층
한국투자증권|수유동지점|258|02-999-1254|서울특별시 강북구 수유3동 191-35번지 우성빌딩 1층|서울특별시 강북구 한천로 1035, 1층 (수유3동, 우성빌딩)
한국투자증권|수지지점|295|031-896-0440|경기도 용인시 수지구 성복동 76 영진빌딩 1층|경기도 용인시 수지구 성복2로 58, 1층 (성복동, 영진빌딩)
한국투자증권|순천지점|316|061-742-9001|전라남도 순천시 연향동 1342-5번지 양천회관빌딩 2층|전라남도 순천시 연향번영길 102, 2층 (연향동, 양천회관빌딩)
한국투자증권|신도림지점|245|02-3439-7700|서울특별시 구로구 신도림동 337번지 신도림1차 푸르지오빌딩 2층|서울특별시 구로구 경인로 661, 2층 (신도림동, 신도림1차 푸르지오빌딩)
한국투자증권|신촌PB센터|358|02-715-2102|서울특별시 마포구 노고산동 31-11번지 신촌로타리예식장 1층|서울특별시 마포구 신촌로 104, 1층 (노고산동, 신촌로타리예식장빌딩)
한국투자증권|안산PB센터|296|031-413-1215|경기도 안산시 고잔동 536-1번지 제일빌딩1층|경기도 안산시 단원구 당곡로 10, 1층 (고잔동, 제일빌딩)
한국투자증권|압구정PB센터|347|02-542-0115|서울특별시 강남구 신사동 611번지 중산빌딩 4층|서울특별시 강남구 논현로 878, 4층 (신사동, 중산빌딩)
한국투자증권|양재지점|277|02-589-4000|서울특별시 서초구 양재동 275번지 동원산업빌딩 1층|서울특별시 서초구 마방로 68, 1층 (양재동, 동원산업빌딩)
한국투자증권|여수지점|318|061-654-1212|전라남도 여수시 학동 68-20 2층|전라남도 여수시 시청로 19, 2층 (학동)
한국투자증권|여수충무지점|317|061-664-1212|전라남도 여수시 충무동 623번지 한국투자증권빌딩 2층|전라남도 여수시 중앙로 35, 2층 (충무동, 한국투자증권빌딩)
한국투자증권|여의도금융센터|367|02-3276-4020|여의도동 27-1 한국투자증권 2층|서울특별시 영등포구 의사당대로 88, 2층(여의도동, 한국투자증권)
한국투자증권|연산동지점|337|051-867-7911|부산광역시 연제구 연산5동 1242-9 자노빌딩 2층|부산광역시 연제구 중앙대로 1097, 2층 (연산5동, 자노빌딩)
한국투자증권|영남금융센터|370|051-818-4050|부산광역시 부산진구 부전동 259-9, 3층|부산광역시 부산진구 가야대로 795, 3층
한국투자증권|영등포PB센터|248|02-2672-1212|서울특별시 영등포구 영등포동 4가 147-1 홍익금융프라자 2층|서울특별시 영등포구 영등포로 194, 2층 (영등포동4가, 홍익금융프라자빌딩)
한국투자증권|영업부지점|344|02-3276-5050|서울특별시 영등포구 여의도동 27-1번지 한국투자증권 1층|서울특별시 영등포구 의사당대로 88, 1층 (여의도동, 한국투자증권빌딩)
한국투자증권|울산PB센터|365|052-211-1254|울산광역시 남구 삼산동 1526-9 삼산타워 5층|울산광역시 남구 삼산로 273 5층(삼산동, 삼산타워)
한국투자증권|익산지점|320|063-836-4911|전라북도 익산시 영등동 837-3번지 하나빌딩 3층|전라북도 익산시 무왕로 1073, 3층 (영등동, 하나빌딩)
한국투자증권|인천PB센터|249|032-433-1221|인천광역시 남동구 구월동 1470-1 5층|인천광역시 남동구 인하로 501(구월동), 5층
한국투자증권|일산지점|250|031-919-1254|경기도 고양시 일산서구 주엽동 66-1, 일송노브레스 2층|경기도 고양시 일산서구 중앙로 1426, 일송노브레스 2층
한국투자증권|잠실PB센터|287|02-415-0311|서울특별시 송파구 신천동 7-25|서울특별시 송파구 송파대로 558, 3층(신천동, 월드타워빌딩)
한국투자증권|전주PB센터|321|063-286-6411|전라북도 전주시 완산구 서노송동 614-3번지 한국투자증권빌딩 2층|전라북도 전주시 완산구 팔달로 232, 2층 (서노송동, 한국투자증권빌딩)
한국투자증권|정읍지점|323|063-533-4611|전라북도 정읍시 수성동 527-3번지 대한통운빌딩 1층|전라북도 정읍시 중앙1길 30, 1층 (수성동, 대한통운빌딩)
한국투자증권|정자PB센터|298|031-717-5511|경기도 성남시 분당구 정자동 17-5 시그마타워 3층|경기도 성남시 분당구 성남대로 349, 3층 (정자동, 시그마타워빌딩)
한국투자증권|제주지점|251|064-722-0111|제주도 제주시 노형동 1288-5번지|제주특별자치도 제주시 노형로 407, 1층 (노형동)
한국투자증권|창원PB센터|340|055-266-1214|경상남도 창원시 성산구 상남동 26-4|경상남도 창원시 성산구 상남로, 88 6층 (상남동, 다이소빌딩)
한국투자증권|천안지점|300|041-567-4911|충청남도 천안시 서북구 불당동 1618 리앤시티 3층|충청남도 천안시 서북구 불당33길 24, 리앤시티 3
한국투자증권|청담PB센터|350|02-547-3911|서울특별시 강남구 청담동 41-2 금하빌딩 2층|서울특별시 강남구 학동로 401, 2층 (청담동, 금하빌딩)
한국투자증권|청량리지점|290|02-963-5574|서울특별시 동대문구 청량리동 235-4번지 미주상가 A동 2층|서울특별시 동대문구 왕산로 225, 2층 (청량리동, 미주상가 A동)
한국투자증권|청주PB센터|301|043-238-4911|충청북도 청주시 흥덕구 복대동 288-125 SY스타몰 2층|충청북도 청주시 흥덕구 대농로 49, 2층(복대동, SY스타몰)
한국투자증권|춘천지점|291|033-254-1212|강원도 춘천시 중앙로 2가 75번지|강원도 춘천시 중앙로 74-1, 1층 (중앙로2가)
한국투자증권|평촌PB센터|303|031-387-1254|경기도 안양시 동안구 호계동 1051번지 평촌올림픽스포츠센터 2층|경기도 안양시 동안구 동안로 120, 2층 (호계동, 평촌올림픽스포츠센터빌딩)
한국투자증권|평택지점|305|031-658-8222|경기도 평택시 평택동 292-6 강림빌딩 2층|경기도 평택시 중앙2로 25, 2층 (평택동, 강림빌딩)
한국투자증권|포항PB센터|342|054-249-1254|경상북도 포항시 남구 상도동 18-263번지 1층|경상북도 포항시 남구 포스코대로 324, 1층 (상도동)
한국투자증권|합정동지점|263|02-335-4911|서울특별시 마포구 합정동 373-4번지 성지빌딩 2층|서울특별시 마포구 독막로 10, 2층 (합정동, 성지빌딩)
한국투자증권|해운대PB센터|354|051-731-1254|부산광역시 해운대구 우동 1434-1번지 마리나센터 6층|부산광역시 해운대구 해운대해변로 154, 6층 (우동, 마리나센터빌딩)
한국투자증권|홍제동지점|264|02-379-1254|서울특별시 서대문구 홍제동 301-2번지 홍제빌딩 2층|서울특별시 서대문구 통일로 464, 2층 (홍제동, 홍제빌딩)
한국투자증권|화정지점|237|031-966-3911|경기도 고양시 덕양구 화정동 969번지 동원텔빌딩 2층|경기도 고양시 덕양구 화정로 47, 2층 (화정도, 동원텔빌딩)
한국투자증권|V/privilege/강남센터|345|02-2112-5400|서울특별시 강남구 역삼1동 737 강남파이낸스센터 15층|서울특별시 강남구 테헤란로 152, 15층 (역삼1동, 강남파이낸스센터빌딩)
