##NAME|SUBNAME|ID|TELNUM|NEWADDR|XCOORD|YCOORD@@하나금융투자
하나금융투자|영업부금융센터|dae100|785-0961|서울특별시 영등포구 의사당대로 82 (여의도동 27-3)|126.921854|37.522682
하나금융투자|올림픽WM센터|dae255|475-3113|서울특별시 송파구 양재대로 1222 (방이동 89-11 올림픽선수촌아파트 중심상가 2층(하나은행 골드클럽내))|127.131426|37.515761
하나금융투자|은평지점|dae003|354-3540|서울특별시 은평구 은평로 136 (응암동 98-65 은경빌딩 4층)|126.923027|37.600231
하나금융투자|이촌동골드클럽지점|dae221|3785-3491|서울특별시 용산구 이촌로64길 14 (이촌동 302-44,2층)|126.969941|37.520473
하나금융투자|평창동골드클럽지점||02-6917-4031|서울특별시 종로구 평창문화로 95 (평창동 150-1, 2층)|126.971193|37.607611
하나금융투자|한남동지점|dae191|3785-3222|서울특별시 용산구 한남대로 51, 하나금융프라자 2층 한남동로터리 순천향병원 방향 (한남동 76-16 하나금융프라자 2층-한남동로터리 순천향병원 방향)|127.006840|37.533429
하나금융투자|훼미리지점|dae260|443-4900|서울특별시 송파구 중대로 80 (문정동 150-2 롯데마트빌딩 3층-가락시장역)|127.117857|37.491962
하나금융투자|울산지점|dae460|052-268-5111|울산광역시 남구 삼산로 283 (삼산동 1525-8)|129.338012|35.539852
하나금융투자|인천지점|dae300|032-761-3111|인천광역시 남동구 인하로 497-5, 3층 (구월동 1469-1)|126.701596|37.443597
하나금융투자|목포영업소|dae830|061-245-2580|전라남도 목포시 백년대로 319, 1층 (상동 835)|126.422197|34.805141
하나금융투자|익산지점|dae860|063-843-4001|중앙로5길 27 (창인동1가 156-1)|126.951107|35.941584
하나금융투자|전주지점|dae850|063-276-1212|전라북도 전주시 완산구 팔달로 229 (고사동2가 2-1)|127.145005|35.822734
하나금융투자|천안지점|dae721|041-569-3222|충청남도 천안시 서북구 동서대로 125-3 (성정동 1262(하나금융프라자 2층))|127.136984|36.826130
하나금융투자|청주지점|dae750|043-253-7161|충청북도 청주시 상당구 사직대로350번길 11-4 (서문동 3)|127.486836|36.636395
