##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|ID|XCOORD|YCOORD@@뚜레쥬르
뚜레쥬르|해운대중동점|051-746-8880|부산광역시 해운대구 중동 1305-1 (서울설렁탕) 1,2층|부산광역시 해운대구 좌동순환로 10 (중동,서울설렁탕) 1,2층 |1109516|35.1674792|129.1676266
뚜레쥬르|강동강일점|02-441-8769|서울시 강동구 강일동 76-10번지 114~115호 (강일동, 아이메디컬)|서울시 강동구 아리수로93나길 38 114~115호 (강일동, 아이메디컬) |1109591|37.5719496|127.1739317
뚜레쥬르|천안쌍용역점|041-577-2486|충청남도 천안시 서북구 쌍용동 446-3 뚜레쥬르 천안쌍용역점|충청남도 천안시 서북구 충무로 143-7 (쌍용동) 뚜레쥬르 천안쌍용역점 |1109623|36.7932605|127.1226094
뚜레쥬르|경북영천점|054-335-4004|경상북도 영천시 문외동 253-4 1층 (문외동)|경상북도 영천시 충효로 48 (문외동) 1층 (문외동) |1109524|35.9718454|128.9349703
뚜레쥬르|하남신장사거리점|031-795-1013|경기도 하남시 신장동 427-17 1층 뚜레쥬르|경기도 하남시 신평로 45 (신장동) 1층 뚜레쥬르 |1109624|37.5379661|127.2043444
뚜레쥬르|현풍테크노점|053-611-8284|대구광역시 달성군 현풍읍 중리 489 (중리 489)|대구광역시 달성군 현풍읍 테크노상업로 46 (중리) (중리 489) |1109619|35.6925845|128.4547317
뚜레쥬르|충북광혜원점|043-532-0528|충청북도 진천군 광혜원면 광혜원리 439-7 (경희우리한의원) 뚜레쥬르 충북광혜원|충청북도 진천군 광혜원면 장기길 92 (광혜원리,경희우리한의원) 뚜레쥬르 충북광혜원 |1109672|36.9892811|127.4444840
뚜레쥬르|횡성점|033-344-8808|강원도 횡성군 횡성읍 읍하리 112-20|강원 횡성군 횡성읍 문정로 20 |1109568|37.4897885|127.9855271
뚜레쥬르|청주터미널점|043-236-8850|충청북도 청주시 흥덕구 가경동 1449 청주시외버스터미널 내  뚜레쥬르|충청북도 청주시 흥덕구 풍산로 6 (가경동) 청주시외버스터미널 내  뚜레쥬르 |1109601|36.6253280|127.4316927
뚜레쥬르|내포하나로마트점|041-337-0330|충청남도 예산군 삽교읍 신리 28-3 삽교농협 내포농수산물 종합유통센터 내 뚜레쥬르|충청남도 예산군 삽교읍 예목로 171 삽교농협 내포농수산물 종합유통센터 내 뚜레쥬르 |1109497|36.6723915|126.6854078
뚜레쥬르|울산호계엘리야병원점|052-290-2190|울산광역시 북구 호계동 218-7 1층|울산광역시 북구 호계로 285 (호계동) 1층 |1109249|35.6288626|129.3505372
뚜레쥬르|용인데이파크점|031-263-1366|경기도 용인시 수지구 성복동 89 (데이파크) 데이파크B동 103,104호|경기도 용인시 수지구 성복2로 51 (성복동,데이파크) 데이파크B동 103,104호 |1109551|37.3134799|127.0787721
뚜레쥬르|제주하귀점|064-747-0415|제주특별자치도 제주시 하귀1리 163-3|제주특별자치도 제주시 하광로 53 1층 |1109549|33.4818304|126.4148844
뚜레쥬르|올림픽공원역점|02-400-0702|서울특별시 송파구 방이동 89-11 (올림픽프라자) 제1층 30,31,32,33|서울특별시 송파구 양재대로 1222 (방이동,올림픽프라자) 제1층 30,31,32,33 |1109503|37.5157290|127.1310643
뚜레쥬르|천안성성신도시점|041-621-0009|충청남도 천안시 서북구 성성동 932 -|충청남도 천안시 서북구 성성6로 51 |1109507|36.8417527|127.1254968
뚜레쥬르|부산명지더샵점|051-989-6000|부산광역시 강서구 명지국제7로 37 명지동 3594|부산광역시 강서구 명지국제7로 37 명지동,더샵 명지퍼스트월드 2단지 |1109493|35.0989136|128.9060117
뚜레쥬르|마산중리점|055-232-2227|경상남도 창원시 마산회원구 내서읍 호계리 296|경상남도 창원시 마산회원구 내서읍 광려천동로 28 |1109513|35.2536398|128.5207492
뚜레쥬르|고덕그라시움점|02-427-1600|서울특별시 강동구 고덕동 217 (고덕그라시움아파트(상가1동)) 102~104호|서울특별시 강동구 고덕로 353 (고덕동,고덕그라시움아파트(상가1동)) 102~104호 |1109510|37.5571351|127.1645103
뚜레쥬르|대전장대점|042-823-7997|대전광역시 유성구 장대동 352-1 뚜레쥬르 대전장대|대전광역시 유성구 문화원로 2 (장대동) 뚜레쥬르 대전장대 |1109460|36.3617778|127.3368140
뚜레쥬르|광주금호운천점|062-376-5545|광주광역시 서구 쌍촌동 1240-1 화진빌딩 101,102호|광주광역시 서구 운천로 129 (쌍촌동) 화진빌딩 101,102호 |1109480|35.1440170|126.8570706
뚜레쥬르|양주옥정역점|031-857-8173|경기도 양주시 옥정동 963-3 제일타워 106, 107|경기도 양주시 옥정로 226 (옥정동) 제일타워 106, 107 |1109479|37.8217516|127.0921278
뚜레쥬르|경주용황점|054-774-7001|경상북도 경주시 용강동 711-5 뚜레쥬르 경주용황|경상북도 경주시 용황구획4길 25 (용강동) 뚜레쥬르 경주용황 |1109515|35.8829723|129.2260555
뚜레쥬르|옥련시장점|032-831-5678|인천광역시 연수구 옥련동 194-5 (인영빌딩) 1층 뚜레쥬르|인천광역시 연수구 독배로 41 (옥련동,인영빌딩) 1층 뚜레쥬르 |1109454|37.4244291|126.6443699
뚜레쥬르|아산신도브래뉴점|041-546-1743|충청남도 아산시 용화동 1623 (용화마을신도브래뉴아파트) 상가동 1층 105호|충청남도 아산시 용화고길 90 (용화동,용화마을신도브래뉴아파트) 상가동 1층 105호 |1109475|36.7725062|127.0123162
뚜레쥬르|장위뉴타운점|02-943-8800|서울특별시 성북구 장위동 317 (꿈의숲대명루첸아파트) 꿈의 숲 대명주첸아파트 상가 1층|서울특별시 성북구 월계로36길 27 (장위동,꿈의숲대명루첸아파트) 꿈의 숲 대명주첸아파트 상가 |1109462|37.6206007|127.0471320
뚜레쥬르|창동대우점|02-991-0900|서울특별시 도봉구 창동 593-9 .|서울특별시 도봉구 덕릉로63가길 60 (창동) . |1109405|37.6430048|127.0374794
뚜레쥬르|압구정점|02-511-8636|서울특별시 강남구 신사동 599 (압구정빌딩) 1층|서울특별시 강남구 논현로 842 (신사동,압구정빌딩) 1층 |1109506|37.5240509|127.0287459
뚜레쥬르|광주수완장덕점|062-955-5468|광주광역시 광산구 장덕동 1067 1층 뚜레쥬르|광주광역시 광산구 풍영로 275 (장덕동) 1층 뚜레쥬르 |1109438|35.1958788|126.8153736
뚜레쥬르|경남함양점|055-964-0111|경상남도 함양군 함양읍 운림리 7 (큐마트) 큐마트 뚜레쥬르|경상남도 함양군 함양읍 운림길 24 (운림리,큐마트) 큐마트 뚜레쥬르 |1109391|35.5219983|127.7242904
뚜레쥬르|평택용죽점|031-656-1777|경기도 평택시 용이동 684-1 1층 뚜레쥬르|경기도 평택시 용죽3로 25 1층(용이동) |1109394|36.9939187|127.1248013
뚜레쥬르|울산신정시장점|052-276-1010|울산광역시 남구 신정동 576-18 1층 뚜레쥬르|울산광역시 남구 봉월로 104 (신정동) 1층 뚜레쥬르 |1109341|35.5417347|129.3062993
뚜레쥬르|포항자이점|054-275-8137|경상북도 포항시 남구 대잠동 1036 (포항자이) 상가1동 1층 1101-1102호|경상북도 포항시 남구 상도남로 7 (대잠동,포항자이) 상가1동 1층 1101-1102호 |1109350|36.0082298|129.3431280
뚜레쥬르|카페석남점|032-575-0876|인천광역시 서구 석남동 510-6 105호|인천광역시 서구 가정로 246 (석남동) 105호 |1109441|37.5067151|126.6725367
뚜레쥬르|모란역점|031-756-1600|경기도 성남시 중원구 성남동 3503 (우보빌딩) (성남동, 모란역센트럴스퀘어) 102, 1|경기도 성남시 중원구 성남대로 1132 (성남동,우보빌딩) (성남동, 모란역센트럴스퀘어) 10 |1109388|37.4309457|127.1298129
뚜레쥬르|전남광양칠성점|061-763-1237|전남 광양시 광양읍 구산리 809-9 1층|전남 광양시 광양읍 서평로 43, 1층(광양읍) 1층 |1109389|34.9782136|127.5771519
뚜레쥬르|대구효성점|053-472-2313|대구광역시 남구 봉덕동 1069-48 뚜레쥬르 대구효성점|대구광역시 남구 신촌2길 3 뚜레쥬르 대구효성점 |1109380|35.8382534|128.6014301
뚜레쥬르|양평용문점|031-775-6674|경기도 양평군 용문면 다문리 331-17|경기도 양평군 용문면 용문로 371번길 2 |1109432|37.4855065|127.5945788
뚜레쥬르|울산문수아이파크점|052-268-0208|울산광역시 남구 신정동 1644-29 1층|울산광역시 남구 동산로 48 (신정동) 1층 |1109416|35.5357844|129.3007870
뚜레쥬르|대전도안봉명점|070-7543-6504|대전광역시 유성구 봉명동 1016-7 (도안센트럴프라자) 1층 뚜레쥬르|대전광역시 유성구 계룡로132번길 10 (봉명동,도안센트럴프라자) 1층 뚜레쥬르 |1109393|36.3522386|127.3445723
뚜레쥬르|군산디오션점|063-445-1122|전라북도 군산시 조촌동2-22 1층 105호 뚜레쥬르|전라북도 군산시 궁포3로 14 (조촌동)1층 105호 뚜레쥬르 |1109347|35.9768951|126.7417482
뚜레쥬르|순천법원점|061-722-2365|순천시 왕지동 765-3 102호, 103호|순천시 왕지동 765-3 102호, 103호 |1109355|34.9722182|127.5236373
뚜레쥬르|경주동국대점|054-776-7373|경상북도 경주시 성건동 620-720 뚜레쥬르 경주동국대점|경상북도 경주시 동대로 6 (성건동) 뚜레쥬르 경주동국대점 |1109439|35.8554702|129.2062352
뚜레쥬르|배곧SK점|031-434-6233|경기도 시흥시 정왕동 2483 (시흥배곧에스케이뷰) SK뷰아파트 단지내 상가 107-|경기도 시흥시 배곧3로 27-7 (정왕동,시흥배곧에스케이뷰) SK뷰아파트 단지내 상가 |1109363|37.3758749|126.7246337
뚜레쥬르|일산산들점|031-918-5111|경기도 고양시 일산서구 일산동 1673-1 1층 뚜레쥬르|경기도 고양시 일산서구 고양대로 726 (일산동) 1층 뚜레쥬르 |1109406|37.6828074|126.7766095
뚜레쥬르|창원팔용아티움점|055-603-2651|경상남도 창원시 의창구 팔용동 35-2 102호|경상남도 창원시 의창구 창원대로397번길 11 (팔용동) 102호 |1109342|35.2358849|128.6414092
뚜레쥬르|잠실새내점|02-6396-8581|서울특별시 송파구 잠실동 214-10 (씨밀레) 1층 뚜레쥬르|서울특별시 송파구 올림픽로12길 48 (잠실동,씨밀레) 1층 뚜레쥬르 |1109403|37.5074326|127.0834868
뚜레쥬르|경주안강점|054-763-9911|경상북도 경주시 안강읍 안강리 319-262 뚜레쥬르 경주안강점|경상북도 경주시 안강읍 비화동길 1 (안강리) 뚜레쥬르 경주안강점 |1109407|35.9918930|129.2254864
뚜레쥬르|동탄메타폴리스점|031-613-6231|경기 화성시 동탄중앙로 200 202호|경기 화성시 동탄중앙로 200 202호 |1109360|37.2027757|127.0689474
뚜레쥬르|강동홈플러스점|02-477-8539|서울특별시 강동구 천호동 42 (천호복합상업시설) 홈플러스 강동점 1층|서울특별시 강동구 양재대로 1571 (천호동,천호복합상업시설) 홈플러스 강동점 1층 |1109344|37.5457146|127.1422553
뚜레쥬르|의왕내손점|031-425-0045|경기도 의왕시 내손동 416-3 벨포레스퀘어 G104,G105호|경기도 의왕시 포일로 30 (내손동) 벨포레스퀘어 G104,G105호 |1109107|37.3891211|126.9769100
뚜레쥬르|율하2지구점|055-322-7788|경상남도 김해시 율하로 484 슈가빌딩 103호(장유동)|경상남도 김해시 율하로 484 슈가빌딩 103호(장유동) |1109239|35.1677779|128.8276784
뚜레쥬르|제주이도이동점|064-725-2486|제주특별자치도 제주시 이도이동 1860-1 1층 105호 뚜레쥬르|제주특별자치도 제주시 중앙로 273 (이도이동) 1층 105호 뚜레쥬르 |1109357|33.4962689|126.5326731
뚜레쥬르|천호역점|02-487-1600|서울특별시 강동구 천호동 454-15 (동원천호빌딩) 동원빌딩|서울특별시 강동구 천호대로 1027 (천호동,동원천호빌딩) 동원빌딩 |1109343|37.5381742|127.1263458
뚜레쥬르|홍성의료원점|041-634-5300|충청남도 홍성군 홍성읍 고암리 1020 1층 뚜레쥬르|충청남도 홍성군 홍성읍 조양로 229 (고암리) 1층 뚜레쥬르 |1109340|36.5999251|126.6750149
뚜레쥬르|상월곡역점|02-960-0291|서울특별시 성북구 석관동 341-16 (수정빌딩) 186-0|서울특별시 성북구 화랑로 186 (석관동,수정빌딩) 186-0 |1109359|37.6074348|127.0510336
뚜레쥬르|거창스카이점|055-942-7800|경상남도 거창군 거창읍 김천리 255-11 (SKYCITY할인점) SKYCITY할인점내|경상남도 거창군 거창읍 수남로 2233 (김천리,SKYCITY할인점) SKYCITY할인점내 |1109364|35.6787058|127.9105779
뚜레쥬르|남춘천점|033-244-0069|강원도 춘천시 퇴계동 891-2 상가 1층|강원도 춘천시 행촌로 27 (퇴계동) 상가 1층 |1109369|37.8593884|127.7239046
뚜레쥬르|대전도안상대점|042-824-8599|대전광역시 유성구 상대동 473-1 뚜레쥬르|대전광역시 유성구 상대동로 34 (상대동) 뚜레쥬르 |1109264|36.3459899|127.3391908
뚜레쥬르|광주문흥2호점|062-268-2023|광주광역시 북구 문흥동 999-5 1층뚜레쥬르|광주광역시 북구 서하로 389 (문흥동) 1층뚜레쥬르 |1109269|35.1853706|126.9226842
뚜레쥬르|하남대명루첸점|031-792-0504|경기도 하남시 신장동 593 (하남유시티대명루첸리버파크) 16-20호|경기도 하남시 하남유니온로 30 (신장동,하남유시티대명루첸리버파크) 16-20호 |1109258|37.5454480|127.2142346
뚜레쥬르|거제사등점|055-636-0264|경상남도 거제시 사등면 사곡리 834-7 2층|경상남도 거제시 사등면 두동로 65 (사곡리) 2층 |1109203|34.8961119|128.5684887
뚜레쥬르|청주동남점|043-298-0080|충청북도 청주시 상당구 용암동 206-1 (칸타빌더테라스1단지) 대원칸타빌 1차 상가 109호|충청북도 청주시 상당구 중고개로 140 (용암동,칸타빌더테라스1단지) 대원칸타빌 1차 상가 10 |1109282|36.6176456|127.5192484
뚜레쥬르|청주동남점|043-298-0080|충청북도 청주시 상당구 용암동 206-1 (칸타빌더테라스1단지) 대원칸타빌 1차 상가 109호|충청북도 청주시 상당구 중고개로 140 (용암동,칸타빌더테라스1단지) 대원칸타빌 1차 상가 10 |1109282|36.6176456|127.5192484
뚜레쥬르|염창역점|02-2653-0729|서울특별시 양천구 목동 514-18 (어바니엘) 1층|서울특별시 양천구 공항대로 630 (목동,어바니엘) 1층 |1109179|37.5465353|126.8747144
뚜레쥬르|구미옥계점|054-473-7723|경상북도 구미시 옥계동 890-2 890-4 1층|경상북도 구미시 옥계북로 9 (옥계동) 890-4 1층 |1109238|36.1387839|128.4185704
뚜레쥬르|고양향동점|02-3159-1225|경기도 고양시 덕양구 향동동 0 중흥메디프라자 1층 102호|경기도 고양시 덕양구 향기4로 1 (향동동) 중흥메디프라자 1층 102호 |1109078|37.6006999|126.8952168
뚜레쥬르|용인파머스마켓점|031-321-7103|경기도 용인시 처인구 김량장동 254-413 (농협파머스) 용인농협 파머스마켓1층|경기도 용인시 처인구 금령로55번길 3 (김량장동,농협파머스) 용인농협 파머스마켓1층 |1109178|37.2352646|127.2020880
뚜레쥬르|여주대로데오점|031-8087-7077|경기도 여주시 교동 59-2|경기도 여주시 세종로 278 |1109222|37.2733644|127.6372412
뚜레쥬르|함안점|055-583-1237|경상남도 함안군 가야읍 말산리 476-5 (비봉낙시) 39-4|경상남도 함안군 가야읍 가야로 39-4 (말산리,비봉낙시) 39-4 |1109304|35.2775955|128.4056144
뚜레쥬르|안산그랑시티자이점|031-406-2660|경기도 안산시 상록구 사동 1640-6 199, 156호|경기도 안산시 상록구 해안로 738 (사동) 199, 156호 |1109215|37.2871432|126.8289161
뚜레쥬르|김포구래점|031-996-8873|경기도 김포시 구래동 6883-8 101,102호|경기도 김포시 김포한강9로 80 (구래동) 101,102호 |1109281|37.6441233|126.6260533
뚜레쥬르|부산반송점|051-542-5486|부산광역시 해운대구 반송동 228-1 (신정빌딩) 1층|부산광역시 해운대구 신반송로 193 (반송동,신정빌딩) 1층 |1109252|35.2297839|129.1588736
뚜레쥬르|김해중앙병원점|055-338-7716|경상남도 김해시 외동 1044-6 (김해중앙병원) 2층|경상남도 김해시 분성로 94-7 (외동,김해중앙병원) 2층 |1109301|35.2308136|128.8574647
뚜레쥬르|용산리첸시아점|02-706-6600|서울특별시 용산구 원효로1가 133-3 (리첸시아 용산) 1층 뚜레쥬르 101호|서울특별시 용산구 백범로 341 (원효로1가,리첸시아 용산) 1층 뚜레쥬르 101호 |1109286|37.5383556|126.9678941
뚜레쥬르|진부중앙점|033-333-1511|강원도 평창군 진부면 하진부리 98-3|강원도 평창군 진부면 경강로 3615-1 |1109062|37.6374622|128.5596563
뚜레쥬르|역삼역점|070-4184-4697|서울특별시 강남구 역삼동 736-17 (동궁빌딩) 1층|서울특별시 강남구 테헤란로20길 9 (역삼동,동궁빌딩) 1층 |1109256|37.4991952|127.0345593
뚜레쥬르|인천동수역점|032-522-1280|인천광역시 부평구 부평동 754-56 (재현빌딩) 1층|인천광역시 부평구 경인로 883 (부평동,재현빌딩) 1층 |1109234|37.4856788|126.7183600
뚜레쥬르|송도호반에듀시티점|032-851-0092|인천광역시 연수구 송도동 310-1 (호반베르디움EDUCITY) 1동116,117,118|인천광역시 연수구 랜드마크로 110 (송도동,호반베르디움EDUCITY) 1동116,117,1 |1109212|37.4152393|126.6158059
뚜레쥬르|문정법조단지점|02-3400-0408|서울특별시 송파구 문정동 644-2 (문정현대지식산업센터1-2) 1층 뚜레쥬르|서울특별시 송파구 법원로11길 7 (문정동,문정현대지식산업센터1-2) 1층 뚜레쥬르 |1109192|37.4853545|127.1192266
뚜레쥬르|광주진월점|062-674-9947|광주광역시 남구 주월동 387-1 (정안학원) 1층 104호|광주광역시 남구 서문대로 793 (주월동,정안학원) 1층 104호 |1109135|35.1301106|126.8983276
뚜레쥬르|다산지금점|031-552-6247|경기도 남양주시 다산동 6217-1 (다산지금지구근생7-1) 하나로프라자2 104, 1|경기도 남양주시 다산지금로 130 (다산동,다산지금지구근생7-1) 하나로프라자2 104, |1109191|37.6014671|127.1735875
뚜레쥬르|여수죽림점|061-692-0419|전라남도 여수시 소라면 죽림리 1229-3 1층 뚜레쥬르|전라남도 여수시 소라면 죽림로 7 (죽림리) 1층 뚜레쥬르 |1109211|34.7615857|127.6395780
뚜레쥬르|광주매곡점|062-574-4400|광주광역시 북구 매곡동 189 1층 뚜레쥬르|광주광역시 북구 매곡로 85 (매곡동) 1층 뚜레쥬르 |1109194|35.1922648|126.8921426
뚜레쥬르|산본역센트로점|031-393-0234|경기도 군포시 산본동 79-19 산본역센트로 601 114, 115호|경기도 군포시 산본천로221번길 56 (산본동) 산본역센트로 601 114, 115호 |1109151|37.3744696|126.9405007
뚜레쥬르|광주선운점|062-943-0455|광주광역시 광산구 선암동 567 1층 뚜레쥬르|광주광역시 광산구 선운중앙로 56 (선암동) 1층 뚜레쥬르 |1109171|35.1478422|126.7779922
뚜레쥬르|이천송정점|031-632-0095|경기도 이천시 송정동 314-4 1층 뚜레쥬르 이천송정점|경기도 이천시 증신로291번길 137 (송정동) 1층 뚜레쥬르 이천송정점 |1109149|37.2952761|127.4330742
뚜레쥬르|오산법원점|031-372-8997|경기도 오산시 궐동 652-2 (구꿈) 1층 뚜레쥬르|경기도 오산시 궐리사로 64 (궐동,구꿈) 1층 뚜레쥬르 |1109144|37.1589017|127.0592815
뚜레쥬르|신월동점|02-2695-7001|서울시 양천구 신월동 593-13, 진리등대교회 (신월동) 1층|서울시 양천구 남부순환로 83길 48 , 진리등대교회(신월동)1층 |1109180|37.5173536|126.8454530
뚜레쥬르|구수동점|02-717-5999|서울특별시 마포구 구수동 68-24 뚜레쥬르 구수동|서울특별시 마포구 토정로 190 (구수동) 뚜레쥬르 구수동 |1109117|37.5452510|126.9320471
뚜레쥬르|전남장흥점|061-862-8100|전라남도 장흥군 장흥읍 예양리 121-24 1층|전라남도 장흥군 장흥읍 토요시장1길 9-1 (예양리) 1층 |1108726|34.6736962|126.9022329
뚜레쥬르|인제점|033-461-7400|강원도 인제군 인제읍 상동리 361-14|강원도 인제군 인제읍 인제로 195 |1109148|38.0692282|128.1720792
뚜레쥬르|상일동역점|02-426-1601|서울특별시 강동구 상일동 121 (고덕아르테온아파트(상가1동)) 104호,107호|서울특별시 강동구 고덕로 390 (상일동,고덕아르테온아파트(상가1동)) 104호,107호 |1109102|37.5566264|127.1687802
뚜레쥬르|대구매천점|053-311-8295|대구광역시 북구 태전동 1107 1층 뚜레쥬르|대구광역시 북구 학정로 38 (태전동) 1층 뚜레쥬르 |1109048|35.9132387|128.5468820
뚜레쥬르|홍천갈마점|033-433-0459|강원도 홍천군 홍천읍 갈마곡리 199 주공1차아파트상가동 103호, 104호|강원도 홍천군 홍천읍 갈마로 16 주공1차아파트상가동 103호, 104호 |1109100|37.6924017|127.8986258
뚜레쥬르|카페중곡점|02-499-4304|서울특별시 광진구 중곡동 164-1 1층|서울특별시 광진구 능동로 373 (중곡동) 1층 |1109070|37.5627358|127.0822860
뚜레쥬르|포항쌍용점|054-278-9592|경상북도 포항시 북구 죽도동 718-4 1층 뚜레쥬르|경상북도 포항시 북구 중흥로 126 (죽도동) 1층 뚜레쥬르 |1109094|36.0158450|129.3528470
뚜레쥬르|동인천역점|032-777-1069|인천광역시 중구 인현동 20-7 (잇츠스킨,까까머리) 1층.2층|인천광역시 중구 자유공원로 3-12 (인현동,잇츠스킨,까까머리) 1층.2층 |1109076|37.4748868|126.6306804
뚜레쥬르|향남2지구점|031-366-0803|경기도 화성시 향남읍 하길리 1470-6|경기도 화성시 향남읍 상신하길로298번길 7-29 |1109083|37.1143487|126.9126023
