##NAME|TYPE|SUBNAME|TELNUM|ADDR|FATHER|SOURCE2@@교회
구절그리스도의교회|그리스도||033-562-5067|강원도 정선군 북면 구절1리 277-34|박영우 목사|한국컴퓨터선교회
참사랑교회///기쁨의/예배당|합동개혁||010-3950-1189|강원 양구군 양구읍 도사리 금강산로 1292-5|이기인 목사|한국컴퓨터선교회
소치교회|대신||033-463-3222|강원도 인제군 남면 갑둔리169-1|박재선 목사|한국컴퓨터선교회
흥광교회|백석||010-9219-1380|강원 강릉시 초당동 249-11(초당안길5번)|최호재 목사|한국컴퓨터선교회
강동제일교회|개혁||033-645-8437|강원도 강릉시 강동면 상시동2리|강덕원 목사|한국컴퓨터선교회
강인교회|개혁||033-644-6116|강원도 강릉시 강동면 안인진1리 산 18-3|박운기 목사|한국컴퓨터선교회
강릉교회|기성||033-643-7792|강원 강릉시 임당동 181|이형구 목사|한국컴퓨터선교회
강릉교회|기감||033-643-3611|강원도 강릉시 교2동 162-183|한재덕 목사|한국컴퓨터선교회
강릉교회|기침||033-648-6647|강원도 강릉시 홍제동 144-4|전영균 목사|한국컴퓨터선교회
강릉교회|그리스도||033-643-5182|강원도 강릉시 교2동 142-12|이흥수 목사|한국컴퓨터선교회
강릉대광교회|합동||033-651-6093|강원도 강릉시 송정동 청송A상가|하금석 목사|한국컴퓨터선교회
강릉베데스다교회|합동통합||033-641-0656|강원도 강릉시 노암동 80|최광운 목사|한국컴퓨터선교회
강릉빛교회|예성||033-653-7169|강원도 강릉시 교2동 29|황영기 목사|한국컴퓨터선교회
강릉사랑교회|대신||033-645-6429|강원도 강릉시 노암동 661-1|김영철 목사|한국컴퓨터선교회
강릉소망교회|통합||033-645-1091|강원 강릉시 교2동 종합운동장길 96|김현동 목사|한국컴퓨터선교회
강릉시민교회|고신||033-651-6467|강원도 강릉시 포남2동 1293-6|윤복수 목사|한국컴퓨터선교회
강릉제이교회|합동||033-653-0191|강원도 강릉시 초당동 129-10|유장열 목사|한국컴퓨터선교회
강릉제일교회|기성||033-643-0488|강원도 강릉시 임당동 92-10|박병권 목사|한국컴퓨터선교회
강릉제일교회|그리스도||033-652-1373|강원도 강릉시 입암동 546|김생수 목사|한국컴퓨터선교회
강릉제일교회|기감||033-645-5035|강원도 강릉시 입암동 662-341|이병서 목사|한국컴퓨터선교회
강릉중부교회|합동||033-648-0398|강원도 강릉시 교2동 15-59|오승환 목사|한국컴퓨터선교회
강릉중앙교회|기감||033-646-7575|강원도 강릉시 금학동 92-1|이철 목사|한국컴퓨터선교회
강릉중앙교회|기침||033-643-7617|강원도 강릉시 교1동 938-14|김광윤 목사|한국컴퓨터선교회
강릉중앙교회|합동정통||033-647-4627|강원도 강릉시 교1동 833-4|박승석 목사|한국컴퓨터선교회
강릉중앙교회|개혁||033-651-4627|강원도 강릉시 포남2동 삼화A.가-301호|박승석 목사|한국컴퓨터선교회
강문교회|합동||033-652-1588|강원도 강릉시 강문동 217-5|박충신 목사|한국컴퓨터선교회
강일교회|기감||033-651-4569|강원도 강릉시 포남2동 1291-4 대창빌딩|이명재 목사|한국컴퓨터선교회
경포교회|개혁||033-644-2211|강원도 강릉시 안현동 산 1|최재직 목사|한국컴퓨터선교회
경포제일교회|합동||033-644-2688|강원도 강릉시 안현동 862|변영복 목사|한국컴퓨터선교회
관동교회|예성||033-652-5153|강원도 강릉시 초당동 206|민덕식 목사|한국컴퓨터선교회
관동교회|기침||033-652-7715|강원도 강릉시 포남1동 1179-23|전인실 목사|한국컴퓨터선교회
관동제일교회|기감||033-641-1190|강원도 강릉시 내곡동 88-13 삼창그린마트302|송준영 목사|한국컴퓨터선교회
구정교회|기감||033-644-7991|강원도 강릉시 구정면 구정리 323-6|박병규 목사|한국컴퓨터선교회
구정교회|기침||033-644-7505|강원도 강릉시 구정면 여찬리 303|이호일 목사|한국컴퓨터선교회
금광교회|대신||033-647-9118|강원도 강릉시 구정면 금광2리 537|이경환 목사|한국컴퓨터선교회
금산교회|기감||033-644-8668|강원도 강릉시 성산면 금산1리 599-2|박호순 목사|한국컴퓨터선교회
금진교회|기감||033-534-2188|강원도 강릉시 옥계면 금진리 294-2|이승재 목사|한국컴퓨터선교회
동부교회|기침||033-652-6012|강원도 강릉시 포남1동 1170-3|권운식 목사|한국컴퓨터선교회
반석교회|기감||033-652-4176|강원도 강릉시 입암동 595-12|양창희 목사|한국컴퓨터선교회
백석교회|통합||033-651-9311|강원도 강릉시 교1동 982-8|김성진 목사|한국컴퓨터선교회
벧엘교회|그리스도||033-651-8357|강원도 강릉시 송정동 968-4|박옥채 목사|한국컴퓨터선교회
병산교회|그리스도||033-652-6125|강원도 강릉시 병산동 338-1|전주섭 목사|한국컴퓨터선교회
빛과생명교회|합동총회||033-671-1777|강원도 강릉시 주문진읍 교항8리|이동열 목사|한국컴퓨터선교회
사랑의교회|기침||033-642-5121|강원도 강릉시 입암동 445-5|이희우 목사|한국컴퓨터선교회
사천교회|기감||033-647-0708|강원도 강릉시 사천면 상노동리|주인규 목사|한국컴퓨터선교회
사천제일교회|기감||033-644-1444|강원도 강릉시 사천면 미노리 306|손호문 목사|한국컴퓨터선교회
산계효자교회|합동||033-635-0501|강원도 강릉시 옥계면 산계3리 1053-1|하윤도 목사|한국컴퓨터선교회
산성교회|그리스도||033-644-5471|강원도 강릉시 강동면 산성1리|최낙현 목사|한국컴퓨터선교회
삼덕교회|기감||033-661-5142|강원도 강릉시 주문진읍 장덕2리 6반|고진욱 목사|한국컴퓨터선교회
새누리교회|합동정통||033-643-0246|강원도 강릉시 사천면 노동하리|조성규 목사|한국컴퓨터선교회
새생명교회|합동||033-645-7096|강원도 강릉시 강동면 모전1리 10-313|이병은 목사|한국컴퓨터선교회
새순교회|합동||033-652-5466|강원도 강릉시 포남1동 1278-164|김태우 목사|한국컴퓨터선교회
선양교회|고려||033-643-9608|강원도 강릉시 교2동 801-17|송병국 목사|한국컴퓨터선교회
성민의교회|기감||033-648-0927|강원도 강릉시 입암동 627-7|임용남 목사|한국컴퓨터선교회
성산교회|기감||033-641-9029|강원도 강릉시 성산면 구산리 239|송성용 목사|한국컴퓨터선교회
성암교회|기성||033-645-2147|강원도 강릉시 노암동 267-5|이규석 목사|한국컴퓨터선교회
소금강교회|합동||033-661-4208|강원도 강릉시 연곡면 퇴곡2리 512|김상택 목사|한국컴퓨터선교회
신석교회|기성||033-645-8264|강원도 강릉시 신석동 189|이명길 목사|한국컴퓨터선교회
안인교회|개혁합신||033-644-6332|강원도 강릉시 강동면 안인진2리 69-1|이인표 목사|한국컴퓨터선교회
안인진교회|기감||033-644-6495|강원도 강릉시 강동면 안인진2리 127-1|김인정 목사|한국컴퓨터선교회
어단교회|합동||033-647-9362|강원도 강릉시 구정면 어단2리 369-1|김종만 목사|한국컴퓨터선교회
언별교회|예성||033-645-7329|강원도 강릉시 강동면 언별1리2반|심지섭 목사|한국컴퓨터선교회
연곡교회|기성||033-662-5064|강원도 강릉시 연곡면 방내리|서차교 목사|한국컴퓨터선교회
연곡교회|기감||033-662-5584|강원도 강릉시 연곡면 송림2리 415|김성희 목사|한국컴퓨터선교회
연곡제일교회|기감||033-662-8198|강원도 강릉시 연곡면 동덕2리 427|이명화 목사|한국컴퓨터선교회
열린교회|나사렛||033-662-3431|강원도 강릉시 주문진읍 교향3리 51|장석주 목사|한국컴퓨터선교회
영동교회|합동||033-646-1729|강원도 강릉시 내곡동 87-2|권석현 목사|한국컴퓨터선교회
영동교회|기성||033-644-5233|강원도 강릉시 강동면 정동진리|김형태 목사|한국컴퓨터선교회
영동교회|합동정통||033-661-0854|강원도 강릉시 주문진읍 주문6리 721-2|최정영 목사|한국컴퓨터선교회
영진교회|기감||033-662-5101|강원도 강릉시 연곡면 영진2리|김정균 목사|한국컴퓨터선교회
오성교회|기침||033-648-0683|강원도 강릉시 노암동 715-54|김은성 목사|한국컴퓨터선교회
옥계교회|호헌||033-534-0078|강원도 강릉시 옥계면 현내4리 669-1|이상호 목사|한국컴퓨터선교회
옥계낙풍교회|합동||033-635-2814|강원도 강릉시 옥계면 낙풍2리 596|조용순 목사|한국컴퓨터선교회
옥계장로교회|합동||033-534-2565|강원도 강릉시 옥계면 현내리 976|신삼용 목사|한국컴퓨터선교회
옥계중앙교회|기감||033-634-2260|강원도 강릉시 옥계면 현내리 403|이두복 목사|한국컴퓨터선교회
온누리교회|통합||033-646-7694|강원도 강릉시 교2동 798-10|김수연 목사|한국컴퓨터선교회
위촌리교회|합동||033-644-9376|강원도 강릉시 성산면 위촌1동 5반|이동우 목사|한국컴퓨터선교회
은광교회|합동||033-651-8301|강원도 강릉시 포남2동 1060-11|정재흥 목사|한국컴퓨터선교회
은샘교회|기성||033-661-1341|강원 강릉시 주문진읍 교항1리 14-13번지|김덕래 목사|한국컴퓨터선교회
임곡교회|기침||033-647-5382|강원도 강릉시 강동면 임곡1리|송근집 목사|한국컴퓨터선교회
입암교회|합동정통||033-642-4516|강원도 강릉시 입암동 450 10/2|이순금 목사|한국컴퓨터선교회
정동교회|합동정통||033-644-5560|강원도 강릉시 강동면 정동2리|이종봉 목사|한국컴퓨터선교회
정동진교회|개혁||033-644-5366|강원도 강릉시 강동면 정동진2리 산147-5|김태식 목사|한국컴퓨터선교회
제비교회|기성||033-644-7821|강원도 강릉시 구정면 제비리|이덕형 목사|한국컴퓨터선교회
제자교회|합동||033-653-4165|강원도 강릉시 교2동 26-27|김진해 목사|한국컴퓨터선교회
주문진교회|기성||033-661-0288|강원도 강릉시 주문진읍 주문3리|김정호 목사|한국컴퓨터선교회
주문진교회|기침||033-662-3557|강원도 강릉시 주문진읍 교황리|김지수 목사|한국컴퓨터선교회
주문진교회|그리스도||033-662-4263|강원도 강릉시 주문진읍 교항7리|김종만 목사|한국컴퓨터선교회
주문진남부교회|기감||033-662-3778|강원도 강릉시 주문진읍 교항6리 70|김병기 목사|한국컴퓨터선교회
주문진중앙교회|합동||033-662-4634|강원도 강릉시 주문진읍 장성1리 4|최승선 목사|한국컴퓨터선교회
주사랑교회|합동정통||033-645-5540|강원도 강릉시 노암동 706-7|한건일 목사|한국컴퓨터선교회
초당교회|기감||033-653-9438|강원도 강릉시 초당동 98-6|정의석 목사|한국컴퓨터선교회
초당교회|기성||033-652-7107|강원도 강릉시 초당동 245|이창호 목사|한국컴퓨터선교회
포남교회|그리스도||033-651-1410|강원도 강릉시 포남2동 1068-4|한상현 목사|한국컴퓨터선교회
푸른교회|기침||033-647-5951|강원도 강릉시 강릉우체국사서함45호|송용민 목사|한국컴퓨터선교회
하평교회|개혁합신||033-644-0860|강원도 강릉시 사천면 진2리|이철로 목사|한국컴퓨터선교회
학산교회|합동||033-647-9106|강원도 강릉시 구정면 학산1리 374-4|황성호 목사|한국컴퓨터선교회
한돌교회|보수정통||033-642-0174|강원도 강릉시 남문동92-2|손인석 목사|한국컴퓨터선교회
한라소망교회|기감||033-634-2161|강원도 강릉시 옥계면 현내4리|구인덕 목사|한국컴퓨터선교회
행복한교회|기감||033-641-5877|강원도 강릉시 명주동 65-15|정윤배 목사|한국컴퓨터선교회
강원중앙교회|기침||033-521-9599|강원도 동해시 쇄운동 169-7|최병조 목사|한국컴퓨터선교회
동부중앙교회|기침||033-535-5572|강원도 동해시 천곡동 995-10|정연홍 목사|한국컴퓨터선교회
동산교회|기하성||033-532-0815|강원도 동해시 향로동 5통 1반|김영식 목사|한국컴퓨터선교회
동성교회|합동||033-522-5283|강원도 동해시 이도동 472|김호풍 목사|한국컴퓨터선교회
동신교회|기성||033-521-1009|강원도 동해시 쇄운동 86-4|김홍주 목사|한국컴퓨터선교회
주성장로교회|합동||033-532-7201|강원도 동해시 천곡동 380-2|차임일 목사|한국컴퓨터선교회
동의교회|기감||033-533-6159|강원도 동해시 천곡동 1051-11|한영상 목사|한국컴퓨터선교회
동해교회|기감||033-532-3123|강원도 동해시 평릉동 176|공기현 목사|한국컴퓨터선교회
동해교회|기성||033-535-1341|강원도 동해시 발한동 179-2|정경환 목사|한국컴퓨터선교회
동해교회|통합||033-532-0082|강원도 동해시 향로동 200-4 1/2|임인채 목사|한국컴퓨터선교회
동해교회|기침||033-531-3341|강원도 동해시 천곡동 1034-1|이원도 목사|한국컴퓨터선교회
동해교회|기장||033-532-9786|강원도 동해시 천곡동 1031-1|윤치현 목사|한국컴퓨터선교회
동해교회|기하성||033-533-2539|강원도 동해시 사문동 334|안직규 목사|한국컴퓨터선교회
동해병원교회|통합||033-530-3295|강원도 동해시 평릉동 190|김준자 목사|한국컴퓨터선교회
동해성동교회|예성||033-535-0520|강원도 동해시 향로동 204-2|최성주 목사|한국컴퓨터선교회
동해성문교회|고려||033-531-7605|강원도 동해시 묵호동 산11|김백수 목사|한국컴퓨터선교회
동해소망교회|통합||033-535-0691|강원도 동해시 효가동 467-5 5/7|유윤종 목사|한국컴퓨터선교회
동해시민교회|고신||033-535-1462|강원도 동해시 천곡동 989-4|송만섭 목사|한국컴퓨터선교회
동해에덴교회|개혁||033-534-3352|강원도 동해시 망상동 270|문창식 목사|한국컴퓨터선교회
동해제일교회|기감||033-534-8048|강원도 동해시 삼화동 35-1 216|박경선 목사|한국컴퓨터선교회
동해제일교회|통합||033-521-5346|강원도 강릉시 송정동 851-35|정대연 목사|한국컴퓨터선교회
동해제일교회|기하성||033-535-3756|강원도 동해시 발한동 303-1|최형건 목사|한국컴퓨터선교회
동해제일교회|예성||033-531-3039|강원도 동해시 천곡동 1078-20|이흥재 목사|한국컴퓨터선교회
동해중앙교회|기감||033-522-5234|강원도 동해시 동회동 248 8/1|이찬규 목사|한국컴퓨터선교회
동해중앙교회|통합||033-531-3901|강원도 동해시 발한동 233-76 6/3|함원조 목사|한국컴퓨터선교회
동해중앙교회|기침||033-522-0277|강원도 동해시 북평동 89-3 1/2|김영식 목사|한국컴퓨터선교회
동해현교회|기감||033-532-4701|강원도 동해시 천곡동 962-23|주기중 목사|한국컴퓨터선교회
등대교회|기감||033-531-8001|강원도 동해시 부곡동 5-97 316|이대성 목사|한국컴퓨터선교회
망상교회|기감||033-534-3659|강원도 동해시 망상동 243|류용호 목사|한국컴퓨터선교회
목원교회|합동||033-535-3458|강원도 동해시 천곡동 964-4|최광규 목사|한국컴퓨터선교회
부곡교회|기감||033-531-4912|강원도 동해시 부곡동 113-17|김범식 목사|한국컴퓨터선교회
북평교회|통합||033-521-4518|강원도 동해시 북평동 473 3/4|박흥길 목사|한국컴퓨터선교회
삼일교회|통합||033-534-8731|강원도 동해시 삼화동 3/6|문윤순 목사|한국컴퓨터선교회
삼화교회|통합||033-534-7082|강원도 동해시 삼화동 126-1 1/2|김병훈 목사|한국컴퓨터선교회
새롬교회|기감||033-532-3833|강원도 동해시 동호동 569-6|박용수 목사|한국컴퓨터선교회
새묵호교회|기감||033-535-0191|강원도 동해시 묵호동 1/1 95-47|장태영 목사|한국컴퓨터선교회
성림교회|기침||033-532-7481|강원도 동해시 용정동 268-165|송광택 목사|한국컴퓨터선교회
성민교회|기감||033-531-5339|강원도 동해시 발한동 293-16|김상우 목사|한국컴퓨터선교회
성은교회|기감||033-521-6270|강원도 동해시 쇄운동 223-3 1015|육명길 목사|한국컴퓨터선교회
성은교회|대신||033-523-3080|강원도 동해시 부곡동 31-2|김근배 목사|한국컴퓨터선교회
소망교회|기침||033-521-3439|강원도 동해시 효가동 212-1|윤병근 목사|한국컴퓨터선교회
소명교회|개혁||033-521-5851|강원도 동해시 동회동 173-9 보배A.2-1009|김유근 목사|한국컴퓨터선교회
송정교회|기감||033-522-1004|강원도 강릉시 송정동 1027|김종현 목사|한국컴퓨터선교회
송정교회|기침||033-522-5645|강원도 강릉시 송정동 854-50|오주영 목사|한국컴퓨터선교회
열린교회|기침||033-532-1991|강원도 동해시 천곡동 988-22|임길수 목사|한국컴퓨터선교회
영광교회|합동||033-532-2708|강원도 동해시 천곡동 1042-1|홍현수 목사|한국컴퓨터선교회
영동중앙교회|개혁||033-535-1612|강원도 동해시 어달동 12-5 산본A. 102-107|김대성 목사|한국컴퓨터선교회
영락교회|개혁||033-533-4077|강원도 동해시 향로동 105-9|신명구 목사|한국컴퓨터선교회
예닮교회|통합||033-535-0688|강원도 동해시 천곡동 1059-16|진중진 목사|한국컴퓨터선교회
참빛교회|개혁합신||033-533-0731|강원도 동해시 묵호동 85-175|윤만중 목사|한국컴퓨터선교회
천곡교회|기감||033-532-8012|강원도 동해시 천곡동 1081-8|김종성 목사|한국컴퓨터선교회
천곡교회|기하성||033-533-0191|강원도 동해시 천곡동 1038-17|김은경 목사|한국컴퓨터선교회
천곡성문교회|고려||033-531-8663|강원도 동해시 천곡동 1078-2|백의성 목사|한국컴퓨터선교회
천곡중앙교회|예장통합||033-531-3019|강원 동해시 천곡동 1078-10|전건형 목사|한국컴퓨터선교회
평화교회|기감||033-535-3325|강원도 동해시 동호동 597-11|한용국 목사|한국컴퓨터선교회
가곡교회|기감||033-572-7008|강원도 삼척시 가곡면 탕곡리 7|연성흠 목사|한국컴퓨터선교회
가평교회|통합||033-572-6908|강원도 삼척시 노곡면 하마읍동 166-6|목대진 목사|한국컴퓨터선교회
갈전교회|합동||033-552-0338|강원도 삼척시 하장면 갈전리 212|오치영 목사|한국컴퓨터선교회
고천교회|통합||033-572-7784|강원도 삼척시 미로면 고천동 209|황정일 목사|한국컴퓨터선교회
광동교회|기감||033-552-0016|강원도 삼척시 하장면 광동리 77-1|서승관 목사|한국컴퓨터선교회
교동교회|개혁합신||033-573-2919|강원도 춘천시 교동 7통 2반|손덕규 목사|한국컴퓨터선교회
궁촌중앙교회|기침||033-574-9724|강원도 삼척시 근덕면 궁촌리|오병무 목사|한국컴퓨터선교회
근덕교회|기감||033-572-3144|강원도 삼척시 근덕면 교가리 640-1|전은식 목사|한국컴퓨터선교회
기곡교회|기감||033-573-5141|강원도 삼척시 원덕읍 기곡2리 147|류철현 목사|한국컴퓨터선교회
내미로교회|개혁||033-572-6065|강원도 삼척시 미로면 내미로리|곽철주 목사|한국컴퓨터선교회
노곡교회|합동||033-573-6971|강원도 삼척시 노곡면 하월산리 180-1|장창근 목사|한국컴퓨터선교회
늑구교회|개혁||033-541-1878|강원도 삼척시 도계읍 늑구리 137-1|임한기 목사|한국컴퓨터선교회
늘푸른교회|합동||033-572-8767|강원도 삼척시 남양동 335-7|신인철 목사|한국컴퓨터선교회
달전교회|통합||033-541-7001|강원도 삼척시 도계읍 도계4리 25반|강선수 목사|한국컴퓨터선교회
대평교회|기침||033-541-0752|강원도 삼척시 신기면 대평리|곽요한 목사|한국컴퓨터선교회
덕산교회|통합||033-572-3258|강원도 삼척시 근덕면 덕산리 275-5|류택수 목사|한국컴퓨터선교회
도계교회|기감||033-541-9992|강원도 삼척시 도계읍 전두3리 3반|진태원 목사|한국컴퓨터선교회
도계교회|통합||033-541-1910|강원도 삼척시 도계읍 도계4동 1반 267-16|길재훈 목사|한국컴퓨터선교회
도계교회|기침||033-541-4568|강원도 삼척시 도계읍 도계4동 19반 100|오세덕 목사|한국컴퓨터선교회
도계중앙교회|개혁||033-541-2390|강원도 삼척시 도계읍 전두리 105-9|곽순종 목사|한국컴퓨터선교회
도계성산교회|합동||033-541-5409|강원도 삼척시 도계읍 흥전4리|박춘길 목사|한국컴퓨터선교회
도계은총교회|개혁||033-541-5875|강원도 삼척시 도계읍 고사리|나영진 목사|한국컴퓨터선교회
도계제일교회|합동||033-541-8437|강원도 삼척시 도계읍 도계1리 8반|박삼열 목사|한국컴퓨터선교회
동광교회|기감||033-541-3409|강원도 삼척시 도계읍 상덕리 112-8|전상규 목사|한국컴퓨터선교회
동막교회|기감||033-572-7609|강원도 삼척시 근덕면 동막리 125|이운희 목사|한국컴퓨터선교회
마읍교회|통합||033-572-4679|강원도 삼척시 노곡면 중마읍동|안경자 목사|한국컴퓨터선교회
명성교회|합동||033-574-0920|강원도 삼척시 사직동 421-11|이경무 목사|한국컴퓨터선교회
문암교회|통합||033-572-4417|강원도 삼척시 근덕면 문암동 294-2|김희준 목사|한국컴퓨터선교회
미로교회|통합||033-572-0039|강원도 삼척시 미로면 하고노1동 216|이선복 목사|한국컴퓨터선교회
맹방교회|통합||033-572-5879|강원도 삼척시 근덕면 하맹방동 321|이택교 목사|한국컴퓨터선교회
반석교회|합동진리||033-541-4321|강원도 삼척시 도계읍 흥전리|윤태목 목사|한국컴퓨터선교회
반석교회|기감||033-572-2823|강원도 삼척시 남양동 158-1|이형렬 목사|한국컴퓨터선교회
브니엘교회|기침||033-574-0755|강원도 삼척시 정상동 2/6 유진빌라|고상천 목사|한국컴퓨터선교회
삼척교회|기성||033-573-3465|강원도 삼척시 정상동 310|황득주 목사|한국컴퓨터선교회
삼척교회|통합||033-573-8276|강원도 삼척시 정상동 257 1/2|정훈우 목사|한국컴퓨터선교회
삼척교회|기침||033-573-2456|강원도 삼척시 남양동 57-11|장춘근 목사|한국컴퓨터선교회
삼척남부교회|기감||033-573-5890|강원도 삼척시 사직동 9/5|김동혁 목사|한국컴퓨터선교회
삼척남부교회|통합||033-574-0190|강원도 삼척시 적노동 198|김형근 목사|한국컴퓨터선교회
삼척제일교회|기감||033-572-0691|강원도 삼척시 남양동 15-1 9/1|진기섭 목사|한국컴퓨터선교회
삼척중앙교회|통합||033-573-1005|강원도 삼척시 남양동 339|문대식 목사|한국컴퓨터선교회
삼척중앙교회|기감||033-574-3548|강원도 삼척시 원당동 5-11|서주오 목사|한국컴퓨터선교회
상정교회|기침||033-574-0425|강원도 삼척시 미로면 상정리|최호준 목사|한국컴퓨터선교회
성광교회|기감||033-541-2539|강원도 삼척시 도계읍 도계3리 14반|백승규 목사|한국컴퓨터선교회
소달교회|기감||033-541-8174|강원도 삼척시 도계읍 하고사리|이동규 목사|한국컴퓨터선교회
