##NAME|FEAT|SUBNAME|TELNUM|NEWADDR|FATHER|SOURCE2@@기도원
진천중앙교회수련원기도원|||043-533-7955~6|충북 진천군 진천읍 문봉리|대흥|아멘선교회
예수능력기도원|||043-836-3922|충북 괴산군 증평읍 중동 5|한대석|아멘선교회
호남생명샘기도원|||063-273-6476|전북 전주시 봉동읍 제내리 산 28-4|김길윤|아멘선교회
한일기도원|||063-221-7586|전북 전주시 완산구 효자동 3가 1063|유수전|아멘선교회
평강기도원|||063-222-7586|전북 전주시 완산구 삼천동1가 627-5|이옥희|아멘선교회
제일기도원|||063-221-0643|전북 전주시 효자동 2가 853|이수정|아멘선교회
갈멜산수양관|||063-285-2110|전북 전주시 서서학동 흑석공(대성동 309)|김종진|아멘선교회
벧엘기도원|||063-584-2358|전북 부안군 부안읍 봉덕리 산 31|대흥|아멘선교회
울산기도원|||052-243-2150|울산시 북정동 440|양성은|아멘선교회
미가엘기도원|||052-234-9496|울산시 북구 상안동 854번지|박원자|아멘선교회
대복기도원|||052-268-5947|울산시 웅촌면 대복리 711|김해영|아멘선교회
부전기도원|||02-051-807-3331,2|울산광역시 울주군 웅촌면 검단리 596|최영만|아멘선교회
흰돌산기도원|||031-291-3111|경기도 화성시 봉담읍 세곡리 산224|윤석전|아멘선교회
효자리기도원|||02-354-3331|경기도 고양군 신도읍 효자리 61|주대섭|아멘선교회
호렙산기도원|||031-584-1374|경기도 광주시초월면 쌍동1리 136-13|신익준|아멘선교회
한얼산기도원|||031-584-1190|경기도 가평군 외서면 대성1리 222|이영금|아멘선교회
한나기도원|||031-243-9496|경기도 수원시 장안구 연무동 55번지|손순흥|아멘선교회
한국중앙기도원|||031-532-6935|경기도 포천군 영중면 성동4리 산 60-1|최복규|아멘선교회
한국기도원|||031-602-8003|경기도 가평군 설악면 회곡2리 220|김영문|아멘선교회
포천은성기도원|||031-592-9994|경기도 포천군 화현면 화현리 127-2|엄두섭|아멘선교회
포천기도원|||031-532-6508|경기도 포천군 영중면 성동리 산 113|이운식|아멘선교회
평택엘리야기도원|||031-662-7275|경기도 평택시 도일동 57번지|박혜순|아멘선교회
팔당산기도원|||031-772-6932|경기도 양평군 양서면 신원2리 131|장은실|아멘선교회
태화산기도원|||031-332-3632|경기도 용인시 양지면 대대리 산 1-10|박만용|아멘선교회
칠보산기도원|||031-292-2116|경기도 화성군 매송면 천천리 산 1-10|김동규|아멘선교회
충현기도원|||031-764-4425|경기도 광주시초월면 대쌍령리 산80|김창인|아멘선교회
축령산기도원|||031-591-6315|경기도 남양주군 수동면 외방2리 304-1|박경숙|아멘선교회
천마산기도원|||031-591-7069|경기도 남양주시 미금읍 호평리 산58|최 훈|아멘선교회
진실기도원|||031-672-8456|경기도 안성군 미양면 구수리 산61|김진실|아멘선교회
중앙기도원|||031-584-1928|경기도 가평군 외서면 대성1리 249|이승학|아멘선교회
중생기도원|||031-456-7568|경기도 의왕시 포일동485-3|박기도|아멘선교회
제일기도원|||031-633-5818|경기도 이천군 대월면 대포리|신정숙|아멘선교회
임마누엘기도원|||031-764-2021|경기도 광주군 광주읍 중대리 191|김순자|아멘선교회
임마누엘기도원|||031-532-7208|경기도 포천군 이동면 연곡리 53-2|유선아|아멘선교회
일영기도원|||031-440-5452|경기도 양주군 장흥면 일영리 396-2|오수강|아멘선교회
은혜기도원|||031-584-1875|경기도 가평군 외서면 대성1리 569|송호섭|아멘선교회
은혜기도원|||031-665-7362|경기도 이천시 부발면 아미리 38번지|이태순|아멘선교회
은성산기도원|||031-632-8580|경기도 이천군 율면 월포4리|호세길|아멘선교회
용암리벧엘금식기도원|||02-977-6951|경기도 양주군 은현면 용암2리 산26-7|최종식|아멘선교회
용광로기도원|||031-465-6370|경기도 남양주시 수동면 내방리 295-3|정창옥|아멘선교회
오산리최자실기념기도원|||031-945-0091|경기도 파주군 조리면 오산리 187-5|조용기|아멘선교회
오대산기도원|||031-372-8251|경기도 오산시 지곳동 79-3|김태지|아멘선교회
영생기도원|||031-896-1995|경기도 김포시 고촌면 신곡리 850-31|김미자|아멘선교회
엘리야기도원|||031-763-0840|경기도 양평군 회천읍 덕계리 산 65|이도담|아멘선교회
에덴기도원|||031-780-1827|경기도 화성군 반월면 속달2리 402|이상일|아멘선교회
양평대한수도원기도원|||031-772-6315|경기도 양평군 양서면 목왕1리|지옥현|아멘선교회
양평금식기도원|||031-772-9113|경기도 양평군 지제면 망미2리 산5-1|엄기호|아멘선교회
양수리수양관|||031-772-6461|경기도 양평군 양서면 목왕2리 산 193|김충기|아멘선교회
안성산기도원|||031-672-3471|경기도 안성군 삼죽면 미장리|한정희|아멘선교회
안산기도원|||031-485-7170|경기도 안산시 성포동 587 주공APT 309-501|김현화|아멘선교회
아현중앙교회수양관|||031-762-6219|경기도 광주시실촌면 열미리 산 34|백구영|아멘선교회
십자수기도원|||031-773-6618|경기도 양평군 서종면 정배리 산7번지|길자연|아멘선교회
실로암중앙기도원|||031-454-2582|경기도 군포시 산본1동 310-2 강남상가 302|원경수|아멘선교회
실로암기도원|||031-863-6358|경기도 양주군 남면 신암1리 155|고화순|아멘선교회
신풍금식기도원|||031-867-5423|경기도 양주군 남면 구암리 5-1|정은정|아멘선교회
신광교회수련원기도원|||031-834-2557|경기도 연천군 연천읍 동막리 259|최정식|아멘선교회
시온산금식기도원|||031-792-3655|경기도 하남시 하사창동 9-5|조성훈|아멘선교회
시내산기도원|||031-465-9600|경기도 남양주시 별내면 덕송리 산 8-1|조준상|아멘선교회
승리기도원|||02-248-8700|경기도 가평군 외서면 대성리 485-4|김상철|아멘선교회
수원성광기도원|||031-281-1081|경기도 용인시 수지읍신봉2리 750-1|배형국|아멘선교회
소망기도원|||031-958-2689|경기도 파주시 법원읍 삼방리 449-2|오기선|아멘선교회
소망기도원|||031-244-8016|경기도 수원시 팔달구 이의동|김제숙|아멘선교회
성풍회마석기도원|||031-465-0984|경기도 남양주시 화도면 녹촌리 69-79|김귀혁|아멘선교회
수동기도원|||031-594-6161|경기도 남양주시 수동면 운수리 산14-1|이태희|아멘선교회
성주산기도원|||031-651-2106|경기도 부천시 소사구 심곡본산 40-4|이규종|아멘선교회
성실기도원|||031-972-5208|경기도 양평군 용문면 중원리 556|김학렴|아멘선교회
성산수양관|||031-292-2109|경기도 화성군 매송면 천천리 25-1|오문자|아멘선교회
성산기도원|||031-773-4937|경기도 양평군 양동면 계정1리 산195|장채운|아멘선교회
성산기도원|||031-847-0217|경기도 용인시 수지읍신봉리 750-1|배형국|아멘선교회
성광기도원|||031-281-1081|경기도 용인시 수지읍신봉리 750-1|배형국|아멘선교회
새성민수양관|||031-339-8004|경기도 용인시 양지면 주북4리 151-1|김정훈|아멘선교회
새문안교회수양관|||031-585-0058|경기도 가평군 하면 신상리 569|안병각|아멘선교회
상판리기도원|||031-585-2712|경기도 가평군 하면 상판리 141-1|장광영|아멘선교회
산본기도원|||02-687-8003|경기도 광명시 광명1동 10-19|정영관|아멘선교회
산곡기도원|||031-793-2324|경기도 하남시 하산곡동 산 457|이만신|아멘선교회
사랑의기도원|||031-717-9996|경기동 성남시 분당구 구미동 35-7|조도형|아멘선교회
브니엘기도원|||031-532-4349|경기도 용인시 용인읍 운학리 22-4|김봉태|아멘선교회
분당기도원|||031-743-0609|경기도 광주군 오포읍 신현리|고분임|아멘선교회
복골기도원|||031-532-3586|경기도 포천군 일동면 사직리 산72|김민주|아멘선교회
발안성산기도원|||031-978-6968|경기도 화시군 향남면 하길리 153|정진수|아멘선교회
벧엘금식기도원|||031-353-2060|경기도 포천군 영북면 야미리 산504|김태순|아멘선교회
벧엘기도원|||031-535-5843|경기도 포천군 일동면 사직2리 115|김혜선|아멘선교회
백봉산기도원|||031-5914-7114|경기도 미금시 호평리 2동 27번지|오치용|아멘선교회
밀알기도원|||031-832-5678|경기도 연천군 전곡읍 간파리 송산골|황규화|아멘선교회
믿음기도원|||031-584-2440|경기도 가평군 외서면 대성리 산 100-1|전가화|아멘선교회
미스바기도원|||031-532-6958|경기도 포천군 영중면 금주리 산 58|김복숙|아멘선교회
미디안기도원|||031-815-5269|경기도 포천군 영중면 금주리 산 58|김복숙|아멘선교회
모리아산기도원|||031-754-2566|경기도 성남시 중원구 도천동 산 53|손석이|아멘선교회
매화산기도원|||031-462-1529|경기도 시흥시 매화동220-2|김용자|아멘선교회
낙원기도원|||031-532-7909|경기도 포천군 소흘면 직동2리 23-12|박창조|아멘선교회
마장리기도원|||031-993-2689|경기도 파주시 광탄면 마장3리 79-4|이주수|아멘선교회
동신교회청소년훈련원|||031-993-2689|경기도 양주군 은현면 용암2리 887-3|강동수|아멘선교회
나욧동산(일신교회수기도원|||031-772-4721|경기도 양평군 옥천면 아신리 77-1|박정희|아멘선교회
금남산부흥기도원|||031-592-8119|경기도 남양시 화읍면 금남리 산47|박상옥|아멘선교회
국제평화기도원|||031-564-7394|경기도 남양주시 진건면 송능2리 산52-8|이 영|아멘선교회
구로중앙수련원기도원|||031-882-0829|경기도 여주군 북내면 중암리 산 4-1|곽전태|아멘선교회
구국성지기도원|||031-773-1147|경기도 양평군 양동면 계정리 55|이복단|아멘선교회
광주영천기도원|||031-746-0502|경기도 광주시 초월면 도평리 산 1|서무식|아멘선교회
광주기도원|||031-761-2488|경기도 광주시 광주읍 송정리 산21|장정국|아멘선교회
광은기도원|||031-668-0550|경기도 평택군 진위면 동천리 시후동 152|김한배|아멘선교회
광성기도원|||031-584-4651|경기도 가평군 상면 덕현리 408|김창인|아멘선교회
광교산기도원|||031-262-5692|경기도 용인면 수지읍 고기2리 633|유영빈|아멘선교회
곤지암기도원|||031-762-6734|경기도 광주군 실촌면 상열미리 산19|정혜주|아멘선교회
고릉수양관|||031-832-2487|경기도 연천군 전곡읍 고능리 102|이화숙|아멘선교회
강희수양관|||031-356-3448|경기도 화성군 남양면 남양리 산 54|김태환|아멘선교회
강남금식기도원|||031-584-1001|경기도 가평군 외서면 삼회리 158-2|김성광|아멘선교회
감리교기도원|||02-764-0068|경기도 가평군 외서면 대성리 100-1|이석주|아멘선교회
감람산기도원|||031-873-2554|경기도 양평군 양서면 목왕리 600|이종수|아멘선교회
갈보리기도원|||031-941-0397|경기도 파주시 월롱면 연태3리 193|권오덕|아멘선교회
갈멜산금식기도원|||031-472-7213|경기도 안양시 석수동 산 33번지|임예재|아멘선교회
하늘문기도원|||031-767-9480|경기도 광주시 목리 350-1|.|아멘선교회
태화산청소년수련원기도원|||031-332-3632|경기도 용인시 양지면 대대리 57-2|.|아멘선교회
크리스천가족기도원|||031-322-2592|경기도 용인시 이동면 덕성리 1020|유종숙|아멘선교회
천보산기도원|||031-528-8081|경기도 남양주시 별내면 화접리 산 99|김창인|아멘선교회
창천기도원|||02-031-941-8738|경기도 파주시 광탄면 창만 4리 13번지|신상필|아멘선교회
여주기도원|||031-882-0829|경기도 여주군 북내면 주암리 산 4-1|곽주환|아멘선교회
여주수양관|||02-031-883-6646|경기도 여주군 여주읍 연라1리 13번지 여주수양관|.|아멘선교회
양평금식기도원|||031-772-9113|경기도 양평군 지제면 망미2리 산 5-1|.|아멘선교회
신성수양관|||031-763-6874,769|경기도 광주시 실촌면 수양리 542|김동근|아멘선교회
승동기도원|||031-6007,582-6007|경기도 가평군 가평읍 경반리 569|.|아멘선교회
수동기도원|||031-594-6161~4|경기도 남양주시 수동면 운수리 산 14-1|이태희|아멘선교회
성은동산기도원|||031-611-3397~8|경기도 평택시 진위면 동천리 276-3번지|장재효|아멘선교회
성산기도원|||031-883-1779|경기도 여주군 여주읍 매룡리 35-1|문제선|아멘선교회
선교의기도원|||031-773-5590~1|경기도 양평군 단월면 명성리 142-2|윤숙한|아멘선교회
사랑의교회수양관|||031-674-6525|경기도 안성시 양성면 덕봉리 1-2|옥한흠|아멘선교회
무봉산청소년수련원기도원|||031-610-4413|경기도 평택시 진위면 동천리 681|이준철|아멘선교회
광은기도원|||031-668-0550|경기도 평택시 진위면 동천리 152|김한배|아멘선교회
광성금식기도원|||031-584-4651~3|경기도 가평군 상면 덕현리|송영호|아멘선교회
흰돌산기도원|||02-031-227-3111|경기도 화성시 봉담읍 세곡리 224번지|윤석전|아멘선교회
양수리수양관|||031-6015,772-6461,7|경기도 양평군 양서면 목왕2리|김충기|아멘선교회
깊은샘교회기도원|||02-(031-633-5391|경기도 이천시 마장면 오천2리 332-22|박충섭|아멘선교회
호렙산기도원|||034-66-0530|경기도 광주군 초월면 쌍둥1리 136-|신익준|아멘선교회
흰돌산기도원|||033-291-3111|경기도 화성군 봉담면 세곡리 산65-|서인애|아멘선교회
효자리기도원|||02-354-3331|경기도 고양시 덕양구 효자동 산 1|주대섭|아멘선교회
호산나기도원|||034-65-7072|경기도 남양주시 진접읍 부평5리 산|이인구|아멘선교회
한얼산기도원|||035-84-1374|경기도 가평군 와서면 대성1리 222|이영금|아멘선교회
한국중앙기도원|||035-32-6935|경기도 포천군 영중면 성동4리 산60|최복규|아멘선교회
한국기도원|||02--|경기도 가평군 설악면 화곡2리 220|김영문|아멘선교회
하안동구국기도원|||02-831-4656|경기도 광명시 하안동 단독필지 289|박영림|아멘선교회
포천은성기도원|||035-32-9994|경기도 포천군 화현면 화현리 129-2|엄두섭|아멘선교회
포천운락산복음기도원|||035-31-1004|경기도 포천군 화현면 화현리 1151|서일호|아멘선교회
포천다메섹기도원|||035-32-6868|경기도 포천군 영중면 금주1리 379|정익준|아멘선교회
포천기도원|||035-32-6508|경기도 포천군 영중면 성동리 산 11|이운식|아멘선교회
평강금식기도원|||02--|경기도 남양주시 화도면 마석우리 6|황중석|아멘선교회
팔당산기도원|||033-72-6932|경기도 화성군 양서면 신원2리 131|강순희|아멘선교회
태봉산기도원|||02--|경기도 화성군 봉담면 미하리1|강순희|아멘선교회
태화산기도원|||033-32-3632|경기도 용인시 양지면 대대리 산72|박만용|아멘선교회
칠보산기도원|||033-292-2116|경기도 화성군 매송면 천천리 43|김동규|아멘선교회
채식수양관|||02--|경기도 양평군 양평읍 창대2리 652-|강마리아|아멘선교회
충현기도원|||034-766-5425|경기도 광주군 초월면 대쌍평리 산8|신성종|아멘선교회
축령산기도원|||034-591-6315|경기도 남양주시 수동면 외방2리 30|박경숙|아멘선교회
오산리최자실기념기도원|||034-945-0091|경기도 파주시 조리면 오산리 187-5|조용기|아멘선교회
청평산기도원|||035-84-3162|경기도 가평군 상면 덕천리 525|이창영|아멘선교회
천마산기도원|||034-591-7069|경기도 남양주시 호평동 산58|최훈|아멘선교회
창성기도원|||033-72-0702|경기도 양평군 서종면 수능리 303|이외주|아멘선교회
진실기도원|||033-72-8456|경기도 안성시 미양면 구수리 산61|김진실|아멘선교회
중앙기도원|||035-84-1928|경기도 가평군 외서면 대성1리 249|이승학|아멘선교회
중동구국기도원|||02-612-4777|경기도 부천시 원미구 중동 773-20|유순복|아멘선교회
제일기도원|||033-33-5818|경기도 이천시 대월면 대포리 161-2|신정숙|아멘선교회
임마누엘기도원|||034-64-2021|경기도 광주군 광주읍 중대리 191|김순자|아멘선교회
일영기도원|||035-40-5452|경기도 양주군 장흥면 일영리 396-2|오수강|아멘선교회
일산아멘기도원|||02-977-7711|경기도 고양시 일산구 성석동 171-3|정봉인|아멘선교회
응답산기도원|||033-253-9010|경기도 수원시 장안구 우만동 472-1|김경래|아멘선교회
은혜기도원|||033-253-8340|경기도 수원시 장안구 송죽동 452|마리아|아멘선교회
은혜기도원|||035-84-1875|경기도 가평군 외서면 대성1리 569|송호섭|아멘선교회
은혜기도원|||033-65-7362|경기도 이천시 부발면 아미리 38번|이태순|아멘선교회
용인한나기도원|||033-33-4137|경기도 용인시 이동면 북리 293|신현기|아멘선교회
용암리벧엘금식기도원|||02-977-6951|경기도 양주군 은현면 용암2리 산26|최종식|아멘선교회
용광로기도원|||034-65-6370|경기도 남양주시 수동면 내방리 295|정창옥|아멘선교회
은성산기도원|||033-32-8580|경기도 이천시 율면 월포4리|호세길|아멘선교회
유네스코청년원기도원|||033-638-9051|경기도 이천시 호법면 매곡리 산31|대흥|아멘선교회
웨슬리포천기도원|||035-32-6508|경기도 포천군 영중면 성동2리 산11|심원보|아멘선교회
원당한빛기도원|||034-965-1230|경기도 고양시 덕양구 원당동184-6|이영수|아멘선교회
오대산기도원|||033-72-8251|경기도 오산시 지곳동 79-3|김태지|아멘선교회
YMCA야영장기도원|||034-975-2796|경기도 고양시 일산구 풍동 9-2|서울YMCA|아멘선교회
YMCA다락원기도원|||035-873-5624|경기도 의정부시 호원동 산119|대흥|아멘선교회
영광역곡구국기도원|||032-345-3827|경기도 부천시 원미구 역곡1동 220-|주향단|아멘선교회
엘리야기도원|||035-63-0840|경기도 양평군 화천읍 덕계리 산65|이도담|아멘선교회
에스겔기도원|||035-31-1083|경기도 포천시 영중면 거사1리 154|김혜자|아멘선교회
에바다기도원|||035-61-3311|경기도 동두천시 안흥동 산70,7/1|최영도|아멘선교회
에바다기도원|||035-32-4349|경기도 포천군 이동면 장안리 225|이덕영|아멘선교회
에덴기도원|||02--|경기도 안양시 동안구 호계2동 926-|이한나|아멘선교회
에덴기도원|||033-73-9361|경기도 양평군 청운면 갈운리 193|조성근|아멘선교회
에덴기도원|||034-80-1827|경기도 화성군 반월면 속달2리 402|이상일|아멘선교회
양평대한수도원기도원|||033-72-6315|경기도 양평군 양서면 목왕1리|지옥현|아멘선교회
양평금식기도원|||033-72-6315|경기도 양평군 지제면 망미2리 산5-|엄기호|아멘선교회
양평기도원|||034-87-1218|경기도 김포시 양촌면 대포리 65|대흥|아멘선교회
양자산수도원기도원|||033-83-7075|경기도 여주군 산북면 허풍리 산61-|전명구|아멘선교회
양수리수양관|||033-72-6461|경기도 양평군 양서면 목왕2리 산10|김충기|아멘선교회
압복강기도원|||034-52-6000|경기도 파주시 파주읍 봉서2리 28|최귀자|아멘선교회
안성산기도원|||033-72-3471|경기도 안성시 산죽면 미장리|한정희|아멘선교회
안산구국기도원|||034-411-1172|경기도 안산시 선부2동 975-5|김정애|아멘선교회
안산기도원|||034-85-7170|경기도 안산시 석포동 587 주공아파|김현화|아멘선교회
아현중앙교회수양관|||034-62-6219|경기도 광주군 실촌면 열미리 산34|백구영|아멘선교회
십자수기도원|||033-73-6618|경기도 양평군 서종면 정배리 산7번|길자연|아멘선교회
실촌수양관|||034-63-6631|경기도 광주군 실촌면 곤지암리 120|안창건|아멘선교회
실로암중앙기도원|||034-54-2582|경기도 군포시 산본2동 310-2 강남|원경수|아멘선교회
실로암기도원|||033-291-7952|경기도 화성군 봉담면 상리 44-2|이명옥|아멘선교회
실로암기도원|||035-63-6358|경기도 양주군 남면 신암1리 155|고화순|아멘선교회
시온산금식기도원|||034-792-3655|경기도 하남시 하사창동 9-5|조성훈|아멘선교회
시온산기도원|||034-65-7560|경기도 남양주시 진접읍 팔야1리 23|이강일|아멘선교회
시내산기도원|||034-65-9600|경기도 남양주시 별내면 덕송리 산8|조준상|아멘선교회
승리기도원|||034-942-1502|경기도 파주시 광탄면 마장3리 41|이순녀|아멘선교회
승리기도원|||02-248-8700|경기도 가평군 외서면 대성리 485-4|김상철|아멘선교회
수원성광기도원|||033-281-1081|경기도 용인시 수지면 신봉2리 750-|배형국|아멘선교회
수원구국기도원|||033-34-7128|경기도 수원시 권선구 세류2동 1148|김명자|아멘선교회
수동기도원|||034-594-6161|경기도 남양주시 수동면 운수리 산1|이태희|아멘선교회
소망기도원|||032-682-3849|경기도 부천시 오정구 고강동 74-9|김경희|아멘선교회
소망기도원|||034-958-2689|경기도 파주시 법원읍 삼방리 449-2|오기선|아멘선교회
소망기도원|||033-44-8016|경기도 수원시 장안구 이의동|김제숙|아멘선교회
세계중앙기도원|||034-904-6004|경기도 고양시 백석동 1155-3|윤은희|아멘선교회
서해안기도원|||033-58-9678|경기도 화성군 장안면 사곡리 183-2|최무디|아멘선교회
성풍회마석기도원|||034-65-0984|경기도 남양주시 화도면 녹촌리 69-|김수배|아멘선교회
성천수양관|||034-593-6657|경기도 남양주시 수동면 송천리 490|차명환|아멘선교회
성실동산청소년수양기도원|||035-535-9988|경기도 포천군 신북면 덕둔리|우희영|아멘선교회
성주산기도원|||032-651-2160|경기도 부천시 소사구 심곡본1동 산|이규종|아멘선교회
성실기도원|||033-972-5208|경기도 양평군 용문면 중원리 556|김학렴|아멘선교회
성산수양관|||033-292-2109|경기도 화성군 매송면 천천리 25-1|오문자|아멘선교회
성산기도원|||033-34-7667|경기도 용인시 포곡면 전대리 345-2|지정금|아멘선교회
성산기도원|||033-353-0062|경기도 화성군 향남면 하길리 153|정진수|아멘선교회
성산기도원|||035-874-0127|경기도 의정부시 녹양동 193|홍채영|아멘선교회
성광기도원|||033-281-1081|경기도 용인시 수지면 신봉리 750-1|배형국|아멘선교회
서봉산기도원|||033-73-0889|경기도 양평군 서종면 문호리 산11|백낙기|아멘선교회
샘내기도원|||02--|경기도 양주군 주내면 산북2리 368|정석원|아멘선교회
새생명기도원|||02--|경기도 양주군 장흥면 석현리 산104|심모세|아멘선교회
새소망소년의집기도원|||032-343-7205|경기도 부천시 원미구 역곡동 산2|노주택|아멘선교회
새소망기도원|||033-356-9582|경기도 화성군 서신면 백미리 산78|이정임|아멘선교회
새문안교회수양관|||035-85-0058|경기도 가평군 하면 신상리 569번지|안병각|아멘선교회
상판리기도원|||035-85-2712|경기도 가평군 하면 상판리 141-1|장광영|아멘선교회
삼부기도원|||035-543-0884|경기도 포천군 소홀읍 초가팔리|오춘자|아멘선교회
산척기도원|||02--|경기도 화성군 동탄면 산척리 240|이정자|아멘선교회
산정기도원|||035-31-6646|경기도 포천군 영북면 산정리 산169|대흥|아멘선교회
산성금식기도원|||02-618-8614|경기도 광명시 철산2동 204-5|문정희|아멘선교회
산곡기도원|||034-793-2324|경기도 하남시 하산곡동 산457번지|이만신|아멘선교회
브니엘기도원|||034-54-9103|경기도 안양시 동안구 호계3동 854-|차진화|아멘선교회
브니엘기도원|||033-32-1911|경기도 용인시 용인읍 운학리 22-4|김봉태|아멘선교회
불기둥기도원|||035-85-1435|경기도 가평군 상면 봉수리 262|이숙자|아멘선교회
분당기도원|||034-43-0609|경기도 광주군 오포면 신현리|고분임|아멘선교회
복골기도원|||035-32-3586|경기도 포천군 일동면 사직리 산72|김민주|아멘선교회
벧엘금식기도원|||02-352-3407|경기도 포천군 영북면 야미리 504|김태순|아멘선교회
베다니기도원|||02-563-1976|경기도 이천시 장호원읍 풍계2리 산|장순덕|아멘선교회
백향목기도원|||034-707-8448|경기도 성남시 분당구 운중동 97-1|최사무엘|아멘선교회
백운산기도원|||034-53-3027|경기도 의왕시 학의동 689|이광호|아멘선교회
백봉산기도원|||034-591-7114|경기도 남양주시 호평동 산27번지|오치용|아멘선교회
발안성산기도원|||033-353-2060|경기도 화성군 향남면 하길리 153|정진수|아멘선교회
바울기도원|||034-741-1004|경기도 광주군 오포면능평리산69|김용실|아멘선교회
밀알기도원|||032-652-4487|경기도 부천시 소사구 송내동 630-3|김종분|아멘선교회
밀알기도원|||033-32-5678|경기도 연천군 전곡면 간판리 산48-|황규화|아멘선교회
믿음기도원|||035-84-2440|경기도 가평군 대성리 산 100-1|전가화|아멘선교회
미디안기도원|||035-815-5269|경기도 동두천시 안흥동 193번지|이성규|아멘선교회
모현야영장기도원|||033-32-4949|경기도 용인시 모현면 일산리|한국걸스카웃|아멘선교회
모리아산기도원|||034-754-2566|경기도 성남시 중원구 도촌동 산53|손석이|아멘선교회
모리아기도원|||035-85-1179|경기도 가평군 상면 현리1리 225|장우범|아멘선교회
만수기도원|||034-80-9269|경기도 시흥시 조남동 147|김성자|아멘선교회
만국구국기도원|||032-667-4529|경기도 부천시 원미구 원미1동 59-9|이윤훈|아멘선교회
마장리기도원|||034-2-1358|경기도 파주시 광탄면 마장3리 79-4|이주수|아멘선교회
마석수동기도원|||034-594-6161|경기도 남양주시 수동면 운수리 산1|이태희|아멘선교회
동흥수양원|||035-32-7909|경기도 포천군 소홀면 직동리 23-16|박창조|아멘선교회
동신교회청소년수련|||035-866-1236|경기도 양주군 은현면 용암1리 83-1|강동수|아멘선교회
대한청소년교육훈련|||034-942-1356|경기도 파주시 광탄면 251|오희택|아멘선교회
금남산부흥기도원|||034-592-0472|경기도 남양주시 화도면 금남리 산4|박상욱|아멘선교회
국제평화기도원|||034-64-7394|경기도 남양주시 진건면 송능2리 산|이영|아멘선교회
구로중앙수련원기도원|||033-82-0829|경기도 여주군 북내면 주암리 산4-1|곽전태|아멘선교회
구국성지기도원|||033-73-1147|경기도 양평군 양동면 계정리 55|이복단|아멘선교회
광주영천기도원|||034-46-0502|경기도 광주군 초월면 도평리 산1번|서무식|아멘선교회
광주기도원|||034-61-2488|경기도 광주군 광주읍 송정리 산21|장정국|아멘선교회
광은기도원|||033-668-0550|경기도 평택시 진위면 동천리 사후|김한배|아멘선교회
광성기도원|||035-84-4651|경기도 가평군 상면 덕현리 408|김창인|아멘선교회
광명구국기도원|||02-615-7751|경기도 광명시 광명5동 263-34|김정순|아멘선교회
광교산기도원|||033-262-5692|경기도 용인시 수지읍 고기2리 633|유영빈|아멘선교회
