##NAME|AREA|SUBNAME|TELNUM|NEWADDR|FATHER|SINCE@@성당
천주교|인천교구|고강동성당|032-683-2913|경기도 부천시 오정구  고강로72번길 51-6(고강동)|주임신부 김동성 루카 신부|1989.3.4.
천주교|광주대교구|고금성당|061-555-2020|전라남도 완도군 고금면 고금로 639|주임신부 조용한 베드로 신부|2019.01.17
천주교|서울대교구|고덕동성당|02-429-3420~1|서울특별시 강동구  고덕로83길 68 (고덕동)|주임신부 박광원 세례자요한 신부|1986.02.21
천주교|수원교구|고등동성당|031-244-9933|경기도 수원시 팔달구  고화로 22|주임 박희훈 레오 신부|1959.11.25
천주교|대구대교구|고령성당|054-956-9900|경북 고령군 대가야읍 주산길 10-9|주임신부 김영수 시몬 신부|1964.5.18.
천주교|대구대교구|고산성당|053-795-2261|대구시 수성구 달구벌대로 3094-1 (시지동)|주임신부 정삼덕 베네딕토 신부|1887.11.6.
천주교|전주교구|고산성당|063-261-6012|전라북도 완주군 고산면 읍내7길 20|주임신부 김병희 요셉 신부|1891.10.10
천주교|제주교구|고산성당|064-773-2004|제주특별자치도 제주시 한경면 칠전로 1|주임신부 김진철 루카 신부|1990.2.22.
천주교|수원교구|고색동성당|031-295-3134|경기도 수원시 권선구  고색로 18|주임 정성진 요한 세례자 신부|1970.7.20.
천주교|대구대교구|고성성당|053-352-1412|대구시 북구 옥산로 112 (고성동3가)|주임신부 이상재 가스토르 신부|1958.10.28
천주교|마산교구|고성성당|055-673-5301|경상남도 고성군 고성읍 중앙로 22|주임신부 강병모 파비아노 신부|1939.05.14
천주교|대구대교구|고아성당|054-481-1224|경북 구미시 고아읍 관심1길 21|주임신부 이성인 바오로 신부|2003.8.29.
천주교|의정부교구|고양동성당|031-962-2543|경기도 고양시 덕양구  푸른마을로 36 (고양동)|주임신부 김정일 안드레아 신부|1994.2.22.
천주교|의정부교구|고읍동성당|031-821-0972|경기도 양주시  고읍로 56|주임 안성남 안드레아 신부|2009.08.27
천주교|수원교구|고잔성당|031-483-4466|경기도 안산시 단원구  예술대학로 89, 3층 (고잔동, 안산 스포츠 문화센터)|주임 현정수 요한 사도 신부|1999.1.26.
천주교|인천교구|고잔성당|032-442-9174|인천광역시 남동구  논현고잔로128번길 37-5(고잔동)|주임신부 정승익 바실리오 신부|1965.2.28.
천주교|전주교구|고창성당|063-564-2044|전라북도 고창군 고창읍 남정2길 35|주임신부 김대영 베드로 신부|1960.3.19.
천주교|서울대교구|고척동성당|02-2617-0561|서울특별시 구로구  고척로52나길 42 (고척동)|주임신부 남궁은 바오로 신부|1991.08.23
천주교|인천교구|고촌성당|031-986-9031|경기도 김포시 고촌읍 은행영사정로51번길 73-18|주임신부 정병철 요셉 신부|1999.7.5.
천주교|원주교구|고한성당||강원도 정선군 고한읍 고한9길 28|주임신부 서동신 대건 안드레아 신부|1976.10.20
천주교|마산교구|고현성당|055-636-1004|경상남도 거제시  거제중앙로19길 18|주임신부(겸 거제지구장) 송재훈 라파엘 신부|1976.03.27
천주교|광주대교구|고흥성당|061-834-1004|전라남도 고흥군 고흥읍 신계학림길 20|주임신부 장승용 베드로 신부|1970.12.4.
천주교|광주대교구|곡성성당|061-362-1004|전라남도 곡성군 곡성읍 읍내11길 20|주임 주성호 레오 신부|1958.8.15.
천주교|수원교구|곤지암성당|031-769-7997|경기도 광주시 곤지암읍 경충대로543번길 19|주임 김영훈 요셉 신부|2000.1.25.
천주교|안동교구|공검성당||경상북도 상주시 공검면 양정2길 39-8|주임신부 김지성 안토니오 신부|2010.9.10.
천주교|군종교구|공군중앙성당|02-827-7066|서울시 영등포구  여의대방로45길 8|주임신부 최혁 베드로 신부|2000.07.30
천주교|서울대교구|공덕동성당|02-718-1040~1|서울특별시 마포구  마포대로14길 15-1 (공덕동)|주임신부 이형재 십자가의 성요한 신부|1969.08.10
천주교|수원교구|공도성당|031-651-6668|경기도 안성시 공도읍 만가대길 1 A,B동|주임 함상혁 프란치스코 신부|2000.01.25
천주교|서울대교구|공릉동성당|02-971-8340|서울특별시 노원구  동일로192길 57 (공릉동)|주임신부 김남원 안드레아 신부|1981.12.03
천주교|대전교구|공세리성당|041-533-8181|충청남도 아산시 인주면 공세리성당길 10|주임신부 박지목 율리오 신부|1895.5.6.
천주교|대전교구|공주교동성당|041-856-0100|충청남도 공주시  무령로 191|주임신부 이대재 막시모 신부|1982.9.7.
천주교|대전교구|공주신관동성당|041-881-9035|충청남도 공주시  신금2길 13-5|주임신부 겸 공주지구장 이한영 마르코 신부|1999.1.26.
천주교|대전교구|공주중동성당|041-856-1033|충청남도 공주시  성당길 6|주임신부 박요순 베드로 신부|1897.5.8.
천주교|서울대교구|공항동성당|02-2665-7011~2|서울특별시 강서구  송정로 9 (공항동)|주임신부 윤정한 바오로 신부|1966.12.14
천주교|인천교구|공항청사성당||인천광역시 중구  공항로 272, 제1교통센터 지하 1층(공항철도 일반열차 개찰구 부근) -제1터미널 종교실|담당사제 현정민 바오로 신부|
천주교|수원교구|과천성당|02-502-5643|경기도 과천시  중앙로 275|주임 권기철 안젤로 신부|1982.03.04
천주교|군종교구|과훈단성당|033-462-6162|강원도 인제군 남면 응봉길 32|주임신부 김영태 스테파노 신부|2015.06.30
천주교|의정부교구|관산동성당|031-962-4806|경기도 고양시 덕양구  통일로966번길 38|주임신부 이현섭 안사노 신부|2009.9.8.
천주교|원주교구|관설동성당|033-764-0729|강원도 원주시  갈촌길 11|주임신부 신동영 요한 신부|2016.07.29
천주교|수원교구|관악성당|031-472-5051|경기도 안양시 만안구  경수대로1140번길 24|주임 조태현 스테파노 신부|1998.01.30
천주교|대전교구|관저1동성당||대전광역시 서구  관저북로51번길 15-26|주임신부 길기문 토마스 아퀴나스 신부|2011.01.12
천주교|대전교구|관저2동성당||대전광역시 서구 구봉산북로280번길 9-9|주임신부 안성준 도미니코 신부|2011.01.12
천주교|대전교구|관저동성당|042-543-0236|대전광역시 서구  구봉로 11|주임신부 이상준 아우구스티노 신부|2001.01.30
천주교|대전교구|관평동성당|042-936-5004|대전광역시 유성구  테크노5로 46|주임신부 김홍식 시몬 신부|2006.1.10.
천주교|수원교구|광교1동성당|031-213-1497|경기도 수원시 영통구  에듀타운로106번길 16 하이니티교육연구시설 303호(이의동)|주임 이재현 요셉 신부|
천주교|수원교구|광교2동성당|031-263-0651|경기도 용인시 수지구  법조로 225|주임 황규현 보니파시오 신부|
천주교|수원교구|광남동성당|031-798-3520|경기도 광주시  옥토골길 33-47|주임 임지용 베드로 신부|2004.10.01
천주교|의정부교구|광릉성당|031-528-4044|경기도 남양주시 진접읍 해밀예당3로 146|주임 신부 서춘배 아우구스티노 신부|2009.8.27.
천주교|수원교구|광명성당|02-2688-0742|경기도 광명시  오리로995번길 9|주임 최황진 라파엘 신부|1975.4.12.
천주교|수원교구|광문성당|02-2611-1321|경기도 광명시  원광명안로 21|주임 최종관 펠릭스 신부|2008.9.2.
천주교|수원교구|광북성당|02-2689-1998|경기도 광명시  연서일로 43|주임 정진성 아우구스티노 신부|1998.1.30.
천주교|군종교구|광성대성당|053-981-1064|대구시 동구 둔산로 311-1 사서함 304-101호|주임신부 박근혁 가브리엘 신부|1961.07.15
천주교|부산교구|광안성당|051-756-3351|부산광역시 수영구  광일로29번길 51|주임 신부 강헌철 펠릭스 신부|1956.12.20
천주교|제주교구|광양성당|064-753-4498|제주특별자치도 제주시  동광로5길 19-18 (이도1동)|주임신부 이영조 파트리치오 신부|1970.11.09
천주교|광주대교구|광양성당|061-761-5400|전라남도 광양시 광양읍 매천로 877|주임신부 유창훈 요셉 신부|1975.10.29
천주교|광주대교구|광영동성당|061-792-5004|전라남도 광양시  가야로 417 (광영동)|주임신부 양인경 알폰소 신부|1990.2.7.
천주교|서울대교구|광장동성당|02-3436-8571(내선-2번-|서울특별시 광진구  광장로3길 6 (광장동)|주임신부 정월기 프란치스코 신부|2000.09.07
천주교|의정부교구|광적성당|031-878-1555|경기도 양주시 광적면 광적로65번길 122|주임신부 장경원 세례자 요한 신부|2005.11.24
천주교|수원교구|광주성당|031-761-1950~1|경기도 광주시  경안안길 44|주임 김화태 제르바시오 신부|1958.07.08
천주교|대전교구|광천성당|041-641-0596|충청남도 홍성군 광천읍 광천로 385-1|주임신부 김기범 본시아노 신부|1968.7.12.
천주교|광주대교구|광천동성당|062-368-1146|광주광역시 서구  죽봉대로119번길 28-13 (광천동)|주임신부 양준 레오 신부|1970.12.01
천주교|의정부교구|광탄성당|031-949-4210|경기도 파주시 광탄면 심궁로 76-38|주임신부 김준동 마르티노 신부|2009.9.8.
천주교|청주교구|광혜원성당|043-535-0501|충북 진천군 광혜원면 실원길 15-28|주임신부 권진원 라우렌시오 신부|1996.6.29.
천주교|청주교구|괴산성당|043-832-2221|충북 괴산군 괴산읍 읍내로4길 30|주임신부 이원순 사도 요한 신부|1958.4.19.
천주교|부산교구|괴정성당|051-207-3977|부산광역시 사하구  승학로229번길 11|주임신부 정호 빈첸시오 신부|1961.6.1.
천주교|대전교구|괴정동성당|042-535-7991|대전광역시 서구  도솔로 336|주임신부 김지성 바오로 신부|1977.2.7.
천주교|춘천교구|교동성당|033-633-2086|강원도 속초시  수복로 75|주임신부 서범석 도미니코 신부|1967.1.1.
천주교|부산교구|교리성당|051-723-0984|부산광역시 기장군 기장읍 차성로451번길 51-11|주임신부 김강정 시몬 신부|2007.10.5.
천주교|의정부교구|교하/(8지구장)성당|031-948-9064~5|경기 파주시 책향기숲길 62(동패동)|지구장 상지종 베르나르도 신부|2009.8.27
천주교|청주교구|교현동성당|043-843-1332|충북 충주시 봉현로 251|주임신부 최상훈 티모테오 신부|1945.11.21
천주교|원주교구|구곡성당||강원도 원주시  시청로 333-29 (단구동)|주임신부 김태진 베네딕토 신부|1998.02.17
천주교|안동교구|구담성당||경상북도 예천군 지보면 지풍로 983-42|주임신부 김기환 요셉 신부|1995.7.16.
천주교|광주대교구|구례성당|061-782-2314|전라남도 구례군 구례읍 학교길 99|주임신부 최길주 요셉 신부|1970.9.11.
천주교|서울대교구|구로1동성당|02-866-2883|서울특별시 구로구  구일로8길 16 (구로동)|주임신부 염기철 베드로 신부|1993.02.26
천주교|서울대교구|구로2동성당|02-861-4761|서울특별시 구로구  구로동로49길 4 (구로동)|주임신부 안광민 요셉 신부|1969.12.02
천주교|서울대교구|구로3동성당|02-857-8541~3|서울특별시 구로구  디지털로27길 82 (구로동)|주임신부 박영주 필립보 신부|1963.10.17
천주교|청주교구|구룡성당|043-241-3371|청주시 청원구 오창읍 구룡택지1로 60|주임신부 안광성 타태오 신부|2006.9.13.
천주교|대구대교구|구룡포성당|054-276-2439|경북 포항시 남구 구룡포읍 후동길 2|주임신부 김재호 마티아 신부|1986.5.25.
천주교|의정부교구|구리성당|031-552-0081~2|경기도 구리시  안골로64번길 42|주임신부 강신모 프란치스코 신부|1974.5.9.
천주교|부산교구|구봉성당|051-468-0403|부산광역시 동구  구봉로 35|주임신부 임성환 요셉 신부|1967.10.29
천주교|수원교구|구산성당|031-792-4631|하남시 미사대로 298-19|주임 최병용 마티아 신부|1979.6.30.
천주교|수원교구|구성성당|031-286-3550,3555|경기도 용인시 기흥구  구교동로118번길 8|주임 정운택 대건 안드레아 신부|2001.01.30
천주교|대구대교구|구암성당|053-321-9004|대구시 북구 학정로 280 (구암동)|주임신부 박진수 시메온 신부|1999.12.3.
천주교|마산교구|구암동성당|055-296-0207|경상남도 창원시 마산회원구  구암서2길 90|주임신부 이상록 사도 요한 신부|1987.02.03
천주교|인천교구|구월1동성당|032-465-7540|인천광역시 남동구  용천로17번길 8(구월동)|주임신부 김일회 빈첸시오 신부|1982.2.16.
천주교|인천교구|구월동성당|032-464-2345|인천광역시 남동구  인주대로 670,5층(구월동)|주임신부 박광선 베드로 신부|
천주교|서울대교구|구의동(지)성당|02-3436-3090(내선-0-|서울특별시 광진구  자양로33길 8 (구의동)|주임신부(제8 성동-광진지구장) 최종건 미카엘 신부|1977.4.20.
천주교|서울대교구|구파발성당|02-389-1501|서울특별시 은평구  진관2로 29-16 (진관동)|주임신부 이원용 안드레아 신부|1973.02.10
천주교|대구대교구|구평성당||경북 구미시 인동54길 33(구평동)|주임신부 이지훈 안드레아 신부|2011.08.18
천주교|부산교구|구포성당|051-332-6370|부산광역시 북구  가람로52번길 44|주임신부 김영곤 시몬 신부|1958.5.31.
천주교|군종교구|국군중앙/주교좌성당|02-798-2457|서울시 용산구  한강대로40길 46|국방부 김상현 바오로 신부|1989.06.30
천주교|군종교구|국방대성당||충남 논산시 양촌면 황산벌로1098번길 46|주임신부 박근호 알렉산델 신부|2017.08.07
천주교|대구대교구|국우성당|053-325-0904|대구시 북구 구암로 362 (구암동)|주임신부 이재영 요셉 신부|2002.1.30.
천주교|서울대교구|국제(외국인)성당|02-793-2070|서울특별시 용산구  한남대로 90 (한남동)|주임신부 장자호 요한 가롤로 신부|1977.08.25
천주교|대구대교구|군위성당|054-382-8980|경북 군위군 군위읍 동서4길 14|주임신부 김성래 하상 바오로 신부|1956.12.8.
천주교|수원교구|군자성당|031-495-8935|경기도 시흥시  군자로534번길 27|주임 이규성 요셉 신부|1994.2.3.
천주교|수원교구|군포성당|031-456-4333~4|경기도 군포시  금당로146번길 17|주임 이용화 아시시의 프란치스코 신부|1984.9.18.
천주교|대전교구|궁동성당|042-825-7433|대전광역시 유성구  궁동로 61|주임신부 정호영 로베르토 신부|1994.8.1.
천주교|수원교구|궁리성당|031-667-4151|경기도 평택시 고덕면 궁2길 44|주임 나경환 시몬 신부|1998.1.30.
천주교|수원교구|권선2동성당|031-234-3284|경기도 수원시 권선구  동수원로25번길 1|주임 정희성 베드로 신부|2007.08.28
천주교|수원교구|권선동성당|031-237-8845|경기도 수원시 권선구  권선로 830|주임 이찬종 요셉 신부|1987.08.27
천주교|대전교구|규암성당|041-835-7261|충청남도 부여군 규암면 충절로2291번길 11|주임신부 김영재 콘스탄티노 신부|1955.9.21.
천주교|의정부교구|금곡성당|031-592-2388|경기도 남양주시  경춘로1015번길 29|주임신부 염동국 루카 신부|1991.5.19.
천주교|부산교구|금곡성당|051-362-4700~1|부산광역시 북구  효열로 150|주임신부 이강수 미카엘 신부|1998.2.18.
천주교|광주대교구|금당성당|061-724-8234|전라남도 순천시 해룡면 동명초등길 59|주임신부 한덕수 아벤티노 신부|1998.1.4.
천주교|전주교구|금마성당|063-836-6244|전라북도 익산시 금마면 금마1길 5-11|주임신부 최요왕 사도 요한 신부|1981.4.10.
천주교|대전교구|금사리성당|041-832-5355|충청남도 부여군 구룡면 성충로1342번길 21|주임신부 임종택 미카엘 신부|1901.4.27.
천주교|대전교구|금산성당|041-752-7620|충청남도 금산군 금산읍 뒷담말2길 20|주임신부 김명환 요셉 신부|1929.05.26
천주교|마산교구|금산성당|055-756-7030|경상남도 진주시 금산면 금산순환로 48|주임신부 윤행도 가롤로 신부|2008.12.29
천주교|전주교구|금상동성당|063-245-6446|전라북도 전주시 덕진구  전진로 107-13|금상동 성당 주임신부 박종충 레오 신부|2007.1.27.
천주교|제주교구|금악성당|064-796-4188|제주특별자치도 제주시 한림읍 금악북로 320|주임신부 이어돈 미카엘 신부|1982.6.1.
천주교|광주대교구|금암성당||전라남도 나주시 노안면 금산로 82|(061)336-1857|2004.8.31.
천주교|전주교구|금암동성당|063-251-1911|전라북도 전주시 덕진구  거북바우로 17|주임신부 현유복 베네딕토 신부|1985.1.10.
천주교|청주교구|금왕성당|043-878-2373|충북 음성군 금왕읍 무극로265번길 15|주임신부 박헌일 필립보 신부|1957.9.6.
천주교|부산교구|금정성당|051-581-4008|부산광역시 금정구  수림로45번길 36|주임신부 주영돈 토마스 신부|1974.10.1.
천주교|수원교구|금정성당|031-455-2010|경기도 군포시  당산로192번길 28|주임 전현수 마티아 신부|1999.1.26.
천주교|청주교구|금천동성당|043-255-1006|충북 청주시 상당구 중고개로273번길 30|주임신부 양윤성 다윗 신부|2002.6.8.
천주교|의정부교구|금촌성당|031-941-3650|경기도 파주시 금정28길 13-17|주임 신부 신정순 베네딕토 신부|1978.9.7.
천주교|의정부교구|금촌/2동성당|031-949-2608|경기도 파주시 한마음1길 12|주임신부 최인혁 비오 신부|2005.5.26.
천주교|대구대교구|금호성당|054-333-2017|경북 영천시 금호읍 거여로 16|주임신부 박태범 라자로 신부|1963.09.11
천주교|서울대교구|금호1가동(선)성당|02-2295-4179|서울특별시 성동구  난계로 61-9 (금호동1가)|주임신부 나충열 요셉 신부|1999.02.18
천주교|광주대교구|금호2동성당|062-384-9004|광주광역시 서구 화개중앙로 114번길 20-1|주임신부 윤종윤 스테파노 신부|2011.07.28
천주교|광주대교구|금호동성당|062-374-9006|광주광역시 서구  금화로73번길 33 (금호동)|주임신부 박철수 가브리엘 신부|1994.09.15
천주교|서울대교구|금호동성당|02-2237-9671|서울특별시 성동구  무수막18길 36 (금호동2가)|주임신부 하상진 세례자 요한 신부|1962.09.08
천주교|대구대교구|기계성당|054-243-1446|경북 포항시 북구 기계면 기계로98번길 9|주임신부 최재원 펠릭스 신부|2009.8.25.
천주교|춘천교구|기린성당|033-463-5104|강원도 인제군 기린면 기린로42번길 9-5|주임신부 배종호 토마스 신부|1985.6.12.
천주교|수원교구|기산성당|031-226-2800|경기도 화성시  기산로 63|주임 홍창진 요한 보스코 신부|2006.9.26.
천주교|수원교구|기안성바오로성당|031-223-6691|경기도 화성시  기배로43번길 40|주임 안준성 마티아 신부|1997.02.14
천주교|부산교구|기장성당|051-721-2273|부산광역시 기장군 기장읍 차성남로 88|주임신부 김성학 사무엘 신부|1975.9.26.
