##NAME|SUBNAME|TELNUM|NEWADDR|IDX|FATHER|WEBSITE|ORGNAME|SOURCE2@@교회
연동교회||02-763-7244|서울특별시 종로구 김상옥로 37  (연지동)|10629|이성희 담임목사    홍광의 부목사|http://www.ydpc.org|연동|대한예수교장로회총회
김해교회||055-333-6321|경상남도 김해시 가락로 117  (서상동)|10628|조의환 담임목사|http://www.gloria.or.kr|김해|대한예수교장로회총회
대창교회||054-335-4195|경상북도 영천시 대창면 금창로 700|10627|||대창|대한예수교장로회총회
서교동교회||02-335-1326|서울특별시 마포구 잔다리로6길 11  (서교동)|10626|우영수 담임목사|http://www.skdch.or.kr|서교동|대한예수교장로회총회
병영교회||052-292-5357|울산광역시 중구 병영성길 89  (서동)|10625|유석균 담임목사||병영|대한예수교장로회총회
운산교회||063-263-5365|전라북도 완주군 화산면 누하길 8|10624|송기정 담임목사||운산|대한예수교장로회총회
양동제일교회||061-243-5600|전라남도 목포시 삼일로 36  (호남동)|10622|곽군용 담임목사    문금록 부목사|http://www.yangdong1st.net|양동제일|대한예수교장로회총회
춘화교회||055-353-8993|경상남도 밀양시 부북면 춘화솔밭등길 50|10621|임융식 담임목사||춘화|대한예수교장로회총회
이령교회||055-587-4068|경상남도 함안군 칠북면 이령3길 26|10620|이규경 담임목사||이령|대한예수교장로회총회
송마리교회||031-987-3713|경기도 김포시 대곶면 산자뫼로104번길 19-31|10619|||송마리|대한예수교장로회총회
방잠교회||054-841-3360|경상북도 안동시 와룡면 나소로 297-9 방잠교회|10618|임상욱 담임목사||방잠|대한예수교장로회총회
월백교회||055-298-5214|경상남도 창원시 의창구 북면 백월로143번길 31|10617|박석철 담임목사||월백|대한예수교장로회총회
대원교회||054-482-9191|경상북도 구미시 옥성면 대원1길 22|10616|이병철 담임목사||대원|대한예수교장로회총회
은편교회||052-262-7648|울산광역시 울주군 두동면 은편하리2길 14|10615|김상철 담임목사||은편|대한예수교장로회총회
후평교회||054-932-5207|경상북도 성주군 금수면 후평1길 10-3|10614|||후평|대한예수교장로회총회
풍각제일교회||054-372-8030|경상북도 청도군 풍각면 헐티로 218-2 풍각제일교회|10613|송성민 담임목사||풍각제일|대한예수교장로회총회
남전교회||063-841-4359|전라북도 익산시 오산면 북참길 19-9|10611|반성석 담임목사||남전|대한예수교장로회총회
비봉교회||054-834-5373|경상북도 의성군 의성읍 하비길 4-9|10610|김성진 담임목사|http://cafe.daum.net/bibongchurch|비봉|대한예수교장로회총회
동도교회||054-336-3107|경상북도 영천시 고경면 동도길 33-6|10609|이동국 담임목사||동도|대한예수교장로회총회
상주교회||054-535-1123|경상북도 상주시 경상대로 3075  (무양동)|10608|곽희주 담임목사|http://www.sangjuch.org|상주|대한예수교장로회총회
상주시민교회||054-536-2260|경상북도 상주시 왕산로 311  (서성동)|10607|강성식 담임목사|http://www.sangjusimin.er.ro|상주시민|대한예수교장로회총회
덕암교회||063-562-7714|전라북도 고창군 공음면 복흥길 27|10606|정성수 담임목사||덕암|대한예수교장로회총회
증산교회||063-324-4920|전라북도 무주군 무풍면 증산로 87-3|10604|||증산|대한예수교장로회총회
함라교회||063-856-9644|전라북도 익산시 함라면 함라1길 95-1|10603|김갑수 담임목사    이모세 전도목사||함라|대한예수교장로회총회
화해교회||063-535-0409|전라북도 정읍시 북면 정읍북로 515|10602|||화해|대한예수교장로회총회
문창교회||055-245-4801|경상남도 창원시 마산합포구 노산동7길 21  (상남동)|10601|이형준 담임목사    허성녕 부목사|http://www.moonchang.or.kr|문창|대한예수교장로회총회
본포교회||055-298-4213|경상남도 창원시 의창구 동읍 신촌본포로442번길 13-8 .|10600|||본포|대한예수교장로회총회
포항대송교회||054-285-6560|경상북도 포항시 남구 대송면 제내길 65|10599|김종현 부목사|http://www.daesong.or.kr|포항대송|대한예수교장로회총회
낙평교회||054-732-3143|경상북도 영덕군 지품면 낙평1길 3 낙평교회|10597|조정숙 담임목사||낙평|대한예수교장로회총회
죽산교회||031-675-9851|경기도 안성시 죽산면 죽산초교길 64-19|10596|성선복 담임목사||죽산|대한예수교장로회총회
송정제일교회||062-942-4901|광주광역시 광산구 광산로 106  (송정동)|10595|서진옥 담임전도사    유갑준 위임목사    조현호 부목사||송정제일|대한예수교장로회총회
모산교회||063-841-3138|전라북도 익산시 오산면 평동로 45|10593|||모산|대한예수교장로회총회
풍산교회||054-858-6357|경상북도 안동시 풍산읍 장터중앙길 7|10592|홍경호 담임목사|http://cafe.naver.com/pschurch.cafe|풍산|대한예수교장로회총회
경주제일교회||054-742-0211|경상북도 경주시 중앙로47번길 3  (노동동)|10591|박동한 담임목사    황계용 부목사    이길영 부목사|http://www.kjfc.or.kr/|경주제일|대한예수교장로회총회
우라교회||054-751-5668|경상북도 경주시 산내면 땅들길 35|10590|윤종석 담임목사||우라|대한예수교장로회총회
모화교회||054-773-2121|경상북도 경주시 외동읍 모화남3길 14-16|10589|홍성수 담임목사|http://www.mohwa.net|모화|대한예수교장로회총회
장산교회||054-775-4070|경상북도 경주시 외동읍 말방길 25|10588|김태연 담임목사||장산|대한예수교장로회총회
신제교회||055-536-4396|경상남도 창녕군 영산면 장척길 90|10587|엄현익 담임목사|http://cafe.daum.net/신제교회|신제|대한예수교장로회총회
언양제일교회||052-262-0426|울산광역시 울주군 언양읍 남문3길 3-8|10586|진태호 담임목사    김주영 부목사|http://www.eyfirst.com|언양제일|대한예수교장로회총회
안림교회||054-955-0135|경상북도 고령군 쌍림면 안림3길 17|10585|임선규 담임목사||안림|대한예수교장로회총회
중리교회||054-932-5333|경상북도 성주군 금수면 성주로 462|10584|김승동 담임목사||중리|대한예수교장로회총회
진라교회||054-371-2988|경상북도 청도군 청도읍 남성현로 24|10583|강홍배 담임목사|http://web.godpia.com/jinra|진라|대한예수교장로회총회
세동교회||063-433-7790|전라북도 진안군 부귀면 원세동길 7-2|10582|김형기 담임전도사|http://www.sedong.org|세동|대한예수교장로회총회
욕지교회||055-641-3668|경상남도 통영시 욕지면 서촌아랫길 11-9|10581|임종혁 담임목사||욕지|대한예수교장로회총회
대장교회||063-842-1268|전라북도 익산시 춘포면 춘포로 354|10580|장세준 담임목사||대장|대한예수교장로회총회
삼례제일교회||063-291-9820|전라북도 완주군 삼례읍 만경하서길 18|10579|이봉근 담임목사||삼례제일|대한예수교장로회총회
시산교회||055-342-7263|경상남도 김해시 한림면 한림로654번길 9|10578|김창수 담임목사||시산|대한예수교장로회총회
신산교회||031-947-0031|경기도 파주시 광탄면 청계말길 46-13|10577|||신산|대한예수교장로회총회
광암교회||061-331-7129|전라남도 나주시 금천면 금영로 695-16|10576|이종문 담임목사||광암|대한예수교장로회총회
광동중앙교회||061-772-1052|전라남도 광양시 진상면 신시2길 37|10575|문선주 담임목사||광동중앙|대한예수교장로회총회
자천교회||054-337-2775|경상북도 영천시 화북면 자천8길 10|10574|손산문 담임목사|http://www.jacheon.net|자천|대한예수교장로회총회
황금동교회||054-432-5775|경상북도 김천시 남산공원길 146|10573|이현세 담임목사|http://www.hgdpc.com|황금동|대한예수교장로회총회
봉곡교회||054-430-8822|경상북도 김천시 농소면 벽봉로 1669|10572|박창수 담임목사||봉곡|대한예수교장로회총회
동성교회||054-571-1208|경상북도 문경시 마성면 늘목3길 31|10571|배종훤 담임목사|http://msds1903.com|동성|대한예수교장로회총회
신촌교회||063-562-4287|전라북도 고창군 신림면 자포신촌길 6|10570|송하길 담임목사||신촌|대한예수교장로회총회
영등포교회||02-2637-9191|서울특별시 영등포구 양산로 213  (영등포동7가)|10569|임정석 담임목사    이강희 부목사|http://pydp.or.kr|영등포|대한예수교장로회총회
화천교회||054-732-4673|경상북도 영덕군 영덕읍 화천1길 12 경북 영덕군 영덕읍 화천 1길 12|10568|문용선 담임목사||화천|대한예수교장로회총회
성법교회||054-243-5344|경상북도 포항시 북구 기북면 기북로1054번길 5-1|10567|이승웅 담임목사||성법|대한예수교장로회총회
옥화교회||054-932-6414|경상북도 성주군 대가면 옥화3길 9|10566|한경희 담임목사||옥화|대한예수교장로회총회
보생교회||061-394-2308|전라남도 장성군 삼서면 태산로 300|10565|박주홍 담임목사||보생|대한예수교장로회총회
여올교회||063-324-6067|전라북도 무주군 적상면 여용로 70|10564|||여올|대한예수교장로회총회
대광교회||063-432-7036|전라북도 진안군 주천면 중리길 24|10563|김시영 담임목사||대광|대한예수교장로회총회
서두교회||063-261-6125|전라북도 완주군 봉동읍 서정길 92-54|10562||http://www.junimlove.or.kr|서두|대한예수교장로회총회
원암교회||063-243-8124|전라북도 완주군 소양면 대흥봉덕길 54|10561|||원암|대한예수교장로회총회
신점교회||031-771-5648|경기도 양평군 용문면 조계골길 30-1|10560|조성묵  담임목사||신점|대한예수교장로회총회
용문교회||031-772-0123|경기도 양평군 용문면 다문중앙1길 12|10559|이언구 담임목사|http://www.ympck.org|용문|대한예수교장로회총회
김해감천교회||055-323-1961|경상남도 김해시 대동면 대동로962번길 75-5|10558|강영수 담임목사|http://www.kc1904.com|김해감천|대한예수교장로회총회
내리교회||054-382-8128|경상북도 군위군 효령면 불곡길 157-12|10557|||내리|대한예수교장로회총회
광주양림교회||062-672-1101|광주광역시 남구 백서로70번길 2  (양림동)|10556|노치준 담임목사|http://www.yangrim.org|광주양림|대한예수교장로회총회
광주제일교회||062-382-1004|광주광역시 서구 상무공원로 56  (치평동)|10555||http://www.motherchrch.co.kr|광주제일|대한예수교장로회총회
옥과교회||061-362-6280|전라남도 곡성군 옥과면 미술관로 15|10554|권익 부목사    이상재 부목사||옥과|대한예수교장로회총회
오대교회||054-822-4238|경상북도 안동시 임하면 원오대길 100|10552|장봉환 담임목사||오대|대한예수교장로회총회
박곡교회||054-832-4661|경상북도 의성군 안평면 안평의성로 109-8|10551|||박곡|대한예수교장로회총회
화목교회||054-872-9055|경상북도 청송군 현서면 구산1길 7|10550|박경훈 담임목사||화목|대한예수교장로회총회
영천제일교회||054-331-7355|경상북도 영천시 서문길 100  (성내동)|10549|민광 담임목사|http://www.ycjeil.org|영천제일|대한예수교장로회총회
우천교회||054-332-1768|경상북도 영천시 청통면 청통로 37|10548|백태종 담임목사||우천|대한예수교장로회총회
연봉교회||041-951-0445|충청남도 서천군 한산면 갈숲길71번길 43|10547|김창홍 담임목사||연봉|대한예수교장로회총회
선산읍교회||054-482-1900|경상북도 구미시 선산읍 선산중앙로 47|10546|김상로 담임목사|http://www.ssuch.com|선산읍|대한예수교장로회총회
오광교회||054-533-9390|경상북도 상주시 공성면 오광2길 69-4|10545|김용신 담임목사||오광|대한예수교장로회총회
화호교회||063-571-6063|전라북도 정읍시 신태인읍 화호7길 25-23|10544|권이준 담임목사||화호|대한예수교장로회총회
양효교회||055-356-1678|경상남도 밀양시 무안면 양효2길 20|10543|홍성진 담임목사||양효|대한예수교장로회총회
경동제일교회||02-2209-5441|서울특별시 중랑구 봉화산로 91  (중화동)|10542||http://www.kdfchurch.or.kr|경동제일|대한예수교장로회총회
이문동교회||02-3295-2004|서울특별시 동대문구 이문로 148  (이문동)|10541|김영만 담임목사|http://www.imdch.onmam.com|이문동|대한예수교장로회총회
포항대도교회||054-282-1685|경상북도 포항시 남구 상공로 13 포항대도교회 (대도동)|10540||http://www.daedo.org|포항대도|대한예수교장로회총회
누산교회||031-986-2738|경기도 김포시 양촌읍 김포대로 1754|10539|문수근 담임목사||누산|대한예수교장로회총회
운림교회||061-853-6650|전라남도 보성군 겸백면 옥천길 61|10538|김윤길 담임목사||운림|대한예수교장로회총회
대구칠곡교회||053-324-9191|대구광역시 북구 칠곡중앙대로114길 9  (읍내동)|10537|오세원 담임목사    박종식 부목사|http://www.taegucgc.or.kr|대구칠곡|대한예수교장로회총회
두길교회||063-324-7472|전라북도 무주군 설천면 하두길 48|10536|||두길|대한예수교장로회총회
시흥교회||010-9370-2336|서울특별시 금천구 독산로23길 40  (시흥동)|10535|이주영 담임목사    고형석 부목사||시흥|대한예수교장로회총회
봉상교회||063-262-2355|전라북도 완주군 봉동읍 신보상길 31|10534||http://www.bongsang.org|봉상|대한예수교장로회총회
해남고당교회||061-532-1851|전라남도 해남군 문내면 일성길 25|10533|최대중 담임목사||해남고당|대한예수교장로회총회
약산제일교회||061-553-8753|전라남도 완도군 약산면 관산길 164|10532|박오영 담임목사||약산제일|대한예수교장로회총회
상심리교회||031-772-7238|경기도 양평군 양서면 대심상심길 142-5|10531|한종환 담임목사    김민호 부목사    최유신 부목사||상심리|대한예수교장로회총회
항서교회||051-255-7471|부산광역시 서구 부용로32번길 9  (부용동2가)|10530|나재천 담임목사    이재설 부목사|http://www.hangseo.or.kr|항서|대한예수교장로회총회
황학교회||054-972-0081|경상북도 칠곡군 지천면 황학1길 16|10529|윤일권 담임목사||황학|대한예수교장로회총회
장군교회||054-382-9058|경상북도 군위군 효령면 장군당1길 30-3|10528|김영언 담임목사||장군|대한예수교장로회총회
나주교회||061-332-7978|전라남도 나주시 영산로 5402  (성북동)|10527|최태훈 담임목사    이정훈 부목사|http://www.najuchurch.org|나주|대한예수교장로회총회
하화교회||054-833-2159|경상북도 의성군 단촌면 수일하길 31|10526|김진웅 담임목사||하화|대한예수교장로회총회
삼분동부교회||054-862-5596|경상북도 의성군 다인면 삼분2길 206-7|10525|지태광 담임목사||삼분동부|대한예수교장로회총회
수락교회||054-873-4269|경상북도 청송군 현서면 성덕댐로 742|10524||http://cafe.daum.net/love4269|수락|대한예수교장로회총회
신황교회||061-772-2880|전라남도 광양시 진상면 신황길 43-14|10523|최수남 담임목사||신황|대한예수교장로회총회
장천교회||061-682-7082|전라남도 여수시 율촌면 동산개길 42|10522|윤성완 담임목사||장천|대한예수교장로회총회
상촌교회||043-743-3543|충청북도 영동군 상촌면 임산5길 14-12|10521|김길성 담임목사||상촌|대한예수교장로회총회
평천교회||054-335-7170|경상북도 영천시 임고면 포은로 738|10520|최동수 담임목사||평천|대한예수교장로회총회
김제동부교회||063-547-4696|전라북도 김제시 백학3길 53  (순동)|10519|김철안 담임목사||김제동부|대한예수교장로회총회
구동교회||041-951-1494|충청남도 서천군 한산면 화한로653번길 18-3|10518|김종호 담임목사||구동|대한예수교장로회총회
금성교회||041-752-3019|충청남도 금산군 금성면 상가2길 8-1|10517|이범황 담임목사||금성|대한예수교장로회총회
지좌교회||054-436-4435|경상북도 김천시 체육공원길 45|10516|곽종복 담임목사|http://jijwa.or.kr|지좌|대한예수교장로회총회
광기교회||054-431-2044|경상북도 김천시 감천면 광기2길 369|10515|서재관 담임목사|http://cafe.daum.net/kwangki237|광기|대한예수교장로회총회
대덕제일교회||054-435-1197|경상북도 김천시 대덕면 대덕로 755-3|10514|김호진 담임목사||대덕제일|대한예수교장로회총회
유성교회||054-437-0393|경상북도 김천시 증산면 증산로 983|10513|정주억 담임목사||유성|대한예수교장로회총회
천원제일교회||063-534-2111|전라북도 정읍시 입암면 동부길 8|10512|이박남 담임목사||천원제일|대한예수교장로회총회
경화교회||055-543-5582|경상남도 창원시 진해구 충장로 309  (경화동)|10511|김영암 담임목사||경화|대한예수교장로회총회
다원교회||055-352-5265|경상남도 밀양시 산외면 율전길 78-4|10510|||다원|대한예수교장로회총회
갈전교회||055-291-4688|경상남도 창원시 의창구 대산면 갈전로 109|10509|이종수 담임목사||갈전|대한예수교장로회총회
포항제일교회||054-244-3311|경상북도 포항시 북구 새마을로 172  (용흥동)|10508||http://www.pohangcheil.org|포항제일|대한예수교장로회총회
흥해중앙교회||054-261-2577|경상북도 포항시 북구 흥해읍 흥해로82번길 16|10507||http://www.hhcc.or.kr|흥해중앙|대한예수교장로회총회
칠포교회||054-261-0682|경상북도 포항시 북구 흥해읍 해안로1545번길 2-19|10506|김성칠 담임목사||칠포|대한예수교장로회총회
무만교회||061-857-1454|전라남도 보성군 벌교읍 잿등길 7-4|10505|채규현 담임목사||무만|대한예수교장로회총회
지산교회||053-782-2135|대구광역시 수성구 지범로29길 36|10504|||지산|대한예수교장로회총회
고령읍교회||054-955-2348|경상북도 고령군 왕릉로 91|10503|||고령읍|대한예수교장로회총회
당촌교회||054-653-7533|경상북도 예천군 풍양면 괴당2길 96|10502|김석환 담임목사||당촌|대한예수교장로회총회
성광교회||061-394-2135|전라남도 장성군 삼서면 소룡길 93|10501|박홍열 담임목사||성광|대한예수교장로회총회
묘량교회||061-352-5600|전라남도 영광군 묘량면 밀재로2길 22|10500|정은덕 담임목사||묘량|대한예수교장로회총회
진주교회||055-743-2003|경상남도 진주시 촉석로201번길 8-1  (평안동)|10499|김기덕 담임목사||진주|대한예수교장로회총회
회화교회||055-673-2114|경상남도 고성군 회화면 배둔로 112|10498|윤영남 담임목사||회화|대한예수교장로회총회
구만교회||055-672-3346|경상남도 고성군 구만면 효락2길 89-12|10497|배동수 담임목사||구만|대한예수교장로회총회
수안교회||051-555-4017|부산광역시 동래구 충렬대로237번길 57  (수안동)|10496||http://www.suan.or.kr|수안|대한예수교장로회총회
구포교회||051-332-6512|부산광역시 북구 낙동북로 681|10495|한영수 담임목사    탁혜경 부목사|http://www.gupo.org|구포|대한예수교장로회총회
금성동교회||051-517-5639|부산광역시 금정구 땅곡길 53  (금성동)|10494|신중석 담임목사||금성동|대한예수교장로회총회
첨단영락교회||062-971-3566|광주광역시 북구 불태1로 5  (대촌동)|10493|||첨단영락|대한예수교장로회총회
문정교회||063-221-1628|전라북도 전주시 완산구 문정길 12|10492|박성곤 담임목사||문정|대한예수교장로회총회
작천중앙교회||061-432-6245|전라남도 강진군 작천면 갈동로2길 42|10491|우종탁 담임목사||작천중앙|대한예수교장로회총회
예락교회||061-532-1972|전라남도 해남군 문내면 골몰길 5-12|10490|문선호 담임목사||예락|대한예수교장로회총회
무형교회||063-861-8797|전라북도 익산시 망성면 선리1길 13|10489|안수영 담임목사||무형|대한예수교장로회총회
현풍교회||053-614-2274|대구광역시 달성군 현풍면 현풍중앙로10길 18|10487|||현풍|대한예수교장로회총회
화평교회||063-834-0720|전라북도 익산시 춘포면 인수신화1길 10-9|10486|김동남 담임목사||화평|대한예수교장로회총회
문호교회||031-771-8487|경기도 양평군 서종면 무내미길 73|10485|전창근 담임목사||문호|대한예수교장로회총회
성수동교회||02-464-2154|서울특별시 성동구 성수이로3길 20  (성수동2가)|10484|김반석 담임목사    주규문 부목사|http://www.ssd.or.kr|성수동|대한예수교장로회총회
부산평강교회||051-971-2305|부산광역시 강서구 낙동북로166번길 5  (대저1동)|10483|||부산평강|대한예수교장로회총회
남선교회||054-822-0540|경상북도 안동시 남선면 구미양지마길 32-8|10482|김만균 담임목사||남선|대한예수교장로회총회
효선교회||054-833-4885|경상북도 의성군 춘산면 효선3길 155-2|10481|||효선|대한예수교장로회총회
청천교회||043-832-4073|충청북도 괴산군 청천면 청천6길 7-4|10480|김종성 담임목사||청천|대한예수교장로회총회
주성교회||043-543-0037|충청북도 보은군 내북면 남부로 6235|10479|박종선 담임목사||주성|대한예수교장로회총회
천촌교회||054-751-2676|경상북도 경주시 서면 천촌원당길 39-23|10478|함영호 담임목사||천촌|대한예수교장로회총회
안강제일교회||054-761-1771|경상북도 경주시 안강읍 안강중앙로 179-11|10477||http://www.anjeil.or.kr/|안강제일|대한예수교장로회총회
삼창교회||054-337-7284|경상북도 영천시 화남면 한천길 18|10476|김영길 담임목사||삼창|대한예수교장로회총회
명주교회||054-337-9004|경상북도 영천시 북안면 운북로 1459|10475|주진홍 담임목사||명주|대한예수교장로회총회
옥산중앙교회||063-464-4242|전라북도 군산시 옥산면 여로1길 3|10474|김점수 담임목사||옥산중앙|대한예수교장로회총회
홍산중앙교회||041-836-8731|충청남도 부여군 홍산면 홍산로 80-15|10473|한정규 담임목사||홍산중앙|대한예수교장로회총회
지방교회||041-752-4638|충청남도 금산군 진산면 실학로 138|10472|||지방|대한예수교장로회총회
수영교회||041-752-8074|충청남도 금산군 복수면 수영길 34-4|10471|박정훈 담임목사||수영|대한예수교장로회총회
파천교회||054-437-2530|경상북도 김천시 부항면 파천1길 17|10470|한광수 담임목사||파천|대한예수교장로회총회
가조교회||055-942-1120|경상남도 거창군 가조면 마상4길 61|10469|김기광 담임목사||가조|대한예수교장로회총회
광릉내교회||031-528-3823|경기도 남양주시 진접읍 광릉내로30번길 4-23|10468|김상룡 담임목사    노지경 부목사|http://www.krnch.com|광릉내|대한예수교장로회총회
동막교회||02-3275-7004|서울특별시 마포구 독막로 266  (대흥동, 대흥동태영아파트)|10467|곽재욱 담임목사|http://www.dongmak.or.kr|동막|대한예수교장로회총회
대현교회||02-392-5329|서울특별시 서대문구 연세로2다길 8  (창천동)|10466|최영태 담임목사|http://www.ldaehyun.net|대현|대한예수교장로회총회
노량진교회||02-814-3425|서울특별시 동작구 노량진로30길 9  (본동)|10465|여충호 담임목사|http://www.nrjch.or.kr|노량진|대한예수교장로회총회
울산제일교회||052-276-4010|울산광역시 남구 신정로192번길 9  (신정동)|10464|김성수 담임목사|http://www.ulsanjeil.or.kr|울산제일|대한예수교장로회총회
온막교회||054-372-5264|경상북도 청도군 매전면 온산길 18|10463|김형민 담임목사||온막|대한예수교장로회총회
내매교회||054-637-3082|경상북도 영주시 평은면 천상로259번길 137-31|10462|윤재현 담임목사||내매|대한예수교장로회총회
상락교회||054-653-0491|경상북도 예천군 지보면 지보리길 167-20|10461|||상락|대한예수교장로회총회
문촌교회||031-332-8152|경기도 용인시 처인구 원삼면 이원로 1037-13|10460|||문촌|대한예수교장로회총회
묵방교회||043-214-1542|충청북도 청주시 청원구 내수읍 묵방국동로 68|10459|채삼규 담임목사||묵방|대한예수교장로회총회
화죽교회||043-214-1445|충청북도 청주시 청원구 북이면 화하1길 30-6|10458|이용희 담임목사||화죽|대한예수교장로회총회
낙원교회||063-626-7554|전라북도 남원시 대강면 도곡길 72|10457|엄상호 담임목사||낙원|대한예수교장로회총회
개동교회||061-382-7162|전라남도 담양군 수북면 개동남산길 42|10456|김인선 담임목사||개동|대한예수교장로회총회
제석교회||063-862-6364|전라북도 익산시 웅포면 상제길 17|10455|정경호 담임목사||제석|대한예수교장로회총회
웅포교회||063-862-6414|전라북도 익산시 웅포면 곰개길 16-16|10454|박재용 담임목사||웅포|대한예수교장로회총회
종리교회||063-263-4574|전라북도 완주군 화산면 화산남로 44|10453|정욱 담임목사||종리|대한예수교장로회총회
고읍교회||031-771-5436|경기도 양평군 옥천면 향교길 10|10452|우태욱 담임목사||고읍|대한예수교장로회총회
대연교회||051-628-2260|부산광역시 남구 진남로 43  (대연동)|10451||http://www.daeyeon.or.kr|대연|대한예수교장로회총회
대지교회||051-971-0210|부산광역시 강서구 대저로171번나길 16  (대저1동)|10450|||대지|대한예수교장로회총회
장사리교회||054-858-1876|경상북도 안동시 일직면 장사리1길 5-3|10448|류정희 담임목사||장사리|대한예수교장로회총회
아곡교회||054-842-0153|경상북도 안동시 남후면 남후상아길 23-3|10447|이상근 담임목사||아곡|대한예수교장로회총회
방하교회||054-856-0537|경상북도 안동시 녹전면 방하길 50-3|10446|||방하|대한예수교장로회총회
제오교회||054-834-0160|경상북도 의성군 금성면 대추불길 15|10445|김덕용 담임목사||제오|대한예수교장로회총회
순천중앙교회||061-755-9106|전라남도 순천시 서문성터길 20  (매곡동)|10444|홍인식 담임목사||순천중앙|대한예수교장로회총회
송면교회||043-833-8046|충청북도 괴산군 청천면 대야로 15|10443|김동일 담임목사||송면|대한예수교장로회총회
무과교회||054-745-5426|경상북도 경주시 현곡면 무과길 30 무과교회|10442|정인명 담임목사||무과|대한예수교장로회총회
의곡교회||054-751-5017|경상북도 경주시 산내면 의곡2길 6-5|10441|이상철 담임목사||의곡|대한예수교장로회총회
양북제일교회||054-746-5739|경상북도 경주시 양북면 어일중앙길 26-3|10440|최상열 담임목사||양북제일|대한예수교장로회총회
청령교회||054-762-6918|경상북도 경주시 안강읍 청령마을1길 7|10439|차병주 담임목사||청령|대한예수교장로회총회
지곡교회||063-462-8019|전라북도 군산시 백토로 250  (나운동)|10438|||지곡|대한예수교장로회총회
금산제일교회||041-753-8302|충청남도 금산군 금산읍 금산로 1394 금산제일교회|10437|양승백 담임목사|http://www.gsfirst.kr|금산제일|대한예수교장로회총회
감주교회||054-435-1401|경상북도 김천시 대덕면 감주길 868|10436|최동영 담임목사||감주|대한예수교장로회총회
사랑의교회||063-582-1594|전라북도 부안군 동진면 간재로 289|10435|김하은 담임목사||사랑의|대한예수교장로회총회
무안교회||055-351-0253|경상남도 밀양시 무안면 서부2길 7-4|10434||http://www.muanchurch.org|무안|대한예수교장로회총회
가천교회||055-945-0765|경상남도 거창군 남하면 가천길 116|10433|한윤심 담임목사||가천|대한예수교장로회총회
가야교회||055-932-7724|경상남도 합천군 가야면 가야시장로 97|10432|이창호 담임목사|http://www.gayach.net|가야|대한예수교장로회총회
양평동교회||02-2069-2233|서울특별시 영등포구 양평로20길 7  (양평동4가)|10431|||양평동|대한예수교장로회총회
월산교회||031-594-8291|경기도 남양주시 화도읍 경춘로2247번길 52|10430|김풍호 담임목사|http://www.wsch.or.kr|월산|대한예수교장로회총회
빛과소금교회||031-571-0191|경기도 남양주시 퇴계원면 도제원로 32-2|10429|최삼경 담임목사|http://www.lightsalt.or.kr|빛과소금|대한예수교장로회총회
삼사교회||054-733-7658|경상북도 영덕군 강구면 삼사길 97|10428|김진해 담임목사||삼사|대한예수교장로회총회
포항동천교회||054-243-5755|경상북도 포항시 북구 송라면 해안로2672번길 9|10427|황영수 담임목사||포항동천|대한예수교장로회총회
화봉교회||054-243-1288|경상북도 포항시 북구 기계면 기동지길263번길 12|10426|||화봉|대한예수교장로회총회
반천교회||052-264-4513|울산광역시 울주군 언양읍 대암둔기로 7|10425|임석빈 담임목사|http://반천교회(한글도메인)|반천|대한예수교장로회총회
신흥교회||061-844-7933|전라남도 고흥군 금산면 신흥쇠몰재길 30|10424|김요진 담임목사||신흥|대한예수교장로회총회
