##NAME|SUBNAME|TYPE1|TYPE2|TELNUM|NEWADDR|SINCE|URL|ID|XCOORD|YCOORD@@보건소
진안군의료원||보건의료원|특수법인|063-430-7000|전라북도 진안군 진안읍 진무로 1145 (진안읍)|20150422||JDQ4MTYyMiM2MSMkMSMkNiMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz|127.431720481|35.7952483675
청송군보건의료원||보건의료원|공립|054-870-7126|경상북도 청송군 청송읍 의료원길 19-19 19|19881015|http://health.cs.go.kr|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz|129.0518338|36.4311459
청양군보건의료원||보건의료원|공립|041-942-3401|충청남도 청양군 청양읍 칠갑산로7길 54 ()|19880912|http://health.cheongyang.go.kr|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz|126.804937238|36.455019779
태안군보건의료원||보건의료원|공립|041-671-5315|충청남도 태안군 태안읍 서해로 1952-16 ()|19961024|http://health.taean.go.kr/|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDQjJDgz|126.323198708|36.7518786039
평창군보건의료원||보건의료원|공립|033-332-6120|강원도 평창군 평창읍 종부로 61 (평창읍)|19620201||JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz|128.388852217|37.3604904888
화천군보건의료원||보건의료원|공립|033-442-4423|강원도 화천군 화천읍 강변로 111 (화천읍)|19891017|http://www.ihc.go.kr/home/main/page/sub04/sub04_05_05_01_02.asp|JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDAjJDgz|127.709119505|38.1073400657
가평군보건소||보건소|공립|031-582-2488|경기도 가평군 가평읍 가화로 155-18 (가평읍)|19621231|http://health.gp.go.kr/hb/health|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjODEjJDEjJDIjJDgz|127.510602171|37.8335018094
강남구보건소||보건소|공립|02-3423-7200|서울특별시 강남구 선릉로 668 (삼성동)|19000101|http://health.gangnam.go.kr/|JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDQjJDgz|127.041902121|37.5164654278
강동구보건소||보건소|공립|02-3425-6600|서울특별시 강동구 성내로 45 (성내동)|19000101|http://health.gangdong.go.kr/|JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNDEjJDEjJDQjJDgz|127.125578933|37.5295355048
강릉시보건소||보건소|공립|033-660-3050|강원도 강릉시 남부로17번길 38 (내곡동)|19820217|http://www.gnhc.go.kr/|JDQ4MTYyMiM1MSMkMSMkNCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNTEjJDEjJDIjJDgz|128.882750198|37.7428102907
강북구보건소||보건소|공립|02-901-0704|서울특별시 강북구 한천로 897 (번동)|19950301|http://www.ehealth.or.kr/|JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjODEjJDEjJDIjJDgz|127.039062104|37.6318802215
강서보건지소||보건소|||충청북도 청주시 흥덕구 비하동 792번지 (비하로12번길 46)|||80044||
강원도/고성군보건소||보건소|공립|033-681-4000|강원도 고성군 간성읍 수성로 30 ()|19610101|http://health.goseong.org/|JDQ4MTYyMiM1MSMkMSMkNCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz|128.47214091|38.3776166185
강진군보건소||보건소|공립|061-432-4000|전라남도 강진군 강진읍 목리길 11 (강진읍)|19850125|http://hospital.gangjin.go.kr|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDgjJDgz|126.775709158|34.6383346918
강화군보건소||보건소|공립|032-933-4000|인천광역시 강화군 강화읍 충렬사로 26-1 26|19820101||JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz|126.484709538|37.7372307517
거제시보건소||보건소|공립|055-639-6200|경상남도 거제시 수양로 506 (양정동)|19981014|http://health.geoje.go.kr/|JDQ4MTYyMiM4MSMkMSMkNCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNjEjJDEjJDAjJDgz|128.636561602|34.8916882715
거창군보건소||보건소|공립|055-940-8310|경상남도 거창군 거창읍 거함대로 3079 (보건소)|19620101|http://health.geochang.go.kr/|JDQ4MTYyMiM4MSMkMSMkNCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz|127.89872738|35.6809363016
경산시보건소||보건소|공립|053-814-2820|경상북도 경산시 남매로 158 (중방동)|19610101|http://gbgs.go.kr/health/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz|128.743282358|35.8251107545
경주시보건소||보건소|공립|054-779-8573|경상북도 경주시 양정로 300 (동천동)|19850125|http://www.gjhc.or.kr/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjODEjJDEjJDIjJDgz|129.224633891|35.8594829647
계룡시보건소||보건소|공립|042-840-3507|충청남도 계룡시 장안로 54 (금암동)|20030919||JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEyMjIjODEjJDEjJDYjJDgz|127.250060358|36.2730742758
계양구/보건소||보건소|공립|032-450-4900|인천광역시 계양구 계산새로 88 (계산동)|19950618|http://www.gyeyang.go.kr/clinic/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz|126.737759164|37.5374417294
고령군보건소||보건소|공립|054-954-1300|경상북도 고령군 대가야읍 왕릉로 55-5 55|19850125|http://www.grhealth.or.kr/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNjEjJDEjJDgjJDgz|128.2643348|35.7296202
고성군보건소||보건소|공립|055-670-4085|경상남도 고성군 고성읍 남포로79번길 103-3 103|19630122|http://health.goseong.go.kr/|JDQ4MTYyMiM4MSMkMSMkNCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNDEjJDEjJDgjJDgz|128.315383435|34.9694567057
고양시덕양구보건소||보건소|공립|031-8075-4006|경기도 고양시 덕양구 원당로33번길 28 (주교동)|19830207|http://www.goyang.go.kr/hospital/dy/index.do|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNjEjJDEjJDgjJDgz|126.831049793|37.6578365706
고양시일산동구보건소||보건소|공립|031-8075-4086|경기도 고양시 일산동구 중앙로 1228 (마두동,KT고양지사 일산동구보건소)|20060628||JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE4MzIjODEjJDEjJDIjJDgz|126.776150014|37.6559792442
고창군보건소||보건소|공립|063-560-8711|전라북도 고창군 고창읍 전봉준로 90 ((고창읍 전봉준로 90))|19850125|http://www.gochang.go.kr/health/index.php|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNTEjJDEjJDYjJDgz|126.682745183|35.4438580254
고흥군보건소||보건소|공립|061-830-5561|전라남도 고흥군 고흥읍 등암3길 5 ()|19520510|http://goheung.go.kr/health|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNTEjJDEjJDYjJDgz|127.268314284|34.5923698528
공주시보건소||보건소|공립|041-855-5244|충청남도 공주시 봉황로 123 (교동, 공주시보건소)|19890101|http://health.gongju.go.kr/|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjODEjJDEjJDIjJDgz|127.12065529|36.4571187675
과천시보건소||보건소|공립|02-2150-3811|경기도 과천시 관문로 69 (중앙동)|19980101|http://www.ghc.go.kr/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz|126.986794367|37.430202198
관악구보건소||보건소|공립|02-879-7010|서울특별시 관악구 관악로 145 (봉천동)|19811109|http://health.gwanak.go.kr/|JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjODEjJDEjJDIjJDgz|126.951503167|37.4782097744
광명시보건소||보건소|공립|02-2680-2862|경기도 광명시 오리로 613 (하안동, 광명시보건소)|19830707|http://health.kmc21.net/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNTEjJDEjJDIjJDgz|126.878166344|37.4554118011
광산구보건소||보건소|공립|062-960-8742|광주광역시 광산구 광산로29번길 15 (송정동)|19630201||JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz|126.793637579|35.1396481462
광양시보건소||보건소|공립|061-797-4008|전라남도 광양시 광양읍 인덕로 1100 (광양읍)|19991202|http://www.gwangyang.go.kr/health/|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEwMDIjNTEjJDEjJDIjJDgz|127.582749057|34.9808543888
광주광역시남구보건소||보건소|공립|062-607-4450|광주광역시 남구 봉선로 1 (주월동, 남구청)|19980302|http://www.namgu.gwangju.kr/health2013/|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz|126.902449337|35.1329053878
광주광역시동구보건소||보건소|공립|062-608-3355|광주광역시 동구 서남로 1 (서석동)|19911121|http://bogun.donggu.kr/|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz|126.923095137|35.1461414311
광주광역시북구보건소||보건소|공립|062-410-8961|광주광역시 북구 우치로 65 (중흥동)|19800401||JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNTEjJDEjJDIjJDgz|126.912140311|35.1733442185
광주광역시서구보건소||보건소|공립|062-350-4116|광주광역시 서구 경열로 33 (농성동)|19750201|http://www.seohealth.or.kr|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz|126.890112957|35.1520289363
광주시보건소||보건소|공립|031-760-2110|경기도 광주시 파발로 194 (경안동)|19620101|http://health.gjcity.go.kr/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz|127.250720796|37.4164326254
광진구보건소||보건소|공립|02-450-1422|서울특별시 광진구 자양로 117 (자양동)|19950315||JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDgjJDgz|127.08201425|37.5387279599
괴산군보건소||보건소|공립|043-834-2103|충청북도 괴산군 괴산읍 동진천길 43 (괴산읍)|19620107|http://country.cbgs.net/content/main.php?idx=12|JDQ4MTYyMiM1MSMkMSMkOCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz|127.796689227|36.8079987446
구로구보건소||보건소|공립|02-860-2600|서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소)|19820612|http://www.guro.go.kr/health/|JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDQjJDgz|126.889339411|37.5001020298
구리시보건소||보건소|공립|031-550-8618|경기도 구리시 건원대로34번길 84 (인창동, 구리보건소)|19880102|http://www.guri.go.kr/health/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjODEjJDEjJDYjJDgz|127.145079693|37.604735439
구미시보건소||보건소|공립|054-456-7819|경상북도 구미시 선산대로 111 (지산동)|19780215|http://phc.gumi.go.kr|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz|128.345953552|36.1399354136
구미시선산보건소||보건소|공립|054-481-4000|경상북도 구미시 선산읍 선주로 121 (선산읍)|19980701|http://www.gumi.go.kr/ssphc/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz|128.2999484|36.2441785936
군산시보건소||보건소|공립|063-463-4000|전라북도 군산시 수송동로 58 (수송동)|19621201|http://health.gunsan.go.kr/|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz|126.720180701|35.9647323748
군위군보건소||보건소|공립|054-383-4000|경상북도 군위군 군위읍 군청로 70 70|19800001|http://www.gunwi.go.kr/health/main.htm|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDAjJDgz|128.5661711|36.2313689
군포시보건소||보건소|공립|031-461-5464|경기도 군포시 군포로 221 (부곡동)|19900309|http://www.gunpohealth.or.kr|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz|126.925413509|37.3330490159
금산군보건소||보건소|공립|041-750-4311|충청남도 금산군 금산읍 금산로 1559 (금산읍)|19830527|http://www.geumsan.go.kr/health|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDgjJDgz|127.491637325|36.1120675409
기흥구보건소||보건소|공립|031-324-6911|경기도 용인시 기흥구 신갈로58번길 11 (신갈동, 기흥구 보건소)|20051025|http://health.giheunggu.go.kr/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz|127.1067684|37.2726044934
김제시보건소||보건소|공립|063-547-4000|전라북도 김제시 성산길 138 (요촌동)|19900331|http://health.gimje.go.kr|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDQjJDgz|126.883318824|35.8008084008
김천시보건소||보건소|공립|054-433-4000|경상북도 김천시 시청1길 221 (신음동)|19620619|http://www.gchealth.go.kr/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDQjJDgz|128.112859565|36.1395348134
김포시보건소||보건소|공립|031-980-5008|경기도 김포시 사우중로 108 (사우동)|19620101|http://health.gimpo.go.kr|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz|126.722947873|37.6237336666
김해시보건소||보건소|공립|1577-9400|경상남도 김해시 분성로 227 (외동)|19840519|http://www.ghhealth.or.kr|JDQ4MTYyMiM4MSMkMSMkNCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjNzEjJDEjJDgjJDgz|128.870547642|35.2324335729
나주시보건소||보건소|공립|061-333-3003|전라남도 나주시 풍물시장2길 57-32 (이창동, 나주시보건소)|19830506||JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNjEjJDEjJDgjJDgz|126.708224908|34.9952282504
남동구보건소||보건소|공립|032-464-4001|인천광역시 남동구 소래로 633 (만수동)|19951104|http://www.namdong.go.kr/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEyMjIjNjEjJDEjJDQjJDgz|126.73067844|37.4473901975
남양주/풍양보건소||보건소|공립|031-590-6980|경기도 남양주시 진접읍 해밀예당1로 30-39 ()|20170205||JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEwMDIjNjEjJDEjJDgjJDgz|127.189469653|37.7105053255
남양주보건소||보건소|공립|031-590-2552|경기도 남양주시 경춘로 1037 (금곡동)|19950301|http://health.nyj.go.kr/|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNjEjJDEjJDgjJDgz|127.21799565|37.6366154898
남원시보건소||보건소|공립|063-625-4000|전라북도 남원시 요천로 1285 (조산동)|19950101|http://health.namwon.go.kr|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNDEjJDEjJDgjJDgz|127.363989696|35.3978384422
남해군보건소||보건소|공립|055-860-8701|경상남도 남해군 남해읍 선소로 6 (남해읍)|19850125|http://health.namhae.go.kr/|JDQ4MTYyMiM4MSMkMSMkNCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNzEjJDEjJDgjJDgz|127.898786252|34.8447501433
노원구보건소||보건소|공립|02-2116-4311|서울특별시 노원구 노해로 437 (상계동)|19880101|http://www.nowon.kr/|JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz|127.056983661|37.6545813305
논산시보건소||보건소|공립|041-730-4086~7|충청남도 논산시 논산대로 382 (관촉동)|19850125|http://http:health.nonsan.go.kr|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz|127.103566846|36.1960762117
단양군보건소||보건소|공립|043-422-2974|충청북도 단양군 단양읍 삼봉로 53 (단양군보건소)|19690621|http://health.dy21.net/health/|JDQ4MTYyMiM1MSMkMSMkOCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz|128.350276883|36.9816392353
달성군보건소||보건소|공립|053-668-3121|대구광역시 달성군 현풍면 비슬로130길 17 (현풍면)|19631101|http://health.dalseong.daegu.kr/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNTEjJDEjJDYjJDgz|128.440321203|35.6948160229
담양군보건소||보건소|공립|061-383-4000|전라남도 담양군 담양읍 완동길 10-11 (담양읍)|19630101|http://health.damyang.go.kr/|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDYjJDgz|126.981241832|35.3250279496
당진시보건소||보건소|공립|041-360-6003|충청남도 당진시 서부로 56 (채운동)|19620101|http://www.dangjin.go.kr/html/health|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz|126.630005412|36.8874025694
대구광역시남구보건소||보건소|공립|053-664-3601|대구광역시 남구 영선길 34 (대명동)|19630101|http://nam.daegu.kr/open_content/mainpage/health/main|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjNTEjJDEjJDIjJDgz|128.591522471|35.8539013968
대구광역시달서구보건소||보건소|공립|053-667-5618|대구광역시 달서구 와룡로49길 30 (죽전동, 달서구보건소)|19880810|http://www.dalseo.daegu.kr/healthcenter|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDQjJDgz|128.53550607|35.8547386132
대구광역시북구보건소||보건소|공립|053-665-3220|대구광역시 북구 성북로 49 (침산동)|19820101|http://www.buk.daegu.kr/new_home/health/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEyMjIjNzEjJDEjJDgjJDgz|128.588897972|35.891877881
대구광역시수성구보건소||보건소|공립|053-666-3111|대구광역시 수성구 수성로 213 (중동, 보건소 구관)|19840601|http://health.suseong.kr/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjODEjJDEjJDYjJDgz|128.612246827|35.8446388362
대구광역시중구보건소||보건소|공립|053-661-3121|대구광역시 중구 태평로 45 (태평로3가)|19630101|http://gu.jung.daegu.kr/healthcenter/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjNjEjJDEjJDAjJDgz|128.583334984|35.8779043552
대전광역시대덕구보건소||보건소|공립|042-608-5452|대전광역시 대덕구 석봉로38번길 55 (석봉동)|19900101|http://health.daedeok.go.kr|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDYjJDgz|127.426551314|36.4448286876
대전광역시동구보건소||보건소|공립|042-629-1113|대전광역시 동구 동구청로 147 (가오동)|19620410|http://health.donggu.go.kr/|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNzEjJDEjJDgjJDgz|127.45491089|36.3120035379
대전광역시서구보건소||보건소|공립|042-488-9542|대전광역시 서구 만년로 74 (만년동)|19800101|http://www.seogu.go.kr/seoguportal/seoguhealth/index.aspx|JDQ4MTYyMiM2MSMkMSMkMiMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz|127.381101061|36.3670892047
도봉구보건소||보건소|공립|02-2091-4600|서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소)|19950705|http://health.dobong.go.kr|JDQ4MTg4MSM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNTEjJDEjJDYjJDgz|127.038830963|37.6579403561
동구보건소||보건소|공립|051-464-4000|부산광역시 동구 구청로 1 (수정동)|19620312|http://health.bsdonggu.go.kr|JDQ4MTAxMiM1MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz|129.04529772|35.1292957734
동구보건소||보건소|공립|053-662-3202|대구광역시 동구 동촌로 79 (검사동)|19610101|http://www.dong.daegu.kr/health/|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEwMDIjNjEjJDEjJDgjJDgz|128.651217794|35.8881209912
