IDX|NAME|BRANCH|TELL|ADDR|TIME|YCORD|XCORD
863|토프레소|성남 위례아트리버점|031-721-3690|성남시 수정구 위례광장로 70 아트리버 푸르지오 126호|성남시 수정구 창곡동 위례아트리버 푸르지오 1단지 126호|37.4707326462|127.1412164187
862|토프레소|역삼로점|02-558-8111|서울 강남구 역삼로 25길 16 1층|서울 강남구 역삼동 728-22|37.4971882325|127.0398558109
861|토프레소|청주 율량명문자랑점|043-211-1129|충청북도 청주시 청원구 주성동 421 1층|충청북도 청주시 청원구 율량로 138번길 42-3 1층|36.6710262961|127.4980244819
860|토프레소|용인 성복점|031-266-5652|경기도 용인시 수지구  성복1로 106|경기도 용인시 수지구 성복동 276-1 벽산프라자 109호|37.3169712492|127.0681807704
857|토프레소|춘천 석사점|033-241-0005||강원도 춘천시 석사동 651-13|37.8591457049|127.741211424
856|토프레소|서대문점|02-364-9828|통일로 107-39|서울시 서대문구 충정로2가 157번지 1층|37.5641993732|126.9661209882
855|토프레소|용인 테크노밸리점|031-299-2975|경기도 용인시 구성로 357  용인 테크노밸리 지층 E118호|경기도 용인시 기흥구 청덕동 556번지 지층 E118호|37.2913989765|127.1480531321
854|토프레소|합천 황강점|055-931-6659|경상남도 합천군 동부로 39-3|경상남도 합천군 대양면 정양리 101-14 1층|35.556731782|128.1661321567
853|토프레소|천안 쌍용점|041-574-7779|충청남도 천안시 서북구 미라3길 28|충청남도 천안시 서북구 쌍용동 1168|36.8021029605|127.1311492402
852|토프레소|차의과대점|-|경기도 포천시 해룡로 120 차의과대학교 학생회관 1층|경기도 포천시 해룡로 120 차의과대학교 학생회관 1층|37.8559890603|127.1375028965
851|토프레소|응암역점|02-385-3033|서울시 은평구 불광천길 536 애필리움아파트 1층|서울시 은평구 불광천길 536 애필리움아파트 1층|37.5979114284|126.9163898602
850|토프레소|충주 시청점|043-856-7722|충청북도 충주시 금릉동 702 1층|충청북도 충주시 금릉동 702 1층|36.9912949593|127.9286194493
849|토프레소|부천 옥길점|031-347-1315|경기도 부천시 양지로184번길 21|부천시 소사구 옥길동 724-7|37.4675611434|126.8215223149
848|토프레소|동탄헤리움점|031-613-3588|경기도 화성시 동탄하나1길 61 헤리움오피스텔 106|경기도 화성시 능동 1065-1|37.219148618|127.0583850692
846|토프레소|청주 한전 앞 소윤점|01038160831|충청북도 청주시 구룡산로51번길 12|충청북도 청주시 성화동 834|36.6151260105|127.4513732383
844|토프레소|전농점|0233946444|동대문구 서울시립대로36|동대문구 서울시립대로36|37.5745743853|127.0469019749
843|토프레소|용인 동백역점|031-274-0510|용인시 기흥구 동백3로11번길 12|용인시 기흥구 중동 852-3|37.2702180424|127.1531798774
841|토프레소|춘천 강북점|033-242-1971|강원도 춘천시 영서로 2764(우두동 1066-17)|강원 춘천시 영서로 2764|37.8999378073|127.7288317712
840|토프레소|영주 가흥점|054-631-7004|경북 영주시 영주로 60번길 37-5|경북 영주시 영주로60번길 37-5|36.8191244123|128.6069012772
836|토프레소|대림점|-|서울특별시 영등포구 도신로 31|서울시 영등포구 대림동 608-1|37.5055317938|126.8956151171
834|토프레소|춘천 퇴계점|033-263-7077|강원도 춘천시 안마산로 189|강원 춘천시 퇴계동 140-23|37.8511252478|127.7352318929
833|토프레소|상도점|02-6369-6998|서울 동작구 양녕로26길 49|서울시 동작구 상도동 214-295|37.4963959948|126.9439780963
832|토프레소|시흥 목감점|031-402-7569|경기도 시흥시 유명로 1674-51|경기도 시흥시 목감동 396-8 한울플러스 103호|37.3820574575|126.8612082782
830|토프레소|영등포점|02-2628-8800|서울 영등포구 영중로33길 5|서울시 영등포구 영등포동 8가 30-1|37.5261220267|126.9047408324
829|토프레소|광명역 로데오점|02-898-3385|경기도 광명시 일직로12번길 21|경기도 광명시 일직동 510-9 SH프라자 105호|37.4208353263|126.8825965969
827|토프레소|공덕 르네상스점|02-6377-6800|서울 마포구 만리재로 14 지하1층 4호|서울시 마포구 공덕동 456 지하1층 4호|37.5439944436|126.9528365624
823|토프레소|용인 삼성2로점|031-284-7367|경기도 용인시 기흥구 삼성2로42번길 4|경기도 용인시 기흥구 농서동 267-4|37.2251712791|127.0771843904
822|토프레소|서울대입구점|028823537|서울특별시 관악구 봉천로 451|서울 관악구 봉천동 873-30|37.4826998871|126.9502610884
820|토프레소|이천 마장점|031-635-3867|경기도 이천시 마장면 이평리 267-49|경기도 이천시 마장면 이평리 267-49|37.2284838611|127.3671381724
818|토프레소|충북 대소점|043-877-4902|충청북도 음성군 대소면 태생리 534-2|충북 음성군 오태로137번길 7|36.9668208143|127.4903861629
816|토프레소|이천 신둔점|031-634-6877|경기도 이천시 신둔면 경충대로 3157|경기도 이천시 신둔면 수광리 285-7|37.3081417316|127.4018256444
815|토프레소|양재우면점|02-577-9469|서울시 서초구 양재천로 11길 23 1층 101호 (양재동 동광빌딩)|서울시 서초구 양재동 114-2|37.4754139337|127.0359054939
806|토프레소|천안 연춘점|0415664584|충청남도 천안시 동남구 북면 충절로 1295|충남 천안시 동남구 북면 연춘리 187-3|36.7701590572|127.2508855581
803|토프레소|구미 금오산점|054-454-7557|경상북도 구미시 산책길 25|경북 구미시 원평동 470-7|36.1239885637|128.3334141993
802|토프레소|평택 지산점|070-8918-3323|경기 평택시 지산로37번길 60-5|경기 평택시 지산동 1001|37.0817720959|127.0604073949
801|토프레소|청주 율량2지구점|043-213-0808|충청북도 청주시 청원구 율량로32번길 8|충북 청주시 청원구 주중동 931|36.6730448637|127.4893163816
800|토프레소|대구 서문시장점|070-4197-7777|대구광역시 중구 큰장로26길 52|대구 중구 대신동 115-62|35.8684617719|128.5810391094
798|토프레소|고척 푸르지오점|02-2688-3269|서울특별시 구로구 중앙로15길 19|서울 구로구 고척동 339-19|37.5065314681|126.8587885589
794|토프레소|은행사거리점|070-4176-8821|서울특별시 노원구 중계로 202|서울 노원구 중계동 366-4|37.6508681995|127.0778041364
792|토프레소|강원 화천상서점|033-441-6388|강원도 화천군 상서면 영서로 7717|강원 화천군 상서면 산양리 738-40|38.2071904103|127.6623308215
791|토프레소|역삼 상록점|02-558-3838|서울특별시 강남구 언주로 514|서울 강남구 역삼동 700-3|37.5046513503|127.0422031401
790|토프레소|평택 박병원점|031-664-3377|경기도 평택시 송탄로 33|경기 평택시 장당동 470-4|37.0482286623|127.0569948373
789|토프레소|남양주 평내점|031-593-0945|경기도 남양주시 평내로29번안길 30|경기 남양주시 평내동 576-5|37.64534007460999|127.2342561135547
787|토프레소|아산 배방점|041-533-8140|충청남도 아산시 배방읍 모산로126번길 24|충남 아산시 배방읍 공수리 255-10|36.7725439365|127.0566646549
785|토프레소|충남 홍성법원점|041-631-6045|충청남도 홍성군 홍성읍 월산로50번길 15|충남 홍성군 홍성읍 월산리 835-1|36.5995987088|126.6472320764
784|토프레소|평택 비전프라자점|031-655-1223|경기도 평택시 평택1로 48|경기 평택시 비전동 630-12|36.996309212807006|127.08823134547124
781|토프레소|전주 전북대점|063-253-7780|전라북도 전주시 덕진구 명륜1길 13-1|전북 전주시 덕진구 금암동 707-7|35.84105993|127.129535585
779|토프레소|천안 청당점|041-568-1133|충청남도 천안시 동남구 청수14로 96|충남 천안시 동남구 청당동 551|36.7853039933|127.1568069652
778|토프레소|대전 관저점|042-544-0117|대전광역시 서구 관저북로 15|대전 서구 관저동 1757|36.303235226|127.3367276074
777|토프레소|광주기독병원점|062-653-0676|광주광역시 남구 양림로 37|광주 남구 양림동 264|35.1367074927685|126.91207654759671
776|토프레소|오류동점|02-2613-2636|서울특별시 구로구 고척로 49|서울 구로구 오류동 338|37.499394109894204|126.83935754583432
773|토프레소|천안 성거점|041-555-1977|충청남도 천안시 서북구 성거읍 성거길 117|충남 천안시 서북구 성거읍 저리 57-79|36.8758181602|127.2023009724
771|토프레소|청주 봉명점|043-268-1021|충청북도 청주시 흥덕구 직지대로 636|충북 청주시 흥덕구 봉명동 757|36.642773219189706|127.4634413922661
770|토프레소|청림점|02-883-0530|서울특별시 관악구 청림3길 10|서울 관악구 봉천동 10-4|37.48877442336203|126.95954259012897
768|토프레소|금천 힐스테이트점|02-895-7405||서울 금천구 시흥동 1026|37.44783419951404|126.90125095771265
767|토프레소|교대역점|전화없음|서울특별시 서초구 서초대로 301|서울 서초구 서초동 1692-13|37.4943757031|127.0146100833
766|토프레소|안산 월피공원점|031-401-0688|경기도 안산시 상록구 예술광장로 35|경기 안산시 상록구 월피동 445-29|37.32818457844371|126.84766610500782
765|토프레소|광교 숲속마을점|031-212-8572|경기도 용인시 수지구 광교호수로378번길 4-11|경기 용인시 수지구 상현동 1158-18|37.29761115307739|127.08038251560057
763|토프레소|일산 풍동점|031-901-6465|경기도 고양시 일산동구 숲속마을로 44|경기 고양시 일산동구 풍동 1280-1|37.66742018779986|126.7982946083898
762|토프레소|안산대점|031-501-1513|경기도 안산시 상록구 안산대학로 117|경기 안산시 상록구 일동 603-10|37.31058741644074|126.8703641818613
760|토프레소|청주 하복대점|043-239-1226|충청북도 청주시 흥덕구 대신로10번길 5-1|충북 청주시 흥덕구 복대동 3071|36.63383747972649|127.43627395868223
757|토프레소|서초역점|02-581-2435|서울특별시 서초구 반포대로28길 20|서울 서초구 서초동 1550-7|37.490528899581555|127.00979232451681
755|토프레소|광진구청점|02-453-9811|서울특별시 광진구 아차산로49길 41-5|서울 광진구 구의동 252-100|37.53873018335345|127.08397850319575
752|토프레소|평택 동삭점|031-654-8537|경기도 평택시 서재2길 20|경기 평택시 동삭동 655-6|37.01132489858824|127.09514769213969
749|토프레소|교대점|02-597-0519|서울특별시 서초구 서초중앙로22길 83|서울 서초구 서초동 1639-3|37.494212989085874|127.01842087771469
748|토프레소|안동 용상점|054-823-3733|경상북도 안동시 길주길 101-12|경북 안동시 용상동 600|36.55489674718967|128.76364948848916
747|토프레소|당진 신평점|041-362-5557|충청남도 당진시 신평면 거산3거리길 14|충남 당진시 신평면 거산리 46-15|36.879106990569504|126.75368041366248
741|토프레소|동서울 터미널점|02-447-1909|서울특별시 광진구 강변역로4길 34|서울 광진구 구의동 547|37.53415596261112|127.09222136307865
736|토프레소|남현점|02-586-5675|서울특별시 관악구 남현4길 1|서울 관악구 남현동 1081-17|37.4749016886|126.9765711466
734|토프레소|청주 성화점|043-234-8049|충청북도 청주시 서원구 장전로 73|충북 청주시 서원구 성화동 474|36.61742426245489|127.45648185145803
732|토프레소|김포 고촌점|031-996-1225|경기도 김포시 고촌읍 신곡로29번길 35|경기 김포시 고촌읍 신곡리 1104|37.60541385761953|126.7731397225475
729|토프레소|삼척점|033-575-5355|강원도 삼척시 진주로 42|강원 삼척시 남양동 32-12|37.44440774445758|129.16423255348013
727|토프레소|성수역점|02-463-8993|서울특별시 성동구 연무장7길 16|서울 성동구 성수동2가 315-58|37.543977494088224|127.0550956629942
725|토프레소|안산 본오점|031-406-6808|경기도 안산시 상록구 샘골로 129|경기 안산시 상록구 본오동 880-7|37.295378419271756|126.86280002297334
720|토프레소|군포 산본시장점|031-395-6500|경기도 군포시 금산로 55|경기 군포시 산본동 1036-2|37.3671047049|126.9386601714
719|토프레소|이천 하이닉스점|031-634-8882|경기도 이천시 대산로288번길 107|경기 이천시 고담동 71-1|37.25038659085422|127.47366284127415
715|토프레소|김천 시청점|054-436-1542|경상북도 김천시 시청1길 25|경북 김천시 신음동 1283-6|36.1405224867|128.1151844027
713|토프레소|중앙대점|02-814-5533|서울특별시 동작구 서달로 157|서울 동작구 흑석동 100-45|37.50763095957278|126.96172092256947
712|토프레소|김해 안동 육거리점|055-322-1805|경상남도 김해시 삼안로 73|경남 김해시 안동 159-42|35.235787616986485|128.91730846326564
709|토프레소|평택 로데오점|031-654-4987|경기도 평택시 평택2로 26-1|경기 평택시 평택동 41-5|36.99334378704651|127.08938497015565
708|토프레소|인천 임학역점|032-215-6055|인천광역시 계양구 임학동로 37|인천 계양구 임학동 66-1|37.54530450793959|126.73644388828964
707|토프레소|청주 비하점|043-231-7972||충북 청주시 흥덕구 비하동 178|36.62955462614289|127.42448805069944
706|토프레소|강릉 내곡점|033-641-5884||강원 강릉시 내곡동 419-8|37.74069945409606|128.88191398369526
702|토프레소|천안 병천점|041-565-4103|충청남도 천안시 동남구 병천면 아우내순대길 38|충남 천안시 동남구 병천면 병천리 205-4|36.7609682813|127.2989820464
698|토프레소|평택 뉴코아사거리점|031-691-7986|경기도 평택시 문화촌로 7|경기 평택시 비전동 872-5|36.996603004933256|127.1136204731763
696|토프레소|증평 초중점|043-836-1227||충북 증평군 증평읍 초중리 614-1|36.7772705976433|127.5737918251533
693|토프레소|오산 세교점|031-374-3288|경기도 오산시 세마역로19번길 50|경기 오산시 세교동 607-1|37.184206597655766|127.04413462796843
691|토프레소|남원점|063-633-2221|전라북도 남원시 서문로 56|전북 남원시 금동 437-6|35.406433136048925|127.37235770982367
683|토프레소|평택 조개터점|031-657-2146|경기도 평택시 조개터로34번길 11|경기 평택시 합정동 896-9|36.99013376624071|127.10316413687349
682|토프레소|석관한천로점|02-968-2454|서울특별시 성북구 한천로 578|서울 성북구 석관동 182-44|37.61128247409438|127.06268542135674
680|토프레소|평택 비전점|031-656-4660|경기도 평택시 평택4로 97|경기 평택시 비전동 811-2|36.99660437037607|127.10220675493814
679|토프레소|포천 강남스포렉스점|031-544-6700|경기도 포천시 소흘읍 솔모루로 124-18|경기 포천시 소흘읍 송우리 87-3|37.83200417620254|127.15053535703765
676|토프레소|이천 모가점|031-631-2747|경기도 이천시 모가면 진상미로 1246|경기 이천시 모가면 진가리 67-45|37.16724681014093|127.48052942751994
674|토프레소|아산 용화점|041-545-0706|충청남도 아산시 용화고길 5-39|충남 아산시 용화동 1285|36.77328360345902|127.00551104596616
672|토프레소|평택 송탄출장소점|031-664-1636|경기도 평택시 특구로27번길 5|경기 평택시 서정동 815-8|37.06784384804963|127.06290161730818
671|토프레소|안성 공도점|031-652-0387|경기도 안성시 공도읍 공도2로 7-15|경기 안성시 공도읍 만정리 804-6|37.001230746896255|127.16967704338441
667|토프레소|가재울점|02-373-1390|서울특별시 서대문구 거북골로 150|서울 서대문구 북가좌동 107-5|37.57556313773906|126.91317269774349
664|토프레소|창동점|02-993-3040|서울특별시 도봉구 노해로70길 46|서울 도봉구 창동 27-3|37.6503276677577|127.05136667779138
663|토프레소|천안 목천신계점|041-552-1047|충청남도 천안시 동남구 목천읍 목천안터1길 4|충남 천안시 동남구 목천읍 신계리 139-1|36.77315446510049|127.20885919855642
660|토프레소|함안 호암점|055-586-7373|경상남도 함안군 칠원읍 호암길 22|경남 함안군 칠원읍 오곡리 125-10|35.27521326267067|128.52111798438048
659|토프레소|여수 미평점|061-652-5061|전라남도 여수시 만성로 84|전남 여수시 미평동 668-1|34.770508858695955|127.70511030710337
656|토프레소|정읍점|063-533-3377|전라북도 정읍시 정읍남로 1358|전북 정읍시 시기동 503-2|35.559263741897524|126.85106339331223
655|토프레소|평택 세교점|031-656-4244|경기도 평택시 세교3로 38|경기 평택시 세교동 563-1|36.99957564597326|127.08193261218598
653|토프레소|군포 산본중심가점|031-391-3363|경기도 군포시 산본로323번길 4-11|경기 군포시 산본동 1130-1|37.35987163827411|126.93272410798602
652|토프레소|영천점|054-333-5353|경상북도 영천시 하이브리드로 700-129|경북 영천시 봉동 615|35.931666849733624|128.94820055265953
651|토프레소|안산 스타프라자점|031-482-6564|경기 안산시 상록구 화랑로 495|경기 안산시 상록구 성포동 583|37.321818264282044|126.84380916214385
649|토프레소|오산 서울어린이병원점|031-372-4050|경기도 오산시 경기대로 209|경기 오산시 원동 789-12|37.14344647132001|127.07308018897487
648|토프레소|용두역점|02-962-0010|서울특별시 동대문구 고산자로 397|서울 동대문구 용두동 40-35|37.575046195460146|127.03771358293804
636|토프레소|천안 신부SUDA점|041-552-9087|충청남도 천안시 동남구 터미널9길 54|충남 천안시 동남구 신부동 631|36.82280237882836|127.15851091489351
631|토프레소|인천 부평롯데시네마점|032-361-3245|인천광역시 부평구 대정로 66|인천 부평구 부평동 152-1|37.49379894797738|126.7265947928735
629|토프레소|천안 구성점|041-552-3300|충청남도 천안시 동남구 구성6길 2|충남 천안시 동남구 구성동 455-9|36.794653226757596|127.16402149126321
627|토프레소|방배카페골목점|02-535-8620|서울특별시 서초구 동광로11길 59|서울 서초구 방배동 779-2|37.493853126698454|126.98545221269816
625|토프레소|안산 한양대점|031-407-3406|경기도 안산시 상록구 학사2길 2-1|경기 안산시 상록구 사동 1154-1|37.29956467946714|126.83855412117491
624|토프레소|평택 팽성점|031-618-0999|경기도 평택시 팽성읍 부용로 29|경기 평택시 팽성읍 송화리 779-3|36.963446721906635|127.05903142178671
622|토프레소|창원 용호점|055-275-5553|경상남도 창원시 의창구 용지로153번길 6|경남 창원시 의창구 용호동 73-17|35.22906731128906|128.68072605622731
621|토프레소|대치점|02-555-6549|서울특별시 강남구 삼성로63길 17|서울 강남구 대치동 932-9|37.4995765776938|127.05874124221124
618|토프레소|울진 후포점|054-788-5007|경상북도 울진군 후포면 후포삼율로 118|경북 울진군 후포면 삼율리 63-11|36.68035814526312|129.44261424512442
616|토프레소|안성 비룡점|031-673-0633|경기도 안성시 비룡로 89|경기 안성시 석정동 332|37.01436372186348|127.26157645937053
615|토프레소|인천 청라지구점|032-668-5959|인천광역시 서구 청라에메랄드로41번길 15|인천 서구 연희동 806-10|37.52922832730256|126.65507841501703
612|토프레소|양평동사거리점|02-865-2004|서울특별시 영등포구 양평로12가길 2|서울 영등포구 당산동6가 346-2|37.536141518365966|126.90080085587797
605|토프레소|당진 합덕점|041-362-7970|충청남도 당진시 우강면 덕평로 604|충남 당진시 우강면 송산리 399-7|36.81282989861278|126.77599321080201
603|토프레소|상계3동점|02-952-1008|서울특별시 노원구 덕릉로112길 48|서울 노원구 상계동 107-1793|37.666475227152546|127.08016093114655
602|토프레소|광양 광영점|061-795-8377|전라남도 광양시 금영로 135-8|전남 광양시 광영동 784-16|34.96285483849329|127.7188419147196
601|토프레소|목동 14단지점|02-2652-9126|서울특별시 양천구 신목로 23-2|서울 양천구 신정동 295-138|37.51751991729027|126.87458542760383
597|토프레소|안산 상록구청점|031-419-4401|경기도 안산시 상록구 석호로 98|경기 안산시 상록구 사동 1183-5|37.3025691663|126.8470207245
596|토프레소|화성 송산점|031-357-0887|경기도 화성시 송산면 사강로 161|경기 화성시 송산면 사강리 694-8|37.213101172973445|126.7339762021317
592|토프레소|고척동점|02-6414-5632|서울특별시 구로구 경인로47길 134|서울 구로구 고척동 50-27|37.50446535945527|126.86329481293143
591|토프레소|용인구성점|031-284-1311|경기도 용인시 기흥구 구성로 87|경기 용인시 기흥구 언남동 338-1|37.2948772332|127.1190840607
590|토프레소|논산 강경점|041-745-7511|충청남도 논산시 강경읍 계백로 127-1|충남 논산시 강경읍 대흥리 10-170|36.1563119895|127.0146912687
585|토프레소|원효로점|02-702-3678|서울특별시 용산구 효창원로 6-4|서울 용산구 원효로4가 135|37.53382135261309|126.95087432195919
584|토프레소|태안점|041-673-0013|충청남도 태안군 태안읍 동백로 311|충남 태안군 태안읍 동문리 882-8|36.74811851212051|126.30432824217354
582|토프레소|전주 문학초점|063-228-0922|전라북도 전주시 완산구 문학대5길 21|전북 전주시 완산구 효자동3가 1612-9|35.827351247664936|127.10413920714894
581|토프레소|증산벚꽃길점|02-302-9372|서울특별시 은평구 증산로 299|서울 은평구 증산동 169-3|37.58398902946913|126.90931072047391
578|토프레소|청주 중흥로점|043-285-2582|충청북도 청주시 상당구 중흥로 183|충북 청주시 상당구 용암동 2582|36.6191501762669|127.51291172339422
575|토프레소|은행나무사거리점|02-802-4213|서울특별시 금천구 탑골로 5|서울 금천구 시흥동 830-22|37.451105165101325|126.9100760275016
573|토프레소|석관점|02-963-2925|서울특별시 성북구 화랑로32길 149|서울 성북구 석관동 261-194|37.60451048580532|127.0603836426128
571|토프레소|논산 오거리점|041-734-1427|충청남도 논산시 계백로 976|충남 논산시 취암동 595-4|36.20190827776469|127.08601930143986
570|토프레소|진천점|043-534-3107|충청북도 진천군 진천읍 중앙서로 51|충북 진천군 진천읍 읍내리 371|36.85506673191561|127.44201326765706
565|토프레소|성남 태평점|031-758-9283|경기도 성남시 수정구 수정로 92|경기 성남시 수정구 수진동 2935|37.44028884554295|127.13059372542547
563|토프레소|논산점|041-735-6570|충청남도 논산시 중앙로384번길 15-8|충남 논산시 취암동 1062-11|36.20018341581376|127.09084310577398
560|토프레소|서산 한서대점|041-688-7024|충청남도 서산시 해미면 대곡2길 54|충남 서산시 해미면 대곡리 405-6|36.690993309082984|126.58055652333578
559|토프레소|청원 오송점|043-238-8838|충청북도 청주시 흥덕구 오송읍 오송생명3로 65-33|충북 청주시 흥덕구 오송읍 연제리 717|36.6308006525284|127.32976177561944
556|토프레소|청양점|041-944-1259|충청남도 청양군 청양읍 중앙로9길 5|충남 청양군 청양읍 읍내리 201-3|36.451421787858884|126.80241409867844
554|토프레소|이태원점|02-6349-1333|서울특별시 용산구 보광로59길 50|서울 용산구 이태원동 64-24|37.53391458903368|126.99125421520662
