번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
20|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000018|20140915||01|영업/정상|13|영업중||||||||서울특별시 종로구 혜화동 163-22번지 |서울특별시 종로구 대학로14길 24 (혜화동)|03084|더 프레젠트 게스트하우스(The Present Guesthouse)|20180208110904|I|2018-08-31 23:59:59.0||200167.774746302    |453565.429746178    |외국인관광 도시민박업||일반주거지역|1|학교정화(상대)|||단독주택|1|||||||||||||62.81|||||||||50000000||||63
21|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000017|20140829||01|영업/정상|13|영업중|||||070-8966-0955|||서울특별시 종로구 명륜2가 195-10번지 |서울특별시 종로구 창경궁로 243-3 (명륜2가)|03074|봉 백팩커스(Bong Backpackers)|20180208110839|I|2018-08-31 23:59:59.0||199828.530201124    |453468.553768826    |외국인관광 도시민박업||일반상업지역|4|기타|||다가구용 주택(공동주택적용)|3|1||||||||||||123.97|||||||||50000000||||124
22|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000016|20140812||01|영업/정상|13|영업중|||||02-764-0685|||서울특별시 종로구 혜화동 15-166번지 |"서울특별시 종로구 혜화로6가길 14, 166호 (혜화동)"|03067|하얀 토끼 게스트하우스(White Rabbit Guesthouse)|20180208110815|I|2018-08-31 23:59:59.0||200037.924310125    |454148.71595501     |외국인관광 도시민박업||주거지역|2|주택가주변|||단독주택|2|||||||||||||229.45|||||||||||||229
23|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000015|20140806||01|영업/정상|13|영업중||||||||서울특별시 종로구 명륜3가 85-5번지 201호|"서울특별시 종로구 창경궁로27길 66-12, 201호 (명륜3가)"|03073|윈드로드 앤 플라워 게스트하우스(Windroad & Flower Guesthouse|20180208110736|I|2018-08-31 23:59:59.0||199622.462205603    |453550.718553834    |외국인관광 도시민박업||일반주거지역|3|학교정화(상대)|||다가구용 주택(공동주택적용)|2|1||||||||||||36|||||||||20000000||||36
24|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000014|20140730||01|영업/정상|13|영업중||||||||서울특별시 종로구 관수동 161-6번지 |서울특별시 종로구 종로16길 31-8 (관수동)|03191|서울 게스트하우스|20180208110708|I|2018-08-31 23:59:59.0||198967.787281378    |451809.264639254    |외국인관광 도시민박업||일반상업지역|1|유흥업소밀집지역|||단독주택|1|||||||||||||45.83|||||||||50000000||||46
25|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000013|20140723||01|영업/정상|13|영업중||||||||서울특별시 종로구 신교동 75-1번지 |서울특별시 종로구 자하문로 97-13 (신교동)|03032|오 마이 게스트하우스|20180309103745|I|2018-08-31 23:59:59.0||197259.77541079     |453564.162968827    |외국인관광 도시민박업||일반주거지역|2|학교정화(상대)|||단독주택|2||8|131|OH MY GUESTHOUSE|Traditional Korean housing experiencing business||||||||131.27|||||||||100000000||||131
26|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000012|20140612||01|영업/정상|13|영업중||||||||서울특별시 종로구 통의동 35-68번지 |서울특별시 종로구 자하문로6길 14 (통의동)|03044|숨바꼭질(Hide & Seek)|20190312180008|U|2019-03-14 02:40:00.0||197528.669594576    |452859.908108473    |외국인관광 도시민박업||일반주거지역|4|주택가주변|||단독주택|3|1|5||Hide & Seek|Urban Tourist Home for Foreigner Only||||||||229.09|||||||||50000000||||229
27|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000011|20140609||01|영업/정상|13|영업중||||||||서울특별시 종로구 창신동 583-91번지 |서울특별시 종로구 창신길 80-5 (창신동)|03096|비하우스(B-House)|20180208110556|I|2018-08-31 23:59:59.0||200891.769017823    |452531.494422428    |외국인관광 도시민박업||일반주거지역|1|주택가주변|||단독주택|1|||||||||||||62.8|||||||||1000000||||63
28|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000026|20171211||01|영업/정상|13|영업중||||||||서울특별시 종로구 통인동 79-2번지 |서울특별시 종로구 자하문로11길 21 (통인동)|03036|럭키엠|20180116103606|I|2018-08-31 23:59:59.0||197279.4797179      |453044.973178608    |외국인관광 도시민박업||일반주거지역|3|기타|||단독주택|3|0|2||Lucky M|Urban Tourist Home for Foreigner Only||||||||210|||||||||||||210
29|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000025|20171023||01|영업/정상|13|영업중||||||||서울특별시 종로구 누하동 169번지 |서울특별시 종로구 필운대로3길 14-3 (누하동)|03039|민국이네 집|20171206171904|I|2018-08-31 23:59:59.0||197127.618294086    |452926.744610614    |외국인관광 도시민박업||일반주거지역|3|기타|||단독주택|3||2||MIN KUK HOUSE|Urban Tourist Home for Foreigner Only||||||||153.69|||||||||||||154
30|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000021|20170802||01|영업/정상|13|영업중||||||||"서울특별시 종로구 이화동 8-6번지 1,2층 "|"서울특별시 종로구 이화장1나길 13, 1,2층 (이화동)"|03088|게스트하우스 이화 휴|20170802092419|I|2018-08-31 23:59:59.0||200514.891465768    |452821.695804417    |외국인관광 도시민박업||주거지역|3|주택가주변|||단독주택|2|1|||GUESTHOUSE EEHWA HUE|Urban Tourist Home for Foreigner Only||||||||146.58|||||||||||||147
31|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000020|20170623||03|폐업|03|폐업|20180220|||||||서울특별시 종로구 명륜1가 56-4번지 |서울특별시 종로구 혜화로3길 38 (명륜1가)|03068|종로하우스|20180220145659|I|2018-08-31 23:59:59.0||199782.832423875    |453797.888389191    |외국인관광 도시민박업||일반주거지역|2|주택가주변|||단독주택|2||||JONGNOHOUSE|Urban Tourist Home for Foreigner Only||||||||189.5|||||||||||||190
32|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000013|20170515||01|영업/정상|13|영업중||||||||서울특별시 종로구 신문로2가 1-104번지 303호|"서울특별시 종로구 경희궁1길 32, 303호 (신문로2가, 신문로하우스)"|03176|HS HOUSE|20170515141022|I|2018-08-31 23:59:59.0||197215.990057317    |452256.378094949    |외국인관광 도시민박업||일반주거지역|1|주택가주변|||다세대주택|1||||HS HOUSE|Urban Tourist Home for Foreigner Only||||||||47.73|||||||||||||48
33|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000012|20170502||01|영업/정상|13|영업중||||||||서울특별시 종로구 신문로2가 1-104번지 403호|"서울특별시 종로구 경희궁1길 32, 403호 (신문로2가, 신문로하우스)"|03176|엠엠게스트하우스|20180116103207|I|2018-08-31 23:59:59.0||197215.990057317    |452256.378094949    |외국인관광 도시민박업||일반주거지역||주택가주변|||다가구용 주택(공동주택적용)|1||||MM GUESTHOUSE|Urban Tourist Home for Foreigner Only||||||||47.73|||||||||||||48
34|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000019|20170621||01|영업/정상|13|영업중||||||||서울특별시 종로구 창신동 23-702번지 |서울특별시 종로구 창신6길 65 (창신동)|03096|창신동숙|20170621095407|I|2018-08-31 23:59:59.0||200998.483858705    |452687.301893318    |외국인관광 도시민박업||일반주거지역|2|주택가주변|||단독주택|2||||CHANGSHINDONGSUK|Urban Tourist Home for Foreigner Only||||||||80.63|||||||||||||81
35|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000008|20170316||01|영업/정상|13|영업중||||||||서울특별시 종로구 안국동 113번지 2층 |"서울특별시 종로구 율곡로5길 20, 2층 (안국동)"|03060|라비|20170316102614|I|2018-08-31 23:59:59.0||198592.271893129    |452754.474653149    |외국인관광 도시민박업||일반주거지역|2|기타|||단독주택|2||||LAVIE|Urban Tourist Home for Foreigner Only|||||||||||||||||||||
36|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212015000005|20150528||01|영업/정상|13|영업중|||||02-396-7425|||서울특별시 종로구 부암동 35번지 |서울특별시 종로구 백석동1길 13 (부암동)|03020|게스트하우스 더 김스(Guesthouse The Kims(|20180208111428|I|2018-08-31 23:59:59.0||197167.748744408    |454757.185160623    |외국인관광 도시민박업||자연녹지지역|3|기타||객실 4개|단독주택|3|0||||||||||||217.82|||||||||||||218
37|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212018000008|20180904||01|영업/정상|13|영업중||||||||서울특별시 종로구 홍지동 76-3번지 |서울특별시 종로구 세검정로 227-10 (홍지동)|03015|조이하슬라2|20181016175608|U|2018-10-18 02:35:39.0||196213.727021156    |455410.872677967    |외국인관광 도시민박업||일반주거지역|2|주택가주변|||단독주택|2||3|180|JoyHasla2|Urban Tourist Home for Foreigner Only||||||||180.39|||||||||||||180
38|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212018000007|20180821||01|영업/정상|13|영업중||||||||서울특별시 종로구 명륜2가 100-2번지 |서울특별시 종로구 성균관로6길 16-1 (명륜2가)|03074|네이버후드게스트하우스|20180821174348|I|2018-08-31 23:59:59.0||199734.137381135    |453655.961077769    |외국인관광 도시민박업||주거지역|1|주택가주변|||단독주택|1||2|28|Neighborhood Guesthouse|Urban Tourist Home for Foreigner Only||||||||27.8|||||||||||||28
39|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000010|20140529||03|폐업|03|폐업|20150921||||||110500|서울특별시 종로구 이화동 9-477번지 |서울특별시 종로구 이화장1나길 29-1 (이화동)||로즈 앤 캔디(Rose and Candy)|20150921151420|I|2018-08-31 23:59:59.0||200584.034206043    |452817.143734377    |외국인관광 도시민박업||일반주거지역|2|주택가주변|||단독주택|2|||||||||||||39.67|||||||||||||40
40|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000009|20140528||01|영업/정상|13|영업중|||||02-722-0048|||서울특별시 종로구 관훈동 55-1번지 4.5층 |"서울특별시 종로구 인사동12길 10, 4.5층 (관훈동)"|03146|예하도예 게스트하우스(YEHADOYE guesthouse)|20180208110529|I|2018-08-31 23:59:59.0||198610.084299909    |452459.798694503    |외국인관광 도시민박업||상업지역|6|유흥업소밀집지역|||단독주택|5|1||||||||||||180.8|||||||||||||181
41|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000008|20140526||01|영업/정상|13|영업중|||||02-735-8200|||"서울특별시 종로구 팔판동 21-1번지 2층, 3층 "|"서울특별시 종로구 팔판길 32, 2층, 3층 (팔판동)"|03054|에이 하우스(A☆House)|20180208110454|I|2018-08-31 23:59:59.0||198280.396859841    |453435.549916743    |외국인관광 도시민박업||일반주거지역|4|주택가주변|||다가구용 주택(공동주택적용)|3|1||||||||||||165.3|||||||||10000000||||165
42|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000007|20140429||01|영업/정상|13|영업중||||||||서울특별시 종로구 통인동 106번지 |서울특별시 종로구 자하문로13길 4 (통인동)|03036|프리미엄 게스트하우스|20180208110421|I|2018-08-31 23:59:59.0||197358.317741641    |453096.853268491    |외국인관광 도시민박업||일반주거지역|4|주택가주변|||단독주택|3|1||||||||||||186.68|||||||||||||187
43|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212018000005|20180420||01|영업/정상|13|영업중||||||||"서울특별시 종로구 계동 14-1번지 3,4층 "|"서울특별시 종로구 계동길 121, 3,4층 (계동)"|03056|121북촌|20180713112610|I|2018-08-31 23:59:59.0||198758.522828506    |453380.81925905     |외국인관광 도시민박업||일반주거지역|5|기타|||단독주택|4|1|3||121BUCKCHON|Urban Tourist Home for Foreigner Only||||||||110.94|||||||||||||111
44|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000006|20140324||03|폐업|03|폐업|20170630||||||110035|서울특별시 종로구 옥인동 157-2번지 2층 |"서울특별시 종로구 옥인길 32-2, 2층 (옥인동)"||서촌비앤비(Seochon B&B SRAN)|20170713174031|I|2018-08-31 23:59:59.0||197018.775734968    |453205.624602166    |외국인관광 도시민박업||일반주거지역|3|주택가주변|||다가구용 주택(공동주택적용)|3|||||||||||||125|||||||||||||125
45|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000005|20140323||03|폐업|03|폐업|20150121||||||110818|서울특별시 종로구 부암동 306-23번지 |서울특별시 종로구 창의문로9길 18 (부암동)||부암 뜨락(Buam Garden)|20150127182619|I|2018-08-31 23:59:59.0||196579.777658401    |454485.413466918    |외국인관광 도시민박업||전용주거지역|2|주택가주변|||단독주택|2|||||||||||||166.84|||||||||||||167
46|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212018000004|20180418||01|영업/정상|13|영업중||||||||"서울특별시 종로구 인의동 89-15번지 1,2층 "|"서울특별시 종로구 창경궁로 123-20, 1,2층 (인의동)"|03136|아뜰리에|20180713112515|I|2018-08-31 23:59:59.0||199636.410863155    |452376.667974027    |외국인관광 도시민박업||일반상업지역|4|기타|||다가구용 주택(공동주택적용)|3|1|11||ATELIER|Urban Tourist Home for Foreigner Only||||||||166.32|||||||||||||166
47|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212018000003|20180319||01|영업/정상|13|영업중||||||||"서울특별시 종로구 창신동 23-513번지 2,3층 "|"서울특별시 종로구 창신12길 14, 2,3층 (창신동)"|03091|낙산발코니|20180713112837|I|2018-08-31 23:59:59.0||200816.683995137    |452981.344153441    |외국인관광 도시민박업||일반주거지역|3|주택가주변|||단독주택|3|0|7||Naksan balcony|Urban Tourist Home for Foreigner Only||||||||159.98|||||||||||||160
48|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000007|20170203||01|영업/정상|13|영업중||||||||서울특별시 종로구 혜화동 5-31번지 |서울특별시 종로구 혜화로16길 28 (혜화동)|03067|콩집 게스트하우스|20170203183636|I|2018-08-31 23:59:59.0||199978.73552356     |454289.006703775    |외국인관광 도시민박업||일반주거지역|2||||단독주택|2||||KONGZIP GUESTHOUSE|Urban Tourist Home for Foreigner Only||||||||145.46|||||||||||||145
49|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000024|20170907||01|영업/정상|13|영업중||||||||서울특별시 종로구 누하동 154번지 |서울특별시 종로구 필운대로5길 15 (누하동)|03039|샘154하우스|20170908165626|I|2018-08-31 23:59:59.0||197087.632022089    |453004.786554412    |외국인관광 도시민박업||일반주거지역|1|기타|||단독주택|1||||SAM154HOUSE|Urban Tourist Home for Foreigner Only||||||||18.18|||||||||||||18
50|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000028|20171228||01|영업/정상|13|영업중||||||||서울특별시 종로구 청운동 60번지 공동주택 (채옥희) 301호|"서울특별시 종로구 자하문로 115-18, 301호 (청운동, 공동주택 (채옥희))"|03031|HOUSE LOU|20180116103647|I|2018-08-31 23:59:59.0||197231.061031194    |453781.164095661    |외국인관광 도시민박업||일반주거지역|4|기타|||다가구용 주택(공동주택적용)|4|0|1||HOUSE LOU|Urban Tourist Home for Foreigner Only||||||||148|||||||||||||148
51|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000016|20170615||01|영업/정상|13|영업중||||||||서울특별시 종로구 필운동 28번지 3010호|"서울특별시 종로구 필운대로1길 43-3, 301호 (필운동, 경희궁빌라)"|03027|주성치가 올때까지|20170831104502|I|2018-08-31 23:59:59.0||197007.902340212    |452823.995212982    |외국인관광 도시민박업||일반주거지역|3|주택가주변|||다세대주택|3||||UNTIL STEFHEN CHOW COMES|Urban Tourist Home for Foreigner Only||||||||147.57|||||||||||||148
52|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000015|20170614||01|영업/정상|13|영업중||||||||서울특별시 종로구 필운동 28번지 202호|"서울특별시 종로구 필운대로1길 43-3, 202호 (필운동, 경희궁빌라)"|03027|배화하우스|20170615105402|I|2018-08-31 23:59:59.0||197007.902340212    |452823.995212982    |외국인관광 도시민박업||일반주거지역|3|주택가주변|||다세대주택|3||||BAEHWA HOUSE|Urban Tourist Home for Foreigner Only||||||||41.02|||||||||||||41
53|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212017000010|20170414||01|영업/정상|13|영업중||||||||서울특별시 종로구 운니동 32번지 |서울특별시 종로구 돈화문로11가길 77-8 (운니동)|03131|비원스테이|20170414095750|I|2018-08-31 23:59:59.0||199024.152638431    |452635.408087245    |외국인관광 도시민박업||녹지지역|3|기타|||단독주택|2|1|||BEEWON STAY|Urban Tourist Home for Foreigner Only||||||||86.28|||||||||||||86
54|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212013000003|20130328||03|폐업|03|폐업|20140507||||02-762-2926||110827|서울특별시 종로구 숭인동 766번지 종로청계힐스테이트 106동 902호|"서울특별시 종로구 숭인동길 21, 106동 902호 (숭인동, 종로청계힐스테이트)"||종로 동대문 홈스테이(Jongno Dongdaemoon Homestay)|20140507184506|I|2018-08-31 23:59:59.0||201798.834918812    |452637.556986205    |외국인관광 도시민박업||일반주거지역||학교정화(상대)|||아파트|9|||||||||||||114.72|||||||||||||115
