번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
13|자동차야영장업|03_11_05_P|3480000|CDFI2262142016000001|20160517||01|영업/정상|13|영업중|||||053-659-4150~4|||대구광역시 달성군 구지면 오설리 756번지 |대구광역시 달성군 구지면 구지서로 199|43011|낙동강 레포츠밸리 구지오토캠핑장|20170622213517|I|2018-08-31 23:59:59.0||323956.983877       |242287.993142       |자동차야영장업||자연녹지지역|3|기타|||근린생활시설|3|0||99980||||||||||6887|||||||||||||6887
14|자동차야영장업|03_11_05_P|3480000|CDFI2262142017000001|20170405||01|영업/정상|13|영업중|||||053-659-4151|||대구광역시 달성군 구지면 오설리 873번지 |||낙동강 레포츠밸리 강변오토캠핑장|20170515185904|I|2018-08-31 23:59:59.0||323627.328889       |242373.637519       |자동차야영장업||자연녹지지역||기타|||||||||||||||||7132|||||||||||||7132
15|자동차야영장업|03_11_05_P|3490000|CDFI2262142011000001|20111007||01|영업/정상|13|영업중|||||032-751-0022||400841|인천광역시 중구 중산동 1850-7번지 |||만정 캠핑장|20141017110312|I|2018-08-31 23:59:59.0||160358.450495092    |445889.183834925    |자동차야영장업||자연녹지지역||기타|||||||||||||||||3306|||||||||500000000||||3306
16|자동차야영장업|03_11_05_P|3570000|CDFI2262142012000001|20120803||03|폐업|03|폐업|20170912||||032-933-0400||417891|인천광역시 강화군 내가면 고천리 293-10번지 |인천광역시 강화군 내가면 고비고개로 663|23018|삼별초오토캠프장|20170912161310|I|2018-10-09 15:19:31.0||148548.489619655    |469482.536831902    |자동차야영장업||||||||||||||||||||||||||||||16000000||||
17|자동차야영장업|03_11_05_P|3570000|CDFI2262142013000001|20130516||01|영업/정상|13|영업중||||||||인천광역시 강화군 화도면 내리 2165-18번지 |인천광역시 강화군 화도면 해안남로 2680-12|23060|씨사이드힐캠핑장|20180528104739|I|2018-10-09 15:19:31.0||144798.408074444    |459366.581702144    |자동차야영장업||||||||||||||||||||||||||||||100000000||||
18|자동차야영장업|03_11_05_P|3570000|CDFI2262142015000001|20150818||01|영업/정상|13|영업중||||||||인천광역시 강화군 화도면 장화리 474번지 |||바다애오토캠핑장|20150818102146|I|2018-10-09 15:19:31.0||144920.105531178    |457884.100406106    |자동차야영장업||관리지역|1|기타|||기타|1|||||||||||||96.12|||||||||||||96
19|자동차야영장업|03_11_05_P|3570000|CDFI2262142015000002|20151012||01|영업/정상|13|영업중||||||||인천광역시 강화군 하점면 신삼리 177-3번지 |||연개소문관광농원캠핑장|20190329103312|U|2019-03-31 02:40:00.0||147763.169998614    |472629.976843658    |자동차야영장업||관리지역|1|기타|||기타||||||||||||||1000|||||||||||||1000
20|자동차야영장업|03_11_05_P|3570000|CDFI2262142019000001|20190313||01|영업/정상|13|영업중||||||||인천광역시 강화군 길상면 장흥리 211-75번지 |인천광역시 강화군 길상면 장흥로101번길 65|23052|아르보리아파크 캠핑장|20190313132317|I|2019-03-15 02:21:51.0||156477.312906645    |456683.663206254    |자동차야영장업|||2|기타|||기타|2|0||||||||||||114.24|||||||||50000000||||114
21|자동차야영장업|03_11_05_P|3570000|CDFI2262142017000001|20170713||01|영업/정상|13|영업중||||||||인천광역시 강화군 길상면 선두리 907-3번지 |인천광역시 강화군 길상면 해안남로 760-22|23051|햇솔오토캠핑장|20170713171522|I|2018-10-09 15:19:31.0||154333.55847352     |456265.792893793    |자동차야영장업||||||||||||||||||||||||||||||100000000||||
22|자동차야영장업|03_11_05_P|3580000|CDFI2262142018000001|20180315||01|영업/정상|13|영업중||||||||인천광역시 옹진군 영흥면 선재리 491-9번지 |인천광역시 옹진군 영흥면 선재로186번길 86-22|23122|선재자동차야영장|20190421180238|U|2019-04-23 02:40:00.0||157904.272822635    |416468.690846588    |자동차야영장업||관리지역||기타|||근린생활시설||||118||||||||||5815|||||||||||||5815
23|자동차야영장업|03_11_05_P|3580000|CDFI2262142019000001|20190517||01|영업/정상|13|영업중||||||||인천광역시 옹진군 영흥면 선재리 148-6번지 |||자바카라반|20190517153903|I|2019-05-19 02:20:50.0||158213.545191562    |414838.135745946    |자동차야영장업|||||||||||||||||||||2225|||||||||500000000||||2225
24|자동차야영장업|03_11_05_P|3580000|CDFI2262142016000001|20160217||01|영업/정상|13|영업중||||||||인천광역시 옹진군 덕적면 서포리 569-20번지 |인천광역시 옹진군 덕적면 덕적남로587번길 28 (오토캠핑장)|23131|서포리 관광지 오토캠핑장|20190501113144|U|2019-05-03 02:40:00.0||121255.456895974    |413887.166173087    |자동차야영장업|||||||||||405||||||||||6450.3|||||||||||||6450
25|자동차야영장업|03_11_05_P|3620000|CDFI2262142019000001|20190522||01|영업/정상|13|영업중|||||0626078011|||광주광역시 북구 생용동 산 127-2번지 |광주광역시 북구 우치로 677 (생용동)|61028|광주패밀리랜드 카라반캠핑장|20190522173256|I|2019-05-24 02:20:53.0||189939.238971       |191422.862248       |자동차야영장업||자연녹지지역|1|||||1|||48||||||||||8222.5|||||||||||||8223
26|자동차야영장업|03_11_05_P|3620000|CDFI2262142015000001|20150526||01|영업/정상|13|영업중|||||062)613-6467||500460|광주광역시 북구 월출동 968번지 |광주광역시 북구 추암로 190 (월출동)|61002|광주시민의숲 야영장|20190409173644|U|2019-04-11 02:40:00.0||187828.65558        |192761.75979        |자동차야영장업|||1|기타|||근린생활시설|1|||115|||||||||||||||||||||||
27|자동차야영장업|03_11_05_P|3640000|CDFI2262142015000001|20150514||01|영업/정상|13|영업중|||||042-273-4174||300240|대전광역시 동구 상소동 1번지 |||상소오토캠핑장|20190415094936|U|2019-04-17 02:40:00.0||242093.553073       |304195.36176        |자동차야영장업|||||||||||217||||||||||16962|||||||||60000000||||16962
28|자동차야영장업|03_11_05_P|3660000|CDFI2262142016000001|20160613||01|영업/정상|13|영업중|||||0422702001|||대전광역시 서구 장안동 산 46-1번지 |"대전광역시 서구 장안로 461 (장안동, 장태산휴양림관리사무소)"|35428|장태산자연휴양림 캠핑장|20190422131310|U|2019-04-24 02:40:00.0||230649.167936       |301522.816011       |자동차야영장업|||||||||||||||||||||4237|||||||||||||4237
29|자동차야영장업|03_11_05_P|3680000|CDFI2262142015000002|20150703||01|영업/정상|13|영업중|||||9336575||306180|대전광역시 대덕구 미호동 481-2번지 |대전광역시 대덕구 대청로424번길 200 (미호동)|34316|로하스 가족공원 캠핑장|20170413175240|I|2018-08-31 23:59:59.0||242602.42870800000  |328839.57888500000  |자동차야영장업||자연녹지지역|1|기타|||사무실|1|||||||||||||37678|||||||||301000000||||37678
30|자동차야영장업|03_11_05_P|3680000|CDFI2262142015000001|20150518||01|영업/정상|13|영업중|||||070-4158-3360||306110|대전광역시 대덕구 장동 658-1번지 |대전광역시 대덕구 산디로231번길 27 (장동)|34345|산디마을 생태공원 오토캠핑장|20170904160131|I|2018-08-31 23:59:59.0||239675.856776       |321798.802053       |자동차야영장업||녹지지역||기타|||기타|1|||||||||||||3868|||||||||||||3868
31|자동차야영장업|03_11_05_P|3690000|CDFI2262142017000001|20170922||01|영업/정상|13|영업중|||||052-290-3933|||울산광역시 중구 장현동 469번지 |||황방산생태야영장|20181026161536|U|2018-10-28 02:36:25.0||411023.812168829    |234567.652582962    |자동차야영장업||자연녹지지역||기타|||||||157||||||||||9840|||||||||||||9840
32|자동차야영장업|03_11_05_P|3690000|CDFI2262142015000001|20150526||01|영업/정상|13|영업중|||||070-8282-6522||681340|울산광역시 중구 다운동 8번지 |||입화산 참살이 숲 야영장|20181026161023|U|2018-10-28 02:36:25.0||406378.066342187    |233177.24936834     |자동차야영장업||자연녹지지역|||||||||||||||||||3825|||||||||||||3825
33|자동차야영장업|03_11_05_P|3690000|CDFI2262142018000004|20181224||01|영업/정상|13|영업중||||||||울산광역시 중구 서동 639번지 세영 High-Tech 지식산업센터 |"울산광역시 중구 동천1길 40, 세영 High-Tech 지식산업센터 c동 2층 257호 (서동)"|44481|(주)하나관광 해외여행사|20181224180543|I|2018-12-26 02:20:29.0||412567.139445621    |234180.547307081    |자동차야영장업||일반상업지역|4|기타|||근린생활시설|2|||||||||||||71.38|||||||||150000000||||71
34|자동차야영장업|03_11_05_P|3690000|CDFI2262142018000003|20181203||01|영업/정상|13|영업중|||||052-290-3914|||울산광역시 중구 다운동 1번지 |||입화산참살이숲 제2오토캠핑장|20181203091309|I|2018-12-05 02:20:07.0||406880.343802132    |233298.736853517    |자동차야영장업||자연녹지지역|1|기타||||1|||68||||||||||9840|||||||||||||9840
35|자동차야영장업|03_11_05_P|3690000|CDFI2262142018000001|20180206||01|영업/정상|13|영업중||||||||울산광역시 중구 태화동 281번지 |||태화연 오토캠핑장|20181026155752|U|2018-10-28 02:36:25.0||407263.496607628    |231432.068627044    |자동차야영장업||자연녹지지역|||||||||79||||||||||9201|||||||||||||9201
36|자동차야영장업|03_11_05_P|3710000|CDFI2262142016000001|20161230||01|영업/정상|13|영업중|||||052-209-4530|||울산광역시 동구 일산동 909-1번지 |울산광역시 동구 등대로 100 (일산동)|44058|대왕암공원캠핑장|20170621122448|I|2018-08-31 23:59:59.0||421297.729835007    |223669.531482518    |자동차야영장업||자연녹지지역||기타|||||||||||||||||13047|||||||||||||13047
37|자동차야영장업|03_11_05_P|3730000|CDFI2262142014000001|20141014||01|영업/정상|13|영업중|||||052-229-8653||689824|울산광역시 울주군 상북면 등억리 18-2번지 |||작천정 별빛야영장|20150930150306|I|2018-08-31 23:59:59.0||||자동차야영장업|||||||||||||||||||||40182|||||||||4646770000||||40182
38|자동차야영장업|03_11_05_P|3730000|CDFI2262142015000001|20150420||01|영업/정상|13|영업중|||||||689823|울산광역시 울주군 상북면 이천리 619번지 |울산광역시 울주군 상북면 배내로 1064-4|44909|들살이오토캠핑장|20150702131739|I|2018-08-31 23:59:59.0||382303.575740029    |227957.545357484    |자동차야영장업||관리지역|||||||||||||||||||1752|||||||||||||1752
39|자동차야영장업|03_11_05_P|3730000|CDFI2262142015000002|20150427||01|영업/정상|13|영업중|||||||689823|울산광역시 울주군 상북면 덕현리 330번지 |울산광역시 울주군 상북면 삽재로 169-5|44901|캠핑월드|20181213175702|U|2018-12-15 02:40:00.0||386158.682850389    |238279.956742552    |자동차야영장업||자연녹지지역||기타|||||||||||||||||1580|||||||||||||1580
40|자동차야영장업|03_11_05_P|3730000|CDFI2262142016000001|20161109||01|영업/정상|13|영업중|||||||689823|울산광역시 울주군 상북면 454-28번지 |울산광역시 울주군 상북면 삽재4길 5|44901|천리안 캠프힐|20190404103017|U|2019-04-06 02:40:00.0||386419              |239881              |자동차야영장업||자연녹지지역||기타|||||||||||||||||5313|||||||||||||5313
41|자동차야영장업|03_11_05_P|3740000|CDFI2262142013000001|20130730||01|영업/정상|13|영업중|||||031-228-4183||443280|경기도 수원시 영통구 하동 1023번지 |||광교호수공원 가족캠핑장|20130730142634|I|2018-08-31 23:59:59.0||205442.751613894    |419549.174892148    |자동차야영장업|||1||||||||||||||||||5320|||||||||||||5320
42|자동차야영장업|03_11_05_P|3780000|CDFI2262142015000001|20150731||01|영업/정상|13|영업중|||||003107294299||461829|경기도 성남시 수정구 복정동 108번지 |경기도 성남시 수정구 가마절로 47 (복정동)|461829|성남시 가족캠핑숲|20190220111837|U|2019-02-22 02:40:00.0||212260.270756925    |439587.744948382    |자동차야영장업|||||||기타|1|||||||||||||68.12|||||||||||||68
43|자동차야영장업|03_11_05_P|3820000|CDFI2262142016000001|20161012||01|영업/정상|13|영업중|||||0318735624|||경기도 의정부시 호원동 205-4번지 서울 YMCA 다락원 캠프장 |"경기도 의정부시 평화로49번길 63 (호원동, 서울YMCA다락원캠프장)"|11648|서울 YMCA 다락원 캠프장|20190318174815|U|2019-03-20 02:40:00.0||203524.10493466     |466008.531165486    |자동차야영장업|||||||||||||||||||||4602|||||||||||||4602
44|자동차야영장업|03_11_05_P|3910000|CDFI2262142015000001|20150416||01|영업/정상|13|영업중|||||070-8915-2261||451864|경기도 평택시 진위면 봉남리 432번지 |경기도 평택시 진위면 진위서로 264-15|17714|진위천 시민유원지 자동차야영장|20170929183712|I|2018-08-31 23:59:59.0||207629.69589382     |399599.029563384    |자동차야영장업||||||||||||JinWicheon Pleasure Ground Car Campground|Car Campground||||||||12497|||||||||||||12497
45|자동차야영장업|03_11_05_P|3920000|CDFI2262142018000001|20180411||01|영업/정상|13|영업중||||||||경기도 동두천시 안흥동 45-39번지 |경기도 동두천시 안흥로 65-42 (안흥동)|11304|파인힐빌리지 캠핑장|20181221131631|U|2018-12-23 02:40:00.0||203783.374767621    |491201.113544202    |자동차야영장업||녹지지역|1|기타|||기타|1|||115||||||||||4726|||||||||||||4726
46|자동차야영장업|03_11_05_P|3930000|CDFI2262142013000001|20130514||01|영업/정상|13|영업중|||||||425866|경기도 안산시 단원구 초지동 667번지 |경기도 안산시 단원구 동산로 268 (초지동)|15385|안산화랑오토캠핑장|20190612110339|U|2019-06-14 02:40:00.0||183479.261499491    |424858.218889564    |자동차야영장업||||||||||||||||||||||||||||||||||
47|자동차야영장업|03_11_05_P|3930000|CDFI2262142014000001|20141029||01|영업/정상|13|영업중|||||032-888-0711||425310|경기도 안산시 단원구 선감동 717-10번지 |경기도 안산시 단원구 대부황금로 17-2 (선감동)|15652|탄도항 노을 캠핑장|20180917141156|U|2018-09-17 23:59:59.0||168449.396454837    |410342.636991929    |자동차야영장업|||||||||||||||||||||1046|||||||||||||1046
48|자동차야영장업|03_11_05_P|3980000|CDFI2262142017000001|20170816||01|영업/정상|13|영업중|||||031-550-3788|||경기도 구리시 토평동 51-6번지 |"경기도 구리시 왕숙천로 11-140 (토평동, 캠핑장관리동)"|11960|구리 토평 가족캠핑장|20180112181852|I|2018-08-31 23:59:59.0||213924.779981399    |453803.520082056    |자동차야영장업||자연녹지지역|1|기타|||복지시설|1|0||||||||||||4822|||||||||||||4822
49|자동차야영장업|03_11_05_P|3990000|CDFI2262142015000001|20151210||01|영업/정상|13|영업중||||||||경기도 남양주시 화도읍 구암리 8-2번지 |||구암농원|20151210181539|I|2018-08-31 23:59:59.0||233025.194951286    |463561.508187833    |자동차야영장업||관리지역|1|기타|||근린생활시설||||||||||||||79.2|||||||||300000000||||79
50|자동차야영장업|03_11_05_P|3990000|CDFI2262142017000001|20170413||01|영업/정상|13|영업중||||||||경기도 남양주시 화도읍 금남리 171-13번지 |||북한강뷰 캐라반파크 야영장|20170421072846|I|2018-08-31 23:59:59.0||232180.687490698    |460531.17534629     |자동차야영장업||||||||||||||||||||||||||||||200000000||||
51|자동차야영장업|03_11_05_P|3990000|CDFI2262142017000002|20171124||01|영업/정상|13|영업중||||||||경기도 남양주시 별내면 용암리 210번지 |경기도 남양주시 별내면 용암비루개길 195-50|12076|짱아|20180427143039|I|2018-08-31 23:59:59.0||211261.836747672    |470532.8815347      |자동차야영장업||||||||||||||||||||||||||||||50000000||||
52|자동차야영장업|03_11_05_P|3990000|CDFI2262142019000001|20190410||01|영업/정상|13|영업중||||||||경기도 남양주시 수동면 입석리 534번지 물골안유원지 |"경기도 남양주시 수동면 비룡로 945, 물골안유원지"|12029|물동네 힐링 야영장|20190410111656|I|2019-04-12 02:20:19.0||227777.610175607    |468394.873695882    |자동차야영장업||관리지역|1|기타|||숙박시설|1|||||||||||||196.62|||||||||||||197
53|자동차야영장업|03_11_05_P|4050000|CDFI2262142014000001|20140425||01|영업/정상|13|영업중|||||||449873|경기도 용인시 처인구 원삼면 문촌리 241-1번지 |경기도 용인시 처인구 원삼면 문촌로 174|17169|제일관광캠핑장|20181207115018|U|2018-12-09 02:40:00.0||226145.449507953    |406474.302812564    |자동차야영장업||관리지역||기타||||||3|||||||||||240|||||||||350000000||||240
54|자동차야영장업|03_11_05_P|4050000|CDFI2262142013000001|20130624||03|폐업|03|폐업|20161114||||||446916|경기도 용인시 기흥구 중동 38-6번지 |경기도 용인시 기흥구 동백죽전대로 209 (중동)|16995|토미파크캠핑장|20161115105526|I|2018-08-31 23:59:59.0||213976.609348458    |417664.91498414     |자동차야영장업||||||||||6|297||||||||||500|||||||||||||500
55|자동차야영장업|03_11_05_P|4050000|CDFI2262142014000002|20141007||01|영업/정상|13|영업중|||||||449822|경기도 용인시 처인구 양지면 대대리 299-1번지 |경기도 용인시 처인구 양지면 한터로 432-12|17039|한터팜오토캠핑장|20160427185726|I|2018-08-31 23:59:59.0||222338.839948938    |417663.983297753    |자동차야영장업|||||||||||||||||||||400|||||||||||||400
56|자동차야영장업|03_11_05_P|4060000|CDFI2262142007000001|20070628||03|폐업|03|폐업|20071009||||031-942-7155||413835|경기도 파주시 야당동 192-3번지 |경기도 파주시 송학1길 42  (야당동)||CARAVAN PARK RESORT|20071009130832|I|2018-08-31 23:59:59.0||179053.670369928    |467734.449044301    |자동차야영장업|관광사업|관리지역|1|기타|||근린생활시설|1|||||||||||||8835|||||||||272000000||||8835
57|자동차야영장업|03_11_05_P|4060000|CDFI2262142011000001|20111209||01|영업/정상|13|영업중|||||031-959-2222|||경기도 파주시 파평면 덕천리 289-1번지 |경기도 파주시 파평면 청송로 550 (임진강리조트)|10801|임진강리조트|20161019110329|I|2018-08-31 23:59:59.0||188373.528287506    |492660.450582904    |자동차야영장업||관리지역|||||||||||||||||||3511|||||||||50000000||||3511
58|자동차야영장업|03_11_05_P|4060000|CDFI2262142019000001|20190221||01|영업/정상|13|영업중||||||||경기도 파주시 파평면 두포리 121번지 |경기도 파주시 파평면 파평산로363번길 32-9|10809|동화힐링캠프|20190221131228|I|2019-02-23 02:21:58.0||185940.086263631    |487642.689238215    |자동차야영장업||관리지역|||||||||||||||||||42172|||||||||||||42172
59|자동차야영장업|03_11_05_P|4060000|CDFI2262142018000001|20181101||01|영업/정상|13|영업중||||||||경기도 파주시 문산읍 마정리 1153-3번지 |||평화누리캠핑장|20190429180332|U|2019-05-01 02:40:00.0||177437.817376839    |487927.016823232    |자동차야영장업||관리지역|||||||||||||||||||34177|||||||||||||34177
60|자동차야영장업|03_11_05_P|4080000|CDFI2262142019000001|20190627||01|영업/정상|13|영업중||||||||경기도 안성시 고삼면 쌍지리 151-7번지 |||풀무골 글램핑장|20190627125116|I|2019-06-29 02:21:48.0||225482.775349166    |402365.069525638    |자동차야영장업||관리지역|||||||||||||||||||2497|||||||||||||2497
61|자동차야영장업|03_11_05_P|4080000|CDFI2262142015000004|20151210||02|휴업|02|휴업||20181112|20190322||0316748255|||경기도 안성시 죽산면 매산리 251번지 |경기도 안성시 죽산면 죽양대로 136-17|17518|안성내츄럴리조트 오토캠핑장|20181207180551|U|2018-12-09 02:40:00.0||238904.442572491    |399267.482582988    |자동차야영장업||자연녹지지역|||||||||71||||||||||71.28|||||||||||||71
62|자동차야영장업|03_11_05_P|4080000|CDFI2262142017000001|20170530||01|영업/정상|13|영업중||||||||"경기도 안성시 양성면 동항리 621-4번지 , 동항리 621-6 "|경기도 안성시 양성면 도라지길 29-22|17502|집보다 캠핑장|20170530142524|I|2018-08-31 23:59:59.0||216218.672665265    |395413.798148931    |자동차야영장업||자연녹지지역|||||기타|||||||||||||||||||||||||||
63|자동차야영장업|03_11_05_P|4080000|CDFI2262142017000002|20170612||01|영업/정상|13|영업중||||||||경기도 안성시 삼죽면 율곡리 356-2번지 |경기도 안성시 삼죽면 밤고개안길 19-34|17511|율곡관광농원 야영장|20170612124847|I|2018-08-31 23:59:59.0||233846.377340647    |400059.0420283      |자동차야영장업|||||||||||0|||||||||||||||||||||||
64|자동차야영장업|03_11_05_P|4080000|CDFI2262142017000003|20171107||01|영업/정상|13|영업중||||||||"경기도 안성시 삼죽면 내장리 산 36-32번지 ,165-1,165-5,산36-30,산36-31,산36-34.산36-35,산36-37 "|경기도 안성시 삼죽면 상삼로 188-38 (외7필지)|17512|안성비봉산 캠핑장|20171107134410|I|2018-08-31 23:59:59.0||236166.783505738    |398658.949252593    |자동차야영장업|||||||||||||||||||||8377|||||||||||||8377
65|자동차야영장업|03_11_05_P|4080000|CDFI2262142018000001|20180503||01|영업/정상|13|영업중|||||031 678 2913|||경기도 안성시 금광면 상중리 산 19번지 |"경기도 안성시 금광면 배티로 185-39, [*미고시]"|17538|서운산 자연휴양림 자동차야영장|20181221175058|U|2018-12-23 02:40:00.0||227975.750131827    |382039.52022171     |자동차야영장업||관리지역||기타|||||||||||||||||7386|||||||||||||7386
66|자동차야영장업|03_11_05_P|4080000|CDFI2262142015000001|20150123||01|영업/정상|13|영업중|||||031-675-6675||456853|"경기도 안성시 서운면 인리 330-7번지 , 330-8 "|||샤토안오토캠핑장|20161027175138|I|2018-08-31 23:59:59.0||223819.461016046    |381779.196592272    |자동차야영장업|||||||||||128||||||||||3006|||||||||||||3006
67|자동차야영장업|03_11_05_P|4080000|CDFI2262142015000003|20151006||01|영업/정상|13|영업중|||||031-678-2673|||"경기도 안성시 보개면 복평리 302-5번지 302-7, 302-4 "|||안성맞춤캠핑장|20170922112902|I|2018-08-31 23:59:59.0||227743.291778602    |392119.891630818    |자동차야영장업|||||||||||18||||||||||9470|||||||||||||9470
68|자동차야영장업|03_11_05_P|4090000|CDFI2262142016000001|20160708||01|영업/정상|13|영업중||||||||경기도 김포시 하성면 전류리 114번지 |||김포황토테마파크|20160708145012|I|2018-08-31 23:59:59.0||169547.912295454    |466556.086581878    |자동차야영장업|||||||||||||||||||||2515|||||||||||||2515
69|자동차야영장업|03_11_05_P|4090000|CDFI2262142013000001|20130828||01|영업/정상|13|영업중|||||989-1000|||경기도 김포시 하성면 전류리 170-3번지 외 15필지 |경기도 김포시 하성면 월하로912번길 64 (한강오토캠핑장)|10013|김포한강오토캠핑장|20160108135002|I|2018-08-31 23:59:59.0||169312.901288787    |466775.414426957    |자동차야영장업||||||||||||||||||||||||||||||3005000000||||
