NAME|BRANCH|ADDR|TELL|ID
더샘|부산광복점|부산 중구 광복동2가 광복로 58|051-246-9528|86
더샘|부산반송점|부산 해운대구 반송동 722-5|051-542-8858|149
더샘|부산반여점|부산 해운대구 재반로 215 (반여동, 김밥나라) 1층(반여동)|051-781-3533|258
더샘|부산서면지하점(N2)|부산 부산진구 중앙대로 지하730 (부전동, 2호선 서면역내 상가)|051-803-9094|66336
더샘|부산수영점|부산 수영구 수영로705번길 9 (수영동)|051-752-3328|805
더샘|부여점|충남 부여군 부여읍 중앙로 14-4|041-835-1015|885
더샘|부천송내점|경기 부천시 소사구 송내대로 39번길 14 (송내동) 115|032-655-4440|329
더샘|부평지하점|인천 부평구 광장로 6|032-521-5133|48
더샘|산본점|경기 군포시 산본로 323번길 16-7 (산본동,롯데프라자) 101호|031-391-7083|221
더샘|삼척점|강원도 삼척시 진주로24 (남양동) 남양상가 104호|033-574-4161|344
더샘|서산예천점|충남 서산시 호수공원6로 58 (예천동) 104호|041-668-7008|228
더샘|서울대입구역점|서울 관악구 관악로 161 (봉천동) 1층|02-877-7083|486
더샘|서천점|충남 서천군 서천읍 서천로 158|041-952-5255|255
더샘|세이브존성남점|경기 성남시 수정구 산성대로 337 (신흥동) 세이브존 성남점 1층 더샘|070-8844-7083|75236
더샘|속초점|강원도 속초시 중앙로 137-1 (중앙동)|033-635-8805|65836
더샘|시흥점|서울 금천구 금하로 717 (시흥동)|02-803-4992|250
더샘|시흥정왕점|경기 시흥시 중심상가 3길 11-1 (정왕동, 영주빌딩) 102호|070-7785-2166|206
더샘|시흥하늘휴게소점|경기 화성 팔탄면 서해안고속도로 301 시흥하늘휴게소 2층|None|17236
더샘|아산온양점|충남 아산시 온천동 211-6|None|13336
더샘|안동점|경북 안동시 남문로 22-5 (삼산동)|054-841-7688|429
더샘|안양1번가점|경기 안양시 만안구 안양로292번길 17 (안양동) |031-464-2301|159
더샘|양산점|경남 양산시 물금읍 가촌리 1294-1|055-372-1311|364
더샘|양재역점|서울 서초구 양재동 12-1 신분당선 양재역 지하 1층 25호, 26호|02-529-7118|33
더샘|여천점|전남 여수시 망마로 51 (신기동)|061-681-3839|9236
더샘|영광점|전남 영광읍 백학리 8-1|061-351-7147|249
더샘|오류동점|서울 구로구 경인로 213 (오류동) |02-2688-9282|164
더샘|오산점|경기 오산시 오산로 212번길 6(원동)|031-374-2740|195
더샘|용인점|경기 용인 처인구 금령로90번길 1 (김량장동) 1층 2호|031-334-4915|15236
더샘|울산구영점|울산 울주군 범서읍 구영리 점촌3길 8-9|052-211-6366|121
더샘|의정부점|경기 의정부시 시민로121번길 9 (의정부동)|031-848-2545|143
더샘|이대점|서울 서대문구 이화여대길 63 (대현동) 1-4호|02-312-1677|15
더샘|이천점|경기 이천시 서희로 60번길 9 (창천동) 101호|031-635-1557|226
더샘|인천주안점|인천 남구 주안로 86 (주안동) 지하 195호, 196 호|032-873-3959|158
더샘|잠실역점|서울 송파구 잠실5동 27번지 잠실역 8번출구 지하상가 C열 - 29호|02-412-9924|11
더샘|장현점|경기 남양주시 진접읍 장현로 77 137|031-575-3285|43
더샘|전주고사점|전북 전주시 완산구 전주객사5길 24|063-282-8001|39236
더샘|전주송천점|전북 전주시 덕진구 천마산로 54 (송천동1가) 103호|063-252-2166|1004
더샘|전주중앙점|전북 전주시 완산구 서노송동 639-3|063-254-0841|193
더샘|제주서귀포점|제주 서귀포시 중정로 64-2|064-732-8383|81
더샘|제주점|제주 제주시 일도1동 1425-3|064-755-7654|60
더샘|제천점|충북 제천시 의림대로14길 4|043-651-1077|21636
더샘|진주주약점|경남 진주시 경상남도 진주시 진주대로 784 (주약동)|055-752-8411|112
더샘|진해석동점|경남 진해시 석동 543-5 미래쇼핑센터 1층 104호|055-542-2394|20
더샘|천안불당점|충남 천안시 서북구 불당동 1537-1번지 정석P-3차 112호|041-566-0580|1336
더샘|천안점(N)|충남 천안시 동남구 먹거리11길 23|041-567-2891|744
더샘|청주점|충북 청주시 상당구 북문로1가 195-2|043-222-2251|29
더샘|충북혁신점|충북 음성군 맹동면 대하1길 10 1층 104호 (센텀CGV타워)|043-750-8745|77236
더샘|코엑스점|서울 강남구 테헤란로87길 22 (삼성동) 큐111호|02-551-6790|71236
더샘|통영점|경남 통영시 항남동 59|055-645-2529|24
더샘|파주금촌점|경기 파주시 문화로 89-1|031-948-7989|185
더샘|포천일동점|경기 포천시 일동면 화동로 1072|031-536-4489|227
더샘|홍대점|서울 마포구 어울마당로 98-1호 (서교동 1층 1,2호)|02-3144-7247|75
더샘|홍은사거리점|서울 서대문구 홍은동 450-1 북한산더샵단지내상가 112-B호|02-394-0112|850
더샘|화곡점|서울 강서구 화곡동 화곡로 141 1층|02-2604-5767|17436
더샘|LOTTEFITIN산본점|경기 군포시 번영로 485 (산본동) 롯데피트인 산본점 1F 더샘|031-8033-1220|807
더샘|NC백화점경산점|경북 경산시 중앙로 39 (중방동) NC백화점 1층|053-718-3719|644
더샘|NC백화점부산대점|부산 금정구 부산대학로63번길 2 (장전동) NC백화점 부산대점 1층|051-518-1677|27236
더샘|NC백화점서면점|부산 진구 동천로 92 (전포동) 디씨티(NC백화점 서면점) 1층 더샘|051-794-7200|5236
더샘|NC백화점수원터미널점|경기도 수원시 권선구 경수대로 270 (권선동)|031-8065-3726|65536
더샘|NC백화점야탑점|경기 성남시 분당구 야탑로81번길 11 (야탑동) NC백화점 야탑점 1층 더샘|031-780-3107|984
더샘|NC백화점이천점|경기 이천시 창전동 152-5 1층 더샘|031-8010-8513|137
더샘|NC백화점해운대점|부산 해운대구 좌동 해운대로 813 1층 더샘|051-709-5808|115
더샘|뉴코아아울렛동수원점|경기 수원시 팔달구 인계로 154 (인계동) 뉴코아아울렛 동수원점 1층|031-239-5529|85236
더샘|뉴코아아울렛산본점|경기 군포시 번영로 504 (산본동) 뉴코아아울렛 산본점 2층 더샘|031-397-8889|37236
더샘|뉴코아아울렛창원점|경남 창원시 창원시 의창구 창원대로397번길 6 (팔용동) 뉴코아아울렛 창원점 1층 더샘|055-270-3430|33236
더샘|뉴코아아울렛평촌점|경기 안양시 동안구 동안로 119, 1층|031-385-2923|66136
더샘|대동백화점|경남 창원시 상남동 44-1 1층 더샘|055-212-8747|4
더샘|롯데백화점대구점|대구 북구 칠성동2가 302-155 5층|053-660-3018|5
더샘|롯데백화점대전점|대전 서구 계룡로 598 (괴정동) 롯데백화점대전점 지하1층 더샘|042-601-2070|404
더샘|롯데백화점동래점|부산 동래구 온천동 502-3 지하1층 더샘|051-668-4040|22
더샘|롯데백화점부산본점|부산 부산진구 부전동 503-15 지하2층 더샘|051-810-3049|19
더샘|롯데백화점상인점|대구 달서구 월배로 232 지하1층|053-258-3008|85
더샘|롯데백화점영등포점|서울 영등포구 영등포동 618-496 지하1층|02-2630-6878|28
더샘|신세계면세점인천공항점(탑승동)|인천 중구 운서동 여객터미널 탑승동 3층 C4매장|010-4082-9528|66536
더샘|춘천M백화점|강원 춘천시 조양동 34 1층|033-253-7083|46
더샘|행복한세상백화점|서울 양천구 목동 917-6 1층|02-6678-3182|32
더샘|현대백화점디큐브시티점|서울 구로구 경인로 662 (신도림동) 현대백화점 디큐브시티점 지하2층|02-2210-9717|79236
더샘|현대백화점부산점|부산 동구 범일로 125 (범일동) 현대백화점 부산점 지하2층|051-667-1200|257
더샘|현대백화점울산점|울산 남구 삼산로 261 (삼산동) 현대백화점 울산점 지하1층 더샘매장 (구보떼)|052-228-0086|165
더샘|현대백화점충청점|충북 청주시 흥덕구 직지대로 308 2층 더샘|043-909-4984|141
더샘|2001아울렛안양점|경기 안양시 만안구 안양4동 627-287 1층|031-467-7413|104
더샘|2001아울렛천호점|서울 강동구 구천면로 189 (천호동) 2001 아울렛 천호점|02-2224-6310|851
더샘|2001아울렛철산점|경기 광명시 철산로 4 (철산동) 1층|02-2067-7337|21236
더샘|NC웨이브광주충장점|광주 동구 중앙로 163 (충장로4가) NC웨이브 충장점 2층|062-718-9437|220
더샘|V플러스몰인천점|인천 연수구 용담로 14 지하1층 더샘|032-717-0514|44
더샘|뉴코아아울렛부천점|경기 부천시 송내대로 239 (상동) 뉴코아아울렛 부천점 2층|032-624-7245|964
더샘|뉴코아아울렛울산점|울산 남구 삼산로 217 (달동) 뉴코아 아울렛 1층|052-271-2382|849
더샘|뉴코아아울렛일산점|경기 고양시 일산동구 중앙로 1206 (마두동, 뉴코아백화점일산점)|031-900-5351|865
더샘|동아아울렛강북점|대구 북구 읍내동 1321 1층|053-320-7717|122
더샘|롯데마트광복점|부산 중구 중앙대로 2 1층 더샘|051-466-7083|83
더샘|롯데마트광주상무점|광주 서구 치평동 40 2층|062-385-7083|128
더샘|롯데마트광주월드컵점|광주 서구 금화로 240 (풍암동) 월드컵경기장 롯데마트 월드컵점 1층 더샘|062-651-7083|243
더샘|롯데마트광주첨단점|광주 광산구 쌍암동 첨단강변로 99번길 22 (쌍암동) 더샘|062-973-7083|211
더샘|롯데마트구미점|경북 구미시 구미대로22길 11 (신평동) 롯데마트 구미점 1층|054-463-7770|26236
더샘|롯데마트김포공항점|서울 강서구 하늘길 77 (방화동) 롯데백화점 김포공항점 지하2층|02-6116-1683|39536
더샘|롯데마트김포한강점|경기 김포시 장기동 2031번지 롯데마트 2층|031-986-7084|625
더샘|롯데마트김해점|경남 김해시 부원동 1041 롯데마트 김해점 2층 더샘|055-321-7085|216
더샘|롯데마트남악점|전남 무안군 삼향면 남악리 롯데마트 남악점 1층 더샘|061-283-7083|275
더샘|롯데마트대구율하점|대구 동구 안심로 80 (율하동) 롯데쇼핑프라자 지하1층|053-607-2776|190
더샘|롯데마트대구칠성점|대구 북구 호암로 1 (칠성동2가) 지하 1층 더샘|053-351-7083|784
더샘|롯데마트대덕점|대전광역시 유성구 테크노중앙로 14 (관평동) 롯데마트 1층|042-934-0416|904
더샘|롯데마트마산점|경남 창원시 마산합포구 신마산시장길 33 (창포동3가) 1층|055-223-0960|25736
더샘|롯데마트목포점|전남 목포시 원형서로 15 (상동) 롯데마트 목포점 2층|061-281-1677|29236
더샘|롯데마트서대전점|대전 유성구 원내동 33 롯데마트 1층 더샘|042-543-7083|232
더샘|롯데마트서울역점|서울 중구 청파로 426 (봉래동2가) 지상2층 더샘|02-3789-7080|785
더샘|롯데마트서청주점|충북 청주시 흥덕구 2순환로 1004 (비하동) 롯데아울렛 서청주점 1층|043-231-6917|25336
더샘|롯데마트송파점|서울 송파구 문정동 150-2|02-406-7083|66636
더샘|롯데마트시흥배곧점|경기 시흥시 정왕동 1771-1 롯데마트 더샘 1층|031-431-7083|278
더샘|롯데마트안성점|경기 안성시 공도읍 서동대로 4478 롯데마트 1층 더샘|031-691-7083|189
더샘|롯데마트양덕점|경남 창원시 마산회원구 삼호로 80 (양덕동) 1층|055-251-3330|25536
더샘|롯데마트여천점|전남 여수시 무선로 187 (선원동) 롯데마트 여천점 3층 더샘|061-686-7083|173
더샘|롯데마트울산점|울산 남구 달동 833-1 롯데마트 지하1층|052-267-7084|213
더샘|롯데마트원주점|강원 원주시 봉화로 1 (단계동) 1층|033-735-9263|26436
더샘|롯데마트의왕점|경기 의왕시 내손동 743 롯데마트 의왕점 2층 더샘|031-426-7083|1006
더샘|롯데마트익산점|전북 익산시 영등동 833-9 롯데마트 익산점 1층|063-835-7083|171
더샘|롯데마트인천계양점|인천 계양구 계산동 1059-1 1층|032-549-7083|56
더샘|롯데마트잠실점|서울 송파구 올림픽로 240 (잠실동) 롯데마트 잠실점 1층 더샘|02-2143-1365|222
더샘|롯데마트장유점|경남 김해시 번화1로56번길 15 (대청동) 1층|055-313-7771|26036
더샘|롯데마트전주송천점|전북 전주시 덕진구 송천중앙로 82 (송천동1가) 롯데마트 전주송천점 1층|063-251-7083|208
더샘|롯데마트제주점|제주 제주시 연북로 1 (노형동) 롯데마트 더샘 3층 더샘|064-744-7083|205
더샘|롯데마트제천점|충북 제천시 하소동 72-5 1층|043-642-7524|21
더샘|롯데마트주엽점|경기 고양시 일산서구 중앙로 1496 (주엽동, 문촌마을11단지아파트) 롯데마트 1층|031-911-2083|384
더샘|롯데마트중계점|서울 노원구 노원로 330 (중계동) 롯데마트 중계점 2층|None|87436
더샘|롯데마트충주점|충북 충주시 봉계1길 49 (칠금동) 충주공용버스터미널 2층|043 - 856 - 7771|26136
더샘|롯데마트통영점|경남 통영시 무전대로 65 (무전동) 1층 더샘|055-648-7082|524
더샘|롯데마트화명점|부산 북구 화명3동 2273|051-362-7776|26336
더샘|메가마트김해점|경남 김해시 삼정동 1~588 378 1층 더샘|055-337-7083|42
더샘|메가마트남천점|부산 수영구 남천동 545-2 1층|051-612-7083|8
더샘|메가마트덕천점|부산 북구 덕천동 370 1층|051-338-7083|41
더샘|메가마트문현점|부산 남구 문현 3동 205-2 1층|051-638-7083|45
더샘|모다아울렛울산점|울산 북구 진장동 283-4번지 모다아울렛 울산점 지상2층 더샘|052-935-3142|172
더샘|모다아울렛천안점|충남 천안시 서북구 불당동 1289 1층|041-904-6999|49
더샘|세이브존광명점|경기 광명시 철망산로 87 (철산동) 지하 1층|02-2611-7083|210
더샘|세이브존대전점|대전 서구 둔산동 둔산로 31번길 35 지하1층 더샘|042-471-7083|135
더샘|세이브존상동점|경기 부천시 원미구 상동 535-5 세이브존 지하1층 더샘|032-325-7083|167
더샘|세이브존일산화정점|경기 고양시 덕양구 화정로 52 (화정동) 세이브존 지하2층|031-938-7083|236
더샘|신세계스타일마켓대전점|대전 동구 용전동 63-3 2층 더샘|042-615-1482|51
더샘|애플아울렛사상점|부산 사상구 사상로 201 (괘법동, 서부시외버스터미널) 1층 더샘|051-559-6275|283
더샘|엔터식스강변테크노마트점|서울 광진구 광나루로56길 85 테크노마트점 1층 더샘|02-456-7083|116
더샘|엔터식스동탄점|경기 화성시 동탄중앙로 220 1층 더샘|031-8003-7550|73
더샘|엔터식스상봉점|서울 중랑구 상봉동 73-10 1층|02-493-7554|74
더샘|엔터식스왕십리점|서울 성동구 행당동 168-1 엔터식스 왕십리 지하1층|02-2200-6140|154
더샘|엔터식스천호점|서울 강동구 천호동 455 천호역 지하1층 엔터식스 천호점|02-6484-6108|704
더샘|이마트목포점|전남 목포시 옥암로 138 (옥암동) 1층 더샘|061 - 283 - 2229|21536
더샘|이마트부천점|경기 부천시 부천로 1 (심곡본동) 이마트 부천점 4층|032-667-7773|25236
더샘|이마트양주점|경기 양주시 평화로 1713 (회정동, 이마트) 1층 더샘|031-859-7083|281
더샘|이마트영등포점|서울 영등포구 영중로 15 (영등포동4가) 이마트 영등포점 더샘 지하2층|02-2636-7083|202
더샘|이마트왕십리점|서울 성동구 행당동 168-1 이마트 왕십리 2층 더샘|02-2200-1222|14
더샘|이마트전주점|전북 전주시 완산구 당산로 111 (서신동) 이마트 2층 더샘|063-253-7083|324
더샘|이마트창원점|경남 창원시 성산구 원이대로 608 (중앙동) 이마트 창원 2층|055-286-7083|604
더샘|이마트천안서북점|충남 천안시 서북구 삼성대로 20 (백석동) 1047 이마트 천안서북점 지하1층|041-566-7083|664
더샘|이마트포항이동점|경북 포항시 북구 득량동 305 지하1층|054-272-9781|39436
더샘|탑마트대구점|대구 중구 중앙대로66길 20, 지하2층|070-8810-8383|9336
더샘|탑마트삼천포점|경남 사천시 새시장길 19 (동금동) 탑마트삼천포점|055-835-5666|724
더샘|탑마트서진주점|경남 진주시 평거동 921번지 탑마트|055-747-4688|546
더샘|탑마트진주점|경남 진주시 도동로 251 (하대동, 삼전프라자)|055-762-8412|120
더샘|포도몰신림점|서울 관악구 신림동 1641-2 포도몰 1층|02-881-8270|156
더샘|하나로마트울산원예농협점|울산 울주군 범서읍 장검길 10 (울산원예농협하나로마트) 2층|052-223-7083|256
더샘|현대아울렛가산점|서울 금천구 디지털로10길 9 현대아울렛 금천점|02-2136-9709|55
더샘|홈플러스강서점|서울 강서구 등촌동 639-11 홈플러스 1 1층|02-3663-3742|151
더샘|홈플러스거제점|경남 거제시 장평동 1211 지하2층 더샘|055 633 7082|87
더샘|홈플러스경기하남점|경기 하남시 하남대로 747 지하 1층 더샘|031-795-7083|124
더샘|홈플러스경산점|경북 경산시 경안로 288 (중방동) 홈플러스 경산점 1층 더샘|053-817-7083|269
더샘|홈플러스광주하남점|광주 광산구 하남동 831 홈플러스 광주하남점 2층|062-952-7083|282
더샘|홈플러스구미점|경북 구미시 구미대로 174 지하1층|054-464-7083|113
더샘|홈플러스금천점|서울시 금천구 시흥대로 391 (독산동, 홈플러스금천점) 2층|02-802-7083|89236
더샘|홈플러스김포점|경기 김포시 중봉로 14 (감정동) 홈플러스 지하1층|031-989-7081|565
더샘|홈플러스김포풍무점|경기 김포시 풍무로 167 (풍무동) 홈플러스 지하 1층|031-984-7083|428
더샘|홈플러스김해점|경남 김해시 김해대로 2078 (내동, 삼성홈플러스) 홈플러스 1층|055-331-7083|266
더샘|홈플러스대구동촌점|대구 동구 동촌로 127 1층|053-985-7083|114
더샘|홈플러스대구점|대구 북구 중앙대로 543 (칠성동2가) 홈플러스 1층|053-357-7083|624
더샘|홈플러스대전문화점|대전 중구 문화동 1-17 1층 더샘|042-226-7083|94
더샘|홈플러스대전유성점|대전 유성구 봉명동 669 1층 더샘|042-822-7083|93
더샘|홈플러스방학점|서울 도봉구 방학동 707-7 1층 더샘|070-4212-9118|96
더샘|홈플러스병점점|경기 화성시 경기대로 985 1층 더샘|031-224-7083|109
더샘|홈플러스서부산점|부산 사상구 광장로 7 (괘법동) 홈플러스 지하 1층|051-315-7083|626
더샘|홈플러스신내점|서울 중랑구 신내로 201 (신내동) 홈플러스 1층 더샘|02-3421-9677|209
더샘|홈플러스안산고잔점|경기 안산시 단원구 고잔동 707-2 1층|031-413-7083|110
더샘|홈플러스연산점|부산 연제구 반송로 88 3층 더샘|051-868-7083|88
더샘|홈플러스영등포점|서울 영등포구 당산로 42 (문래동3가, 홈플러스) 1층|02-2634-7083|425
더샘|홈플러스오산점|경기 오산시 수청동 252 홈플러스 1층|031-376-7083|246
더샘|홈플러스울산동구점|울산 동구 일산동 500~799 홈플러스2층|052-235-7083|131
더샘|홈플러스원주점|강원 원주시 치악로 1489 (관설동) 홈플러스 1층|033-766-7083|845
더샘|홈플러스월드컵점|서울 마포구 성산동 515 2층|02-3152-7083|100
더샘|홈플러스의정부점|경기 의정부시 금오동 475-1 2층 더샘|031-853-7083|91
더샘|홈플러스인천가좌점|인천 서구 가좌동 118 2층|032-577-7083|92
더샘|홈플러스인천간석점|인천 남동구 경원대로 971 1층|032-874-7083|102
더샘|홈플러스인천계산점|인천 계양구 오조산공원로 14 (계산동) 홈플러스 계산점 1층|032-553-7083|247
더샘|홈플러스인천구월점|인천 남동구 예술로 198 (구월동, CGV홈플러스) 지하1층|032-426-7083|545
더샘|홈플러스인천송도점|인천 연수구 송도동 168-3 홈플러스 지하 1층|032-821-7083|179
더샘|홈플러스인천연수점|인천 연수구 청능대로 210 홈플러스 지하1층|032-818-7083|153
더샘|홈플러스인천인하점|인천 남구 소성로 6 1층 더샘|032-872-7083|105
더샘|홈플러스인천작전점|인천 계양구 계양대로 27 1층|032-555-7083|111
더샘|홈플러스일산킨텍스점|경기 고양시 일산서구 대화동 2602 홈플러스 지하 1층|031-915-7083|245
더샘|홈플러스중계점|서울 노원구 동일로204가길 12 1층 더샘|02-979-7083|132
더샘|홈플러스진접점|경기 남양주시 진접읍 금강로 1447 홈플러스 1층|031-575-7083|147
더샘|홈플러스창원점|경남 창원시 의창구 팔용동 30-3 홈플러스 1층|055-273-0416|924
더샘|홈플러스천안점|충남 천안시 동남구 구성동 50-4 홈플러스 1층|041-551-2277|884
더샘|홈플러스청주가경점|충북 청주시 흥덕구 서부로 1291 2층 더샘|043-237-7082|101
더샘|홈플러스파주문산점|경기 파주시 문산읍 방촌로 1759 홈플러스 2층|031-953-7082|174
더샘|홈플러스해운대점|부산 해운대구 해운대해변로 140 (우동) 해운대 홈플러스 지하 1층|None|87336
더샘|JTO중문면세점|제주 서귀포시 중문관광로72번길 35 (색달동, 롯데호텔)|064-766-9161|238
더샘|동화면세점|서울 종로구 세종로 211번지 동화면세점 3층|02-399-3714|35
더샘|두타면세점|서울 중구 장충단로 275 (을지로6가, 두산타워빌딩) 12층|02-3398-9301|945
더샘|라마다호텔면세점|충북 청주시 상당구 충청대로 114|None|947
더샘|롯데면세점김포공항점|서울 강서구 하늘길 38 (방화동) 김포공항 국제선청사3층 격리대합실 B사업지구|02-3707-9196|465
더샘|롯데면세점김해공항점|부산 부산진구 가야대로 772 (부전동)|051-972-1904|948
더샘|롯데면세점부산점|부산 진구 부전동 503-15 롯데백화점 11층|051-810-5037|31
더샘|롯데면세점소공점|서울 중구 소공동 1번지 11층|02-759-6784|17
더샘|롯데면세점월드타워점|서울 중구 을지로 30 (소공동, 롯데호텔)|02-3213-6859|6
더샘|롯데면세점제주점|제주 제주시 연동 2324-6 롯데시티호텔 지하2층 롯데면세점|064-793-3163|57
더샘|롯데면세점코엑스점|서울 강남구 삼성동 159 인터컨티넨탈호텔 롯데면세점 코엑스점 지하2층|02-3484-9751|950
더샘|부산면세점부산항점|부산 동구 충장대로 206 (초량동, 부산항 국제여객터미널) 3층|051-604-8206|951
더샘|신라면세점용산점|서울 용산구 한강대로23길 55(한강로 3가) HDC신라면세점 용산점 6층 더샘|032-744-5439|197
더샘|신라면세점인천공항점제2터미널|인천 중구 중구 운서동 2868 인천터미널T2 255번 게이트|032-743-2292|846
더샘|신라면세점장충점|서울 중구 동호로 249|02-2230-5420|54
더샘|신라면세점제주점|제주 제주시 연동 1∼271 252-20 신라면세점 3층 더샘|064-710-1701|148
더샘|신라면세점푸켓점|부산 동구 충장대로 255-1 (좌천동) 코레일 부산진 1단지|051-634-4461|952
더샘|신세계면세점강남점|서울 서울특별시 서초구 신반포로176 2층|02-6288-0794|1436
더샘|신세계면세점명동점|서울 중구 퇴계로 77 (충무로1가) 신세계면세점 명동점 10층 더샘|02-6370-4178|235
더샘|신세계면세점부산점|부산 해운대구 우동 신세계면세점 부산점 센텀시티몰 지하 1층 더샘|051-749-1467|953
더샘|신세계면세점인천공항점|인천 중구 운서동 여객터미널 여객동 3층 C1매장, C3매장|032-743-5894,  032-743-4338|66436
더샘|엔타스듀티프리|인천 남동구 인주대로 593 (구월동) 9층|02-2632-6677|956
더샘|엔타스면세점인천공항점제2터미널|인천 중구 운서동 2868번지 제2여객터미널 계류장 231번|010-4000-0602|844
더샘|현대백화점면세점동대문점|서울시 중구 장충단로 275 (을지로6가) 두산타워빌딩 12층|02-3398-9301|81236
더샘|현대백화점면세점무역센터점|서울 강남 영동대로82길 19|02-2142-6261|17336
더샘|두산면세점|서울 중구 장충단로 275 (을지로6가, 두산타워빌딩) 22층|02-3399-9301|237
더샘|신라면세점인천공항점|인천 중구 운서동 2091-95자유무역지역 공항물류단지A3블럭|032-743-4938|65
