NAME|BRANCH|NEWADDR|OLDADDR|TELL
LGU플러스|명륜동대명거리입구점 |서울 종로구 대명길 4 (명륜2가)|서울시 종로구 명륜2가 24-4|070-4069-4010
LGU플러스|반포1동서초점 CS우수매장|서울 서초구 강남대로79길 2 1층 (반포동, 은도빌딩)|서울시 서초구 반포동 737-19 은도빌딩 1층|070-4042-0932
LGU플러스|반포4동센트럴시티점 |서울 서초구 신반포로 176 호남선터미널중층 (반포동, 센트럴시티빌딩)|서울시 서초구 반포동 19-3 센트럴시티빌딩 호남선터미널중층|070-5123-6446
LGU플러스|번1동수유역3번출구점 |서울 강북구 도봉로 332 (번동)|서울시 강북구 번동 446-24|070-4036-6261
LGU플러스|사당2동총신대점 |서울시 동작구 동작대로 127 1층 LG유플러스 총신대직영점 (사당동)|서울시 동작구 사당동 134-2 1층 LG유플러스 총신대직영점|070-4015-5837
LGU플러스|삼성2동테헤란로점 |서울 강남구 테헤란로 421 (삼성동, 암천빌딩)|서울시 강남구 삼성동 142-46 암천빌딩|070-8621-3878
LGU플러스|상계6.7동노원구청점 |서울 노원구 노해로 452 노빌리안골드 1층 LG유플러스노원직영점 (상계동)|서울시 노원구 상계동 734-3 노빌리안골드 1층 LG유플러스노원직영점|070-8274-1696
LGU플러스|상계동주공12단지점 |서울 노원구 동일로 1530 (상계동, 다모아빌딩)|서울시 노원구 상계동 649-7 다모아빌딩|070-4067-3722
LGU플러스|상암동상암푸르지오시티점 |서울 마포구 월드컵북로54길 25 (상암동)|서울시 마포구 상암동 1596|070-4042-9714
LGU플러스|상일동아르테온점 |서울시 강동구 고덕로 390 1층 유플러스(상일동,고덕아르테온아파트(상가1동))|서울시 강동구 상일동 520 1층 유플러스(고덕아르테온아파트(상가1동))|070-4007-3981
LGU플러스|서교동홍익대점 |서울 마포구 홍익로 5 1층 (서교동)|서울시 마포구 서교동 358-19 1층|070-8639-5008
LGU플러스|서원동신림로점 |서울시 관악구 신림로 313 (신림동)|서울시 관악구 신림동 1637-1|070-5017-5046
LGU플러스|서초동우성아파트사거리점 |서울시 서초구 강남대로 321 101호(서초동,대우디오빌프라임)|서울시 서초구 서초동 1337-22 대우디오빌프라임 101호|070-4842-4611
LGU플러스|신정동목동역점 |서울 양천구 목동로 201 1층 목동역 2번출구앞 (신정동)|서울시 양천구 신정동 900-14 1층 목동역 2번출구앞|070-5017-4248
LGU플러스|신정동신정네거리역2번출구점 |서울 양천구 신월로 282 (신정동)|서울시 양천구 신정동 1190-2|070-5017-1638
LGU플러스|쌍문2동보건소사거리점 |서울 도봉구 도봉로 581 1층 (쌍문동)|서울시 도봉구 쌍문동 631-3 1층|070-4036-6657
LGU플러스|양재1동양재역점 |서울 서초구 강남대로 221 1층 (양재동, 양재역환승주차장)|서울시 서초구 양재동 23 양재환승빌딩 1층|070-4065-5093
LGU플러스|여의도동트윈타워점 |서울시 영등포구 여의대로 128 128 LG트윈타워 동관 지하1층 LG유플러스 (여의도동)|서울시 영등포구 여의도동 20 LG트윈타워 동관 지하1층 LG유플러스|02-3777-0019
LGU플러스|역삼1동선릉역점 |서울 강남구 선릉로 507 (역삼동)|서울시 강남구 역삼동 705-26|070-4001-3331
LGU플러스|역삼동강남역점 |서울시 강남구 테헤란로 119 1층(역삼동,대호빌딩)|서울시 강남구 역삼동 649-14 대호빌딩 1층|070-4062-5083
LGU플러스|응암동은평구청사거리점 |서울시 은평구 은평로 173 1층 엘지유플러스 (응암동)|서울시 은평구 응암동 84-7 1층 엘지유플러스|070-8245-9110
LGU플러스|자양동구의역점 |서울 광진구 아차산로 360 1층 (자양동)|서울시 광진구 자양동 219-5 1층|02-2292-2019
LGU플러스|잠실동잠실새내역점 |서울 송파구 올림픽로 124 1층 (잠실동, 환산빌딩)|서울시 송파구 잠실동 184-5 환산빌딩 1층|070-4064-7192
LGU플러스|장안동장한평역점 |서울시 동대문구 장한로 3 (장안동)|서울시 동대문구 장안동 416-5|070-4045-9889
LGU플러스|종로3가탑골공원점 |서울시 종로구 종로 117-1 (종로3가)|서울시 종로구 종로3가 12-1|070-4038-3019
LGU플러스|중계1동은행사거리점 |서울시 노원구 한글비석로 263 성모빌딩 1층 중계직영점 (중계동)|서울시 노원구 중계동 359-11 성모빌딩 1층 중계직영점|070-4038-3712
LGU플러스|창1동쌍문역2번출구점 |서울 도봉구 도봉로 464 1층 (창동)|서울시 도봉구 창동 655-15 1층|070-4024-5861
LGU플러스|창천동연세대점 |서울 서대문구 연세로 27-1 1층 신촌동 (창천동, 대성빌딩)|서울시 서대문구 창천동 33-27 대성빌딩 1층 신촌동|070-4015-4199
LGU플러스|천호동천호역5번출구 |서울 강동구 천호대로 1021 (천호동)|서울시 강동구 천호동 454|02-6964-6020
LGU플러스|청룡동서울대입구역3번출구점 |서울시 관악구 관악로 169 (봉천동)|서울시 관악구 봉천동 862-7|070-4038-5587
LGU플러스|태평로2가시청역점 |서울시 중구 세종대로 78 (태평로2가,디지털조선일보)|서울시 중구 태평로2가 68-7 디지털조선일보|070-8281-4094
LGU플러스|행당동무학여고점 |서울 성동구 고산자로 201 1층 (행당동, 세종빌딩)|서울시 성동구 행당동 319-23 1층 세종빌딩|070-8228-6802
LGU플러스|화곡동화곡역3번출구점 |서울 강서구 화곡로 176 LG유플러스 활재빌딩 (화곡동)|서울시 강서구 화곡동 143-36 LG유플러스 활재빌딩|070-4038-1344
LGU플러스|가경동홈플러스점 |충북 청주시 흥덕구 가경로 9-19 (가경동)|충북 청주시 흥덕구 가경동 1697|043-1544-3321
LGU플러스|가좌동경상대점 |경남 진주시 진주대로 514 1층 (가좌동)|경남 진주시 가좌동 492-1 1층|070-8277-2014
LGU플러스|갈산동갈산사거리점 |인천시 부평구 주부토로 223 1층 LG유플러스 (갈산동)|인천시 부평구 갈산동 171-11 1층 LG유플러스|070-5017-9480
LGU플러스|강화읍강화읍점 |인천 강화군 강화읍 강화대로 395 1층 107호 (준프라자)|인천시 강화군 강화읍 신문리 685-3 1층 107호 (준프라자)|070-5017-8597
LGU플러스|계산1동계산역3번출구점 |인천 계양구 경명대로 1086 (계산동)|인천시 계양구 계산동 946-5|070-5017-5231
LGU플러스|고잔2동중앙역점 |경기 안산시 단원구 중앙대로 907 (고잔동)|경기도 안산시 단원구 고잔동 541|070-5017-5921
LGU플러스|고현동시외버스터미널점 |경남 거제시 서문로 67 (고현동)|경남 거제시 고현동 978-4|070-5124-0177
LGU플러스|관양2동인덕원점 |경기도 안양시 동안구 흥안대로 520 1층 엘지유플러스 (관양동)|경기도 안양시 동안구 관양동 1505-28 1층 엘지유플러스|070-4032-8589
LGU플러스|광명동광명사거리역3번출구점 |경기도 광명시 광명로 894 1층 (광명동)|경기도 광명시 광명동 158-1347 1층|070-7563-0019
LGU플러스|광복동1가롯데광복점 |부산시 중구 광복로 96 (광복동1가)|부산시 중구 광복동1가 37-1|070-4645-2588
LGU플러스|광안2동광안시장점 |부산 수영구 수영로 600 1층 유플러스 (광안동, 광안빌딩)|부산시 수영구 광안동 141-5 1층 유플러스 광안빌딩|070-4606-3223
LGU플러스|광정동산본점 |경기 군포시 산본로323번길 16-36 102호 (산본동)|경기도 군포시 산본동 1133 102호|070-4045-3053
LGU플러스|괘법동사상점 |부산 사상구 사상로 206 김밥여행 1층 엘지유플러스 (괘법동)|부산시 사상구 괘법동 535-12 김밥여행 1층 엘지유플러스|070-4623-1234
LGU플러스|교1동현대아파트점 |강원 강릉시 교동광장로 137 1층 (교동)|강원도 강릉시 교동 1861-2 1층|070-4042-0996
LGU플러스|구서동중앙대로점 |부산 금정구 중앙대로1841번길 23 1층 (구서동, 현대타운)|부산시 금정구 구서동 86-1 1층 현대타운|070-5110-8081
LGU플러스|구월동예술로점 |인천 남동구 예술로 126 LINK 1층 126 LG유플러스 (구월동)|인천시 남동구 구월동 1464 LINK 1층 126 LG유플러스|070-4806-4561
LGU플러스|권선동롯데마트점 |경기도 수원시 권선구 동수원로242번길 22 경기도 수원시 권선구 동수원로 242번길 22 센타프라자 1층 엘지유플러스 (권선동)|경기도 수원시 권선구 권선동 1297-6 경기도 수원시 권선구 동수원로 242번길 22 센타프라자 1층 엘지유플러스|070-5135-3125
LGU플러스|금곡동미금역7번출구점 |경기 성남시 분당구 돌마로 51 천사의도시 107호 (금곡동)|경기도 성남시 분당구 금곡동 165 천사의도시 107호|070-4369-8699
LGU플러스|금산읍중부시장점 |충남 금산군 금산읍 비범로 18-1 (중도리)|충남 금산군 금산읍 중도리 311-10|070-8286-5829
LGU플러스|금천동장자마을점 |충북 청주시 상당구 수영로 303-1 (용담동)|충북 청주시 상당구 용담동 402|070-4634-6532
LGU플러스|금촌동금릉역점 |경기 파주시 금빛로 24 1층 (금촌동, 우평프라자)|경기도 파주시 금촌동 988-1 우평프라자 1층|070-8291-1270
LGU플러스|금촌동일방통행로점 |경기도 파주시 문화로 104 1층 (금촌동)|경기도 파주시 금촌동 54-66 1층|070-4062-2204
LGU플러스|금학동대학로점 |강원 강릉시 금성로42번길 12 LG유플러스 (금학동)|강원도 강릉시 금학동 97-1 LG유플러스|070-4024-4049
LGU플러스|금호동로데오점 |강원 속초시 중앙로 113 1층 LG 유플러스 (금호동)|강원도 속초시 금호동 484-26 1층 LG 유플러스|070-4042-4216
LGU플러스|김량장동용인CGV점 |경기 용인시 처인구 금령로 86 CGV건물 1층 (김량장동)|경기도 용인시 처인구 김량장동 301-3 CGV건물 1층|070-4042-0014
LGU플러스|나성동첫마을점 |세종 한누리대로 193 (나성동, 참미르빌딩)|세종시   나성동 716 참미르빌딩|070-4038-2555
LGU플러스|노동동노스페이스점 |경북 경주시 동성로 110-1  (노동동) .|경북 경주시 노동동 136-2|070-5033-2019
LGU플러스|노동동대왕시네마점 |경북 경주시 원효로 106 (노동동)|경북 경주시 노동동 55-2|070-4042-5729
LGU플러스|노형동제주은행점 |제주 제주시 도령로 11 (노형동)|제주특별자치도 제주시 노형동 1296-3|064-805-5010
LGU플러스|논현동아이플렉스점 |인천시 남동구 논고개로123번길 17 105호(논현동,아이플렉스)|인천시 남동구 논현동 632-2 105호 아이플렉스|070-4645-4563
LGU플러스|대교동2가남항시장점 |부산시 영도구 태종로 98 (대교동2가,혜광모닝아일랜드아파트)|부산시 영도구 대교동2가 120 혜광모닝아일랜드아파트|070-5043-4010
LGU플러스|대동대동오거리점 |대전 동구 동대전로 79 (대동)|대전시 동구 대동 179-3|042-222-1019
LGU플러스|대명동대명점 |대구 남구 월배로 468 1층 (대명동, 한영유니죤빌딩)|대구시 남구 대명동 1583-7 한영유니죤빌딩 1층|070-4318-3354
LGU플러스|대연동경성대역점 |부산 남구 대연3동 406-1번지 세웅빌딩 1층 LG유플러스|부산시 남구 대연동 406-1 세웅빌딩 1층 LG유플러스|070-5033-1223
LGU플러스|대잠동이동사거리점 |경북 포항시 남구 대이로 115 (대잠동)|경북 포항시 남구 대잠동 459-4|070-5111-4556
LGU플러스|대천동중앙로점 |충남 보령시 중앙로 56 (대천동)|충남 보령시 대천동 618-55|070-8614-1226
LGU플러스|대청동롯데마트점 |경남 김해시 삼문로 19 (대청동)|경남 김해시 대청동 317-1|070-4829-1266
LGU플러스|대흥동북포항우체국점 |경북 포항시 북구 중앙상가길 39 (북구 대흥동 726-7)|경북 포항시 북구 대흥동 726-7 (북구 대흥동 726-7)|070-4606-0808
LGU플러스|대흥동포항시네마점 |경북 포항시 북구 중앙상가길 16 대흥동 563-3 포항롯데시네마 1층 (대흥동,중앙상가길,포항롯데시네마,시내,)|경북 포항시 북구 대흥동 563-3 대흥동 563-3 포항롯데시네마 1층 (중앙상가길,포항롯데시네마,시내,)|070-4643-2355
LGU플러스|덕계동덕계점 |경남 양산시 덕계로 58 (덕계동)|경남 양산시 덕계동 743-8|070-5123-1234
LGU플러스|덕산동통신골목점 |대구 중구 동성로1길 14 (덕산동)|대구시 중구 덕산동 124-11|070-5033-1113
LGU플러스|덕진동전북대대학로점 |전북 전주시 덕진구 명륜4길 4 (덕진동1가)|전북 전주시 덕진구 덕진동1가 1266-22|070-4065-5465
LGU플러스|도담동한신휴시티점 |세종 보듬3로 8-20 세종한신휴시티 114호 (도담동)|세종시   도담동 660 세종한신휴시티 114호|070-4042-4997
LGU플러스|동명동조대후문점 |광주 동구 필문대로 267 (동명동)|광주시 동구 동명동 123-2|070-4068-0102
LGU플러스|동문동광장점 |충남 서산시 고운로 153  (동문동) .|충남 서산시 동문동 716-4|070-4076-4561
LGU플러스|동부산소호직판직영점 |부산시 금정구 중앙대로 1699 농심부곡빌딩 6층(부곡동,농심부곡빌딩)|부산시 금정구 부곡동 225-27 농심부곡빌딩 6층 (농심부곡빌딩)|000-0000-0000
LGU플러스|동산동동산우체국점 |전북 익산시 평동로12길 1 (동산동)|전북 익산시 동산동 609-1|070-4024-8465
LGU플러스|동천동동천점 |대구시 북구 팔거천동로 218 1층 엘지유플러스 (칠곡) (동천동)|대구시 북구 동천동 893 1층 엘지유플러스 (칠곡)|070-4024-6227
LGU플러스|동패동교하사거리점 |경기 파주시 청석로 256 (동패동)|경기도 파주시 동패동 1694-2|070-4038-7264
LGU플러스|동패동운정사거리점 |경기도 파주시 와석순환로 125 (동패동)|경기도 파주시 동패동 1759-2|070-4062-4749
LGU플러스|두암동홈플러스점 |광주 북구 동문대로 186 (두암동)|광주시 북구 두암동 574-1|070-4038-6468
LGU플러스|두호동두호사거리점 |경북 포항시 북구 두호로 32 (두호동)|경북 포항시 북구 두호동 1025-5|070-4042-0762
LGU플러스|둔산동시청역점 |대전시 서구 둔산중로 50 / 둔산동 1413번지 / 파이낸스빌딩 1층 (둔산동)|대전시 서구 둔산동 1413 둔산동 / 파이낸스빌딩 1층|070-8233-8517
LGU플러스|마두동백마한양아파트점 |경기 고양시 일산동구 일산로 200 1층 엘지유플러스 (마두동)|경기도 고양시 일산동구 마두동 730-2 1층 엘지유플러스|070-4024-4725
LGU플러스|매곡동광주공고점 |광주 북구 설죽로 333 (매곡동)|광주시 북구 매곡동 17|070-4024-8654
LGU플러스|명륜동목포역점 |전남 목포시 영산로 97 (명륜동)|전남 목포시 명륜동 6-4|070-5017-4649
LGU플러스|무거동울산대점 |울산시 남구 대학로 50 1층 (무거동)|울산시 남구 무거동 623-3 1층|052-277-6019
LGU플러스|문산리문산점 |경기 파주시 문산읍 문향로 74 맥도날드 1층|경기도 파주시 문산읍 문산리 7-20 맥도날드 1층|070-4069-9714
LGU플러스|문화동현대코아점 |전북 군산시 백토로 108 현대코아사거리 미니스톱옆 LGU+군산문화직영점 (나운동)|전북 군산시 나운동 532-6 현대코아사거리 미니스톱옆 LGU+군산문화직영점|070-8614-0023
LGU플러스|반곡동혁신도시점 |강원 원주시 혁신로 53 1층 (반곡동)|강원도 원주시 반곡동 1886-1 1층|070-4068-0818
LGU플러스|반송동동탄센트럴점 |경기도 화성시 동탄지성로 108 (반송동, 삼성프라자)|경기도 화성시 반송동 42-1 동탄삼성프라자|070-5017-5098
LGU플러스|벌리동삼천포점 |경남 사천시 주공로 26 (벌리동)|경남 사천시 벌리동 258-1|070-4062-0206
LGU플러스|범물동동아백화점 |대구 수성구 지범로 192 (범물동)|대구시 수성구 범물동 1334-2|070-4007-8368
LGU플러스|범박동범박신도시점 |경기도 부천시 범안로 117 (범박동,현대리치모아)|경기도 부천시 범박동 155-2 현대리치모아|070-5043-7081
LGU플러스|병점동홈플러스점 |경기도 화성시 떡전골로 60 효성해링턴프라자 1층 LG유플러스 (병점동)|경기도 화성시 병점동 871 효성해링턴프라자 1층 LG유플러스|070-5110-3651
LGU플러스|복대동지웰시티점 |충북 청주시 흥덕구 대농로 47 (복대동)|충북 청주시 흥덕구 복대동 288-15|070-8615-0155
LGU플러스|본오3동KB국민은행상록수역점 |경기 안산시 상록구 용신로 390 (본오동)|경기도 안산시 상록구 본오동 873-4|070-7548-4399
LGU플러스|봉곡동테마공원점 |경북 구미시 봉곡남로 108 테마공원 엘지유플러스 (봉곡동)|경북 구미시 봉곡동 384-1 테마공원 엘지유플러스|070-5104-3374
LGU플러스|봉명동리베라점 |대전 유성구 계룡로 60 (봉명동)|대전시 유성구 봉명동 468-1|070-4090-6019
LGU플러스|봉명동봉정사거리점 |충북 청주시 흥덕구 직지대로 563 (봉명동)|충북 청주시 흥덕구 봉명동 1610|043-232-9010
LGU플러스|부전2동서면1번가점 |부산 부산진구 중앙대로 689 (부전동)|부산시 부산진구 부전동 241-1|070-4642-3258
LGU플러스|부전동대한CGV점 |부산 부산진구 중앙대로692번길 21 (부전동)|부산시 부산진구 부전동 187-15|070-4681-6662
LGU플러스|부평1동부평문화로점 |인천 부평구 부평문화로 54 1층 (부평동)|인천시 부평구 부평동 549-17 1층|070-5017-5968
LGU플러스|부평4동문화사거리점 |인천 부평구 부평문화로 61 (부평동)|인천시 부평구 부평동 212-69|070-5017-0338
LGU플러스|북부동남부시장점 |경남 양산시 북안남1길 2 (북부동)|경남 양산시 북부동 491-3|070-7524-4398
LGU플러스|북삼읍인평리점 |경북 칠곡군 북삼읍 금오대로 285 .|경북 칠곡군 북삼읍 인평리 1077-2|070-4624-5878
LGU플러스|불당동지웰시티몰점 |충남 천안시 서북구 불당동 1614번지|충남 천안시 서북구 불당동 1614|070-8614-8619
LGU플러스|비전동비전점 |경기 평택시 평남로 862 (비전동)|경기도 평택시 비전동 1090-2|070-4001-5551
LGU플러스|사우동GS슈퍼마켓맞은편점 |경기 김포시 사우중로 45 김포코아센터 1층 109호 (사우동)|경기도 김포시 사우동 934 김포코아센타 1층 109호|070-5017-7969
LGU플러스|산격동산격시장점 |대구 북구 동북로 172 (산격동)|대구시 북구 산격동 1260-9|070-4843-1678
LGU플러스|산곡동롯데마트점 |인천 부평구 마장로 320 1층 110호 (산곡동, 한화프라자)|인천시 부평구 산곡동 100-80 한화프라자 1층 110호|070-4001-5228
LGU플러스|삼산동문화광장길점 |경북 안동시 문화광장길 46 (삼산동)|경북 안동시 삼산동 97-5|070-4606-9436
LGU플러스|삼평동판교역점 |경기 성남시 분당구 대왕판교로606번길 39 1층 651 (삼평동, 럭스타워)|경기도 성남시 분당구 삼평동 651 1층 651 럭스타워|070-4045-7045
LGU플러스|상2동상사거리점 |경기 부천시 상동로 90 121호 (상동)|경기도 부천시 상동 541-1 121호|070-5017-5047
LGU플러스|상대동동진로점 |경남 진주시 동진로 184-1 (상대동)|경남 진주시 상대동 300-58|070-5043-2489
LGU플러스|상동장미꽃길점 |전남 목포시 비파로51번길 33-1 (상동)|전남 목포시 상동 985-1|070-4060-8011
LGU플러스|상인동남상인네거리점 |대구 달서구 월곡로 180 (상인동)|대구시 달서구 상인동 1556-2|070-5043-2655
LGU플러스|상인동상인네거리점 |대구 달서구 월배로 220 (상인동)|대구시 달서구 상인동 1396-4|070-5033-0808
LGU플러스|서문동홈플러스점 |충북 청주시 상당구 사직대로 354-2 (서문동)|충북 청주시 상당구 서문동 153-1|070-4046-4601
LGU플러스|서상동외국인거리점 |경남 김해시 가락로 74-1 경남 김해시 서상동 128-10 (서상동)|경남 김해시 서상동 128-10 경남 김해시 서상동 128-10|070-7552-2591
LGU플러스|서현동고객감동분당점 |경기 성남시 분당구 서현로 190 (서현동)|경기도 성남시 분당구 서현동 251-2|070-4045-4835
LGU플러스|석남1동석남점 |인천시 서구 가정로308번길 2 인천시 서구 석남동 457-12번지 1층 엘지유플러스 (석남동)|인천시 서구 석남동 457-12 인천시 서구 석남동  1층 엘지유플러스|070-8262-7787
LGU플러스|성정동여성회관사거리점 |충남 천안시 서북구 동서대로 125-3 1층 (성정동)|충남 천안시 서북구 성정동 1262 1층|070-4007-4010
LGU플러스|송내1동송내남부점 |경기도 부천시 소사구 송내대로 33 1층 (송내동)|경기도 부천시 송내동 709-5 1층|070-4062-3328
LGU플러스|송도동밀레니엄점 |인천 연수구 컨벤시아대로 69 LG유플러스 (송도동)|인천시 연수구 송도동 3-1 LG유플러스|070-5017-3720
LGU플러스|송정동송정역점 |광주 광산구 상무대로 202 (송정동)|광주시 광산구 송정동 1464|070-8285-4006
LGU플러스|송죽동종합운동장점 |경기 수원시 장안구 경수대로 921 대학동물병원 1층 (송죽동)|경기도 수원시 장안구 송죽동 506-1 대학동물병원 1층|070-4624-8564
LGU플러스|수성동정읍CGV점 |전북 정읍시 중앙1길 1 (수성동)|전북 정읍시 수성동 525-1|070-4042-4061
LGU플러스|수안동충렬대로점 |부산시 동래구 충렬대로 250-1 부산광역시 동래구 수안동 268-27 (수안동)|부산시 동래구 수안동 268-27 부산광역시 동래구 수안동 268-27|070-5025-4556
LGU플러스|수정2동부산진역점 |부산 동구 중앙대로 379 1층 (수정동, 수정빌딩)|부산시 동구 수정동 1-51 1층 수정빌딩|070-5022-5092
LGU플러스|숭의4동제물포역점 |인천시 남구 경인로 130 1층 엘지유플러스 제물포직영점 /숭의동/ (구)새마을식당 자리 / SC제일은행 옆 건물 1층|인천시 미추홀구 숭의동 58-9 1층 엘지유플러스 제물포직영점 /숭의동/ (구)새마을식당 자리 / SC제일은행 옆 건물 1층|070-4823-2649
LGU플러스|신당동성서계대점 |대구시 달서구 계대동문로 18 대구시 달서구 신당동 1804번지|대구시 달서구 신당동 1804 대구시 달서구 신당동|070-5022-9906
LGU플러스|신매동시지광장점 |대구시 수성구 달구벌대로 3202 567-59번지 1층 (신매동)|대구시 수성구 신매동 567-59 1층|070-5025-7156
LGU플러스|신부동만남로점 |충남 천안시 동남구 만남로 42 103호 (신부동)|충남 천안시 동남구 신부동 462-2 103호|070-4001-5615
LGU플러스|신암동강남약국점 |대구 동구 신암로 98 (신암동)|대구시 동구 신암동 1196-2|053-939-9303
LGU플러스|신암동동구청점 |대구 동구 아양로 199 (신암동)|대구시 동구 신암동 98-1|070-5017-5675
LGU플러스|신음동시청로점 |경북 김천시 신음새동네길 1 460-10번지 (신음동)|경북 김천시 신음동 460-10|070-4036-7664
LGU플러스|신천동파리바게뜨점 |경기 시흥시 신천동 707-20번지 1층|경기도 시흥시 신천동 707-20 1층|031-403-1019
LGU플러스|신탄진동신탄진역점 |대전 대덕구 신탄진로 808 (신탄진동)|대전시 대덕구 신탄진동 143-4|070-4076-5829
LGU플러스|쌍용동광혜당약국점 |충남 천안시 서북구 봉명로 35 (쌍용동)|충남 천안시 서북구 쌍용동 824|070-5220-2883
LGU플러스|안양5동우리은행점 |경기 안양시 만안구 안양로 259 (안양동)|경기도 안양시 만안구 안양동 627-202|070-8237-1257
LGU플러스|안양동안양신한은행점 |경기 안양시 만안구 안양로292번길 8  (안양동) .|경기도 안양시 만안구 안양동 674-145|070-8228-6694
LGU플러스|언양읍언양터미널점 |울산 울주군 언양읍 헌양길 12 .|울산시 울주군 언양읍 동부리 131-1|070-4063-4061
LGU플러스|여서동중앙점 |전남 여수시 여서1로 81 (여서동)|전남 여수시 여서동 220-1|070-4036-4856
LGU플러스|역동광주농협점 |경기 광주시 중앙로 88 1층 (역동)|경기도 광주시 역동 23-2 1층|070-8620-3553
LGU플러스|연동신광로점 |제주특별자치도 제주시 삼무로 18 (연동)|제주특별자치도 제주시 연동 261-23|000-0000-0000
LGU플러스|연동신제주점 |제주 제주시 도령로 73 펠리체 (연동)|제주특별자치도 제주시 연동 1964-3 연동펠리체|070-4325-4944
LGU플러스|연산2동부산시청역점 |부산 연제구 중앙대로 1034  (연산동) .|부산시 연제구 연산동 1328-14|070-5035-2458
LGU플러스|연수동신연수점 |충북 충주시 계명대로 228 1층 LGU+ (연수동)|충북 충주시 연수동 1712 1층 LGU|070-4046-4045
LGU플러스|연수동연수역점 |인천시 연수구 먼우금로 190 연수동 597-4번지 1층 (옥련동/청학동/동춘동/송도동/선학동/연수동) (연수동)|인천시 연수구 연수동 597-4 연수동  1층 (옥련동/청학동/동춘동/송도동/선학동/연수동)|070-4064-9746
LGU플러스|연향동국민은행사거리점 |전남 순천시 이수로 319 세븐빌딩 1층 LG유플러스 (조례동)|전남 순천시 조례동 1721-5 세븐빌딩 1층 LG유플러스|070-8624-2401
LGU플러스|연향동패션거리점 |전남 순천시 연향중앙상가길 19 .|전남 순천시 연향동 1337-4|070-4064-3010
LGU플러스|연희동커널웨이점 |인천시 서구 청라라임로 71 진영메디피아 108호,109호 LGU+ 청라직영점|인천시 서구 청라동 162-10 진영메디피아 108호 ,109호 LGU+ 청라직영점|070-5017-7951
LGU플러스|영등동홈플러스정문점 |전북 익산시 무왕로 1031 (영등동)|전북 익산시 영등동 829-5|070-4045-4016
LGU플러스|영통동영통역점 |경기 수원시 영통구 봉영로 1590 (영통동)|경기도 수원시 영통구 영통동 995-5|070-5017-5074
LGU플러스|오송읍만수리점 |충북 청주시 흥덕구 오송읍 오송생명5로 179 .|충북 청주시 흥덕구 오송읍 만수리 517|070-5017-6241
LGU플러스|옥계동삼구트리니엔점 |경북 구미시 옥계북로 36 1층 제101호 (옥계동, 옥계메디칼타워)|경북 구미시 옥계동 834-1 옥계메디칼타워 1층 제101호|070-5111-5112
LGU플러스|온천동유엘시티점 |충남 아산시 충무로 22 충남 아산시 온천동 300-24번지 1층|충남 아산시 온천동 300-24 충남 아산시 온천동  1층|070-4042-1090
LGU플러스|용봉동전남대후문중앙점 |광주 북구 우치로 102-1 (용봉동)|광주시 북구 용봉동 152-38|070-4045-4131
LGU플러스|용산동충주여고점 |충북 충주시 형설로 92 (용산동)|충북 충주시 용산동 1633|070-4098-1502
