##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|SUBNAME2
재규어|양재전시장|02-1800-5489|서울특별시 서초구 양재동 217 금관 2층|서울특별시 서초구 양재대로 11길 36|KCC오토모빌
재규어|장한평전시장|02-2210-8266|서울특별시 성동구 용답동 238-1 카서울닷컴 6층|서울특별시 성동구 자동차시장 1길 96|선진모터스
재규어|성남전시장|031-5170-5570|경기도 성남시 시흥동 206-1 3층|경기도 성남시 수정구 설개로 2번길 20|KCC오토모빌
재규어|수원전시장|031-895-5220|경기도 수원시 원천동 293-1 2층|경기도 수원시 영통구 중부대로 490|천일오토모빌
재규어|인천전시장|032-575-0588|인천광역시 서구 가좌동 178-105 엠파크타워 1층|인천광역시 서구 봉수대로 158|아주네트웍스
재규어|안양전시장|031-468-7922|경기도 안양시 만안구 안양동 219-8, 안양오토갤러리 1층|경기도 안양시 만안구 시민대로 40|C&D모터스
재규어|대전전시장|042-620-7090|대전광역시 서구 월평동 118|대전광역시 서구 월드컵대로 484번길 77, 나동 204호|JL모터스
재규어|대구전시장|053-565-2500|대구광역시 서구 이현동 42-30번지, 엠월드 1층 13호|대구광역시 서구 문화로 37|인타이어모터스
재규어|창원전시장|055-250-5777|경상남도 창원시 마산회원구 봉암동 471-21|경상남도 창원시 마산회원구 봉양로 122|선진모터스
재규어|제주전시장|064-803-2050|제주특별자치도 제주시 오라3동 2108|제주특별자치도 제주시 연삼로 136|KCC오토모빌
재규어|부산전시장|051-715-4300|부산광역시 부산진구 부전동 450|부산광역시 부산진구 신천대로 122|한영모터스
재규어|부산/연제전시장|051-507-1408|부산광역시 연제구 거제동 1387|부산광역시 연제구 경기장로 15|효성프리미어모터스
