##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@오렌지팩토리
오렌지팩토리|양재점|127.03625590000001|37.4828766|아울렛|02-574-8861||서울특별시 서초구 양재동 13-12|||||||오렌지팩토리 양재점||||90210
오렌지팩토리|울산/남구점|129.32924030000004|35.5356789|아울렛|052-265-2262||울산광역시 남구 달동 1271-9|||||||오렌지팩토리 울산/남구점||||90210
오렌지팩토리|안산점|126.81279659999996|37.3400048|아울렛|031-485-9672||경기도 안산시 단원구 선부3동 1085|||||||오렌지팩토리 안산점||||90210
오렌지팩토리|진주점|128.10007870000004|35.1203402|아울렛|055-754-2247||경상남도 진주시 정촌면 예하리 1275-6|||||||오렌지팩토리 진주점||||90210
오렌지팩토리|금촌점|126.77316640000004|37.76493730000001|아울렛|031-941-2279||경기도 파주시 금촌동 329-40|||||||오렌지팩토리 금촌점||||90210
오렌지팩토리|김포/풍무점|126.72690720000003|37.6111364|아울렛|031-981-6046||경기도 김포시 풍무동 38-1|||||||오렌지팩토리 김포/풍무점|홈플러스 김포풍무점 B1|||90210
오렌지팩토리|수지/풍덕천점|127.10238329999993|37.3298914|아울렛|031-261-6460||경기도 용인시 수지구 풍덕천동 71-1|||||||오렌지팩토리 수지/풍덕천점||||90210
오렌지팩토리|발산점|126.84173050000004|37.5578264|아울렛|02-2658-2713||서울특별시 강서구 내발산동 647-2|||||||오렌지팩토리 발산점||||90210
오렌지팩토리|남가좌점|126.92190860000005|37.577338|아울렛|02-302-2411||서울특별시 서대문구 남가좌동 349-1|||||||오렌지팩토리 남가좌점||||90210
오렌지팩토리|익산점|126.99473990000001|35.9598868|아울렛|063-832-2260||전라북도 익산시 부송동 257-48|||||||오렌지팩토리 익산점||||90210
오렌지팩토리|곤지암점|127.36801259999993|37.3558767|아울렛|031-763-0535||경기도 광주시 곤지암읍 열미리 335-1|||||||오렌지팩토리 곤지암점||||90210
오렌지팩토리|워커힐점|127.10800029999996|37.5498349|아울렛|02-444-1380||서울특별시 광진구 광장동 341-1|||||||오렌지팩토리 워커힐점||||90210
오렌지팩토리|강동점|127.14224390000004|37.5456582|아울렛|02-470-9390||서울특별시 강동구 천호동 42|||||||오렌지팩토리 강동점|홈플러스 강동점 2F|||90210
오렌지팩토리|구의점|127.09315349999997|37.5493596|아울렛|02-444-5929||서울특별시 광진구 구의동 58-16|||||||오렌지팩토리 구의점||||90210
오렌지팩토리|동대전점|127.44105719999993|36.3503176|아울렛|042-631-2262||대전광역시 동구 가양동 452-5|||||||오렌지팩토리 동대전점||||90210
오렌지팩토리|남양주점|127.28156949999993|37.6562881|아울렛|031-511-9600||경기도 남양주시 화도읍 묵현리 368-2|||||||오렌지팩토리 남양주점||||90210
오렌지팩토리|부평역점|126.72330820000002|37.4897746|아울렛|032-511-2260||인천광역시 부평구 부평동 738-21|||||||오렌지팩토리 부평역점||||90210
오렌지팩토리|부평점|126.7040634|37.5049762|아울렛|032-362-2260||인천광역시 부평구 산곡동 159-52|||||||오렌지팩토리 부평점|롯데마트 부평점 2층|||90210
오렌지팩토리|서현점|127.12059490000001|37.3859842|아울렛|031-708-2260||경기도 성남시 분당구 서현동 275|||||||오렌지팩토리 서현점||||90210
오렌지팩토리|신갈점|127.14172269999995|37.2614069|아울렛|031-281-9960||경기도 용인시 기흥구 상하동 216-1|||||||오렌지팩토리 신갈점||||90210
오렌지팩토리|양주점|127.05345710000006|37.8341541|아울렛|031-858-0866||경기도 양주시 회정동 200-1|||||||오렌지팩토리 양주점||||90210
오렌지팩토리|양지점|127.29732969999998|37.2335613|아울렛|031-339-6996||경기도 용인시 처인구 양지면 양지리 110-3|||||||오렌지팩토리 양지점||||90210
오렌지팩토리|여주점|127.66544850000002|37.2181313|아울렛|031-881-3148|경기도 여주시 점동면 장여로 1327||||||||오렌지팩토리 여주점|.|||90210
오렌지팩토리|오산점|127.07283359999997|37.1367514|아울렛|031-373-5063|경기도 오산시 경기대로 133||||||||오렌지팩토리 오산점|.|||90210
오렌지팩토리|의정부점|127.08424890000003|37.7427504|아울렛|031-852-2261||경기도 의정부시 용현동 527-1|||||||오렌지팩토리 의정부점|롯데마트 1층|||90210
오렌지팩토리|주엽점|126.75515480000001|37.6735182|아울렛|031-919-2261||경기도 고양시 일산서구 주엽동 15|||||||오렌지팩토리 주엽점|롯데마트 1층|||90210
오렌지팩토리|진장점|129.35932400000002|35.5760993|아울렛|052-288-2261||울산광역시 북구 진장동 283-1|||||||오렌지팩토리 진장점|롯데마트 2층|||90210
오렌지팩토리|창원점|128.65563739999993|35.2395289|아울렛|055-288-2260||경상남도 창원시 의창구 두대동 333|||||||오렌지팩토리 창원점||||90210
오렌지팩토리|남부터미널점|127.0184779|37.4857451|아울렛|02-583-1172|서울특별시 서초구 효령로 313||||||||오렌지팩토리 남부터미널점|.|||90210
오렌지팩토리|사리현점|126.83646099999999|37.6974789|아울렛|031-968-2260|경기도 고양시 일산동구 성현로 488||||||||오렌지팩토리 사리현점|.|||90210
오렌지팩토리|삼성점|127.06509729999993|37.5131142|아울렛|02-568-1496|서울특별시 강남구 봉은사로112길 27||||||||오렌지팩토리 삼성점|.|||90210
오렌지팩토리|진접점|127.18409040000006|37.7157881|아울렛|031-527-9582|경기도 남양주시 진접읍 금강로 1383||||||||오렌지팩토리 진접점|.|||90210
오렌지팩토리|수지점|127.09945570000002|37.3207701|아울렛|031-896-2260||경기도 용인시 기흥구 보정동 266-4|||||||오렌지팩토리 수지점|롯데마트 2층|||90210
오렌지팩토리|상봉점|127.0856632|37.5946937|아울렛|02-905-1495|서울특별시 중랑구 면목로 481||||||||오렌지팩토리 상봉점|.|||90210
오렌지팩토리|안양점|126.94153170000004|37.3934753|아울렛|031-468-7920|경기도 안양시 동안구 경수대로 839||||||||오렌지팩토리 안양점|.|||90210
오렌지팩토리|포항점|129.368156|36.0143179|아울렛|054-281-2262||경상북도 포항시 남구 해도동 110-6|||||||오렌지팩토리 포항점||||90210
오렌지팩토리|대청점|129.03204630000005|35.103064|아울렛|051-463-2262|부산광역시 중구 대청로 109||||||||오렌지팩토리 대청점|.|||90210
오렌지팩토리|양산점|129.1561653|35.3795525|아울렛|055-381-2262|경상남도 양산시 웅상대로 896||||||||오렌지팩토리 양산점|.|||90210
오렌지팩토리|아산점|127.02839449999999|36.8971288|아울렛|041-536-0561||충청남도 아산시 둔포면 신항리 17-3|||||||오렌지팩토리 아산점|자루 퍼스트빌리지 1F|||90210
오렌지팩토리|사상점|128.96836929999995|35.1275891|아울렛|051-312-2260||부산광역시 사상구 엄궁동 690|||||||오렌지팩토리 사상점|롯데마트 3층|||90210
오렌지팩토리|전주점|127.07174220000002|35.869477|아울렛|063-214-8650||전라북도 전주시 덕진구 여의동 1231-8|||||||오렌지팩토리 전주점||||90210
오렌지팩토리|영등포점|126.90546310000002|37.5194845|아울렛|02-2068-8897||서울특별시 영등포구 영등포동3가 6-17|||||||오렌지팩토리 영등포점||||90210
오렌지팩토리|동탄점|127.06257349999998|37.2240413|아울렛|031-233-2260||경기도 화성시 반월동 538-1|||||||오렌지팩토리 동탄점||||90210
