##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@작은도서관
꿈꾸는작은도서관||||작은도서관|000-0000-0000|경상남도 김해시 함박로 120||||||||꿈꾸는작은도서관|(외동) 상가 5층 511호|||200102
삼성아파트/작은도서관||||작은도서관|061-283-3769|전라남도 목포시 부흥로 12||||||||삼성아파트 작은도서관|(상동,삼성아파트) 관리동 2층|||200102
길음동/작은도서관||||작은도서관|02-941-0272|서울특별시 성북구 길음로15길 23||||||||길음동 작은도서관|(길음동) 새생명교회 B1층|||200102
그루터기/작은도서관||||작은도서관|031-925-9486|경기도 고양시 일산동구 무궁화로93번길 26||||||||그루터기 작은도서관|(정발산동) 그루터기 작은도서관|||200102
꿈을/굽는/작은도서관||||작은도서관|000-0000-0000|인천광역시 서구 마전로115번길 12||||||||꿈을 굽는 작은도서관|(마전동,웨스트 빌리지) 310호|||200102
도시정원도서관||||작은도서관|051-508-7021|부산광역시 부산진구 양지로 19||||||||도시정원도서관|(양정동) 2층|||200102
힐링도서관||||작은도서관|051-915-1526|부산광역시 부산진구 범양로 109||||||||힐링도서관|(양정동) 2층|||200102
사랑/뜰/작은도서관||||작은도서관|031-351-0393|경기도 화성시 장안면 사랑길 133-8||||||||사랑 뜰 작은도서관|조암제일교회 내|||200102
마주,/봄/작은도서관||||작은도서관|000-0000-0000|경기도 하남시 아리수로 565||||||||마주, 봄 작은도서관|(망월동,미사강변도시13단지) 관리사무소 2층|||200102
발바닥/작은도서관||||작은도서관|031-716-1213|경기도 성남시 분당구 불정로71번길 1||||||||발바닥 작은도서관|(정자동) 지하1층|||200102
우아영작은도서관||||작은도서관|000-0000-0000|충청남도 홍성군 홍성읍 소향길91번길 94-52||||||||우아영작은도서관|94-52|||200102
꿈꾸는놀이터작은도서관||||작은도서관|055-638-1000|경상남도 거제시 제산로 17||||||||꿈꾸는놀이터작은도서관|(양정동) 106동 101호|||200102
블루힐/작은도서관||||작은도서관|031-986-7636|경기도 김포시 김포한강8로 15||||||||블루힐 작은도서관|(마산동,한강센트럴블루힐) 블루힐 작은도서관|||200102
정인꿈땅도서관||||작은도서관|02-910-7708|서울특별시 성북구 서경로6길 70||||||||정인꿈땅도서관|(길음동) 1층|||200102
쌍용예가도서관||||작은도서관|000-0000-0000|경기도 오산시 내삼미로 110||||||||쌍용예가도서관|(내삼미동,세교 쌍용 예가 NHF) 세교쌍용예가아파트 관리사무소|||200102
반도아이비/작은도서관||||작은도서관|000-0000-0000|경기도 화성시 동탄대로시범길 168||||||||반도아이비 작은도서관|(청계동,시범반도유보라1차) 시범반도유보라1차|||200102
자이/꿈/작은도서관||||작은도서관|000-0000-0000|경기도 화성시 서동탄로 53||||||||자이 꿈 작은도서관|(능동,서동탄역파크자이) 서동탄역파크자이|||200102
음성대대/작은도서관||||작은도서관|000-0000-0000|충청북도 음성군 음성읍 용광로 35-12||||||||음성대대 작은도서관|음성대대 작은도서관|||200102
꿈자람/작은도서관||||작은도서관|000-0000-0000|충청북도 음성군 대소면 오산로14번길 3-11||||||||꿈자람 작은도서관|꿈자람 작은도서관|||200102
가온누리/작은도서관||||작은도서관|000-0000-0000|충청북도 음성군 음성읍 설성공원길 10-2||||||||가온누리 작은도서관|가온누리 작은도서관|||200102
란트별빛작은도서관||||작은도서관|031-868-7566|경기도 양주시 옥정동로9길 74||||||||란트별빛작은도서관|(옥정동,리젠시빌란트) 작은도서관|||200102
꿈자람작은도서관||||작은도서관|031-857-9500|경기도 양주시 독바위로287번길 20||||||||꿈자람작은도서관|(옥정동) 독바위교회 내|||200102
능호관작은도서관||||작은도서관|031-867-5020|경기도 양주시 옥정동로 257||||||||능호관작은도서관|(옥정동,율정마을7단지) 관리동|||200102
행복꿈터작은도서관||||작은도서관|031-968-7032|경기도 고양시 덕양구 원흥1로 25||||||||행복꿈터작은도서관|(원흥동,고양삼송엘에이치원흥마을11단지) 원흥마을11단지 커뮤니티센터|||200102
송강/스위트/도서관||||작은도서관|000-0000-0000|경기도 고양시 덕양구 신원2로 50||||||||송강 스위트 도서관|(신원동,신원마을7단지 삼송 동일스위트1차) 동일스위트1차 커뮤니티센터|||200102
겨자씨작은도서관||||작은도서관|000-0000-0000|경기도 고양시 덕양구 무원로6번길 50||||||||겨자씨작은도서관|(행신동) 205호|||200102
에듀밸리/작은도서관||||작은도서관|031-375-5517|경기도 화성시 동탄대로24길 199||||||||에듀밸리 작은도서관|(영천동,동탄 에듀밸리 사랑으로 부영아파트) 동탄 에듀밸리 사랑으로 부영아파트|||200102
같이가치작은도서관||||작은도서관|061-332-7399|전라남도 나주시 중야1길 37||||||||같이가치작은도서관|(빛가람동,대방엘리움1차 아파트) 같이가치작은도서관|||200102
느티북캠프작은도서관||||작은도서관|000-0000-0000|충청남도 예산군 신양면 불원귀곡길 108||||||||느티북캠프작은도서관|느티북캠프작은도서관|||200102
하늘샘/도서관||||작은도서관|070-7704-6149|인천광역시 서구 완정로34번길 55||||||||하늘샘 도서관|(마전동) 하늘샘교회|||200102
솔로몬작은도서관||||작은도서관|000-0000-0000|경기도 시흥시 도일로 119||||||||솔로몬작은도서관|(거모동) 5층 동방교회|||200102
인스빌작은도서관||||작은도서관|000-0000-0000|경기도 시흥시 목감중앙로 36||||||||인스빌작은도서관|(조남동,신안인스빌) 커뮤니티센터|||200102
새샘작은도서관||||작은도서관|031-311-1581|경기도 시흥시 복지로 12||||||||새샘작은도서관|(대야동) 신천감리교회|||200102
레이크빌/작은도서관||||작은도서관|031-372-2767|경기도 화성시 동탄대로9길 20||||||||레이크빌 작은도서관|(송동,동탄2 LH 26단지 아파트 A65BL) LH26단지 관리동 내|||200102
새싹/작은도서관||||작은도서관|031-355-8204|경기도 화성시 남양읍 남양시장로55번길 5-1||||||||새싹 작은도서관|2층|||200102
우리꿈/작은도서관||||작은도서관|031-222-3504|경기도 화성시 효행로 1344-6||||||||우리꿈 작은도서관|(반월동) 우리꿈교회 내|||200102
자이/작은도서관||||작은도서관|031-377-5120|경기도 화성시 동탄대로2길 19||||||||자이 작은도서관|(장지동,동탄자이파밀리에) 동탄자이파밀리에|||200102
꿈틀/마을/책방||||작은도서관|031-794-0091|경기도 하남시 덕풍북로6번길 9||||||||꿈틀 마을 책방|(덕풍동) 1층|||200102
다음세대/작은도서관||||작은도서관|031-795-0691|경기도 하남시 신평로 12||||||||다음세대 작은도서관|(덕풍동) 3층|||200102
들꽃작은도서관||||작은도서관|02-324-9529|서울특별시 마포구 성미산로13길 76||||||||들꽃작은도서관|(성산동) 2층|||200102
지혜누리작은도서관||||작은도서관|033-742-3927|강원도 원주시 시청로 24||||||||지혜누리작은도서관|(무실동) 603호 (더큼프라자)|||200102
홍동밝맑도서관||||작은도서관|041-634-2333|충청남도 홍성군 홍동면 광금남로 658-7||||||||홍동밝맑도서관|홍동밝맑도서관|||200102
대전은포작은도서관||||작은도서관|000-0000-0000|대전광역시 중구 유천로132번길 75||||||||대전은포작은도서관|(태평동) 지하1층|||200102
금빛작은도서관||||작은도서관|000-0000-0000|대전광역시 중구 금동길 51-6||||||||금빛작은도서관|(금동) 1층|||200102
엘마르작은도서관||||작은도서관|055-681-0117|경상남도 거제시 일운면 지세포해안로 258||||||||엘마르작은도서관|2층|||200102
늘봄작은도서관||||작은도서관|031-261-3927|경기도 용인시 수지구 대지로 125||||||||늘봄작은도서관|(죽전동) 상가 204호|||200102
하늘재/숲속/힐링/도서관||||작은도서관|000-0000-0000|경상북도 문경시 문경읍 관음길 529||||||||하늘재 숲속 힐링 도서관|하늘재 숲속 힐링 도서관|||200102
원주/한/도시/한/책/읽기/도서관||||작은도서관|033-747-3649|강원도 원주시 행구로 362||||||||원주 한 도시 한 책 읽기 도서관|(행구동) 기후변화홍보관|||200102
치악산/새마을문고/작은도서관||||작은도서관|033-734-5966|강원도 원주시 소초면 평장동길 86-16||||||||치악산 새마을문고 작은도서관|주민자치센터|||200102
민들레작은도서관||||작은도서관|070-7737-9965|경상남도 밀양시 가곡8길 14-3||||||||민들레작은도서관|(가곡동) 2층|||200102
꿈꾸는/작은도서관/깨끔발||||작은도서관|000-0000-0000|부산광역시 부산진구 성지로 98-1||||||||꿈꾸는 작은도서관 깨끔발|(초읍동) 3층|||200102
클로이작은도서관||||작은도서관|031-572-0693|경기도 남양주시 진접읍 장현로 177||||||||클로이작은도서관|늘푸른빌딩 3층|||200102
씨알작은도서관||||작은도서관|000-0000-0000|경상북도 경산시 성암로12길 36-5||||||||씨알작은도서관|(옥산동) 1층|||200102
송현이안/작은도서관||||작은도서관|000-0000-0000|경상북도 안동시 송현길 23||||||||송현이안 작은도서관|(송현동,안동송현이안) 송현이안 작은도서관|||200102
큰/빛/작은도서관||||작은도서관|070-4634-9061|인천광역시 서구 심곡로132번길 17||||||||큰 빛 작은도서관|(심곡동,동남아파트) 4층|||200102
토리작은도서관||||작은도서관|043-6385-9401|충청북도 증평군 증평읍 송산로4길 14||||||||토리작은도서관|(송산 LH천년나무3단지) 관리사무소 2층|||200102
용당꿈꾸는어린이도서관||||작은도서관|000-0000-0000|부산광역시 남구 동명로 26||||||||용당꿈꾸는어린이도서관|(용당동) 현대아이파크|||200102
진리아리작은도서관||||작은도서관|000-0000-0000|강원도 홍천군 홍천읍 희망로16길 16-14||||||||진리아리작은도서관|.|||200102
꿀단지작은도서관||||작은도서관|000-0000-0000|서울특별시 강서구 마곡서1로 132||||||||꿀단지작은도서관|(마곡동,마곡엠밸리3단지) 상가동 2층|||200102
느티나무작은도서관||||작은도서관|000-0000-0000|전라남도 목포시 남악1로16번길 32-3||||||||느티나무작은도서관|(옥암동) 영산빌 2층|||200102
비채/작은도서관||||작은도서관|000-0000-0000|경기도 화성시 봉담읍 삼천병마로783번길 15||||||||비채 작은도서관|혜성같은교회 내 비채작은도서관|||200102
늘푸른도서관||||작은도서관|061-536-2048|전라남도 해남군 해남읍 해리8길 19||||||||늘푸른도서관|해남등대원|||200102
둘둘작은도서관||||작은도서관|000-0000-0000|경기도 용인시 처인구 남사면 한숲로 137||||||||둘둘작은도서관|(e편한세상 용인 한숲시티) 커뮤니티센터|||200102
평화마을/작은도서관||||작은도서관|031-351-6117|경기도 화성시 우정읍 매향웃말길 27||||||||평화마을 작은도서관|평화마을 작은도서관|||200102
서창/퍼스트뷰/7단지/작은도서관||||작은도서관|000-0000-0000|인천광역시 남동구 서창남순환로 190-15||||||||서창 퍼스트뷰 7단지 작은도서관|(서창동,서창LH7단지아파트) 서창LH7단지아파트|||200102
트리니티작은도서관||||작은도서관|02-802-5390|서울특별시 금천구 시흥대로72길 13||||||||트리니티작은도서관|(시흥동) 1층|||200102
해피도서관||||작은도서관|000-0000-0000|인천광역시 남동구 독곡로6번길 47||||||||해피도서관|(서창동,금성주택) 401호|||200102
서창/푸르지오/도서관||||작은도서관|032-472-4662|인천광역시 남동구 서창남순환로 55||||||||서창 푸르지오 도서관|(서창동,서창센트럴푸르지오) 서창센트럴푸르지오|||200102
드림작은도서관||||작은도서관|051-466-7291|부산광역시 동구 홍곡남로 13-3||||||||드림작은도서관|(수정동) 401호|||200102
행복나눔작은도서관||||작은도서관|000-0000-0000|충청남도 예산군 예산읍 벚꽃로464번길 28-2||||||||행복나눔작은도서관|행본나눔작은도서관|||200102
무지개/작은/도서관||||작은도서관|033-433-0207|강원도 홍천군 홍천읍 갈마로 51||||||||무지개 작은 도서관|갈마로 51|||200102
범지기4단지/작은도서관||||작은도서관|000-0000-0000|세종특별자치시 달빛로 109||||||||범지기4단지 작은도서관|(아름동,범지기마을 4단지) 범지기4단지 관리동 2층|||200102
스타북스/병영도서관||||작은도서관|000-0000-0000|경상북도 경산시 하양읍 용정길 236||||||||스타북스 병영도서관|제8919부대|||200102
1대대/병영도서관||||작은도서관|000-0000-0000|경상북도 경산시 하양읍 용정길 236||||||||1대대 병영도서관|제8919부대|||200102
병영도서관||||작은도서관|000-0000-0000|경상북도 경산시 하양읍 용정길 236||||||||병영도서관|제8919부대|||200102
명덕이음/작은도서관||||작은도서관|052-201-1445|울산광역시 동구 명덕로 70||||||||명덕이음 작은도서관|(서부동,현대패밀리명덕2차아파트) 201동 L층|||200102
덕진2차작은도서관||||작은도서관|061-762-3321|전라남도 광양시 중마로 369||||||||덕진2차작은도서관|(마동,덕진광양의봄아파트) 202동 파로티층|||200102
수시아작은도서관||||작은도서관|061-761-0040|전라남도 광양시 광양읍 서산길 43||||||||수시아작은도서관|(수시아아파트) 105동 지하|||200102
덕진1차작은도서관||||작은도서관|061-795-3888|전라남도 광양시 중마로 367||||||||덕진1차작은도서관|(마동,덕진광양의봄아파트) 102동 파로티층|||200102
행촌/작은도서관||||작은도서관|000-0000-0000|충청북도 괴산군 연풍면 원풍로율전2길 20||||||||행촌 작은도서관|연풍상록교회|||200102
꿈꾸는/작은도서관||||작은도서관|000-0000-0000|경상남도 거창군 거창읍 지내길 66||||||||꿈꾸는 작은도서관|꿈꾸는 작은도서관|||200102
다독다독/행촌/카페/작은도서관||||작은도서관|061-536-5113|전라남도 해남군 해남읍 해남화산로 115-43||||||||다독다독 행촌 카페 작은도서관|제8539부대 4대대 (임충식 대대)|||200102
세종종합사회복지관/봄드림/작은도서관||||작은도서관|044-868-2004|세종특별자치시 조치원읍 산책1길 65||||||||세종종합사회복지관 봄드림 작은도서관|세종종합사회복지관 3층|||200102
해누리문고||||작은도서관|052-252-8704|울산광역시 동구 방어진순환도로 501||||||||해누리문고|(방어동) 지상1층|||200102
개정사립작은도서관||||작은도서관|063-451-2221|전라북도 군산시 개정면 바르메길 8-4||||||||개정사립작은도서관|개정사립작은도서관|||200102
작은도서관/내일새싹||||작은도서관|02-2063-3333|서울특별시 양천구 월정로50길 6||||||||작은도서관 내일새싹|(신월동) 1층|||200102
덕수리새마을작은도서관||||작은도서관|000-0000-0000|제주특별자치도 서귀포시 안덕면 덕수회관로 98||||||||덕수리새마을작은도서관|덕수리|||200102
감산리새마을작은도서관||||작은도서관|064-794-9095|제주특별자치도 서귀포시 안덕면 감산중로 32||||||||감산리새마을작은도서관|감산리|||200102
안디아모/다국어/그림책도서관||||작은도서관|000-0000-0000|서울특별시 관악구 관악로12길 97||||||||안디아모 다국어 그림책도서관|(봉천동) 2층|||200102
참새방앗간/작은도서관||||작은도서관|031-917-9125|경기도 고양시 일산서구 덕이로 14||||||||참새방앗간 작은도서관|(덕이동) 2D 107호|||200102
피터의/작은도서관||||작은도서관|033-592-8888|강원도 정선군 고한읍 고한2길 16||||||||피터의 작은도서관|이음플랫폼|||200102
별별작은도서관||||작은도서관|000-0000-0000|충청남도 계룡시 두마면 사계로 101||||||||별별작은도서관|(계룡 더 샵 아파트) 101동 302호|||200102
다독임작은도서관||||작은도서관|061-432-9118|전라남도 강진군 강진읍 춘곡길 60-19||||||||다독임작은도서관|8539-3대대|||200102
평리작은도서관||||작은도서관|053-561-0635|대구광역시 서구 통학로38길 23||||||||평리작은도서관|(평리동) 평리동|||200102
광개토/작은도서관||||작은도서관|031-000-0000|경기도 고양시 덕양구 호국로 1895||||||||광개토 작은도서관|(벽제동,삼성벽제아파트) 삼성벽제아파트 내 광개토 작은도서관|||200102
그의/정원/작은도서관||||작은도서관|000-0000-0000|경기도 고양시 일산동구 강송로87번길 23-5||||||||그의 정원 작은도서관|(백석동) 1층|||200102
The/행복한/도서관||||작은도서관|000-0000-0000|경기도 고양시 일산동구 고봉로 20-5||||||||The 행복한 도서관|(장항동) 301호|||200102
신머들새마을작은도서관||||작은도서관|064-738-2828|제주특별자치도 서귀포시 서호남로 92-16||||||||신머들새마을작은도서관|(서호동,제주서귀포혁신도시엘에이치2단지) 커뮤니티건물1층|||200102
그레이스영어작은도서관||||작은도서관|000-0000-0000|제주특별자치도 서귀포시 천제연로 103-15||||||||그레이스영어작은도서관|(색달동) 색달동|||200102
한우리작은도서관||||작은도서관|000-0000-0000|제주특별자치도 서귀포시 중앙로117번길 5||||||||한우리작은도서관|(서홍동)|||200102
돼지작은도서관||||작은도서관|064-77-|제주특별자치도 서귀포시 대정읍 추사로 93-1||||||||돼지작은도서관|보성리|||200102
매직오브리딩작은도서관||||작은도서관|000-0000-0000|제주특별자치도 서귀포시 중산간동로 8067||||||||매직오브리딩작은도서관|(서홍동) 2층|||200102
소랑호꼴락/작은도서관||||작은도서관|064-730-9050|제주특별자치도 서귀포시 동문로 1||||||||소랑호꼴락 작은도서관|(서귀동) 제주권역재활병원|||200102
정글북스/도서관||||작은도서관|070-8823-7950|경기도 의정부시 송양로 94||||||||정글북스 도서관|(민락동,민락엘레트19단지) 관리동 1층|||200102
용암마을/들꽃도서관||||작은도서관|031-853-8371|경기도 의정부시 용민로 429-39||||||||용암마을 들꽃도서관|(낙양동,용암마을13단지) 커뮤니티센터 1층|||200102
동동숲작은도서관||||작은도서관|055-673-6737|경상남도 고성군 대가면 연지4길 479-86||||||||동동숲작은도서관|동동숲작은도서관|||200102
광평마을도서관||||작은도서관|000-0000-0000|경상북도 구미시 광평길 30||||||||광평마을도서관|(광평동) 1호|||200102
꿈행복사랑작은도서관||||작은도서관|041-932-9427|충청남도 보령시 청소면 김좌진로 46-20||||||||꿈행복사랑작은도서관|꿈행복사랑작은도서관|||200102
천리포수목원/작은도서관||||작은도서관|041-672-9986|충청남도 태안군 소원면 천리포1길 187||||||||천리포수목원 작은도서관|에코힐린센터|||200102
새샘마을9단지/작은도서관||||작은도서관|000-0000-0000|세종특별자치시 국책연구원1로 15||||||||새샘마을9단지 작은도서관|(소담동,새샘마을9단지) .|||200102
가온꿈/작은도서관||||작은도서관|000-0000-0000|세종특별자치시 다정북로 109||||||||가온꿈 작은도서관|(다정동,가온마을3단지) .|||200102
대산/터무/작은도서관||||작은도서관|000-0000-0000|경상남도 함안군 대산면 기동안길 39||||||||대산 터무 작은도서관|대산 터무 작은도서관|||200102
구미시근로자문화센터/작은도서관||||작은도서관|054-476-6444|경상북도 구미시 해마루공원로 24||||||||구미시근로자문화센터 작은도서관|(구포동) 2층|||200102
별무리도서관||||작은도서관|070-4607-0320|충청남도 금산군 남일면 별무리1길 19||||||||별무리도서관|별무리도서관|||200102
별빛나무/작은도서관||||작은도서관|000-0000-0000|충청남도 금산군 복수면 두집메길 9-13||||||||별빛나무 작은도서관|별빛나무 작은도서관|||200102
센트럴꿈속작은도서관||||작은도서관|041-933-2091|충청남도 보령시 한내로터리길 165||||||||센트럴꿈속작은도서관|(동대동,동대 센트럴파크 새미래 에뜨젠) 108동 1층|||200102
작은도서관/노작||||작은도서관|031-8015-0993|경기도 화성시 노작로 206||||||||작은도서관 노작|(석우동) 노작홍사용문학관 내|||200102
반도/정다운/작은도서관||||작은도서관|031-378-2391|경기도 화성시 동탄기흥로 479-12||||||||반도 정다운 작은도서관|(오산동,동탄역 반도유보라 아이비파크6.0) 별동학습관 1층|||200102
봉담우방아이유쉘2차아파트/작은도서관||||작은도서관|031-278-6717|경기도 화성시 봉담읍 수영로 61-7||||||||봉담우방아이유쉘2차아파트 작은도서관|(우방아이유쉘 2단지) 봉담우방아이유쉘2차 아파트|||200102
옹달샘작은도서관||||작은도서관|033-682-3488|강원도 고성군 거진읍 거탄진로 82||||||||옹달샘작은도서관|거진중앙교회|||200102
나눔의터작은도서관||||작은도서관|000-0000-0000|강원도 고성군 거진읍 용하길 16||||||||나눔의터작은도서관|산두교회|||200102
학교면/작은도서관||||작은도서관|061-0000-0000|전라남도 함평군 학교면 학다리길 406||||||||학교면 작은도서관|2층|||200102
용흥작은도서관||||작은도서관|064-739-3669|제주특별자치도 서귀포시 용흥로 55||||||||용흥작은도서관|(강정동) 용흥마을회관|||200102
숲정이/작은도서관||||작은도서관|043-543-8313|충청북도 보은군 탄부면 하장3길 7||||||||숲정이 작은도서관|숲정이 작은도서관|||200102
포도나무/작은도서관||||작은도서관|02-2213-8929|서울특별시 동대문구 장한로27가길 58||||||||포도나무 작은도서관|(장안동) 1층|||200102
광석/어린이/작은도서관||||작은도서관|02-965-2451|서울특별시 동대문구 왕산로26길 49||||||||광석 어린이 작은도서관|(용두동) 1층|||200102
책담/작은도서관||||작은도서관|061-363-3683|전라남도 곡성군 겸면 초곡길 59||||||||책담 작은도서관|책담 작은도서관|||200102
안양행복마을/작은도서관||||작은도서관|000-0000-0000|경기도 안양시 동안구 일동로 1||||||||안양행복마을 작은도서관|(비산동,행복마을아파트) 안양행복마을 작은도서관|||200102
바움스하우스/작은도서관||||작은도서관|031-443-5661|경기도 안양시 만안구 오리로34번길 7-17||||||||바움스하우스 작은도서관|(박달동) 3층 (박달2동)|||200102
새물결/영어도서관||||작은도서관|02-2607-0990|서울특별시 양천구 남부순환로59길 6||||||||새물결 영어도서관|(신월동) 2층|||200102
그림책마을/작은도서관||||작은도서관|054-254-0055|경상북도 포항시 북구 중앙로298번길 2||||||||그림책마을 작은도서관|(상원동) 1층|||200102
효천행복작은도서관||||작은도서관|062-674-0472|광주광역시 남구 행암길 9||||||||효천행복작은도서관|(행암동,효천LH천년나무7단지) 아파트 단지 내|||200102
브라운스톤효천작운도서관||||작은도서관|062-681-2800|광주광역시 남구 효우2로 89||||||||브라운스톤효천작운도서관|(행암동,브라운스톤 효천) 아파트 단지 내|||200102
풍경작은도서관||||작은도서관|062-652-7734|광주광역시 남구 제석로80번길 5||||||||풍경작은도서관|(봉선동,제일풍경채 ELITE PARK) 엘리트파크 아파트|||200102
꿈드림북카페작은도서관||||작은도서관|062-676-1091|광주광역시 남구 오방로 33-9||||||||꿈드림북카페작은도서관|(봉선동) 1층|||200102
자이행복마을/작은도서관||||작은도서관|000-0000-0000|경기도 하남시 미사강변대로 95||||||||자이행복마을 작은도서관|(풍산동,미사강변센트럴자이) 지하1층|||200102
이아이야작은도서관||||작은도서관|000-0000-0000|서울특별시 은평구 증산서길 63-6||||||||이아이야작은도서관|(증산동) 이아이야작은도서관|||200102
들꽃작은도서관||||작은도서관|063-276-5668|전라북도 전주시 덕진구 솔내2길 67||||||||들꽃작은도서관|(송천동1가) 들꽃작은도서관|||200102
호크마작은도서관||||작은도서관|063-252-2433|전라북도 전주시 완산구 메너머4길 40-30||||||||호크마작은도서관|(중화산동2가) 호크마작은도서관|||200102
(사)해동협부설행복작은도서관||||작은도서관|063-287-0119|전라북도 전주시 완산구 장승배기4길 20-9||||||||(사)해동협부설행복작은도서관|(서서학동) (사)해동협부설행복작은도서관|||200102
감나무골작은도서관||||작은도서관|063-276-7858|전라북도 전주시 완산구 안터1길 20-6||||||||감나무골작은도서관|(서신동) 감나무골작은도서관|||200102
진북꽃길작은도서관||||작은도서관|000-0000-0000|전라북도 전주시 덕진구 벚꽃로 57||||||||진북꽃길작은도서관|(진북동) 진북꽃길작은도서관|||200102
한옥마을서해그랑블작은도서관||||작은도서관|063-282-1022|전라북도 전주시 완산구 견훤왕궁1길 10||||||||한옥마을서해그랑블작은도서관|(중노송동,서해그랑블) 한옥마을서해그랑블작은도서관|||200102
제일풍경채아파트작은도서관||||작은도서관|063-211-7163|전라북도 전주시 덕진구 만성동로 48||||||||제일풍경채아파트작은도서관|(만성동,제일풍경채) 제일풍경채아파트작은도서관|||200102
동산숲작은도서관||||작은도서관|063-213-5600|전라북도 전주시 덕진구 정여립로 968||||||||동산숲작은도서관|(만성동) 동산숲작은도서관|||200102
참사랑작은도서관||||작은도서관|063-222-3391|전라북도 전주시 완산구 평화11길 6-4||||||||참사랑작은도서관|(평화동2가) 참사랑작은도서관|||200102
책다우미작은도서관||||작은도서관|063-212-0062|전라북도 전주시 덕진구 틀못4길 17||||||||책다우미작은도서관|(장동,우미린 2단지) 책다우미작은도서관|||200102
수병원작은도서관||||작은도서관|063-711-7207|전라북도 전주시 완산구 서원로 63||||||||수병원작은도서관|(효자동2가) 수병원 작은도서관|||200102
에셀작은도서관||||작은도서관|063-246-9697|전라북도 전주시 완산구 견훤로 96||||||||에셀작은도서관|(중노송동) 진리와 은혜교회|||200102
대촌동생태작은도서관||||작은도서관|062-607-4081|광주광역시 남구 고싸움로 150||||||||대촌동생태작은도서관|(지석동) 대촌동행정복지센터|||200102
