##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@메트라이프생명
메트라이프생명|동인지점|||메트라이프생명|042-471-8040|대전 서구 둔산중로 8||||||||메트라이프생명 동인지점|16층 (탄방동,한국교직원공제회대전회관)|||40602
메트라이프생명|둔산지점|||메트라이프생명|042-482-0789|대전 서구 둔산중로 8||||||||메트라이프생명 둔산지점|16층 (탄방동,한국교직원공제회대전회관)|||40602
메트라이프생명|엑스포비전지점|||메트라이프생명|042-484-7447|대전 서구 둔산중로 50||||||||메트라이프생명 엑스포비전지점|9층 (둔산동,파이낸스빌딩)|||40602
메트라이프생명|엑스포위너지점|||메트라이프생명|042-484-7447|대전 서구 둔산중로 50||||||||메트라이프생명 엑스포위너지점|9층 (둔산동,파이낸스빌딩)|||40602
메트라이프생명|천안지점|||메트라이프생명|041-622-6585|충남 천안시 서북구 동서대로 129||||||||메트라이프생명 천안지점|3층 (성정동,에이엠타워)|||40602
메트라이프생명|청주지점|||메트라이프생명|043-287-5142|충북 청주시 상당구 상당로 47||||||||메트라이프생명 청주지점|2층 (남문로2가)|||40602
메트라이프생명|EAGLE지점|||메트라이프생명|053-431-7900|대구 수성구 달구벌대로 2397||||||||메트라이프생명 EAGLE지점|20층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|골든지점|||메트라이프생명|053-759-9636|대구 수성구 달구벌대로 2397||||||||메트라이프생명 골든지점|19층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|구미지점|||메트라이프생명|054-443-8517|경북 구미시 송정대로 73||||||||메트라이프생명 구미지점|5층 (송정동,KB손해보험빌딩)|||40602
메트라이프생명|그랜드지점|||메트라이프생명|053-751-3700|대구 수성구 달구벌대로 2397||||||||메트라이프생명 그랜드지점|19층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|범어지점|||메트라이프생명|053-421-8353|대구 수성구 달구벌대로 2397||||||||메트라이프생명 범어지점|19층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|상원지점|||메트라이프생명|053-656-0764|대구 수성구 달구벌대로 2397||||||||메트라이프생명 상원지점|18층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|서대구지점|||메트라이프생명|053-656-0764|대구 수성구 달구벌대로 2397||||||||메트라이프생명 서대구지점|18층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|세원지점|||메트라이프생명|053-428-4371|대구 수성구 달구벌대로 2397||||||||메트라이프생명 세원지점|19층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|안동지점|||메트라이프생명|054-841-1800|경북 안동시 강남5길 10||||||||메트라이프생명 안동지점|3층 (정하동,안동농협 강남지점)|||40602
메트라이프생명|창조지점|||메트라이프생명|053-761-1199|대구 수성구 달구벌대로 2397||||||||메트라이프생명 창조지점|19층 (범어동,KB손해보험빌딩)|||40602
메트라이프생명|포항지점|||메트라이프생명|054-276-9155|경북 포항시 북구 중흥로 231||||||||메트라이프생명 포항지점|2층 (죽도동,동양빌딩)|||40602
메트라이프생명|경남지점|||메트라이프생명|055-279-6300|경남 창원시 성산구 중앙대로84번길 3||||||||메트라이프생명 경남지점|9층 (상남동,범한빌딩)|||40602
메트라이프생명|마산지점|||메트라이프생명|055-263-0381|경남 창원시 성산구 중앙대로84번길 3||||||||메트라이프생명 마산지점|8층 (상남동,범한빌딩)|||40602
메트라이프생명|울산지점|||메트라이프생명|052-265-0360|울산 남구 번영로 160||||||||메트라이프생명 울산지점|10층 (달동,제니스타워)|||40602
메트라이프생명|창원지점|||메트라이프생명|055-263-1462|경남 창원시 성산구 중앙대로84번길 3||||||||메트라이프생명 창원지점|7층 (상남동,범한빌딩)|||40602
메트라이프생명|한아름지점|||메트라이프생명|052-265-0360|울산 남구 번영로 160||||||||메트라이프생명 한아름지점|10층 (달동,제니스타워)|||40602
메트라이프생명|WITHWIN지점|||메트라이프생명|051-808-8460|부산 연제구 중앙대로 1217||||||||메트라이프생명 WITHWIN지점|3층 (거제동,국제문화센터)|||40602
메트라이프생명|거승지점|||메트라이프생명|051-465-1130|부산 연제구 중앙대로 1217||||||||메트라이프생명 거승지점|10층 (거제동,국제문화센터)|||40602
메트라이프생명|부경지점|||메트라이프생명|051-637-0037|부산 연제구 중앙대로 1217||||||||메트라이프생명 부경지점|16층 (거제동,국제문화센터)|||40602
메트라이프생명|부산지점|||메트라이프생명|051-809-3003|부산 연제구 중앙대로 1217||||||||메트라이프생명 부산지점|16층 (거제동,국제문화센터)|||40602
메트라이프생명|부전1지점|||메트라이프생명|051-638-4960|부산 연제구 중앙대로 1217||||||||메트라이프생명 부전1지점|3층 (거제동,국제문화센터)|||40602
메트라이프생명|부전2지점|||메트라이프생명|051-638-4960|부산 연제구 중앙대로 1217||||||||메트라이프생명 부전2지점|3층 (거제동,국제문화센터)|||40602
메트라이프생명|부전3지점|||메트라이프생명|051-638-4960|부산 연제구 중앙대로 1217||||||||메트라이프생명 부전3지점|3층 (거제동,국제문화센터)|||40602
메트라이프생명|서림지점|||메트라이프생명|051-465-1130|부산 연제구 중앙대로 1217||||||||메트라이프생명 서림지점|10층 (거제동,국제문화센터)|||40602
메트라이프생명|연제지점|||메트라이프생명|051-808-8460|부산 연제구 중앙대로 1217||||||||메트라이프생명 연제지점|3층 (거제동,국제문화센터)|||40602
메트라이프생명|제니스지점|||메트라이프생명|051-637-0037|부산 연제구 중앙대로 1217||||||||메트라이프생명 제니스지점|16층 (거제동,국제문화센터)|||40602
메트라이프생명|태화지점|||메트라이프생명|063-273-1060|전북 전주시 완산구 온고을로 29||||||||메트라이프생명 태화지점|5층 (서신동,KT빌딩)|||40602
메트라이프생명|한울지점|||메트라이프생명|063-276-9047|전북 전주시 완산구 온고을로 29||||||||메트라이프생명 한울지점|5층 (서신동,KT빌딩)|||40602
메트라이프생명|호남지점|||메트라이프생명|063-276-8066|전북 전주시 완산구 온고을로 29||||||||메트라이프생명 호남지점|5층 (서신동,KT빌딩)|||40602
메트라이프생명|빛고을지점|||메트라이프생명|062-226-3122|광주 서구 시청로 72||||||||메트라이프생명 빛고을지점|12층 (치평동,현대해상빌딩)|||40602
메트라이프생명|빛고을지점(순천)|||메트라이프생명|061-724-7100|전남 순천시 연향번영길 102||||||||메트라이프생명 빛고을지점(순천)|2층 (연향동,양천회관)|||40602
메트라이프생명|상무지점|||메트라이프생명|062-457-4400|광주 서구 시청로 72||||||||메트라이프생명 상무지점|12층 (치평동,현대해상빌딩)|||40602
메트라이프생명|스마트지점|||메트라이프생명|062-654-8790|광주 서구 시청로 72||||||||메트라이프생명 스마트지점|12층 (치평동,현대해상빌딩)|||40602
메트라이프생명|제주지점|||메트라이프생명|064-749-9950|제주 제주시 연북로 33||||||||메트라이프생명 제주지점|3층 (노형동,케이티앤지제주본부)|||40602
