##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@보건소
평창군보건의료원||128.388852217|37.3604904888|보건소|033-332-6120|강원도 평창군 평창읍 종부로 61||||||||평창군보건의료원|(평창읍)|||30301
화천군보건의료원||127.709119505|38.1073400657|보건소|033-442-4423|강원도 화천군 화천읍 강변로 111||||||||화천군보건의료원|(화천읍)|||30301
가평군보건소||127.510602171|37.8335018094|보건소|031-582-2488|경기도 가평군 가평읍 가화로 155-18||||||||가평군보건소|(가평읍)|||30301
강남구보건소||127.041902121|37.5164654278|보건소|02-3423-7200|서울특별시 강남구 선릉로 668||||||||강남구보건소|(삼성동)|||30301
강동구보건소||127.125578933|37.5295355048|보건소|02-3425-6600|서울특별시 강동구 성내로 45||||||||강동구보건소|(성내동)|||30301
강릉시보건소||128.882750198|37.7428102907|보건소|033-660-3050|강원도 강릉시 남부로17번길 38||||||||강릉시보건소|(내곡동)|||30301
강북구보건소||127.039062104|37.6318802215|보건소|02-901-0704|서울특별시 강북구 한천로 897||||||||강북구보건소|(번동)|||30301
강서보건지소||||보건소|||충청북도 청주시 흥덕구 비하동 792|||||||강서보건지소|(비하로12번길 46)|||30301
강원도/고성군보건소||128.47214091|38.3776166185|보건소|033-681-4000|강원도 고성군 간성읍 수성로 30||||||||강원도 고성군보건소|()|||30301
강진군보건소||126.775709158|34.6383346918|보건소|061-432-4000|전라남도 강진군 강진읍 목리길 11||||||||강진군보건소|(강진읍)|||30301
강화군보건소||126.484709538|37.7372307517|보건소|032-933-4000|인천광역시 강화군 강화읍 충렬사로 26-1||||||||강화군보건소|26|||30301
거제시보건소||128.636561602|34.8916882715|보건소|055-639-6200|경상남도 거제시 수양로 506||||||||거제시보건소|(양정동)|||30301
거창군보건소||127.89872738|35.6809363016|보건소|055-940-8310|경상남도 거창군 거창읍 거함대로 3079||||||||거창군보건소|(보건소)|||30301
경산시보건소||128.743282358|35.8251107545|보건소|053-814-2820|경상북도 경산시 남매로 158||||||||경산시보건소|(중방동)|||30301
경주시보건소||129.224633891|35.8594829647|보건소|054-779-8573|경상북도 경주시 양정로 300||||||||경주시보건소|(동천동)|||30301
계룡시보건소||127.250060358|36.2730742758|보건소|042-840-3507|충청남도 계룡시 장안로 54||||||||계룡시보건소|(금암동)|||30301
계양구/보건소||126.737759164|37.5374417294|보건소|032-450-4900|인천광역시 계양구 계산새로 88||||||||계양구 보건소|(계산동)|||30301
고령군보건소||128.2643348|35.7296202|보건소|054-954-1300|경상북도 고령군 대가야읍 왕릉로 55-5||||||||고령군보건소|55|||30301
고성군보건소||128.315383435|34.9694567057|보건소|055-670-4085|경상남도 고성군 고성읍 남포로79번길 103-3||||||||고성군보건소|103|||30301
고양시덕양구보건소||126.831049793|37.6578365706|보건소|031-8075-4006|경기도 고양시 덕양구 원당로33번길 28||||||||고양시덕양구보건소|(주교동)|||30301
고양시일산동구보건소||126.776150014|37.6559792442|보건소|031-8075-4086|경기도 고양시 일산동구 중앙로 1228||||||||고양시일산동구보건소|(마두동,KT고양지사 일산동구보건소)|||30301
고창군보건소||126.682745183|35.4438580254|보건소|063-560-8711|전라북도 고창군 고창읍 전봉준로 90||||||||고창군보건소|( (고창읍 전봉준로 90))|||30301
고흥군보건소||127.268314284|34.5923698528|보건소|061-830-5561|전라남도 고흥군 고흥읍 등암3길 5||||||||고흥군보건소|()|||30301
공주시보건소||127.12065529|36.4571187675|보건소|041-855-5244|충청남도 공주시 봉황로 123||||||||공주시보건소|(교동,공주시보건소)|||30301
과천시보건소||126.986794367|37.430202198|보건소|02-2150-3811|경기도 과천시 관문로 69||||||||과천시보건소|(중앙동)|||30301
관악구보건소||126.951503167|37.4782097744|보건소|02-879-7010|서울특별시 관악구 관악로 145||||||||관악구보건소|(봉천동)|||30301
광명시보건소||126.878166344|37.4554118011|보건소|02-2680-2862|경기도 광명시 오리로 613||||||||광명시보건소|(하안동,광명시보건소)|||30301
광산구보건소||126.793637579|35.1396481462|보건소|062-960-8742|광주광역시 광산구 광산로29번길 15||||||||광산구보건소|(송정동)|||30301
광양시보건소||127.582749057|34.9808543888|보건소|061-797-4008|전라남도 광양시 광양읍 인덕로 1100||||||||광양시보건소|(광양읍)|||30301
광주광역시남구보건소||126.902449337|35.1329053878|보건소|062-607-4450|광주광역시 남구 봉선로 1||||||||광주광역시남구보건소|(주월동,남구청)|||30301
광주광역시동구보건소||126.923095137|35.1461414311|보건소|062-608-3355|광주광역시 동구 서남로 1||||||||광주광역시동구보건소|(서석동)|||30301
광주광역시북구보건소||126.912140311|35.1733442185|보건소|062-410-8961|광주광역시 북구 우치로 65||||||||광주광역시북구보건소|(중흥동)|||30301
광주광역시서구보건소||126.890112957|35.1520289363|보건소|062-350-4116|광주광역시 서구 경열로 33||||||||광주광역시서구보건소|(농성동)|||30301
광주시보건소||127.250720796|37.4164326254|보건소|031-760-2110|경기도 광주시 파발로 194||||||||광주시보건소|(경안동)|||30301
광진구보건소||127.08201425|37.5387279599|보건소|02-450-1422|서울특별시 광진구 자양로 117||||||||광진구보건소|(자양동)|||30301
괴산군보건소||127.796689227|36.8079987446|보건소|043-834-2103|충청북도 괴산군 괴산읍 동진천길 43||||||||괴산군보건소|(괴산읍)|||30301
구로구보건소||126.889339411|37.5001020298|보건소|02-860-2600|서울특별시 구로구 구로중앙로28길 66||||||||구로구보건소|(구로동,구로5동 주민센터,구로구보건소)|||30301
구리시보건소||127.145079693|37.604735439|보건소|031-550-8618|경기도 구리시 건원대로34번길 84||||||||구리시보건소|(인창동,구리보건소)|||30301
구미시보건소||128.345953552|36.1399354136|보건소|054-456-7819|경상북도 구미시 선산대로 111||||||||구미시보건소|(지산동)|||30301
구미시선산보건소||128.2999484|36.2441785936|보건소|054-481-4000|경상북도 구미시 선산읍 선주로 121||||||||구미시선산보건소|(선산읍)|||30301
군산시보건소||126.720180701|35.9647323748|보건소|063-463-4000|전라북도 군산시 수송동로 58||||||||군산시보건소|(수송동)|||30301
군위군보건소||128.5661711|36.2313689|보건소|054-383-4000|경상북도 군위군 군위읍 군청로 70||||||||군위군보건소|70|||30301
군포시보건소||126.925413509|37.3330490159|보건소|031-461-5464|경기도 군포시 군포로 221||||||||군포시보건소|(부곡동)|||30301
금산군보건소||127.491637325|36.1120675409|보건소|041-750-4311|충청남도 금산군 금산읍 금산로 1559||||||||금산군보건소|(금산읍)|||30301
기흥구보건소||127.1067684|37.2726044934|보건소|031-324-6911|경기도 용인시 기흥구 신갈로58번길 11||||||||기흥구보건소|(신갈동,기흥구 보건소)|||30301
김제시보건소||126.883318824|35.8008084008|보건소|063-547-4000|전라북도 김제시 성산길 138||||||||김제시보건소|(요촌동)|||30301
김천시보건소||128.112859565|36.1395348134|보건소|054-433-4000|경상북도 김천시 시청1길 221||||||||김천시보건소|(신음동)|||30301
김포시보건소||126.722947873|37.6237336666|보건소|031-980-5008|경기도 김포시 사우중로 108||||||||김포시보건소|(사우동)|||30301
김해시보건소||128.870547642|35.2324335729|보건소|1577-9400|경상남도 김해시 분성로 227||||||||김해시보건소|(외동)|||30301
나주시보건소||126.708224908|34.9952282504|보건소|061-333-3003|전라남도 나주시 풍물시장2길 57-32||||||||나주시보건소|(이창동,나주시보건소)|||30301
남동구보건소||126.73067844|37.4473901975|보건소|032-464-4001|인천광역시 남동구 소래로 633||||||||남동구보건소|(만수동)|||30301
남양주/풍양보건소||127.189469653|37.7105053255|보건소|031-590-6980|경기도 남양주시 진접읍 해밀예당1로 30-39||||||||남양주 풍양보건소|()|||30301
남양주보건소||127.21799565|37.6366154898|보건소|031-590-2552|경기도 남양주시 경춘로 1037||||||||남양주보건소|(금곡동)|||30301
남원시보건소||127.363989696|35.3978384422|보건소|063-625-4000|전라북도 남원시 요천로 1285||||||||남원시보건소|(조산동)|||30301
남해군보건소||127.898786252|34.8447501433|보건소|055-860-8701|경상남도 남해군 남해읍 선소로 6||||||||남해군보건소|(남해읍)|||30301
노원구보건소||127.056983661|37.6545813305|보건소|02-2116-4311|서울특별시 노원구 노해로 437||||||||노원구보건소|(상계동)|||30301
논산시보건소||127.103566846|36.1960762117|보건소|041-730-4086~7|충청남도 논산시 논산대로 382||||||||논산시보건소|(관촉동)|||30301
단양군보건소||128.350276883|36.9816392353|보건소|043-422-2974|충청북도 단양군 단양읍 삼봉로 53||||||||단양군보건소|(단양군보건소)|||30301
달성군보건소||128.440321203|35.6948160229|보건소|053-668-3121|대구광역시 달성군 현풍면 비슬로130길 17||||||||달성군보건소|(현풍면)|||30301
담양군보건소||126.981241832|35.3250279496|보건소|061-383-4000|전라남도 담양군 담양읍 완동길 10-11||||||||담양군보건소|(담양읍)|||30301
당진시보건소||126.630005412|36.8874025694|보건소|041-360-6003|충청남도 당진시 서부로 56||||||||당진시보건소|(채운동)|||30301
대구광역시남구보건소||128.591522471|35.8539013968|보건소|053-664-3601|대구광역시 남구 영선길 34||||||||대구광역시남구보건소|(대명동)|||30301
대구광역시달서구보건소||128.53550607|35.8547386132|보건소|053-667-5618|대구광역시 달서구 와룡로49길 30||||||||대구광역시달서구보건소|(죽전동,달서구보건소)|||30301
대구광역시북구보건소||128.588897972|35.891877881|보건소|053-665-3220|대구광역시 북구 성북로 49||||||||대구광역시북구보건소|(침산동)|||30301
대구광역시수성구보건소||128.612246827|35.8446388362|보건소|053-666-3111|대구광역시 수성구 수성로 213||||||||대구광역시수성구보건소|(중동,보건소 구관)|||30301
대구광역시중구보건소||128.583334984|35.8779043552|보건소|053-661-3121|대구광역시 중구 태평로 45||||||||대구광역시중구보건소|(태평로3가)|||30301
대전광역시대덕구보건소||127.426551314|36.4448286876|보건소|042-608-5452|대전광역시 대덕구 석봉로38번길 55||||||||대전광역시대덕구보건소|(석봉동)|||30301
대전광역시동구보건소||127.45491089|36.3120035379|보건소|042-629-1113|대전광역시 동구 동구청로 147||||||||대전광역시동구보건소|(가오동)|||30301
대전광역시서구보건소||127.381101061|36.3670892047|보건소|042-488-9542|대전광역시 서구 만년로 74||||||||대전광역시서구보건소|(만년동)|||30301
도봉구보건소||127.038830963|37.6579403561|보건소|02-2091-4600|서울특별시 도봉구 방학로3길 117||||||||도봉구보건소|(쌍문동,도봉보건소)|||30301
동구보건소||129.04529772|35.1292957734|보건소|051-464-4000|부산광역시 동구 구청로 1||||||||동구보건소|(수정동)|||30301
동구보건소||128.651217794|35.8881209912|보건소|053-662-3202|대구광역시 동구 동촌로 79||||||||동구보건소|(검사동)|||30301
동대문구보건소||127.039896921|37.5743931576|보건소|02-2127-5366|서울특별시 동대문구 천호대로 145||||||||동대문구보건소|(용두동)|||30301
동두천시보건소||127.051716984|37.8966114741|보건소|031-860-3373|경기도 동두천시 중앙로 167||||||||동두천시보건소|(생연동)|||30301
동해시보건소||129.117128276|37.5228674992|보건소|033-530-9301|강원도 동해시 천곡로 100-2||||||||동해시보건소|(천곡동)|||30301
마포구보건소||126.901615445|37.566311215|보건소|02-3153-9020|서울특별시 마포구 월드컵로 212||||||||마포구보건소|(성산동,마포구보건소)|||30301
목포시보건소||126.373604671|34.8041467304|보건소|061-277-4000|전라남도 목포시 원산로45번길 5||||||||목포시보건소|(산정동)|||30301
무안군보건소||126.482692968|34.9906585147|보건소|061-450-5011|전라남도 무안군 무안읍 무안로 530||||||||무안군보건소|(무안읍)|||30301
문경시보건소||128.197519192|36.5962525273|보건소|054-555-2033|경상북도 문경시 점촌1길 9||||||||문경시보건소|(점촌동)|||30301
밀양시보건소||128.756060535|35.485671017|보건소|055-359-7020|경상남도 밀양시 삼문중앙로 41||||||||밀양시보건소|(삼문동)|||30301
보령시보건소||126.602370182|36.3245106873|보건소|041-930-9066|충청남도 보령시 남포면 보령남로 234||||||||보령시보건소|(남포면)|||30301
보성군보건소||127.0801885|34.7699773|보건소|061-850-5656|전라남도 보성군 보성읍 송재로 153||||||||보성군보건소|153|||30301
보은군보건소||127.7158766|36.4881862|보건소|043-540-5601|충청북도 보은군 보은읍 동광길 50||||||||보은군보건소|50|||30301
봉화군보건소||128.742090427|36.8905028702|보건소|054-673-4000|경상북도 봉화군 봉화읍 봉화로 1203||||||||봉화군보건소|(봉화읍)|||30301
부산/연제구보건소||129.079111051|35.1767952332|보건소|051-665-4793|부산광역시 연제구 연제로 2||||||||부산 연제구보건소|(연산동)|||30301
부산광역시강서구보건소||128.95655569|35.1782212934|보건소|051-970-4791|부산광역시 강서구 공항로811번가길 36||||||||부산광역시강서구보건소|(대저2동)|||30301
부산광역시금정구보건소||129.092454562|35.2420536771|보건소|051-519-5051|부산광역시 금정구 중앙대로 1777||||||||부산광역시금정구보건소|(부곡동)|||30301
부산광역시기장군보건소||129.222954499|35.2434819713|보건소|051-709-4791|부산광역시 기장군 기장읍 기장대로 560||||||||부산광역시기장군보건소|(기장읍)|||30301
부산광역시남구보건소||129.084950673|35.13606703|보건소|051-607-6460|부산광역시 남구 못골로 23||||||||부산광역시남구보건소|(대연동)|||30301
부산광역시동래구보건소||129.079853037|35.2114120201|보건소|051-555-4000|부산광역시 동래구 명륜로187번길 56||||||||부산광역시동래구보건소|(명륜동)|||30301
부산광역시북구보건소||129.014414654|35.239294231|보건소|051-341-0117|부산광역시 북구 금곡대로 348||||||||부산광역시북구보건소|(화명동)|||30301
부산광역시사상구보건소||128.991456533|35.1525491846|보건소|051-301-4000|부산광역시 사상구 학감대로 242||||||||부산광역시사상구보건소|(감전동)|||30301
부산광역시영도구보건소||129.067910175|35.0912179019|보건소|051-419-4911|부산광역시 영도구 태종로 423||||||||부산광역시영도구보건소|(청학동)|||30301
부산광역시중구보건소||129.032373132|35.1062269836|보건소|051-600-4741|부산광역시 중구 중구로 120||||||||부산광역시중구보건소|(대청동1가)|||30301
부산광역시해운대구보건소||129.178657631|35.1641122822|보건소|051-746-4000|부산광역시 해운대구 양운로37번길 59||||||||부산광역시해운대구보건소|(좌동)|||30301
부산진구보건소||129.059722612|35.1461158423|보건소|051-605-6091|부산광역시 부산진구 황령대로8번길 36||||||||부산진구보건소|(범천동)|||30301
부안군보건소||126.735591647|35.7228346326|보건소|063-584-1261|전라북도 부안군 부안읍 오리정로 124||||||||부안군보건소|(부안읍)|||30301
부여군보건소||126.9227657|36.2840836|보건소|041-830-2482|충청남도 부여군 부여읍 성왕로 205||||||||부여군보건소|205|||30301
부평구보건소||126.724246834|37.498833707|보건소|032-509-8200|인천광역시 부평구 부흥로 291||||||||부평구보건소|(부평동)|||30301
사천시보건소||128.064207465|35.0036195366|보건소|055-831-3560|경상남도 사천시 용현면 시청로 77||||||||사천시보건소|(용현면)|||30301
사하구보건소||128.959410592|35.0944191049|보건소|051-220-5701|부산광역시 사하구 하신번영로127번길 2||||||||사하구보건소|(신평동)|||30301
삼척시보건소||129.172201535|37.4437498068|보건소|033-574-7905|강원도 삼척시 척주로 76||||||||삼척시보건소|(남양동,삼척시보건소)|||30301
상록수보건소||126.845062852|37.3002635724|보건소|031-481-5551|경기도 안산시 상록구 차돌배기로1길 5||||||||상록수보건소|(사동)|||30301
상주시보건소||128.149997614|36.4168999307|보건소|054-534-4000|경상북도 상주시 중앙로 111||||||||상주시보건소|(무양동)|||30301
서구보건소||129.018037259|35.1074362277|보건소|051-242-4000|부산광역시 서구 부용로 30||||||||서구보건소|(부용동2가)|||30301
서구보건소||128.559291072|35.8723218377|보건소|053-561-1850|대구광역시 서구 국채보상로 257||||||||서구보건소|(평리동)|||30301
서귀포보건소||126.555355477|33.2534798214|보건소|064-733-4000|제주특별자치도 서귀포시 중앙로101번길 52||||||||서귀포보건소|(서홍동)|||30301
서귀포시동부보건소||126.703423264|33.2756288184|보건소|064-764-1856|제주특별자치도 서귀포시 남원읍 태위로 527||||||||서귀포시동부보건소|(남원읍)|||30301
서귀포시서부보건소||126.2532777|33.2186803|보건소|064-760-6254|제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12||||||||서귀포시서부보건소|12|||30301
서대문구보건소||126.936277255|37.5786101663|보건소|02-330-1841|서울특별시 서대문구 연희로 242||||||||서대문구보건소|(연희동)|||30301
서산시보건소||126.44451557|36.774576684|보건소|041-660-2550|충청남도 서산시 호수공원6로 6||||||||서산시보건소|(예천동,서산시보건소)|||30301
서울특별시강서구보건소||126.868280971|37.5496499361|보건소|02-2600-5800|서울특별시 강서구 공항대로 561||||||||서울특별시강서구보건소|(염창동)|||30301
서울특별시금천구보건소||126.896035156|37.4570651099|보건소|02-890-2422|서울특별시 금천구 시흥대로73길 70||||||||서울특별시금천구보건소|(시흥동,금천구보건소)|||30301
서울특별시동작구보건소||126.941090388|37.5044459791|보건소|02-820-1423|서울특별시 동작구 장승배기로10길 42||||||||서울특별시동작구보건소|(상도동)|||30301
서울특별시성동구보건소||127.033214753|37.5670791453|보건소|02-2286-7000|서울특별시 성동구 마장로23길 10||||||||서울특별시성동구보건소|(홍익동)|||30301
서울특별시송파구보건소||127.105858738|37.5144756519|보건소|02-2147-3450|서울특별시 송파구 올림픽로 326||||||||서울특별시송파구보건소|(신천동)|||30301
서울특별시중구보건소||127.015094642|37.5645852915|보건소|02-3396-5555|서울특별시 중구 다산로39길 16||||||||서울특별시중구보건소|(무학동)|||30301
서울특별시중랑구보건소||127.092725183|37.6065649369|보건소|02-2094-0880|서울특별시 중랑구 봉화산로 179||||||||서울특별시중랑구보건소|(신내동)|||30301
서원보건소||127.469743939|36.6376517522|보건소|043-201-3215|충청북도 청주시 서원구 사직대로 227||||||||서원보건소|(사직동)|||30301
서천군보건소||126.68971677|36.0823720273|보건소|041-950-6700|충청남도 서천군 서천읍 사곡길 26||||||||서천군보건소|(서천읍)|||30301
서초구보건소||127.032684811|37.4836248645|보건소|02-2155-8114|서울특별시 서초구 남부순환로 2584||||||||서초구보건소|(서초동)|||30301
성남시분당구보건소||127.124680592|37.4110752521|보건소|031-729-3990|경기도 성남시 분당구 양현로 306||||||||성남시분당구보건소|(야탑동)|||30301
성남시중원구보건소||127.170579484|37.4421570629|보건소|031-729-3895|경기도 성남시 중원구 금상로 137||||||||성남시중원구보건소|(상대원동,중원구보건소)|||30301
성북구보건소||127.039531535|37.6027096736|보건소|02-2241-1749|서울특별시 성북구 화랑로 63||||||||성북구보건소|(하월곡동)|||30301
성주군보건소||128.2784221|35.9176008|보건소|054-933-2400|경상북도 성주군 성주읍 성밖숲길 12||||||||성주군보건소|12|||30301
세종특별자치시보건소||127.296512815|36.605677834|보건소|044-301-2000|세종특별자치시 조치원읍 건강길 16||||||||세종특별자치시보건소|(조치원읍)|||30301
소사구보건소||126.799948026|37.4800470055|보건소|032-625-4280|경기도 부천시 경인옛로 73||||||||소사구보건소|(소사본동)|||30301
속초시보건소||128.575952678|38.1961705387|보건소|033-633-4866|강원도 속초시 수복로 36||||||||속초시보건소|(교동)|||30301
수영구보건소||129.113488786|35.1624773006|보건소|051-752-4000|부산광역시 수영구 수영로 637-5||||||||수영구보건소|(광안동)|||30301
수원시권선구보건소||126.97112812|37.2587442401|보건소|031-228-6716|경기도 수원시 권선구 호매실로 22-50||||||||수원시권선구보건소|(탑동)|||30301
수원시팔달구보건소||127.012519422|37.2714986448|보건소|031-228-7716|경기도 수원시 팔달구 팔달산로 6||||||||수원시팔달구보건소|(교동)|||30301
수정구보건소||127.144059726|37.4443295662|보건소|031-729-3872|경기도 성남시 수정구 수정로 218||||||||수정구보건소|(신흥동,수정구보건소)|||30301
수지구보건소||127.097447199|37.3222236149|보건소|031-324-8911|경기도 용인시 수지구 포은대로 435||||||||수지구보건소|(풍덕천동)|||30301
순천시보건소||127.486072126|34.9666775959|보건소|061-749-6905|전라남도 순천시 중앙로 232||||||||순천시보건소|(석현동,순천시문화건강센터)|||30301
시흥시보건소||126.785299118|37.4455882908|보건소|031-310-5811|경기도 시흥시 호현로 55||||||||시흥시보건소|(대야동)|||30301
신안군보건소||126.351425825|34.8336033562|보건소|061-243-8550|전라남도 신안군 압해읍 천사로 1004||||||||신안군보건소|(압해읍)|||30301
아산시보건소||127.014608273|36.7825661328|보건소|041-537-3400|충청남도 아산시 번영로224번길 20||||||||아산시보건소|(모종동)|||30301
안동시보건소||128.730256244|36.5669985983|보건소|054-855-5986|경상북도 안동시 서동문로 165||||||||안동시보건소|(북문동)|||30301
안산시단원보건소||126.830242746|37.3221311593|보건소|031-481-3496|경기도 안산시 단원구 화랑로 387||||||||안산시단원보건소|(고잔동)|||30301
안성시보건소||127.269816705|37.000192935|보건소|031-678-5768|경기도 안성시 강변로74번길 18||||||||안성시보건소|(도기동)|||30301
안양시보건소(동안보건과)||126.952073087|37.392973904|보건소|031-8045-4472|경기도 안양시 동안구 평촌대로253번길 41||||||||안양시보건소(동안보건과)|(비산동)|||30301
안양시보건소만안보건과||126.93294481|37.3858465236|보건소|031-8045-3472|경기도 안양시 만안구 문예로 48||||||||안양시보건소만안보건과|(안양동)|||30301
양구군보건소||127.9906754|38.1072783|보건소|033-481-2400|강원도 양구군 양구읍 관공서로 42||||||||양구군보건소|42|||30301
양산시보건소||129.024974765|35.3357394475|보건소|055-392-5102|경상남도 양산시 삽량로 169||||||||양산시보건소|(중부동)|||30301
양양군보건소||128.627487067|38.0778452836|보건소|033-670-2877|강원도 양양군 양양읍 양양로 9-5||||||||양양군보건소|(양양읍)|||30301
양주시보건소||127.046653561|37.7855692303|보건소|031-8082-7104|경기도 양주시 부흥로 1533||||||||양주시보건소|(남방동)|||30301
양천구보건소||126.865739992|37.5177048105|보건소|02-2620-3919|서울특별시 양천구 목동서로 339||||||||양천구보건소|(신정동)|||30301
양평군보건소||127.486680773|37.4970358003|보건소|031-772-4000|경기도 양평군 양평읍 마유산로 17||||||||양평군보건소|(양평읍)|||30301
여수시보건소||127.660387172|34.7593155242|보건소|061-682-4000|전라남도 여수시 시청서4길 47||||||||여수시보건소|(학동)|||30301
여주시보건소||127.640391972|37.2946102796|보건소|031-885-3009|경기도 여주시 여흥로160번길 14||||||||여주시보건소|(상동)|||30301
연수구보건소||126.671155426|37.4191315886|보건소|032-749-8000|인천광역시 연수구 함박뫼로 13||||||||연수구보건소|(청학동,연수보건소)|||30301
영광군보건소||126.504163656|35.2746812558|보건소|061-350-5552|전라남도 영광군 영광읍 신남로4길 17||||||||영광군보건소|(영광읍)|||30301
영덕군보건소||129.367630062|36.4181546942|보건소|054-734-4000|경상북도 영덕군 영덕읍 경동로 8367||||||||영덕군보건소|(영덕읍)|||30301
영동군보건소||127.775967365|36.1684952895|보건소|043-740-5582|충청북도 영동군 영동읍 반곡동길 7||||||||영동군보건소|(영동읍)|||30301
영등포구보건소||126.896369506|37.5259636096|보건소|02-2670-4823|서울특별시 영등포구 당산로 123||||||||영등포구보건소|(당산동3가,영등포구청)|||30301
영암군보건소||126.7039501|34.7955451|보건소|061-470-2550|전라남도 영암군 영암읍 오리정길 39||||||||영암군보건소|39|||30301
영양군보건소||129.118065565|36.6619444063|보건소|054-680-5112|경상북도 영양군 영양읍 동서대로 82||||||||영양군보건소|(영양읍)|||30301
영월군보건소||128.4616573|37.185567|보건소|033-372-4000|강원도 영월군 영월읍 하송로 44||||||||영월군보건소|44|||30301
영주시보건소||128.621666438|36.806125999|보건소|054-631-4000|경상북도 영주시 시청로1번길 19||||||||영주시보건소|(휴천동)|||30301
영천시보건소||128.932209235|35.9682731853|보건소|054-339-7860|경상북도 영천시 옛군청1길 31||||||||영천시보건소|(문내동)|||30301
영통구보건소||127.069709238|37.2568819035|보건소|031-228-8715|경기도 수원시 영통구 영통로 396||||||||영통구보건소|(영통동)|||30301
예산군보건소||126.846004193|36.6859319712|보건소|041-339-8002|충청남도 예산군 예산읍 아리랑로 147||||||||예산군보건소|(예산읍)|||30301
예천군보건소||128.465574603|36.6599569182|보건소|054-654-2308|경상북도 예천군 예천읍 충효로 424||||||||예천군보건소|(예천읍)|||30301
오산시보건소||127.07783345|37.1593687642|보건소|031-370-3555|경기도 오산시 경기동로 59||||||||오산시보건소|(오산동)|||30301
오정보건소||126.796026911|37.5283485315|보건소|032-625-4352|경기도 부천시 성오로 172||||||||오정보건소|(오정동,오정구보건소)|||30301
옥천군보건소||127.57007474|36.3044590421|보건소|043-730-2114|충청북도 옥천군 옥천읍 삼양로8길 10||||||||옥천군보건소|(옥천읍)|||30301
옹진군보건소||126.636744038|37.4465693799|보건소|032-899-3120|인천광역시 남구 매소홀로 120||||||||옹진군보건소|(용현동,옹진군청)|||30301
완주군보건소||127.092645958|35.9212441106|보건소|063-290-3003|전라북도 완주군 삼례읍 삼봉로 215-20||||||||완주군보건소|(삼례읍)|||30301
용산구보건소||126.990478255|37.5324526548|보건소|02-710-3600|서울특별시 용산구 녹사평대로 150||||||||용산구보건소|(이태원동,용산구종합행정타운)|||30301
울산광역시남구보건소||129.336328237|35.5453577329|보건소|052-226-2805|울산광역시 남구 삼산중로 132||||||||울산광역시남구보건소|(삼산동,울산남구보건소)|||30301
울산광역시북구보건소||129.360711571|35.583555653|보건소|052-289-3450|울산광역시 북구 산업로 1018||||||||울산광역시북구보건소|(연암동)|||30301
울산광역시중구보건소||129.350416336|35.5694554892|보건소|052-290-4358|울산광역시 중구 외솔큰길 225||||||||울산광역시중구보건소|(남외동)|||30301
