##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@갤러리
갤러리미호||126.9842559|37.5746193|갤러리|02-723-8875||서울시 종로구 관훈동 74|||||||갤러리미호||||100106
갤러리미맥||126.9627303|37.6035319|갤러리|02-379-7356||서울시 종로구 신영동 72-7|||||||갤러리미맥|소정빌딩 2층|||100106
충무아트센터갤러리||127.01481309999997|37.5660139|갤러리|02-2230-6633|서울시 중구 퇴계로 387||||||충무아트홀갤러리||충무아트센터갤러리(전 충무아트홀갤러리)|(재)중구문화재단 충무아트홀|||100106
국립현대미술관/창작스튜디오/창동.고양||127.0393640|37.6406895|갤러리|창동02-995-0995||서울시 도봉구 창동 601-107|||||||국립현대미술관 창작스튜디오 창동.고양|(창동)|||100106
치우금속공예관(유리지공예관으로/명칭변경)||127.0123253|37.4577504|갤러리|02-578-6663||- , 서울시 서초구 우면동 610-11|||||||치우금속공예관(유리지공예관으로 명칭변경)||||100106
서울여성플라자||126.9271787|37.5115519|갤러리|||서울시 동작구 대방동 345-1|||||||서울여성플라자||||100106
인천종합문화예술회관||126.7319416|37.4469893|갤러리|032-420-2711~12/27|인천시 남동구 문화회관길 80||||||||인천종합문화예술회관|(구월동 1408)|||100106
청주예술의전당||||갤러리||||||||||청주예술의전당||||100106
포천반월아트홀||||갤러리|02-735-6317/8|||||||||포천반월아트홀||||100106
오프라갤러리||126.9851202|37.5726625|갤러리|02-720-1117||서울시 종로구 관훈동 198-36|||||||오프라갤러리|오원빌딩 3층|||100106
김포시민회관/전시실||126.7179995|37.6170587|갤러리|017-281-0819||- , 경기 김포시 사우동 259-4|||||||김포시민회관 전시실|김포시민회관|||100106
갤러리화수목||127.0490550|37.5250854|갤러리|02-515-3725||- , 서울시 강남구 청담동 124-24|||||||갤러리화수목|4층|||100106
삼일로창고갤러리||126.9878833|37.5633975|갤러리|02-319-8020||서울시 중구 저동 1가 20-6|||||||삼일로창고갤러리||||100106
더뉴게이트이스트(아트포럼뉴게이트로/변경)||127.0002759|37.5828312|갤러리|02-747-6603||서울시 종로구 명륜4가 66-3|||||||더뉴게이트이스트 (아트포럼뉴게이트로 변경)||||100106
대안미술공간소나무||127.2486077|36.9812264|갤러리|031-673-0904||경기도 안성시 미양면 계륵리 232-8|||||||대안미술공간소나무||||100106
안양아트벨리||||갤러리||||||||||안양아트벨리||||100106
갤러리다||126.9948458|37.5551223|갤러리|02-2264-5397||서울시 중구 필동2가 128-21|||||||갤러리다||||100106
삼성동/무역센터/COEX/태평양홀||127.0565207|37.5139848|갤러리|||서울시 강남구 삼성동 무역센터 코엑스 |||||||삼성동 무역센터 COEX 태평양홀||||100106
갤러리에스유||127.0444891|37.4751079|갤러리|02-529-5315||서울시 서초구 양재동 271-8|||||||갤러리에스유|다린빌딩 2F|||100106
페이퍼테이너/뮤지엄||127.1165203|37.5217853|갤러리|||서울시 송파구 방이동 88|||||||페이퍼테이너 뮤지엄|서울올림픽공원 조각공원|||100106
안양예술공원/계원조형예술대학||126.9801621|37.3787941|갤러리|(031-420-1746||- , 경기도 의왕시 내손동 산125|||||||안양예술공원, 계원조형예술대학|계원조형예술대학 디자인관 5층 전시환경디자인연구소|||100106
비엔날레전시관/광주/중외공원문화벨트/일원||126.8880937|35.1827225|갤러리|062-608-4114|- , 광주광역시 북구 비엔날레 2길 211||||||||비엔날레전시관, 광주 중외공원문화벨트 일원|(용봉동 산149-2)|||100106
갤러리킹||114.2097100|22.3551220|갤러리|02-6085-1805|||||||||갤러리킹||||100106
단원전시관||126.8291622|37.3188260|갤러리|031-413-5566||안산시 단원구 고잔동 525-7|||||||단원전시관|단원미술제 운영위원회|||100106
조흥갤러리||126.9764145|37.5685498|갤러리|02-738-6806||- , 서울 중구 태평로1가 62-12|||||||조흥갤러리||||100106
몽인아트스페이스||127.0079565|37.5540898|갤러리|02-2253-2151||서울시 중구 신당동 432-1692|||||||몽인아트스페이스||||100106
아트센터나비||126.98029120000001|37.5696511|갤러리|02-2121-0931||서울 종로구 서린동 99|||||||아트센터나비|SK 본사빌딩 4층|||100106
서울보증보험갤러리||127.0008134|37.5736208|갤러리|02-3671-7000||- , 서울시 종로구 연지동 136-74|||||||서울보증보험갤러리||||100106
쿤스트독갤러리||126.8955747|37.5129023|갤러리|02-722-8897|서울 영등포구 경인로 739||||||||쿤스트독갤러리||||100106
COEX/태평양홀/인도양홀||127.0565207|37.5139848|갤러리|02-6000-2501-3||서울시 강남구 삼성동 무역센터 코엑스 |||||||COEX 태평양홀, 인도양홀||||100106
호텔신라/아케이드/특별전시실||127.0059138|37.5569776|갤러리|02-2230-1150||서울 중구 장충동 2가 202|||||||호텔신라 아케이드 특별전시실|신라호텔 B1|||100106
두산갤러리||127.0009843|37.5717571|갤러리|02-708-5050|서울시 종로구 종로33길 15||||||||두산갤러리|두산아트센터1F|||100106
서울대학교/우석홀||126.9531155|37.4590703|갤러리|02-880-7480||서울 관악구 신림9동 산56-1|||||||서울대학교 우석홀|서울대 미대 50동 3층|||100106
헬로우뮤지움||127.02631059999999|37.5496365|갤러리|02-562-4420|서울시 성동구 성수일로12길 20||||||||헬로우뮤지움||||100106
갤러리쿠오리아||126.9736296|37.5406719|갤러리|02-709-7542||서울시 용산구 남영동 131-1|||||||갤러리쿠오리아|(주)해태제과식품 1F|||100106
앤디스갤러리||127.0478065|37.5256683|갤러리|02-575-2575||서울시 강남구 청담동 117-8|(휴관)||||||앤디스갤러리||||100106
KFT/갤러리디오렌지||126.9845308|37.5628794|갤러리|02-773-3434||서울시 중구 명동 2가 51-18|||||||KFT 갤러리디오렌지|2,3F|||100106
갤러리꽃삽(휴관)||127.0822938|37.5384843|갤러리|02-466-2606||서울시 광진구 모진동 3|||||||갤러리꽃삽(휴관)|지하철 7호선 어린이대공원역 역사 내 지하1층|||100106
동숭갤러리||126.99938359999999|37.5854773|갤러리|02-745-0011|서울시 종로구 창경궁로 34길 18-5||||||||동숭갤러리|동숭갤러리빌딩 5F|||100106
갤러리무위||127.0653943|37.5477006|갤러리|02-461-0070||서울시 성동구 성수동2가 281-12|||||||갤러리무위|에딘버그골프클럽|||100106
갤러리미교||126.9949388|37.5714598|갤러리|02-747-7427||- , 서울시 종로구 훈정동 2|||||||갤러리미교|삼성종묘주차장 지상1층|||100106
숙명여자대학교/청파갤러리||126.9654442|37.5384272|갤러리|02-2077-7161|서울시 용산구 효창원길 52||||||||숙명여자대학교 청파갤러리|숙명여자대학교 내|||100106
현대백화점/미아점/10F/갤러리H||127.0287626|37.6083223|갤러리|||서울시 성북구 길음동 20-1|||||||현대백화점 미아점 10F 갤러리H|현대백화점 미아점|||100106
안국약품갤러리AG||126.90458999999998|37.487321|갤러리|02-3289-4399|서울 영등포구 시흥대로 613||||||||안국약품갤러리AG|안국약품 1F|||100106
아르스갤러리||127.0974959|37.5061506|갤러리|02-422-0123||서울시 송파구 석촌동 1|||||||아르스갤러리|그랜드빌딩 아르스홀|||100106
예송미술관||127.09333830000003|37.502219|갤러리|02-2147-2810||서울시 송파구 삼전동 62-2|||||||예송미술관|송파구민회관 1층|||100106
나무그늘/Gallery&Book/Cafe||126.9031758|37.5171639|갤러리|02-2638-2002||- , 서울시 영등포구 영등포동 4가 441-10|||||||나무그늘 Gallery & Book Cafe|경방타임스퀘어 단지 1층|||100106
엑스포갤러리||127.05959899999993|37.511235|갤러리|02-538-8187|서울시 강남구 봉은사로 524||||||||엑스포갤러리|인터컨티넨탈서울코엑스,아케이드 B2 C-18|||100106
문래예술공장||126.9001786|37.5130462|갤러리|02-2676-4300||- , 서울시 영등포구 문래동1가 30|||||||문래예술공장||||100106
씨에스피111아트스페이스/CSP111/ART/SPACE||126.9293797|37.5659332|갤러리|02-3143-0121||서울시 서대문구 연희동 188-55|||||||씨에스피111아트스페이스 CSP111 ART SPACE|현빌딩 3층|||100106
공간/해밀톤||127.0001267|37.5360633|갤러리|031-420-1863||서울 용산구 한남동 683-142|||||||공간 해밀톤||||100106
갤러리케레스타||127.0065887|37.5675139|갤러리|02-2048-3691|- , 서울시 중구 을지로 6가 케레스타 17-2||||||||갤러리케레스타|2F|||100106
언오피셜프리뷰갤러리/Unofficial/Preview/Gallery||127.1027253|37.4991172|갤러리|02-417-5401||서울시 송파구 석촌동 253|||||||언오피셜프리뷰갤러리 Unofficial Preview Gallery|MONAD BD|||100106
갤러리엠/GalleryM(회기)||127.0488538|37.5913158|갤러리|02-964-4022||서울시 동대문구 회기동 60-145|||||||갤러리엠 GalleryM (회기)|1층|||100106
롯데갤러리|청량리점|127.04790070000001|37.5792928|갤러리|02-3707-2890|서울시 동대문구 왕산로 214||||||||롯데갤러리 청량리점|롯데백화점 청량리점 8F|||100106
성북예술창작센터/갤러리_맺음||127.0370778|37.5921727|갤러리|02-943-9300||서울시 성북구 종암동 28-358|||||||성북예술창작센터 갤러리_맺음|성북예술창작센터|||100106
갤러리에이치/Gallery/H||126.84365619999994|37.5071641|갤러리|02-2603-7200||서울시 양천구 신정3동 738-1|||||||갤러리에이치 Gallery H|한성교회 내|||100106
갤러리수(신천)||127.10498440000003|37.5111913|갤러리|02-412-0122||서울시 송파구 신천동 32|||||||갤러리수(신천)||||100106
복합문화공간_더미디엄/The/Medium||126.9304255|37.5685494|갤러리|070-4084-8965||서울시 서대문구 연희동 132-27|||||||복합문화공간_더미디엄 The Medium|3F|||100106
이랜드스페이스||126.88145740000004|37.4795202|갤러리|02-2029-9885|서울시 금천구 가산디지털1로 159||||||||이랜드스페이스|이랜드문화재단|||100106
구룡갤러리아산방||127.04583189999994|37.4760207|갤러리|02-574-8988||서울시 서초구 양재동 277-3|||||||구룡갤러리아산방|2F|||100106
KTB투자증권/영업부/갤러리||126.92370570000003|37.5245007|갤러리|02-2184-2200||서울시 영등포구 여의도동 23-3|(폐관)||||||KTB투자증권 영업부 갤러리|하나증권빌딩 6F|||100106
꿈의숲/아트센터||127.0406246|37.6214312|갤러리|02-2289-5401|서울시 강북구 월계로 173||||||||꿈의숲 아트센터||||100106
KTB투자증권/도곡금융센터/갤러리||127.05208659999994|37.4885335|갤러리|02-2184-3700||서울시 강남구 도곡2동 467-7|(폐관)||||||KTB투자증권 도곡금융센터 갤러리|아카데미스위트 2F|||100106
갤러리예이랑||127.09392389999993|37.5425518|갤러리|02-455-4006||서울시 광진구 구의동 202-6|||||||갤러리예이랑|아산빌딩 2F|||100106
아뜰리에아키||127.04243610000003|37.5457052|갤러리|02-464-7710|서울시 성동구 왕십리로 85||||||||아뜰리에아키||||100106
오재미동갤러리||126.99459709999996|37.5609724|갤러리|02-777-0421|서울시 중구 퇴계로 지하199||||||||오재미동갤러리|충무로역사 내 충무로영상센터|||100106
갤러리중/반포||126.98721690000002|37.5017064|갤러리|02-3478-2981/2||서울시 서초구 반포동 1141|(폐관)||||||갤러리중 반포|엘루체백화점 2F|||100106
갤러리중||||갤러리|02-2254-2981/2|서울시 중구 청계천로 400||(폐관)||||||갤러리중|롯데캐슬 베네치아메가몰 B1F|||100106
갤러리이레|대방점|||갤러리|02-822-4115||서울 동작구 대방동 345-1|||||||갤러리이레 대방점|서울여성가족재단 내 1F|||100106
TUV라인란드코리아갤러리||126.89273049999997|37.4851381|갤러리|02-860-9860/5|서울시 구로구 디지털로31길 41||||||||TUV라인란드코리아갤러리|이앤씨 벤처드림타워 6차 TUV 라인란드 코리아|||100106
