##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@박물관
고구려대장간마을||127.1108638|37.5606007|박물관|031-550-8353|경기 구리시 우미내길 41|||하절기 09:00~18:00(토·일·공휴일 19:00까지) / 동절기(11월~2월) 09:00~17:00(토·일·공휴일 18:00까지)|||||고구려대장간마을||||100101
고남패총박물관||126.4101000|36.4203430|박물관|041-670-2337|충남 태안군 고남면 안면대로 4270-6|||09:00~18:00 / 동절기 17:00까지|||||고남패총박물관||||100101
고려청자박물관||126.8008900|34.5086912|박물관|061-430-3755|전남 강진군 대구면 청자촌길 33||아트샵|09:00~18:00|||||고려청자박물관||||100101
고산윤선도유물전시관||||박물관|061-533-4445|전남 해남군 해남읍 녹우당길 130||기획전시실; 상설전시실; 수장고; 영상실; 체험실; 사무실|09:00~18:00|||||고산윤선도유물전시관||||100101
고성공룡박물관||128.1486564|34.9081100|박물관|055-670-4451|경남 고성군 하이면 자란만로 618||아트샵|09:00~18:00|||||고성공룡박물관||||100101
고성탈박물관||||박물관|055-672-8829|경남 고성군 고성읍 율대2길 23||||||||고성탈박물관||||100101
고양어린이박물관||||박물관|031-839-0300|경기 고양시 덕양구 화중로 26||보건실; 카페테리아|10:00~18:00(입장마감 : 17:00)|||||고양어린이박물관||||100101
고흥분청문화박물관||||박물관|061-830-5995|전라남도 고흥군 두원면 분청문화박물관길 99||분청문화공원; 한옥다목적체험관; 한옥창조공방 등|관람시간 : 09시 ~ 18시 (입장시간 : 09시부터 종료 1시간 전까지)|||||고흥분청문화박물관||||100101
과천시추사박물관||127.0283500|37.4526250|박물관|02-2150-3650|경기 과천시 추사로 78||아트샵|09:00~18:00 / 매주 금요일 21:00까지|||||과천시추사박물관||||100101
광주광역시립민속박물관||126.8884000|35.1841600|박물관|062-613-5337~8|광주 북구 서하로 48-25||아트샵|09:00~18:00|||||광주광역시립민속박물관||||100101
광주김치박물관||||박물관|062-613-8223|광주 남구 김치로 60||김치체험장; 관광기념품점|하절기(03.01~10.31): 09:00~18:00동절기(11.01~02.29): 09:00~17:30|||||광주김치박물관||||100101
국립경주박물관||||박물관|054-740-7500|경북 경주시 일정로 186||어린이박물관; 신라미술관; 월지관|10:00~18:00(일요일 및 공휴일 1시간연장)10:00~21:00(매달 마지막 주 수요일, 3월~12월 매주 토요일)|||||국립경주박물관||||100101
국립경찰박물관||||박물관|02-3150-3681|서울 종로구 세문안로 41|||09:30~17:30|||||국립경찰박물관||||100101
국립고궁박물관||126.9749224|37.5766678|박물관|02-732-0775|서울 종로구 효자로 12||아트샵; 레스토랑(카페)|09:00~18:00(입장은 17시까지) / 주말, 공휴일 09:00~19:00|||||국립고궁박물관||||100101
국립공주박물관||||박물관|041-850-6300|충남 공주시 관광단지길 34||아트샵; 매점|10:00~18:00 / 토, 일, 공휴일, 문화가있는날(매월 마지막주 수요일) 19:00까지 / 매주 토요일(4월~10월) / 야간개장 10:00~21:00|||||국립공주박물관||||100101
국립광주박물관||||박물관|062-570-7000|광주 북구 하서로 110||아트샵; 카페|10:00~18:00 / 주말, 공휴일 10:00~19:00 / 매주 토요일 야간연장 / 3월~10월 10:00~20:00|||||국립광주박물관||||100101
국립극장/공연예술박물관||127.0005199|37.5539293|박물관|02-2280-5804|서울 중구 장충단로 59||공연예술자료실|화요일 ~ 일요일 : 오전 10시 ~ 오후 6시|||||국립극장 공연예술박물관||||100101
국립김해박물관||||박물관|055-320-6800|경남 김해시 가야의길 190||아트샵; 카페|10:00~18:00 / 토, 일, 공휴일 19:00까지 / 4~10월 토요일 21:00까지|||||국립김해박물관||||100101
국립나주박물관||126.6589953|34.9148888|박물관|061-330-7800|전남 나주시 반남면 고분로 747||뜨락정원; 카페테리아|화~금요일 10:00~18:00 / 토·일요일, 공휴일 10:00~19:00|||||국립나주박물관||||100101
국립낙동강생물자원관||||박물관|054-530-0700|경북 상주시 도남2길 137||전시시청각실|09:30 ~17:30|||||국립낙동강생물자원관||||100101
국립대구박물관||||박물관|053-768-6051~2|대구 수성구 청호로 321||카페테리아; 문화상품점; 우리문화체험실 아롱다롱방; 생각놀이방·영상체험방 등|평일10:00~18:00 / 주말 및 공휴일 10:00~19:00 / 매월 마지막 수요일이 포함된 주의 토요일 10:00~21:00|||||국립대구박물관||||100101
국립등대박물관||||박물관|054-284-4857|경북 포항시 남구 호미곶면 해맞이로 150번길 20|||09:00~18:00|||||국립등대박물관||||100101
국립민속박물관||||박물관|02-3704-3114|서울 종로구 삼청로 37||아트샵; 카페|3~5월, 9~10월 09:00~18:00 / 6~8월 09:00~18:30 / 11~2월 09:00~17:00 ※ 매월 마지막 주 수요일(문화가 있는 날) · 금요일 · 토요일 : 09:00 ~ 21:00 (20:00 까지 입장)|||||국립민속박물관||||100101
국립부여박물관||||박물관|041-833-8562|충남 부여군 부여읍 금성로 5||아트샵; 어린이박물관; 사비마루 공연장|10:00~18:00 / 토요일, 일요일, 공휴일은 1시간 연장 매주 토요일(4월~10월, 오전 10시 ~ 오후 9시) / 매월 마지막 주 토요일(오전 10시 ~ 오후 9시)|||||국립부여박물관||||100101
국립산악박물관||||박물관|033-638-4459|강원도 속초시 미시령로 3054||영상실;수유실; 암벽체험실; 고산체험실; 산악교실; 거울연못; 북카페;옥상정원|3월 1일 ~ 9월 30일(하절기) : 09:00 ~18:0010월 1일 ~ 2월 29일(동절기) : 09:00 ~17:00|||||국립산악박물관||||100101
국립여성사전시관||126.8340366|37.6358153|박물관|031-819-2288,-2299|경기 고양시 덕양구 화중로 104번길 50|||매일 오전 09:00 ~ 오후 06:00|||||국립여성사전시관||||100101
국립익산박물관||||박물관|063-830-0900|전라북도 익산시 금마면 미륵사지로 362||뮤지엄샵; 세미나실; 아기방; 물품보관함 등|09:00~18:00|||||국립익산박물관||||100101
국립일제강제동원역사관||||박물관|051-629-8600|부산 남구 홍곡로 320번길 100||교육실; 멀티미디어; 도서관; 영상실; 수유실; 의료실; 추모탑; 기획전시실|오전 10시 ~ 오후 6시|||||국립일제강제동원역사관||||100101
국립전주박물관||127.0897170|35.8013325|박물관|063-223-5651~2|전북 전주시 완산구 쑥고개길 249||뮤지엄샵; 카페|10:00~18:00(토, 일, 공휴일 1시간 연장) / 3월~10월 매주 토요일 야간개장(21:00까지)|||||국립전주박물관||||100101
국립제주박물관||126.5488630|33.5134250|박물관|064-720-8000|제주 제주시 일주동로 17||아트샵; 카페|09:00~18:00|||||국립제주박물관||||100101
국립중앙과학관||127.3751836|36.3754845|박물관|042-601-7894~6|대전 유성구 대덕대로 481||레스토랑; 카페; 수유실; 물품보관; 매점 기념품점; 휴게시설|09:30~17:50|||||국립중앙과학관||||100101
국립중앙박물관||126.9803881|37.5240867|박물관|02-2077-9000|서울시 용산구 서빙고로 137||아트샵; 레스토랑; 카페; 어린이박물관; 극장'용';|월, 화, 목, 금요일 : 10:00 ~ 18:00매주 수, 토요일 : 18:00 ~ 21:00 (3시간 연장)일요일, 공휴일 : 10:00 ~ 19:00|||||국립중앙박물관|(용산동6가 168-6)|||100101
국립진주박물관||128.0768992|35.1888089|박물관|055-742-5951|경남 진주시 남강로 626-35||아트샵; 카페; 3D 입체영상관|10:00~18:00 / 주말, 공휴일 1시간 연장 / 4~10월 매주 토요일 21:00까지|||||국립진주박물관||||100101
국립청주박물관||127.5119730|36.6497326|박물관|043-229-6300|충북 청주시 상당구 명암로 143||매점|화요일 ~ 금요일 : 오전 10시 ~ 오후 6시 토요일(4월~10월) : 오전 10시 ~ 오후 9시 토요일(1월~3월, 11월~12월) 일요일, 공휴일 : 오전 10시 ~ 오후 7시|||||국립청주박물관||||100101
국립춘천박물관||127.7538801|37.8639007|박물관|033-260-1500|강원 춘천시 우석로 70||카페테리아; 기념품 판매점; 문화놀이터; 어린이문화사랑방|평일 : 10:00~18:00 / 주말, 공휴일 10:00~19:00 / 문화가 있는 날(매월 마지막주 수요일) : 10:00~21:00|||||국립춘천박물관||||100101
국립태권도박물관||127.7754010|36.0091380|박물관|063-320-0114|전북 무주군 설천면 무설로 1482||의무실; 수유실; 갤러리카페|※ 하절기 (3월 ~ 10월) 화~금 : 10시 ~ 18시 / 주말,공휴일 10시 ~19시※ 동절기 (11월 ~ 2월) 화~금 : 10시 ~ 17시 / 주말,공휴일 10시 ~ 18시|||||국립태권도박물관|태권도원 내|||100101
국립한글박물관||126.9809191|37.5211823|박물관|02-2124-6200|서울 용산구 서빙고로 139||한글도서관; 한글놀이터; 한글배움터; 별관|월~일요일 : 오전 10시~오후 6시토요일, 문화가 있는 날 (매 달 마지막 수요일) : 오전10시~오후9시|||||국립한글박물관||||100101
국립해양문화재연구소||126.4220755|34.7917050|박물관|061-270-2000|전남 목포시 남농로 136||아트샵|09:00~18:00(3월~10월 중 주말 및 공휴일 19:00까지)|||||국립해양문화재연구소||||100101
국립해양박물관||129.0802743|35.0785431|박물관|051-309-1900|부산광역시 영도구 해양로301번길 45||해양도서관; 어린이박물관; 4D영상관; 뮤지엄샵; 푸드코트; 야외광장 등|평일, 일요일 : 09:00~18:00 / 토요일 : 09:00~21:00|||||국립해양박물관|(동삼동 1156)|||100101
국립해양생물자원관/시큐리움||||박물관|041-950-0600|충남 서천군 장항읍 장산로101번길 75||4D영상실; 카페테리아; 기념품점|3월~10월 : 09:30~18:00 / 11월~2월 : 09:30~17:00 / * 관람종료 1시간 전까지 입장가능 / * 토요일, 공휴일(일요일 제외) 1시간 연장 운영|||||국립해양생물자원관 시큐리움||||100101
군산근대역사박물관||||박물관|063-454-7870|전북 군산시 해망로 240||근대미술관; 근대건축관; 진포해양테마공원; 장미갤러리; 장미공연장; 미즈상사|09:00~18:00(입장은 폐관 30분 전까지 가능)※ 동절기(11월~2월) : 09:00~17:00※ 토요일 3시간 연장 야간운영|||||군산근대역사박물관||||100101
금산역사문화박물관||||박물관|041-750-2386|충남 금산군 금산읍 금산로 1575||기획전시실; 어린이체험실|09:00~18:00|||||금산역사문화박물관||||100101
기지시줄다리기박물관||126.6947579|36.8962319|박물관|041-350-4929|충남 당신시 송악읍 안틀모시길 11|||10:00~18:00|||||기지시줄다리기박물관||||100101
김중업건축박물관||126.9182578|37.4184149|박물관|031-687-0909|경기 안양시 만안구 예술공원로 103번길 4||아트샵; 레스토랑; 카페|09:00~18:00|||||김중업건축박물관||||100101
김천세계도자기박물관||128.0111963|36.1167813|박물관|054-420-6726|경북 김천시 대항면 직지사길 118|||09:00~18:00|||||김천세계도자기박물관||||100101
난계국악박물관||127.7049266|36.2101458|박물관|043-740-3886|충북 영동군 심천면 고당리 국악로 9|||09:30~18:00|||||난계국악박물관||||100101
남도향토음식박물관||126.8983625|35.2019096|박물관|062-575-8883|광주 북구 설죽로 477||아트샵|09:00~18:00|||||남도향토음식박물관||||100101
남양주시립박물관||127.2443979|37.5463740|박물관|031-590-8600|경기도 남양주시 와부읍 팔당로 121|||10:00~18:00 ※ 입장마감: 17:30|||||남양주시립박물관||||100101
남양주유기농박물관||127.3367464|37.5960902|박물관|031-560-1471|경기 남양주시 북한강로 881||카페|09:00~18:00|||||남양주유기농박물관||||100101
남원향토박물관||127.3870909|35.4017971|박물관|063-620-5797|전북 남원시 양림길 14-9||춘향테마파크|동절기 09:00~18:00 / 하절기 09:00~18:00|||||남원향토박물관||||100101
남해유배문학관||127.8991379|34.8319303|박물관|055-860-8888|경남 남해군 남해읍 남해대로 2745||아트샵; 음료 휴게실|09:00~18:00|||||남해유배문학관||||100101
대가야박물관||128.2571806|35.7230946|박물관|054-950-7103|경북 고령군 고령읍 대가야로 1203|||하절기 09:00~18:00 / 동절기 09:00~17:00|||||대가야박물관||||100101
대구교육박물관||||박물관|053-231-1790|대구 북구 대동로 1길 40|||09:30~18:00 (입장은 관람 종료 1시간 전까지)|||||대구교육박물관||||100101
대구근대역사관||128.5911492|35.8717627|박물관|053-606-6430|대구 중구 경상감영길 67|||09:00~18:00 / 4월~10월 19:00까지|||||대구근대역사관||||100101
대구섬유박물관||128.6402102|35.9190411|박물관|053-980-1004|대구 동구 팔공로 227||다목적홀; 세미나실; 섬유정보실; 어린이체험실|평일 9:00~18:00 / 주말·공휴일 9:00 ~ 18:00(※관람권 발급시간 : 관람 종료 1시간 전까지)|||||대구섬유박물관||||100101
대구향토역사관||||박물관|053-606-6421|대구 중구 달성공원로 35||||||||대구향토역사관||||100101
대성동고분박물관||128.8730700|35.2366196|박물관|055-330-6881|경남 김해시 가야의길 126|||09:00~18:00|||||대성동고분박물관||||100101
대전시립박물관||||박물관|042-270-8608|대전 유성구 도안대로 398|||동절기(11~2월) : 10:00~18:00 / 하절기(3~10월) : 10:00~19:00|||||대전시립박물관||||100101
대청댐물문화관||127.4818439|36.4741978|박물관|042-930-7332|대전 대덕구 대청로 618-136|||09:30~18:00|||||대청댐물문화관||||100101
대한민국술테마박물관||||박물관|063-290-3841~7|전북 완주군 구이면 덕천전원길 232-58||다목적강당; 야외무대|09:00   18:00|||||대한민국술테마박물관||||100101
대한민국역사박물관||126.9778134|37.5739236|박물관|02-3703-9200|서울 종로구 세종대로 198||문화상품점; 황토마루카페; 황토마루정원(옥상정원); 자전거 보관소 등|10:00~18:00 / 수, 토요일 21:00까지 야간개장|||||대한민국역사박물관||||100101
독도박물관||130.9008459|37.4833724|박물관|054-790-6432~3|경북 울릉군 울릉읍 약수터길 90-17|||09:00~18:00|||||독도박물관||||100101
동강사진박물관||128.4614250|37.1819929|박물관|033-375-4554|강원 영월군 영월읍 영월로 1909-10||카페|09:00~18:00|||||동강사진박물관||||100101
동두천시/경기북부어린이박물관||||박물관|031-860-2860|경기 동두천시 평화로 2910번길 46||뮤지엄샾; 런치룸; 강당; 의무실; 수유실; 야외 놀이터|10:00~18:00  1일 5회,  회당 90분 운영 / 운영회차 1회차 : 10:00~11:30, 2회차 : 11:35~13:05, 3회차 : 13:10~14:40, 4회차 : 14:45~16:15, 5회차 : 16:20~17:50|||||동두천시 경기북부어린이박물관||||100101
둘리뮤지엄||||박물관|02-990-2200|서울 도봉구 시루봉로1길 6||||||||둘리뮤지엄||||100101
라디오스타박물관||||박물관|033-372-8123|강원도 영월군 영월읍 금강공원길 84-3||기념품샵 /  카페|화요일 ~ 일요일 (09시~18시)|||||라디오스타박물관||||100101
말박물관||127.0121590|37.4478520|박물관|02-509-1275|경기 과천시 경마공원대로 107|||10:00~18:00|||||말박물관||||100101
목포문학관||126.4168625|34.7928833|박물관|061-270-8400|전남 목포시 남농로 95||아트샵|09:00~18:00|||||목포문학관||||100101
목포자연사박물관||126.4209597|34.7936768|박물관|061-274-3655|전남 목포시 남농로 135|||09:00~18:00|||||목포자연사박물관||||100101
무주곤충박물관||||박물관|063-324-1155|전북 무주군 설천면 무설로 1324||생태온실; 입체영상실; 돔영상실; VR영상실|하절기 : 09:00~18:00(입장마감 17:00) / 동절기 : 09:00~17:00(입장마감 16:00)|||||무주곤충박물관||||100101
문경에코랄라||128.0617521|36.6539864|박물관|054-572-6854|경북 문경시 가은읍 왕능길 112|||하절기 09:00~18:00 / 동절기 09:00~17:00 1월 1일, 설·추석 당일|||||문경에코랄라||||100101
문경자연생태박물관||128.0765000|36.7542417|박물관|054-550-8383|경북 문경 문경읍 새재1길 45|||하절기(3월 1일~10월 31일) 09:00~18:00 / 동절기(11월 1일~다음해 2월 말일) 09:00~17:00|||||문경자연생태박물관||||100101
밀양시립박물관||128.7591808|35.5033313|박물관|055-359-5589|경남 밀양시 밀양대공원로 100||아트샵|09:00~18:00|||||밀양시립박물관||||100101
백남준아트센터||127.1103650|37.2692070|박물관|031-201-8545|경기 용인시 기흥구 백남준로 10||아트샵; 카페; 백남준 라이브러리|10:00~18:00 / 봄, 가을 토요일 1시간 연장 / 여름 7월~8월 10:00~19:00|||||백남준아트센터||||100101
백호문학관||126.6668869|34.9969283|박물관|061-335-5008|전남 나주시 다시면 회진길 8|||09:00~18:00 / 점심시간 : 12:00~13:00|||||백호문학관||||100101
보령박물관||||박물관|041-930-4947|충남 보령시 대흥로 63||수유실; 북카페; 강당 및 공연장|화~일요일 09:00~18:00(17:00까지 입장)|||||보령박물관||||100101
보령석탄박물관||126.6527184|36.3261189|박물관|041-934-1902|충남 보령시 성주면 성주산로 508|||하절기(3월~10월) 09:00~18:00 / 동절기(11월~2월) 09:00~17:00|||||보령석탄박물관||||100101
보석박물관||||박물관|063-859-4641~3|전북 익산시 왕궁면 호반로 8||화석전시관 : 063- 859-4775; 주얼팰리스(주얼리) :  063- 834-5100; Ik's(식당) :  063- 832-0393; 관광안내센터 :  063- 859-4645|10:00~18:00 (매표시간 17:00까지)|||||보석박물관||||100101
부산광역시립박물관||129.0940500|35.1295900|박물관|051-610-7111|부산 남구 유엔평화로 63||아트샵; 카페|09:00~20:00|||||부산광역시립박물관||||100101
부산영화체험박물관||||박물관|051-715-4200|부산 중구 대청로 126번길 12||편의점|10:00~18:00 (입장 및 발권 마감 시간은17:00입니다.)|||||부산영화체험박물관||||100101
부천교육박물관||126.7989976|37.5018588|박물관|032-661-1282~3|경기 부천시 원미구 소사로 482||주변 매점; 식당|09:00~18:00|||||부천교육박물관|부천종합운동장|||100101
부천수석박물관||126.7981987|37.5018430|박물관|032-655-2900|경기 부천시 원미구 소사로 482|||09:00~18:00 매주 월요일, 설, 추석|||||부천수석박물관|부천종합운동장|||100101
부천옹기박물관||126.8017100|37.5137399|박물관|032-684-9057~8|경기 부천시 소사로 638|||09:00~18:00|||||부천옹기박물관||||100101
부천자연생태박물관||126.8165924|37.5048251|박물관|032-625-3503|경기 부천시 원미구 길주로 660||매점|3월~10월 09:30~18:00 / 11월~2월 09:30~17:00|||||부천자연생태박물관||||100101
부천활박물관||126.7975125|37.5007750|박물관|032-614-2678|경기 부천시 소사로 482|||09:00~18:00|||||부천활박물관|부천종합운동장|||100101
부평역사박물관||126.7378240|37.5121372|박물관|032-515-6471|인천 부평구 굴포로 151||카페|9:00~18:00|||||부평역사박물관||||100101
사상생활사박물관||||박물관|051-310-5137|부산 사상구 낙동대로1258번길 36|||09:00~18:00 (입장은 17:30분까지)|||||사상생활사박물관||||100101
산림청국립수목원/산림박물관||127.1646263|37.7557124|박물관|031-540-2000|경기 포천시 소흘읍 광릉수목원로 415||방문자센터; 우리나무 알림터; 숲 해설센터; 수유실 등|하절기(04월~10월) 09:00~18:00 / 동절기(11월~03월) 09:00~17:00|||||산림청국립수목원 산림박물관||||100101
산청박물관||||박물관|070-8990-2133|경남 산청군 생초면 산수로 1064|||09:00 18:00|||||산청박물관||||100101
삼성현역사문화관||128.7971397|35.7985188|박물관|053-804-7868|경북 경산시 남산면 상대로 883-30||세미나실; 아카이브실; 국궁장; 잔디썰매장; 놀이터; 야외공연장|하절기(3월~10월) : 09:00~18:00 / 동절기(11월~다음해 2월) : 09:00~17:00|||||삼성현역사문화관||||100101
삼척시립박물관||129.1584648|37.4389286|박물관|033-575-0768|강원 삼척시 엑스포로 54||아트샵|09:00~18:00|||||삼척시립박물관||||100101
상주박물관||128.2410688|36.4599273|박물관|054-536-6160|경북 상주시 사벌면 경천로 684||카페|09:30~17:30 (매표 17:00까지)|||||상주박물관||||100101
서대문자연사박물관||126.9376126|37.5765663|박물관|02-330-8899|서울 서대문구 연희로 32길 51||자연사도서관|3월~10월 09:00~18:00 / 11월~2월 09:00~17:00(토·일·공휴일은 1시간 연장 개관)|||||서대문자연사박물관||||100101
서대문형무소역사관||126.9562269|37.5742887|박물관|02-360-8590~1|서울 서대문구 통일로 251||아트샵|하절기(3월~11월) 09:30~18:00 / 동절기(12월~2월) 09:30~17:30|||||서대문형무소역사관||||100101
서울교육박물관||||박물관|02-2011-5780|서울 종로구 북촌로5길 48|||평일 : 09:00 18:00 / 토ㆍ일요일 : 09:00~17:00|||||서울교육박물관||||100101
서울상상나라||||박물관|02-6450-9500|서울 광진구 능동로 216||||||||서울상상나라||||100101
서울약령시한의약박물관||||박물관|070-4277-5082|서울 동대문구 약령중앙로 26|||하절기(3~10월) 10:00~18:00 / 동절기(11~2월) 10:00~17:00|||||서울약령시한의약박물관||||100101
서울역사박물관||126.9704375|37.5701434|박물관|02-724-0274~6|서울 종로구 새문안길 50||아트샵; 식당; 카페; 물품보관소|09:00~20:00 / 토·일·공휴일 3~10월 09:00~19:00 / 11~2월 09:00~18:00|||||서울역사박물관||||100101
서울특별시수도박물관||127.0428043|37.5384289|박물관|02-3146-5936|서울 성동구 왕십리로 27||실내·외 식사공간|3월~10월 10:00~20:00 / 10:00~19:00(토·일·공휴일) / 11월~2월 10:00~19:00 / 10:00~18:00(토·일·공휴일)|||||서울특별시수도박물관||||100101
석장리박물관||||박물관|041-840-8924|충남 공주시 금벽로 990||||||||석장리박물관||||100101
성북선잠박물관||||박물관|02-744-0025|서울시 성북구 성북로 96||다목적실|화~일 : 10:00~18:00입장은 종료 30분전까지|||||성북선잠박물관||||100101
세미원연꽃박물관||127.3219247|37.5387488|박물관|031-775-1835|경기 양평군 양서면 양수로 93||카페; 베이커리전문점|09:30~18:00|||||세미원연꽃박물관||||100101
세종대왕역사문화관||||박물관|031-885-3123~4|경기도 여주시 능서면 영릉로 269-10||화장실 4개소유모차(2세미만) 및 휠체어 무료대여 ·세종대왕릉 수표소 (유모차 5대; 휠체어 4대)·효종대왕릉 수표소 (유모차 2대; 휠체어 2대)|봄, 가을 (2~5월, 9~10월) : 09:00~18:00 / 여름 (6~8월) : 09:00~18:30  / 겨울 (11~1월) : 09:00~17:30|||||세종대왕역사문화관||||100101
소수박물관||||박물관|054-639-7964|경북 영주시 순흥면 소백로 2780||||||||소수박물관||||100101
속초시립박물관||128.5396564|38.2005223|박물관|033-639-2977|강원 속초시 신흥 2길 16|||3월~10월 09:00~18:00 / 11월~2월 09:00~17:00|||||속초시립박물관||||100101
수도국산달동네박물관||126.6391211|37.4774916|박물관|032-770-6131~4|인천 동구 솔빛로 51||아트샵|09:00~18:00|||||수도국산달동네박물관||||100101
수원광교박물관||127.0513175|37.2963686|박물관|031-228-4175|경기 수원시 영통구 광교로 182||||||||수원광교박물관||||100101
수원박물관||127.0355214|37.2977001|박물관|031-228-4150|경기 수원시 영통구 창룡대로 265||아트샵; 카페|09:00~18:00|||||수원박물관||||100101
수원화성박물관||127.0189340|37.2826896|박물관|031-228-4242|경기 수원시 팔달구 창룡대로 21||아트샵; 카페|09:00~18:00|||||수원화성박물관||||100101
순천시립뿌리깊은나무박물관||||박물관|061-749-8855|전남 순천시 낙안면 평촌 3길 45||한옥; 쉼터; 야외전시장||||||순천시립뿌리깊은나무박물관||||100101
실학박물관||127.3005540|37.5160198|박물관|031-579-6000|경기 남양주시 조안면 다산로 747번길 16||아트샵|12월~2월 10:00~18:00 / 7월~8월 10:00~19:00 / 3월~6월, 9월~11월 10:00~18:00(토요일 10:00~19:00)|||||실학박물관||||100101
아리랑박물관||||박물관|033-560-3031|강원 정선군 애산로 51|||10:00~18:00 (입장은 마감시간 30분전까지 가능)|||||아리랑박물관||||100101
안동시립민속박물관||128.7666531|36.5795038|박물관|054-821-0649|경북 안동시 민속촌길 13||Book Shop|09:00~18:00|||||안동시립민속박물관||||100101
안산어촌민속박물관||126.6461155|37.1925178|박물관|032-886-2912|경기 안산시 단원구 선감동 대부황금로 7|||09:00~18:00|||||안산어촌민속박물관||||100101
안산향토사박물관||126.8476278|37.2991864|박물관|031-415-0041~2|경기 안산시 상록구 석호로 144|||10:00~17:00|||||안산향토사박물관||||100101
안양박물관||126.9640233|37.3799647|박물관|031-687-0909|경기 안양시 만안구 예술공원로 103번길 4|||09:00~18:00|||||안양박물관||||100101
애니메이션박물관||||박물관|033-245-6470|강원 서면 현암리 박사로 854||뮤지엄샵; 카페테리아; 교육실; 대극장|10:00~18:00(입장마감 17:00) (월요일 휴관)|||||애니메이션박물관||||100101
양구백자박물관||||박물관|033-480-2664|강원 양구군 방산면 평화로 5182||아트샵; 체험장; 전통가마2기|09:00~18:00|||||양구백자박물관||||100101
양구선사박물관||127.9903825|38.1235609|박물관|033-480-2677|강원 양구군 양구읍 금강산로 439-52||레스토랑; 카페; 전통음식점|09:00~18:00|||||양구선사박물관||||100101
양구인문학박물관||||박물관|033-482-9800|강원 양구군 양구읍 파로호로 869번길 101||세미나실; 휴게실; 강사대기실; 뮤지엄샵|09:00~18:00(관람종료 30분전 입장가능)|||||양구인문학박물관||||100101
양산시립박물관||129.0490546|35.3585463|박물관|055-392-3313|경남 양산시 북정로 78||어린이도서관|09:00~18:00|||||양산시립박물관||||100101
양주회암사지박물관||127.1028963|37.8412667|박물관|031-8082-4187|경기 양주시 회암사길 11|||09:00~18:00|||||양주회암사지박물관||||100101
양평곤충박물관||127.4491461|37.5095313|박물관|031-775-8022|경기 양평군 옥천면 경강로 1496||매점|하절기(3~10월) 09:30~18:00 / 동절기(11월~2월) 09:30~17:00|||||양평곤충박물관||||100101
