##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@문화센터_서울연극재단
JTN/아트홀/3관||||문화센터|02-779-1595|서울특별시 종로구 이화장길 26||||||JTN Art Hall 3||JTN 아트홀 3관|대학로 JTN아트홀;대학로 JTN아트홀|||100203
JTN/아트홀/2관||||문화센터|02-779-1595|서울특별시 종로구 이화장길 26||||||JTN Art Hall 2||JTN 아트홀 2관|대학로 JTN아트홀;대학로 JTN아트홀|||100203
에스에이치/아트홀||||문화센터|02-747-2265|서울특별시 종로구 동숭길 25||||||에스에이치 Art Hall||에스에이치 아트홀||||100203
DCF/대명문화공장/2관||||문화센터|1899-3738|서울특별시 종로구 대학로12길 21||||||DCF 2||DCF 대명문화공장 2관||||100203
DCF/대명문화공장/1관||||문화센터|1899-3738|서울특별시 종로구 대학로12길 21||||||DCF 1||DCF 대명문화공장 1관||||100203
CJ문화재단/아지트/대학로||||문화센터|02-726-7927|서울특별시 종로구 대학로12길 69||||||CJ azit||CJ문화재단 아지트 대학로|태원빌딩;태원빌딩 지하1,2층|||100203
홍익대/대학로/아트센터/소극장||||문화센터|02-742-0300|서울특별시 종로구 대학로 57||||||Hongik Art Center Little Theater||홍익대 대학로 아트센터 소극장|홍익대 대학로 아트센터;홍익대 대학로 아트센터|||100203
파랑씨어터||||문화센터|070-4870-1931|서울특별시 종로구 대학로8가길 36||||||도향아트홀||파랑씨어터 (구 도향아트홀)|3층|||100203
아루또/소극장||||문화센터|02-6012-2511|서울특별시 종로구 대학로8가길 48||||||Arutto Theater||아루또 소극장|연경빌딩 4층;연경빌딩 4층|||100203
한성아트홀/2관||||문화센터|02-741-0251|서울특별시 종로구 창경궁로 254||||||Hanseong Art Hall 2||한성아트홀 2관||||100203
재능문화센터||||문화센터|02-2138-7373|서울특별시 종로구 창경궁로35길 29||||||Jaeneung Culture Center||재능문화센터|JEIARTCENTER;JEIARTCENTER|||100203
이음센터||||문화센터|02-760-9700|서울특별시 종로구 대학로 112||||||Ieum center||이음센터||||100203
울씨어터||||문화센터|070-4120-3639|서울특별시 종로구 동숭길 78||||||Wool Theater||울씨어터|B1층;B1층|||100203
세명대학교/민송아트홀/2관||||문화센터|02-766-8134|서울특별시 종로구 대학로 144||||||SMU Minsong Art Hall 2||세명대학교 민송아트홀 2관|중원빌딩;중원빌딩|||100203
세명대학교/민송아트홀/1관||||문화센터|02-766-8134|서울특별시 종로구 대학로 144||||||SMU Minsong Art Hall 1||세명대학교 민송아트홀 1관|중원빌딩;중원빌딩|||100203
미마지아트센터/풀빛극장||||문화센터|02-6404-5005|서울특별시 종로구 대학로8가길 129||||||Mimagi Art Center Pulbit Theater||미마지아트센터 풀빛극장||||100203
대학로/라이브/썸데이즈홀||||문화센터|1644-8609|서울특별시 종로구 대학로12길 10||||||Live Some Days Hall||대학로 라이브 썸데이즈홀|지하1층|||100203
이수아트홀||||문화센터|02-1661-3124|서울특별시 종로구 이화장길 58||||||Isu Art Hall||이수아트홀||||100203
유니플렉스/3관||||문화센터|02-766-2115|서울특별시 종로구 대학로 12길 64||||||uniplex 3||유니플렉스 3관|복합문화예술공간 유니플렉스;복합문화예술공간 유니플렉스|||100203
유니플렉스/2관||||문화센터|02-766-2115|서울특별시 종로구 대학로 12길 64||||||uniplex 2||유니플렉스 2관|복합문화예술공간 유니플렉스;복합문화예술공간 유니플렉스|||100203
여우별씨어터||||문화센터|070-4870-1931|서울특별시 종로구 대학로8가길 30||||||Fox Star Theater||여우별씨어터|지하1층|||100203
탑/아트홀||||문화센터|02-747-7407|서울특별시 종로구 동숭길 72||||||Top Art Hall||탑 아트홀||||100203
해바라기/소극장||||문화센터|1600-1716|서울시 종로구 동숭길 76||||||sunflower art hall||해바라기 소극장|지하1층;지하1층|||100203
피가로/아트홀||||문화센터|1800-9727|서울특별시 종로구 동숭길 76||||||Pigaro Art Hall||피가로 아트홀|지하1층;지하1층|||100203
콘텐츠룸||||문화센터|02-747-2232|서울특별시 종로구 대학로11길 23||||||아트홀마리카 1관||콘텐츠룸 (구 아트홀마리카 1관)|스타시티 7층 콘텐츠룸;스타시티 7층 콘텐츠룸|||100203
후암스테이지/2관||||문화센터|02-3674-6005|서울특별시 종로구 대학로11길 23||||||Hooam Stage 2||후암스테이지 2관|스타시티 지하1층;스타시티 지하1층|||100203
아트포레스트/2관||||문화센터|02-747-2050|서울특별시 종로구 대학로12길 22||||||Art Forest 2||아트포레스트 2관||||100203
아트포레스트/1관||||문화센터|02-747-2050|서울특별시 종로구 대학로12길 22||||||Art Forest 1||아트포레스트 1관||||100203
원패스/아트홀||||문화센터|02-744-5978|서울특별시 종로구 대학로12길 15||||||Onepass Art Hall||원패스 아트홀|성좌소극장|||100203
상명아트홀/2관||||문화센터|02-2075-2713|서울특별시 종로구 동숭길 133||||||Sangmyung Art Hall 2||상명아트홀 2관|상명대학교 예술디자인대학원;상명대학교 예술디자인대학원|||100203
봄날아트홀/2관||||문화센터|070-8639-7883|서울특별시 종로구 동숭길 39||||||Bomnal Art Hall 2||봄날아트홀 2관|지하2층|||100203
봄날아트홀/1관||||문화센터|070-8639-7883|서울특별시 종로구 동숭길 39||||||Bomnal Art Hall 1||봄날아트홀 1관|지하1층|||100203
드림아트센터/4관||||문화센터|02-3481-8843|서울특별시 종로구 동숭길 123|서울특별시 종로구 동숭동 1-42|||||Dream Art Center Theater 4||드림아트센터 4관|드림아트센터|||100203
드림아트센터/3관||||문화센터|02-3481-8843|서울특별시 종로구 동숭길 123|서울특별시 종로구 동숭동 1-42|||||Dream Art Center Theater 3||드림아트센터 3관|드림아트센터|||100203
드림아트센터/2관||||문화센터|02-3481-8843|서울특별시 종로구 동숭길 123|서울특별시 종로구 동숭동 1-42|||||Dream Art Center Theater 2||드림아트센터 2관|드림아트센터|||100203
동숭아트센터/꼭두소극장||||문화센터|02-766-3390|서울특별시 종로구 동숭길 122||||||Dongsoong Art Center Kokdu Theater||동숭아트센터 꼭두소극장||||100203
동숭아트센터/동숭소극장||||문화센터|02-766-3390|서울 종로구 동숭길 122||||||Dongsoong Art Center Dongsoong Theater||동숭아트센터 동숭소극장|동숭아트센터;동숭아트센터|||100203
아르코예술극장/소극장||||문화센터|02-3668-0007|서울특별시 종로구 대학로8길 7|서울특별시 종로구 동숭동 1-111|||||Arko Arts Theater (Small Hall)||아르코예술극장 소극장||||100203
대학로예술극장/소극장||||문화센터|02-3668-0007|서울특별시 종로구 대학로10길 17|서울시 종로구 동숭동 1-67|||||Daehakro Arts Theater Small Hall||대학로예술극장 소극장||||100203
예술공간/오르다||||문화센터|02-765-7500|서울시 종로구 이화장길 86-11||||||Art Space Orda||예술공간 오르다|지하 (동숭동 192-8)|||100203
드림아트센터/1관||||문화센터|02-3481-8843|서울특별시 종로구 동숭길 123|서울특별시 종로구 동숭동 1-42|||||Dream Art Center Theater 1||드림아트센터 1관|드림아트센터|||100203
후암스테이지/1관||||문화센터|0505-894-0202|서울특별시 종로구 대학로11길 23||||||Hooam Stage 1||후암스테이지 1관|대학로스타시스빌딩 지하2층;대학로스타시스빌딩 지하2층|||100203
위로홀||||문화센터|070-8600-8342|서울 종로구 동숭길 74||||||Wiro Hall||위로홀||||100203
대학로티오엠/씨어터/2관||||문화센터|1544-8303|서울시 종로구 대학로8가길 85|서울시 종로구 동숭동 1-80|||||TOM Theater 2||대학로티오엠 씨어터 2관||||100203
스튜디오/SK||||문화센터|02-747-5035|서울특별시 종로구 성균관로 15-10||||||Studio SK||스튜디오 SK|지층|||100203
소극장/혜화당||||문화센터|02-742-1505|서울시 종로구 대학로12길 63||||||Hyehwadang||소극장 혜화당|석마빌딩|||100203
동숭무대소극장||||문화센터|010-3711-7818|서울특별시 종로구 혜화로 35||||||Dongsoong Stage Theater||동숭무대소극장|경주이씨중앙화수회관 지하1층|||100203
휴먼시어터||||문화센터|02-742-7611|서울특별시 종로구 대학로8가길 80||||||Human Theater||휴먼시어터||||100203
동양예술극장/1관||||문화센터|02-743-4667|서울특별시 종로구 대학로 14길 29|서울특별시 종로구 혜화동 163-24|||||Dongyang Arts Center 1||동양예술극장 1관||||100203
동양예술극장/2관||||문화센터|02-743-4667|서울특별시 종로구 대학로 14길 29|서울특별시 종로구 혜화동 163-24|||||Dongyang Arts Center 2||동양예술극장 2관||||100203
동양예술극장/3관||||문화센터|02-743-4667|서울특별시 종로구 대학로 14길 29|서울특별시 종로구 혜화동 163-24|||||Dongyang Arts Center 3||동양예술극장 3관||||100203
스카이씨어터/2관||||문화센터|0505-894-0202|서울특별시 종로구 대학로8가길 52|서울시 종로구 동숭동 1-48|||||Sky Theatre 2||스카이씨어터 2관|5층|||100203
문씨어터||||문화센터|02-6403-7117|서울특별시 종로구 대학로10길 12||||||지구인 씨어터||문씨어터 (구 지구인 씨어터)|지하1층;(동숭동 1-113 지하1층)|||100203
익스트림씨어터/3관||||문화센터|070-8129-7420|서울특별시 종로구 창경궁로 227|서울특별시 종로구 명륜4가 198-3|||||Extreme Theater 3||익스트림씨어터 3관|성우빌딩;B1|||100203
R&J/씨어터||||문화센터|02-747-1912||서울시 종로구 동숭동 31-9|||||||R&J 씨어터|연진아트홀|||100203
스페이스/아이||||문화센터|070-8279-1201||서울시 종로구 명륜4가 167-2|||||Space I||스페이스 아이|B1|||100203
대학로티오엠/씨어터/1관||||문화센터|02-1544-8303|서울특별시 종로구 대학로8가길 85|서울특별시 종로구 동숭동 1-80|||||TOM Theater 1||대학로티오엠 씨어터 1관||||100203
콘텐츠/박스||||문화센터|02-747-2232|서울특별시 종로구 동숭길 55||||||Kontentz Box||콘텐츠 박스|대학빌딩;대학빌딩|||100203
예그린씨어터||||문화센터|02-6673-0100|서울시 종로구 동숭길 130-5|서울시 종로구 동숭동 1-8|||||Yegreen Theatre||예그린씨어터|지하2층 예그린씨어터;무애빌딩 지하2층 예그린씨어터|||100203
세종아트센터||||문화센터|02-444-8552|서울특별시 종로구 대학로 144||||||Sejong Art center.||세종아트센터|중원빌딩;중원빌딩,태산연기학원 내부|||100203
청운예술극장||||문화센터|02-764-7606||서울 종로구 연건동 178-1|||||Chungwoon Arts Theater||청운예술극장|동마루빌딩 4층|||100203
극장/동국||||문화센터|02-747-5296|서울시 종로구 창경궁로 259|서울특별시 종로구 명륜2가 13|||||Theatre DongGuk||극장 동국|(명륜2가)|||100203
수현재씨어터||||문화센터|02-766-6506|서울특별시 종로구 대학로12길 21||||||Soohyunjae Theater||수현재씨어터|대명문화공장 (수현재빌딩) 3층|||100203
유니플렉스/1관||||문화센터|02-766-2115|서울 특별시 종로구 대학로 12길 64||||||uniplex 1||유니플렉스 1관|복합문화예술공간 유니플렉스;복합문화예술공간 유니플렉스|||100203
호은아트홀||||문화센터|02-3673-1589|서울특별시 종로구 동숭길 41||||||Ho-un Art Hall||호은아트홀||||100203
홍익대/대학로/아트센터/대극장||||문화센터|02-742-0300||서울시 종로구 연건동 128-8|||||Hongik Art Center Main Theater||홍익대 대학로 아트센터 대극장|홍익대 대학로 아트센터;홍익대 대학로 아트센터|||100203
열린극장||||문화센터|02-743-6474|서울특별시 종로구 창경궁로 258-12||||||Open Theatre||열린극장||||100203
틴틴홀||||문화센터|02-764-8760|서울특별시 종로구 대학로10길 24||||||Tintin Hall||틴틴홀|스타리움빌딩;스타리움빌딩|||100203
삼형제극장(대학로)||||문화센터|02-6326-1333|서울특별시 종로구 이화장길 72|서울시 종로구 동숭동 199-33|||||Samhyeongje Theater||삼형제극장 (대학로)|2F|||100203
익스트림씨어터/2관||||문화센터|070-8129-7420|서울특별시 종로구 이화장길 54||||||Extreme Theater 2||익스트림씨어터 2관||||100203
연극실험실/혜화동1번지||||문화센터|010-8636-0069|서울특별시 종로구 창경궁로35길 7|서울특별시 종로구 혜화동 88-1|||||Hyehwa-dong 1st number||연극실험실 혜화동1번지||||100203
익스트림씨어터/1관||||문화센터|070-8129-7420|서울특별시 종로구 대학로 128||||||Extreme Theater 1||익스트림씨어터 1관|21세기빌딩 5층|||100203
달빛극장||||문화센터|02-747-9202|서울특별시 종로구 대명1길 15-4||||||Moonshine Theater||달빛극장||||100203
서연아트홀||||문화센터|02-747-2151|서울특별시 종로구 창경궁로 258-9|서울특별시 종로구 명륜2가 21-10|||||Seoyeon Art Hall||서연아트홀||||100203
대학로/우리네극장||||문화센터|02-766-0242|서울특별시 종로구 동숭길 55||||||Deahakro Woorine Theatre||대학로 우리네극장|대학빌딩 5층;대학빌딩 5층|||100203
예술공간/라푸푸(라푸푸/서원)||||문화센터|02-744-5879|서울특별시 종로구 동숭4길 4||||||Lapupu Ground||예술공간 라푸푸 (라푸푸 서원)||||100203
환상극장||||문화센터|02-6326-1333|서울특별시 종로구 이화장길 72|서울시 종로구 동숭동 199-33|||||Hwansang Theater||환상극장|지하1층;지하1층|||100203
가든씨어터||||문화센터|010-8958-8223|서울시 종로구 대학로10길 15-11|서울시 종로구 동숭동 1-63|||||Garden Theater||가든씨어터||||100203
맛있는/극장||||문화센터|070-7018-1084|서울특별시 종로구 혜화로 4|서울시 종로구 혜화동 109-4|||||Delicious Theater||맛있는 극장|지층|||100203
JH아트홀||||문화센터|070-4355-0010|서울특별시 종로구 대학로8가길 64||||||JH Art Hall||JH아트홀|보생빌딩;보생빌딩 2층|||100203
바탕골소극장||||문화센터|02-764-8760|서울특별시 종로구 대학로10길 5|서울특별시 종로구 동숭동 1-60|||||Batanggol Theater||바탕골소극장|/ 5층;5층|||100203
서울문화재단/대학로연습실||||문화센터|02-747-7805|서울특별시 종로구 대학로8가길 85|서울시 종로구 동숭동 1-75|||||SFAC Daehangno Performing Arts Studios||서울문화재단 대학로연습실|/2층;2층|||100203
서울연극센터||||문화센터|02-743-9333|서울특별시 종로구 대명길 3|서울특별시 종로구 명륜4가 1|||||Seoul Theater Center||서울연극센터||||100203
노을소극장||||문화센터|02-921-9723|서울특별시 종로구 대학로8가길 66|서울시 종로구 동숭동 1-51|||||Noeul Theater||노을소극장||||100203
마로니에/극장||||문화센터|02-764-0686|서울특별시 종로구 동숭길 50|서울시 종로구 동숭동 130-47|||||Marronnier Theater||마로니에 극장||||100203
쁘띠첼씨어터||||문화센터|02-766-7667|서울특별시 종로구 대학로12길 73||||||Petitzel Theatre||쁘띠첼씨어터|낙산재;낙산재|||100203
공간/아울||||문화센터|0505-894-0202|서울특별시 종로구 대학로 120|서울시 종로구 동숭동 1-27|||||Space Owl||공간 아울|지하1층|||100203
효천아트센터/그라운드/씬||||문화센터|02-3676-2352|서울 종로구 성균관로 87||||||Ground - SYN||효천아트센터 그라운드 씬|명륜동근린생활시설 1;명륜동근린생활시설 1|||100203
스카이씨어터||||문화센터|0505-894-0202|서울특별시 종로구 대학로8가길 52|서울특별시 종로구 동숭동 1-48|||||Sky Theatre||스카이씨어터|/6층;6층|||100203
성균관대학교/새천년홀||||문화센터|02-760-1112|서울특별시 종로구 성균관로 31|서울시 종로구 명륜3가 53|||||SKKU New Millenium Hall||성균관대학교 새천년홀|/성균관대학교 600주년기념관 B2F 새천년홀;성균관대학교 600주년기념관 B2F 새천년홀|||100203
대학로/아트홀1관||||문화센터|070-4618-5632|서울특별시 종로구 동숭길 47|서울시 종로구 동숭동 1-149|||||Daehakro Arthall||대학로 아트홀1관|기업은행;유니굽 빌딩 지하|||100203
천공의/성||||문화센터|0505-894-0202|서울특별시 종로구 혜화로 31|서울시 종로구 명륜1가 33-72|||||Theatre SUNG in the sky||천공의 성|/지하1층;지하1층|||100203
아트원씨어터/1관||||문화센터|02-762-0010|서울특별시 종로구 대학로12길 83||||||Artone Theater 1||아트원씨어터 1관|SW빌딩;SW빌딩|||100203
미마지아트센터/눈빛극장||||문화센터|02-6404-5005|서울특별시 종로구 혜화로 17|서울특별시 종로구 명륜1가 36-13|||||Mimagi Art Center Nunbit Theater||미마지아트센터 눈빛극장||||100203
서완소극장||||문화센터|02-926-4937|서울특별시 종로구 창경궁로34길 18-12|서울시 종로구 명륜2가 21-23|||||SeowanTheater||서완소극장|한양빌딩 B1;한양빌딩 B1|||100203
소극장/공유||||문화센터|02-2038-3031|서울특별시 종로구 창경궁로 303|서울시 종로구 혜화동 37-1|||||키작은 소나무||소극장 공유 (구 키작은 소나무)||||100203
해오름/예술극장||||문화센터|02-984-7567|서울특별시 종로구 창경궁로 260||||||Haeorm Theater||해오름 예술극장|명륜프라자;명륜프라자|||100203
대학로예술극장/대극장||||문화센터|02-3668-0007|서울특별시 종로구 대학로10길 17|서울시 종로구 동숭동 1-67|||||Daehakro Arts Theater Main Hall||대학로예술극장 대극장||||100203
해피씨어터||||문화센터|02-747-2070|서울특별시 종로구 대학로10길 5|서울특별시 종로구 동숭동 1-60|||||Happy Theater||해피씨어터||||100203
드림시어터||||문화센터|070-8780-0096|서울 종로구 대학로10길 15-11|서울 종로구 동숭동 1-63|||||Dream Theater||드림시어터|지하1층|||100203
알과핵소극장||||문화센터|02-745-8833|서울특별시 종로구 동숭길 25|서울시 종로구 동숭동 1-140|||||Theater Egg & Nucleus||알과핵소극장||||100203
대학로자유극장||||문화센터|02-743-0661|서울특별시 종로구 대학로12길 31|서울시 종로구 동숭동 1-45|||||PMC Daehangno Ja-U Theater||대학로자유극장|자유빌딩|||100203
지즐소극장||||문화센터|010-2423-5683|서울 종로구 성균관로4길 42||||||Zizzle Theater||지즐소극장||||100203
미마지아트센터/물빛극장||||문화센터|02-6404-5005|서울특별시 종로구 대학로8가길 129||||||Mimagi Art Center Mulbit Theater||미마지아트센터 물빛극장||||100203
한얼소극장||||문화센터|02-766-7010|서울특별시 종로구 창경궁로35길 17|서울시 종로구 혜화동 70-1|||||Haneol Theater||한얼소극장||||100203
한양/레퍼토리/씨어터||||문화센터|02-764-6460|서울특별시 종로구 대학로 144|서울시 종로구 혜화동 185|||||Hanyang Repertory Theater||한양 레퍼토리 씨어터|중원빌딩 B1;중원빌딩 B1|||100203
학전블루||||문화센터|02-763-8233|서울특별시 종로구 대학로12길 46|서울시 종로구 동숭동 1-79|||||Hakchon Blue||학전블루||||100203
정보소극장||||문화센터|02-3673-0554|서울특별시 종로구 대학로12길 38|서울특별시 종로구 동숭동 1-81|||||Joungbo Little Theater||정보소극장|지하|||100203
한성아트홀/1관||||문화센터|02-741-0251|서울특별시 종로구 창경궁로 254|서울시 종로구 명륜2가 41-4|||||Hanseong Art Hall 1||한성아트홀 1관||||100203
예술극장/나무와/물||||문화센터|02-762-0810|서울특별시 종로구 창경궁로 263|서울시 종로구 명륜2가 8-1|||||Life theater Tree & Water||예술극장 나무와 물|B1;B1|||100203
연우소극장||||문화센터|02-744-7090|서울특별시 종로구 창경궁로35길 21|서울시 종로구 혜화동 53-9|||||Yeonwoo Theater||연우소극장|다림빌딩 지하연우 소극장;다림빌딩 지하연우 소극장|||100203
아티스탄홀||||문화센터|1661-3124|서울특별시 종로구 대학로 132|서울시 종로구 동숭동 1-35|||||Artistan Hall||아티스탄홀|형원빌딩|||100203
아트씨어터/문||||문화센터|02-745-8960|서울특별시 종로구 성균관로3길 23|서울시 종로구 명륜3가 140-4|||||Art Theter Mu:n||아트씨어터 문|태연 빌딩 지하1층;태연 빌딩 지하1층|||100203
아름다운/극장||||문화센터|02-946-0502|서울특별시 종로구 성균관로4길 48|서울특별시 종로구 명륜2가 8-9|||||Beautiful Theater||아름다운 극장||||100203
아르코예술극장/대극장||||문화센터|02-3668-0007|서울특별시 종로구 대학로8길 7|서울특별시 종로구 동숭동 1-111|||||Arko Arts Theater (Main Hall)||아르코예술극장 대극장||||100203
스튜디오/76||||문화센터||서울특별시 종로구 이화장길 99||||||Studio 76||스튜디오 76|지하1층;지하1층|||100203
피카소/소극장||||문화센터|02-3672-7971|서울특별시 종로구 대학로11길 38-11||||||Theater Picaso||피카소 소극장||||100203
예술공간/혜화||||문화센터|02-6498-0403|서울특별시 종로구 혜화로 10-3||||||Art Space Hyehwa||예술공간 혜화|성인빌딩;성인빌딩|||100203
세우아트센터/1관||||문화센터|070-7542-5089|서울특별시 종로구 대학로12길 49|서울시 종로구 동숭동 1-86|||||Sewoo Art Center||세우아트센터 1관|세우아트센터 지하1층|||100203
성균소극장||||문화센터|02-747-5035|서울특별시 종로구 성균관로 12-3|서울시 종로구 명륜2가 149|||||Sungkyun Theater||성균소극장||||100203
설치극장정미소||||문화센터|02-3672-3001|서울특별시 종로구 이화장길 66|서울시 종로구 동숭동 199-17|||||Theatre Jungmiso||설치극장정미소|객석B/D|||100203
선돌극장||||문화센터|02-747-3226|서울특별시 종로구 혜화로5길 5|서울특별시 종로구 명륜1가 46-11|||||Sundol Theatre||선돌극장||||100203
작은극장/광야||||문화센터|010-7636-8222|서울특별시 종로구 이화장길 100||||||Little Theater Gwangya||작은극장 광야|/ B1;/ B1|||100203
상명아트홀/1관||||문화센터|02-2075-2713|서울특별시 종로구 동숭길 133|서울 종로구 동숭동 1-38|||||Sang Myung Art Hall 1||상명아트홀 1관|상명대학교 예술디자인대학원;상명대학교 동숭캠퍼스 예술·디자인 센터 (우) 110-510|||100203
문화공간엘림홀||||문화센터|02-766-7462|서울특별시 종로구 이화장길 94|서울시 종로구 동숭동 195-|||||Culture Space Ellim Hall||문화공간엘림홀|6 (110-810)|||100203
마당세실극장||||문화센터|02-747-5773|서울특별시 종로구 이화장길 78|서울 종로구 동숭동 192-18|||||Madang Sesil Theater||마당세실극장|지하|||100203
키득키득아트홀||||문화센터|02-3673-1590|서울특별시 종로구 동숭길 68||||||KideukKideuk Art Hall||키득키득아트홀||||100203
라이프씨어터||||문화센터|070-8151-6416|서울특별시 종로구 창경궁로34길 26|서울시 종로구 명륜2가 24-1|||||Life Theater||라이프씨어터||||100203
두레홀||||문화센터|02-744-5978|서울특별시 종로구 대학로8가길 80|서울특별시 종로구 동숭동 1-73|||||Doore Hall 3||두레홀|지하1층;지하1층|||100203
올래홀||||문화센터|1566-5588|서울특별시 종로구 대학로10길 24||||||All Rae Hall||올래홀|스타리움빌딩 3층;스타리움빌딩 3층|||100203
댕로홀||||문화센터|070-8600-8342|서울특별시 종로구 대학로12길 50|서울시 종로구 동숭동 1-78|||||Daengno Hall||댕로홀|마로니빌딩 지하1층;마로니빌딩 지하1층|||100203
동숭아트센터/동숭홀||||문화센터|02-766-3390|서울특별시 종로구 동숭길 122|서울시 종로구 동숭동 1-5|||||Dongsoong Art Center Dongsoong Hall||동숭아트센터 동숭홀|동숭아트센터|||100203
동덕여대공연예술센터||||문화센터|02-940-4578|서울특별시 종로구 동숭길 126|서울시 종로구 동숭동 1-6|||||Dongduk Women`s University : Performing Arts Center||동덕여대공연예술센터||||100203
뮤지컬/아트센터/굿씨어터||||문화센터|1800-7382|서울특별시 종로구 대학로 144|서울 종로구 혜화동 185|||||The Good Theater||뮤지컬 아트센터 굿씨어터|중원빌딩 지하2층;중원빌딩 지하2층|||100203
JTN/아트홀/1관||||문화센터|02-779-1595|서울특별시 종로구 이화장길 26||||||JTN Art Hall 1||JTN 아트홀 1관|대학로 JTN아트홀;대학로 JTN아트홀|||100203
단막극장||||문화센터|02-765-1544|서울특별시 종로구 동숭4길 16-3|서울시 종로구 동숭동 12-6|||||Danmak Theater||단막극장|110-809|||100203
낙산씨어터||||문화센터|764-7304|서울특별시 종로구 동숭길 140|서울특별시 종로구 혜화동 201|||||Naksan Theater||낙산씨어터|110-530|||100203
나온씨어터||||문화센터|02-3675-3677|서울특별시 종로구 혜화로9길 7|서울시 종로구 명륜1가 36-4|||||Naon theater||나온씨어터||||100203
예술공간/서울||||문화센터||서울특별시 종로구 성균관로4길 19||||||Art Space Seoul||예술공간 서울|동숭비즈니스센터;동숭비즈니스센터|||100203
1m클래식/아트홀||||문화센터|02-766-7623|서울특별시 종로구 대학로12길 31|서울시 종로구 동숭동 1-45|||||1m Classic Art Hall||1m클래식 아트홀|자유빌딩 4층;자유빌딩 4층|||100203
홍대/다리/소극장||||문화센터||서울 마포구 월드컵북로2길 49||||||||홍대 다리 소극장||||100203
홍대/윤형빈소극장||||문화센터|||서울시 마포구 서교동 364-31|||||yoonhyungbin's theater; 윤형빈소극장||[홍대]윤형빈소극장|석전빌딩 지하1층|||100203
