##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@나뚜루
나뚜루|의정부녹양점|315186|573286|나뚜루|031-855-6133|경기도 의정부시 비우로 76|경기도 의정부시 녹양동 85-7|||||||나뚜루 의정부녹양점||||80625
나뚜루|용인마평점|330360|515066|나뚜루|031-339-3172|경기도 용인시 처인구 금령로 152|경기도 용인시 처인구 마평동 626-29|||||||나뚜루 용인마평점||||80625
나뚜루|양평점|355228|543256|나뚜루|||경기도 양평군 양평읍 양근리 410-25|||||||나뚜루 양평점||||80625
나뚜루|송산휴게소점|289901|515715|나뚜루|031-355-1564|경기도 화성시 송산면 평택시흥고속도로 25|경기도 화성시 송산면 고정리 349-26|||||||나뚜루 송산휴게소점|송산포도휴게소|||80625
나뚜루|용인휴게소(하)|332961|516254|나뚜루|031-321-5137|경기도 용인시 처인구 주북로94번길 30-1|경기도 용인시 처인구 고림동 12-6|||||||나뚜루 용인휴게소(하)|용인휴게소|||80625
나뚜루|대구롯데마트점|462837|363385|나뚜루|053-607-2735|대구광역시 동구 안심로 80|대구광역시 동구 율하동 1117|||||||나뚜루 대구롯데마트점|롯데쇼핑프라자;롯데마트 1층|||80625
나뚜루|천안펜타포트점|319994|466684|나뚜루||충청남도 천안시 서북구 공원로 196|충청남도 천안시 서북구 불당동 1289|||||||나뚜루 천안펜타포트점|펜타포트|||80625
나뚜루|광주월드컵롯데마트점|297838|282127|나뚜루|062-682-4642|광주광역시 서구 금화로 240|광주광역시 서구 풍암동 423-2|||||||나뚜루 광주월드컵롯데마트점|월드컵경기장|||80625
나뚜루|부산금정점|498779|292568|나뚜루|051-514-7397|부산광역시 금정구 금강로 209-1|부산광역시 금정구 장전동 682-4|||||||나뚜루 부산금정점|나무이야기|||80625
나뚜루|진주초전점|410369|290471|나뚜루|055-762-6250|경상남도 진주시 초북로20번길 30-4|경상남도 진주시 초전동 1702-8|||||||나뚜루 진주초전점|1층 108호;1층 108호|||80625
나뚜루|춘천후평점|378259|586451|나뚜루||강원도 춘천시 보안길 66|강원도 춘천시 후평동 456-8|||||||나뚜루 춘천후평점||||80625
나뚜루|동래역점|498465|290125|나뚜루|051-555-2555|부산광역시 동래구 명륜로129번길 53|부산광역시 동래구 명륜동 533-13|||||||나뚜루 동래역점||||80625
나뚜루|여수점|373039|239400|나뚜루|061-655-0060|전라남도 여수시 여서1로 51|전라남도 여수시 여서동 213|||||||나뚜루 여수점||||80625
나뚜루|동래롯데마트점|498301|290911|나뚜루|051-558-7761|부산광역시 동래구 중앙대로 1393|부산광역시 동래구 온천동 502-3|||||||나뚜루 동래롯데마트점|롯데백화점|||80625
나뚜루|보령동대점|275384|417097|나뚜루|041-932-1212|충청남도 보령시 한내로터리길 65|충청남도 보령시 동대동 489-20|||||||나뚜루 보령동대점|정인빌딩 1층 나뚜루팝 보령동대점|||80625
나뚜루|군산롯데마트점|284418|374604|나뚜루|063-461-3403|전라북도 군산시 수송로 185|전라북도 군산시 수송동 833|||||||나뚜루 군산롯데마트점|롯데마트;롯데마트 3층|||80625
나뚜루|춘천롯데마트점|375375|585191|나뚜루|033-252-3775|강원도 춘천시 방송길 84|강원도 춘천시 온의동 6-25|||||||나뚜루 춘천롯데마트점||||80625
나뚜루|제주일도점|264787|101642|나뚜루|064-724-0050|제주특별자치도 제주시 고마로 140|제주특별자치도 제주시 이도2동 408-7|||||||나뚜루 제주일도점||||80625
나뚜루|태안점|248670|462211|나뚜루|041-674-6930|충청남도 태안군 태안읍 동문2길 9|충청남도 태안군 태안읍 동문리 879-6|||||||나뚜루 태안점||||80625
나뚜루|전주롯데점|320893|359758|나뚜루|063-289-2665|전라북도 전주시 완산구 온고을로 2|전라북도 전주시 완산구 서신동 971|||||||나뚜루 전주롯데점|롯데백화점전주점 6F;롯데백화점전주점 6F|||80625
나뚜루|안성롯데마트점|328949|489915|나뚜루|031-656-9555|경기도 안성시 공도읍 서동대로 4478|경기도 안성시 공도읍 양기리 306|||||||나뚜루 안성롯데마트점|롯데마트;롯데마트 1층|||80625
나뚜루|롯데아울렛동부산점|510572|288791|나뚜루||부산광역시 기장군 기장읍 기장해안로 147|부산광역시 기장군 기장읍 당사리 64|||||||나뚜루 롯데아울렛동부산점|롯데몰동부산점 3F;롯데몰동부산점 3F|||80625
나뚜루|덕평휴게소점|346115|515693|나뚜루|031-645-0075|경기도 이천시 마장면 덕이로154번길 287-76|경기도 이천시 마장면 각평리 319|||||||나뚜루 덕평휴게소점|외 60필지 2동|||80625
나뚜루|전주송천롯데마트점|320752|361999|나뚜루|063-275-6115|전라북도 전주시 덕진구 송천중앙로 82|전라북도 전주시 덕진구 송천동1가 281-1|||||||나뚜루 전주송천롯데마트점|롯데마트 송천점;외 17필지 2층|||80625
나뚜루|울산언양|501521|330399|나뚜루|052-254-8288|울산광역시 울주군 언양읍 읍성로 45|울산광역시 울주군 언양읍 서부리 199|||||||나뚜루 울산언양||||80625
나뚜루|사상롯데마트점|488460|281430|나뚜루|051-313-5432||부산광역시 사상구 엄궁동 364-3|||||||나뚜루 사상롯데마트점|롯데마트 사상점 3층|||80625
나뚜루|전주롯데마트점|319088|357756|나뚜루|063-288-3522|전라북도 전주시 완산구 우전로 240|전라북도 전주시 완산구 효자동2가 1234-3|||||||나뚜루 전주롯데마트점|롯데마트|||80625
나뚜루|당진롯데마트점|279570|479144|나뚜루|041-354-1645|충청남도 당진시 정안로 20|충청남도 당진시 원당동 824|||||||나뚜루 당진롯데마트점|롯데마트|||80625
나뚜루|울산언양점|501521|330393|나뚜루||울산광역시 울주군 언양읍 읍성로 45|울산광역시 울주군 언양읍 서부리 199|||||||나뚜루 울산언양점||||80625
나뚜루|남해창선점|402335|256001|나뚜루||경상남도 남해군 창선면 동부대로 2801-4|경상남도 남해군 창선면 당항리 323|||||||나뚜루 남해창선점||||80625
나뚜루|울산하나로마트점|513898|329408|나뚜루|052-222-1814|울산광역시 울주군 범서읍 장검길 10|울산광역시 울주군 범서읍 굴화리 295-1|||||||나뚜루 울산하나로마트점|하나로마트 1층|||80625
나뚜루|입장휴게소(상)|328279|482707|나뚜루||충청남도 천안시 서북구 입장면 연곡길 407|충청남도 천안시 서북구 입장면 가산리 362-1|||||||나뚜루 입장휴게소(상)||||80625
나뚜루|행담도/휴게소|293880|483359|나뚜루||충청남도 당진시 신평면 서해안고속도로 275|충청남도 당진시 신평면 매산리 513|||||||나뚜루 행담도/휴게소|행담도휴게소 BF-0|||80625
나뚜루|단양대명콘도점|432503|486305|나뚜루||충청북도 단양군 단양읍 삼봉로 187-17|충청북도 단양군 단양읍 상진리 4-1|||||||나뚜루 단양대명콘도점|단양대명콘도;대명콘도 지하1층|||80625
나뚜루|평창휴게소상행점|441109|556605|나뚜루||강원도 평창군 용평면 탑거리길 63|강원도 평창군 용평면 이목정리 472-2|||||||나뚜루 평창휴게소상행점||||80625
나뚜루|천안삼거리휴게소|326453|465413|나뚜루||충청남도 천안시 동남구 쉼1길 42|충청남도 천안시 동남구 구성동 155-1|||||||나뚜루 천안삼거리휴게소||||80625
나뚜루|롯데동부산아울렛|510643|288820|나뚜루||부산광역시 기장군 기장읍 기장해안로 147|부산광역시 기장군 기장읍 당사리 524|||||||나뚜루 롯데동부산아울렛|롯데동부산몰부산점3층|||80625
나뚜루|경남의령점|423866|302069|나뚜루||경상남도 의령군 의령읍 의병로16길 24-1|경상남도 의령군 의령읍 서동리 508-6|||||||나뚜루 경남의령점||||80625
나뚜루|백령도|112059|601347|나뚜루|032-836-0030|인천광역시 옹진군 백령면 백령로 240|인천광역시 옹진군 백령면 진촌리 658-2|||||||나뚜루 백령도||||80625
나뚜루|단양대명리조트|432485|486291|나뚜루||충청북도 단양군 단양읍 삼봉로 187-17|충청북도 단양군 단양읍 상진리 4-1|||||||나뚜루 단양대명리조트|단양대명리조트 B1층|||80625
나뚜루|경주휴게소(하)|508070|347758|나뚜루|054-748-3195|경상북도 경주시 내남면 경부고속도로 59|경상북도 경주시 내남면 월산리 산43-1|||||||나뚜루 경주휴게소(하)|(1층)|||80625
나뚜루|무주리조트점|376092|365600|나뚜루||전라북도 무주군 설천면 만선로 185|전라북도 무주군 설천면 심곡리 산43-15|||||||나뚜루 무주리조트점||||80625
나뚜루|여수디오션리조트점|367618|237165|나뚜루||전라남도 여수시 소호로 295|전라남도 여수시 소호동 923|||||||나뚜루 여수디오션리조트점||||80625
나뚜루|청도새마을휴게소상행|469941|333042|나뚜루||경상북도 청도군 청도읍 하지길 59-50|경상북도 청도군 청도읍 거연리 산288-4|||||||나뚜루 청도새마을휴게소상행||||80625
나뚜루|청도새마을휴게소하행|469687|333142|나뚜루||경상북도 청도군 청도읍 하지길 59-49|경상북도 청도군 청도읍 거연리 950|||||||나뚜루 청도새마을휴게소하행||||80625
나뚜루|롯데마트송도|280059|532658|나뚜루|032-833-0036|인천광역시 연수구 컨벤시아대로 177|인천광역시 연수구 송도동 6-11|||||||나뚜루 롯데마트송도||||80625
