##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@삼성화재
삼성화재|창원지역단|||삼성화재|055-279-1603|경남 창원시 성산구 용지로 106||||||||삼성화재 창원지역단|6층 (중앙동,대우증권)|||40701
삼성화재|천안지역단|||삼성화재|041-559-3714|충남 아산시 배방읍 고속철대로 151||||||||삼성화재 천안지역단|9층 삼성화재 천안지역단 (장재리)|||40701
삼성화재|청주지역단|||삼성화재|043-275-7114|충북 청주시 흥덕구 사직대로 14||||||||삼성화재 청주지역단|7층 (복대동,금관빌딩)|||40701
삼성화재|춘천지역단|||삼성화재|033-242-8114|강원 춘천시 춘천로17번길 37||||||||삼성화재 춘천지역단|6층 (온의동,옥산가빌딩)|||40701
삼성화재|충남중앙지역단|||삼성화재|041-850-2502|충남 논산시 중앙로 395||||||||삼성화재 충남중앙지역단|2층 삼성화재 충남중앙지역단 (취암동,해송빌딩)|||40701
삼성화재|충남지역단|||삼성화재|041-669-9575|충남 서산시 읍내3로 28||||||||삼성화재 충남지역단|3층 서림빌딩 (읍내동)|||40701
삼성화재|충주지역단|||삼성화재|043-845-7114|충북 충주시 국원대로 113||||||||삼성화재 충주지역단|BYC건물 2층 (교현동)|||40701
삼성화재|충청고객지원센터|||삼성화재|042-611-8777|대전 서구 한밭대로 755||||||||삼성화재 충청고객지원센터|10층 충청고객지원센터 (둔산동)|||40701
삼성화재|평택지역단|||삼성화재|031-657-6094|경기 평택시 경기대로 261||||||||삼성화재 평택지역단|5층 BYC빌딩 평택지역단 (비전동)|||40701
삼성화재|포항지역단|||삼성화재|054-289-2402|경북 포항시 북구 중흥로 205||||||||삼성화재 포항지역단|5층 삼성생명빌딩 (죽도동,삼성빌딩)|||40701
삼성화재|한양지역단|||삼성화재|02-751-1000|서울 중구 남대문로9길 40||||||||삼성화재 한양지역단|10층 한양지역단 (다동,센터플레이스)|||40701
삼성화재|호남고객지원센터|||삼성화재|062-612-5100|광주 서구 시청로 30||||||||삼성화재 호남고객지원센터|1층 호남고객지원센터 (치평동,삼성화재 (주)상무사옥)|||40701
삼성화재|1BRANCH|||삼성화재|02-3465-8159|서울 서초구 강남대로 355||||||||삼성화재 1BRANCH|7층 SRA 1BRANCH (서초동,삼성화재서초사옥)|||40701
삼성화재|2BRANCH|||삼성화재|02-3465-8200|서울 서초구 강남대로 355||||||||삼성화재 2BRANCH|8층 SRA 2BRANCH (서초동,삼성화재서초사옥)|||40701
삼성화재|3BRANCH|||삼성화재|02-3465-8030|서울 서초구 강남대로 355||||||||삼성화재 3BRANCH|6층 SRA 3BRANCH (서초동,삼성화재서초사옥)|||40701
삼성화재|4BRANCH|||삼성화재|02-3465-8040|서울 서초구 강남대로 355||||||||삼성화재 4BRANCH|10층 SRA 4BRANCH (서초동)|||40701
삼성화재|CS전문1지점|||삼성화재|02-3465-8052|서울 서초구 강남대로 355||||||||삼성화재 CS전문1지점|3층 (서초동,삼성화재서초사옥)|||40701
삼성화재|CS전문2지점|||삼성화재|02-3465-8035|서울 서초구 강남대로 355||||||||삼성화재 CS전문2지점|3층 (서초동,삼성화재서초사옥)|||40701
삼성화재|GA1부/1지점|||삼성화재|02-369-9368|서울 중구 수표로 34||||||||삼성화재 GA1부/1지점|14층 (저동2가,시티센터빌딩)|||40701
삼성화재|GA1부/2지점|||삼성화재|02-369-9386|서울 중구 수표로 34||||||||삼성화재 GA1부/2지점|14층 (저동2가,쌍용빌딩)|||40701
삼성화재|GA1부/3지점|||삼성화재|02-369-9236|서울 중구 수표로 34||||||||삼성화재 GA1부/3지점|14층 (저동2가,시티센터빌딩)|||40701
삼성화재|GA1부/4지점|||삼성화재|02-369-9386|서울 중구 수표로 34||||||||삼성화재 GA1부/4지점|14층 (저동2가,시티센터빌딩)|||40701
삼성화재|GA1부/5지점|||삼성화재|02-369-9235|서울 중구 수표로 34||||||||삼성화재 GA1부/5지점|14층 (저동2가,시티센터빌딩)|||40701
삼성화재|GA1부/6지점|||삼성화재|02-369-9394|서울 중구 수표로 34||||||||삼성화재 GA1부/6지점|14층 (저동2가,시티센터빌딩)|||40701
삼성화재|GA1부/7지점|||삼성화재|02-369-9389|서울 중구 수표로 34||||||||삼성화재 GA1부/7지점|14층 (저동2가,시티센터빌딩)|||40701
삼성화재|GA1프론티어|||삼성화재|031-898-6713|경기 수원시 팔달구 권광로 205||||||||삼성화재 GA1프론티어|16층 GA1프론티어 (인계동,삼성화재수원사옥)|||40701
삼성화재|GA1프론티어/1지점|||삼성화재|031-898-6715|경기 수원시 팔달구 권광로 205||||||||삼성화재 GA1프론티어/1지점|16층 GA1프론티어 (인계동,삼성화재수원사옥)|||40701
삼성화재|GA1프론티어/2지점|||삼성화재|031-221-3061|경기 수원시 팔달구 권광로 205||||||||삼성화재 GA1프론티어/2지점|16층 GA1프론티어 (인계동,삼성화재수원사옥)|||40701
삼성화재|GA1프론티어/3지점|||삼성화재|031-898-6715|경기 수원시 팔달구 권광로 205||||||||삼성화재 GA1프론티어/3지점|16층 GA1프론티어 (인계동,삼성화재수원사옥)|||40701
삼성화재|GA1프론티어/4지점|||삼성화재|031-898-6734|경기 수원시 팔달구 권광로 205||||||||삼성화재 GA1프론티어/4지점|16층 GA1프론티어 (인계동,삼성화재수원사옥)|||40701
삼성화재|GA1프론티어/5지점|||삼성화재|031-898-6722|경기 수원시 팔달구 권광로 205||||||||삼성화재 GA1프론티어/5지점|16층 GA1프론티어 (인계동,삼성화재수원사옥)|||40701
삼성화재|GA1프론티어/6지점|||삼성화재|031-898-6215|경기 수원시 팔달구 권광로 205||||||||삼성화재 GA1프론티어/6지점|16층 GA1프론티어 (인계동,삼성화재수원사옥)|||40701
삼성화재|GA2부/1지점|||삼성화재|02-850-6105|서울 영등포구 양평로 76||||||||삼성화재 GA2부/1지점|영등포사옥 8층 GA영업2부 (양평동4가)|||40701
삼성화재|GA2부/2지점|||삼성화재|02-850-6106|서울 영등포구 양평로 76||||||||삼성화재 GA2부/2지점|영등포사옥 8층 GA영업2부 (양평동4가)|||40701
삼성화재|GA2부/3지점|||삼성화재|02-850-6107|서울 영등포구 양평로 76||||||||삼성화재 GA2부/3지점|영등포사옥 8층 GA영업2부 (양평동4가)|||40701
삼성화재|GA2부/4지점|||삼성화재|02-850-6108|서울 영등포구 양평로 76||||||||삼성화재 GA2부/4지점|영등포사옥 8층 GA영업2부 (양평동4가)|||40701
삼성화재|GA2부/5지점|||삼성화재|02-850-6113|서울 영등포구 양평로 76||||||||삼성화재 GA2부/5지점|영등포사옥 8층 GA영업2부 (양평동4가)|||40701
삼성화재|GA2부/6지점|||삼성화재|02-850-6110|서울 영등포구 양평로 76||||||||삼성화재 GA2부/6지점|8층 (양평동4가,삼성화재영등포사옥)|||40701
삼성화재|GA2부/7지점|||삼성화재|02-850-6115|서울 영등포구 양평로 76||||||||삼성화재 GA2부/7지점|영등포사옥 8층 GA영업2부 (양평동4가)|||40701
삼성화재|GA2프론티어|||삼성화재|02-496-7795|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어|8층 삼성화재 GA2프론티어 (망우동)|||40701
삼성화재|GA2프론티어/1지점|||삼성화재|02-496-7909|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어/1지점|2층 이안빌딩 (망우동)|||40701
삼성화재|GA2프론티어/2지점|||삼성화재|02-496-7795|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어/2지점|2층 이안빌딩 삼성화재 엘리트지점 (망우동)|||40701
삼성화재|GA2프론티어/3지점|||삼성화재|02-496-7908|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어/3지점|2층 (망우동,이안빌딩)|||40701
삼성화재|GA2프론티어/4지점|||삼성화재|02-496-7793|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어/4지점|8층 (망우동,윤상빌딩)|||40701
삼성화재|GA2프론티어/5지점|||삼성화재|02-496-7794|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어/5지점|8층 (망우동,이안빌딩)|||40701
삼성화재|GA2프론티어/6지점|||삼성화재|02-496-7697|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어/6지점|8층 (망우동,이안빌딩)|||40701
삼성화재|GA2프론티어/7지점|||삼성화재|02-496-7806|서울 중랑구 용마산로115길 108||||||||삼성화재 GA2프론티어/7지점|8층 GA2프론티어 (망우동,이안빌딩)|||40701
삼성화재|GA3부/1지점|||삼성화재|02-2018-9724|서울 서초구 강남대로 355||||||||삼성화재 GA3부/1지점|14층 삼성화재빌딩 (서초동)|||40701
삼성화재|GA3부/2지점|||삼성화재|02-2018-9693|서울 서초구 강남대로 355||||||||삼성화재 GA3부/2지점|14층 (서초동,삼성화재빌딩)|||40701
삼성화재|GA3부/3지점|||삼성화재|02-2018-9616|서울 서초구 강남대로 355||||||||삼성화재 GA3부/3지점|14층 (서초동,삼성화재빌딩)|||40701
삼성화재|GA3부/4지점|||삼성화재|02-2018-9690|서울 서초구 강남대로 355||||||||삼성화재 GA3부/4지점|14층 (서초동,삼성화재빌딩)|||40701
삼성화재|GA3부/5지점|||삼성화재|02-2018-9618|서울 서초구 강남대로 355||||||||삼성화재 GA3부/5지점|14층 (서초동,삼성화재빌딩)|||40701
삼성화재|GA3부/6지점|||삼성화재|02-2018-9686|서울 서초구 강남대로 355||||||||삼성화재 GA3부/6지점|14층 (서초동,삼성화재빌딩)|||40701
삼성화재|GA3부/7지점|||삼성화재|02-2018-9687|서울 서초구 강남대로 355||||||||삼성화재 GA3부/7지점|14층 (서초동,삼성화재빌딩)|||40701
삼성화재|GA4부/1지점|||삼성화재|02-850-6312|서울 영등포구 문래로28길 25||||||||삼성화재 GA4부/1지점|6층 (문래동3가,영시티)|||40701
삼성화재|GA4부/2지점|||삼성화재|02-850-6333|서울 영등포구 문래로28길 25||||||||삼성화재 GA4부/2지점|6층 (문래동3가,영시티N타워)|||40701
삼성화재|GA4부/3지점|||삼성화재|02-850-6311|서울 영등포구 문래로28길 25||||||||삼성화재 GA4부/3지점|6층 (문래동3가,영시티N타워)|||40701
삼성화재|GA4부/4지점|||삼성화재|02-850-6313|서울 영등포구 문래로28길 25||||||||삼성화재 GA4부/4지점|6층 (문래동3가,영시티N타워)|||40701
삼성화재|GA4부/5지점|||삼성화재|02-850-6345|서울 영등포구 문래로28길 25||||||||삼성화재 GA4부/5지점|6층 (문래동3가,영시티N타워)|||40701
삼성화재|GA4부/6지점|||삼성화재|02-850-6350|서울 영등포구 문래로28길 25||||||||삼성화재 GA4부/6지점|6층 (문래동3가,영시티N타워)|||40701
삼성화재|GA4부/7지점|||삼성화재|02-850-6331|서울 영등포구 문래로28길 25||||||||삼성화재 GA4부/7지점|6층 (문래동3가,영시티N타워)|||40701
삼성화재|GA4프론티어|||삼성화재|02-369-9250|서울 중구 수표로 34||||||||삼성화재 GA4프론티어|15층 GA 4 프론티어 (저동2가)|||40701
삼성화재|GA4프론티어/1지점|||삼성화재|02-369-9298|서울 중구 수표로 34||||||||삼성화재 GA4프론티어/1지점|씨티센터 15층 GA 4 프론티어 (저동2가)|||40701
삼성화재|GA4프론티어/2지점|||삼성화재|02-369-9324|서울 중구 수표로 34||||||||삼성화재 GA4프론티어/2지점|15층 (저동2가,쌍용빌딩)|||40701
삼성화재|GA4프론티어/3지점|||삼성화재|02-369-9332|서울 중구 수표로 34||||||||삼성화재 GA4프론티어/3지점|시티센터 15층 GA 4 프론티어 (저동2가)|||40701
삼성화재|GA4프론티어/4지점|||삼성화재|02-369-9331|서울 중구 수표로 34||||||||삼성화재 GA4프론티어/4지점|시티센터 15층 GA 4 프론티어 (저동2가)|||40701
삼성화재|GA4프론티어/5지점|||삼성화재|02-369-9294|서울 중구 수표로 34||||||||삼성화재 GA4프론티어/5지점|15층 (저동2가,쌍용빌딩)|||40701
삼성화재|GA4프론티어/7지점|||삼성화재|02-369-9296|서울 중구 수표로 34||||||||삼성화재 GA4프론티어/7지점|15층 (저동2가,쌍용빌딩)|||40701
삼성화재|GA5부/1지점|||삼성화재|02-2189-4388|서울 서초구 방배천로 91||||||||삼성화재 GA5부/1지점|17층 삼성화재 전략영업5부 (방배동,구산타워)|||40701
삼성화재|GA5부/2지점|||삼성화재|02-2189-4441|서울 서초구 방배천로 91||||||||삼성화재 GA5부/2지점|17층 (방배동,구산타워)|||40701
삼성화재|GA5부/3지점|||삼성화재|02-2189-4322|서울 서초구 방배천로 91||||||||삼성화재 GA5부/3지점|17층 (방배동,구산타워)|||40701
삼성화재|GA5부/4지점|||삼성화재|02-2189-4420|서울 서초구 방배천로 91||||||||삼성화재 GA5부/4지점|17층 GA5부 (방배동,구산타워)|||40701
삼성화재|GA5부/5지점|||삼성화재|02-2189-4422|서울 서초구 방배천로 91||||||||삼성화재 GA5부/5지점|17층 GA영업5부 5 지점 (방배동,구산타워)|||40701
삼성화재|GA5부/6지점|||삼성화재|02-2189-4412|서울 서초구 방배천로 91||||||||삼성화재 GA5부/6지점|17층 GA영업5부 6 지점 (방배동,구산타워)|||40701
삼성화재|GA5부/7지점|||삼성화재|02-2189-4433|서울 서초구 방배천로 91||||||||삼성화재 GA5부/7지점|17층 삼성화재 GA5부 7 지점 (방배동,구산타워)|||40701
삼성화재|GA6부/1지점|||삼성화재|02-369-9433|서울 중구 수표로 34||||||||삼성화재 GA6부/1지점|14층 GA영업6부 (저동2가,쌍용빌딩)|||40701
삼성화재|GA6부/2지점|||삼성화재|02-369-9434|서울 중구 수표로 34||||||||삼성화재 GA6부/2지점|14층 GA영업6부 (저동2가,쌍용빌딩)|||40701
삼성화재|GA6부/3지점|||삼성화재|02-369-9436|서울 중구 수표로 34||||||||삼성화재 GA6부/3지점|14층 GA영업6부 (저동2가,쌍용빌딩)|||40701
삼성화재|GA6부/5지점|||삼성화재|02-369-9273|서울 중구 수표로 34||||||||삼성화재 GA6부/5지점|센터시티 14층 (저동2가)|||40701
삼성화재|GA6부/6지점|||삼성화재|02-369-9443|서울 중구 수표로 34||||||||삼성화재 GA6부/6지점|시티센터 14층 (저동2가)|||40701
삼성화재|GA6부/7지점|||삼성화재|02-369-9450|서울 중구 수표로 34||||||||삼성화재 GA6부/7지점|14층 삼성화재 GA영업6부 (저동2가,시티센터타워)|||40701
삼성화재|GA8부/1지점|||삼성화재|032-500-3931|인천 부평구 부평대로 75||||||||삼성화재 GA8부/1지점|14층 GA영업8부 (부평동,한화생명빌딩)|||40701
삼성화재|GA8부/2지점|||삼성화재|032-500-3908|인천 부평구 부평대로 75||||||||삼성화재 GA8부/2지점|한화생명 부평사옥 14층 GA영업8부 (부평동)|||40701
삼성화재|GA8부/3지점|||삼성화재|032-500-3921|인천 부평구 부평대로 75||||||||삼성화재 GA8부/3지점|14층 GA 3 프론티어 지점 (부평동,한화생명빌딩)|||40701
삼성화재|GA8부/4지점|||삼성화재|032-500-3918|인천 부평구 부평대로 75||||||||삼성화재 GA8부/4지점|14층 (부평동,한화생명빌딩)|||40701
삼성화재|GA8부/5지점|||삼성화재|032-500-3966|인천 부평구 부평대로 75||||||||삼성화재 GA8부/5지점|14층 GA3프론티어 5지점 (부평동,한화생명빌딩)|||40701
삼성화재|GA8부/6지점|||삼성화재|032-500-3904|인천 부평구 부평대로 75||||||||삼성화재 GA8부/6지점|14층 ga영업8부 (부평동,한화생명빌딩)|||40701
삼성화재|GA영업1부|||삼성화재|02-369-9362|서울 중구 수표로 34||||||||삼성화재 GA영업1부|16층 (저동2가,씨티센터타워)|||40701
삼성화재|GA영업2부|||삼성화재|02-850-6103|서울 영등포구 양평로 76||||||||삼성화재 GA영업2부|영등포사옥 8층 GA영업2부 (양평동4가)|||40701
삼성화재|GA영업3부|||삼성화재|02-2018-9692|서울 강남구 테헤란로 302||||||||삼성화재 GA영업3부|9층 (역삼동,PCA Life Tower)|||40701
삼성화재|GA영업4부|||삼성화재|02-850-6317|서울 영등포구 문래로28길 25||||||||삼성화재 GA영업4부|영시티 N타워 6층 삼성화재 GA영업4부 (문래동3가)|||40701
삼성화재|GA영업5부|||삼성화재|02-2189-4303|서울 서초구 방배천로 91||||||||삼성화재 GA영업5부|17층 삼성화재 전략5부 (방배동,구산타워)|||40701
삼성화재|GA영업6부|||삼성화재|02-369-9432|서울 중구 수표로 34||||||||삼성화재 GA영업6부|14층 GA영업6부 (저동2가,쌍용빌딩)|||40701
삼성화재|GA영업8부|||삼성화재|032-500-3960|인천 부평구 부평대로 75||||||||삼성화재 GA영업8부|14층 GA영업8부 (부평동,한화생명빌딩)|||40701
삼성화재|SRA프론티어|||삼성화재|02-3465-8150|서울 서초구 강남대로 355||||||||삼성화재 SRA프론티어|6층 SRA TF (서초동,삼성화재서초사옥)|||40701
삼성화재|TM영업부/1지점|||삼성화재|02-3788-7712|서울 중구 을지로 19||||||||삼성화재 TM영업부/1지점|삼성빌딩 11층 TM영업부.1지점 (을지로1가,삼성화재)|||40701
삼성화재|TM영업부/2지점|||삼성화재|02-3788-7125|서울 중구 을지로 19||||||||삼성화재 TM영업부/2지점|10층 서울POM센터 (을지로1가,삼성빌딩)|||40701
삼성화재|TM영업부/5지점|||삼성화재|02-3788-7806|서울 중구 을지로 19||||||||삼성화재 TM영업부/5지점|삼성빌딩 11층 TM영업부.5지점 (을지로1가)|||40701
삼성화재|TM영업부/6지점|||삼성화재|02-3788-7559|서울 중구 을지로 19||||||||삼성화재 TM영업부/6지점|삼성빌딩 12층 TM영업부.6지점 (을지로1가)|||40701
삼성화재|가평지점|||삼성화재|031-581-6114|경기 가평군 가평읍 연인2길 2||||||||삼성화재 가평지점|3층 유진빌딩|||40701
삼성화재|강남CS지점|||삼성화재|02-2187-2601|서울 강남구 테헤란로 114||||||||삼성화재 강남CS지점|16층 강남CS지점 (역삼동,역삼빌딩)|||40701
삼성화재|강남교차지점|||삼성화재|02-3468-9420|서울 강남구 테헤란로 114||||||||삼성화재 강남교차지점|13층 (역삼동,역삼빌딩)|||40701
삼성화재|강남금융지점|||삼성화재|02-3468-9072|서울 강남구 테헤란로 114||||||||삼성화재 강남금융지점|15층 강남금융지점 (역삼동,역삼빌딩)|||40701
삼성화재|강남리더스지점|||삼성화재|02-3468-9530|서울 강남구 테헤란로 114||||||||삼성화재 강남리더스지점|16층 역삼빌딩 강남리더스 (역삼동)|||40701
삼성화재|강남법인지점|||삼성화재|02-3468-9320|서울 강남구 테헤란로 114||||||||삼성화재 강남법인지점|11층 강남법인지점 (역삼동,역삼빌딩)|||40701
삼성화재|강남삼성지점|||삼성화재|02-3468-9430|서울 강남구 테헤란로 114||||||||삼성화재 강남삼성지점|15층 강남삼성지점 (역삼동,서초세무서)|||40701
삼성화재|강남아너스지점|||삼성화재|02-3468-9511|서울 강남구 테헤란로 114||||||||삼성화재 강남아너스지점|19층 (역삼동,역삼빌딩)|||40701
삼성화재|강남역지점|||삼성화재|02-3468-9335|서울 강남구 테헤란로 114||||||||삼성화재 강남역지점|17층 강남역지점 (역삼동,서초세무서)|||40701
삼성화재|강남육성지점|||삼성화재|02-3468-9518|서울 강남구 테헤란로 114||||||||삼성화재 강남육성지점|17층 역삼빌딩 (역삼동)|||40701
삼성화재|강남중앙육성지점|||삼성화재|02-2187-2640|서울 강남구 테헤란로 114||||||||삼성화재 강남중앙육성지점|12층 CS육성지점 (역삼동,서초세무서)|||40701
삼성화재|강남중앙지역단|||삼성화재|02-2187-2643|서울 강남구 테헤란로 114||||||||삼성화재 강남중앙지역단|12층 CS영업추진파트 (역삼동,서초세무서)|||40701
삼성화재|강남지역단|||삼성화재|02-3468-9102|서울 강남구 테헤란로 114||||||||삼성화재 강남지역단|17층 역삼빌딩 (역삼동)|||40701
삼성화재|강동육성지점|||삼성화재|02-483-8145|서울 강동구 천호대로 1077||||||||삼성화재 강동육성지점|5층 강동육성지점 (천호동,이스트센트럴빌딩)|||40701
삼성화재|강동지역단|||삼성화재|02-477-8114|서울 강동구 천호대로 1077||||||||삼성화재 강동지역단|5층 강동지역단 (천호동,이스트센트럴타워)|||40701
삼성화재|강동지점|||삼성화재|02-488-6709|서울 강동구 천호대로 1077||||||||삼성화재 강동지점|6층 강동지점 (천호동,래미안강동팰리스)|||40701
삼성화재|강릉경포지점|||삼성화재|033-644-4020|강원 강릉시 율곡로 2853||||||||삼성화재 강릉경포지점|5층 대동빌딩 삼성화재 강릉경포지점 (옥천동)|||40701
삼성화재|강릉육성지점|||삼성화재|033-655-8651|강원 강릉시 율곡로 2853||||||||삼성화재 강릉육성지점|2층 대동빌딩 삼성화재 강릉육성지점 (옥천동)|||40701
삼성화재|강릉율곡지점|||삼성화재|033-641-1703|강원 강릉시 율곡로 2853||||||||삼성화재 강릉율곡지점|4층 율곡지점 (옥천동)|||40701
삼성화재|강릉지점|||삼성화재|033-648-2860|강원 강릉시 율곡로 2853||||||||삼성화재 강릉지점|2층 삼성화재 강릉지점 (옥천동,대동빌딩)|||40701
삼성화재|강북CS지점|||삼성화재|02-6031-8144|서울 중구 남대문로9길 40||||||||삼성화재 강북CS지점|11층 강북cs지점 (다동,센터플레이스)|||40701
삼성화재|강북HC지점|||삼성화재|02-940-6263|서울 동대문구 왕산로 168||||||||삼성화재 강북HC지점|11층 삼성화재빌딩 (용두동)|||40701
삼성화재|강북교차지점|||삼성화재|02-940-6481|서울 동대문구 왕산로 16||||||||삼성화재 강북교차지점|16층 (신설동,삼성화재청량리사옥)|||40701
삼성화재|강북법인지점|||삼성화재|02-940-6278|서울 동대문구 왕산로 168||||||||삼성화재 강북법인지점|(용두동)|||40701
삼성화재|강북육성지점|||삼성화재|02-2126-1224|서울 강북구 도봉로 314||||||||삼성화재 강북육성지점|15층 삼성화재 강북육성지점 (번동,삼성화재빌딩)|||40701
삼성화재|강북중앙육성지점|||삼성화재|-369-9467|서울 중구 수표로 34||||||||삼성화재 강북중앙육성지점|13층 강북중앙육성 (저동2가,씨티센터타워)|||40701
삼성화재|강북중앙지역단|||삼성화재|02-369-9461|서울 중구 수표로 34||||||||삼성화재 강북중앙지역단|15층 강북중앙지역단 (저동2가,씨티센터타워)|||40701
삼성화재|강북지역단|||삼성화재|02-2126-1216|서울 강북구 도봉로 314||||||||삼성화재 강북지역단|8층 삼성화재 강북지역단 (번동,삼성화재빌딩)|||40701
삼성화재|강북지점|||삼성화재|02-2126-1350|서울 강북구 도봉로 314||||||||삼성화재 강북지점|11층 강북지점 (번동,삼성화재빌딩)|||40701
