##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@한화투자증권
한화투자증권|분당지점|127.12592912776292|37.385885348968344|한화투자증권|031-707-7114|경기도 성남시분당구 황새울로 360번길 19|경기도 성남시 분당구 서현동 246-1|||||||분당지점|금화빌딩2층;금화빌딩 2층;금화빌딩2층|||40529
한화투자증권|삼산지점|129.3359328157797|35.53874938084736|한화투자증권|052-265-0505|울산광역시 남구삼산로 262|울산광역시 남구 삼산동 1474-2|||||||삼산지점|한화손해보험빌딩 2층;한화손해보험빌딩 2층;한화손해보험빌딩 2층|||40529
한화투자증권|성서지점|128.50674920396415|35.85497298011378|한화투자증권|053-588-3211|대구광역시 달서구성서로 419|대구광역시 달서구 이곡동 1198-5|||||||성서지점|국민연금대구회관1층;국민연금대구회관 1층;국민연금대구회관1층|||40529
한화투자증권|송도IFEZ지점|126.650884|37.39572555|한화투자증권|032-851-7233|인천광역시 연수구컨벤시아대로 69|인천광역시 연수구 송도동 3-1|||||||송도IFEZ지점|송도밀레니엄빌딩 2층 211호;송도밀레니엄빌딩 2층 211호;송도밀레니엄빌딩 2층 211호|||40529
한화투자증권|송파지점|127.12241715069973|37.49510268816866|한화투자증권|02-449-3677|서울특별시 송파구중대로 135|서울특별시 송파구 가락동 78|||||||송파지점|IT벤처타운 서관 1층;IT벤처타운 서관 1층;IT벤처타운 서관 1층|||40529
한화투자증권|순천지점|127.51840392270422|34.9532835096933|한화투자증권|061-724-6400|전라남도 순천시이수로 314|전라남도 순천시 연향동 1324-1|||||||순천지점|우리은행 2층;우리은행 2층;우리은행 2층|||40529
한화투자증권|신갈지점|127.10763539192282|37.27257329814793|한화투자증권|031-285-7233|경기도 용인시기흥구 신갈로 58번길 17|경기도 용인시 기흥구 신갈동 53-12|||||||신갈지점|효진프라자빌딩 2층;효진프라자빌딩 2층;효진프라자빌딩 2층|||40529
한화투자증권|신촌지점|126.93481245809372|37.556333298417925|한화투자증권|02-6944-7700|서울특별시 서대문구신촌로 73|서울특별시 서대문구 창천동 72-14|||||||신촌지점|케이스퀘어신촌 2층;케이스퀘어신촌 2층;케이스퀘어신촌 2층|||40529
한화투자증권|안성지점|127.25681874329123|37.01298194739073|한화투자증권|031-677-0233|경기도 안성시중앙로 252|경기도 안성시 석정동 145-8|||||||안성지점|YH빌딩 3층;(석정동) YH빌딩 3층;YH빌딩 3층|||40529
한화투자증권|언양지점|129.12455571040252|35.56615208431922|한화투자증권|052-262-9300|울산광역시 울주군언양읍 동문길 58|울산광역시 울주군 언양읍 동부리 208-1|||||||언양지점|송강빌딩 1층;송강빌딩 1층;송강빌딩 1층|||40529
한화투자증권|영업부|126.92280992770497|37.5240744014233|한화투자증권|02-3775-0775|서울특별시 영등포구여의대로 56|서울특별시 영등포구 여의도동 23-5|||||||영업부|한화투자증권빌딩 1층;한화투자증권빌딩 1층;한화투자증권빌딩 1층|||40529
한화투자증권|영주지점|128.62475719330897|36.82209087934853|한화투자증권|054-633-8811|경상북도 영주시구성로 332-1|경상북도 영주시 하망동 548-16|||||||영주지점|동아빌딩 3층;동아빌딩 3층;동아빌딩 3층|||40529
한화투자증권|영천지점|128.93826695236575|35.97119812022871|한화투자증권|054-331-5000|경상북도 영천시동문길 147|경상북도 영천시 문외동 38-9|||||||영천지점|영동빌딩 2층;2층 (문외동,영동빌딩);영동빌딩 2층|||40529
한화투자증권|올림픽지점|127.1322163873404|37.51582523384204|한화투자증권|02-404-4161|서울특별시 송파구양재대로 1222|서울특별시 송파구 방이동 89-11|||||||올림픽지점|올림픽선수기자촌중심상가1층;올림픽선수기자촌중심상가 1층;올림픽선수기자촌중심상가1층|||40529
한화투자증권|이촌지점|126.97777172847913|37.51822332797042|한화투자증권|02-6937-7400|서울특별시 용산구이촌로88길 8|서울특별시 용산구 이촌동 300-16|||||||이촌지점|서울스투디오빌딩2층;서울스투디오빌딩 2층;서울스투디오빌딩2층|||40529
한화투자증권|일산지점|126.76194485918512|37.67028961555485|한화투자증권|031-929-1313|경기도 고양시일산서구 중앙로 1426|경기도 고양시 일산서구 주엽동 66-1|||||||일산지점|노블레스빌딩 2층;노블레스빌딩 2층;노블레스빌딩 2층|||40529
한화투자증권|전주지점|127.13144855968694|35.83771486452867|한화투자증권|063-710-1000|전라북도 전주시덕진구 기린대로 405|전라북도 전주시 덕진구 금암동 472-3|||||||전주지점|한화생명 3층;한화생명 3층;한화생명 3층|||40529
한화투자증권|제주지점|126.52916989928283|33.501130920306814|한화투자증권|064-800-7500|제주특별자치도 제주시중앙로 207|제주도 제주시 이도1동 1736-16|||||||제주지점|1층;1층;1층|||40529
한화투자증권|중앙지점|127.00571451902088|37.564339245213624|한화투자증권|02-743-7311|서울특별시 중구퇴계로 307|서울특별시 중구 광희동1가 216|||||||중앙지점|광희빌딩 2층;광희빌딩 2층;광희빌딩 2층|||40529
한화투자증권|창원지점|128.68131010270198|35.22916058547278|한화투자증권|055-285-2211|경남 창원시의창구 용지로 159|경상남도 창원시 의창구 용호동 73-37|||||||창원지점|대구은행빌딩 6층;6층 (용호동,대구은행빌딩);대구은행빌딩 6층|||40529
한화투자증권|천안지점|127.10837406617216|36.79813216422491|한화투자증권|041-563-2001|충청남도 천안시서북구 광장로 215|충청남도 천안시 서북구 불당동 1418|||||||천안지점|충남북부상공회의소 1층;충남북부상공회의소 1층;충남북부상공회의소 1층|||40529
한화투자증권|청주지점|127.43019693887113|36.62551397635756|한화투자증권|043-224-3300|충정북도 청주시흥덕구 2순환로 1240|충청북도 청주시 흥덕구 강서동 477|||||||청주지점|MK빌딩 2층 (고속터미널 맞은편);MK빌딩 2층 (고속터미널 맞은편);MK빌딩 2층 (고속터미널 맞은편)|||40529
한화투자증권|타임월드지점|127.37835609933565|36.3521377708314|한화투자증권|042-488-7233|대전광역시 서구대덕대로 219|대전광역시 서구 둔산 2동 1034|||||||타임월드지점|업무동 3층;타임월드백화점 업무동 3층;타임월드백화점 업무동 3층|||40529
한화투자증권|평촌지점|126.95424059185599|37.39184465514218|한화투자증권|031-381-6004|경기도 안양시동안구 시민대로 210|경기도 안양시 동안구 범계동 (호계동) 1043|||||||평촌지점|한화생명빌딩 4층;한화생명빌딩 4층;한화생명빌딩 4층|||40529
한화투자증권|평택지점|127.112741829932|36.99498189410828|한화투자증권|031-652-8668|경기도 평택시경기대로 271|경기도 평택시 비전동 830-2|||||||평택지점|패밀리타운 2층;패밀리타운 2층|||40529
한화투자증권|포항지점|129.36653622449478|36.03255164478291|한화투자증권|054-231-4111|경상북도 포항시북구 중앙로 220|경상북도 포항시 북구 죽도동 15-24|||||||포항지점|영진빌딩 1층;영진빌딩 1층;영진빌딩 1층|||40529
한화투자증권|한화금융플라자/GFC|127.03662877716161|37.49981131647644|한화투자증권|02-6919-7400|서울특별시 강남구테헤란로 152|서울특별시 강남구 역삼동 737|||||||한화금융플라자 GFC|강남파이낸스센터 12층;12층 (역삼동,강남파이낸스센터);강남파이낸스센터 12층|||40529
한화투자증권|한화금융플라자63지점|126.93926033848291|37.5199855714762|한화투자증권|02-308-6363|서울특별시 영등포구63로 50|서울특별시 영등포구 여의도동 60|||||||한화금융플라자63지점|한화생명빌딩(63빌딩) 별관1층;한화생명빌딩 (63빌딩) 별관 1층;한화생명빌딩 (63빌딩) 별관1층|||40529
한화투자증권|한화금융플라자시청지점|126.97764979123117|37.56453548715472|한화투자증권|02-2021-6900|서울특별시 중구세종대로 92|서울특별시 중구 태평로2가 43|||||||한화금융플라자시청지점|한화손해보험빌딩 2층;2층 (태평로2가,한화손해보험);한화손해보험빌딩 2층|||40529
한화투자증권|홍성지점|126.66534002991169|36.60001318898509|한화투자증권|041-631-2200|충청남도 홍성군홍성읍 조양로 144번길 37|충청남도 홍성군 홍성읍 오관리 382-4|||||||홍성지점|중앙빌딩 2층;중앙빌딩 2층;중앙빌딩 2층|||40529
