##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@드롭탑
카페드롭탑|홈플러스동대전점|||드롭탑|042-626-0890||대전 동구 용전동 65-1|운영중;주차가능;무선인터넷가능||||||카페드롭탑 홈플러스동대전점|홈플러스동대전점 2층|||80719
카페드롭탑|대구/두산위브더제니스점|||드롭탑|||대구 수성구 범어동 179|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대구/두산위브더제니스점|301동 B303호|||80719
카페드롭탑|대구/메가맥스타워점|||드롭탑|053-985-1199||대구 동구 봉무동 1548|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대구/메가맥스타워점|메가맥스타워 2층|||80719
카페드롭탑|대구병원점|||드롭탑|||대구 북구 학정동 533|운영중;주차가능;무선인터넷가능||||||카페드롭탑 대구병원점||||80719
카페드롭탑|동촌유원지점|||드롭탑|||대구 동구 효목동 1010-10|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 동촌유원지점||||80719
카페드롭탑|광주/첨단2지구점|||드롭탑|062-571-7848||광주 북구 신용동 748|운영중;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 광주/첨단2지구점||||80719
카페드롭탑|선산휴게소/(상행)|||드롭탑|||경북 구미시 옥성면 대원리 1-1|운영중;주차가능||||||카페드롭탑 선산휴게소/(상행)||||80719
카페드롭탑|파주/야당점|||드롭탑|031-941-1458||경기 파주시 야당동 1060|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 파주/야당점||||80719
카페드롭탑|포항흥해점|||드롭탑|054-262-6764||경북 포항시 북구 흥해읍 성곡리 972-7|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장;리조트||||||카페드롭탑 포항흥해점||||80719
카페드롭탑|세종/아름점|||드롭탑|044-868-2211||세종특별자치시 아름동 1329|운영중;주차가능;무선인터넷가능||||||카페드롭탑 세종/아름점||||80719
카페드롭탑|하나로마트/고양점|||드롭탑|||경기 고양시 일산서구 대화동 2324|운영중;무선인터넷가능;지하철근접||||||카페드롭탑 하나로마트/고양점||||80719
카페드롭탑|롯데마트/영통점|||드롭탑|||경기 수원시 영통구 영통동 960-1|운영중;무선인터넷가능;지하철근접;극장||||||카페드롭탑 롯데마트/영통점||||80719
카페드롭탑|부산명지국제신도시점|||드롭탑|||부산 강서구 명지동 3331-14|운영중;무선인터넷가능||||||카페드롭탑 부산명지국제신도시점|1층|||80719
카페드롭탑|충북옥천점|||드롭탑|043-732-3235||충북 옥천군 옥천읍 금구리 171-15|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 충북옥천점|1층|||80719
카페드롭탑|전남대후문점|||드롭탑|062-251-0707||광주 북구 용봉동 160-22|운영중;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 전남대후문점|2,3층|||80719
카페드롭탑|부산동아대점|||드롭탑|||부산 사하구 하단동 492-40|운영중;무선인터넷가능||||||카페드롭탑 부산동아대점||||80719
카페드롭탑|고양원흥점|||드롭탑|031-966-2202||경기 고양시 덕양구 도내동 1001|운영중;주차가능;무선인터넷가능||||||카페드롭탑 고양원흥점|카페드롭탑 고양원흥점|||80719
카페드롭탑|홈플러스/대구내당점|||드롭탑|||대구 서구 내당동 65-6|운영중;주차가능;무선인터넷가능||||||카페드롭탑 홈플러스/대구내당점|1층 카페드롭탑|||80719
카페드롭탑|대구이월드점|||드롭탑|||대구 달서구 두류동 산302-11|운영중;지하철근접||||||카페드롭탑 대구이월드점||||80719
카페드롭탑|순천KTX역사점|||드롭탑|061-744-3908||전남 순천시 덕암동 188-100|운영중;무선인터넷가능;지하철 역내||||||카페드롭탑 순천KTX역사점|순천역 1F|||80719
카페드롭탑|옥계휴게소점|||드롭탑|||강원 강릉시 옥계면 주수리 88-5|운영중;주차가능;무선인터넷가능;흡연시설 보유||||||카페드롭탑 옥계휴게소점||||80719
카페드롭탑|LG사이언스파크점|||드롭탑|070-5213-7267||서울 강서구 마곡동 770-1|운영중||||||카페드롭탑 LG사이언스파크점|엘지사이언스파크|||80719
카페드롭탑|수성구청역점|||드롭탑|053-742-0446||대구 수성구 범어동 169-3|운영중;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 수성구청역점||||80719
카페드롭탑|익산역점|||드롭탑|||전북 익산시 창인동2가 1|운영중;무선인터넷가능||||||카페드롭탑 익산역점|익산역 광장 1층|||80719
카페드롭탑|부산/서면점|||드롭탑|051-819-2777||부산 부산진구 부전동 515-11|운영중;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 부산/서면점||||80719
카페드롭탑|논공휴게소/(하)|||드롭탑|||대구 달성군 논공읍 삼리리 471-23|운영중;주차가능;무선인터넷가능||||||카페드롭탑 논공휴게소/(하)||||80719
카페드롭탑|제주삼성점|||드롭탑|064-725-2600||제주 제주시 이도1동 1289-18|운영중;무선인터넷가능||||||카페드롭탑 제주삼성점||||80719
카페드롭탑|시흥하늘휴게소|||드롭탑|||경기 시흥시 조남동 산15-1|운영중;주차가능;무선인터넷가능||||||카페드롭탑 시흥하늘휴게소|(판교방향) 카페드롭탑|||80719
카페드롭탑|김천율곡스퀘어점|||드롭탑|054-431-7266||경북 김천시 남면 옥산리 100|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 김천율곡스퀘어점|율곡스퀘어Ⅲ 158호 카페드롭탑|||80719
카페드롭탑|대전만인산점/(특수)|||드롭탑|042-285-6232||대전 동구 하소동 458-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대전만인산점/(특수)||||80719
카페드롭탑|신탄진휴게소/(상)|||드롭탑|042-934-2442||대전 대덕구 상서동 235-1|운영중;주차가능||||||카페드롭탑 신탄진휴게소/(상)||||80719
카페드롭탑|대구황금점|||드롭탑|053-763-3966||대구 수성구 황금1동 518-3|운영중;주차가능;무선인터넷가능||||||카페드롭탑 대구황금점||||80719
카페드롭탑|이천휴게소/(하)|||드롭탑|||경기 이천시 마장면 목리 142|운영중;주차가능;무선인터넷가능||||||카페드롭탑 이천휴게소/(하)||||80719
카페드롭탑|대구시지신매점|||드롭탑|053-795-3330||대구 수성구 신매동 10-12|운영중;무선인터넷가능;지하철근접||||||카페드롭탑 대구시지신매점||||80719
카페드롭탑|전남강진점|||드롭탑|061-434-3775||전남 강진군 강진읍 서성리 121|운영중;무선인터넷가능||||||카페드롭탑 전남강진점||||80719
카페드롭탑|시흥배곧점|||드롭탑|031-431-9222||경기 시흥시 정왕동 2473|운영중;무선인터넷가능;놀이시설 보유;싱글오리진 판매매장||||||카페드롭탑 시흥배곧점|한울프라자|||80719
카페드롭탑|마장휴게소/(하)|||드롭탑|||경기 이천시 마장면 목리 산13-32|운영중;주차가능;무선인터넷가능||||||카페드롭탑 마장휴게소/(하)|1층 카페드롭탑|||80719
카페드롭탑|용인단국대점|||드롭탑|||경기 용인시 수지구 죽전동 1491|운영중;무선인터넷가능;대학가||||||카페드롭탑 용인단국대점|단국대학교 퇴계기념도서관 2층 카페드롭탑|||80719
카페드롭탑|대전둔산점|||드롭탑|042-488-4800||대전 서구 둔산동 999|운영중;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대전둔산점|1층 카페드롭탑|||80719
카페드롭탑|이천휴게소/(상)|||드롭탑|||경기 이천시 신둔면 용면리 산83-1|운영중;주차가능;무선인터넷가능||||||카페드롭탑 이천휴게소/(상)|이천휴게소 (하남방향)|||80719
카페드롭탑|낙동강/구미휴게소/(상)|||드롭탑|||경북 구미시 도개면 용산리 29-11|운영중;주차가능;무선인터넷가능||||||카페드롭탑 낙동강/구미휴게소/(상)||||80719
카페드롭탑|낙동강/의성휴게소/(하)|||드롭탑|||경북 의성군 단밀면 낙정리 산2-3|운영중;주차가능;무선인터넷가능||||||카페드롭탑 낙동강/의성휴게소/(하)|카페드롭탑|||80719
카페드롭탑|부산프리미엄아울렛점|||드롭탑|051-940-1191||부산 기장군 장안읍 좌천리 545|운영중;주차가능||||||카페드롭탑 부산프리미엄아울렛점||||80719
카페드롭탑|경주블루원워터파크점|||드롭탑|1899-1888||경북 경주시 천군동 산30-4|운영중||||||카페드롭탑 경주블루원워터파크점|블루원리조트 워터파크|||80719
카페드롭탑|목포옥암점|||드롭탑|061-285-0519||전남 목포시 옥암동 1238|운영중;주차가능;무선인터넷가능||||||카페드롭탑 목포옥암점||||80719
카페드롭탑|세종시청점|||드롭탑|044-866-6067||세종특별자치시 보람동엔젤타워 세종특별자치시 보람동 700-71|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 세종시청점|엔젤타워 110호|||80719
카페드롭탑|나주빛가람점|||드롭탑|061-333-1353||- 전라남도 나주시 빛가람동 194-2|운영중;주차가능;무선인터넷가능||||||카페드롭탑 나주빛가람점||||80719
카페드롭탑|일산대화점|||드롭탑|||경기 고양시 일산서구 대화동 137-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 일산대화점||||80719
카페드롭탑|전주아중점|||드롭탑|||전북 전주시 덕진구 우아동2가 915-7|운영중;무선인터넷가능;흡연시설 보유||||||카페드롭탑 전주아중점||||80719
카페드롭탑|부평역사점|||드롭탑|032-362-8855||인천 부평구 부평동 224-1|운영중;주차가능;무선인터넷가능;지하철 역내||||||카페드롭탑 부평역사점|지하부평역|||80719
카페드롭탑|인천세종병원점|||드롭탑|||인천 계양구 작전동 Mediplex 세종병원 2층 |운영중;지하철근접;싱글오리진 판매매장||||||카페드롭탑 인천세종병원점||||80719
카페드롭탑|대전카이스트점|||드롭탑|042-350-0890||대전 유성구 구성동 한국과학기술원 교육지원동 (W8동) 1층 |운영중;주차가능;싱글오리진 판매매장;대학가||||||카페드롭탑 대전카이스트점||||80719
카페드롭탑|광양LF아울렛점|||드롭탑|061-761-9511||전남 광양시 광양읍 덕례리 707|운영중;무선인터넷가능;극장||||||카페드롭탑 광양LF아울렛점|광양LF스퀘어|||80719
카페드롭탑|전남보성점|||드롭탑|061-852-5003||전남 보성군 보성읍 보성리 831-20|운영중;주차가능;무선인터넷가능||||||카페드롭탑 전남보성점||||80719
카페드롭탑|충주휴게소점/(상행)|||드롭탑|043-857-9229||충북 충주시 가금면 충주휴게소 |운영중;주차가능;무선인터넷가능;흡연시설 보유||||||카페드롭탑 충주휴게소점/(상행)||||80719
카페드롭탑|전북대점|||드롭탑|063-271-7799||전북 전주시 덕진구 금암동 1312-29|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장;대학가||||||카페드롭탑 전북대점|2층,3층|||80719
카페드롭탑|제주협재해안점|||드롭탑|064-796-0779||제주 제주시 한림읍 협재리 1398-2|운영중;주차가능;무선인터넷가능||||||카페드롭탑 제주협재해안점||||80719
카페드롭탑|경주황룡원점|||드롭탑|054-760-0501||경북 경주시 신평동 150-8|운영중;주차가능;무선인터넷가능;극장||||||카페드롭탑 경주황룡원점|1층 / 엑스포로 40 1층|||80719
카페드롭탑|부산역사점|||드롭탑|||부산 동구 초량동 부산역사 2층 카페드롭탑 |운영중;주차가능;무선인터넷가능;||||||카페드롭탑 부산역사점||||80719
카페드롭탑|LF스퀘어/인천/연수점|||드롭탑|032-717-0607||인천 연수구 청학동 455|운영중;주차가능;무선인터넷가능||||||카페드롭탑 LF스퀘어/인천/연수점|(청능대로23번길 11) LF스퀘어 3층|||80719
카페드롭탑|정남진/장흥2호점|||드롭탑|061-862-8277||전남 장흥군 장흥읍 건산리 721-27|운영중;무선인터넷가능;흡연시설 보유||||||카페드롭탑 정남진/장흥2호점|카페 드롭탑|||80719
카페드롭탑|횡성휴게소/(상행)|||드롭탑|033-342-4200||강원 횡성군 안흥면 소사리 1511|운영중;주차가능||||||카페드롭탑 횡성휴게소/(상행)||||80719
카페드롭탑|신경주역사점|||드롭탑|054-748-7664||경북 경주시 건천읍 화천리 1010|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 신경주역사점|신경주역 1층|||80719
카페드롭탑|위더스영등포점|||드롭탑|02-2088-1114||서울 영등포구 영등포동6가 7|운영중;주차가능;무선인터넷가능||||||카페드롭탑 위더스영등포점|웨딩그룹 위더스영등포 1층|||80719
카페드롭탑|신동탄/수변공원점|||드롭탑|031-378-4880||경기 화성시 동탄면 영천리 651-1606|운영중;주차가능;무선인터넷가능||||||카페드롭탑 신동탄/수변공원점|1층 카페 드롭탑|||80719
카페드롭탑|문경휴게소점(하행)|||드롭탑|054-554-1655||경북 문경시 유곡동 460|운영중;주차가능||||||카페드롭탑 문경휴게소점(하행)||||80719
카페드롭탑|문막휴게소점|||드롭탑|033-731-8481||강원 원주시 문막읍 동화리 114|운영중;주차가능||||||카페드롭탑 문막휴게소점||||80719
카페드롭탑|인천예술회관점|||드롭탑|070-4459-4610||인천 남동구 구월동 1126-4|운영중;주차가능;무선인터넷가능;24시간 오픈;싱글오리진 판매매장||||||카페드롭탑 인천예술회관점|1층 카페드롭탑 (대찬병원 1층)|||80719
카페드롭탑|제주용담해안도로점|||드롭탑|064-711-7667||제주 제주시 용담3동 1145-2|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 제주용담해안도로점||||80719
카페드롭탑|광주학동점|||드롭탑|062-233-2266||광주 동구 학동 664-5|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 광주학동점||||80719
카페드롭탑|벌곡휴게소점|||드롭탑|041-732-7694||충남 논산시 벌곡면 양산리 벌곡휴게소 상행점 |운영중;주차가능||||||카페드롭탑 벌곡휴게소점||||80719
카페드롭탑|강원양구점|||드롭탑|033-482-5677||강원 양구군 양구읍 상리 272-3|운영중;무선인터넷가능||||||카페드롭탑 강원양구점||||80719
카페드롭탑|광주수완아동병원점|||드롭탑|062-961-7100||광주 광산구 신가동 1159|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 광주수완아동병원점|1층 카페드롭탑|||80719
카페드롭탑|용인휴게소/하행점|||드롭탑|||경기 용인시 처인구 고림동 11|운영중;주차가능||||||카페드롭탑 용인휴게소/하행점||||80719
카페드롭탑|용인휴게소/상행점|||드롭탑|||경기 용인시 처인구 고림동 89|운영중;주차가능||||||카페드롭탑 용인휴게소/상행점||||80719
카페드롭탑|인천부개점|||드롭탑|032-504-1110||인천 부평구 부개동 70-1|운영중;주차가능;무선인터넷가능;24시간 오픈;싱글오리진 판매매장||||||카페드롭탑 인천부개점|1층|||80719
카페드롭탑|대전덕명점|||드롭탑|042-826-0657||대전 유성구 덕명동 508-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대전덕명점||||80719
카페드롭탑|고창웰파크병원점|||드롭탑|063-562-3718||전북 고창군 고창읍 석정리 712-1|운영중;무선인터넷가능||||||카페드롭탑 고창웰파크병원점||||80719
카페드롭탑|김천모다아울렛점|||드롭탑|054-910-5299||경북 김천시 아포읍 송천리 산31-1|운영중;주차가능;무선인터넷가능||||||카페드롭탑 김천모다아울렛점|3층 카페드롭탑|||80719
카페드롭탑|광주송정점|||드롭탑|062-942-7860||광주 광산구 송정동 891-13|운영중;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 광주송정점||||80719
카페드롭탑|경희의료원/치과병원점|||드롭탑|02-959-5550||서울 동대문구 회기동 36-8|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 경희의료원/치과병원점|경희의료원 치과병원 로비|||80719
카페드롭탑|부산국제여객터미널점|||드롭탑|051-442-2282||부산 동구 초량동 45-39|운영중;무선인터넷가능||||||카페드롭탑 부산국제여객터미널점|부산항 국제여객터미널 2층|||80719
카페드롭탑|용인수지구청점|||드롭탑|031-263-5588||경기 용인시 수지구 풍덕천2동 1082-6|운영중;주차가능;무선인터넷가능||||||카페드롭탑 용인수지구청점|1층|||80719
카페드롭탑|파주운정가람점|||드롭탑|031-947-8879||경기 파주시 와동동 1598|운영중;무선인터넷가능||||||카페드롭탑 파주운정가람점|1층|||80719
카페드롭탑|동해휴게소/하행점|||드롭탑|||강원 동해시 망상동 산5-1|운영중;주차가능;무선인터넷가능||||||카페드롭탑 동해휴게소/하행점||||80719
카페드롭탑|여산휴게소/하행점|||드롭탑|||전북 익산시 여산면 호산리 산32|운영중;주차가능;무선인터넷가능||||||카페드롭탑 여산휴게소/하행점||||80719
카페드롭탑|부산정관점|||드롭탑|051-721-0055||부산 기장군 정관면 매학리 714-10|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 부산정관점||||80719
카페드롭탑|동부산관광단지점|||드롭탑|051- 723-1070||부산 기장군 기장읍 시랑리 475-2|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 동부산관광단지점||||80719
카페드롭탑|세정아울렛점|||드롭탑|070-4006-7750||광주 서구 치평동 1310-24|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 세정아울렛점||||80719
카페드롭탑|나주혁신그린로점|||드롭탑|061-333-3656||전남 나주시 산포면 빛가람동 288-2|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 나주혁신그린로점||||80719
카페드롭탑|아산탕정지중해점|||드롭탑|041-547-2030||충남 아산시 탕정면 명암리 911-1|운영중;주차가능;무선인터넷가능||||||카페드롭탑 아산탕정지중해점||||80719
카페드롭탑|일산백마점|||드롭탑|031-906-9078||경기 고양시 일산동구 마두동 738-1|운영중;주차가능;무선인터넷가능||||||카페드롭탑 일산백마점||||80719
카페드롭탑|속초엑스포점|||드롭탑|033-633-9969||강원 속초시 조양동 1547-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 속초엑스포점||||80719
카페드롭탑|대전월평점|||드롭탑|042-527-5270||대전 서구 월평동 29-1|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대전월평점||||80719
카페드롭탑|광주한국병원점|||드롭탑|062-380-3188||광주 서구 쌍촌동 221-1|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 광주한국병원점||||80719
카페드롭탑|삼척해변점|||드롭탑|033-574-8889||강원 삼척시 갈천동 14|운영중;주차가능;무선인터넷가능||||||카페드롭탑 삼척해변점||||80719
카페드롭탑|부산/BIFC점|||드롭탑|051-633-5700||부산 남구 문현동 1229-2|운영중;무선인터넷가능||||||카페드롭탑 부산/BIFC점|BIFC mall 119호|||80719
카페드롭탑|호남대점|||드롭탑|-||광주 광산구 서봉동 59-1|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장;대학가||||||카페드롭탑 호남대점|복지관 1층|||80719
카페드롭탑|여수CGV웅천점|||드롭탑|061-686-7850||전남 여수시 웅천동 1720-3|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장;극장||||||카페드롭탑 여수CGV웅천점||||80719
카페드롭탑|김천혁신도시점|||드롭탑|054-434-0402||경북 김천시 율곡동 402|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 김천혁신도시점||||80719
카페드롭탑|순천신대지구점|||드롭탑|061-723-2205||전남 순천시 해룡면 신대리 1998|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 순천신대지구점||||80719
카페드롭탑|목포용해점|||드롭탑|061-273-7426||전남 목포시 연산동 1930-6|운영중;주차가능;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 목포용해점||||80719
카페드롭탑|안성휴게소/하행점|||드롭탑|031-655-0531||경기 안성시 원곡면 반제리 산142-4|운영중;주차가능||||||카페드롭탑 안성휴게소/하행점||||80719
카페드롭탑|백양사휴게소점/(상행)|||드롭탑|061-394-5177||전남 장성군 북일면 박산리 158|운영중;주차가능;무선인터넷가능||||||카페드롭탑 백양사휴게소점/(상행)||||80719
카페드롭탑|광주롯데시네마/충장점|||드롭탑|062-223-9200||광주 동구 황금동 12-2|운영중;주차가능;무선인터넷가능;흡연시설 보유;지하철근접;싱글오리진 판매매장;극장||||||카페드롭탑 광주롯데시네마/충장점||||80719
카페드롭탑|광주치평점|||드롭탑|062-371-4748||광주 서구 치평동 1258-5|운영중;무선인터넷가능;지하철근접||||||카페드롭탑 광주치평점||||80719
카페드롭탑|광주경신여고사거리점|||드롭탑|062-511-1023||광주 북구 운암동 400-1|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 광주경신여고사거리점||||80719
카페드롭탑|목포평화광장점|||드롭탑|061-282-5670||전남 목포시 상동 1159-8|운영중;주차가능;무선인터넷가능;24시간 오픈;싱글오리진 판매매장||||||카페드롭탑 목포평화광장점||||80719
카페드롭탑|전남해남점|||드롭탑|061-536-2906||전남 해남군 해남읍 해리 407-4|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 전남해남점||||80719
카페드롭탑|안산선부SK점|||드롭탑|031-402-5230||경기 안산시 단원구 선부동 1076-16|운영중;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 안산선부SK점|1층,2층|||80719
카페드롭탑|방이사거리점|||드롭탑|02-412-2526||서울 송파구 방이동 108-12|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 방이사거리점||||80719
카페드롭탑|전주공항터미널점|||드롭탑|063-255-0063||전북 전주시 덕진구 금암동 459-6|운영중;무선인터넷가능||||||카페드롭탑 전주공항터미널점|1,2층|||80719
카페드롭탑|신림역점|||드롭탑|02-888-7688||서울 관악구 신림동 1422-5|운영중;24시간 오픈;지하철근접;싱글오리진 판매매장||||||카페드롭탑 신림역점|르네상스 쇼핑몰 1층|||80719
카페드롭탑|시화조력발전소점|||드롭탑|||경기 안산시 단원구 대부동동 2098|운영중;주차가능;무선인터넷가능;흡연시설 보유||||||카페드롭탑 시화조력발전소점|3층|||80719
카페드롭탑|거제중곡점|||드롭탑|055-636-8232||경남 거제시 고현동 1008-1|운영중;무선인터넷가능;흡연시설 보유||||||카페드롭탑 거제중곡점||||80719
카페드롭탑|전남함평점|||드롭탑|061-323-6234||전남 함평군 함평읍 내교리 199-4|운영중;주차가능;무선인터넷가능||||||카페드롭탑 전남함평점||||80719
카페드롭탑|여수죽림점|||드롭탑|061-684-2266||전남 여수시 소라면 죽림리 1186-6|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 여수죽림점||||80719
카페드롭탑|대천휴게소/하행점|||드롭탑|041-931-6901||충남 보령시 주교면 주교리 933-5|운영중;주차가능;무선인터넷가능||||||카페드롭탑 대천휴게소/하행점|대천휴게소 목포방향|||80719
카페드롭탑|대천휴게소/상행점|||드롭탑|041-931-6801||충남 보령시 주교면 주교리 904|운영중;주차가능;무선인터넷가능||||||카페드롭탑 대천휴게소/상행점|대천휴게소 서울방향|||80719
카페드롭탑|거제수월점|||드롭탑|055-636-0338||경남 거제시 수월동 1092-4|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 거제수월점||||80719
카페드롭탑|전주평화점|||드롭탑|063-222-0657||전북 전주시 완산구 평화동1가 725-5|운영중;무선인터넷가능;24시간 오픈;싱글오리진 판매매장||||||카페드롭탑 전주평화점||||80719
카페드롭탑|광주진월점|||드롭탑|062-672-4555||광주 남구 진월동 319-23|운영중;비즈니스룸 보유;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 광주진월점||||80719
카페드롭탑|부산/송도해수욕장점|||드롭탑|051-253-2125||부산 서구 암남동 59-5|운영중;주차가능;무선인터넷가능;흡연시설 보유||||||카페드롭탑 부산/송도해수욕장점||||80719
카페드롭탑|세종도담점|||드롭탑|044-868-8693||세종특별자치시 도담동 산56|운영중;주차가능;무선인터넷가능||||||카페드롭탑 세종도담점||||80719
카페드롭탑|광주효천2지구점|||드롭탑|062-671-5665||광주 남구 행암동 575|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 광주효천2지구점||||80719
카페드롭탑|광양중마점|||드롭탑|061-794-8800||전남 광양시 중동 1316-5|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 광양중마점||||80719
카페드롭탑|인천주안점|||드롭탑|032-862-8884||인천 남구 주안동 210-1|운영중;싱글오리진 판매매장||||||카페드롭탑 인천주안점||||80719
카페드롭탑|남양주별내점|||드롭탑|031-573-0999||경기 남양주시 별내동 1008-2|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 남양주별내점||||80719
카페드롭탑|천안신부점|||드롭탑|041-555-0814||충남 천안시 동남구 신부동 451-1|운영중;주차가능;무선인터넷가능;흡연시설 보유||||||카페드롭탑 천안신부점|캐럿21상가 1층|||80719
카페드롭탑|대전가수원점|||드롭탑|070-8814-4465||대전 서구 가수원동 1023|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대전가수원점||||80719
카페드롭탑|광주용봉점|||드롭탑|062-524-4544||광주 북구 용봉동 739-9|운영중;주차가능;무선인터넷가능;흡연시설 보유;싱글오리진 판매매장||||||카페드롭탑 광주용봉점||||80719
카페드롭탑|화성능동점|||드롭탑|031-613-9665||경기 화성시 능동 1088|운영중;주차가능;무선인터넷가능;흡연시설 보유||||||카페드롭탑 화성능동점||||80719
