##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@일반장례식장
보람인천장례식장||126.6601128|37.5517305|일반장례식장|032-568-4000|인천광역시 서구 경명대로 468||직영||||||보람인천장례식장|(경서동)|||91904
수원시연화장장례식장||127.0837369|37.2904424|일반장례식장|031-218-6565|경기도 수원시 영통구 광교호수로 278||직영||||||수원시연화장장례식장|(하동)|||91904
코스모스제일장례식장||126.8754287|37.3032457|일반장례식장|031-406-2000|경기도 안산시 상록구 수인로 1222||직영||||||코스모스제일장례식장|(일동)|||91904
군자장례식장||126.7927213|37.3341841|일반장례식장|031-495-4000|경기도 안산시 단원구 원곡공원로 11-9||직영||||||군자장례식장|(원곡동)|||91904
포천장례문화원||127.1624972|37.8471553|일반장례식장|031-541-4144|경기도 포천시 호국로 908-13||직영||||||포천장례문화원|(설운동)|||91904
인천삼성장례문화원||126.6311891|37.4723293|일반장례식장|032-777-4445|인천광역시 중구 우현로62번길 34-1||직영||||||인천삼성장례문화원|(경동)|||91904
안산장례식장||126.845286|37.280499|일반장례식장|031-419-4400|경기도 안산시 상록구 선진안길 33||직영||||||안산장례식장|(사동)|||91904
곤지암농협장례문화원||127.3212317|37.3593235|일반장례식장|031-798-9750|경기도 광주시 곤지암읍 경충대로 784-64||직영||||||곤지암농협장례문화원|(삼리)|||91904
곤지암장례식장||127.3212936|37.3568694|일반장례식장|031-766-5544|경기도 광주시 곤지암읍 경충대로 811-22||직영||||||곤지암장례식장|(삼리)|||91904
신갈기흥장례식장||127.1030512|37.2527636|일반장례식장|031-275-4444|경기도 용인시 기흥구 하갈로 17||직영||||||신갈기흥장례식장|(하갈동)|||91904
곤지암연세장례식장||127.3279778|37.3584602|일반장례식장|031-763-4441|경기도 광주시 곤지암읍 곤지암천로 135||임대||||||곤지암연세장례식장|(신대리)|||91904
이담/장례식장||127.0358164|37.908225|일반장례식장|031-866-7300|경기도 동두천시 삼육사로 747||임대||||||이담 장례식장|(상패동)|||91904
동두천중앙성모장례식장||127.053944|37.9088551|일반장례식장|031-862-4949|경기도 동두천시 동광로 53||직영||||||동두천중앙성모장례식장|(생연동)|||91904
마송장례식장||126.608102|37.6857169|일반장례식장|031-988-2277|경기도 김포시 통진읍 김포대로 2110-44||직영||||||마송장례식장|(도사리)|||91904
가평연새장례식장||127.4458997|37.7660796|일반장례식장|031-585-6700|경기도 가평군 청평면 경춘로 1219||임대||||||가평연새장례식장|(상천리)|||91904
양평장례식장||127.5038847|37.4972615|일반장례식장|031-772-1024|경기도 양평군 양평읍 중앙로111번길 52||직영||||||양평장례식장|(공흥리)|||91904
용인장례식장||127.2645034|37.2240104|일반장례식장|031-334-4444|경기도 용인시 처인구 양지면 중부대로 1978-20||임대||||||용인장례식장|(남곡리)|||91904
봉담장례문화원||126.9261061|37.174389|일반장례식장|031-278-0404|경기도 화성시 봉담읍 서봉산길 40||직영||||||봉담장례문화원|(유리)|||91904
오산장례식장||127.0856601|37.1593778|일반장례식장|031-375-1100|경기도 오산시 경기동로 125||직영||||||오산장례식장|(부산동)|||91904
가평군농협효문화센터||127.481391|37.7978781|일반장례식장|031-581-4442|경기도 가평군 가평읍 경춘로 1775||직영||||||가평군농협효문화센터|(상색리)|||91904
하늘가장례식장||126.9420045|37.1327958|일반장례식장|031-366-4444|경기도 화성시 향남읍 발안로 322||직영||||||하늘가장례식장|(관리)|||91904
효자원장례식장||127.4775047|37.3210663|일반장례식장|031-631-4411|경기도 이천시 백사면 지읍로 169||직영||||||효자원장례식장|(조읍리)|||91904
연천군장례식장||127.0612435|38.0233652|일반장례식장|031-832-4474|경기도 연천군 전곡읍 은대성로 95||직영||||||연천군장례식장|(은대리,연천군보건의료원)|||91904
용인/평온의/숲장례식장||127.228641|37.1180863|일반장례식장|031-329-5959|경기도 용인시 처인구 이동면 평온의숲로 77||임대||||||용인 평온의 숲장례식장|(어비리,용인평온의숲)|||91904
용문장례식장||127.6251868|37.510968|일반장례식장|031-773-4321|경기도 양평군 용문면 경강로 3303||직영||||||용문장례식장|(광탄리)|||91904
영북농협장례식장||127.2726901|38.0722216|일반장례식장|031-532-0832|경기도 포천시 영북면 호국로 3761||직영||||||영북농협장례식장|(문암리)|||91904
여주장례식장||127.6090216|37.2963789|일반장례식장|031-885-1919|경기도 여주시 능서면 중부대로 2710-48||직영||||||여주장례식장|(왕대리)|||91904
농협연합장례식장||127.0127237|37.01786|일반장례식장|031-684-6444|경기도 평택시 오성면 서동대로 2427-28||직영||||||농협연합장례식장|(안화리)|||91904
안중장례문화센타||126.9582448|37.0030539|일반장례식장|031-683-4440|경기도 평택시 안중읍 서동대로 1931-11||임대||||||안중장례문화센타|(금곡리,안중백병원)|||91904
평택장례문화원||127.0932031|36.9818227|일반장례식장|031-652-0404|경기도 평택시 신평로 205||직영||||||평택장례문화원|3층 (군문동)|||91904
동인병원장례식장||127.266572|37.004946|일반장례식장|031-671-4494|경기도 안성시 인지1길 15||임대||||||동인병원장례식장|(인지동)|||91904
안성장례예식장||127.2567196|36.9962455|일반장례식장|031-674-6112|경기도 안성시 능길 35-1||직영||||||안성장례예식장|(도기동)|||91904
동일죽장례식장||127.5136954|37.1015766|일반장례식장|031-674-4446|경기도 안성시 일죽면 서동대로 7866||직영||||||동일죽장례식장|(당촌리,동일죽휴게소)|||91904
관인농협장례식장||127.2559466|38.1584126|일반장례식장|031-533-9086|경기도 포천시 관인면 창동로 1875||직영||||||관인농협장례식장|(탄동리)|||91904
별그리다||127.7883676|37.420192|일반장례식장|031-333-1111|경기도 양평군 양동면 양동금곡1길 331||임대||||||별그리다|(삼산리,양평공원묘원)|||91904
송산장례식장||127.5888625|37.1139541|일반장례식장|031-641-4440|경기도 이천시 장호원읍 서동대로 8579||직영||||||송산장례식장|(송산리)|||91904
성월장례문화원||127.1346825|36.925712|일반장례식장|041-588-4444|충청남도 천안시 서북구 성환읍 천안대로 2096||직영||||||성월장례문화원|(성월리)|||91904
강원효장례문화원||127.7757357|37.8581281|일반장례식장|033-261-4441|강원도 춘천시 동내면 순환대로 877||직영||||||강원효장례문화원|(거두리)|||91904
홍천군장례식장||127.8531747|37.6786357|일반장례식장|033-436-1919|강원도 홍천군 홍천읍 느리울길 70||임대||||||홍천군장례식장|(하오안리)|||91904
감곡장례식장||127.6468537|37.0998295|일반장례식장|043-882-4444|충청북도 음성군 감곡면 음성로 2512||직영||||||감곡장례식장|(오향리)|||91904
천안장례식장||127.1929297|36.8968221|일반장례식장|041-585-4000|충청남도 천안시 서북구 성거읍 모전1길 213||직영||||||천안장례식장|(모전리)|||91904
당진중앙장례식장||126.7200683|36.896927|일반장례식장|041-358-3000|충청남도 당진시 송악읍 조비실길 47||직영||||||당진중앙장례식장|(광명리)|||91904
대소장례식장||127.5007112|36.9684711|일반장례식장|043-883-4440|충청북도 음성군 대소면 대금로 567-7||임대||||||대소장례식장|(태생리)|||91904
화천군공설장례식장||127.6792806|38.0703023|일반장례식장|033-442-0452|강원도 화천군 하남면 영서로 5697-66||직영||||||화천군공설장례식장|(원천리,화천공원묘원)|||91904
하늘원장례예식장||127.8929789|37.3354754|일반장례식장|033-763-4444|강원도 원주시 흥업면 사제로 539||직영||||||하늘원장례예식장|(사제리)|||91904
농협연합장례식장||127.5751288|36.982096|일반장례식장|043-883-4444|충청북도 음성군 금왕읍 대금로1278번길 32||직영||||||농협연합장례식장|(오선리)|||91904
당진장례식장||126.6194492|36.8834418|일반장례식장|041-354-4444|충청남도 당진시 남부로 28||직영||||||당진장례식장|(채운동)|||91904
천안하늘공원장례식장||127.1636222|36.8219831|일반장례식장|041-553-8000|충청남도 천안시 동남구 만남로 114||직영||||||천안하늘공원장례식장|(신부동)|||91904
횡성장례문화센터||127.9723898|37.5042011|일반장례식장|033-344-4449|강원도 횡성군 횡성읍 학오로 56||임대||||||횡성장례문화센터|(학곡리)|||91904
진천장례식장||127.4130367|36.8753363|일반장례식장|043-532-4405|충청북도 진천군 진천읍 백곡로 1451-30||임대||||||진천장례식장|(장관리)|||91904
진천제일장례식장||127.4422834|36.8811185|일반장례식장|043-537-4441|충청북도 진천군 진천읍 진광로 190||임대||||||진천제일장례식장|(송두리)|||91904
온양장례식장||126.9976332|36.7955838|일반장례식장|041-547-4444|충청남도 아산시 곡교천로 171||직영||||||온양장례식장|(온천동)|||91904
백악관장례식장||127.4404327|36.8629485|일반장례식장|043-532-8300|충청북도 진천군 진천읍 문화로 265||직영||||||백악관장례식장|(장관리,백안관장례예식장)|||91904
신정장례문화원||126.9867342|36.7811964|일반장례식장|041-549-4441|충청남도 아산시 신정로 713||직영||||||신정장례문화원|(방축동)|||91904
천안시민장례식장||127.1413738|36.7829998|일반장례식장|041-574-4444|충청남도 천안시 동남구 용수골길 30||임대||||||천안시민장례식장|(용곡동)|||91904
천안삼거리국화원장례식장||127.1816035|36.7735508|일반장례식장|041-562-4444|충청남도 천안시 동남구 충절로 575||임대||||||천안삼거리국화원장례식장|(삼룡동,천안삼거리장례식장)|||91904
천안효병원장례식장||127.1651079|36.7674199|일반장례식장|041-523-4444|충청남도 천안시 동남구 천안대로 215||임대||||||천안효병원장례식장|(삼룡동)|||91904
제일장례식장||126.988607|36.754744|일반장례식장|041-545-4444|충청남도 아산시 시민로 40||직영||||||제일장례식장|(신인동,장례문화원)|||91904
음성농협장례식장||127.690156|36.9162884|일반장례식장|043-872-4119|충청북도 음성군 원남면 반기문로 3-26||직영||||||음성농협장례식장|(하노리)|||91904
고덕장례문화원||126.7005909|36.7489885|일반장례식장|041-337-4440|충청남도 예산군 고덕면 예덕로 592||임대||||||고덕장례문화원|(대천리)|||91904
증평대한장례식장||127.5857158|36.8060151|일반장례식장|043-836-7002|충청북도 증평군 증평읍 인삼로 323||임대||||||증평대한장례식장|(미암리)|||91904
증평미래장례식장||127.5844102|36.7966851|일반장례식장|043-838-0003|충청북도 증평군 증평읍 중부로 2465||직영||||||증평미래장례식장|(송산리)|||91904
예산장례식장||126.7996979|36.6893986|일반장례식장|041-334-4441|충청남도 예산군 오가면 오가중앙로 81-17||임대||||||예산장례식장|(역탑리)|||91904
증평장례문화원||127.6057448|36.7953222|일반장례식장|043-838-9936|충청북도 증평군 증평읍 하평로 55-27||직영||||||증평장례문화원|(미암리)|||91904
탄금장례식장||127.8929047|36.9889106|일반장례식장|043-842-4444|충청북도 충주시 탄금대로 336||직영||||||탄금장례식장|(칠금동)|||91904
천안추모공원장례식장||127.118099|36.6639299|일반장례식장|041-563-4444|충청남도 천안시 동남구 광덕면 밤나무골길 38||임대||||||천안추모공원장례식장|(원덕리,천안추모공원)|||91904
충주영광장례식장||127.9320261|37.0019729|일반장례식장|043-845-4444|충청북도 충주시 두루봉길 8||직영||||||충주영광장례식장|(목행동)|||91904
새로운장례식장||127.925865|36.973499|일반장례식장|043-853-9300|충청북도 충주시 중심3길 5||임대||||||새로운장례식장|(문화동,새로운병원장례식장)|||91904
서석장례식장||128.1888105|37.7156398|일반장례식장|033-430-4558|강원도 홍천군 서석면 풍암길2길 30||직영||||||서석장례식장|(풍암리)|||91904
충주기독장례식장||127.9347266|36.9683118|일반장례식장|043-844-4460|충청북도 충주시 성남2길 7||직영||||||충주기독장례식장|(성남동)|||91904
양구군장례식장||127.998774|38.1230992|일반장례식장|033-480-2576|강원도 양구군 양구읍 금강산로 518-25||직영||||||양구군장례식장|(하리)|||91904
청주성모병원/장례식장||127.4861933|36.6740208|일반장례식장|043-210-5444|충청북도 청주시 청원구 주성로 173-19||직영||||||청주성모병원 장례식장|(주중동)|||91904
괴산장례식장||127.7739228|36.8002522|일반장례식장|043-832-4444|충청북도 괴산군 괴산읍 읍내로 35-4||직영||||||괴산장례식장|(대사리)|||91904
중앙장례식장||127.2883701|36.6137549|일반장례식장|044-865-4441|세종특별자치시 조치원읍 섭골길 37||임대||||||중앙장례식장|(서창리,중앙요양병원)|||91904
효성병원/장례식장||127.5052203|36.668431|일반장례식장|043-241-4444|충청북도 청주시 청원구 2순환로94번길 21||직영||||||효성병원 장례식장|(율량동)|||91904
괴산동부장례식장||127.8087509|36.8077544|일반장례식장|043-834-4040|충청북도 괴산군 괴산읍 괴강로 144||직영||||||괴산동부장례식장|(동부리)|||91904
홍성장례식장||126.7281096|36.6028209|일반장례식장|041-631-4414|충청남도 홍성군 금마면 금마로 254||직영||||||홍성장례식장|(덕정리)|||91904
도리안장례식장||128.1624763|38.0014218|일반장례식장|033-461-0404|강원도 인제군 남면 자작나무숲길 444-62||임대||||||도리안장례식장|(남전리,하늘내린도리안공원)|||91904
하나장례식장||127.4890319|36.6424341|일반장례식장|043-270-8400|충청북도 청주시 서원구 대림로 431||직영||||||하나장례식장|(죽림동)|||91904
청주시장례식장||127.5455784|36.6432923|일반장례식장|043-291-4444|충청북도 청주시 상당구 목련로 731||임대||||||청주시장례식장|(월오동)|||91904
조치원장례식장||127.291751|36.5732245|일반장례식장|044-866-4800|세종특별자치시 연서면 당산로 494-8||직영||||||조치원장례식장|(월하리)|||91904
세종연기장례식장||127.2828941|36.5710493|일반장례식장|044-866-4444|세종특별자치시 연서면 함박로 300||직영||||||세종연기장례식장|(국촌리)|||91904
제천제일장례식장||128.196616|37.1294907|일반장례식장|043-645-4114|충청북도 제천시 내토로10길 21||직영||||||제천제일장례식장|(천남동)|||91904
보궁장례식장||128.233608|37.1737217|일반장례식장|043-653-4444|충청북도 제천시 송학주천로 97-1||직영||||||보궁장례식장|(고암동)|||91904
장곡농협홍주장례식장||126.6521584|36.5627022|일반장례식장|041-634-4444|충청남도 홍성군 구항면 충서로966번길 32||직영||||||장곡농협홍주장례식장|(청광리)|||91904
제천세종장례식장||128.236403|37.169409|일반장례식장|043-642-4441|충청북도 제천시 송학주천로 46||직영||||||제천세종장례식장|(고암동)|||91904
은하수공원장례식장||127.24544|36.53304|일반장례식장|044-850-1350|세종특별자치시 연기면 정안세종로 1527||직영||||||은하수공원장례식장|(산울리)|||91904
신풍장례문화원||126.9730809|36.5084576|일반장례식장|041-841-4442|충청남도 공주시 신풍면 차동로 1817-34||직영||||||신풍장례문화원|(백룡리)|||91904
쉴낙원/금강장례식장||127.096507|36.4790677|일반장례식장|041-853-4446|충청남도 공주시 우성면 약천길 19||직영||||||쉴낙원 금강장례식장|(도천리)|||91904
인제장례식장||128.213707|38.136096|일반장례식장|033-461-1444|강원도 인제군 북면 금강로 210||임대||||||인제장례식장|(월학리,인제장례식장)|||91904
평창군장례식장||128.3890248|37.3607053|일반장례식장|033-330-4836|강원도 평창군 평창읍 종부로 61||직영||||||평창군장례식장|(종부리,평창군보건의료원)|||91904
계룡농협장례식장||127.155227|36.4511637|일반장례식장|041-853-4444|충청남도 공주시 창벽로 182||직영||||||계룡농협장례식장|(소학동)|||91904
안면도장례식장||126.35182|36.5350971|일반장례식장|041-672-0444|충청남도 태안군 안면읍 안면대로 2642||직영||||||안면도장례식장|(정당리)|||91904
단양장례식장||128.3360401|36.9909606|일반장례식장|043-422-4440|충청북도 단양군 단양읍 수양개유적로 6||직영||||||단양장례식장|(상진리)|||91904
금강장례식장||127.716385|36.5006676|일반장례식장|043-543-0002|충청북도 보은군 보은읍 남부로 4693||직영||||||금강장례식장|(강산리)|||91904
정산미당장례식장||126.9271279|36.3648527|일반장례식장|041-942-4447|충청남도 청양군 장평면 충의로 797||직영||||||정산미당장례식장|(미당리)|||91904
진부장례식장||128.5550781|37.6296996|일반장례식장|033-335-3240|강원도 평창군 진부면 오대천로 1958-21||직영||||||진부장례식장|(하진부리)|||91904
보은요양병원장례식장||127.6996557|36.4779976|일반장례식장|043-542-4440|충청북도 보은군 수한면 후평바리미길 31||임대||||||보은요양병원장례식장|(후평리)|||91904
보은농협장례식장||127.7251152|36.4669314|일반장례식장|043-543-3360|충청북도 보은군 보은읍 남부로 4305||직영||||||보은농협장례식장|(금굴리)|||91904
보은장례식장||127.7597373|36.4749064|일반장례식장|043-544-0028|충청북도 보은군 보은읍 보청대로 1469-36||직영||||||보은장례식장|(길상리)|||91904
영월장례식장||128.5059154|37.1801575|일반장례식장|033-374-5354|강원도 영월군 영월읍 영월로 2360-6||직영||||||영월장례식장|(연하리)|||91904
대전장례식장||127.3513637|36.3495373|일반장례식장|042-522-4444|대전광역시 서구 갑천도시고속도로 1895||직영||||||대전장례식장|(월평동)|||91904
대천역전장례식장||126.5862747|36.3448429|일반장례식장|02-932-1414|충청남도 보령시 해안로 45||직영||||||대천역전장례식장|(내항동)|||91904
주식회사/건양대부여장례식장||126.9010699|36.275721|일반장례식장|041-837-4441|충청남도 부여군 부여읍 계백로 200||임대||||||주식회사 건양대부여장례식장|(동남리,건양대부여병원)|||91904
사비장례식장||126.8856841|36.2634663|일반장례식장|041-835-4100|충청남도 부여군 규암면 충절로 2163||직영||||||사비장례식장|(외리)|||91904
정선장례식장||128.6686866|37.4019646|일반장례식장|033-562-4444|강원도 정선군 정선읍 서동로 1277||직영||||||정선장례식장|(덕송리)|||91904
남대전장례식장||127.462067|36.2832653|일반장례식장|042-285-4004|대전광역시 동구 산서로1660번길 142||직영||||||남대전장례식장|(대별동)|||91904
옥천농협장례식장||127.5684661|36.2901839|일반장례식장|043-731-4443|충청북도 옥천군 옥천읍 옥천로 1720||직영||||||옥천농협장례식장|(대천리)|||91904
중앙장례식장||128.1924093|36.5791961|일반장례식장|054-541-4477|경상북도 상주시 함창읍 함창로 586||직영||||||중앙장례식장|(윤직리)|||91904
양양장례문화원||128.6271749|38.078381|일반장례식장|033-671-0404|강원도 양양군 양양읍 양양로 9-1||직영||||||양양장례문화원|(연창리)|||91904
속초보광병원장례식장||128.5783566|38.1979798|일반장례식장|033-633-7444|강원도 속초시 중앙로 11||직영||||||속초보광병원장례식장|(교동,속초보광병원)|||91904
고성장례식장||128.4829981|38.3763772|일반장례식장|033-682-5000|강원도 고성군 죽왕면 향목서길 9||직영||||||고성장례식장|(향목리)|||91904
추모의집장례식장||128.594987|36.8316501|일반장례식장|054-633-4441|경상북도 영주시 신재로 167||임대||||||추모의집장례식장|(상줄동)|||91904
예천장례식장||128.4298223|36.6433935|일반장례식장|054-655-4442|경상북도 예천군 예천읍 충효로 35-8||직영||||||예천장례식장|(지내리)|||91904
소망장례식장||128.5993625|36.8313695|일반장례식장|054-636-0880|경상북도 영주시 신재로 134||직영||||||소망장례식장|(가흥동)|||91904
예천농협장례식장||128.4654773|36.6399043|일반장례식장|054-655-0990|경상북도 예천군 예천읍 양궁로 154||직영||||||예천농협장례식장|(청복리)|||91904
영동장례식장||127.7462014|36.1980811|일반장례식장|043-744-0454|충청북도 영동군 영동읍 난계로 804-46||직영||||||영동장례식장|(오탄리)|||91904
함열장례식장||126.9661123|36.0730045|일반장례식장|063-862-4444|전라북도 익산시 함열읍 정동1길 6-9||직영||||||함열장례식장|(와리)|||91904
더원실업/우란장례식장||128.89986|37.7590037|일반장례식장|033-649-0135|강원도 강릉시 옥가로 30||임대||||||더원실업 우란장례식장|(옥천동)|||91904
강릉아나병원장례식장||128.9030206|37.7604032|일반장례식장|033-641-7100|강원도 강릉시 용지로 129||임대||||||강릉아나병원장례식장|(옥천동)|||91904
백제장례예식장||126.9610658|36.0526394|일반장례식장|063-861-5300|전라북도 익산시 함열읍 익산대로 1493||직영||||||백제장례예식장|(석매리)|||91904
영동제일장례식장||127.7687859|36.1612887|일반장례식장|043-744-1144|충청북도 영동군 양강면 양정죽촌로 53-9||직영||||||영동제일장례식장|(양정리,장례식장)|||91904
다인농협장례식장||128.3474513|36.4399898|일반장례식장|054-861-4011|경상북도 의성군 다인면 단북다인로 1069||직영||||||다인농협장례식장|(산내리)|||91904
익산팔봉장례식장||127.0360285|35.9763367|일반장례식장|063-833-8080|전라북도 익산시 무왕로 1671||직영||||||익산팔봉장례식장|(덕기동,익산팔볼장례식장)|||91904
한솔장례식장||127.0177831|35.9704278|일반장례식장|063-838-7444|전라북도 익산시 무왕로 1471-22||직영||||||한솔장례식장|(팔봉동)|||91904
원광대학교병원장례문화원||126.96368|35.964924|일반장례식장|063-855-1734|전라북도 익산시 무왕로 895||임대||||||원광대학교병원장례문화원|(신동) 원광대학교병원 장례식장|||91904
태백문화장례식장||128.984431|37.1746261|일반장례식장|033-552-4444|강원도 태백시 고원로 249||임대||||||태백문화장례식장|(황지동)|||91904
군산장례식장||126.6734223|35.9786508|일반장례식장|063-468-4119|전라북도 군산시 공단대로 700||직영||||||군산장례식장|(소룡동)|||91904
모현장례문화원||126.9292297|35.9497991|일반장례식장|063-853-9889|전라북도 익산시 오산면 무왕로2길 321-20||임대||||||모현장례문화원|(장신리)|||91904
은파장례문화원||126.6769433|35.9540326|일반장례식장|063-445-4444|전라북도 군산시 미성로 512||직영||||||은파장례문화원|(미룡동)|||91904
