##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@BBQ
BBQ|강원정선점|128.670708|37.385338|BBQ|033-563-8501|강원도 정선군 정선읍 녹송로 93||||||||BBQ 강원정선점||||80609
BBQ|알펜시아리조트점|128.673757|37.657777|BBQ|033-339-0655|강원도 평창군 대관령면 솔봉로 325||||||||BBQ 알펜시아리조트점|(R15호)|||80609
BBQ|용평리조트점|128.682666|37.645499|BBQ|00000000000|강원도 평창군 대관령면 올림픽로 715||||||||BBQ 용평리조트점|(용평리조트) 1층 (타워프라자)|||80609
BBQ|대관령점|128.707223|37.671863|BBQ|033-336-8292|강원도 평창군 대관령면 대관령로 98||||||||BBQ 대관령점||||80609
BBQ|강원양양점|128.621361|38.075102|BBQ|033-671-9285||강원 양양군 양양읍 남문1리 97-3|||||||BBQ 강원양양점||||80609
BBQ|강원양양점(비비큐레몬)|128.626221|38.078347|BBQ|033-672-2101|강원도 양양군 양양읍 군청길 73-1||||||||BBQ 강원양양점(비비큐레몬)||||80609
BBQ|속초노학점|128.579445|38.195319|BBQ|033-638-5592|강원 속초시 이옥로 104-2||||||||BBQ 속초노학점|(노학동)|||80609
BBQ|속초교동스타점|128.573438|38.206664|BBQ|033-635-8292|강원도 속초시 미시령로3337번길 6-49||||||||BBQ 속초교동스타점|(교동,현대1차아파트상가) 1층 105호|||80609
BBQ|속초청초호점|128.586592|38.191031|BBQ|033-635-9282|강원도 속초시 엑스포로 41||||||||BBQ 속초청초호점|(조양동) 3~4층|||80609
BBQ|속초조양점|128.601434|38.187099|BBQ|033-638-9282||강원 속초시 조양동 1378~1499 1484-11|||||||BBQ 속초조양점||||80609
BBQ|양양하조대점|128.724067|38.019787|BBQ|033-672-3555|강원도 양양군 현북면 하조대1길 54||||||||BBQ 양양하조대점|(토크쇼)|||80609
BBQ|하이캐슬리조트점|128.814218|37.206117|BBQ|033-560-7750|강원도 정선군 사북읍 하이원길 202||||||||BBQ 하이캐슬리조트점|(하이캐슬콘도)|||80609
BBQ|강원랜드워터월드점(특화)|128.81687|37.212785|BBQ|000000000|강원도 정선군 사북읍 하이원길 175||||||||BBQ 강원랜드워터월드점(특화)|(하이원워터월드)|||80609
BBQ|강원간성점|128.473172|38.378574|BBQ|033-681-1789||강원 고성군 간성읍 신안리 162-2|||||||BBQ 강원간성점||||80609
BBQ|사북고한점|128.848208|37.205257|BBQ|0335919288|강원도 정선군 고한읍 고한로 89||||||||BBQ 사북고한점||||80609
BBQ|주문진점|128.824729|37.883992|BBQ|033-661-9582|강원도 강릉시 주문진읍 신리천로 56||||||||BBQ 주문진점||||80609
BBQ|강릉유천점(올리브카페)|128.869229|37.756817|BBQ|033-644-3368|강원도 강릉시 선수촌로63번길 14-6||||||||BBQ 강릉유천점(올리브카페)|1층 (홍제동)|||80609
BBQ|강릉교동택지점|128.876619|37.766539|BBQ|033-644-3367|강원도 강릉시 교동광장로100번길 20||||||||BBQ 강릉교동택지점|1층 (교동)|||80609
BBQ|내곡홍제점(올리브카페)|128.882208|37.744052|BBQ|033-642-8892|강원도 강릉시 강변로114번길 13||||||||BBQ 내곡홍제점(올리브카페)|(내곡동) 1층 (내곡동)|||80609
BBQ|강원거진점|128.454532|38.446579|BBQ|033-682-4484|강원도 고성군 거진읍 거진길 30-1||||||||BBQ 강원거진점||||80609
BBQ|강릉교동점|128.887721|37.763806|BBQ|033-644-3392|강원 강릉시 화부산로 118||||||||BBQ 강릉교동점||||80609
BBQ|고성대진점|128.424203|38.500479|BBQ|033-681-2114||강원 고성군 현내면 대진리 111-7|||||||BBQ 고성대진점||||80609
BBQ|강릉성덕점|128.917442|37.759857|BBQ|033-652-3392|강원도 강릉시 월대산로 64||||||||BBQ 강릉성덕점|(입암동) (입암동)|||80609
BBQ|강원태백점|128.987988|37.160162|BBQ|033-553-2848||강원 태백시 황지동 215-7|||||||BBQ 강원태백점||||80609
BBQ|태백장성점|129.009283|37.102113|BBQ|033-581-2999||강원 태백시 장성동 150-13|||||||BBQ 태백장성점|4/1|||80609
BBQ|동해북삼점|129.105769|37.488822|BBQ|033-521-9282|강원도 동해시 효자남길 29-8||||||||BBQ 동해북삼점|(쇄운동)|||80609
BBQ|동해천곡점|129.109312|37.524218|BBQ|033-532-9983|강원도 동해시 천곡로 38||||||||BBQ 동해천곡점|(천곡동,굿모닝플라워)|||80609
BBQ|삼척대명리조트점|129.1647|37.470343|BBQ|0331234567||강원 삼척시 갈천동 산16-4|||||||BBQ 삼척대명리조트점|메인로비 1층|||80609
BBQ|삼척점|129.167536|37.445527|BBQ|0335748844|강원도 삼척시 중앙로 249||||||||BBQ 삼척점|(남양동)|||80609
BBQ|위례중앙본점|127.143591|37.472579|BBQ|031-753-8892|경기도 성남시 수정구 위례광장로 311||||||||BBQ 위례중앙본점|(창곡동,위례35단지) 상가동 2층 205호|||80609
BBQ|위례점|127.140128|37.46795|BBQ|031-754-9288|경기도 성남시 수정구 위례광장로 41||||||||BBQ 위례점|(창곡동) 1층 113호 (창곡동,지엠프라자)|||80609
BBQ|성남신흥점|127.150988|37.454233|BBQ|031-748-7626||경기 성남시 수정구 산성동 1466|||||||BBQ 성남신흥점||||80609
BBQ|성남수진점|127.132301|37.438878|BBQ|031-722-0337||경기 성남시 수정구 수진동 3395-2|||||||BBQ 성남수진점|1층|||80609
BBQ|성남금광점|127.165305|37.450541|BBQ|031-745-9999||경기 성남시 중원구 금광동 2889|||||||BBQ 성남금광점|1층|||80609
BBQ|성남중앙점|127.153748|37.442025|BBQ|031-746-9944|경기도 성남시 중원구 광명로 242-3||||||||BBQ 성남중앙점|(중앙동) 1층|||80609
BBQ|하대원점|127.149351|37.430072|BBQ|031-758-9282||경기 성남시 중원구 하대원동 132|||||||BBQ 하대원점||||80609
BBQ|성남시청점|127.126887|37.418519|BBQ|031-757-9277||경기 성남시 중원구 여수동 201|||||||BBQ 성남시청점|103호|||80609
BBQ|와인친구/분당점|127.129852|37.412179|BBQ|02-2155-1879||경기 성남시 분당구 야탑동 340~361 361-5호 304호 |||||||BBQ 와인친구/분당점||||80609
BBQ|분당야탑점|127.133026|37.412239|BBQ|031-8017-9282||경기도 성남시 분당구 야탑동 383-4|||||||BBQ 분당야탑점|1층|||80609
BBQ|미사강변점(올리브카페)(명변)|127.184224|37.554692|BBQ|031-791-7272|경기도 하남시 미사강변대로 55-1||||||||BBQ 미사강변점(올리브카페)(명변)|2308동 상가101호,102호 (풍산동,미사강변더샵센트럴포레)|||80609
BBQ|동판교봇들마을점|127.117536|37.401798|BBQ|031-8016-9233|경기도 성남시 분당구 동판교로 212||||||||BBQ 동판교봇들마을점|봇들마을6단지아파트 봇들마을가상가 101|||80609
BBQ|판교테크노밸리점|127.108654|37.401272|BBQ|031-696-7557|경기도 성남시 분당구 판교역로 231||||||||BBQ 판교테크노밸리점|(삼평동,에이치스퀘어 에스동) 121호|||80609
BBQ|분당아름마을점|127.123279|37.399471|BBQ|031-706-9234|경기도 성남시 분당구 성남대로779번길 48||||||||BBQ 분당아름마을점|(이매동,골든프라자106호)|||80609
BBQ|하남풍산행복점|127.210054|37.548019|BBQ|031-792-9268||경기 하남시 덕풍3동 811-3|||||||BBQ 하남풍산행복점||||80609
BBQ|위니월드머스탱점|127.016283|37.441188|BBQ|00000000000|경기도 과천시 경마공원대로 107||||||||BBQ 위니월드머스탱점|(주암동)|||80609
BBQ|미사점|127.184752|37.568635|BBQ|031-795-9285|경기도 하남시 미사강변대로 212||||||||BBQ 미사점|(망월동,미사센트럴프라자) 1층 120호|||80609
BBQ|하남점|127.219531|37.542153|BBQ|031-794-4234||경기 하남시 신장동 96-3|||||||BBQ 하남점||||80609
BBQ|구리교문점|127.131579|37.590323|BBQ|031-563-7676||경기 구리시 교문동 803|||||||BBQ 구리교문점||||80609
BBQ|(주)한국문화진흥(뉴서울컨트리클럽)(취급)|127.209536|37.425227|BBQ|031-760-8065|경기도 광주시 삼지곡길 95||||||||BBQ (주)한국문화진흥(뉴서울컨트리클럽)(취급)|(삼동)|||80609
BBQ|분당이매촌점|127.124551|37.389127|BBQ|031-706-9222|경기도 성남시 분당구 서현로 181||||||||BBQ 분당이매촌점|(이매동,이매촌한신아파트) 상가1층103호|||80609
BBQ|구리수택점|127.142578|37.59289|BBQ|031-552-9282|경기도 구리시 이문안로99번길 24||||||||BBQ 구리수택점|(수택동) 1층|||80609
BBQ|서판교산운마을점|127.075042|37.389129|BBQ|031-8016-9294|경기도 성남시 분당구 운중로 131||||||||BBQ 서판교산운마을점|(운중동,스타식스 메트로) 1층 103호,104호 (운중동)|||80609
BBQ|과천부림점|126.997113|37.438954|BBQ|02-502-3346||경기 과천시 부림동 20-1|||||||BBQ 과천부림점|일반상가 6호|||80609
BBQ|분당서현점|127.13017|37.379707|BBQ|031-705-8292||경기 성남시 분당구 서현동 94|||||||BBQ 분당서현점|현대아케이트 127|||80609
BBQ|분당수내점|127.116238|37.376657|BBQ|031-711-9282|경기도 성남시 분당구 수내로 74||||||||BBQ 분당수내점|(수내동,양지마을금호1단지아파트) 108호|||80609
BBQ|과천점|126.993193|37.428739|BBQ|02-502-3640||경기 과천시 별양동 1-3|||||||BBQ 과천점|제일상가 2층 204호|||80609
BBQ|인창점|127.131707|37.607588|BBQ|031-556-3392||경기 구리시 인창동 640-1|||||||BBQ 인창점|엘지상가,비비큐치킨|||80609
BBQ|덕소진도점|127.211202|37.583042|BBQ|031-521-0015||경기 남양주시 와부읍 덕소리 537-3|||||||BBQ 덕소진도점|진도A 상가|||80609
BBQ|분당정자점|127.114707|37.372465|BBQ|031-717-3311|경기도 성남시 분당구 내정로129번길 17||||||||BBQ 분당정자점|(정자동)|||80609
BBQ|분당본점|127.146321|37.370381|BBQ|031-709-0257||경기 성남시 분당구 분당동 123-1|||||||BBQ 분당본점||||80609
BBQ|경기광주2호점|127.236108|37.410993|BBQ|031-798-9285||경기 광주시 탄벌동 765|||||||BBQ 경기광주2호점|경남아파트상가비동103호|||80609
BBQ|다산1동부영점|127.16222|37.614602|BBQ|031-565-0369||경기 남양주시 지금동 390-16|||||||BBQ 다산1동부영점|예전빌딩 1층|||80609
BBQ|광주송정점|127.258183|37.426776|BBQ|031-761-8292|경기도 광주시 광주대로224번길 1||||||||BBQ 광주송정점|(송정동) 1층 3호|||80609
BBQ|분당중앙점|127.120153|37.360485|BBQ|031-713-8292|경기도 성남시 분당구 불정로 141||||||||BBQ 분당중앙점|1층 104호 (정자동,정든마을 상가)|||80609
BBQ|경기광주태전점|127.230562|37.390989|BBQ|031-762-6350|경기도 광주시 태봉로 23||||||||BBQ 경기광주태전점|(태전동)|||80609
BBQ|경기광주중앙점|127.257247|37.412921|BBQ|031-765-1477|경기도 광주시 중앙로 150||||||||BBQ 경기광주중앙점|(경안동)|||80609
BBQ|경기광주역점|127.247746|37.398182|BBQ|031-765-9285|경기도 광주시 장지1길 19||||||||BBQ 경기광주역점|(장지동) 1층|||80609
BBQ|구리갈매점|127.117285|37.632891|BBQ|031-527-7979|경기도 구리시 갈매중앙로 89-8||||||||BBQ 구리갈매점|(갈매동,로데오프라자) 1층 102호|||80609
BBQ|분당미금점|127.111786|37.347267|BBQ|031-717-6201||경기 성남시 분당구 구미동 47-3|||||||BBQ 분당미금점||||80609
BBQ|안양인덕원점|126.977484|37.397355|BBQ|031-421-6762||경기 안양시 동안구 관양동 1508-5|||||||BBQ 안양인덕원점||||80609
BBQ|태전행복점|127.229846|37.378153|BBQ|031-764-1314|경기도 광주시 태봉로 174||||||||BBQ 태전행복점|(태전동) 지1층 104호 (태전동,힐스테이트 태전 1634)|||80609
BBQ|의왕내손점|126.982133|37.389349|BBQ|031-423-9285||경기 의왕시 내손동 652-16|||||||BBQ 의왕내손점||||80609
BBQ|용인동천유타워점|127.101472|37.338538|BBQ|031-299-2292|경기도 용인시 수지구 신수로 767||||||||BBQ 용인동천유타워점|(동천동,분당수지U-TOWER) B동 A-125호|||80609
BBQ|경기능골점|127.176429|37.345805|BBQ|031-766-1898||경기 광주시 오포읍 능평리 174-33|||||||BBQ 경기능골점||||80609
BBQ|분당구미점|127.116446|37.337714|BBQ|031-714-0866|경기도 성남시 분당구 미금로 48||||||||BBQ 분당구미점|101|||80609
BBQ|안양관양점|126.954862|37.403934|BBQ|031-385-5330||경기 안양시 동안구 관양동 1387-23|||||||BBQ 안양관양점|지상1층|||80609
BBQ|통일스타점|126.947245|37.409011|BBQ|031-421-2806|경기도 안양시 동안구 평촌대로427번길 60-8||||||||BBQ 통일스타점|(비산동)|||80609
BBQ|안양비산중앙점|126.953537|37.400102|BBQ|031-446-9966||경기 안양시 동안구 관양동 1586|||||||BBQ 안양비산중앙점|111호|||80609
BBQ|경기양벌리점|127.248046|37.37262|BBQ|031-765-0111||경기 광주시 오포읍 양벌리 561-1|||||||BBQ 경기양벌리점||||80609
BBQ|금곡점|127.207505|37.633926|BBQ|031-591-9822||경기 남양주시 금곡동 430-34|||||||BBQ 금곡점||||80609
BBQ|용인죽전새터점|127.127366|37.332217|BBQ|031-896-2992|경기도 용인시 수지구 죽전로 253-3||||||||BBQ 용인죽전새터점|(죽전동,경혁프라자) (죽전동,상생프라자101,102호)|||80609
BBQ|별내점(올리브카페)|127.112476|37.653344|BBQ|031-575-9281|경기도 남양주시 식송1로 41||||||||BBQ 별내점(올리브카페)|1층 (별내동)|||80609
BBQ|안양평촌향촌점|126.962329|37.385762|BBQ|031-387-4433||경기 안양시 동안구 평촌동 341-1|||||||BBQ 안양평촌향촌점||||80609
BBQ|의왕갈뫼점|126.968609|37.374959|BBQ|031-459-8592||경기 의왕시 내손동 757|||||||BBQ 의왕갈뫼점||||80609
BBQ|용인죽전점|127.11989|37.325917|BBQ|031-262-8206||경기 용인시 수지구 죽전동 1261|||||||BBQ 용인죽전점|도담마을우미이노스빌 제상가동 102호|||80609
BBQ|용인풍덕천점|127.095694|37.325312|BBQ|031-265-5335||경기 용인시 풍덕천동 750|||||||BBQ 용인풍덕천점||||80609
BBQ|광주도평리점|127.292215|37.396753|BBQ|031-797-3392|경기도 광주시 초월읍 현산로 106||||||||BBQ 광주도평리점||||80609
BBQ|양수리점|127.319161|37.544327|BBQ|031-773-9178|경기도 양평군 양서면 양수로 153||||||||BBQ 양수리점||||80609
BBQ|특수전교육단|127.251013|37.360366|BBQ|031-760-6110||경기 광주시 오포읍 매산리 산117|||||||BBQ 특수전교육단||||80609
BBQ|호계플라자|126.952661|37.381063|BBQ|031-456-9282||경기 안양시 동안구 호계동 933-25|||||||BBQ 호계플라자||||80609
BBQ|안양호계점|126.961449|37.371788|BBQ|031-458-7221||경기 안양시 동안구 호계동 1002-5|||||||BBQ 안양호계점||||80609
BBQ|안양덕천점|126.927204|37.400497|BBQ|031-444-1500||경기 안양시 만안구 안양동 1380|||||||BBQ 안양덕천점|주공뜨란채상가 106호|||80609
BBQ|안양예술공원점|126.916959|37.414667|BBQ|031-464-9992|경기도 안양시 만안구 예술공원로 73||||||||BBQ 안양예술공원점|(안양동) 1층|||80609
BBQ|의왕오전점|126.967979|37.359077|BBQ|031-458-1631||경기 의왕시 오전동 104-10|||||||BBQ 의왕오전점||||80609
BBQ|안양코암호텔점|126.931404|37.39183|BBQ|031-448-7556||경기 안양시 만안구 안양동 431-10|||||||BBQ 안양코암호텔점||||80609
BBQ|성복점|127.079243|37.315147|BBQ|031-261-9287|경기도 용인시 수지구 성복2로76번길 25-30||||||||BBQ 성복점|(성복동,영진) 지하1층|||80609
BBQ|석수역점|126.901832|37.433315|BBQ|031-474-0303|경기도 안양시 만안구 연현로 103||||||||BBQ 석수역점|1층 107호 (석수동,석수두산위브상가)|||80609
BBQ|평내1점|127.234639|37.645053|BBQ|031-592-9205|경기도 남양주시 평내로29번안길 34||||||||BBQ 평내1점|101 (평내동,모던빌)|||80609
BBQ|용인상현행복점|127.091112|37.312265|BBQ|031-272-3382|경기도 용인시 수지구 이현로 115||||||||BBQ 용인상현행복점|130 (상현동,상현프라자)|||80609
BBQ|안양4점|126.921492|37.394714|BBQ|031-444-9285|경기도 안양시 만안구 냉천로 161||||||||BBQ 안양4점|(안양동)|||80609
BBQ|안양석수점|126.907391|37.411579|BBQ|031-472-9282||경기 안양시 만안구 석수2동 304-23|||||||BBQ 안양석수점||||80609
BBQ|상현점|127.076735|37.308937|BBQ|031-266-7734|경기도 용인시 수지구 수지로 70-1||||||||BBQ 상현점|(상현동,동원한의원)|||80609
BBQ|용인마북점|127.123528|37.304057|BBQ|031-287-4005|경기도 용인시 기흥구 마북로 159||||||||BBQ 용인마북점|(마북동,한성프라자) 111호|||80609
BBQ|금정점|126.938564|37.36698|BBQ|031-392-7292||경기도 군포시 산본동 1036-2|||||||BBQ 금정점|화남상가 101-102|||80609
BBQ|경기광주쌍동점|127.298303|37.371234|BBQ|031-768-9285|경기도 광주시 초월읍 경충대로 1081-36||||||||BBQ 경기광주쌍동점|104호|||80609
BBQ|광명하안중앙점|126.879331|37.461649|BBQ|02-807-0099|경기도 광명시 하안로 293-10||||||||BBQ 광명하안중앙점|(하안동,정산빌딩)|||80609
BBQ|산본3점|126.928805|37.372858|BBQ|031-395-8252||경기 군포시 산본2동 1078|||||||BBQ 산본3점|1층|||80609
BBQ|호평역점|127.247094|37.653936|BBQ|031-592-9281||경기 남양주시 호평동 658-3|||||||BBQ 호평역점||||80609
BBQ|안양충훈본점|126.89781|37.406255|BBQ|031-472-4401|경기도 안양시 만안구 와룡로 21-1||||||||BBQ 안양충훈본점|(석수동,지상1층)|||80609
BBQ|용인구성점|127.108801|37.297973|BBQ|031-284-9508||경기 용인시 기흥구 마북동 409~475 475-1|||||||BBQ 용인구성점||||80609
BBQ|광교상현점|127.074627|37.300495|BBQ|031-214-9201|경기도 용인시 수지구 법조로 242||||||||BBQ 광교상현점|1층 101호,201호 (상현동,광교파크프라자)|||80609
BBQ|광명철산점|126.870494|37.477298|BBQ|02-2617-9173||경기 광명시 철산동 241-2|||||||BBQ 광명철산점|바상가106호|||80609
BBQ|용인언남점|127.118288|37.294935|BBQ|031-286-4666|경기도 용인시 기흥구 구성로 77번길 2||||||||BBQ 용인언남점|(언남동)|||80609
BBQ|광명철산푸르지오|126.868852|37.470668|BBQ|02-2619-9288|경기도 광명시 디지털로 24||||||||BBQ 광명철산푸르지오|(철산동,철산푸르지오하늘채아파트) 113동B125호|||80609
BBQ|언남점|127.120107|37.29466|BBQ|0312864666|경기도 용인시 기흥구 구성로 93||||||||BBQ 언남점|1층 114호 (언남동,언남프라자)|||80609
BBQ|광명역점|126.88326|37.421599|BBQ|02-897-9285|경기도 광명시 일직로12번길 11||||||||BBQ 광명역점|(일직동) 1층 4호|||80609
BBQ|산본2점|126.92291|37.366614|BBQ|031-397-3433||경기 군포시 산본동 1118-6|||||||BBQ 산본2점|1층 103호|||80609
BBQ|광명하안점|126.86585|37.465098|BBQ|02-898-9031|경기도 광명시 가림로 54-11||||||||BBQ 광명하안점|(하안동,하안주공아파트5단지) 일반상가 107호)|||80609
BBQ|군포당동점|126.943262|37.345847|BBQ|031-399-0999||경기 군포시 당동 872-2|||||||BBQ 군포당동점|산본리빙스텔 107호|||80609
BBQ|용인청덕점|127.148341|37.291388|BBQ|031-275-8280||경기 용인시 기흥구 청덕동 250-1|||||||BBQ 용인청덕점|호반베르디움상가 106,107호|||80609
BBQ|용인신갈점|127.111948|37.288328|BBQ|031-281-2199|경기도 용인시 기흥구 새천년로26번길 10||||||||BBQ 용인신갈점|103호 (신갈동,반석프라자)|||80609
BBQ|산본1호점|126.926474|37.349391|BBQ|031-396-9282|경기도 군포시 번영로 380-1||||||||BBQ 산본1호점||||80609
BBQ|파장점|126.995078|37.307669|BBQ|031-258-2350||경기 수원시 장안구 파장동 588|||||||BBQ 파장점||||80609
BBQ|수원조원점|127.009709|37.301638|BBQ|031-253-1555|경기도 수원시 장안구 경수대로 920||||||||BBQ 수원조원점|(조원동) 2층|||80609
BBQ|광명본점|126.854428|37.469881|BBQ|02-2614-3080||경기 광명시 광명7동 720-5|||||||BBQ 광명본점|1층|||80609
BBQ|광교도청점|127.047251|37.289763|BBQ|031-213-9991|경기도 수원시 영통구 도청로89번길 31||||||||BBQ 광교도청점|이의동,지타워101호|||80609
BBQ|수원야구장|127.011329|37.298524|BBQ|010-4900-301|경기도 수원시 장안구 경수대로 893||||||||BBQ 수원야구장|(조원동,수원KT위즈파크2층)) C동 2층 203호|||80609
BBQ|곤지암리조트점|127.29637|37.337504|BBQ|031-8026-5520|경기도 광주시 도척면 도척윗로 278||||||||BBQ 곤지암리조트점||||80609
BBQ|수원야구장2호점(특화)|127.011338|37.297822|BBQ|01049003016|경기도 수원시 장안구 경수대로 893||||||||BBQ 수원야구장2호점(특화)|H-101호 (조원동,수원종합운동장 (야구장))|||80609
