##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@변호사
법무법인/함백||||변호사|02-3482-1231|서울 서초구 반포대로30길 34||||||||법무법인 함백|4층 (서초동,신정빌딩)|||91604
법무법인/비엘에스||||변호사|02-3482-1600|서울 서초구 서초중앙로26길 10||||||||법무법인 비엘에스|5층 (서초동,청향빌딩)|||91604
법무법인/법과사람들||||변호사|02-587-0055|서울 서초구 서초대로 250||||||||법무법인 법과사람들|1002호 (서초동,스타갤러리브릿지)|||91604
법무법인/시그니처||||변호사|6673-0077|서울 서초구 서초중앙로 148||||||||법무법인 시그니처|3층 (서초동,희성빌딩)|||91604
법무법인/국제||||변호사|051-506-6760|부산 연제구 법원로 28||||||||법무법인 국제|7층,8층 801호,808호,2층 205호 (거제동,부산법조타운빌딩)|||91604
법무법인/오월||||변호사|02-357-8006|서울 마포구 마포대로14가길 4||||||||법무법인 오월|2층 (공덕동)|||91604
법무법인/택스로||||변호사|02-6138-6700|서울 강남구 테헤란로22길 13||||||||법무법인 택스로|6층 (역삼동,예동빌딩)|||91604
법무법인/강녕||||변호사|02-553-5218|서울 마포구 월드컵북로 402||||||||법무법인 강녕|306호 (상암동,케이지아이티센터)|||91604
법무법인/천하||||변호사||서울 강남구 논현로81길 12||||||||법무법인 천하|2층 (역삼동)|||91604
법무법인/명천||||변호사|02-537-9337|서울 서초구 서초대로 326||||||||법무법인 명천|7층 (서초동,모인터빌딩)|||91604
법무법인/신일||||변호사|033-244-9113|강원 춘천시 공지로 289||||||||법무법인 신일|2층 (효자동,대양빌딩)|||91604
법무법인/민||||변호사|6250-0100|서울 강남구 테헤란로 126||||||||법무법인 민|6층,11층,12층 (역삼동,대공빌딩)|||91604
법무법인/최선||||변호사|02-6952-4377|서울 서초구 법원로4길 23||||||||법무법인 최선|501호 (서초동,대덕빌딩)|||91604
법무법인/민정||||변호사|02-522-3371~2|서울 서초구 서초대로49길 12||||||||법무법인 민정|1층 101-1호 (서초동,한승ASTRA 2)|||91604
법무법인/파로스||||변호사|02-3473-0992|서울 서초구 서초대로 270||||||||법무법인 파로스|5층 501호 (서초동,서보빌딩)|||91604
법무법인/케이로||||변호사|02-6959-7800|서울 서초구 서초대로51길 26||||||||법무법인 케이로|3층 (서초동,람코교대빌딩)|||91604
법무법인/충정||||변호사|772-2700|서울 중구 세종대로9길 20||||||||법무법인 충정|9층 (태평로2가,대경빌딩)|||91604
법무법인/가족||||변호사|02-3477-2522|서울 서초구 강남대로 196||||||||법무법인 가족|4층 (양재동,구민빌딩)|||91604
법무법인/액셀시어||||변호사|02-6953-6776|서울 영등포구 국회대로76길 22||||||||법무법인 액셀시어|7층 (여의도동,기계산업진흥회)|||91604
법무법인/담정||||변호사|02-6242-5500|서울 서초구 서초대로49길 12||||||||법무법인 담정|3층 301호 (서초동,한승ASTRA 2)|||91604
법무법인/한율||||변호사|02-588-9200|서울 서초구 서초중앙로 108||||||||법무법인 한율|6층 (서초동,케이원빌딩)|||91604
법무법인/베이시스||||변호사|02-522-3200|서울 서초구 서초중앙로 119||||||||법무법인 베이시스|5층,11층 (서초동,전자부품연구원 빌딩)|||91604
법무법인/진주||||변호사|055-794-2757|경남 진주시 진양호로 309-6||||||||법무법인 진주|201호,301호 (신안동,진주법조타운)|||91604
법무법인/효성||||변호사|2039-8527|서울 서초구 서초중앙로 147||||||||법무법인 효성|103호 (서초동,서초법조타운)|||91604
법무법인/김앤파트너스||||변호사|055-266-7200|경남 창원시 성산구 창이대로689번길 4-4||||||||법무법인 김앤파트너스|제4층 401호,402호 (사파동,가야빌딩)|||91604
법무법인/우람||||변호사|051-791-1917|부산 연제구 법원로 38||||||||법무법인 우람|201호 (거제동,로펌빌딩)|||91604
법무법인/강함||||변호사|2604-7002|서울 양천구 신월로 385||||||||법무법인 강함|6층 (신정동,동진빌딩)|||91604
법무법인/에이블||||변호사|6258-6000|서울 서초구 반포대로 94||||||||법무법인 에이블|5층 (서초동,남양빌딩)|||91604
법무법인/참본||||변호사|02-457-3100|서울 서초구 서초대로 274||||||||법무법인 참본|(서초동),11층 (서초동,3000타워)|||91604
법무법인/테헤란||||변호사|02-2088-0836|서울 강남구 테헤란로 420||||||||법무법인 테헤란|9층 (대치동,메이플타워 Mayple Tower)|||91604
법무법인/세안||||변호사|3473-0999|서울 서초구 서초대로 274||||||||법무법인 세안|1201호 (서초동,3000타워)|||91604
법무법인/한일||||변호사|02-6956-1301|서울 강남구 영동대로 511||||||||법무법인 한일|23층 (삼성동,트레이드타워)|||91604
법무법인/시완||||변호사|02-533-9331|서울 서초구 법원로2길 15||||||||법무법인 시완|406호,407호 (서초동,길도빌딩)|||91604
법무법인/바를정||||변호사|042-471-7722|대전 서구 둔산중로78번길 36||||||||법무법인 바를정|505호 (둔산동,청우빌딩)|||91604
법무법인/온||||변호사|031-217-0051|경기 수원시 영통구 광교중앙로248번길 7-2||||||||법무법인 온|B동 701호,702호 (하동,원희캐슬 광교)|||91604
법무법인/대인||||변호사|1522-5921|서울 서초구 서초대로50길 82||||||||법무법인 대인|4층 (서초동,정원빌딩)|||91604
법무법인/대한중앙||||변호사|070-4012-5012|서울 영등포구 국회대로70길 19||||||||법무법인 대한중앙|507호 (여의도동,대하빌딩)|||91604
법무법인/도울||||변호사|523-3100|서울 서초구 서초대로 274||||||||법무법인 도울|13층 (서초동)|||91604
법무법인/더함||||변호사|6384-5500|서울 은평구 통일로 684||||||||법무법인 더함|402호 (녹번동,서울혁신파크)|||91604
법무법인/강현||||변호사|02-2088-2251|서울 서초구 반포대로 138||||||||법무법인 강현|5층 (서초동,양진빌딩)|||91604
법무법인/천지로||||변호사|031-707-7424|경기 성남시 중원구 사기막골로45번길 14||||||||법무법인 천지로|에이동 1104호,1407호,1612호,1613호 (상대원동,성남 우림 라이온스밸리)|||91604
법무법인/국토||||변호사|6953-8556|서울 서초구 강남대로10길 5||||||||법무법인 국토|401호 (양재동,충남빌딩)|||91604
법무법인/오킴스||||변호사|538-5886|서울 강남구 도산대로 207||||||||법무법인 오킴스|6층 (신사동,성도빌딩)|||91604
법무법인/홍재||||변호사|031-214-9400|경기 수원시 영통구 광교중앙로248번길 7-2||||||||법무법인 홍재|제비동 801호,802호 (하동,원희캐슬 광교)|||91604
법무법인/기회||||변호사|02-511-7036|서울 서초구 법원로4길 41||||||||법무법인 기회|4층 (서초동,명광빌딩)|||91604
법무법인/위공||||변호사|010-4424-6463|서울 영등포구 국회대로70길 19||||||||법무법인 위공|307호 (여의도동,대하빌딩)|||91604
법무법인/서평||||변호사|6271-4300|서울 강남구 도곡로 194||||||||법무법인 서평|3층 (도곡동,일양빌딩)|||91604
법무법인/민영||||변호사|051-717-2997|부산 연제구 법원남로9번길 14||||||||법무법인 민영|4층 (거제동,청담빌딩)|||91604
법무법인/산운||||변호사|064-805-7001|제주 제주시 중앙로 326||||||||법무법인 산운|502호 (이도2동,해피트리)|||91604
법무법인/연승||||변호사|042-472-2510|대전 서구 둔산중로78번길 20||||||||법무법인 연승|902호,903호 (둔산동,명진빌딩)|||91604
법무법인/태림||||변호사|501-6700|서울 강남구 테헤란로 416||||||||법무법인 태림|15층 (대치동,연봉빌딩)|||91604
법무법인/부원||||변호사|032-288-2300|경기 부천시 상일로 126||||||||법무법인 부원|508호 (상동,뉴법조타운)|||91604
법무법인/채움||||변호사|3434-8100|서울 강남구 강남대로84길 23||||||||법무법인 채움|404호 (역삼동,한라클래식오피스텔)|||91604
법무법인/도영||||변호사|583-8111|서울 서초구 서초대로 356||||||||법무법인 도영|15층 2호,3호 (서초동,서초지웰타워)|||91604
법무법인/정직||||변호사|031-306-2202|경기 수원시 영통구 광교중앙로266번길 22||||||||법무법인 정직|3층 (하동,광교법조프라자)|||91604
법무법인/김김법률사무소||||변호사|052-275-9115|울산 남구 법대로14번길 31||||||||법무법인 김김법률사무소|401호 (옥동,법조빌딩)|||91604
법무법인/케이앤엘||||변호사|534-1232|서울 서초구 서초대로 261||||||||법무법인 케이앤엘|4층 (서초동,서혜빌딩)|||91604
법무법인/중흥||||변호사|031-374-3750|경기 수원시 영통구 광교중앙로248번길 95-9||||||||법무법인 중흥|2층 203호,204호,205호 (하동,캡틴법조타운)|||91604
법무법인/청녕||||변호사|043-283-2050|충북 청주시 서원구 구룡산로 362||||||||법무법인 청녕|(수곡동)|||91604
법무법인/위즈||||변호사|595-7274|서울 서초구 서초중앙로 217||||||||법무법인 위즈|9층 (반포동,대동빌딩)|||91604
법무법인/청안로||||변호사|051-714-0017|부산 연제구 법원로 28||||||||법무법인 청안로|602호 (거제동,부산법조타운빌딩)|||91604
법무법인/조앤박||||변호사|042-476-4900|대전 서구 둔산중로 74||||||||법무법인 조앤박|506호 (둔산동,인곡타워)|||91604
법무법인/공도||||변호사||서울 서초구 서초중앙로24길 10||||||||법무법인 공도|4층 (서초동,공도빌딩)|||91604
법무법인/태양일리오스||||변호사|031-901-4402|경기 고양시 일산동구 장백로 200||||||||법무법인 태양일리오스|1010호 (장항동,유국타워)|||91604
법무법인/반우||||변호사|508-5200|서울 강남구 언주로 432||||||||법무법인 반우|9층 (역삼동,타워432)|||91604
법무법인/세범||||변호사|043-291-4701|충북 청주시 서원구 산미로 158||||||||법무법인 세범|3층 (산남동)|||91604
법무법인/설현||||변호사|402-5582|서울 송파구 중대로 60||||||||법무법인 설현|801호 (문정동,주윤빌딩)|||91604
법무법인/민행||||변호사|2088-3559|서울 종로구 새문안로 92||||||||법무법인 민행|2210호 (신문로1가,광화문오피시아빌딩)|||91604
법무법인/송강||||변호사|031-411-1153|경기 안산시 단원구 광덕4로 102||||||||법무법인 송강|204호 (고잔동,신원프라자)|||91604
법무법인/여의||||변호사|780-9111|서울 영등포구 여의나루로 57||||||||법무법인 여의|9층 (여의도동,신송센타빌딩)|||91604
법무법인/애중||||변호사|055-267-1111|경남 창원시 성산구 창이대로689번길 4-3||||||||법무법인 애중|301호 (사파동,대성빌딩)|||91604
법무법인/에스에이치||||변호사|538-0404|서울 강남구 논현로 555||||||||법무법인 에스에이치|7층 (역삼동,JW빌딩)|||91604
법무법인/더가람||||변호사|055-747-4934|경남 진주시 진양호로 311||||||||법무법인 더가람|2~3층 (신안동)|||91604
법무법인/대진||||변호사|3477-8114|서울 서초구 서초중앙로 149-12||||||||법무법인 대진|1층 (서초동,복빌딩)|||91604
법무법인/오라클||||변호사|2182-3777|서울 강남구 영동대로 416||||||||법무법인 오라클|1층 (대치동,케이티앤지 타워)|||91604
법무법인/승전||||변호사|6297-0007|서울 서초구 서초대로 265||||||||법무법인 승전|302호 (서초동,대신빌딩)|||91604
법무법인/광장||||변호사|772-4000|서울 중구 남대문로 63||||||||법무법인 광장|(소공동,한진빌딩)|||91604
법무법인/라움||||변호사|3477-7006|서울 서초구 반포대로30길 81||||||||법무법인 라움|16층 (서초동,웅진빌딩)|||91604
법무법인/아리율||||변호사|592-8787|서울 서초구 서초중앙로 160||||||||법무법인 아리율|1101호 (서초동,법률센터)|||91604
법무법인/지원피앤피||||변호사|042-472-2510|대전 서구 둔산중로78번길 20||||||||법무법인 지원피앤피|203호,401호 (둔산동,명진빌딩)|||91604
법무법인/에스앤파트너스||||변호사|062-229-8300|광주 동구 동명로 102||||||||법무법인 에스앤파트너스|3~4층 (지산동)|||91604
법무법인/형평||||변호사|518-0957|서울 강남구 강남대로156길 12||||||||법무법인 형평|6층 (신사동,다복빌딩)|||91604
법무법인/정현||||변호사|537-5917|서울 서초구 남부순환로350길 71||||||||법무법인 정현|2층 (양재동)|||91604
법무법인/지현재||||변호사|523-1950|서울 서초구 서초대로46길 35||||||||법무법인 지현재|5층 (서초동,카노빌딩)|||91604
법무법인/에이치로||||변호사|583-3999|서울 서초구 서초대로 240||||||||법무법인 에이치로|605호 (서초동,서초동 동일하이빌)|||91604
법무법인/로티스||||변호사|3775-3960|서울 종로구 종로3길 34||||||||법무법인 로티스|801호 (청진동,삼송빌딩)|||91604
법무법인/승운||||변호사|521-7796|서울 서초구 서초중앙로 125||||||||법무법인 승운|1401호 (서초동,로이어즈타워)|||91604
법무법인/예인||||변호사|051-504-1101|부산 연제구 법원남로15번길 6||||||||법무법인 예인|701호 (거제동,은하빌딩)|||91604
법무법인/아미쿠스||||변호사|536-2001|서울 서초구 반포대로 138||||||||법무법인 아미쿠스|501호 (서초동,양진빌딩)|||91604
법무법인/인헌||||변호사|070-7863-9469|서울 강남구 테헤란로81길 13||||||||법무법인 인헌|9층 (삼성동,동원빌딩)|||91604
법무법인/우호||||변호사|591-4749|서울 서초구 반포대로30길 47||||||||법무법인 우호|3층 (서초동,행림빌딩)|||91604
법무법인/제이앤||||변호사|6933-6973|서울 서초구 반포대로 108||||||||법무법인 제이앤|2층 (서초동,양원빌딩)|||91604
법무법인/정의와사랑||||변호사|585-2400|서울 서초구 서초대로 270||||||||법무법인 정의와사랑|7층 (서초동,서보빌딩)|||91604
법무법인/중앙||||변호사|02-522-8161|서울 서초구 서초대로46길 3||||||||법무법인 중앙|2층 (서초동,경중빌딩)|||91604
법무법인/클라스||||변호사|555-5007|서울 강남구 테헤란로44길 8||||||||법무법인 클라스|(역삼동,아이콘역삼빌딩) (확장) 서울 강남구 테헤란로 306,3층 (카이트타워)|||91604
법무법인/윤승||||변호사|6269-7000|서울 서초구 반포대로30길 33||||||||법무법인 윤승|5층 (서초동,블리스빌딩)|||91604
법무법인/오른||||변호사|598-4544|서울 서초구 서초대로 339||||||||법무법인 오른|4층 (서초동,성산빌딩)|||91604
법무법인/비츠로||||변호사|3474-2200|서울 서초구 반포대로 86||||||||법무법인 비츠로|502호 (서초동,신원빌딩)|||91604
법무법인/정평재||||변호사|6084-0502|서울 서대문구 연희로 239||||||||법무법인 정평재|3층 (연희동)|||91604
법무법인/청음||||변호사|6326-0202|서울 서초구 법원로3길 26||||||||법무법인 청음|2층 (서초동,한림빌딩)|||91604
법무법인/수오재||||변호사|3454-2026|서울 강남구 강남대로 302||||||||법무법인 수오재|16층 (역삼동,대영빌딩)|||91604
법무법인/선유||||변호사|041-523-4578|충남 천안시 동남구 청수14로 102||||||||법무법인 선유|에이스법조타워 503,504,505호 (청당동)|||91604
법무법인/서중||||변호사|3487-0033|서울 서초구 서초대로 274||||||||법무법인 서중|9층 (서초동)|||91604
법무법인/나율||||변호사|032-217-3000|경기 부천시 상일로 126||||||||법무법인 나율|201호,206호,207호 (상동,뉴법조타운)|||91604
법무법인/지헌||||변호사|596-4545|서울 서초구 반포대로28길 33||||||||법무법인 지헌|3층 (서초동,33빌딩)|||91604
법무법인/중부로||||변호사|6672-0001|서울 서초구 서초대로 250||||||||법무법인 중부로|7층,803~5호 (서초동,스타갤러리브릿지)|||91604
법무법인/조운||||변호사|584-2581~2|서울 강남구 영동대로 511||||||||법무법인 조운|804호 (삼성동,트레이드타워)|||91604
법무법인/제민||||변호사|6956-4830|서울 서초구 서초중앙로24길 16||||||||법무법인 제민|3층 (서초동)|||91604
법무법인/오륜||||변호사|051-503-0400|부산 연제구 법원로 34||||||||법무법인 오륜|604호,1202호 (거제동,정림빌딩)|||91604
법무법인/고우||||변호사|586-8595|서울 서초구 서초중앙로 108||||||||법무법인 고우|5층 (서초동,케이원빌딩)|||91604
법무법인/윤중||||변호사|599-5301|서울 서초구 서초중앙로26길 3||||||||법무법인 윤중|302호 (서초동)|||91604
법무법인/에스||||변호사|6203-3880|서울 서초구 서초대로 356||||||||법무법인 에스|3층 (서초동,서초지웰타워)|||91604
법무법인/갑을||||변호사|2039-6043|서울 서초구 강남대로30길 28||||||||법무법인 갑을|302호 (양재동,은경빌딩)|||91604
법무법인/트리니티||||변호사|584-7007|서울 서초구 반포대로21길 3||||||||법무법인 트리니티|601호 (서초동,이화빌딩)|||91604
법무법인/건승||||변호사|031-654-5503|경기 평택시 평남로 1041||||||||법무법인 건승|2층 (동삭동,모세빌딩)|||91604
법무법인/감천||||변호사||서울 서초구 서초대로 259||||||||법무법인 감천|5층 (서초동,서원빌딩)|||91604
법무법인/율한||||변호사|051-506-0814~5|부산 연제구 법원로 20||||||||법무법인 율한|1303~5호 (거제동,로제스티빌딩)|||91604
법무법인/청린||||변호사|533-7022|서울 서초구 서초대로53길 15||||||||법무법인 청린|402호,501호 (서초동,정원빌딩)|||91604
법무법인/대서양||||변호사|588-5900|서울 서초구 서초대로 396||||||||법무법인 대서양|9층 (서초동,강남빌딩)|||91604
법무법인/서인||||변호사|010-5296-3353|서울 서초구 서초중앙로 151||||||||법무법인 서인|301~302호 (서초동,정암빌딩)|||91604
법무법인/예헌||||변호사|3478-2001|서울 서초구 서초중앙로 176||||||||법무법인 예헌|7층 (서초동,한울빌딩)|||91604
법무법인/하온||||변호사|533-1777|서울 서초구 서초중앙로 43||||||||법무법인 하온|8층 (서초동,로얄타워)|||91604
법무법인/승본||||변호사|02-6000-3600|서울 강남구 테헤란로87길 36||||||||법무법인 승본|501호 (삼성동,도심공항타워)|||91604
법무법인/이경||||변호사|6497-5500|서울 서초구 서초대로 283||||||||법무법인 이경|5층 (서초동,남촌빌딩)|||91604
법무법인/장강||||변호사|3283-8800|서울 구로구 도림로23길 2||||||||법무법인 장강|5층 (구로동,한호빌딩)|||91604
법무법인/혜인||||변호사|2055-3652|서울 서초구 서초대로50길 8||||||||법무법인 혜인|2층 (서초동,관정빌딩)|||91604
법무법인/석률||||변호사|051-506-9911|부산 연제구 법원로32번길 10||||||||법무법인 석률|602호,603호 (거제동,협성프라자빌딩)|||91604
법무법인/광휘||||변호사|573-1201|서울 강남구 도곡로 152||||||||법무법인 광휘|6층 (도곡동,젠빌딩)|||91604
법무법인/로드맵||||변호사|02-525-3981|서울 서초구 법원로4길 31||||||||법무법인 로드맵|5층 (서초동,대원빌딩)|||91604
법무법인/윤강||||변호사|02-2055-1422|서울 서초구 서초대로 264||||||||법무법인 윤강|5층 3호 (서초동,법조타워)|||91604
법무법인/보인||||변호사|02-586-3836|서울 서초구 반포대로 138||||||||법무법인 보인|1층 (서초동,양진빌딩)|||91604
법무법인/필로||||변호사|02-2138-5745|서울 강남구 언주로 527||||||||법무법인 필로|9층 (역삼동,강남텔레피아빌딩)|||91604
법무법인/에너지||||변호사|02-6713-3534|서울 강남구 언주로 723||||||||법무법인 에너지|5층 (논현동,구산빌딩)|||91604
법무법인/태성||||변호사|02-2191-3702|서울 서초구 반포대로30길 81||||||||법무법인 태성|9층 902호 (서초동,웅진타워)|||91604
법무법인/다움||||변호사|568-4506|서울 강남구 영동대로 511||||||||법무법인 다움|4506호 (삼성동,트레이드타워)|||91604
법무법인/조우||||변호사|032-872-6601|인천 남구 학익소로 19||||||||법무법인 조우|401호 (학익동,한림법조타운)|||91604
법무법인/심평||||변호사|2038-4679|서울 서초구 반포대로30길 81||||||||법무법인 심평|13층 (서초동,웅진타워)|||91604
스타트/법무법인||||변호사|6486-0011|서울 강남구 남부순환로 2621||||||||스타트 법무법인|12층 1228호 (도곡동,서브원 강남빌딩)|||91604
법무법인/통인||||변호사|031-873-9983|경기 의정부시 녹양로 44||||||||법무법인 통인|삼형빌딩 501호 (가능동)|||91604
법무법인/광화||||변호사|02-594-5670|서울 서초구 법원로2길 17-8||||||||법무법인 광화|301호 (서초동,구유빌딩)|||91604
법무법인/수륜아시아||||변호사|591-8600|서울 송파구 양재대로 932||||||||법무법인 수륜아시아|1220~3호 (가락동,가락몰 업무동)|||91604
법무법인/해온||||변호사|02-6959-3168|서울 서초구 법원로4길 32||||||||법무법인 해온|401호 (서초동,부민빌딩)|||91604
법무법인/세종로||||변호사|042-482-6611|세종 한누리대로 2144||||||||법무법인 세종로|303호 (보람동,스마트허브Ⅱ)|||91604
법무법인/남일||||변호사|053-756-4422|대구 수성구 동대구로 395||||||||법무법인 남일|3층 301호 (범어동,참저축은행빌딩)|||91604
법무법인/중용||||변호사|523-2027|서울 서초구 서초대로 324||||||||법무법인 중용|3층 (서초동,서원빌딩)|||91604
법무법인/지평||||변호사|6200-1600|서울 서대문구 충정로 60||||||||법무법인 지평|8~11층 (미근동,(주)케이티앤지 서대문 타워)|||91604
법무법인/광무||||변호사|053-754-6200|대구 수성구 동대구로 354||||||||법무법인 광무|402호 (범어동,브라운스톤범어)|||91604
법무법인/열린마음||||변호사|042-716-7114|대전 서구 둔산로137번길 44||||||||법무법인 열린마음|303-304호 (둔산동,서림빌딩)|||91604
법무법인/창해||||변호사|055-264-5090|경남 창원시 성산구 동산로220번길 25||||||||법무법인 창해|2층 (사파동,삼복빌딩)|||91604
법무법인/감동으로||||변호사|062-223-0500|광주 동구 동명로 107||||||||법무법인 감동으로|201호,301호 (지산동,금강빌딩)|||91604
법무법인/정예||||변호사|534-9003|서울 서초구 서초중앙로24길 27||||||||법무법인 정예|524호 (서초동,G5센트럴프라자)|||91604
법무법인/채운||||변호사|051-715-1230|부산 연제구 법원남로15번길 12||||||||법무법인 채운|402호 (거제동,대한타워빌딩)|||91604
법무법인/자산||||변호사|720-4242|서울 중구 을지로5길 26||||||||법무법인 자산|동관 8층 (수하동,미래에셋 CENTER 1)|||91604
법무법인/온율||||변호사|032-508-2145~7|인천 부평구 신트리로6번길 6||||||||법무법인 온율|혜성빌딩 601호,602호,603호 (부평동,혜성빌딩)|||91604
법무법인/무본||||변호사|593-2500|서울 서초구 서초중앙로 158||||||||법무법인 무본|302호 (서초동,남계빌딩)|||91604
법무법인/등정||||변호사|2039-3395|서울 동작구 동작대로1길 35||||||||법무법인 등정|제2층 제201호 (사당동,씨에스빌딩)|||91604
법무법인/승민||||변호사|064-805-9813|제주 제주시 중앙로 298||||||||법무법인 승민|2층 (이도2동,이튼빌딩)|||91604
법무법인/열림||||변호사|02-552-5500|서울 강남구 테헤란로 524||||||||법무법인 열림|4층 (대치동,삼성대세빌딩)|||91604
법무법인/온세||||변호사|3477-0300|서울 서초구 서초대로49길 12||||||||법무법인 온세|405호 (서초동,한승ASTRA 2)|||91604
법무법인/인월||||변호사|3482-7900|서울 서초구 서초대로41길 20||||||||법무법인 인월|5층 (서초동,화인빌딩)|||91604
법무법인/진성||||변호사|598-5888|서울 서초구 사임당로 171||||||||법무법인 진성|6층 (서초동,EWR빌딩)|||91604
법무법인/더정성||||변호사|052-272-3355|울산 남구 문수로 414||||||||법무법인 더정성|2층 (신정동,종하빌딩)|||91604
법무법인/사람||||변호사|2633-5796|서울 영등포구 양산로 57-5||||||||법무법인 사람|806호 (양평동3가,양평동 이노플렉스)|||91604
법무법인/오천||||변호사|02-3491-2600|서울 강남구 테헤란로 447||||||||법무법인 오천|17층 (삼성동,KB우준타워)|||91604
로엘법무법인||||변호사|6747-1110|서울 서초구 서초대로 274||||||||로엘법무법인|6층 (서초동,3000타워)|||91604
법무법인/채율||||변호사|2642-1500|서울 서초구 서초중앙로 152||||||||법무법인 채율|8층 (서초동,우민빌딩)|||91604
법무법인/엘에이비파트너스||||변호사|6956-0250|서울 강남구 테헤란로 501||||||||법무법인 엘에이비파트너스|8층 (삼성동,브이플렉스)|||91604
법무법인/대륜||||변호사||부산 연제구 법원로 28||||||||법무법인 대륜|204호 (거제동,부산법조타운빌딩)|||91604
법무법인/태경||||변호사|02-521-1110|서울 서초구 법원로1길 1||||||||법무법인 태경|5층 (서초동,서호빌딩)|||91604
법무법인/준평||||변호사|6216-2500|서울 강남구 강남대로 624||||||||법무법인 준평|7층 (신사동,ICT TOWER)|||91604
케이앤엘/태산/법무법인||||변호사|02-6326-8880|서울 서초구 서초중앙로22길 109||||||||케이앤엘 태산 법무법인|101호 (서초동,스톤캐슬)|||91604
법무법인/상생||||변호사|051-714-3395|부산 연제구 법원남로15번길 10||||||||법무법인 상생|701호 (거제동,미르코아빌딩)|||91604
법무법인/한남||||변호사|790-2777|서울 용산구 독서당로 122-1||||||||법무법인 한남|6층 (한남동,포트힐 (Fort Hill) 빌딩)|||91604
법무법인/산우||||변호사|02-584-5533|서울 서초구 서초대로48길 33||||||||법무법인 산우|7층 (서초동,허브 원)|||91604
법무법인/율본||||변호사|02-537-3784|서울 서초구 법원로 16||||||||법무법인 율본|지1층 1호 (서초동,정곡빌딩동관)|||91604
법무법인/성연||||변호사|051-714-3379|부산 연제구 법원로 40||||||||법무법인 성연|2층,4층 (거제동,서정빌딩)|||91604
법무법인/영민||||변호사|585-5701|서울 서초구 서초대로49길 12||||||||법무법인 영민|509호 (서초동,한승ASTRA 2)|||91604
법무법인/윈스||||변호사|556-6800|서울 강남구 삼성로 566||||||||법무법인 윈스|2층 (삼성동,빌딩엠)|||91604
법무법인/유준||||변호사|6279-2900|서울 영등포구 국제금융로8길 31||||||||법무법인 유준|11층 (여의도동,SK증권빌딩)|||91604
법무법인/새강||||변호사|597-5507|서울 서초구 서초중앙로 108||||||||법무법인 새강|4층 (서초동,케이원빌딩)|||91604
법무법인/창과방패||||변호사|032-873-9901|인천 남구 소성로185번길 28||||||||법무법인 창과방패|201호,202호 (학익동,명인빌딩)|||91604
법무법인/모두의/법률||||변호사|6082-1500|서울 강남구 학동로42길 21||||||||법무법인 모두의 법률|3층 (논현동,규우빌딩)|||91604
법무법인/해||||변호사|581-3300|서울 서초구 서초대로42길 51||||||||법무법인 해|2층 (서초동,마노빌딩)|||91604
법무법인/요수||||변호사|02-2038-4124|서울 서초구 서초대로41길 16||||||||법무법인 요수|4층 (서초동,정경빌딩)|||91604
