##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롭스
롭스|염창점|||롭스|0226463740|서울특별시 양천구 공항대로 630||||||||롭스 염창점||||90711
롭스|충무로점|||롭스|0222723740|서울특별시 중구 서애로 7||||||||롭스 충무로점||||90711
롭스|이태원점|||롭스|027943740|서울특별시 용산구 이태원로 179||||||||롭스 이태원점|해밀톤호텔 (본관)|||90711
롭스|미아점|||롭스|029803740|서울특별시 강북구 도봉로 45||||||||롭스 미아점|숭인시장|||90711
롭스|숙대점|||롭스|027063740|서울특별시 용산구 청파로47길 49||||||||롭스 숙대점|캠퍼스프라자|||90711
롭스|용산역점|||롭스|027499974|서울특별시 용산구 한강대로23길 55||||||||롭스 용산역점|용산역|||90711
롭스|구로디지털점|||롭스|028303740|서울특별시 구로구 디지털로32길 79||||||||롭스 구로디지털점|조영빌딩|||90711
롭스|잠실점|||롭스|0221437015|서울특별시 송파구 올림픽로 240||||||||롭스 잠실점||||90711
롭스|강남엔터점|||롭스|0263216115|서울특별시 서초구 신반포로 지하188||||||||롭스 강남엔터점||||90711
롭스|롯데몰은평점|||롭스|0269755040|서울특별시 은평구 통일로 1050||||||||롭스 롯데몰은평점||||90711
롭스|위례점|||롭스|024003217|서울특별시 송파구 위례광장로 136||||||||롭스 위례점||||90711
롭스|영플라자명동점|||롭스|0221185221|서울특별시 중구 남대문로 67||||||||롭스 영플라자명동점||||90711
롭스|건대로데오점|||롭스|024633740|서울특별시 광진구 동일로 20길 106||||||||롭스 건대로데오점||||90711
롭스|한티역점|||롭스|025393740|서울특별시 강남구 선릉로 64길 19||||||||롭스 한티역점||||90711
롭스|목동점|||롭스|0226543740|서울특별시 양천구 오목로 299||||||||롭스 목동점||||90711
롭스|안암점|||롭스|029219021|서울특별시 성북구 인촌로 24길 6||||||||롭스 안암점||||90711
롭스|이수점|||롭스|025327028|서울특별시 동작구 동작대로 119||||||||롭스 이수점||||90711
롭스|선릉점|||롭스|025017151|서울특별시 강남구 테헤란로 408||||||||롭스 선릉점||||90711
롭스|당산점|||롭스|0226773740|서울특별시 영등포구 양평로 48||||||||롭스 당산점||||90711
롭스|코엑스몰점|||롭스|025513741|서울특별시 강남구 영동대로 513||||||||롭스 코엑스몰점||||90711
롭스|강남점|||롭스|025583740|서울특별시 강남구 봉은사로2길 31||||||||롭스 강남점||||90711
롭스|구로점|||롭스|028583740|서울특별시 관악구 시흥대로 576||||||||롭스 구로점||||90711
롭스|종각점|||롭스|0262268297|서울특별시 종로구 종로5길 7||||||||롭스 종각점|Tower 8|||90711
롭스|신논현점|||롭스|025453740|서울특별시 강남구 강남대로 502||||||||롭스 신논현점|서희빌딩|||90711
롭스|안국점|||롭스|0232103740|서울특별시 종로구 율곡로 45||||||||롭스 안국점||||90711
롭스|월드몰2호점|||롭스|0232134508|서울특별시 송파구 올림픽로 300||||||||롭스 월드몰2호점||||90711
롭스|월드몰1호점|||롭스|0232134756|서울특별시 송파구 올림픽로 300||||||||롭스 월드몰1호점||||90711
롭스|화곡점|||롭스|0226043740|서울특별시 강서구 화곡로 161||||||||롭스 화곡점|대성빌딩|||90711
롭스|롯데마트서울역점|||롭스|023653740|서울특별시 중구 청파로 426||||||||롭스 롯데마트서울역점||||90711
롭스|가로수길점|||롭스|025153740|서울특별시 강남구 강남대로152길 45||||||||롭스 가로수길점|우림빌딩|||90711
롭스|신천점|||롭스|024203740|서울특별시 송파구 올림픽로 114||||||||롭스 신천점|서경빌딩|||90711
롭스|건대점|||롭스|0234095259|서울특별시 광진구 아차산로 219||||||||롭스 건대점|삼영빌딩|||90711
롭스|노원시네마점|||롭스|029502936|서울특별시 노원구 동일로 1414||||||||롭스 노원시네마점|롯데백화점|||90711
롭스|상봉엔터점|||롭스|0262246029|서울특별시 중랑구 망우로 353||||||||롭스 상봉엔터점|상봉 프레미어스 엠코|||90711
롭스|왕십리역사점|||롭스|0222001540|서울특별시 성동구 왕십리광장로 17||||||||롭스 왕십리역사점||||90711
롭스|수유점|||롭스|029913740|서울특별시 강북구 도봉로 342||||||||롭스 수유점||||90711
롭스|압구정역점|||롭스|025483740|서울특별시 강남구 논현로 857||||||||롭스 압구정역점|계룡빌딩|||90711
롭스|성대점|||롭스|027443740|서울특별시 종로구 대명길 46||||||||롭스 성대점||||90711
롭스|잠실캐슬점|||롭스|0221462201|서울특별시 송파구 올림픽로 269||||||||롭스 잠실캐슬점||||90711
롭스|홍대역점|||롭스|023343740|서울특별시 마포구 양화로 156||||||||롭스 홍대역점|LG팰리스빌딩|||90711
롭스|홍대점|||롭스|0231433740|서울특별시 마포구 양화로18길 3||||||||롭스 홍대점|삼양세븐스프링스|||90711
롭스|울산업스퀘어점|||롭스|0529905544|울산광역시 남구 화합로 185||||||||롭스 울산업스퀘어점||||90711
롭스|울산성남점|||롭스|0522463740||울산광역시 중구 젊음의거리 50|||||||롭스 울산성남점||||90711
롭스|울산삼산점|||롭스|0522563740|울산광역시 남구 삼산로277번길 8||||||||롭스 울산삼산점||||90711
롭스|롯데백화점 인천터미널점|||롭스|0322422712|인천광역시 미추홀구 연남로 35||||||||롭스 롯데백화점 인천터미널점|인천종합터미널,롯데백화점|||90711
롭스|하이마트주안점|||롭스|0324243740|인천광역시 미추홀구 경원대로 757||||||||롭스 하이마트주안점|(주)하이마트|||90711
롭스|부평점|||롭스|0325053740|인천광역시 부평구 시장로 20||||||||롭스 부평점||||90711
롭스|남악아울렛점|||롭스|0618012168|전라남도 무안군 삼향읍 남악로162번길 80||||||||롭스 남악아울렛점||||90711
롭스|목포상동점|||롭스|0612873740|전라남도 목포시 장미로 30||||||||롭스 목포상동점||||90711
롭스|군산수송점|||롭스|0634673740|전라북도 군산시 월명로 254||||||||롭스 군산수송점||||90711
롭스|군산아울렛점|||롭스|0634470145|전라북도 군산시 조촌로 130||||||||롭스 군산아울렛점|롯데아울렛 군산점|||90711
롭스|익산영등점|||롭스|0638313865|전라북도 익산시 무왕로 1052||||||||롭스 익산영등점||||90711
롭스|전주객사점|||롭스|0632873740||전북 전주시 완산구 고사동 36|||||||롭스 전주객사점||||90711
롭스|당진점|||롭스|0413553741|충청남도 당진시 당진중앙2로 127||||||||롭스 당진점|기업은행|||90711
롭스|부여아울렛점|||롭스|0414352608|충청남도 부여군 백제문로 387||||||||롭스 부여아울렛점||||90711
롭스|청주성안길점|||롭스|0432213740|충청북도 청주시 상당구 성안로 10-1||||||||롭스 청주성안길점||||90711
