##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@미니스톱
미니스톱|신림미림점|||미니스톱|1577-9621|서울 관악구 호암로18가길 1||소프트크림||||||미니스톱 신림미림점||||90706
미니스톱|개화산역점|||미니스톱|1577-9621|서울 강서구 양천로 50||소프트크림||||||미니스톱 개화산역점|1층|||90706
미니스톱|성북보문점|||미니스톱|1577-9621|서울 성북구 낙산길 255||소프트크림||||||미니스톱 성북보문점||||90706
미니스톱|MBC파크엠점|||미니스톱|1577-9621|서울 마포구 매봉산로 80||소프트크림||||||미니스톱 MBC파크엠점||||90706
미니스톱|용산해방촌점|||미니스톱|1577-9621|서울 용산구 신흥로16길 3||||||||미니스톱 용산해방촌점||||90706
미니스톱|금천스카이점|||미니스톱|1577-9621|서울 금천구 시흥대로47길 35||소프트크림||||||미니스톱 금천스카이점||||90706
미니스톱|화곡엠파이어시티점|||미니스톱|1577-9621|서울 강서구 강서로 187||||||||미니스톱 화곡엠파이어시티점||||90706
미니스톱|한강양화점|||미니스톱|1577-9637|서울 영등포구 선유로 314||||||||미니스톱 한강양화점||||90706
미니스톱|구로개봉점|||미니스톱|1577-9621|서울 구로구 개봉로11길 35||소프트크림||||||미니스톱 구로개봉점||||90706
미니스톱|갈현타운점|||미니스톱|1577-9621|서울 은평구 갈현로23길 9||소프트크림||||||미니스톱 갈현타운점||||90706
미니스톱|홍대그린점|||미니스톱|1577-9621|서울 마포구 잔다리로 12||||||||미니스톱 홍대그린점||||90706
미니스톱|사당고운점|||미니스톱|1577-9621|서울 관악구 과천대로 951||||||||미니스톱 사당고운점||||90706
미니스톱|교대학사점|||미니스톱|1577-9621|서울 서초구 서초대로52길 38||소프트크림||||||미니스톱 교대학사점|크란츠빌딩 1층|||90706
미니스톱|한강여의나루점|||미니스톱|1577-9621|서울 영등포구 여의동로 330||||||||미니스톱 한강여의나루점||||90706
미니스톱|솔밭공원점|||미니스톱|1577-9621|서울 강북구 삼양로 531||소프트크림||||||미니스톱 솔밭공원점||||90706
미니스톱|화곡명월점|||미니스톱|1577-9621|서울 강서구 곰달래로 104||소프트크림||||||미니스톱 화곡명월점||||90706
미니스톱|독산로하스점|||미니스톱|1577-9621|서울 금천구 남부순환로124길 17||소프트크림||||||미니스톱 독산로하스점||||90706
미니스톱|한강견우점|||미니스톱|1577-9621|서울 용산구 양녕로 496||||||||미니스톱 한강견우점||||90706
미니스톱|우리동네점|||미니스톱|1577-9621|서울 강서구 강서로7길 89||소프트크림||||||미니스톱 우리동네점||||90706
미니스톱|송파신승점|||미니스톱|1577-9621|서울 송파구 마천로25길 6-14||소프트크림||||||미니스톱 송파신승점||||90706
미니스톱|마천공원점|||미니스톱|1577-9621|서울 송파구 성내천로23길 2||소프트크림||||||미니스톱 마천공원점||||90706
미니스톱|불광역점|||미니스톱|1577-9621|서울 은평구 통일로65길 5||소프트크림||||||미니스톱 불광역점||||90706
미니스톱|한강잠원2점|||미니스톱|1577-9621|서울 강남구 압구정로11길 37-30||||||||미니스톱 한강잠원2점||||90706
미니스톱|한강광나루1점|||미니스톱|1577-9621||서울 강동구 천호동 483-1|||||||미니스톱 한강광나루1점||||90706
미니스톱|구로중앙점|||미니스톱|1577-9621|서울 구로구 신도림로11라길 31||소프트크림||||||미니스톱 구로중앙점||||90706
미니스톱|신대방삼거리역점|||미니스톱|1577-9621|서울 동작구 상도로 56||소프트크림||||||미니스톱 신대방삼거리역점||||90706
미니스톱|수유포엠빌점|||미니스톱|1577-9621|서울 강북구 한천로139가길 26||소프트크림||||||미니스톱 수유포엠빌점||||90706
미니스톱|성수성덕점|||미니스톱|1577-9621|서울 성동구 성덕정길 84||소프트크림||||||미니스톱 성수성덕점||||90706
미니스톱|광진구청점|||미니스톱|1577-9621|서울 광진구 자양로 109||소프트크림||||||미니스톱 광진구청점|현대홈시티 108호,109호|||90706
미니스톱|암사보은점|||미니스톱|1577-9621|서울 강동구 고덕로28길 10-7||소프트크림||||||미니스톱 암사보은점||||90706
미니스톱|천호중앙점|||미니스톱|1577-9621|서울 강동구 천중로15나길 7||소프트크림||||||미니스톱 천호중앙점||||90706
미니스톱|상암월드시티점|||미니스톱|1577-9621|서울 마포구 월드컵로34길 13||소프트크림||||||미니스톱 상암월드시티점|101,102호|||90706
미니스톱|상암미르웰점|||미니스톱|1577-9621|서울 마포구 모래내로3길 11||소프트크림||||||미니스톱 상암미르웰점|101호|||90706
미니스톱|강서공항점|||미니스톱|1577-9621|서울 강서구 공항대로8길 55||소프트크림||||||미니스톱 강서공항점||||90706
미니스톱|중앙대후문점|||미니스톱|1577-9621|서울 동작구 흑석로 13||소프트크림||||||미니스톱 중앙대후문점||||90706
미니스톱|역촌행운점|||미니스톱|1577-9621|서울 은평구 역말로 20||소프트크림||||||미니스톱 역촌행운점||||90706
미니스톱|공릉타운점|||미니스톱|1577-9621|서울 노원구 공릉로41가길 2||소프트크림||||||미니스톱 공릉타운점||||90706
미니스톱|신림희망점|||미니스톱|1577-9621|서울 관악구 대학길 65||소프트크림||||||미니스톱 신림희망점||||90706
미니스톱|강동명일점|||미니스톱|1577-9621|서울 강동구 양재대로134길 43||소프트크림||||||미니스톱 강동명일점|1층|||90706
미니스톱|종로삼일점|||미니스톱|1577-9621|서울 종로구 종로14길 32||소프트크림||||||미니스톱 종로삼일점|1층|||90706
미니스톱|북아현푸르지오점|||미니스톱|1577-9621|서울 서대문구 북아현로1길 50||소프트크림||||||미니스톱 북아현푸르지오점|제상가2동 208,209,210호|||90706
미니스톱|구로대림점|||미니스톱|1577-9621|서울 구로구 도림로 107||소프트크림||||||미니스톱 구로대림점|상가 102호,103호|||90706
미니스톱|방배센터점|||미니스톱|02-588-2354|서울 서초구 방배로4길 10-3||소프트크림||||||미니스톱 방배센터점||||90706
미니스톱|성북종암점|||미니스톱|1577-9621|서울 성북구 종암로10길 11||||||||미니스톱 성북종암점||||90706
미니스톱|성신여대입구역점|||미니스톱|1577-9621|서울 성북구 동소문로23길 7||소프트크림||||||미니스톱 성신여대입구역점||||90706
미니스톱|도곡드림점|||미니스톱|1577-9621|서울 강남구 논현로38길 22||소프트크림||||||미니스톱 도곡드림점||||90706
미니스톱|건대현대점|||미니스톱|1577-9621|서울 광진구 아차산로21길 47||소프트크림||||||미니스톱 건대현대점||||90706
미니스톱|송파문정역점|||미니스톱|1577-9621|서울 송파구 법원로 114||소프트크림||||||미니스톱 송파문정역점|E동-B178호|||90706
미니스톱|신림주공점|||미니스톱|1577-9621|서울 관악구 광신길 210||소프트크림||||||미니스톱 신림주공점||||90706
미니스톱|한양대공학관점|||미니스톱|1577-9621|서울 성동구 왕십리로 222||소프트크림||||||미니스톱 한양대공학관점|한양대학교 신소재공학관 지하1층|||90706
미니스톱|대림중앙점|||미니스톱|1577-9621|서울 영등포구 대림로44길 5||||||||미니스톱 대림중앙점||||90706
미니스톱|서울희망점|||미니스톱|1577-9621|서울 강서구 방화대로6길 33||소프트크림||||||미니스톱 서울희망점||||90706
미니스톱|신당현대점|||미니스톱|1577-9621|서울 중구 다산로36길 97||소프트크림||||||미니스톱 신당현대점||||90706
미니스톱|사당오거리점|||미니스톱|1577-9621|서울 동작구 사당로20길 42||소프트크림||||||미니스톱 사당오거리점||||90706
미니스톱|송파마천점|||미니스톱|1577-9621|서울 송파구 마천로51길 8||||||||미니스톱 송파마천점||||90706
미니스톱|강서드림점|||미니스톱|1577-9621|서울 강서구 화곡로 330||소프트크림||||||미니스톱 강서드림점||||90706
미니스톱|한양스퀘어점|||미니스톱|1577-9621|서울 성동구 살곶이길 200||소프트크림||||||미니스톱 한양스퀘어점|한양여자대학교 행원스퀘어 지하1층|||90706
미니스톱|한양대학사점|||미니스톱|1577-9621|서울 성동구 마조로11길 19||소프트크림||||||미니스톱 한양대학사점||||90706
미니스톱|금천가온점|||미니스톱|1577-9621|서울 금천구 독산로35길 13||소프트크림||||||미니스톱 금천가온점||||90706
미니스톱|구일역점|||미니스톱|1577-9621|서울 구로구 구일로10길 49||소프트크림||||||미니스톱 구일역점|102-2호|||90706
미니스톱|자양광양점|||미니스톱|1577-9621|서울 광진구 자양로3가길 36||소프트크림||||||미니스톱 자양광양점||||90706
미니스톱|먹골역점|||미니스톱|1577-9621|서울 중랑구 동일로157길 32||소프트크림||||||미니스톱 먹골역점||||90706
미니스톱|광운스퀘어점|||미니스톱|1577-9621|서울 노원구 광운로 20||소프트크림||||||미니스톱 광운스퀘어점|광운대학교 80주년 기념관 지하1층|||90706
미니스톱|장안삼거리점|||미니스톱|1577-9621|서울 동대문구 사가정로 230||소프트크림||||||미니스톱 장안삼거리점|(장안동 286-1)|||90706
미니스톱|당산학사점|||미니스톱|1577-9621|서울 영등포구 버드나루로23길 9||소프트크림||||||미니스톱 당산학사점||||90706
미니스톱|서초평화점|||미니스톱|1577-9621|서울 서초구 반포대로10길 21||소프트크림||||||미니스톱 서초평화점||||90706
미니스톱|가산캐슬점|||미니스톱|1577-9621|서울 금천구 가산디지털2로 98||소프트크림||||||미니스톱 가산캐슬점|IT캐슬 2동 113호|||90706
미니스톱|마곡미르웰점|||미니스톱|1577-9621|서울 강서구 강서로 455||||||||미니스톱 마곡미르웰점|경동미르웰 102동 102호 (784-2)|||90706
미니스톱|강서등촌점|||미니스톱|1577-9621|서울 강서구 양천로 606||소프트크림||||||미니스톱 강서등촌점||||90706
미니스톱|양재그린점|||미니스톱|1577-9621|서울 서초구 강남대로18길 11||||||||미니스톱 양재그린점||||90706
미니스톱|인왕산파크점|||미니스톱|1577-9621|서울 종로구 통일로16길 8-3||||||||미니스톱 인왕산파크점||||90706
미니스톱|신정대림점|||미니스톱|1577-9621|서울 양천구 신목로5길 6-4||소프트크림||||||미니스톱 신정대림점||||90706
미니스톱|암사상암로점|||미니스톱|1577-9621|서울 강동구 상암로4길 10||소프트크림||||||미니스톱 암사상암로점|1층 1,2,3호|||90706
미니스톱|국도호텔점|||미니스톱|02-6466-1011|서울 중구 을지로 164||소프트크림||||||미니스톱 국도호텔점|베스트웨스턴호텔국도 1층|||90706
미니스톱|아차산새길점|||미니스톱|1577-9621|서울 광진구 자양로53길 70||소프트크림||||||미니스톱 아차산새길점||||90706
미니스톱|남성사당로점|||미니스톱|1577-9621|서울 동작구 사당로 193||소프트크림||||||미니스톱 남성사당로점||||90706
미니스톱|강남신사점|||미니스톱|1577-9621|서울 강남구 도산대로1길 20||소프트크림||||||미니스톱 강남신사점|1층|||90706
미니스톱|은평우물골점|||미니스톱|1577-9621|서울 은평구 진관2로 57-7||||||||미니스톱 은평우물골점|은평뉴타운 우물골마을 253동 상가 B109호|||90706
미니스톱|신아차산입구점|||미니스톱|1577-9621|서울 광진구 영화사로3가길 25||||||||미니스톱 신아차산입구점||||90706
미니스톱|보문파크점|||미니스톱|1577-9621|서울 성북구 보문로13길 24||||||||미니스톱 보문파크점||||90706
미니스톱|홍대잔다리점|||미니스톱|1577-9621|서울 마포구 잔다리로6길 23||||||||미니스톱 홍대잔다리점|1층|||90706
미니스톱|은평신성점|||미니스톱|1577-9621|서울 은평구 증산로15길 69||소프트크림||||||미니스톱 은평신성점||||90706
미니스톱|서래나루점|||미니스톱|02-2258-9066|서울 서초구 신반포로11길 40||||||||미니스톱 서래나루점|반포한강도선장 내|||90706
미니스톱|가락대림점|||미니스톱|1577-9621|서울 송파구 송이로14길 9||소프트크림||||||미니스톱 가락대림점|1층 101호|||90706
미니스톱|명지대점|||미니스톱|1577-9621|서울 서대문구 거북골로 9||||||||미니스톱 명지대점||||90706
미니스톱|아차산르블랑점|||미니스톱|1577-9621|서울 광진구 천호대로127길 13||||||||미니스톱 아차산르블랑점||||90706
미니스톱|가산타운점|||미니스톱|1577-9621|서울 금천구 가산디지털1로 25||소프트크림||||||미니스톱 가산타운점|102호|||90706
미니스톱|세종문화회관점|||미니스톱|1577-9621|서울 종로구 새문안로5가길 3-1||소프트크림||||||미니스톱 세종문화회관점||||90706
미니스톱|충정로삼창점|||미니스톱|1577-9621|서울 서대문구 충정로 13||||||||미니스톱 충정로삼창점|삼창빌딩 B1 9호|||90706
미니스톱|동작휴엔하임점|||미니스톱|1577-9621|서울 동작구 상도로15길 131||소프트크림||||||미니스톱 동작휴엔하임점|(비 102호,비 103호)|||90706
미니스톱|금천에이스점|||미니스톱|1577-9621|서울 금천구 가산디지털1로 30||소프트크림||||||미니스톱 금천에이스점||||90706
미니스톱|동부센터점|||미니스톱|02-446-3002|서울 광진구 능동로 268||소프트크림||||||미니스톱 동부센터점||||90706
미니스톱|강서우장산점|||미니스톱|1577-9621|서울 강서구 강서로48길 47||소프트크림||||||미니스톱 강서우장산점|1층|||90706
미니스톱|M아현역점|||미니스톱|1577-9621|서울 마포구 신촌로 지하270||||||||미니스톱 M아현역점|아현역사 내 7,8호|||90706
미니스톱|홍익대기숙사점|||미니스톱|02-320-2450|서울 마포구 와우산로 94||소프트크림||||||미니스톱 홍익대기숙사점|(상수동) 홍익대학교 서울캠퍼스 제2기숙사|||90706
미니스톱|불암아이파크점|||미니스톱|1577-9621|서울 노원구 덕릉로118길 29||소프트크림||||||미니스톱 불암아이파크점|불암현대아파트 상가 210호|||90706
미니스톱|삼각산SK점|||미니스톱|1577-9621|서울 강북구 삼양로19길 214||||||||미니스톱 삼각산SK점|금강빌딩 1층|||90706
미니스톱|양재에이스점|||미니스톱|1577-9621|서울 서초구 남부순환로354길 14||||||||미니스톱 양재에이스점|1층|||90706
미니스톱|뚝섬유원지점|||미니스톱|1577-9621|서울 광진구 능동로4길 17||||||||미니스톱 뚝섬유원지점||||90706
미니스톱|송파거여점|||미니스톱|1577-9621|서울 송파구 오금로56길 16||소프트크림||||||미니스톱 송파거여점|1층 101호|||90706
미니스톱|서초가야점|||미니스톱|1577-9621|서울 서초구 반포대로22길 73||소프트크림||||||미니스톱 서초가야점||||90706
미니스톱|목동로점|||미니스톱|1577-9621|서울 양천구 목동로21길 1||소프트크림||||||미니스톱 목동로점|1층|||90706
미니스톱|오류북부점|||미니스톱|1577-9621|서울 구로구 고척로1길 23||소프트크림||||||미니스톱 오류북부점||||90706
미니스톱|신이문역점|||미니스톱|1577-9621|서울 동대문구 한천로 479||소프트크림||||||미니스톱 신이문역점|1층|||90706
미니스톱|상계당현점|||미니스톱|1577-9621|서울 노원구 동일로213길 77||||||||미니스톱 상계당현점|상가동 101호,102호,103호|||90706
미니스톱|구산씨앤빌점|||미니스톱|1577-9621|서울 은평구 갈현로 141||||||||미니스톱 구산씨앤빌점||||90706
미니스톱|수유센터점|||미니스톱|02-998-3780|서울 강북구 인수봉로77길 22||소프트크림||||||미니스톱 수유센터점||||90706
미니스톱|약수역점|||미니스톱|02-2253-6270|서울 중구 다산로 110||소프트크림||||||미니스톱 약수역점||||90706
미니스톱|서교3점|||미니스톱|02-322-4072|서울 마포구 홍익로5길 36||||||||미니스톱 서교3점||||90706
미니스톱|방배홈타운점|||미니스톱|02-594-3842|서울 서초구 동광로 9||소프트크림||||||미니스톱 방배홈타운점||||90706
미니스톱|구로구청점|||미니스톱|02-859-1390|서울 구로구 가마산로22길 9||||||||미니스톱 구로구청점||||90706
미니스톱|신림신사점|||미니스톱|1577-9621|서울 관악구 난곡로78길 26||소프트크림||||||미니스톱 신림신사점|(신림동)|||90706
미니스톱|신사증권점|||미니스톱|1577-9621|서울 강남구 압구정로30길 18||소프트크림||||||미니스톱 신사증권점|1층|||90706
미니스톱|안암역점|||미니스톱|02-929-2980|서울 성북구 인촌로 95||||||||미니스톱 안암역점||||90706
미니스톱|서초반포점|||미니스톱|02-546-6231|서울 서초구 사평대로57길 44||소프트크림||||||미니스톱 서초반포점||||90706
미니스톱|공항입구점|||미니스톱|1577-9621|서울 강서구 공항대로 23||||||||미니스톱 공항입구점||||90706
미니스톱|관악정옥점|||미니스톱|02-876-2010|서울 관악구 관악로15길 39||소프트크림||||||미니스톱 관악정옥점||||90706
미니스톱|역삼진미점|||미니스톱|1577-9621|서울 강남구 테헤란로25길 17||||||||미니스톱 역삼진미점|1층|||90706
미니스톱|사당점|||미니스톱|1577-9621|서울 동작구 동작대로7길 12||소프트크림||||||미니스톱 사당점||||90706
미니스톱|신사제일점|||미니스톱|1577-9621|서울 강남구 논현로 808||||||||미니스톱 신사제일점|선호빌딩|||90706
미니스톱|마들스타점|||미니스톱|1577-9621|서울 노원구 한글비석로 530||소프트크림||||||미니스톱 마들스타점|유치원상가 103,104호|||90706
미니스톱|서초이오빌|||미니스톱|02-581-8904|서울 서초구 효령로53길 45||소프트크림||||||미니스톱 서초이오빌||||90706
미니스톱|도곡공원점|||미니스톱|02-529-3638|서울 강남구 도곡로4길 5||소프트크림||||||미니스톱 도곡공원점||||90706
미니스톱|종로효제점|||미니스톱|02-766-7498|서울 종로구 종로39길 40||소프트크림||||||미니스톱 종로효제점||||90706
미니스톱|비즈메트로점|||미니스톱|02-6957-1499|서울 강서구 양천로 551-17||소프트크림||||||미니스톱 비즈메트로점||||90706
미니스톱|당산포스빌점|||미니스톱|1577-9621|서울 영등포구 양평로 67||소프트크림||||||미니스톱 당산포스빌점|(당산동5가) 당산한강포스빌 105호|||90706
미니스톱|양재점|||미니스톱|1577-9621|서울 서초구 마방로10길 22||소프트크림||||||미니스톱 양재점||||90706
미니스톱|목동성원점|||미니스톱|1577-9621|서울 양천구 목동중앙남로 100||소프트크림||||||미니스톱 목동성원점|상가 111호|||90706
미니스톱|신대방역점|||미니스톱|1577-9621|서울 관악구 난곡로 348||소프트크림||||||미니스톱 신대방역점|1층|||90706
미니스톱|연대점|||미니스톱|02-365-1797|서울 서대문구 연세로4길 12||||||||미니스톱 연대점||||90706
미니스톱|수유사랑점|||미니스톱|1577-9621|서울 강북구 오패산로77길 17||||||||미니스톱 수유사랑점|(번동)|||90706
미니스톱|종로충신점|||미니스톱|1577-9621|서울특별시 종로구 율곡로 235||소프트크림||||||미니스톱 종로충신점||||90706
미니스톱|방배현대점|||미니스톱|02-587-2683|서울 서초구 방배로 57||소프트크림||||||미니스톱 방배현대점||||90706
미니스톱|방배무지개점|||미니스톱|02-598-9941|서울 서초구 효령로2길 26||소프트크림||||||미니스톱 방배무지개점||||90706
미니스톱|신림본점|||미니스톱|02-873-2131|서울 관악구 신림로 270||소프트크림||||||미니스톱 신림본점||||90706
미니스톱|서교2점|||미니스톱|1577-9621|서울 마포구 월드컵북로5길 29||소프트크림||||||미니스톱 서교2점||||90706
미니스톱|신월우창점|||미니스톱|1577-9621|서울 양천구 신월로17길 21||소프트크림||||||미니스톱 신월우창점||||90706
미니스톱|오류역점|||미니스톱|1577-9621|서울 구로구 경인로20길 8||소프트크림||||||미니스톱 오류역점|1층|||90706
미니스톱|서강대점|||미니스톱|1577-9621|서울 마포구 백범로 35||소프트크림||||||미니스톱 서강대점|(신수동)|||90706
미니스톱|명동세종점|||미니스톱|1577-9621|서울 중구 퇴계로 141||소프트크림||||||미니스톱 명동세종점||||90706
미니스톱|동작대방점|||미니스톱|1577-9621|서울 동작구 알마타길 37||소프트크림||||||미니스톱 동작대방점|(대방동 508 상가동 204)|||90706
미니스톱|신림푸리마점|||미니스톱|1577-9621|서울 관악구 남부순환로 1590-11||소프트크림||||||미니스톱 신림푸리마점||||90706
미니스톱|서초남부점|||미니스톱|02-581-8904|서울 서초구 남부순환로323길 38-17||소프트크림||||||미니스톱 서초남부점||||90706
미니스톱|보라매점|||미니스톱|1577-9621|서울 관악구 봉천로 214||소프트크림||||||미니스톱 보라매점||||90706
미니스톱|원효로점|||미니스톱|02-711-3073|서울 용산구 원효로53길 8||소프트크림||||||미니스톱 원효로점||||90706
미니스톱|용산시티점|||미니스톱|02-3785-1175|서울 용산구 서빙고로 35||소프트크림||||||미니스톱 용산시티점||||90706
미니스톱|은평푸르지오점|||미니스톱|02-352-3440|서울 은평구 연서로48길 12||소프트크림||||||미니스톱 은평푸르지오점|513동 상가 1층 103호|||90706
미니스톱|노량진점|||미니스톱|1577-9621|서울 동작구 노량진로 196||소프트크림||||||미니스톱 노량진점|JH빌딩|||90706
미니스톱|목동역점|||미니스톱|02-2693-6911|서울 양천구 신정중앙로 88||소프트크림||||||미니스톱 목동역점||||90706
미니스톱|청담누리점|||미니스톱|02-512-8266|서울 강남구 도산대로57길 7||||||||미니스톱 청담누리점||||90706
미니스톱|국기원점|||미니스톱|1577-9621|서울 강남구 테헤란로7길 22||||||||미니스톱 국기원점||||90706
미니스톱|압구정5점|||미니스톱|02-3442-5310|서울 강남구 도산대로49길 18||||||||미니스톱 압구정5점||||90706
미니스톱|역삼태극점|||미니스톱|02-556-0541|서울 강남구 강남대로78길 8||||||||미니스톱 역삼태극점|한국빌딩1층|||90706
미니스톱|마포센터점|||미니스톱|1577-9621|서울 마포구 새창로 7||소프트크림||||||미니스톱 마포센터점|1층|||90706
미니스톱|독산진도점|||미니스톱|1577-9621|서울 금천구 두산로 36||소프트크림||||||미니스톱 독산진도점|102,103호|||90706
미니스톱|망원현대점|||미니스톱|1577-9621|서울 마포구 희우정로20길 54||||||||미니스톱 망원현대점|(망원동409-41)|||90706
미니스톱|동교스텔라점|||미니스톱|1577-9621|서울 마포구 월드컵북로 20||소프트크림||||||미니스톱 동교스텔라점||||90706
미니스톱|독산지식센터점|||미니스톱|1577-9621|서울 금천구 두산로 70||소프트크림||||||미니스톱 독산지식센터점|현대지식센터 A동|||90706
미니스톱|여의IFC점|||미니스톱|02-785-7956|서울 영등포구 국제금융로2길 7||소프트크림||||||미니스톱 여의IFC점||||90706
미니스톱|청계센터점|||미니스톱|02-739-8442|서울특별시 종로구 청계천로 61||소프트크림||||||미니스톱 청계센터점||||90706
미니스톱|길동승리점|||미니스톱|1577-9621|서울 강동구 천중로40길 46||소프트크림||||||미니스톱 길동승리점|(길동한솔빌라트 105호)|||90706
미니스톱|대방점|||미니스톱|02-823-8148|서울 동작구 상도로 69||소프트크림||||||미니스톱 대방점||||90706
미니스톱|역삼타워점|||미니스톱|02-501-5102|서울 강남구 강남대로84길 16||소프트크림||||||미니스톱 역삼타워점||||90706
미니스톱|천호현대점|||미니스톱|1577-9621|서울 강동구 올림픽로70길 39||소프트크림||||||미니스톱 천호현대점||||90706
미니스톱|방배본점|||미니스톱|02-581-2209|서울 서초구 효령로 18||소프트크림||||||미니스톱 방배본점||||90706
미니스톱|강남센터점|||미니스톱|02-501-0526|서울 강남구 강남대로96길 5||소프트크림||||||미니스톱 강남센터점||||90706
미니스톱|사당역점|||미니스톱|02-586-2834|서울 서초구 방배천로 5-3||소프트크림||||||미니스톱 사당역점||||90706
미니스톱|올림픽공원점|||미니스톱|02-412-0742|서울 송파구 올림픽로 424||소프트크림||||||미니스톱 올림픽공원점|올림픽공원 내 평화의광장|||90706
미니스톱|동부이촌점|||미니스톱|02-749-1371|서울 용산구 이촌로 303||소프트크림||||||미니스톱 동부이촌점|현대A 21동 제104-나호,제105-가호|||90706
미니스톱|장위중앙점|||미니스톱|1577-9621|서울특별시 성북구 장위로 38||||||||미니스톱 장위중앙점||||90706
미니스톱|밤섬자이행복점|||미니스톱|02-337-1444|서울 마포구 토정로 149||||||||미니스톱 밤섬자이행복점||||90706
미니스톱|홍대입구역점|||미니스톱|02-3421-3504|서울특별시 마포구 월드컵북로2길 29||||||||미니스톱 홍대입구역점||||90706
미니스톱|봉천역점|||미니스톱|02-875-8850|서울 관악구 남부순환로 1715||소프트크림||||||미니스톱 봉천역점||||90706
미니스톱|성수2가점|||미니스톱|1577-9621|서울 성동구 광나루로 238||소프트크림||||||미니스톱 성수2가점||||90706
미니스톱|도봉방학점|||미니스톱|1577-9621|서울 도봉구 도당로13길 38||소프트크림||||||미니스톱 도봉방학점||||90706
미니스톱|신림양지점|||미니스톱|1577-9621|서울 관악구 신림로68길 10||||||||미니스톱 신림양지점||||90706
미니스톱|천왕역점|||미니스톱|1577-9621|서울 구로구 오리로 1154-7||소프트크림||||||미니스톱 천왕역점||||90706
미니스톱|대치시내점|||미니스톱|1577-9621|서울 강남구 도곡로77길 7||||||||미니스톱 대치시내점||||90706
미니스톱|고대사이언스점|||미니스톱|02-921-4870|서울 성북구 안암로 145||소프트크림||||||미니스톱 고대사이언스점|고려대학교 자연과학대 하나스퀘어 지하1층|||90706
미니스톱|고대경영관점|||미니스톱|1577-9621|서울 성북구 안암로 145||소프트크림||||||미니스톱 고대경영관점|고려대학교 경영관 (현대자동차)|||90706
미니스톱|역삼성지점|||미니스톱|02-539-1204|서울 강남구 테헤란로43길 10||||||||미니스톱 역삼성지점||||90706
미니스톱|역삼충현점|||미니스톱|02-565-4966|서울 강남구 봉은사로30길 28||||||||미니스톱 역삼충현점||||90706
미니스톱|삼전점|||미니스톱|1577-9621|서울 송파구 백제고분로22길 9||||||||미니스톱 삼전점||||90706
미니스톱|충무로역점|||미니스톱|1577-9621|서울특별시 중구 퇴계로 189||||||||미니스톱 충무로역점|1층 101호|||90706
미니스톱|서교동명점|||미니스톱|1577-9621|서울 마포구 월드컵로10길 28||||||||미니스톱 서교동명점||||90706
미니스톱|쌍문역점|||미니스톱|02-996-6963|서울 도봉구 도봉로 476||||||||미니스톱 쌍문역점||||90706
