##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@복지서비스
강릉지역자활센터||128.88735742850847|37.75590692863559|복지서비스|033-6424100|강원도 강릉시 명주로 69||사회복지시설||||||강릉지역자활센터|(교동)|||200100
장애인심부름센터||128.88493201085097|37.745103192926294|복지서비스|033-6418288|강원도 강릉시 범일로 664||사회복지시설||||||장애인심부름센터|(내곡동)|||200100
갈바리노인복지센터||128.8887711707707|37.7556392432483|복지서비스|033-6443477|강원도 강릉시 임영로163번길 24-8||사회복지시설||||||갈바리노인복지센터|홍제동|||200100
임영요양원||128.8906252958|37.7532384847|복지서비스|033-6463040|강원도 강릉시 임영로141번길 16||사회복지시설||||||임영요양원|(용강동)|||200100
내아이힐링발달센터||128.8682327682|37.7418558478|복지서비스|033-6472410|강원도 강릉시 회산로383번길 7||사회서비스제공기관||||||내아이힐링발달센터|(회산동)|||200100
강릉장애인자립생활센터||128.8911252194|37.7529097612|복지서비스|033-6550157|강원도 강릉시 임영로131번길 12||사회서비스제공기관||||||강릉장애인자립생활센터|1층 (용강동,KT 서강릉사옥)|||200100
강릉자립생활지원센터||128.8911252194372|37.75290976120486|복지서비스|033-6550157|강원도 강릉시 임영로131번길 12||사회복지시설||||||강릉자립생활지원센터|KT서강릉사옥 1층용강동|||200100
소망아동센터||128.88906066838786|37.745786575515574|복지서비스|033-6425370|강원도 강릉시 남산초교길12번길 12||사회복지시설||||||소망아동센터|(내곡동)|||200100
푸른내곡/노인요양공동생활가정||128.88070514477195|37.739102635749134|복지서비스|033-6441814||강원도 강릉시 내곡동 192|사회복지시설||||||푸른내곡 노인요양공동생활가정||||200100
이화밴더빌트아동청소년발달연구소||128.8933638785|37.752603554|복지서비스|033-6477573|강원도 강릉시 임영로 124||사회서비스제공기관||||||이화밴더빌트아동청소년발달연구소|(성내동)|||200100
큰사랑/요양원||128.8933152841404|37.75212148294274|복지서비스|033-6558552||강원도 강릉시 성내동 22|사회복지시설||||||큰사랑 요양원|1호|||200100
갈바리노인요양원||128.8596220094888|37.75769563852316|복지서비스|033-6443474||강원도 강릉시 홍제동 611|사회복지시설||||||갈바리노인요양원||||200100
로뎀나무/언어치료센터||128.8758336648|37.7666668817|복지서비스|033-6421275|강원도 강릉시 하슬라로192번길 4||사회서비스제공기관||||||로뎀나무 언어치료센터|4층 (교동)|||200100
가톨릭관동대학교/산학협력단||128.8737044866|37.7373295895|복지서비스|033-6497985|강원도 강릉시 범일로579번길 24||사회서비스제공기관||||||가톨릭관동대학교 산학협력단|(내곡동)|||200100
솔올아동센터||128.8824119901268|37.76778349251535|복지서비스|033-6449179|강원도 강릉시 원대로 147||사회복지시설||||||솔올아동센터|(교동)|||200100
서울심리상담클리닉||128.8760137766|37.7687647803|복지서비스|033-6441151|강원도 강릉시 하슬라로206번길 3-9||사회서비스제공기관||||||서울심리상담클리닉|(교동)|||200100
강릉시여자단기청소년쉼터||128.89726939771438|37.75412621000784|복지서비스|033-6551424|강원도 강릉시 금성로 28-2||사회복지시설||||||강릉시여자단기청소년쉼터|2층 (금학동)|||200100
기쁨가득협동조합||128.8975368859|37.7534048316|복지서비스|010-52489669|강원도 강릉시 금성로31번길 3||사회서비스제공기관||||||기쁨가득협동조합|(성남동)|||200100
강릉시립복지원||128.88744338957835|37.73696258778945|복지서비스|033-6487824|강원도 강릉시 진재골길 12-14||사회복지시설||||||강릉시립복지원|(내곡동)|||200100
행복마을||128.8989158647025|37.74947295739693|복지서비스|033-6453004||강원도 강릉시 노암동 279-9|사회복지시설||||||행복마을||||200100
강릉부모사랑Ⅱ||128.8611968509868|37.73794940615241|복지서비스|033-6466565|강원도 강릉시 회산로339번길 41||사회복지시설||||||강릉부모사랑Ⅱ|회산동|||200100
사랑채움노인장기요양센터||128.8911674939|37.7379910992|복지서비스|033-6418882|강원도 강릉시 진재골길29번길 27-17||사회서비스제공기관||||||사랑채움노인장기요양센터|(노암동)|||200100
사랑의뜰안/요양원||128.89103301822777|37.76639865487445|복지서비스|033-6483476||강원도 강릉시 교동 707|사회복지시설||||||사랑의뜰안 요양원|86호|||200100
강릉사랑의뜰안요양원||128.89100570278092|37.766395489979956|복지서비스|033-6483476|강원도 강릉시 율곡로2953번길 2-1||사회복지시설||||||강릉사랑의뜰안요양원|(교동)|||200100
경선효요양원||128.8984881411|37.757418073|복지서비스|033-6462779|강원도 강릉시 옥가로7번길 3||사회복지시설||||||경선효요양원|(옥천동)|||200100
강원동부노인보호전문기관||128.89186993706323|37.76628792657288|복지서비스|033-6551389|강원도 강릉시 율곡로 2954||사회복지시설||||||강원동부노인보호전문기관|(교동)|||200100
강릉치유재가장기요양기관||128.87649907392307|37.7716217314572|복지서비스|033-6477574|강원도 강릉시 경포로 20-1||노인장기요양시설||||||강릉치유재가장기요양기관|(교동)|||200100
강릉지역사회교육협의회||128.8998860722|37.7575973266|복지서비스|033-6463385|강원도 강릉시 경강로 2141||사회서비스제공기관||||||강릉지역사회교육협의회|(옥천동,현대자동차빌딩 4층)|||200100
권능아동센터||128.9000394702439|37.75773898738169|복지서비스|033-6434233|강원도 강릉시 경강로 2145-3||사회복지시설||||||권능아동센터|(옥천동)|||200100
엘림의집||128.90119530035338|37.749169548712786|복지서비스|033-6426275|강원도 강릉시 연화봉길 26||사회복지시설||||||엘림의집|노암동|||200100
더불어숲지역아동센터||128.9010532678899|37.747698061813296|복지서비스|033-6450406|강원도 강릉시 노암길 45||사회복지시설||||||더불어숲지역아동센터|(노암동,노가니복지센터 2층)|||200100
강릉시/정신보건센터||128.90015241465338|37.76020186784903|복지서비스|033-6519668|강원도 강릉시 옥가로 44||사회복지시설||||||강릉시 정신보건센터|옥천동|||200100
강릉시다문화가족지원센터||128.9002221066093|37.76044216921725|복지서비스|033-6483019|강원도 강릉시 옥가로 48||사회복지시설||||||강릉시다문화가족지원센터|(옥천동)|||200100
강릉비전센터||128.9013077049|37.7455823805|복지서비스|033-6480129|강원도 강릉시 남부로191번길 23||사회서비스제공기관||||||강릉비전센터|2층 (노암동)|||200100
강남아동센터||128.90161810603846|37.74636290632465|복지서비스|033-6455037|강원도 강릉시 노암길42번길 12-3||사회복지시설||||||강남아동센터|(노암동)|||200100
아이앤유케어|강원지점|128.8999636128|37.7618696673|복지서비스|033-6467368|강원도 강릉시 옥천로62번길 26||사회서비스제공기관||||||(주)아이앤유케어 강원지점|(교동)|||200100
한국장애인연맹강원DPI강릉지회||128.8999636128|37.7618696673|복지서비스|033-6417212|강원도 강릉시 옥천로62번길 26||사회서비스제공기관||||||사)한국장애인연맹강원DPI강릉지회|1층 (교동)|||200100
햇빛요양원||128.90280331702576|37.746217653884244|복지서비스|033-6426275|강원도 강릉시 남부로215번길 24||사회복지시설||||||햇빛요양원|(노암동)|||200100
더행복/주간보호센터||128.9018354433|37.7438622615|복지서비스|033-6449488||강원도 강릉시 노암동 391|사회복지시설||||||더행복 주간보호센터|3호|||200100
중앙아동발달센터||128.9049220277|37.757170085|복지서비스|033-6487585|강원도 강릉시 수문길 45||사회서비스제공기관||||||중앙아동발달센터|(옥천동)|||200100
늘푸른집||128.90567060170136|37.750614267427316|복지서비스|033-6437046|강원도 강릉시 율곡로 2733||사회복지시설||||||늘푸른집|103동 301호 (노암동,103)|||200100
은영노인요양시설||128.88653321907293|37.77437658684042|복지서비스|033-6557574|강원도 강릉시 경포로100번길 20-1||노인장기요양시설||||||은영노인요양시설|(교동)|||200100
봄빛아동센터||128.87291304420984|37.77594519272224|복지서비스|033-6410069|강원도 강릉시 지변길172번길 3||사회복지시설||||||봄빛아동센터|(지변동)|||200100
강릉아동청소년발달센터||128.9044225152|37.7605220818|복지서비스|033-6525756|강원도 강릉시 경강로 2192||사회서비스제공기관||||||강릉아동청소년발달센터|5층 (포남동,용지빌딩)|||200100
강릉시정신건강증진센터||128.9019182089|37.7649946736|복지서비스|033-6519668|강원도 강릉시 강릉대로313번길 6||사회복지시설||||||강릉시정신건강증진센터|1층 (포남동,동부도시보건지소)|||200100
나무와/새||128.89949782906075|37.76832359386368|복지서비스|033-6448271|강원도 강릉시 명륜로 95-7||사회복지시설||||||나무와 새|101동 10층 1001호 (교동,한신아파트)|||200100
강릉시수어통역센터||128.90580567575827|37.76136091801946|복지서비스|033-6420432|강원도 강릉시 용지각길 20||사회복지시설||||||강릉시수어통역센터|(포남동)|||200100
캔차일드발달센터||128.9058056758|37.761360918|복지서비스|033-6425275|강원도 강릉시 용지각길 20||사회서비스제공기관||||||캔차일드발달센터|2층 (포남동,성지빌딩)|||200100
양지뜰노인요양원||128.9033417546757|37.73800768012864|복지서비스|033-6429945||강원도 강릉시 유산동 588|사회복지시설||||||양지뜰노인요양원|4호|||200100
강릉언어치료실||128.8990289949|37.7712895114|복지서비스|033-6531656|강원도 강릉시 가작로 217-1||사회서비스제공기관||||||강릉언어치료실|2층 (교동)|||200100
강릉/YWCA||128.8998437678|37.7708439706|복지서비스|033-6512385||강원도 강릉시 교동 27|사회서비스제공기관||||||강릉 YWCA|(교동)|||200100
다솔요양원||128.8999520071|37.7328482964|복지서비스|033-6412852|강원도 강릉시 모산로 244||사회복지시설||||||다솔요양원|(장현동)|||200100
참만남/상담센터||128.9002733004|37.7713090824|복지서비스|033-6514976|강원도 강릉시 수리골길 5||사회서비스제공기관||||||참만남 상담센터|3층 (교동)|||200100
