##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@BHC치킨
BHC치킨앤비어|거제아주점|||BHC치킨|055-682-5545|경남 거제시 아주1로 96||맥주판매||||||BHC치킨앤비어 거제아주점|(아주동,1층)|||80615
BHC치킨|거제옥포점|||BHC치킨|055-687-9253|경남 거제시 옥포로 298||||||||BHC치킨 거제옥포점|(옥포동,덕산아파트상가)|||80615
BHC치킨|거제장승포점|||BHC치킨|055-681-9901||경남 거제시 능포동 711-1|||||||BHC치킨 거제장승포점||||80615
BHC치킨|거제지세포점|||BHC치킨|055-682-2244|경남 거제시 일운면 거제대로 2533||||||||BHC치킨 거제지세포점|(지세포리) 2호|||80615
BHC치킨앤비어|거창점|||BHC치킨|055-942-1713||경남 거창군 거창읍 상림리 854-3|맥주판매||||||BHC치킨앤비어 거창점||||80615
BHC치킨앤비어|건대입구역점|||BHC치킨|02-466-9209||서울 광진구 자양동 2-9|맥주판매||||||BHC치킨앤비어 건대입구역점|1층|||80615
BHC치킨앤비어|건양대점|||BHC치킨|041-736-7723|충남 논산시 중앙로 205||맥주판매||||||BHC치킨앤비어 건양대점|(내동)|||80615
BHC치킨앤비어|검단중앙점|||BHC치킨|032-569-8892|인천광역시 서구 검단로 528||맥주판매||||||BHC치킨앤비어 검단중앙점|(마전동,우드가구 할이마트)|||80615
BHC치킨|검암점|||BHC치킨|032-566-3341||인천 서구 검암동 630-1|||||||BHC치킨 검암점|삼보프라자102호|||80615
BHC치킨앤비어|경기대점|||BHC치킨|031-241-5892||경기 수원시 장안구 연무동 10|맥주판매||||||BHC치킨앤비어 경기대점||||80615
BHC치킨|경남고성점|||BHC치킨|055-674-0049||경남 고성군 고성읍 성내리 153-3|||||||BHC치킨 경남고성점||||80615
BHC치킨앤비어|경남산청점|||BHC치킨|055-972-8500||경남 산청군 산청읍 255-10|맥주판매||||||BHC치킨앤비어 경남산청점||||80615
BHC치킨앤비어|경남양산점|||BHC치킨|055-388-7999||경남 양산시 북정동 890-2|맥주판매||||||BHC치킨앤비어 경남양산점||||80615
BHC치킨앤비어|경남영산점|||BHC치킨|055-536-0085|경남 창녕군 영산면 연지길 16||맥주판매||||||BHC치킨앤비어 경남영산점||||80615
BHC치킨앤비어|경남의령점|||BHC치킨|055-573-9982|경남 의령군 의령읍 의병로 212-1||맥주판매||||||BHC치킨앤비어 경남의령점||||80615
BHC치킨|경남진영점|||BHC치킨|055-342-9775|경남 김해시 진영읍 장등로 58||||||||BHC치킨 경남진영점|(진영리) 1층|||80615
BHC치킨|경남창녕점|||BHC치킨|055-533-9285|경남 창녕군 창녕읍 종로 59||||||||BHC치킨 경남창녕점||||80615
BHC치킨|경남하동점|||BHC치킨|055-882-9229|경남 하동군 하동읍 경서대로 159||||||||BHC치킨 경남하동점|1층|||80615
BHC치킨|경남함안점|||BHC치킨|055-584-9982||경남 함안군 가야읍 말산리 517-1|||||||BHC치킨 경남함안점||||80615
BHC치킨앤비어|경북/영해점|||BHC치킨|054-732-9494|경북 영덕군 영해면 예주목은길 105||맥주판매||||||BHC치킨앤비어 경북/영해점||||80615
BHC치킨앤비어|경북봉화점|||BHC치킨|054-672-3434|경북 봉화군 봉화읍 내성로1길 50-1||맥주판매||||||BHC치킨앤비어 경북봉화점|(내성리) 1층|||80615
BHC치킨앤비어|경북상주점|||BHC치킨|054-536-9244||경북 상주시 신봉동 179-22|맥주판매||||||BHC치킨앤비어 경북상주점||||80615
BHC치킨|경북안계구천점|||BHC치킨|054-862-8989||경북 의성군 구천면 유산리 94-7|||||||BHC치킨 경북안계구천점||||80615
BHC치킨앤비어|경북영덕점|||BHC치킨|054-733-1414||경북 영덕군 영덕읍 우곡리 342-13|맥주판매||||||BHC치킨앤비어 경북영덕점||||80615
BHC치킨|경북영양점(2)|||BHC치킨|054-682-7979||경북 영양군 영양읍 서부리 219-2|||||||BHC치킨 경북영양점(2)||||80615
BHC치킨|경북예천점|||BHC치킨|054-654-0072|경북 예천군 예천읍 군청앞길 11||||||||BHC치킨 경북예천점||||80615
BHC치킨앤비어|경산신대부적점(2)|||BHC치킨|053-814-9599|경북 경산시 압량면 압독2로 28||맥주판매||||||BHC치킨앤비어 경산신대부적점(2)|(1층상가)|||80615
BHC치킨앤비어|경산영대점|||BHC치킨|053-814-9289|경북 경산시 둥지로 69||맥주판매||||||BHC치킨앤비어 경산영대점|1층 (임당동,이건빌딩)|||80615
BHC치킨앤비어|경산옥곡백천점(2)|||BHC치킨|053-801-5151||경북 경산시 옥곡동 823-4|맥주판매||||||BHC치킨앤비어 경산옥곡백천점(2)||||80615
BHC치킨앤비어|경산옥산정평점|||BHC치킨|053-816-3378||경북 경산시 옥산동 734-7|맥주판매||||||BHC치킨앤비어 경산옥산정평점||||80615
BHC치킨앤비어|경산중방점|||BHC치킨|053-814-8586||경북 경산시 중방동 826-1|맥주판매||||||BHC치킨앤비어 경산중방점||||80615
BHC치킨|경산중산사월점|||BHC치킨|053-811-2991||경북 경산시 중산동 624|||||||BHC치킨 경산중산사월점|111동 101호|||80615
BHC치킨|경산진량대구대점|||BHC치킨|053-852-9852|경북 경산시 진량읍 낙산길 14||||||||BHC치킨 경산진량대구대점||||80615
BHC치킨앤비어|경산하양점|||BHC치킨|053-852-2098|경북 경산시 하양읍 하양로37길 19||맥주판매||||||BHC치킨앤비어 경산하양점|(동서리,하양2차코아루) 코아루2차상가 bhc|||80615
BHC치킨앤비어|경안점|||BHC치킨|031-764-9951|경기도 광주시 벌원길 66||맥주판매||||||BHC치킨앤비어 경안점|(탄벌동)|||80615
BHC치킨|경주금장점|||BHC치킨|054-743-9966||경북 경주시 현곡면 금장리 439|||||||BHC치킨 경주금장점|103호|||80615
BHC치킨|경주동방도지점|||BHC치킨|054-775-6606|경북 경주시 동방동 동방북길 27||||||||BHC치킨 경주동방도지점||||80615
BHC치킨|경주동천점|||BHC치킨|054-776-2099|경북 경주시 백률로57번길 15||||||||BHC치킨 경주동천점|(동천동)|||80615
BHC치킨|경주불국점|||BHC치킨|0547751788|경북 경주시 천사1길 20||||||||BHC치킨 경주불국점|(구정동)|||80615
BHC치킨|경주성건서부점|||BHC치킨|054-775-8292|경북 경주시 금성로247번길 3||||||||BHC치킨 경주성건서부점|(노서동)|||80615
BHC치킨|경주외동점|||BHC치킨|054-746-9986|경북 경주시 외동읍 산업로 2428||||||||BHC치킨 경주외동점||||80615
BHC치킨|경주용강행복점|||BHC치킨|054-777-3536||경북 경주시 용강동 1284-6|||||||BHC치킨 경주용강행복점||||80615
BHC치킨|경주충효점|||BHC치킨|054-773-9982||경북 경주시 충효동 2957|||||||BHC치킨 경주충효점|경동하이츠5차 1층 제3호상가|||80615
BHC치킨|경주황성점|||BHC치킨|054-776-1717||경북 경주시 황성동 551-7|||||||BHC치킨 경주황성점|청우아파트 3차 상가건물 312-102|||80615
BHC치킨|계남공원점|||BHC치킨|02-2689-7979||서울 구로구 고척동 330|||||||BHC치킨 계남공원점|삼익아파트상가 106호|||80615
BHC치킨앤비어|계룡엄사점|||BHC치킨|042-551-6663|충남 계룡시 엄사면 번영2길 4-91||맥주판매||||||BHC치킨앤비어 계룡엄사점|(엄사리) 1층|||80615
BHC치킨앤비어|계룡점|||BHC치킨|0425516660|충남 계룡시 서금암1길 11-4||맥주판매||||||BHC치킨앤비어 계룡점|(금암동) 1층|||80615
BHC치킨|계산1호점|||BHC치킨|032-541-1717|인천 계양구 계산동 어사대로 17||||||||BHC치킨 계산1호점||||80615
BHC치킨|계산2호점|||BHC치킨|032-548-9982||인천 계양구 계산3동 306-5|||||||BHC치킨 계산2호점||||80615
BHC치킨앤비어|계양구청점|||BHC치킨|032-555-8215||인천 계양구 계산동 용종동 209-3|맥주판매||||||BHC치킨앤비어 계양구청점||||80615
BHC치킨|고강본동점|||BHC치킨|032-683-9966||경기도 부천시 고강본동 392-7|||||||BHC치킨 고강본동점||||80615
BHC치킨앤비어|고대역점|||BHC치킨|02-925-2100||서울 동대문구 제기동 137-418|맥주판매||||||BHC치킨앤비어 고대역점||||80615
BHC치킨|고령점|||BHC치킨|054-956-9993|경북 고령군 대가야읍 고헌3길 38||||||||BHC치킨 고령점||||80615
BHC치킨앤비어|고성간성점|||BHC치킨|033-681-5552||강원 고성군 간성읍 신안리 216-9|맥주판매||||||BHC치킨앤비어 고성간성점||||80615
BHC치킨앤비어|고양삼송점|||BHC치킨|031-963-0090|경기도 고양시 덕양구 동세로 125||맥주판매||||||BHC치킨앤비어 고양삼송점|2-103 (원흥동,삼송마을 15단지 계룡상가)|||80615
BHC치킨앤비어|고양중부대점|||BHC치킨|031-963-7933|경기도 고양시 덕양구 혜음로 35||맥주판매||||||BHC치킨앤비어 고양중부대점|(고양동) 2층|||80615
BHC치킨|고읍점|||BHC치킨|031-821-5559|경기도 양주시 고읍남로191번길 86-23||||||||BHC치킨 고읍점|(광사동)|||80615
BHC치킨앤비어|고잔신도시점|||BHC치킨|031-501-4747|경기도 안산시 상록구 해양1로 11||맥주판매||||||BHC치킨앤비어 고잔신도시점|(사동,안산고잔6차푸르지오) (사동,안산고잔6차푸르지오상가2동102호)|||80615
BHC치킨|고잔예대점|||BHC치킨|031-362-6099|경기 안산시 단원구 예술대학로 171||||||||BHC치킨 고잔예대점||||80615
BHC치킨|고잔중앙점|||BHC치킨|031-414-9296||경기 안산시 단원구 고잔동 760-3|||||||BHC치킨 고잔중앙점|그린빌9단지 앞|||80615
BHC치킨|고창흥덕점|||BHC치킨|063-564-9874|전북 고창군 고창읍 흥덕면 선운대로 3722||||||||BHC치킨 고창흥덕점||||80615
BHC치킨앤비어|고척스카이돔점|||BHC치킨|010-6698-3514||서울 구로구 고척동 66-2|맥주판매||||||BHC치킨앤비어 고척스카이돔점|고척스카이돔|||80615
BHC치킨|고척점|||BHC치킨|02-2612-2777||서울시 구로구 고척동 52-81|||||||BHC치킨 고척점||||80615
BHC치킨앤비어|고촌점|||BHC치킨|031-996-9272|경기도 김포시 고촌읍 장차로5번길 10||맥주판매||||||BHC치킨앤비어 고촌점||||80615
BHC치킨앤비어|고한사북점|||BHC치킨|033-592-9256|강원 정선군 고한읍 고한4길 36-2||맥주판매||||||BHC치킨앤비어 고한사북점||||80615
BHC치킨|곡반아이파크시티점|||BHC치킨|031-238-0092|경기 수원시 권선구 동수원로 146번길 144-10||||||||BHC치킨 곡반아이파크시티점|(곡반정동)|||80615
BHC치킨|곤지암점|||BHC치킨|031-764-5080||경기 광주시 곤지암읍 곤지암리 337-12|||||||BHC치킨 곤지암점||||80615
BHC치킨|공덕점|||BHC치킨|02-752-7777||서울 마포구 공덕동 1-22|||||||BHC치킨 공덕점||||80615
BHC치킨|공릉중앙점|||BHC치킨|02-971-9282||서울 노원구 공릉동 81|||||||BHC치킨 공릉중앙점|태강아파트제분산상가 104|||80615
BHC치킨앤비어|공주대점(명변)|||BHC치킨|041-858-8999|충남 공주시 번영1로 84-13||맥주판매||||||BHC치킨앤비어 공주대점(명변)|(신관동)|||80615
BHC치킨|공주옥룡점|||BHC치킨|041-852-9911|충남 공주시 중골2길 11-1||||||||BHC치킨 공주옥룡점|(옥룡동)|||80615
BHC치킨|공항신도시점|||BHC치킨|032-746-6007||인천광역시 중구 운서동 2744-1|||||||BHC치킨 공항신도시점|풍림2차상가 1층|||80615
BHC치킨|과천점|||BHC치킨|02-507-5008|경기 과천시 별양로 66-11||||||||BHC치킨 과천점|1층 1003|||80615
BHC치킨|관교점|||BHC치킨|032-424-9287|인천광역시 남구 주승로 184||||||||BHC치킨 관교점|(관교동,관교빌딩)|||80615
BHC치킨|관설근린공원점|||BHC치킨|033-762-0222||강원 원주시 관설동 1787-9|||||||BHC치킨 관설근린공원점||||80615
BHC치킨앤비어|관양동편점|||BHC치킨|031-424-9233|경기도 안양시 동안구 동편로 136||맥주판매||||||BHC치킨앤비어 관양동편점|113 (관양동,경진빌딩)|||80615
BHC치킨앤비어|관양수촌점|||BHC치킨|031-384-8443|경기 안양시 동안구 관악대로 287번길 78||맥주판매||||||BHC치킨앤비어 관양수촌점|1층|||80615
BHC치킨앤비어|관저행복점|||BHC치킨|042-543-9922||대전 서구 관저동 1116|맥주판매||||||BHC치킨앤비어 관저행복점|영성빌딩102호|||80615
BHC치킨|광교도청점|||BHC치킨|0312142229||경기도 수원시 영통구 이의동 1339|||||||BHC치킨 광교도청점|자연앤자이 상가 104호|||80615
BHC치킨앤비어|광교신대역점|||BHC치킨|031-215-8804|경기 수원시 영통구 법조로149번길 34||맥주판매||||||BHC치킨앤비어 광교신대역점||||80615
BHC치킨|광교웰빙타운점|||BHC치킨|031-217-8009|경기 수원시 영통구 이의동 웰빙타운로 70||||||||BHC치킨 광교웰빙타운점|B-112 (광교호반베르디움단지내상가)|||80615
BHC치킨|광나루점|||BHC치킨|02-444-1580||서울 광진구 광장동 566|||||||BHC치킨 광나루점||||80615
BHC치킨앤비어|광명사거리역점|||BHC치킨|02-2614-9892||경기 광명시 광명동 295-10|맥주판매||||||BHC치킨앤비어 광명사거리역점||||80615
BHC치킨앤비어|광명사거리점|||BHC치킨|02-2681-0092||경기 광명시 광명6동 352-14|맥주판매||||||BHC치킨앤비어 광명사거리점|로얄프라자 제1층 제103호|||80615
BHC치킨|광명소하점|||BHC치킨|02-899-6651||경기 광명시 소하동 901-6|||||||BHC치킨 광명소하점||||80615
BHC치킨|광명철산점|||BHC치킨|02-2687-9200||경기 광명시 철산동 254|||||||BHC치킨 광명철산점|미성오피스텔 2차 101호|||80615
BHC치킨|광명초교점|||BHC치킨|02-2683-4500|경기 광명시 광명동 광이로 18||||||||BHC치킨 광명초교점|1층|||80615
BHC치킨|광명하안점|||BHC치킨|02-802-2577||경기 광명시 하안3동 200-1|||||||BHC치킨 광명하안점|13단지 경향빌딩 103호|||80615
BHC치킨앤비어|광양덕례점|||BHC치킨|061-762-6560||전남 광양시 광양읍 덕례리 1774-4|맥주판매||||||BHC치킨앤비어 광양덕례점||||80615
BHC치킨앤비어|광양읍점|||BHC치킨|061-761-5424|전남 광양시 광양읍 와룡길 21||맥주판매||||||BHC치킨앤비어 광양읍점|1층|||80615
BHC치킨|광양중마2호점|||BHC치킨|061-793-9993||전남 광양시 마동 1592|||||||BHC치킨 광양중마2호점||||80615
BHC치킨|광양중마점|||BHC치킨|061-795-9582|전남 광양시 광장1길 29||||||||BHC치킨 광양중마점|(중동)|||80615
BHC치킨|광주/일곡점|||BHC치킨|062-575-9994||광주 북구 일곡동 844-6|||||||BHC치킨 광주/일곡점||||80615
BHC치킨앤비어|광주금남로27번가점|||BHC치킨|062-223-2727||광주 동구 대의동 81-5|맥주판매||||||BHC치킨앤비어 광주금남로27번가점||||80615
BHC치킨앤비어|광주금남로27번가점|||BHC치킨|062-223-2727|광주광역시 동구 중앙로196번길 27||맥주판매||||||BHC치킨앤비어 광주금남로27번가점|(대의동)|||80615
BHC치킨앤비어|광주금호점|||BHC치킨|062-682-0509||광주 서구 금호동 242|맥주판매||||||BHC치킨앤비어 광주금호점||||80615
BHC치킨|광주노대효천점|||BHC치킨|062-676-8292||광주 남구 노대동 812|||||||BHC치킨 광주노대효천점||||80615
BHC치킨|광주도평점|||BHC치킨|031-768-6355|경기도 광주시 초월읍 현산로 84||||||||BHC치킨 광주도평점|(도평신일아파트상가) 102호|||80615
BHC치킨|광주동천점|||BHC치킨|062-515-9982||광주 서구 동천동 525|||||||BHC치킨 광주동천점||||80615
BHC치킨앤비어|광주두암점(2)|||BHC치킨|062-251-9982||광주 북구 두암동 905-15|맥주판매||||||BHC치킨앤비어 광주두암점(2)||||80615
BHC치킨|광주매곡삼각점|||BHC치킨|062-573-9282||광주 북구 매곡동 106-8|||||||BHC치킨 광주매곡삼각점||||80615
BHC치킨앤비어|광주문형점|||BHC치킨|031-768-8640||경기 광주시 오포읍 문형리 524-7|맥주판매||||||BHC치킨앤비어 광주문형점||||80615
BHC치킨|광주문흥점(4)|||BHC치킨|062-266-5588|광주 북구 문흥동 대천로 157번길 110||||||||BHC치킨 광주문흥점(4)||||80615
BHC치킨앤비어|광주백운점|||BHC치킨|062-673-9288|광주 남구 진다리로 46||맥주판매||||||BHC치킨앤비어 광주백운점|1층 (백운동)|||80615
BHC치킨앤비어|광주봉선2호점|||BHC치킨|062-653-2099|광주광역시 남구 봉선2로19번길 10-14||맥주판매||||||BHC치킨앤비어 광주봉선2호점|1층 (봉선동)|||80615
BHC치킨|광주봉선점|||BHC치킨|062-651-9993||광주 남구 봉선동 985|||||||BHC치킨 광주봉선점|라인광장상가동 109,111호|||80615
BHC치킨앤비어|광주비아점|||BHC치킨|062-962-7766||광주 광산구 비아동 710-5|맥주판매||||||BHC치킨앤비어 광주비아점||||80615
BHC치킨|광주상무점|||BHC치킨|062-381-3336|광주광역시 서구 상무공원로 112||||||||BHC치킨 광주상무점|(치평동,해광한신아파트)|||80615
BHC치킨|광주서광주점|||BHC치킨|062-375-9238||광주 서구 화정동 1610|||||||BHC치킨 광주서광주점||||80615
BHC치킨|광주선운점(2)|||BHC치킨|0629420093||광주 광산구 선암동 744|||||||BHC치킨 광주선운점(2)||||80615
BHC치킨|광주소촌우산점(4)|||BHC치킨|062-945-2099||광주 광산구 소촌동 791-22|||||||BHC치킨 광주소촌우산점(4)||||80615
BHC치킨앤비어|광주송정점|||BHC치킨|062-942-9299||광주광역시 광산구 송정동 875-5|맥주판매||||||BHC치킨앤비어 광주송정점||||80615
BHC치킨|광주수완2호점|||BHC치킨|062-951-9266|광주광역시 광산구 수완로33번길 22||||||||BHC치킨 광주수완2호점|(수완동)|||80615
BHC치킨|광주신가점|||BHC치킨|062-959-9244||광주 광산구 신가동 1010-6|||||||BHC치킨 광주신가점||||80615
BHC치킨|광주신창점|||BHC치킨|062-961-8292||광주 광산구 신창동 1110|||||||BHC치킨 광주신창점|부영사랑으로 3차상가 106|||80615
BHC치킨앤비어|광주양산점|||BHC치킨|062-571-1541|광주광역시 북구 양산택지로37번길 33||맥주판매||||||BHC치킨앤비어 광주양산점|(양산동)|||80615
BHC치킨|광주연제점|||BHC치킨|062-573-6500||광주 북구 연제동 1007|||||||BHC치킨 광주연제점|연제1차대주피오페 제상-103|||80615
BHC치킨앤비어|광주용봉점|||BHC치킨|0625259982|광주광역시 북구 설죽로202번길 43||맥주판매||||||BHC치킨앤비어 광주용봉점|1층 (용봉동)|||80615
BHC치킨앤비어|광주운남점|||BHC치킨|062-955-9980||광주광역시 광산구 운남동 783-4|맥주판매||||||BHC치킨앤비어 광주운남점||||80615
BHC치킨앤비어|광주조대산수점|||BHC치킨|062-222-9280|광주 동구 지산로 29||맥주판매||||||BHC치킨앤비어 광주조대산수점||||80615
BHC치킨|광주주월점|||BHC치킨|062-369-9936|광주 남구 주월동 군분로 91-1||||||||BHC치킨 광주주월점||||80615
BHC치킨앤비어|광주진월점|||BHC치킨|062-654-8253|광주 남구 금당로 9||맥주판매||||||BHC치킨앤비어 광주진월점|1층|||80615
BHC치킨|광주첨단1호점(5)|||BHC치킨|062-971-5590||광주 광산구 월계동 759-1|||||||BHC치킨 광주첨단1호점(5)||||80615
BHC치킨앤비어|광주첨단중앙점|||BHC치킨|062-972-8877|광주 광산구 월계동 임방울대로 800번길 78||맥주판매||||||BHC치킨앤비어 광주첨단중앙점||||80615
BHC치킨|광주퇴촌점|||BHC치킨|031-768-9954||경기 광주시 퇴촌면 광동리 173-7|||||||BHC치킨 광주퇴촌점||||80615
BHC치킨|광주풍암2호점|||BHC치킨|062-655-0527||광주 서구 풍암동 974-2|||||||BHC치킨 광주풍암2호점||||80615
BHC치킨|광주풍암점|||BHC치킨|062-682-8293||광주 서구 풍암동 1111-3|||||||BHC치킨 광주풍암점|1층|||80615
