##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@커피빈
커피빈|강남대점|||커피빈|031-693-6312|경기도 용인시 기흥구 강남로 3||WIFI|평일 08:00 22:00 ; 주말,공휴일 09:00 21:00|||||커피빈 강남대점|강남앤플러스 1층|||80701
커피빈|파주운정홈플러스점|||커피빈|031-949-1408|경기도 파주시 청암로 17번길 17||주차가능;WIFI|평일 10:00~23:00;주말/공휴일 10:00~23:00(둘째, 넷째수요일 휴무)|||||커피빈 파주운정홈플러스점|1층|||80701
커피빈|수지동천점|||커피빈|031-896-9044|경기 용인시 수지구 손곡로 95||WIFI|평일,주말,공휴일 08:00 21:30|||||커피빈 수지동천점|송란빌딩 1층|||80701
커피빈|수원망포역점|||커피빈|031-273-8751|경기도 수원시 영통구 영통로 214번길 8||주차가능;WIFI|평일 08:00~24:00;주말/공휴일 08:00~24:00|||||커피빈 수원망포역점|1층|||80701
커피빈|부천역점|||커피빈|032-668-7890|경기도 부천시 부천로 4||WIFI;흡연가능|월 금 09:00~23:00;주말, 공휴일 10:00~23:00|||||커피빈 부천역점|2층|||80701
커피빈|수원역점|||커피빈|031-248-9593|경기도 수원시 팔달구 매산로 11||WIFI;흡연가능|월 목 08:00 22:00 ; 금 토 08:00 23:00 ; 일,공휴일 08:00 22:00|||||커피빈 수원역점|2층|||80701
커피빈|마두역점|||커피빈|031-932-7018|경기도 고양시 일산동구 중앙로 1193||WIFI|평일 8:00 22:00 ;주말/공휴일 10:00 22:00|||||커피빈 마두역점|마두법조빌딩 1층|||80701
커피빈|평촌점|||커피빈|031-426-9065|경기도 안양시 동안구 시민대로327번길 6||주차가능;WIFI|평일 08:00~23:00;주말/공휴일 09:00~22:00|||||커피빈 평촌점|W 에이스타워 1층|||80701
커피빈|분당정자점|||커피빈|031-786-1906|경기도 성남시 분당구 정자일로 227||WIFI|월 금 08:00~22:00 ; 토,일 09:00~22:00|||||커피빈 분당정자점|(정자동) 백궁지엔느주차전용빌딩 1층|||80701
커피빈|판교알파돔시티점|||커피빈|031-8017-8556|경기도 성남시 분당구 판교역로 145||주차가능;WIFI|평일 08:00 22:30 ; 주말,공휴일 08:00 22:00|||||커피빈 판교알파돔시티점|(백현동) 판교알파돔 C2-3블럭 1층|||80701
커피빈|범계역로데오점|||커피빈|031-476-9082|경기도 안양시 동안구 평촌대로 223번길 41||WIFI;흡연가능|월~목 09:00 24:00/금,토요일 09:00 25:00/일요일,공휴일 10:00 24:00(공휴일 전날 영업시간 25시까지)|||||커피빈 범계역로데오점|(호계동 1045-9) 2층|||80701
커피빈|이천하이닉스점|||커피빈|031-632-8846||경기 이천시 부발읍 하이닉스반도체 ||월 금 07:00~23:00 ; 토 09:00~20:00 ; 일/공휴일 휴무|||||커피빈 이천하이닉스점||||80701
커피빈|광교아브뉴프랑점|||커피빈|031-216-9308||경기도 수원시 영통구 이의동 1332|주차가능;WIFI|월 일/공휴일 08:30~23:00|||||커피빈 광교아브뉴프랑점|광교아브뉴프랑 1층 A122,123호|||80701
커피빈|현대프리미엄아울렛 김포점|||커피빈|031-8048-2618||경기 김포시 고촌읍 전호리 654|주차가능;WIFI|월 목 10:00 20:30 ; 금 일 10:00 21:00 (하절기(5 10월) : 매일 10:00 21:00)|||||커피빈 현대프리미엄아울렛 김포점|현대프리미엄아울렛김포3층 618호|||80701
커피빈|남양연구소PT동점|||커피빈|031-355-1346|경기도 화성시 장덕동 현대연구소로 150||주차가능|평일 07:00~18:30;주말/공휴일 휴무|||||커피빈 남양연구소PT동점|현대자동차남양연구소 PT동 1층|||80701
커피빈|오리역애플플라자점|||커피빈|031-715-5638|경기도 성남시 분당구 탄천상로151번길 20||주차가능;WIFI|월 금 08:00~22:30 ; 토,일 08:00~23:00|||||커피빈 오리역애플플라자점|월드쇼핑 B동 1층|||80701
커피빈|현대자동차구리점|||커피빈|031-553-1137|경기도 구리시 검배로 3||WIFI|평일/주말/공휴일 09:00~22:00|||||커피빈 현대자동차구리점|현대자동차1층|||80701
커피빈|현대자동차남양연구소C1식당점|||커피빈|031-357-8172|경기 화성시 장덕동 현대연구소로 150||주차가능|월 목요일 7:00~18:30 ; 금요일 7:00~18:00 ; 토 일/공휴일 휴점|||||커피빈 현대자동차남양연구소C1식당점|현대자동차남양연구소 C1구역식당1F|||80701
커피빈|일산원마운트점|||커피빈|031-961-6520|경기도 고양시 일산서구 한류월드로 300||주차가능;WIFI|평일, 주말 및 공휴일 09:30 22:00|||||커피빈 일산원마운트점|원마운트스포츠몰 1층|||80701
커피빈|판교아브뉴프랑점|||커피빈|031-8016-8131|경기도 성남시 분당구 동판교로177번길 25||주차가능;WIFI|월 금 08:00 23:00 ;  주말,공휴일 09:00 23:00|||||커피빈 판교아브뉴프랑점||||80701
커피빈|수원인계점|||커피빈|031-233-5631|경기도 수원시 팔달구 권광로 195||주차가능;WIFI;흡연가능|평일,주말,공휴일 08:00 23:00|||||커피빈 수원인계점|학산빌딩1층|||80701
커피빈|현대자동차남양연구소점|||커피빈|031-357-8103|경기도 화성시 장덕동 현대연구소로 150||주차가능|평일 : 06:30 ~ 18:30 / 주말(공휴일) : 휴무|||||커피빈 현대자동차남양연구소점|현대자동차남양연구소 설계1동1F|||80701
커피빈|일산킨텍스현대백화점점|||커피빈|031-822-3575||경기도 고양시 일산서구 대화동 2602|주차가능;WIFI|월~목 10:30~20:00;금~일,공휴일 10:30~20:30|||||커피빈 일산킨텍스현대백화점점|현대백화점킨텍스점 5F|||80701
커피빈|동탄라마다호텔점|||커피빈|031-8003-8374|경기도 화성시 노작로 199||주차가능;WIFI|평일/주말 : 08:00 ~ 23:00|||||커피빈 동탄라마다호텔점|동탄라마다호텔107호~111호|||80701
커피빈|분당수내점|||커피빈|031-713-9937|경기도 성남시 분당구 황새울로 214번길 8||주차가능;WIFI;흡연가능|평일,주말,공휴일 08:00 22:30|||||커피빈 분당수내점|MSPlaza내1층|||80701
커피빈|분당차병원점|||커피빈|031-781-0471||경기도 성남시 분당구 야탑동 354|WIFI|평일,일 07:30~23:00;금.토 07:30~24:00|||||커피빈 분당차병원점|분당차병원신관1층분당차1호|||80701
커피빈|분당플라자점|||커피빈|031-705-3188|경기도 성남시 분당구 황새울로 326||주차가능;WIFI;흡연가능|평일,주말,공휴일 08:00 22:00|||||커피빈 분당플라자점|서현빌딩상가내2층|||80701
커피빈|분당서현점|||커피빈|031-705-8926|경기도 성남시 분당구 분당로53번길 11||주차가능;WIFI;흡연가능|월 금 07:30~23:00 ; 토,일,공휴일 08:00~23:00|||||커피빈 분당서현점|1층2,3호|||80701
커피빈|중동현대백화점U-PLEX점|||커피빈|032-623-1620|경기도 부천시 원미구 길주로 180||주차가능;WIFI|평일10:30~22:00(토.일.공휴일동일)|||||커피빈 중동현대백화점U-PLEX점|현대백화점 B1-120,121호|||80701
커피빈|일산웨스턴돔2호점|||커피빈|031-931-5571|경기도 고양시 일산동구 정발산로 24||주차가능;WIFI;흡연가능|평일10:00~22:00 ; 토 일/공휴일 10:00~22:00|||||커피빈 일산웨스턴돔2호점|웨스턴돔 A-303|||80701
커피빈|일산웨스턴돔1호점|||커피빈|031-931-5573|경기도 고양시 일산동구 정발산로 24||주차가능;WIFI;흡연가능|월 토 : 8:00 23:00;일요일, 공휴일 09:00 23:00|||||커피빈 일산웨스턴돔1호점|I동103~203호|||80701
커피빈|일산라페스타점|||커피빈|031-907-2326||경기도 고양시 일산동구 장항동 764|주차가능;WIFI|평일, 주말 및 공휴일 10:00~22:00|||||커피빈 일산라페스타점|라페스타C동|||80701
커피빈|창원시티세븐점|||커피빈|055-600-5361|경남 창원시 의창구 원이대로 320||주차가능;WIFI|평일, 주말/공휴일: 08:00~22:30|||||커피빈 창원시티세븐점|더시티세븐 1F Skycone 105호|||80701
커피빈|진주LH본사점|||커피빈|055-763-3520|경상남도 진주시 충의로 19||주차가능;WIFI|월 금 08:00~21:00 ; 토요일 10:00~18:00 ; 일/공휴일 휴무|||||커피빈 진주LH본사점|LH진주사옥 홍보관1층|||80701
커피빈|창원상남동점|||커피빈|055-211-0737|경남 창원시 성산구 중앙대로 104||주차가능;WIFI;흡연가능|월 일/공휴일 08:30~22:30|||||커피빈 창원상남동점|마이우스오피스텔 123호 207호|||80701
커피빈|경주미탐시티점|||커피빈|054-777-5982|경상북도 경주시 엑스포로 80||주차가능;WIFI|월~일(공휴일 포함) 09;30   21:00|||||커피빈 경주미탐시티점|(천군동)1층|||80701
커피빈|포항영일대점|||커피빈|054-241-3372|경상북도 포항시 북구 삼호로265번길 1||주차가능;WIFI|월 금 09:00 21:30 ; 토 08:30 22:00 ; 일 08:30 21:30|||||커피빈 포항영일대점|NB-City복합시설1층104호|||80701
커피빈|광주상무역|||커피빈|062-385-8371|광주 서구 상무중앙로 9||주차가능;WIFI;흡연가능|월   금,주말/공휴일 08:00~22:30|||||커피빈 광주상무역|동양빌딩 1F|||80701
커피빈|대구중앙로점|||커피빈|053-428-3370|대구광역시 중구 중앙대로 412-18||WIFI|평일 08:30 22:00 ; 주말 09:00 12:00|||||커피빈 대구중앙로점||||80701
커피빈|대전카이스트점|||커피빈|042-867-3751||대전광역시 유성구 구성동 373-1|주차가능;WIFI|평일 08:00~21:30 ; 주말/공휴일 09:00~21:30|||||커피빈 대전카이스트점|한국과학기술원 국제센터 내 1층|||80701
커피빈|대전탄방동점|||커피빈|042-471-9805|대전시 서구 문정로 76||주차가능;WIFI;흡연가능|평일,주말,공휴일 09:00 23:00|||||커피빈 대전탄방동점|1층|||80701
커피빈|대전둔산동점|||커피빈|042-471-5520|대전광역시 서구 둔산로 26||WIFI;흡연가능|월 목,일 10:00 22:00 ; 금 토,공휴일 10:00 23:00|||||커피빈 대전둔산동점|소레빌딩|||80701
커피빈|부산남포역점|||커피빈|051-246-6284|부산 중구 해관로 1||WIFI;흡연가능|월   금,주말/공휴일: 08:00~23:00|||||커피빈 부산남포역점|희남빌딩 1층|||80701
커피빈|해운대센텀호텔점|||커피빈|051-743-5088|부산 해운대구 센텀3로 20||주차가능;WIFI|평일/주말 07:30 22:30|||||커피빈 해운대센텀호텔점|해운대센텀호텔 1F 101호|||80701
커피빈|부산서면점|||커피빈|051-802-4282|부산 부산진구 서면로 62-1||WIFI|평일, 주말 07:30 ~ 23:00|||||커피빈 부산서면점|에이스메디컬타워 1F|||80701
커피빈|부산서면서전로점|||커피빈|051-819-8708|부산광역시 부산진구 서전로 12||WIFI|월 금 08:30~22:00 ; 토 09:00~22:00 ; 일 09:00~21:00|||||커피빈 부산서면서전로점|1층|||80701
커피빈|부산정관점|||커피빈|051-728-7435|부산광역시 기장군 정관로 563||주차가능;WIFI|평일, 주말 08:30 22:00|||||커피빈 부산정관점|1층,2층|||80701
커피빈|부산수영역점|||커피빈|051-759-9046|부산광역시 수영구 수영로 667||WIFI|월 토 08:30~22:30 ; 일 08:30~22:00|||||커피빈 부산수영역점|1층|||80701
커피빈|해운대점|||커피빈|051-746-8214|부산시 해운대구 해운대 해변로 277||WIFI|월 목 08:30 22:30 ; 금 08:30 23:00 ; 토 08:00 23:00 ; 일 08:00~22:30|||||커피빈 해운대점|다옴빌딩1층|||80701
커피빈|부산광복동점|||커피빈|051-243-9105||부산광역시 중구 창선동 2가 8-2|WIFI;흡연가능|월 목 09:00~22:30 ; 금 09:00~23:00 토 08:00~23:00 ; 일,공휴일 08:00~22:30|||||커피빈 부산광복동점||||80701
커피빈|선릉역3번출구세방빌딩점|||커피빈|02-2051-9328|서울특별시 강남구 선릉로 433||주차가능;WIFI|평일 07:30~23:00 ; 주말 09:00~22:00|||||커피빈 선릉역3번출구세방빌딩점|세방빌딩 1층|||80701
커피빈|논현201-5번지점|||커피빈|02-541-9563|서울특별시 강남구 강남대로112길 20||WIFI|월 금 08:00 23:00 ; 토 08:00 21:00 ; 일,공휴일 09:00 20:00|||||커피빈 논현201-5번지점|1층,2층|||80701
커피빈|한티역디마크빌딩점|||커피빈|02-2052-6590|서울특별시 강남구 도곡로 408||주차가능;WIFI|평일 07:30~23:00 ;주말 08:00~23:00|||||커피빈 한티역디마크빌딩점|디마크빌딩 1층|||80701
커피빈|도곡동지오빌딩점|||커피빈|02-2058-3027||서울특별시 강남구 도곡동 543-1|주차가능;WIFI|월 금 07:30~22:00 ; 토,일,공휴일 08:00~22:00|||||커피빈 도곡동지오빌딩점|지오빌딩 B1층|||80701
커피빈|강남역12번출구점|||커피빈|02-569-5838|서울특별시 강남구 테헤란로 111||WIFI;흡연가능|평일 07:30 24:00 ; 토 08:00 24:00 ; 일,공휴일 08:00 22:30|||||커피빈 강남역12번출구점|2층|||80701
커피빈|역삼동태광타워점|||커피빈|02-569-9867||서울시 강남구 역삼동 718-20|WIFI|평일 07:30~23:00;주말/공휴일 09:00~22:00|||||커피빈 역삼동태광타워점|태광타워 1층|||80701
커피빈|대치사거리점|||커피빈|02-569-9751|서울시 강남구 삼성로 352||주차가능;WIFI|평일 07:30~24:00;주말/공휴일 08:00~24:00|||||커피빈 대치사거리점|창진빌딩 1층 및 2층|||80701
커피빈|신논현역점|||커피빈|02-569-9061|서울특별시 강남구 봉은사로 108||주차가능;WIFI|월 목 07:30~23:00 ; 금,토 07:30~24:00 ; 일,공휴일 07:30~23:00|||||커피빈 신논현역점|글라스톤빌딩1층|||80701
커피빈|대치동나무병원점|||커피빈|02-562-9605|서울특별시 강남구 영동대로 225||WIFI|평일 08:000 21:00 ; 토 09:00 18:00 ; 일,공휴일 10:00 19:00|||||커피빈 대치동나무병원점|나무병원1층 (대치동994-5)|||80701
커피빈|포스코옆삼성로86길점|||커피빈|02-569-7501|서울특별시 강남구 삼성로86길 11||주차가능;WIFI|평일 07:30 23:00 ; 토 09:00 22:00 ; 일,공휴일 09:00 18:00|||||커피빈 포스코옆삼성로86길점|거봉빌딩 1층|||80701
커피빈|삼성역글라스타워뒷점|||커피빈|02-552-3363|서울시 강남구 영동대로85길 9||주차가능;WIFI|월 수 07:30~23:00;목 금 07:30 ~ 24:00;주말 ,공휴일 08:00~23:00|||||커피빈 삼성역글라스타워뒷점|(대치동) 서전빌딩1층|||80701
커피빈|신천역점|||커피빈|02-417-8851|서울시 송파구 올림픽로 100||주차가능;WIFI|월 목 08:00~23:00 ; 금,주말 08:00~24:00|||||커피빈 신천역점|효창타워1층|||80701
커피빈|강남오토스퀘어점|||커피빈|02-554-6132|서울시 강남구 강남대로 350||WIFI|평일 08:00~23:00 ; 주말,공휴일 09:00~22:00|||||커피빈 강남오토스퀘어점||||80701
커피빈|CBTL(커피빈)파르나스몰점|||커피빈|02-538-2008|서울시 강남구 테헤란로 521||주차가능;WIFI|월 금요일 07:30~22:00 ; 토 일/공휴일 08:00~22:00|||||커피빈 CBTL(커피빈)파르나스몰점|파르나스몰 지하1층|||80701
커피빈|차병원사거리점|||커피빈|02-542-8813|서울시 강남구 봉은사로 207||주차가능;WIFI|월 금요일 07:30~22:30 ; 토 일/공휴일 08:00~22:00|||||커피빈 차병원사거리점|KJ타워1층|||80701
커피빈|도심공항점|||커피빈|02-551-6456|서울시 강남구 테헤란로87길 22||주차가능;WIFI|월 금요일 08:00~22:00 토 일/공휴일 09:00~22:00|||||커피빈 도심공항점|도심공항터미널 지하1층|||80701
커피빈|강남대로센터점|||커피빈|02-565-3345|서울시 강남구 강남대로 442||WIFI|월~금요일 07:30~00:00 ; 토~일요일 08:00~00:00|||||커피빈 강남대로센터점|흥국화재빌딩 2층|||80701
커피빈|영동2교사거리점|||커피빈|02-573-5681|서울시 강남구 논현로 136||주차가능;WIFI|월 금 07:30~22:00 ; 토,일,공휴일 08:00~23:00|||||커피빈 영동2교사거리점|오션스퀘어빌딩 1층,2층|||80701
커피빈|역삼역4번출구점|||커피빈|02-508-1137|서울시 강남구 테헤란로 143||WIFI|월 금  07:30~23:00 ; 토 일/공휴일 8:00~23:00|||||커피빈 역삼역4번출구점|고운빌딩1층|||80701
커피빈|압구정현대아파트점|||커피빈|02-518-3350|서울시 강남구 압구정로29길 65||주차가능;WIFI|월 일/공휴일 08:00~22:00|||||커피빈 압구정현대아파트점|지하1층|||80701
커피빈|뉴가로수길점|||커피빈|02-544-7105|서울시 강남구 압구정로12길 6||WIFI;흡연가능|월~금 07:30~24:00 / 토~일 08:00~24:00|||||커피빈 뉴가로수길점||||80701
커피빈|삼성금융플라자점|||커피빈|02-554-7591|서울 강남구 테헤란로 419||주차가능;WIFI|평일 07:30~23:00;토요일  09:00~22:00 ;일요일  11:00~20:00|||||커피빈 삼성금융플라자점|삼성금융플라자1층|||80701
커피빈|뉴선릉역점|||커피빈|02-553-7391|서울시 강남구 테헤란로 327||주차가능;WIFI|월 금 7:30~21:30 ; 토 11:00 ~ 19:00;일 11:00 20:00|||||커피빈 뉴선릉역점|빅토리아빌딩2층|||80701
커피빈|선릉로86길점|||커피빈|02-2051-8875|서울시 강남구 선릉로86길 11||주차가능;WIFI|월~목요일 08:00~23:00 ;금요일 08:00~24:00  토요일 09:00~24:00;일요일(공휴일) 09:00~23:00|||||커피빈 선릉로86길점||||80701
커피빈|삼성로점|||커피빈|02-552-9311|서울시 강남구 삼성로 551||주차가능;WIFI;흡연가능|월 금요일 07:30~24:00 ; 토 일요일 08:30~00:00 ; 공휴일 08:00~23:00|||||커피빈 삼성로점|1층,2층|||80701
커피빈|강남역먹자골목점|||커피빈|02-552-6311|서울시 강남구 테헤란로1길 29||WIFI;흡연가능|08:00~24:00|||||커피빈 강남역먹자골목점|1층일부 및 2.3층|||80701
커피빈|선릉로93길점|||커피빈|02-552-3177|서울시 강남구 선릉로93길 6||주차가능;WIFI;흡연가능| 월~금요일 08:00~24:00/ 토요일 09:00~24:00/ 일요일(공휴일) 09:00~23:00|||||커피빈 선릉로93길점|(역삼동) 1층|||80701
커피빈|포스코사거리점|||커피빈|02-508-7522|서울시 강남구 테헤란로 439||주차가능;WIFI;흡연가능|월 금 07:30~22:00 ; 토 일/공휴일 09:00~22:00|||||커피빈 포스코사거리점||||80701
커피빈|뉴압구정점|||커피빈|02-545-3181|서울시 강남구 논현로 167길 9||주차가능;WIFI;흡연가능|월 목 07:30~23:00 l 금,토 07:30~24:00  l 일,공휴일 08:00~23:00|||||커피빈 뉴압구정점|낙산프라자 1층|||80701
커피빈|코엑스인터점|||커피빈|02-569-3103|서울시 강남구 봉은사로 524||WIFI|평일,주말,공휴일 08:30 20:30|||||커피빈 코엑스인터점|코엑스 인터컨티넨탈아케이드|||80701
커피빈|테헤란로비젼타워점|||커피빈|02-558-7101|서울시 강남구 테헤란로 312||주차가능;WIFI|평일 : 07:30~22:00 / 주말 : 11:00~19:00|||||커피빈 테헤란로비젼타워점|707-2번지1층|||80701
커피빈|국기원사거리점|||커피빈|02-552-7106|서울시 강남구 테헤란로 8길 42||주차가능;WIFI;흡연가능|월 금 08:00 21:00 ; 주말,공휴일 11:00 20:00|||||커피빈 국기원사거리점|1층|||80701
커피빈|청담카페점|||커피빈|02-514-5622|서울시 강남구 도산대로 67길 7||주차가능;WIFI|월 일,공휴일 07:30 23:00|||||커피빈 청담카페점|파크빌딩 1층|||80701
커피빈|도심공항타워점|||커피빈|02-2016-5330|서울시 강남구 테헤란로87길 36||주차가능;WIFI;흡연가능|평일 07:30 24:00 ; 토 07:30 24:00 ; 일 07:30 23:30 ; 공휴일 07:30 23:00|||||커피빈 도심공항타워점|공항타워 1층|||80701
커피빈|강남구청앞점|||커피빈|02-546-3783|서울시 강남구 학동로 423||WIFI|월 금 07:30 22:00;주말,공휴일 09:00 21:00|||||커피빈 강남구청앞점||||80701
커피빈|강남역랭기지타워점|||커피빈|02-563-3655|서울시 강남구 테헤란로4길 28||주차가능;WIFI;흡연가능|평일 07:30~23:00 ; 주말 08:00~23:00 ; 공휴일 08:00 22:00|||||커피빈 강남역랭기지타워점|826-28호 1층|||80701
커피빈|매봉역점|||커피빈|02-529-9947|서울시 강남구 논현로 38길 42||주차가능;WIFI;흡연가능|월 금 07:30~23:00 ; 토,일 08:00~22:30 ; 공휴일 08:30~22:00|||||커피빈 매봉역점|418호|||80701
커피빈|삼성봉은사로점|||커피빈|02-538-4523|서울시 강남구 봉은사로 628||주차가능;WIFI;흡연가능|평일 07:30~23:00 ; 토 일/공휴일 08:00~22:00|||||커피빈 삼성봉은사로점|엘슨빌딩1층|||80701
커피빈|테헤란로하이닉스뒷점|||커피빈|02-538-9927|서울시 강남구 테헤란로 70길 12||주차가능;WIFI;흡연가능|평일 07:30~23:00 ; 토,일,공휴일 08:00~23:00|||||커피빈 테헤란로하이닉스뒷점|1층|||80701
커피빈|역삼포스틸타워뒷점|||커피빈|02-554-9962|서울시 강남구 테헤란로 20길 10||WIFI;흡연가능|평일07:30~23:00;토요일08:00~23:00;일요일09:00~23:00(공휴일동일)|||||커피빈 역삼포스틸타워뒷점|쓰리엠타워1층|||80701
커피빈|논현동수면센터점|||커피빈|02-3443-5575|서울시 강남구 논현로 717||주차가능;WIFI|월   금요일 08:00   22:00 ; 토요일 09:00   20:00 ; 일요일 09:00   19:00|||||커피빈 논현동수면센터점|1층|||80701
커피빈|대치포스코뒷점|||커피빈|02-3453-8077|서울시 강남구 삼성로 85길 11||WIFI|평일 07:30~22:00 ; 주말  09:00~17:00|||||커피빈 대치포스코뒷점|롯데캐슬아파트생활편익시설동|||80701
커피빈|삼성봉은사거리점|||커피빈|02-3443-5618|서울시 강남구 영동대로 607||주차가능;WIFI;흡연가능|평일 07:30 23:00 ; 주말,공휴일 08:00 23:00|||||커피빈 삼성봉은사거리점|12번지 1,2층|||80701
커피빈|트레이드타워점|||커피빈|02-6002-6470|서울시 강남구 영동대로 511||주차가능;WIFI|평일 07:00 21:00 ; 주말,공휴일 09:00 21:00|||||커피빈 트레이드타워점|트레이드타워 지하1층|||80701
커피빈|삼성오크우드점|||커피빈|02-3466-8507|서울 강남구 영동대로 513||주차가능;WIFI|평일 08:00 21:30 ; 주말,공휴일 10:00 20:00|||||커피빈 삼성오크우드점|컨벤션별관A동 지하2층|||80701
커피빈|논현팍스타워점|||커피빈|02-513-3870|||주차가능;WIFI|월 금 07:30~22:00;주말/공휴일 09:00~21:00|||||커피빈 논현팍스타워점||||80701
커피빈|압구정로데오점|||커피빈|02-3445-5093|서울시 강남구 선릉로 157길 12||주차가능;WIFI;흡연가능|평일 08:30~23:00 ; 주말,공휴일 09:00~23:00|||||커피빈 압구정로데오점|석전빌딩 1~4층|||80701
커피빈|압구정시티점|||커피빈|02-543-5922|서울시 강남구 도산대로49길 13||주차가능;WIFI;흡연가능|월 목 08:30 23:00 ; 금,토 08:30 24:00 ; 일,공휴일 08:30 22:30|||||커피빈 압구정시티점|1층 17,18호|||80701
커피빈|대치한티점|||커피빈|02-557-0510|서울시 강남구 선릉로 64길 23||WIFI|평일/공휴일 08:00~23:00 주말: 08:00~22:30|||||커피빈 대치한티점|1층|||80701
