##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@가르텐비어
가르텐비어|원주/봉산점|||가르텐비어|033-735-3451||강원도 원주시 봉산동 1194-6|||||||가르텐비어 원주/봉산점|2층|||80220
가르텐비어|종로/서울극장점|||가르텐비어|02-2271-1300||서울특별시 종로구 종로3가 132|||||||가르텐비어 종로/서울극장점||||80220
가르텐비어|평택/현화점|||가르텐비어|031-682-3342||경기도 평택시 안중읍 현화리 847-3|||||||가르텐비어 평택/현화점||||80220
가르텐비어|일산/원당점|||가르텐비어|031-966-0209||경기도 고양시 덕양구 주교동 616-3|||||||가르텐비어 일산/원당점|2층|||80220
가르텐비어|계룡점|||가르텐비어|042-841-0416||충청남도 계룡시 엄사면 엄사리 171-7|||||||가르텐비어 계룡점||||80220
가르텐비어|포천/송우점|||가르텐비어|031-541-5805||경기도 포천시 소흘읍 송우리 159-3|||||||가르텐비어 포천/송우점|우덕프라자 3층|||80220
가르텐비어|평택/세교점|||가르텐비어|031-655-5591||경기도 평택시 세교동 562-9|||||||가르텐비어 평택/세교점||||80220
가르텐비어|서산/동문점|||가르텐비어|041-668-7545||충청남도 서산시 동문동 194-6|||||||가르텐비어 서산/동문점||||80220
가르텐비어|충북/대소점|||가르텐비어|043-881-8938||충청북도 음성군 대소면 오산리 126-16|||||||가르텐비어 충북/대소점||||80220
가르텐비어|당진/송악점|||가르텐비어|041-358-8603||충청남도 당진군 송악면 복운리 1633-12|||||||가르텐비어 당진/송악점||||80220
가르텐비어|원주/구곡점|||가르텐비어|033-762-0559||강원도 원주시 단구동 1533-9|||||||가르텐비어 원주/구곡점||||80220
가르텐비어|부천/역곡점|||가르텐비어|032-342-1800||경기도 부천시 원미구 역곡동 82-10|||||||가르텐비어 부천/역곡점|오킴스타워 8층|||80220
가르텐비어|원주/문막점|||가르텐비어|033-734-8666||강원도 원주시 문막읍 동화리 1542-8|||||||가르텐비어 원주/문막점|1층|||80220
가르텐비어|원주/무실점|||가르텐비어|033-743-9669||강원도 원주시 무실동 1663-4|||||||가르텐비어 원주/무실점|1층 102호|||80220
가르텐비어|제천/청전점|||가르텐비어|043-642-1414||충청북도 제천시 청전동 697|||||||가르텐비어 제천/청전점||||80220
가르텐비어|평택/합정점|||가르텐비어|031-652-0014||경기도 평택시 합정동 913-4|||||||가르텐비어 평택/합정점|외 1필지 (913-15)|||80220
가르텐비어|대전/신탄진점|||가르텐비어|042-932-6866||대전광역시 대덕구 신탄진동 144-10|||||||가르텐비어 대전/신탄진점|1층|||80220
가르텐비어|대전/청사점|||가르텐비어|042-472-1357||대전광역시 서구 둔산동 924|||||||가르텐비어 대전/청사점|청사프라자 1층 104,105호|||80220
가르텐비어|대전/신성점|||가르텐비어|042-867-8008||대전광역시 유성구 신성동 126-2|||||||가르텐비어 대전/신성점||||80220
가르텐비어|목동역점|||가르텐비어|02-2065-7772||서울특별시 양천구 신정동 902-2|||||||가르텐비어 목동역점|2층|||80220
가르텐비어|광명/철산점|||가르텐비어|02-2060-9088||경기도 광명시 철산동 408|||||||가르텐비어 광명/철산점|4층|||80220
가르텐비어|파주/LCD점|||가르텐비어|031-957-6362||경기도 파주시 월릉면 덕은리 1007|||||||가르텐비어 파주/LCD점|2블럭 301호|||80220
가르텐비어|대전/송강점|||가르텐비어|042-933-8259||대전광역시 유성구 송강동 172-5|||||||가르텐비어 대전/송강점||||80220
가르텐비어|대전/가장점|||가르텐비어|042-533-1027||대전광역시 서구 괴정동 84-15|||||||가르텐비어 대전/가장점||||80220
가르텐비어|시흥/장곡점|||가르텐비어|031-318-5670||경기도 시흥시 장곡동 823-5|||||||가르텐비어 시흥/장곡점|1층|||80220
가르텐비어|속초/교동점|||가르텐비어|033-632-3537||강원도 속초시 교동 962-12|||||||가르텐비어 속초/교동점|1층|||80220
가르텐비어|수원/영통점|||가르텐비어|031-203-2425||경기도 수원시 영통구 영통동 1010-13|||||||가르텐비어 수원/영통점|거성빌딩 3층|||80220
가르텐비어|교대역점|||가르텐비어|02-585-5737||서울특별시 서초구 서초동 1571-26|||||||가르텐비어 교대역점|공갑빌딩 2층|||80220
가르텐비어|평택/비전점|||가르텐비어|031-655-7920||경기도 평택시 비전동 832-5|||||||가르텐비어 평택/비전점|1층|||80220
가르텐비어|서울/양재역점|||가르텐비어|02-529-4425||서울특별시 서초구 양재동 11-44|||||||가르텐비어 서울/양재역점|독녘빌딩 201호|||80220
가르텐비어|경기/송탄점|||가르텐비어|031-611-8530||경기도 평택시 경기도 평택시 서정동 795-6|||||||가르텐비어 경기/송탄점|원영빌딩 3층|||80220
가르텐비어|충주/성서점|||가르텐비어|043-855-9822||충청북도 충주시 성서동 401|||||||가르텐비어 충주/성서점||||80220
가르텐비어|수원/인계점|||가르텐비어|031-233-2889||경기도 수원시 팔달구 인계동 1120-5|||||||가르텐비어 수원/인계점|102호|||80220
