##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@고시원
배꽃원룸텔||||고시원|02-312-7300||서울시 서대문구 대현동 54-5호watsons매장4f |여성전용||||||배꽃원룸텔||||70205
새롬리빙하우스||||고시원|02-359-6400||서울 은평구 역촌동 43-4|본관||||||새롬리빙하우스|새롬리빙하우스|||70205
심플하우스|신설동역점|||고시원|02-929-9611||서울시 종로구 숭인동 1263|||||||심플하우스 신설동역점|(도로명 : 종로 409)|||70205
휴/그린빌/리빙텔||||고시원|031-979-5525||경기도 고양시 덕양 행신동 712|||||||휴 그린빌 리빙텔|골드프라자 5층|||70205
파크리빙텔||||고시원|02-875-4664||서울시 관악구 신림동 1425-23|풀옵션||||||파크리빙텔||||70205
행신리빙텔||||고시원|031-971-3008||경기도 고양시 덕양구 행신동 757-2|||||||행신리빙텔|행신프라자 상가 6층|||70205
휴먼빌레지던스||||고시원|02-3394-8077||서울시 동대문구 장안동 345-18|||||||휴먼빌레지던스||||70205
드림타운고시원||||고시원|032-666-3566||경기도 부천시 원미구 심곡동 378-23|||||||드림타운고시원||||70205
코코레지던스|목동점|||고시원|02-2695-8114||서울 양천구 신정4동 905-2|||||||코코레지던스 목동점|해풍빌딩 5층|||70205
동양리빙텔||||고시원|032-522-1006||인천 부평구 부평6동 605-32|||||||동양리빙텔|동양리빙텔|||70205
아인스원룸텔||||고시원|02-6414-0043||서울시 관악구 신림동 1427-3|||||||아인스원룸텔||||70205
삼성리빙텔||||고시원|031-751-5558||경기도 성남시 수정구 수진동 1-5|||||||삼성리빙텔|(수정남로 75 하이코랜드빌)|||70205
4U/고시텔||||고시원|02-821-0908||서울시 동작구 노량진동 310-116|||||||4U 고시텔||||70205
리빙파크원룸텔|경찰병원역점|||고시원|02-401-1152||서울시 송파구 가락동 72-6|||||||리빙파크원룸텔 경찰병원역점|삼복빌딩 4,5층|||70205
에이플러스고시텔||||고시원|02-812-2614||서울시 동작구 노량진2동 244-80|||||||에이플러스고시텔|(노량진로 8길 50)|||70205
베스트리빙텔|서초점|||고시원|02-584-8919||서울시 서초구 서초동 1523-5|||||||베스트리빙텔 서초점|/2층|||70205
심플하우스||||고시원|02-2642-4460||서울 강서구 화곡4동 800-1|||||||심플하우스|삼정빌딩2,3층|||70205
희망고시원||||고시원|010-2571-5337||서울 노원구 공릉2동 441-151|||||||희망고시원||||70205
강리빙텔||||고시원|02-483-1520||서울시 강동구 천호3동 163-13|||||||강리빙텔||||70205
대명원룸텔||||고시원|031-444-0508||경기도 안양시 만안구 안양동 627-149|||||||대명원룸텔|3층|||70205
스위트하우스||||고시원|02-3143-2360||서울시 서대문구 연희동 48-2|||||||스위트하우스|(연희로14길 23)|||70205
라움하우스||||고시원|010-7757-4725||경기 성남시 분당구 야탑동 360-3|||||||라움하우스|(도로명 : 장미로 86)|||70205
SM리빙고시텔||||고시원|02-900-9784||서울 강북구 번1동 448-13|||||||SM리빙고시텔|3층 Sm리빙텔|||70205
탑레지던스||||고시원|02-2672-6777||서울 영등포구 영등포동6가 74-1|||||||탑레지던스||||70205
소호리빙텔월곡||||고시원|02-909-5383||서울시 성북구 하월곡2동 49-3|동덕여대||||||소호리빙텔월곡|태화빌딩 4층|||70205
리빙고시텔||||고시원|010-3014-7159||서울 강동구 명일동 346-6|||||||리빙고시텔|3층 리빙고시텔|||70205
예가고시텔||||고시원|031-826-1659||경기도 의정부시 의정부동 505-2|||||||예가고시텔||||70205
해피룸고시텔||||고시원|031-441-5138|경기도 안양시 만안구 장내로 123||||||||해피룸고시텔|(3층,4층)|||70205
가윤원룸텔||||고시원|02-403-7879||서울시 송파구 가락동 124-4|남성전용||||||가윤원룸텔|2층|||70205
가리봉고시텔/소호원룸텔||||고시원|02-867-1070||서울시 구로구 가리봉동 136-78.|||||||가리봉고시텔 소호원룸텔|79|||70205
양지홈고시원||||고시원|010-2488-9981||부산 부산진구 개금동 177-176|||||||양지홈고시원|양지홈|||70205
성문고시원||||고시원|02-742-1977||서울 종로구 숭인동 183-9|||||||성문고시원|정우빌딩 5층|||70205
토마토원룸텔|방이점|||고시원|02-424-8885||서울시 송파구 방이동 69-9|||||||토마토원룸텔 방이점|(오금로 13길 14)|||70205
스토리하우스|신당점|||고시원|02-2233-7898||서울 중구 흥인동 109|||||||스토리하우스 신당점|2~4층|||70205
삼성원룸텔||||고시원|010-6672-7361||경기도 부천시 원미구 역곡동 80-5|||||||삼성원룸텔||||70205
양재고시원||||고시원|02-577-0273||서울 서초구 양재동 327-6|||||||양재고시원|홍광빌딩 2층|||70205
싱글하우스고시텔||||고시원|02-885-5551||서울시 관악구 봉천동 891-10호 |||||||싱글하우스고시텔||||70205
애플원룸텔||||고시원|02-566-1288||서울 강남구 역삼동 723-17|||||||애플원룸텔|3층 애플원룸텔 역삼점|||70205
파크빌원룸텔||||고시원|02-409-8285||서울시 송파구 가락동 57-7|||||||파크빌원룸텔||||70205
심플하우스|양재역점|||고시원|02-577-9611||서울시 서초구 양재동 2-45|||||||심플하우스 양재역점||||70205
코지리빙텔||||고시원|02-523-2245||서울시 서초구 방배3동 529-3|||||||코지리빙텔||||70205
올리브하우스||||고시원|02-741-7787||서울 종로구 숭인동 56-38|||||||올리브하우스|동원빌딩 5층 올리브하우스|||70205
미진원룸텔||||고시원|031-555-1536||경기도 구리시 수택동 380-20|||||||미진원룸텔||||70205
하나레지던스||||고시원|010-2254-4351||서울시 마포구 신수동 22-35|||||||하나레지던스|(백범로 76 하나테크노빌 2층)|||70205
외대여성전용원룸텔||||고시원|02-968-8855||서울 동대문구 이문동 324-10|||||||외대여성전용원룸텔|(이문동 324-10)|||70205
스위트하우스||||고시원|02-485-0388||서울 강동구 성내동 423-3|||||||스위트하우스|2층 스위트하우스|||70205
베스트고시텔||||고시원|031-721-8171||경기도 성남시 분당구 성남동 3381|||||||베스트고시텔|(광명로32번길 8)|||70205
클린원룸텔|강남점|||고시원|02-515-0811||서울시 강남구 논현동 235-4|||||||클린원룸텔 강남점||||70205
현대리빙텔||||고시원|032-612-2242||경기도 부천시 원미구 심곡2동 172-1|||||||현대리빙텔|현대리빙텔|||70205
예성웰빙텔||||고시원|02-838-2771||서울시 구로구 구로4동 731-1|||||||예성웰빙텔|2층|||70205
풀하우스|아현점|||고시원|02-6414-1442||서울시 마포구 아현동 275-2|||||||풀하우스 아현점||||70205
게스트고시원||||고시원|02-2263-6033||서울 종로구 종로5가 231-9|||||||게스트고시원||||70205
심플하우스|잠실점|||고시원|02-2202-5889||서울 송파구 삼전동 29-7|||||||심플하우스 잠실점||||70205
분당레지던스2||||고시원|010-5337-8658||경기도 성남시 분당 이매동 (이매촌) 105-2|||||||분당레지던스2|이매상가 3층 분당레지던스|||70205
삼성원룸텔||||고시원|031-411-2111||경기도 안산시 초지동 743-1|||||||삼성원룸텔|비전타운 2층|||70205
현대고시텔||||고시원|031-211-8146||경기도 수원시 팔달구 우만 2동 81-6|||||||현대고시텔|7층 ( 중부대로 249,7층)|||70205
더존하우스||||고시원|02-3481-0207||서울시 동작구 사당동 252-17|||||||더존하우스|서림빌딩 5층|||70205
백석고시원||||고시원|032-671-4545||경기도 부천시 원미구 도당동 283-7|||||||백석고시원||||70205
베스트리빙텔|신림점|||고시원|02-878-3377||서울시 관악구 신림동 1433-24번지.|||||||베스트리빙텔 신림점|2층 베스트리빙텔|||70205
에이스고시텔||||고시원|031-222-8980||경기도 화성시 태안읍 병점리 386-12|||||||에이스고시텔|동아골드프라자4층|||70205
엘린하우스||||고시원|02-931-2455||서울 노원구 상계동 336|||||||엘린하우스|4층|||70205
풀하우스리빙텔||||고시원|070-8778-8789||경기도 여주시 홍문동 269-1|||||||풀하우스리빙텔||||70205
삼성고시원||||고시원|031-232-7676||경기도 수원시 권선동 1025-1|||||||삼성고시원|(권광로 114)|||70205
HJ리빙텔|인계점|||고시원|031-222-6780||경기도 수원시 팔달구 인계동 1118-3|||||||HJ리빙텔 인계점||||70205
라폐고시텔||||고시원|031-932-1345||경기도 고양시 일산구 장항동 760|||||||라폐고시텔|남정씨티프라자1 (7층)|||70205
오산원룸텔||||고시원|031-3789-080||경기도 오산시 원동 275-1|||||||오산원룸텔||||70205
파인하우스|이대점|||고시원|02-365-8202||서울시 서대문구 대현동 67-67|||||||파인하우스 이대점|(신촌로 201 춘강빌딩 4~6)|||70205
햇살가득한방고시텔||||고시원|02-2648-9101||서울 양천구 신정동 85-169|||||||햇살가득한방고시텔|(신목로 65 아이빌딩 3 ~ 5층)|||70205
드림타운||||고시원|031-251-3311||경기도 수원시 팔달구 매산로2가 5-3|||||||드림타운|드림타운|||70205
오산성산고시텔||||고시원|031-377-1101||경기도 오산시 오산동 523-18|||||||오산성산고시텔||||70205
하이리빙고시텔||||고시원|02-3285-8887||서울시 관악구 서원동 10-11|||||||하이리빙고시텔||||70205
모던하우스/원룸텔||||고시원|032-329-4396||경기도 부천시 원미 상동 463|||||||모던하우스 원룸텔|그린프라자 9층 모던하우스|||70205
웰컴고시텔||||고시원|031-205-7788||경기도 수원시 영통구 영통동 974-8|||||||웰컴고시텔||||70205
청아리빙텔||||고시원|02-383-2581||서울시 은평구 수색동 376-6|||||||청아리빙텔|( 수색로 285로)|||70205
그린고시텔||||고시원|031-842-0347||경기도 의정부시 의정부1동 197-13|||||||그린고시텔||||70205
탑레지던스|이수(사당)점|||고시원|02-521-4536||서울 동작구 사당4동 272-38|||||||탑레지던스 이수(사당)점||||70205
런던하우스||||고시원|070-8146-7688||서울 강남구 역삼동 746-14|||||||런던하우스||||70205
이레원룸텔||||고시원|02-362-0888||서울시 마포구 아현동 710-1|||||||이레원룸텔|(한국상하수도사업소옆)|||70205
캐슬고시텔||||고시원|02-312-3515|서울시 서대문구 충정로 3가 3-73||||||||캐슬고시텔||||70205
오렌지레지던스||||고시원|02-518-7181||서울 서초구 잠원동 26-15|||||||오렌지레지던스|우림빌딩|||70205
심플하우스|미아점|||고시원|02-980-4462||서울 강북구 미아동 762-81|||||||심플하우스 미아점||||70205
노매드원룸텔||||고시원|02-778-5678||서울시 중구 충무로4가 120-3|||||||노매드원룸텔|진양상가 17층|||70205
웰컴투고시텔||||고시원|02-831-3831||서울시 영등포구 신길동 65-52|||||||웰컴투고시텔||||70205
리딩뱅크고시원||||고시원|02-987-9486||서울시 강북구 미아동 126-3|||||||리딩뱅크고시원||||70205
이삭고시텔||||고시원|02-995-1338||서울시 강북구 수유동 229-18|||||||이삭고시텔||||70205
비젼원룸텔||||고시원|02-949-3778||서울시 중랑구 묵동 245-4|||||||비젼원룸텔|비전원룸텔3층|||70205
포유원룸텔||||고시원|02-858-3455||서울 금천구 독산동 299-31|||||||포유원룸텔||||70205
심플하우스|종로5가점|||고시원|02-744-7773||서울시 종로구 인의동 48-17|||||||심플하우스 종로5가점||||70205
거성고시원||||고시원|032-507-4242||인천시 부평구 부평4동 370-27|||||||거성고시원||||70205
라임하우스|교대점|||고시원|02-522-9887||서울시 서초구 서초동 1056-17|||||||라임하우스 교대점||||70205
보보레지던스분당||||고시원|031-704-8680||경기도 성남시 분당 야탑동 361-3|||||||보보레지던스분당|금탑프라자 7층 보보레지던스|||70205
하이리빙텔||||고시원|02-456-7797||서울 광진구 자양동 216-7|||||||하이리빙텔|4층|||70205
오산역/중원고시텔||||고시원|031-373-9997||경기도 오산시 오산동 543-7|||||||오산역 중원고시텔||||70205
하이리빙텔||||고시원|02-575-8212||서울 서초구 양재동 9|||||||하이리빙텔||||70205
한빛고시원||||고시원|02-815-4410||서울시 동작구 노량진2동 246-1|||||||한빛고시원||||70205
대원고시원||||고시원|02-813-6810||서울 동작구 노량진동 232-251|||||||대원고시원||||70205
그린빌고시룸||||고시원|032-344-7666||경기도 부천시 역곡동 80-7|||||||그린빌고시룸||||70205
하이레지던스|신촌점|||고시원|02-322-5870||서울시 서대문구 창천동 52-51|||||||하이레지던스 신촌점||||70205
심플하우스|삼성병원점|||고시원|02-2226-5182||서울 강남구 일원동 645|||||||심플하우스 삼성병원점||||70205
웰빙텔|연대점|||고시원|010-5895-3569||서울 서대문구 창천동 52-134|||||||웰빙텔 연대점|3층 웰빙텔|||70205
풀하우스/리빙텔||||고시원|02-419-3441||서울특별시 송파구 잠실본동 189-4|||||||풀하우스 리빙텔||||70205
금정고시텔||||고시원|02-833-9027||서울시 영등포구 신길동 466-7|||||||금정고시텔||||70205
빌라M원룸텔||||고시원|010-3933-8647||경기도 안산시 고잔동 708|||||||빌라M원룸텔|309,310호|||70205
심플하우스|동대역점|||고시원|02-2273-8988||서울시 중구 장충동 2가 187-26|||||||심플하우스 동대역점||||70205
플러스리빙텔||||고시원|031-202-1199||경기도 수원시 영통구 영통동 1009-2|||||||플러스리빙텔||||70205
이삭미니텔고시원||||고시원|02-2666-2223||서울시 강서구 방화2동 614-8|||||||이삭미니텔고시원||||70205
라임빌|서초/남부터미널점|||고시원|070-8118-6488||서울시 서초구 서초동 1431-4|||||||라임빌 서초/남부터미널점||||70205
쉐르빌원룸텔||||고시원|02-473-2360||서울 강동구 길동 333-3|||||||쉐르빌원룸텔||||70205
마이홈원룸텔|합정점|||고시원|02-322-7069||서울 마포구 합정동 383-26|||||||마이홈원룸텔 합정점||||70205
쉐르빌원룸텔/&/고시텔||||고시원|031-781-6659||경기도 성남시 분당구 서현동 265-6|||||||쉐르빌원룸텔 & 고시텔|(태성빌딩 8층)|||70205
베스트원룸텔||||고시원|031-541-0777||경기 포천시 소흘읍 송우리 729-4|||||||베스트원룸텔|대한프라자8층|||70205
모모고시텔||||고시원|031-964-8812||경기도 고양시 덕양구 화정동 968-1|||||||모모고시텔|장원플라자 8층|||70205
e고시텔||||고시원|032-506-8430||인천시 부평구 부평동 605-8|||||||e고시텔||||70205
홍대고시텔||||고시원|010-9879-9883||서울시 마포구 서교동 356-3|||||||홍대고시텔||||70205
송희고시원||||고시원|02-704-2775||서울 마포구 공덕동 30-3|||||||송희고시원|송희빌딩 5층 (만리동 고개)|||70205
페파민트/오피스||||고시원|032-347-0274||경기도 부천시 원미 소사동 13-32|||||||페파민트 오피스||||70205
코코리빙텔|구의점|||고시원|02-456-4473||서울시 광진구 구의동 71-26호 |||||||코코리빙텔 구의점||||70205
비버고시텔|대방점|||고시원|02-844-8420||서울시 영등포구 신길2동 110-2|||||||비버고시텔 대방점||||70205
한마음고시텔||||고시원|02-461-0129||서울 광진구 화양동 20ㅡ25 |||||||한마음고시텔||||70205
프라젠원룸텔||||고시원|031-214-2000||경기도 수원시 영통구 원천동 79-8|||||||프라젠원룸텔||||70205
모던리빙텔||||고시원|032-343-9002||경기도 부천시 소사 괴안동 127-2|||||||모던리빙텔|위드프러스타워 7층|||70205
행복리빙텔||||고시원|02-564-7800||서울시 강남구 역삼동 789-15|||||||행복리빙텔||||70205
이룸하우스||||고시원|031-312-9700||경기도 시흥시 대야동 529-3|||||||이룸하우스|호경프라자 7층|||70205
이지원룸텔||||고시원|02-971-2959|서울 노원구 공릉로 172||||||||이지원룸텔|반야빌딩 5층|||70205
백운고시원||||고시원|032-511-0209||인천광역시 부평구 십정동 170-46|||||||백운고시원|대경빌딩 4층|||70205
에코하우스||||고시원|02-813-8200||서울시 동작구 노량진동 221-64|||||||에코하우스|(민양로 67)|||70205
허그고시텔||||고시원|031-399-6703||경기도 군포시 산본동 1137-2|||||||허그고시텔|여명프라자7층 (산본로323번기 26-30)|||70205
