##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@처브라이프생명
처브라이프생명|스페셜지점|127.046427|37.5031973|처브라이프생명|02-2183-0910|서울특별시 강남구 테헤란로 322||||||||처브라이프생명 스페셜지점|(역삼동,한신인터밸리24빌딩) 23층|||40604
처브라이프생명|새전주지점|127.106451|35.8155445|처브라이프생명|063-271-3900|전라북도 전주시 완산구 홍산로 246||||||||처브라이프생명 새전주지점|(효자동2가) 계성이지움빌딩 9층|||40604
처브라이프생명|SP/CENTER|127.055577|37.5076659|처브라이프생명|02-2107-4606|서울특별시 강남구 삼성로 511||||||||처브라이프생명 SP/CENTER|(삼성동,골든타워) 5-6층|||40604
처브라이프생명|광주지점|35.1506707|126.848911|처브라이프생명|062-385-8720|광주광역시 서구 상무중앙로 42||||||||처브라이프생명 광주지점|(치평동,은혜빌딩) 오션2빌딩 10층|||40604
처브라이프생명|창원지점|128.681319|35.2292050|처브라이프생명|055-287-5577|경상남도 창원시 의창구 용지로 159||||||||처브라이프생명 창원지점|(용호동,대구은행빌딩) 5층|||40604
처브라이프생명|대구지점|128.601189|35.8693555|처브라이프생명|053-427-3510|대구광역시 중구 국채보상로 648||||||||처브라이프생명 대구지점|(동인동2가,호수빌딩) 13층|||40604
처브라이프생명|노블지점|129.075643|35.1778640|처브라이프생명|051-866-2221|부산광역시 연제구 중앙대로 1000||||||||처브라이프생명 노블지점|(연산동,국민연금공단부산회관빌딩) 16층|||40604
처브라이프생명|태양지점|127.046427|37.5031973|처브라이프생명|02-2183-2323|서울특별시 강남구 테헤란로 322||||||||처브라이프생명 태양지점|(역삼동,한신인터밸리24빌딩) 23층|||40604
처브라이프생명|아라온지점|127.046427|37.5031973|처브라이프생명|02-2183-0910|서울특별시 강남구 테헤란로 322||||||||처브라이프생명 아라온지점|(역삼동,한신인터밸리24빌딩) 23층|||40604
처브라이프생명|한성지점|127.046427|37.5031973|처브라이프생명|02-2183-0948|서울특별시 강남구 테헤란로 322||||||||처브라이프생명 한성지점|(역삼동,한신인터밸리24빌딩) 23층|||40604
