##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@병원장례식장
전곡효사랑병원장례식장||127.0685928|38.017361|병원장례식장|031-832-4444|경기도 연천군 전곡읍 평화로 525||직영||||||전곡효사랑병원장례식장|(전곡리)|||91903
서정리장례식장||127.0636065|37.055212|병원장례식장|031-646-2000|경기도 평택시 정암로 78-14||임대||||||서정리장례식장|(이충동)|||91903
세종여주병원장례식장||127.6371628|37.2980237|병원장례식장|031-886-4496||경기도 여주시 하동 435-1|임대||||||세종여주병원장례식장||||91903
가남베스트장례식장||127.6371628|37.2980237|병원장례식장|031-882-1024|경기도 여주시 가남읍 경충대로961번길 2-15||임대||||||가남베스트장례식장||||91903
경기도의료원/안성병원장례식장||127.2576532|37.0150833|병원장례식장|031-8046-5044|경기도 안성시 남파로 95||직영||||||경기도의료원 안성병원장례식장|(당왕동 436)|||91903
성혜원장례식장||127.2691299|37.0166143|병원장례식장|031-671-6500|경기도 안성시 남파로 169||임대||||||성혜원장례식장|지하 (당왕동,성요셉병원)|||91903
호반병원장례식장||127.7075078|37.8565629|병원장례식장|033-252-0046|강원도 춘천시 옛경춘로 663||직영||||||호반병원장례식장|(삼천동)|||91903
철원병원장례식장||127.3077345|38.1502529|병원장례식장|033-452-0044|강원도 철원군 갈말읍 명성로 208||직영||||||철원병원장례식장|(군탄리)|||91903
철원장례문화원||127.2203068|38.2010265|병원장례식장|033-546-4444|강원도 철원군 동송읍 금학로157번길 23-17||임대||||||철원장례문화원|(이평리)|||91903
강원대학교병원장례식장||127.7450198|37.8753509|병원장례식장|033-254-5611|강원도 춘천시 백령로 156||직영||||||강원대학교병원장례식장|(효자동)|||91903
장호원요양병원장례식장||127.6289586|37.1196104|병원장례식장|031-641-2660|경기도 이천시 장호원읍 샘재로145번길 41||임대||||||장호원요양병원장례식장|(장호원리,장호원요양병원)|||91903
홍천아산병원장례식장||127.8946511|37.6906658|병원장례식장|033-430-5420|강원도 홍천군 홍천읍 산림공원1길 17||직영||||||홍천아산병원장례식장|(갈마곡리)|||91903
음성금왕태성병원장례식장||127.5987129|36.9975346|병원장례식장|043-877-4444|충청북도 음성군 금왕읍 음성로1230번길 12||임대||||||음성금왕태성병원장례식장|(금석리)|||91903
단국대학/천안사업소/장례식장||127.1749976|36.8418782|병원장례식장|041-550-7474|충청남도 천안시 동남구 망향로 201||직영||||||단국대학 천안사업소 장례식장|(안서동)|||91903
원주민중요양병원||127.9463149|37.3786745|병원장례식장|033-732-4670|강원도 원주시 북원로 2636||직영||||||원주민중요양병원|(태장동)|||91903
진천효병원장례식장||127.437452|36.8850761|병원장례식장|043-537-0034|충청북도 진천군 이월면 반지길 54||임대||||||진천효병원장례식장|(사곡리,진천효병원)|||91903
횡성대성장례센터||127.9797883|37.4783172|병원장례식장|033-343-1444|강원도 횡성군 횡성읍 횡성로 273||임대||||||횡성대성장례센터|(입석리)|||91903
연세대학교/원주장례사업소||127.9448265|37.3480183|병원장례식장|033-744-3969|강원도 원주시 일산로 20||직영||||||연세대학교 원주장례사업소|내 (일산동,연세대학교원주세브란스기독병원)|||91903
횡성삼성병원장례식장||127.9844565|37.4960792|병원장례식장|033-342-4444|강원도 횡성군 횡성읍 삼일로81번길 40||직영||||||횡성삼성병원장례식장|(읍하리,횡성제일병원)|||91903
원주의료원장례식장||127.9489068|37.3330067|병원장례식장|033-760-4644|강원도 원주시 서원대로 387||직영||||||원주의료원장례식장|(개운동,지방공사강원도원주의료원)|||91903
충무병원장례식장||127.1315479|36.7973471|병원장례식장|041-570-7555|충청남도 천안시 서북구 다가말3길 8||직영||||||충무병원장례식장|(쌍용동)|||91903
호두나무장례문화원||127.157661|36.794539|병원장례식장|041-414-4445|충청남도 천안시 동남구 청수로 123-11||임대||||||호두나무장례문화원|(구성동,호두나무요양병원)|||91903
합덕장례식장||126.7745117|36.8079041|병원장례식장|041-363-7575|충청남도 당진시 합덕읍 합덕시장로 174-1||임대||||||합덕장례식장|지하 (운산리,서울병원)|||91903
진천성모병원장례식장||127.4396491|36.8587463|병원장례식장|043-536-4499|충청북도 진천군 진천읍 중앙북로 24||임대||||||진천성모병원장례식장|(읍내리,진천성모병원)|||91903
아산충무병원/국화원||127.0200411|36.7792199|병원장례식장|041-548-7444|충청남도 아산시 문화로 381||임대||||||아산충무병원 국화원|(모종동)|||91903
천안의료원장례식장||127.1800625|36.7754092|병원장례식장|041-570-7044|충청남도 천안시 동남구 충절로 537||직영||||||천안의료원장례식장|(삼룡동)|||91903
바른요양병원장례식장||127.990646|37.2931|병원장례식장|033-735-4444|강원도 원주시 판부면 치악로 1139||임대||||||바른요양병원장례식장|(금대리)|||91903
예산명지병원장례식장||126.8344759|36.7135463|병원장례식장|041-334-0443|충청남도 예산군 예산읍 신례원로 26||임대||||||예산명지병원장례식장|(관작리)|||91903
예산요양병원장례식장||126.8336859|36.693906|병원장례식장|041-331-0044|충청남도 예산군 예산읍 금오대로 49-5||직영||||||예산요양병원장례식장|(산성리)|||91903
예산종합병원장례식장||126.8377044|36.6910697|병원장례식장|041-331-4444|충청남도 예산군 예산읍 금오대로 94||임대||||||예산종합병원장례식장|(산성리)|||91903
서산의료원상례원||126.4653268|36.7754103|병원장례식장|041-689-7444|충청남도 서산시 중앙로 149||직영||||||서산의료원상례원|(석림동)|||91903
건국대학교충주병원장례식장||127.9288846|36.9789554|병원장례식장|043-840-8444|충청북도 충주시 국원대로 82||직영||||||건국대학교충주병원장례식장|(교현동)|||91903
충주병원장례식장||127.9258547|36.9737638|병원장례식장|043-845-5100|충청북도 충주시 중심1길 12||직영||||||충주병원장례식장|(문화동)|||91903
충주의료원장례식장||127.9707484|36.9798103|병원장례식장|043-871-0444|충청북도 충주시 안림로 239-50||직영||||||충주의료원장례식장|(안림동)|||91903
초정유진장례식장||127.593047|36.7236186|병원장례식장|043-213-0030|충청북도 청주시 청원구 내수읍 우산길 91||직영||||||초정유진장례식장|(우산리)|||91903
주)대광성모병원/장례식장||127.7842382|36.8154141|병원장례식장|043-833-4411|충청북도 괴산군 괴산읍 임꺽정로 116||직영||||||주)대광성모병원 장례식장|(서부리)|||91903
태안군보건의료원/상례원||126.3229392|36.7519439|병원장례식장|041-671-5303|충청남도 태안군 태안읍 서해로 1952-16||직영||||||태안군보건의료원 상례원|(평천리,태안군보건의료원)|||91903
청주의료원장례식장||127.4734522|36.6404215|병원장례식장|043-279-0144|충청북도 청주시 서원구 흥덕로 48||직영||||||청주의료원장례식장|(사직동)|||91903
청주병원장례식장||127.4889765|36.643099|병원장례식장|043-254-1244|충청북도 청주시 상당구 상당로 163||직영||||||청주병원장례식장|(북문로3가)|||91903
충북대학교병원장례식장||127.4890319|36.6424341|병원장례식장|043-269-6969|충청북도 청주시 서원구 1순환로 776||직영||||||충북대학교병원장례식장|(개신동,충북대학교병원)|||91903
홍성의료원장례식장||126.6743322|36.5988023|병원장례식장|041-630-6244|충청남도 홍성군 홍성읍 조양로 224||직영||||||홍성의료원장례식장|(고암리)|||91903
