##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@CU
CU|E의왕휴게소상행선점|||CU|031-477-7893|경기도 의왕시 오전로 24|경기도 의왕시 왕곡동 252|24시간||||||CU E의왕휴게소상행선점|경기남부도로 (왕곡동) 경기남부도로;경기남부도로|||90704
CU|E의왕휴게소하행선점|||CU|031-429-9256|경기도 의왕시 오전로 24|경기도 의왕시 왕곡동 산33-5|24시간||||||CU E의왕휴게소하행선점|경기남부도로 (왕곡동) 경기남부도로;경기남부도로|||90704
CU|E의정부휴게소점|||CU|||경기도 의정부시 산곡동 304-2|24시간;커피||||||CU E의정부휴게소점||||90704
CU|E청도휴게소(상)점|||CU||경상북도 청도군 청도읍 하지길 59-50|경상북도 청도군 청도읍 거연리 산288-4|24시간||||||CU E청도휴게소(상)점|(거연리)|||90704
CU|E청도휴게소(하)점|||CU||경상북도 청도군 청도읍 하지길 59-49|경상북도 청도군 청도읍 거연리 950|24시간||||||CU E청도휴게소(하)점|(거연리)|||90704
CU|JJ가락점|||CU|02-448-5375|서울특별시 송파구 송이로27길 6|서울특별시 송파구 가락동 127-20|24시간;택배;베이커리;튀김;커피;ATM||||||CU JJ가락점|(가락동)|||90704
CU|JJ올림픽점|||CU|02-401-2495|서울특별시 송파구 양재대로 1222|서울특별시 송파구 방이동 89-11|24시간;택배;커피||||||CU JJ올림픽점|방이동 (방이동);방이동|||90704
CU|JTBC일산지점|||CU|||경기도 고양시 일산동구 장항동 1778|택배||||||CU JTBC일산지점|(일산동구 한류월드로 270)|||90704
CU|JW타워점|||CU||서울특별시 서초구 남부순환로 2477|서울특별시 서초구 서초동 1424-2|||||||CU JW타워점|JWTOWER (서초동);JWTOWER|||90704
CU|KCC스위첸점|||CU||전라북도 전주시 덕진구 오송1길 37-13|전라북도 전주시 덕진구 송천동1가 97-6|24시간;택배;튀김;커피;ATM||||||CU KCC스위첸점||||90704
CU|KH기쁨주유소점|||CU|031-977-5156|경기도 고양시 일산동구 고양대로 1064|경기도 고양시 일산동구 식사동 609-7|||||||CU KH기쁨주유소점|(식사동) 1층;1층|||90704
CU|KH덕소주유소점|||CU|031-577-2916|경기도 남양주시 와부읍 경강로 881|경기도 남양주시 와부읍 713-1|24시간||||||CU KH덕소주유소점|GS덕소주유소 (팔당리);GS덕소주유소|||90704
CU|KH독립문주유소점|||CU|080-80-3663|서울특별시 서대문구 통일로 384|서울특별시 서대문구 홍제동 103-10|커피||||||CU KH독립문주유소점|독립문주유소 1층;독립문주유소 1층|||90704
CU|KH에너지연천충전소점|||CU||경기도 연천군 청산면 평화로 193|경기도 연천군 청산면 초성리 366-2|||||||CU KH에너지연천충전소점|연천LPG충전소 (초성리) 연천LPG충전소;연천LPG충전소|||90704
CU|KH외발산주유소점|||CU|||서울특별시 강서구 외발산동 379|커피||||||CU KH외발산주유소점|외 5필지|||90704
CU|KORAIL연수원점|||CU|033-820-7725|강원도 양양군 강현면 동해대로 3457|강원도 양양군 강현면 정암리 952|||||||CU KORAIL연수원점|(정암리)|||90704
CU|KTX강릉역점|||CU|033-645-5555|강원도 강릉시 용지로 174|강원도 강릉시 교2동 129-6|24시간;택배;커피;ATM||||||CU KTX강릉역점|(교동)|||90704
CU|KTX광명점|||CU|02-899-2552|경기도 광명시 신기로17번길 3|경기도 광명시 일직동 510-6|24시간;택배;커피;ATM||||||CU KTX광명점|서원빌딩 (일직동);서원빌딩|||90704
CU|KTX서대구광장점|||CU|053-560-5525|대구광역시 서구 와룡로 489|대구광역시 서구 상중이동 42-35|24시간;택배;커피||||||CU KTX서대구광장점|(이현동)|||90704
CU|KT스마트메디타워점|||CU|053-552-7988|대구광역시 중구 동덕로 167|대구광역시 중구 동인동2가 74-15|택배;커피||||||CU KT스마트메디타워점|(동인동2가) 1층;1층|||90704
CU|KT지식센터점|||CU|070-4416-0927|서울특별시 영등포구 영신로 220|서울특별시 영등포구 영등포동8가 92|택배;베이커리;커피||||||CU KT지식센터점|(영등포동8가) 1층 104호;1층 104호|||90704
CU|LG로점|||CU|031-948-5424|경기도 파주시 월롱면 엘지로 248|경기도 파주시 월롱면 덕은리 1015|24시간;택배;커피;ATM||||||CU LG로점|(덕은리) 1층;1층|||90704
CU|M강남역점|||CU|02-556-5590|서울특별시 강남구 테헤란로 101|서울특별시 강남구 역삼동 821-1|||||||CU M강남역점|강남역구내상가 번호 (역삼동);강남역구내상가 번호|||90704
CU|M건대입구역점|||CU|02-457-5556|서울특별시 광진구 아차산로 243|서울특별시 광진구 화양동 7-3|||||||CU M건대입구역점|구내상가 번호 04 선 건대입구역 (화양동) 2층층;구내상가 번호 04선 건대입구역 2층층|||90704
CU|M구의역점|||CU|02-457-5556|서울특별시 광진구 아차산로 384-1|서울특별시 광진구 구의동 245-24|||||||CU M구의역점|(구의동,2호선 구의역);2호선 구의역|||90704
CU|M대림역점|||CU|02-3414-3300|서울특별시 영등포구 대림로 지하137|서울특별시 영등포구 대림동 1050-17|||||||CU M대림역점|대림역;대림역|||90704
CU|M미아역점|||CU|02-985-5558|서울특별시 강북구 도봉로 200|서울특별시 강북구 미아동 197-14|||||||CU M미아역점|선미아역구내상가 번호 05 (미아동);선미아역구내상가번호 05|||90704
CU|M사당폰토피아점|||CU|010-6340-3382|서울특별시 동작구 동작대로 지하3|서울특별시 동작구 사당동 588-45|베이커리;커피;ATM||||||CU M사당폰토피아점|사당역 (4호선) (사당동) 사당역 (4호선);사당역 (4호선)|||90704
CU|M신도림역점|||CU||서울특별시 구로구 새말로 117-21|서울특별시 구로구 신도림동 460-26|||||||CU M신도림역점|구내상가 번호 (신도림동);구내상가 번호|||90704
CU|M신촌역점|||CU||서울특별시 마포구 신촌로 90|서울특별시 마포구 노고산동 57-5|||||||CU M신촌역점|구내상가 번호 (노고산동);구내상가 번호|||90704
CU|M양재역점|||CU||서울특별시 서초구 남부순환로 2585|서울특별시 서초구 서초동 1366-9|||||||CU M양재역점|선양재역구내상가 번호08 (서초동) 지하1층층;선양재역구내상가 번호 08 지하1층층|||90704
CU|M역삼역점|||CU||서울특별시 강남구 테헤란로 156|서울특별시 강남구 역삼동 804|||||||CU M역삼역점|(역삼동);역삼역|||90704
CU|M잠실롯데타워점|||CU|02-423-4459|서울특별시 송파구 올림픽로 305|서울특별시 송파구 신천동 7-4|커피||||||CU M잠실롯데타워점|잠실역8호선;잠실역8호선|||90704
CU|M잠실역점|||CU|02-423-0625|서울특별시 송파구 올림픽로 265|서울특별시 송파구 잠실동 8|||||||CU M잠실역점|서울메트로 2호선 잠실역 (잠실동) 1층 216동 02호;서울메트로 2호선 잠실역 1층 216동 02호|||90704
CU|M종합운동장역점|||CU|02-424-0625|서울특별시 송파구 올림픽로 23|서울특별시 송파구 잠실동 122|||||||CU M종합운동장역점|서울메트로 2호선 (잠실동) 지하층 218동 02호;서울메트로 2호선 지하층 218동 02호|||90704
CU|M홍제역점|||CU||서울특별시 서대문구 통일로 440-1|서울특별시 서대문구 홍제동 161-1|||||||CU M홍제역점|선홍제역 지하 (홍제동) 지하2층;선홍제역 지하지하2층|||90704
CU|NHN내츄럴스토어점|||CU|031-712-8714|경기도 성남시 분당구 불정로 6|경기도 성남시 분당구 정자동 178-1|24시간;커피||||||CU NHN내츄럴스토어점|엔에치엔주식회사 주식회사 (정자동);엔에치엔주식회사 주식회사|||90704
CU|SBS목동신사옥점|||CU|02-2652-9890|서울특별시 양천구 목동서로 161|서울특별시 양천구 목동 920|||||||CU SBS목동신사옥점|S방송센터 SB 내 (목동) B1층;S방송센터 SB 내 B1층|||90704
CU|SK21세기주유소점|||CU|02-832-7926|서울특별시 동작구 시흥대로 616|서울특별시 동작구 신대방동 686-44|||||||CU SK21세기주유소점|(신대방동)|||90704
CU|SK4공단주유소점|||CU|042-935-6051|대전광역시 대덕구 대덕대로 1412|대전광역시 대덕구 신일동 1684|24시간;커피||||||CU SK4공단주유소점|SK4공단 주유소 (신일동);SK4공단 주유소|||90704
CU|SKKOREA주유소점|||CU|02-2646-6121|서울특별시 양천구 신목로7길 1|서울특별시 양천구 신정동 296-31|||||||CU SKKOREA주유소점|(신정동)|||90704
CU|SK가산IC주유소점|||CU|054-976-6051|경상북도 칠곡군 가산면 송신로 113|경상북도 칠곡군 가산면 천평리 4|ATM||||||CU SK가산IC주유소점|(천평리)|||90704
CU|SK가양주유소점|||CU|02-3664-6051|서울특별시 강서구 강서로 498|서울특별시 강서구 가양동 151-1|24시간||||||CU SK가양주유소점|(가양동)|||90704
CU|SK강매주유소점|||CU|031-972-1555|경기도 고양시 덕양구 중앙로 316|경기도 고양시 흥도동 704|24시간;택배;커피||||||CU SK강매주유소점|도내동주유소 (도내동) 1층;도내동주유소 1층|||90704
CU|SK강변주유소점|||CU|051-301-3441|부산광역시 사상구 낙동대로 1274|부산광역시 사상구 삼락동 409-12|||||||CU SK강변주유소점|SK주유소 (삼락동) 1층;SK주유소 1층|||90704
CU|SK강화경기주유소점|||CU|032-933-5060|인천광역시 강화군 선원면 중앙로 233|인천광역시 강화군 선원면 창리 612-2|||||||CU SK강화경기주유소점|(창리) 1층;1층|||90704
CU|SK개나리주유소점|||CU|033-264-0370|강원도 춘천시 퇴계로 231|강원도 춘천시 석사동 818-6|택배;커피||||||CU SK개나리주유소점|(석사동)|||90704
CU|SK경기주유소점|||CU|031-665-4253|경기도 평택시 송탄로 81|경기도 평택시 장당동 477-2|택배||||||CU SK경기주유소점|(장당동) 1층;1층|||90704
CU|SK경산주유소점|||CU|053-853-6051|경상북도 경산시 진량읍 대학로 1021|경상북도 경산시 진량읍 신상리 1083|||||||CU SK경산주유소점|(신상리)|||90704
CU|SK경원주유소점|||CU|031-668-5185|경기도 평택시 경기대로 1602|경기도 평택시 독곡동 384-6|택배;커피;ATM||||||CU SK경원주유소점|(독곡동)|||90704
CU|SK고속세차주유소점|||CU|031-214-6644|경기도 수원시 영통구 중부대로 384|경기도 수원시 영통구 매탄동 1-1|24시간||||||CU SK고속세차주유소점|수원고속주유소 (매탄동) 1층;수원고속주유소 1층|||90704
CU|SK고속주유소점|||CU|031-261-1374|경기도 용인시 수지구 포은대로 95|경기도 용인시 수지구 상현동 373-3|||||||CU SK고속주유소점|(상현동) 1층;1층|||90704
CU|SK고잔주유소점|||CU|031-413-8076|경기도 안산시 단원구 적금로 114|경기도 안산시 단원구 고잔동 519-2|||||||CU SK고잔주유소점|(고잔동)|||90704
CU|SK고현주유소점|||CU||경상남도 거제시 고현로 177|경상남도 거제시 고현동 963-7|택배;커피||||||CU SK고현주유소점|SK주유소 (고현동) SK주유소 1층 1동 1호;SK주유소 1층 1동 1호|||90704
CU|SK공단1주유소점|||CU|032-812-4162|인천광역시 남동구 남동대로 357|인천광역시 남동구 남촌동 624-3|ATM||||||CU SK공단1주유소점|(남촌동) 1층;1층|||90704
CU|SK공단2주유소점|||CU|032-817-8781|인천광역시 남동구 앵고개로 463|인천광역시 남동구 고잔동 673-10|ATM||||||CU SK공단2주유소점|(고잔동) 1층;1층|||90704
CU|SK광덕주유소점|||CU|02-923-5545|서울특별시 성북구 보문로 89|서울특별시 성북구 보문동5가 145-1|24시간;ATM||||||CU SK광덕주유소점|(보문동5가) 1층;1층|||90704
CU|SK광명삼성주유소점|||CU|02-898-4454|경기도 광명시 범안로 925|경기도 광명시 하안동 338-1|||||||CU SK광명삼성주유소점|(하안동) 1층층;1층층|||90704
CU|SK광주OK주유소점|||CU|062-511-5106|광주광역시 북구 하남대로 691|광주광역시 북구 동림동 885-12|24시간||||||CU SK광주OK주유소점|SK광주OK주유소 (동림동) 1층;SK광주OK주유소 1층|||90704
CU|SK괴정주유소점|||CU|051-206-7446|부산광역시 사하구 사하로 129|부산광역시 사하구 괴정동 493-10|택배||||||CU SK괴정주유소점|(괴정동)|||90704
CU|SK구성신도시주유소점|||CU|031-287-0151|경기도 용인시 기흥구 용구대로 2381|경기도 용인시 기흥구 마북동 507|24시간||||||CU SK구성신도시주유소점|(마북동)|||90704
CU|SK군자주유소점|||CU|031-495-5184|경기도 시흥시 도일로 146|경기도 시흥시 거모동 1770-12|||||||CU SK군자주유소점|(거모동)|||90704
CU|SK극동주유소점|||CU|055-255-5079|경상남도 창원시 마산회원구 삼호로 258|경상남도 창원시 마산회원구 석전동 270-32|24시간||||||CU SK극동주유소점|(석전동)|||90704
CU|SK기흥톨게이트주유소|||CU|031-285-8733|경기도 용인시 기흥구 삼성2로 34|경기도 용인시 기흥구 농서동 267-2|||||||CU SK기흥톨게이트주유소|(농서동)|||90704
CU|SK길동고속주유소점|||CU|02-472-1996|서울특별시 강동구 천호대로 1246|서울특별시 강동구 둔촌동 600-1|24시간||||||CU SK길동고속주유소점|(둔촌동) 1층;1층|||90704
CU|SK김포주유소점|||CU|031-982-5488|경기도 김포시 김포대로 970|경기도 김포시 북변동 800|24시간;택배;커피||||||CU SK김포주유소점|(북변동)|||90704
CU|SK남대구IC주유소점|||CU|053-582-5361|대구광역시 달서구 성서공단로 372|대구광역시 달서구 월성동 210|24시간;택배;커피;ATM||||||CU SK남대구IC주유소점|(월성동)|||90704
CU|SK남부셀프주유소점|||CU|02-2690-5001|서울특별시 양천구 남부순환로 553|서울특별시 양천구 신월동 525-1|24시간||||||CU SK남부셀프주유소점|남부셀프주유소 (신월동) 1층;남부셀프주유소 1층|||90704
CU|SK남촌주유소점|||CU|031-375-6300|경기도 오산시 청학로 4|경기도 오산시 가수동 298-1|24시간;택배||||||CU SK남촌주유소점|(가수동) 1층;1층|||90704
CU|SK노원역주유소점|||CU|02-933-5103|서울특별시 노원구 노해로75길 20-25|서울특별시 노원구 상계동 706-2|24시간;택배||||||CU SK노원역주유소점|(상계동)|||90704
CU|SK노은주유소점|||CU|042-477-5182|대전광역시 유성구 노은동로 79|대전광역시 유성구 노은동 534-11|택배||||||CU SK노은주유소점|(노은동) 1층;1층|||90704
CU|SK논현제일주유소점|||CU|032-437-5185|인천광역시 남동구 청능대로 460|인천광역시 남동구 고잔동 246-16|||||||CU SK논현제일주유소점|(고잔동) 1층;1층|||90704
CU|SK대구합천주유소점|||CU|053-356-1010|대구광역시 서구 염색공단천로 78|대구광역시 서구 비산동 2043-16|커피;ATM||||||CU SK대구합천주유소점|(비산동) 1층;1층|||90704
CU|SK대명주유소점|||CU|02-2201-4392|서울특별시 광진구 광나루로 460|서울특별시 광진구 화양동 302-13|24시간||||||CU SK대명주유소점|(화양동) 1층;1층|||90704
CU|SK대성주유소점|||CU|041-546-5992|충청남도 아산시 온천대로 1660|충청남도 아산시 풍기동 206-1|24시간||||||CU SK대성주유소점|SK대성주유소 (풍기동);SK대성주유소|||90704
CU|SK대양충전소점|||CU|052-298-3114|울산광역시 북구 산업로 1454|울산광역시 북구 신천동 422-2|24시간;ATM||||||CU SK대양충전소점|(신천동)|||90704
CU|SK대우셀프주유소점|||CU|02-572-0567|서울특별시 서초구 양재대로 173|서울특별시 서초구 양재동 216|||||||CU SK대우셀프주유소점|톨게이트주유소;톨게이트주유소|||90704
CU|SK대자셀프주유소점|||CU|031-969-5186|경기도 고양시 덕양구 통일로 499|경기도 고양시 덕양구 대자동 271-8|||||||CU SK대자셀프주유소점|대자주유소 1층;대자주유소 1층|||90704
CU|SK대전OK주유소점|||CU|042-633-8757|대전광역시 대덕구 대전로 1312|대전광역시 대덕구 읍내동 454-7|||||||CU SK대전OK주유소점|SK대전OK주유소 (읍내동) 1층;SK대전OK주유소 1층|||90704
CU|SK대전청사주유소점|||CU|042-486-6222|대전광역시 서구 대덕대로 188|대전광역시 서구 둔산동 1161|24시간;택배;커피;ATM||||||CU SK대전청사주유소점|SK대전청사 주유소 (둔산동) 1층;SK대전청사 주유소 1층|||90704
CU|SK대호주유소점|||CU|031-243-6022|경기도 수원시 영통구 창룡대로 442|경기도 수원시 영통구 이의동 27-1|24시간||||||CU SK대호주유소점|(이의동)|||90704
CU|SK덕양제2주유소점|||CU|031-924-5192|경기도 고양시 일산서구 경의로 940|경기도 고양시 일산서구 덕이동 309-5|||||||CU SK덕양제2주유소점||||90704
CU|SK도봉행복주유소점|||CU|02-3492-7371|서울특별시 도봉구 도봉로 941|서울특별시 도봉구 도봉동 298-2|택배;커피||||||CU SK도봉행복주유소점|다락원주유소 (도봉동) 다락원주유소;다락원주유소|||90704
CU|SK도움아주주유소점|||CU|055-681-5141|경상남도 거제시 거제대로 3417|경상남도 거제시 아주동 246-7|||||||CU SK도움아주주유소점|(아주동)|||90704
CU|SK동광주유소점|||CU|052-287-3626|울산광역시 북구 안기번득길 21|울산광역시 북구 화봉동 982-8|||||||CU SK동광주유소점|(화봉동)|||90704
