##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@LF아울렛
LF|제주도남종합아울렛|126.5208299|33.4924768|아울렛|064-726-1972|제주특별자치도 제주시 연삼로 265|제주특별자치도 제주시 도남동 1035|||||||LF 제주도남종합아울렛|(도남동)|||90210
LF|전주효자아울렛|127.1230474|35.8052525|아울렛|063-222-0080|전라북도 전주시 완산구 백제대로 139|전북 전주시 완산구 효자동1가 549-8|||||||LF 전주효자아울렛|(효자동1가)|||90210
LF|일산마두아울렛|126.7778579|37.6510414|아울렛|031-932-7017|경기도 고양시 일산동구 중앙로 1167|경기 고양시 일산동구 장항동 896|||||||LF 일산마두아울렛|(장항동)|||90210
LF|인천작전아울렛|126.7229245|37.5338817|아울렛|032-541-2002|인천광역시 계양구 계양대로 114|인천 계양구 작전동 854-2|||||||LF 인천작전아울렛|(작전동)|||90210
LF|울산모다아울렛/질스튜어트스포츠|129.3572024|35.577077|아울렛|052-935-3063|울산 북구 진장유통로 78-6|울산 북구 진장동 283-4|||||||LF 울산모다아울렛/질스튜어트스포츠|1층|||90210
LF|여주프리미엄아울렛/이자벨마랑|127.6124838|37.2412687|아울렛|031-880-1320|경기도 여주시 명품로 360|경기도 여주시 상거동 460|||||||LF 여주프리미엄아울렛/이자벨마랑|(상거동, 여주프리미엄아울렛) 1층;여주프리미엄아울렛|||90210
LF|여주프리미엄아울렛/라움|127.6124838|37.2412687|아울렛|031-880-1441|경기도 여주시 명품로 360|경기도 여주시 상거동 460|||||||LF 여주프리미엄아울렛/라움|(상거동, 여주프리미엄아울렛);여주프리미엄아울렛|||90210
LF|양산공장아울렛|129.0364082|35.3670096|아울렛|055-385-0494|경상남도 양산시 어실로 46|경남 양산시 유산동 119|||||||LF 양산공장아울렛|(유산동)|||90210
LF|안양물류아울렛|126.9722278|37.393734|아울렛|031-424-6851|경기도 안양시 동안구 흥안대로439번길 40|경기 안양시 동안구 관양동 934-1|||||||LF 안양물류아울렛|(관양동)|||90210
LF|아산퍼스트TNGT|127.0276529|36.8971975|아울렛|041-536-0674|충남 아산시 둔포면 해위안길 127|충남 아산시 둔포면 신항리 17-3|||||||LF 아산퍼스트TNGT|본관 3층|||90210
LF|신세계사이먼/부산프리미엄아울렛|129.2356861|35.3228737|아울렛|-|부산광역시 기장군 정관로 1133|부산광역시 기장군 장안읍 좌천리 545|||||||LF 신세계사이먼/부산프리미엄아울렛|(장안읍, 부산프리미엄아울렛);부산프리미엄아울렛|||90210
LF|신내종합아울렛|||아울렛|02-3422-5043|서울특별시 중랑구 용마산로 623|서울 중랑구 신내동 387-1|||||||LF 신내종합아울렛|(신내동)|||90210
LF|시흥첼시/닥스ACC|||아울렛|031-8072-3117|경기 시흥시 서해안로 699|경기 시흥시 정왕동 1772-7|||||||LF 시흥첼시/닥스ACC|신세계 프리미엄 아울렛|||90210
LF|스타필드고양TNGT|126.8978037|37.6458842|아울렛|031-5173-2011|경기 고양시 덕양구 고양대로 1972-8|경기 고양시 덕양구 동산동 77-19|||||||LF 스타필드고양TNGT|(동산동) 스타필드고양점 2층|||90210
LF|스타필드고양/앳코너|126.8978803|37.6459204|아울렛|031-5173-1011|경기도 고양시 덕양구 고양대로 1972-8|경기도 고양시 덕양구 동산동 77-19|||||||LF 스타필드고양/앳코너|(동산동) 1층 1119호|||90210
LF|스타필드고양/블루라운지마에스트로|126.8978803|37.6459204|아울렛|031-5173-2087|경기도 고양시 덕양구 고양대로 1972-8|경기도 고양시 덕양구 동산동 77-19|||||||LF 스타필드고양/블루라운지마에스트로|(동산동) 2층 BLM(신사관)|||90210
LF|스타필드/코엑스/앳코너|||아울렛|02-551-3533|서울 강남구 영동대로 513|서울 강남구 삼성동 159|||||||LF 스타필드/코엑스/앳코너|스타필드 코엑스 지하1층 앳코너|||90210
LF|스퀘어원TNGT|126.6835083|37.4060753|아울렛|032-456-4239|인천 연수구 청능대로 210|인천 연수구 동춘동 926|||||||LF 스퀘어원TNGT|스퀘어원 2층|||90210
LF|수원영통아울렛|127.0756518|37.2662416|아울렛|031-273-3715|경기도 용인시 기흥구 중부대로56번길 13|경기 용인시 기흥구 영덕동 516-2|||||||LF 수원영통아울렛|(영덕동)|||90210
LF|성산아울렛|126.9052277|37.5619877|아울렛|02-326-0263|서울특별시 마포구 월드컵로 158|서울 마포구 성산동 266-1|||||||LF 성산아울렛|(성산동)|||90210
LF|서수원아울렛|126.968355|37.2848384|아울렛|031-273-0007|경기도 수원시 권선구 수인로 321|경기 수원시 권선구 구운동 220|||||||LF 서수원아울렛|(구운동)|||90210
LF|서래마을라움아울렛|126.998167|37.4987818|아울렛|02-596-8088|서울특별시 서초구 서래로 41|서울특별시 서초구 반포동 94-8|||||||LF 서래마을라움아울렛|(반포동, 명궁빌딩) 1층, 2층 (단독건물);명궁빌딩|||90210
LF|부평아이즈빌/블루라운지|||아울렛|032-517-1520|인천 부평구 마장로 489|인천 부평구 청천동 386|||||||LF 부평아이즈빌/블루라운지|아이즈빌아울렛 1층(1428호)|||90210
LF|부산프리미엄아울렛/라움|129.2356861|35.3228737|아울렛|051-940-1155|부산광역시 기장군 정관로 1133|부산광역시 기장군 장안읍 좌천리 545|||||||LF 부산프리미엄아울렛/라움|(장안읍, 부산프리미엄아울렛);부산프리미엄아울렛|||90210
LF|부산프리미엄/이자벨마랑|129.2356861|35.3228737|아울렛|051-940-1140|부산광역시 기장군 정관로 1133|부산광역시 기장군 장안읍 좌천리 545|||||||LF 부산프리미엄/이자벨마랑|(장안읍, 부산프리미엄아울렛) 1층;부산프리미엄아울렛|||90210
LF|부산대청아울렛|129.0322958|35.103072|아울렛|051-469-0500|부산광역시 중구 대청로 113|부산 중구 대청동1가 35-2|||||||LF 부산대청아울렛|(대청동1가)|||90210
LF|부산녹산종합아울렛|128.8895319|35.1169624|아울렛|051-831-8312|부산광역시 강서구 낙동남로 658|부산광역시 강서구 녹산동 159-11|||||||LF 부산녹산종합아울렛|(녹산동)|||90210
LF|방배아울렛|126.9921335|37.4869091|아울렛|02-521-8118|서울특별시 서초구 서초대로 88|서울 서초구 방배1동 938-7|||||||LF 방배아울렛|(방배동)|||90210
LF|문정아울렛|127.1217087|37.4888061|아울렛|02-449-0764|서울특별시 송파구 동남로 92|서울 송파구 문정동 54-2|||||||LF 문정아울렛|(문정동)|||90210
LF|모다인천TNGT|126.647725|37.5099192|아울렛|032-288-7821|인천 서구 북항로32번안길 50|인천 서구 원창동 381-69|||||||LF 모다인천TNGT|모다아울렛 인천점 2층|||90210
LF|모다울산/질스튜어트스포츠|129.357194|35.5768646|아울렛|052-935-3063|울산광역시 북구 진장유통로 78-6|울산광역시 북구 진장동 283-5|||||||LF 모다울산/질스튜어트스포츠|(진장동, 모다아울렛) 1층;모다아울렛|||90210
LF|모다대전/블루라운지|||아울렛||대전 유성구 대정로 5|대전 유성구 대정동 303-2|||||||LF 모다대전/블루라운지|모다아울렛 1F|||90210
LF|모다대구/블루라운지|||아울렛||대구 달서구 달서대로 411|대구 달서구 호림동 16|||||||LF 모다대구/블루라운지|모다아울렛 패션관 3F|||90210
LF|모다남양주TNGT|127.1160473|37.6333691|아울렛|031-514-8368|경기도 구리시 경춘북로 230|경기도 구리시 갈매동 267-19|||||||LF 모다남양주TNGT|(갈매동, 구리갈매지구 판매시설) 3F;구리갈매지구 판매시설|||90210
LF|모다남양주/질스튜어트스포츠|127.1168666|37.634833|아울렛|031-514-8496|경기도 구리시 경춘북로 230|경기 구리시 갈매동 266|||||||LF 모다남양주/질스튜어트스포츠|(갈매동, 모다아울렛) 3층;갈매역사|||90210
LF|롯데파주TNGT|126.6937911|37.7179538|아울렛|031-960-2468|경기 파주시 회동길 390|경기 파주시 문발동 645|||||||LF 롯데파주TNGT|롯데프리미엄 아울렛|||90210
LF|롯데청주아울렛/TNGT복합|127.4215854|36.6450692|아울렛|043-717-2915|충북 청주시 흥덕구 2순환로 1004|충북 청주시 흥덕구 비하동 811|||||||LF 롯데청주아울렛/TNGT복합|롯데아울렛 3층|||90210
LF|롯데청량리TNGT|127.048979|37.581387|아울렛|02-3707-1584|서울 동대문구 왕산로 214|서울 동대문구 전농동 591-53|||||||LF 롯데청량리TNGT|롯데백화점 5층|||90210
LF|롯데진주아울렛TNGT|128.1398985|35.1801245|아울렛|055-791-2317|경남 진주시 동진로 440|경남 진주시 충무공동 35|||||||LF 롯데진주아울렛TNGT|롯데아울렛 진주점 3F|||90210
LF|롯데이천아울렛TNGT|127.3999916|37.2419902|아울렛|031-887-4360|경기 이천시 호법면 프리미엄아울렛로 177-74|경기 이천시 호법면 단천리 864|||||||LF 롯데이천아울렛TNGT|백자동 2층|||90210
LF|롯데이천아울렛|127.3989563|37.2370924|아울렛|031-887-4715|경기도 이천시 프리미엄아울렛로 177-74|경기도 이천시 호법면 단천리 46-1|||||||LF 롯데이천아울렛|(호법면, 롯데 프리미엄 아울렛 백자동);롯데 프리미엄 아울렛 백자동|||90210
LF|롯데아울렛청주/ML|||아울렛|043-717-2917|충북 청주시 흥덕구 2순환로 1004|충북 청주시 흥덕구 비하동 811|||||||LF 롯데아울렛청주/ML|롯데아울렛 청주점 3F|||90210
LF|롯데아울렛광명/ML|||아울렛|02-6226-2478|경기 광명시 일직로 17|경기 광명시 일직동 500|||||||LF 롯데아울렛광명/ML|롯데아울렛 광명점 4F|||90210
LF|롯데아울렛/김해점|||아울렛|055-900-2500|경상남도 김해시 장유로 469|경상남도 김해시 장유면 신문리 김해관광유통단지 1B 4L 번지 |||||||LF 롯데아울렛/김해점|(장유면)|||90210
LF|롯데수완TNGT|126.8202887|35.1902455|아울렛|00-000-0000|광주 광산구 장신로 98|광주 광산구 장덕동 1678|||||||LF 롯데수완TNGT|롯데아울렛 2층|||90210
LF|롯데서울역아울렛TNGT|126.9694287|37.5563363|아울렛|02-6965-2701|서울특별시 중구 한강대로 405|서울 중구 봉래동2가 122-11|||||||LF 롯데서울역아울렛TNGT|(봉래동2가);롯데백화점 아울렛 서울역점 3층;롯데백화점 아울렛 서울역점 3층|||90210
LF|롯데봉무헤지스아울렛|128.6373545|35.9215563|아울렛|053-945-2663|대구광역시 동구 팔공로49길 16|대구광역시 동구 봉무동 1545|||||||LF 롯데봉무헤지스아울렛|(봉무동);롯데몰 이시아폴리스점 265호|||90210
LF|롯데봉무TNGT|128.637366|35.9215486|아울렛|053-945-2654|대구 동구 팔공로49길 16|대구 동구 봉무동 1545|||||||LF 롯데봉무TNGT|롯데아울렛 이시아 폴리스점 275호|||90210
LF|롯데몰은평TNGT|126.9179003|37.6375366|아울렛|02-6975-5238|서울 은평구 통일로 1050|서울 은평구 진관동 63|||||||LF 롯데몰은평TNGT|롯데은평몰 2층|||90210
LF|롯데목포남악헤지스아울렛|126.4651753|34.8025093|아울렛|061-801-2190|전라남도 무안군 남악로162번길 80|전라남도 무안군 삼향읍 남악리 2622|||||||LF 롯데목포남악헤지스아울렛|(삼향읍)|||90210
LF|롯데대구율하TNGT|128.6933836|35.8684385|아울렛|053-960-2749|대구 동구 안심로 80|대구 동구 율하동 1117|||||||LF 롯데대구율하TNGT|롯데아울렛대구율하점|||90210
LF|롯데김해아울렛TNGT|128.8297625|35.1850981|아울렛|055-900-2765|경남 김해시 장유로 469|경남 김해시 신문동 1414|||||||LF 롯데김해아울렛TNGT|김해롯데프리미엄 아울렛 본관 2층|||90210
LF|롯데구리아울렛TNGT|127.1405391|37.611879|아울렛|031-8034-2422|경기 구리시 동구릉로136번길 47|경기 구리시 인창동 419-7|||||||LF 롯데구리아울렛TNGT|롯데구리아울렛 4층|||90210
LF|롯데광주수완아울렛종합|126.8203004|35.1902722|아울렛|062-616-2247|광주광역시 광산구 장신로 98|광주 광산구 장덕동 1678|||||||LF 롯데광주수완아울렛종합|(장덕동)|||90210
LF|롯데광명아울렛TNGT|126.8828732|37.4243218|아울렛|02-6226-2458|경기 광명시 일직로 17|경기 광명시 일직동 500|||||||LF 롯데광명아울렛TNGT|롯데 프리미엄 아울렛 광명점 4층|||90210
LF|롯데광교TNGT|127.0559172|37.2861928|아울렛|031-8064-2230|경기 수원시 영통구 도청로 10|경기 수원시 영통구 이의동 1338|||||||LF 롯데광교TNGT|롯데아울렛 광교점 2층|||90210
LF|롯데고양아울렛TNGT|126.7897236|37.6432279|아울렛|031-936-3728|경기 고양시 일산동구 중앙로 1036|경기 고양시 일산동구 백석동 1242|||||||LF 롯데고양아울렛TNGT|롯데고양터미널아울렛 3층|||90210
LF|동아쇼핑블루라운지|128.5918294|35.8662955|아울렛|053-252-7577|대구 중구 달구벌대로 2085|대구 중구 덕산동 53-3|||||||LF 동아쇼핑블루라운지|동아쇼핑점 5F|||90210
LF|동대구아울렛|128.6882115|35.8748189|아울렛|053-962-6200|대구광역시 동구 동촌로 451|대구 동구 용계동 702-4|||||||LF 동대구아울렛|(용계동)|||90210
LF|덕소라푸마아울렛|127.1967784|37.5936596|아울렛|031-577-9788|경기도 남양주시 경강로 356|경기도 남양주시 삼패동 358-1|||||||LF 덕소라푸마아울렛|(삼패동)|||90210
LF|더플러스유성TNGT|127.3542494|36.3584824|아울렛|042-826-7842|대전 유성구 한밭대로 502|대전 유성구 봉명동 669|||||||LF 더플러스유성TNGT|홈플러스 3층|||90210
LF|더플러스몰김해TNGT|128.8702625|35.241904|아울렛|055-337-0770|경남 김해시 김해대로 2078|경남 김해시 내동 1131-2|||||||LF 더플러스몰김해TNGT|홈플러스 3층|||90210
LF|대전유천아울렛|127.3937455|36.3177399|아울렛|042-531-3602|대전광역시 중구 계백로1565번길 1|대전 중구 유천동 307-3|||||||LF 대전유천아울렛|(유천동)|||90210
LF|대전모다아울렛TNGT|127.3189917|36.3126534|아울렛|070-7872-2649|대전 유성구 대정로 5|대전 유성구 대정동 303-2|||||||LF 대전모다아울렛TNGT||||90210
LF|대구이현아울렛|128.5385258|35.8746265|아울렛|053-563-8728|대구광역시 서구 와룡로 469|대구 서구 이현동 42-363|||||||LF 대구이현아울렛|(이현동)|||90210
LF|뉴코아평촌/블루라운지마에스트로|126.9511334|37.3891515|아울렛|031-478-5061|경기도 안양시 동안구 동안로 119|경기도 안양시 동안구 호계동 1039-3|||||||LF 뉴코아평촌/블루라운지마에스트로|(호계동, 킴스아울렛) 6F;킴스아울렛|||90210
LF|뉴코아일산/블루라운지마에스트로|126.776793|37.6545314|아울렛|031-900-5923|경기도 고양시 일산동구 중앙로 1206|경기도 고양시 일산동구 마두동 797-2|||||||LF 뉴코아일산/블루라운지마에스트로|(마두동, 뉴코아백화점일산점) 5F;뉴코아백화점일산점|||90210
LF|뉴코아아울렛창원TNGT|128.6421915|35.2345063|아울렛|055-270-3026|경남 창원시 의창구 창원대로397번길 6|경남 창원시 의창구 팔용동 30-1|||||||LF 뉴코아아울렛창원TNGT|뉴코아창원점 3층|||90210
LF|뉴코아아울렛인천TNGT|126.7006956|37.4440285|아울렛|032-430-5712|인천 남동구 인하로 485|인천 남동구 구월동 1465-1|||||||LF 뉴코아아울렛인천TNGT|(구월동, 뉴코아아울렛 인천점)|||90210
LF|뉴코아강남질스튜어트|127.0073473|37.5094096|아울렛|02-534-4139|서울특별시 서초구 잠원로 51|서울 서초구 잠원동 70-2|||||||LF 뉴코아강남질스튜어트|(잠원동)|||90210
LF|뉴코아강남숙녀아울렛|127.001669|37.4997305|아울렛|02-595-6958||서울 서초구 반포동 70-2|||||||LF 뉴코아강남숙녀아울렛||||90210
LF|김포헤지스아울렛|126.6678385|37.6561132|아울렛|031-987-2229|경기도 김포시 김포대로 1473|경기 김포시 장기동 37|||||||LF 김포헤지스아울렛|(장기동)|||90210
LF|구미형곡아울렛|128.3384011|36.1157958|아울렛|054-444-7188|경상북도 구미시 형곡로 5|경북 구미시 형곡동 105-3|||||||LF 구미형곡아울렛|(형곡동)|||90210
LF|구로마리오신사아울렛|126.8871141|37.4782312|아울렛|02-2067-3681|서울특별시 금천구 디지털로 185|서울 금천구 가산동 60-22|||||||LF 구로마리오신사아울렛|(가산동)|||90210
LF|구로마리오TNGT|126.8871141|37.4782312|아울렛|02-2067-3636|서울 금천구 디지털로 185|서울 금천구 가산동 60-22|||||||LF 구로마리오TNGT|마리오아울렛 1관 4층|||90210
LF|구로W몰헤지스골프아울렛|126.8876854|37.4773316|아울렛|02-2081-0649|서울특별시 금천구 디지털로 188|서울 금천구 가산동 60-27|||||||LF 구로W몰헤지스골프아울렛|(가산동)|||90210
LF|구로W몰질복합|126.8876854|37.4773316|아울렛|02-2081-0130|서울특별시 금천구 디지털로 188|서울특별시 금천구 가산동 60-27|||||||LF 구로W몰질복합|(가산동, 더블유몰);더블유몰|||90210
LF|구로W몰TNGT|126.8877184|37.4773527|아울렛|02-2081-0412|서울 금천구 디지털로 188|서울 금천구 가산동 60-27|||||||LF 구로W몰TNGT|W몰 4층|||90210
LF|구로W몰/질스튜어트스포츠|126.8877184|37.4773527|아울렛|02-2081-0541|서울 금천구 디지털로 188|서울 금천구 가산동 60-27|||||||LF 구로W몰/질스튜어트스포츠|5층|||90210
LF|구로W몰/앳코너|126.8876854|37.4773316|아울렛|02-2081-0129|서울특별시 금천구 디지털로 188|서울특별시 금천구 가산동 60-27|||||||LF 구로W몰/앳코너|(가산동, 더블유몰);더블유몰|||90210
LF|구로W몰|126.8876854|37.4773316|아울렛|02-2081-0470|서울특별시 금천구 디지털로 188|서울시 금천구 가산동 60-27|||||||LF 구로W몰|(가산동);W몰;W몰|||90210
LF|광주아울렛|126.8331286|35.1407943|아울렛|062-375-3055|광주광역시 서구 상무대로 627|광주광역시 서구 마륵동 183-11|||||||LF 광주아울렛|(마륵동)|||90210
LF|광주세정TNGT|126.8472815|35.1466649|아울렛|062-370-9249|광주광역시 서구 상무대로 773|광주 서구 치평동 1326|||||||LF 광주세정TNGT|(치평동);세정아울렛 249호;세정아울렛 249호|||90210
LF|광주세정/블루라운지마에스트로|||아울렛|062-385-2999|광주 서구 상무대로 773|광주 서구 치평동 1326|||||||LF 광주세정/블루라운지마에스트로|세정아울렛 2층 248호|||90210
LF|광주서방아울렛|126.9194408|35.1639035|아울렛|062-511-0249|광주광역시 동구 중앙로 361|광주 동구 계림동 547-11|||||||LF 광주서방아울렛|(계림동)|||90210
LF|광양LF스퀘어/헤지스골프|127.5663193|34.9636207|아울렛|061-815-4726|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF 광양LF스퀘어/헤지스골프|(광양읍, SK주유소);SK주유소|||90210
LF|광양LF스퀘어/헤지스|127.5663193|34.9636207|아울렛|061-815-4639|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF 광양LF스퀘어/헤지스|(광양읍, SK주유소);SK주유소|||90210
LF|광양LF스퀘어/질스튜어트뉴욕|127.5663193|34.9636207|아울렛|061-815-4629|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF 광양LF스퀘어/질스튜어트뉴욕|(광양읍, SK주유소);SK주유소|||90210
LF|광양LF스퀘어/마에스트로|127.5663193|34.9636207|아울렛|061-815-4600|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF 광양LF스퀘어/마에스트로|(광양읍, SK주유소);SK주유소|||90210
LF|광양LF스퀘어/라움|127.5663193|34.9636207|아울렛|061-815-4645|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF 광양LF스퀘어/라움|(광양읍, SK주유소);SK주유소|||90210
LF|광양LF스퀘어/닥스ACC|127.5663193|34.9636207|아울렛|061-815-4644|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF 광양LF스퀘어/닥스ACC|(광양읍, SK주유소);SK주유소|||90210
LF|고양스타필드/헤지스종합|126.8948043|37.6470973|아울렛|031-5173-1036|경기도 고양시 덕양구 고양대로 1955|경기도 고양시 덕양구 동산동 370|||||||LF 고양스타필드/헤지스종합|(동산동, 스타필드 고양);스타필드 고양|||90210
LF|경주포항아울렛|129.2427282|35.9135184|아울렛|054-774-1355|경상북도 경주시 산업로 4894|경상북도 경주시 천북면 모아리 960-5|||||||LF 경주포항아울렛|(천북면)|||90210
LF|NC수원터미널TNGT|127.0208724|37.2504676|아울렛|031-8065-3840|경기 수원시 권선구 경수대로 270|경기 수원시 권선구 권선동 1189|||||||LF NC수원터미널TNGT|NC백화점 3층|||90210
LF|NC대구엑스코TNGT|128.6103633|35.9052164|아울렛|053-662-9431|대구 북구 유통단지로14길 22|대구 북구 산격동 1668|||||||LF NC대구엑스코TNGT|NC아울렛|||90210
LF|LG패션/상계아울렛|127.0681293|37.6532005|아울렛|02-930-0270|서울특별시 노원구 노원로 408|서울시 노원구 상계동 318-2|||||||LF LG패션/상계아울렛|(상계동)|||90210
LF|LF연수/질스튜어트스포츠|126.6690093|37.4186472|아울렛|032-717-0595|인천 연수구 용담로 14|인천 연수구 청학동 455|||||||LF LF연수/질스튜어트스포츠|LF스퀘어 인천점 2층|||90210
LF|LF양주/질스튜어트스포츠|127.052446|37.831463|아울렛|031-894-2714|경기 양주시 평화로 1593|경기 양주시 회정동 453-19|||||||LF LF양주/질스튜어트스포츠|LF스퀘어 3층|||90210
LF|LF스퀘어인천연수TNGT|126.6691079|37.4197237|아울렛|032-818-3810|인천 연수구 용담로 14|인천 연수구 청학동 455|||||||LF LF스퀘어인천연수TNGT|V-PLUS 인천연수아울렛 지하1층|||90210
LF|LF스퀘어양주TNGT|127.052446|37.831463|아울렛|031-894-2660|경기 양주시 평화로 1593|경기 양주시 회정동 453-19|||||||LF LF스퀘어양주TNGT|3층|||90210
LF|LF스퀘어양주/질스튜어트/스포츠|127.052467|37.8314052|아울렛|031-894-2714|경기도 양주시 평화로 1593|경기도 양주시 회정동 453-19|||||||LF LF스퀘어양주/질스튜어트/스포츠|(회정동, V PLUS) 3층;V PLUS|||90210
LF|LF스퀘어양주/앳코너|127.052467|37.8314052|아울렛|031-894-2431|경기도 양주시 평화로 1593|경기도 양주시 회정동 453-19|||||||LF LF스퀘어양주/앳코너|(회정동, V PLUS) 2F;V PLUS|||90210
LF|LF스퀘어광양앳코너|127.5663193|34.9636207|아울렛|061-815-4764|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF LF스퀘어광양앳코너|(광양읍, SK주유소);SK주유소|||90210
LF|LF스퀘어광양라푸마|127.5663193|34.9636207|아울렛|061-815-4805|전라남도 광양시 순광로 440|전라남도 광양시 광양읍 덕례리 739|||||||LF LF스퀘어광양라푸마|(광양읍, SK주유소);SK주유소|||90210
LF|LF스퀘어광양TNGT|||아울렛|061-815-4632|전남 광양시 광양읍 순광로 466|전남 광양시 광양읍 덕례리 707|||||||LF LF스퀘어광양TNGT|LF스퀘어 1층|||90210
