##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롯데손해보험
롯데손해보험|포항지점|||롯데손해보험|||경북 포항시 남구 대도동 125-7|||||||롯데손해보험 포항지점|(포항시 남...|||40709
롯데손해보험|포항Agency지점|||롯데손해보험|||경북 포항시 남구 대도동 125-7|||||||롯데손해보험 포항Agency지점|(포항시 남...|||40709
롯데손해보험|경주출장소|||롯데손해보험||경북 경주시 금성로 311-1||||||||롯데손해보험 경주출장소|302호 (성건동) ...|||40709
롯데손해보험|문경출장소|||롯데손해보험||경북 문경시 당교로 245||||||||롯데손해보험 문경출장소|8층 문경출장소 (모전...|||40709
롯데손해보험|안동출장소|||롯데손해보험||경북 안동시 정하동 강남5길 10||||||||롯데손해보험 안동출장소|(정하동) 3층|||40709
롯데손해보험|영천출장소|||롯데손해보험||경북 영천시 호국로 5||||||||롯데손해보험 영천출장소|2층 영천출장소 (영진빌딩...|||40709
롯데손해보험|호남지역단|||롯데손해보험||광주광역시 서구 상무중앙로 58||||||||롯데손해보험 호남지역단|11층 ( 타임스타...|||40709
롯데손해보험|호남Agency지역단|||롯데손해보험||광주광역시 서구 상무중앙로 58||||||||롯데손해보험 호남Agency지역단|12층 (타임스타워...|||40709
롯데손해보험|빛고을지점|||롯데손해보험||광주광역시 서구 상무중앙로 58||||||||롯데손해보험 빛고을지점|11층 (타임스타워...|||40709
롯데손해보험|광주지점|||롯데손해보험||광주광역시 서구 상무중앙로 58||||||||롯데손해보험 광주지점|11층 (타임스타워...|||40709
롯데손해보험|충장지점|||롯데손해보험||광주광역시 서구 상무중앙로 58||||||||롯데손해보험 충장지점|11층 (타임스타워...|||40709
롯데손해보험|광주Agency지점|||롯데손해보험||광주광역시 서구 상무중앙로 58||||||||롯데손해보험 광주Agency지점|12층 (타임스퀘어...|||40709
롯데손해보험|광주인보상센터|||롯데손해보험||광주광역시 서구 상무중앙로 58||||||||롯데손해보험 광주인보상센터|11층 (타임스퀘어...|||40709
롯데손해보험|영남지역단|||롯데손해보험|||대구광역시 동구 신천3동 111|||||||롯데손해보험 영남지역단|영남일보빌딩 11층...|||40709
롯데손해보험|대구Agency지역단|||롯데손해보험|||대구광역시 동구 신천3동 111|||||||롯데손해보험 대구Agency지역단|영남일보빌딩 12층...|||40709
롯데손해보험|대구지점|||롯데손해보험|||대구광역시 동구 신천3동 111|||||||롯데손해보험 대구지점|영남일보빌딩 11층...|||40709
롯데손해보험|칠곡출장소|||롯데손해보험||대구광역시 북구 팔거천동로 210||||||||롯데손해보험 칠곡출장소|유성빌딩 6층|||40709
롯데손해보험|대구인보상센터|||롯데손해보험|||대구광역시 동구 신천3동 111|||||||롯데손해보험 대구인보상센터|영남일보빌딩 12층...|||40709
롯데손해보험|Agency4지역단|||롯데손해보험|||대전시 서구 탄방동 647|||||||롯데손해보험 Agency4지역단|계룡건설빌딩 9층|||40709
롯데손해보험|대전지점|||롯데손해보험|||대전광역시 서구 탄방동 647|||||||롯데손해보험 대전지점|계룡빌딩 9층 대전...|||40709
롯데손해보험|중부인보상센터|||롯데손해보험|||대전광역시 서구 탄방동 647|||||||롯데손해보험 중부인보상센터|계룡빌딩 9층 중부인...|||40709
롯데손해보험|부산Agency지역단|||롯데손해보험|||부산광역시 동래구 명륜동 510-6|||||||롯데손해보험 부산Agency지역단|한화생명빌딩 6...|||40709
롯데손해보험|롯데마트동래TC지점|||롯데손해보험|||부산광역시 동래구 온천동 502-3|||||||롯데손해보험 롯데마트동래TC지점|롯데마트 동래...|||40709
롯데손해보험|구포지점|||롯데손해보험|||부산광역시 북구 덕천2동 353-6|||||||롯데손해보험 구포지점|한진빌딩 1...|||40709
롯데손해보험|부산지점|||롯데손해보험|||부산광역시 연제구 거제1동 76-2|||||||롯데손해보험 부산지점|국제문화센터 1...|||40709
롯데손해보험|지방인보상지원단|||롯데손해보험|||부산광역시 연제구 거제1동 76-2|||||||롯데손해보험 지방인보상지원단|국제문화센터 1...|||40709
롯데손해보험|북부산인주재센터|||롯데손해보험||부산광역시 북구 낙동대로 1791||||||||롯데손해보험 북부산인주재센터|한진빌딩 12층 ...|||40709
롯데손해보험|부산인보상센터|||롯데손해보험|||부산광역시 연제구 거제1동 76-2|||||||롯데손해보험 부산인보상센터|국제문화센터 1...|||40709
롯데손해보험|본사|||롯데손해보험|||서울특별시 중구 남창동 51-1|||||||롯데손해보험 본사|롯데손해보험빌딩 본...|||40709
롯데손해보험|롯데금융센터/월드타워점|||롯데손해보험||서울특별시 송파구 올림픽로 300||||||||롯데손해보험 롯데금융센터/월드타워점|롯데월드타워앤드롯...|||40709
롯데손해보험|서울지역단|||롯데손해보험|||서울특별시 마포구 마포동 33-1|||||||롯데손해보험 서울지역단|신한DM빌딩 14층...|||40709
롯데손해보험|서울복합센터|||롯데손해보험||서울 중구 퇴계로 36||||||||롯데손해보험 서울복합센터|15층 (남창동,삼선빌딩...|||40709
롯데손해보험|광진지점|||롯데손해보험|||서울시 광진구 능동 279-5|||||||롯데손해보험 광진지점|삼일빌딩 2층 광...|||40709
롯데손해보험|서울중앙지점|||롯데손해보험|||서울시 동대문구 신설동 98-32|||||||롯데손해보험 서울중앙지점|2층 서울중앙...|||40709
롯데손해보험|서서울지점|||롯데손해보험|||서울특별시 마포구 마포동 33-1|||||||롯데손해보험 서서울지점|신한DM빌딩 14층...|||40709
롯데손해보험|동서울지점|||롯데손해보험|||서울특별시 송파구 가락동 600|||||||롯데손해보험 동서울지점|가락몰 관리업무동 ...|||40709
롯데손해보험|중앙인보상지원단|||롯데손해보험|||서울특별시 영등포구 여의도동 24-1|||||||롯데손해보험 중앙인보상지원단|율촌빌딩 13...|||40709
롯데손해보험|강남인보상센터|||롯데손해보험|||서울시 강동구 성내1동 549-4|||||||롯데손해보험 강남인보상센터|성원빌딩3층 롯데...|||40709
롯데손해보험|강북인보상센터|||롯데손해보험|||서울특별시 동대문구 신설동 101-2|||||||롯데손해보험 강북인보상센터|경복빌딩 2층...|||40709
롯데손해보험|중앙인보상센터|||롯데손해보험|||서울특별시 영등포구 여의도동 24-1|||||||롯데손해보험 중앙인보상센터|율촌빌딩 13...|||40709
롯데손해보험|스마트보상1센터|||롯데손해보험|||서울특별시 중구 남창동 51-1|||||||롯데손해보험 스마트보상1센터|롯데손해보험빌딩 3...|||40709
롯데손해보험|스마트보상2센터|||롯데손해보험|||서울특별시 중구 남창동 51-1|||||||롯데손해보험 스마트보상2센터|롯데손해보험빌딩 3...|||40709
롯데손해보험|울산Agency1지점|||롯데손해보험|||울산 남구 달동 1365-7|||||||롯데손해보험 울산Agency1지점|대우증권빌딩 5층|||40709
롯데손해보험|울산지점|||롯데손해보험||||||||||롯데손해보험 울산지점||||40709
롯데손해보험|울산Agency2지점|||롯데손해보험||울산광역시 삼산로 251||||||||롯데손해보험 울산Agency2지점|5층 (달동,대우증권빌...|||40709
롯데손해보험|울산인주재센터|||롯데손해보험|||울산광역시 남구 달동 1365-7|||||||롯데손해보험 울산인주재센터|대우증권빌딩 5층...|||40709
롯데손해보험|경인지역단(인천)|||롯데손해보험||인천광역시 남동구 백범로 357||||||||롯데손해보험 경인지역단(인천)|(간석동,교원공...|||40709
롯데손해보험|경인지점|||롯데손해보험|||인천광역시 남동구 간석동 172-1|||||||롯데손해보험 경인지점|교원공제회관 ...|||40709
롯데손해보험|인천지점|||롯데손해보험|||인천광역시 남동구 간석동 172-1|||||||롯데손해보험 인천지점|교원공제회관 9...|||40709
롯데손해보험|인천인보상센터|||롯데손해보험|||인천광역시 남동구 간석동 172-1|||||||롯데손해보험 인천인보상센터|교원공제회관 1...|||40709
롯데손해보험|여수지점|||롯데손해보험|||전남 여수시 웅천동 1696-3|||||||롯데손해보험 여수지점|304호|||40709
롯데손해보험|목포인주재센터|||롯데손해보험|||전남 목포시 옥암동 1225-1|||||||롯데손해보험 목포인주재센터|D타워 8층 롯데손...|||40709
롯데손해보험|순천인주재센터|||롯데손해보험|||전남 순천시 연향동 1317-2|||||||롯데손해보험 순천인주재센터|청우2빌딩 5층 롯...|||40709
롯데손해보험|롯데마트/전주TC지점|||롯데손해보험||전북 전주시 덕진구 백제대로 751.||||||||롯데손해보험 롯데마트/전주TC지점|8층 (인후동...|||40709
롯데손해보험|전북Agency지점|||롯데손해보험|||전북 전주시 덕진구 우아동2가 860-6|||||||롯데손해보험 전북Agency지점|석정빌딩 ...|||40709
롯데손해보험|군산출장소|||롯데손해보험||전북 군산시 월명로 209||||||||롯데손해보험 군산출장소|5층 롯데손해보험 ( 수...|||40709
롯데손해보험|순창출장소|||롯데손해보험||전북 순창군 순창읍 순창로 217||||||||롯데손해보험 순창출장소|2층|||40709
롯데손해보험|제주영업파트|||롯데손해보험||제주특별자치도 제주시 연북로 33||||||||롯데손해보험 제주영업파트|(노형동) 5층|||40709
롯데손해보험|제주지점|||롯데손해보험|||제주도 제주시 노형동 722|||||||롯데손해보험 제주지점|KT&G빌딩 5층 제주...|||40709
롯데손해보험|제주Agency지점|||롯데손해보험||제주시 연북로 33||||||||롯데손해보험 제주Agency지점|KT&G빌딩 5층 제주Agen...|||40709
롯데손해보험|서귀포출장소|||롯데손해보험||제주특별자치도 서귀포시 일주동로 8610||||||||롯데손해보험 서귀포출장소|(동홍동),...|||40709
롯데손해보험|제주보상센터|||롯데손해보험|||제주도 제주시 노형동 722|||||||롯데손해보험 제주보상센터|KT&G빌딩 5층 제주...|||40709
