##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@변호사
한혜정개업[상세]||||변호사|033-253-4300|강원 춘천시 공지로 293||||||||한혜정개업[상세]|(효자동) 5층 (효자동 화남빌딩)|||91604
유지승개업[상세]||||변호사|033-745-5376|강원 원주시 무실새골길 2||||||||유지승개업[상세]|401호 (무실동,저스티스1빌딩)|||91604
홍성길개업[상세]||||변호사|033-244-6800||강원 춘천시 효자2동 709|||||||홍성길개업[상세]|(대양빌딩3층)|||91604
나연찬개업[상세]||||변호사|033-648-4422|강원 강릉시 교동광장로 90||||||||나연찬개업[상세]|3층 (교동)|||91604
김형석개업[상세]||||변호사|033-257-4566||강원 춘천시 효자2동 309-1|||||||김형석개업[상세]||||91604
박신제개업[상세]||||변호사|070-4820-6687||강원 춘천시 퇴계동 1192-2|||||||박신제개업[상세]||||91604
임송재개업[상세]||||변호사|||강원 춘천시 퇴계동 1192-2|||||||임송재개업[상세]||||91604
서현우개업[상세]||||변호사|033-637-1133|강원 속초시 장안로 29||||||||서현우개업[상세]|(동명동) 4층|||91604
허종영개업[상세]||||변호사|033-244-9113|강원 춘천시 공지로 289||||||||허종영개업[상세]|2층 (효자동,대양빌딩)|||91604
김하늬개업[상세]||||변호사|033-635-2868|강원 속초시 법대로 (동명동 , 유광빌딩) 4||||||||김하늬개업[상세]|2층|||91604
조근호개업[상세]||||변호사|033-635-2868|강원 속초시 법대로 (동명동 , 유광빌딩) 4||||||||조근호개업[상세]|2층|||91604
이재원개업[상세]||||변호사|033-648-5159|강원 강릉시 금성로61번길 7||||||||이재원개업[상세]|(성남동,강보빌딩3층)|||91604
김대일개업[상세]||||변호사|070-8244-4307~9||강원 춘천시 효자2동 709-10|||||||김대일개업[상세]||||91604
권이중개업[상세]||||변호사||강원 원주시 능라동길 51||||||||권이중개업[상세]|(무실동) 시네시티타워 612호 --|||91604
김윤경개업[상세]||||변호사|033-644-4300|강원 강릉시 교동 광장로 90||||||||김윤경개업[상세]|(FCC빌딩5층)|||91604
김진상개업[상세]||||변호사|033-242-4313|강원 춘천시 공지로 289||||||||김진상개업[상세]|4층 (효자동,대양빌딩)|||91604
김미환개업[상세]||||변호사|033-745-0012|강원 원주시 무실새골길 16||||||||김미환개업[상세]|(무실동) 103,104호|||91604
백현영개업[상세]||||변호사|033-343-8500|강원 횡성군 횡성읍 태기로 16||||||||백현영개업[상세]|(읍하리) 4층|||91604
이화영개업[상세]||||변호사|033-746-6655||강원 원주시 무실동 1811-5|||||||이화영개업[상세]|(정법프라자201호)|||91604
정별님개업[상세]||||변호사|033-242-2700|강원 춘천시 공지로 293||||||||정별님개업[상세]|1층 (효자동,화남빌딩)|||91604
최정선개업[상세]||||변호사||강원 춘천시 공지로 297||||||||최정선개업[상세]|2층 (효자동)|||91604
김진태||||변호사||||||||||김진태||||91604
안현희개업[상세]||||변호사|033-733--0880||강원 원주시 무실동 1720-1|||||||안현희개업[상세]|(경남빌딩202호)|||91604
김헌우개업[상세]||||변호사|||강원 강릉시 난곡동 116-5|||||||김헌우개업[상세]|(율전빌딩3층)|||91604
정원선개업[상세]||||변호사|033-655-2846||강원 강릉시 교1동 1005-4|||||||정원선개업[상세]|(진명빌딩 2층)|||91604
구현모개업[상세]||||변호사|033-253-4300|강원 춘천시 공지로 293||||||||구현모개업[상세]|5층 (효자동,화남빌딩)|||91604
민세영개업[상세]||||변호사|033-253-7088|강원 춘천시 공지로 295||||||||민세영개업[상세]|(효자동) 2층|||91604
홍석헌개업[상세]||||변호사|033-742-2281|강원 원주시 능라동길 65||||||||홍석헌개업[상세]|(무실동) 휴먼타워 504호|||91604
최윤환개업[상세]||||변호사|033-747-8872||강원 원주시 무실동 1811-3|||||||최윤환개업[상세]|(보성빌딩102호)|||91604
임미선개업[상세]||||변호사|033-264-8005||강원 춘천시 효자동 360-1|||||||임미선개업[상세]|(1층)|||91604
진옥동개업[상세]||||변호사|033-253-4300|강원 춘천시 공지로 293||||||||진옥동개업[상세]|(화남빌딩5층)|||91604
전성개업[상세]||||변호사|033-436-0070|강원 홍천군 홍천읍 홍천로 372||||||||전성개업[상세]|(신장대리,미진타워) 402호|||91604
최유덕개업[상세]||||변호사|033-731-7030||강원 원주시 학성동 1040-3|||||||최유덕개업[상세]||||91604
김창규개업[상세]||||변호사||강원 원주시 능라동길 65||||||||김창규개업[상세]|502호 (무실동,휴먼타워)|||91604
김기현개업[상세]||||변호사|033-813-3700|강원 원주시 능라동길 61||||||||김기현개업[상세]|(무실동) 6층 606호|||91604
김용진개업[상세]||||변호사|033-241-9511||강원 춘천시 효자2동 709-10|||||||김용진개업[상세]|(화남빌딩2층)|||91604
이현석개업[상세]||||변호사|033-920-3033|강원 강릉시 운정길11번길 18||||||||이현석개업[상세]|4층 (난곡동,율전빌딩)|||91604
이동규개업[상세]||||변호사|033-733-7003|강원 원주시 능라동길 61||||||||이동규개업[상세]|409호 (무실동)|||91604
윤재경개업[상세]||||변호사|033-253-4300|강원 춘천시 공지로 293||||||||윤재경개업[상세]|(화남빌딩5층)|||91604
박성용개업[상세]||||변호사|033-532-1808|강원 동해시 천곡로 86||||||||박성용개업[상세]|3층 302호 (천곡동,동진빌딩)|||91604
김시진||||변호사||||||||||김시진||||91604
이창복개업[상세]||||변호사|033-744-1880,2880||강원 원주시 무실동 1811-3|||||||이창복개업[상세]|(보성빌딩4층)|||91604
김수부개업[상세]||||변호사|033-641-4477||강원 강릉시 죽헌동 293-3|||||||김수부개업[상세]|(3층)|||91604
이재구개업[상세]||||변호사|033-748-6000||강원 원주시 무실동 1822-1|||||||이재구개업[상세]|(노블인갤러리401호)|||91604
최문수개업[상세]||||변호사|033-735-0505||강원 원주시 무실동 1811-1|||||||최문수개업[상세]|(저스티스빌딩1층)|||91604
원길연개업[상세]||||변호사|033-748-8800||강원 원주시 학성동 1049-6|||||||원길연개업[상세]||||91604
정경선개업[상세]||||변호사|033-748-0854|강원 원주시 능라동길 59||||||||정경선개업[상세]|(무실동) 정한프라자 6층|||91604
홍영표개업[상세]||||변호사|033-655-0060||강원 강릉시 옥천동 163-1|||||||홍영표개업[상세]|(화신전기 3층)|||91604
이종필개업[상세]||||변호사|033-252-6308||강원 춘천시 효자2동 709|||||||이종필개업[상세]|(대양빌딩 2층)|||91604
김태연개업[상세]||||변호사|033-375-5600||강원 영월군 영월읍 영흥리 859-|||||||김태연개업[상세]|25|||91604
박경준개업[상세]||||변호사||강원 춘천시 공지로 272||||||||박경준개업[상세]|2층 202호 (효자동)|||91604
김규수개업[상세]||||변호사|033-646-4781||강원 강릉시 교1동 860-26|||||||김규수개업[상세]||||91604
윤영수개업[상세]||||변호사|033-253-5764|강원 춘천시 남춘로61번길 5||||||||윤영수개업[상세]|201호 (효자동)|||91604
김재성개업[상세]||||변호사|033-374-7024||강원 영월군 영월읍 영흥리 859-24|||||||김재성개업[상세]||||91604
박형수개업[상세]||||변호사|033-633-3635|강원 속초시 장안로 25||||||||박형수개업[상세]|2층 (동명동,신광빌딩)|||91604
권성중개업[상세]||||변호사|033-744-5833|강원 원주시 무실새골길 14||||||||권성중개업[상세]|(무실동,법조빌딩) 101,102호|||91604
박영화개업[상세]||||변호사||강원 강릉시 강릉대로 189||||||||박영화개업[상세]|2층 (교동,어촌빌딩)|||91604
안준호개업[상세]||||변호사|033-242-3641||강원 춘천시 효자2동 709|||||||안준호개업[상세]|(대양빌딩 2층)|||91604
홍지훈개업[상세]||||변호사|033-641-7465||강원 강릉시 교1동 865-4|||||||홍지훈개업[상세]|(3층)|||91604
허남정개업[상세]||||변호사|033-257­-9300||강원 춘천시 효자2동 709-10|||||||허남정개업[상세]|(화남빌딩2층)|||91604
정방수개업[상세]||||변호사|033-633-­7766||강원 속초시 동명동 450-112|||||||정방수개업[상세]||||91604
이홍열개업[상세]||||변호사||강원 춘천시 공지로 289||||||||이홍열개업[상세]|4층 (효자동,대양빌딩) 033-242-5481,2|||91604
조영삼개업[상세]||||변호사|033-643-0312||강원 강릉시 옥천동 173|||||||조영삼개업[상세]|(성호빌딩5층)|||91604
한희원||||변호사||||||||||한희원||||91604
김주택개업[상세]||||변호사|033-742-5225||강원 원주시 무실동 1857-2|||||||김주택개업[상세]|(법조타워203호)|||91604
정용상개업[상세]||||변호사|033-375-0400||강원 영월군 영월읍 영흥리 863|||||||정용상개업[상세]||||91604
이재성개업[상세]||||변호사||강원 춘천시 공지로 289||||||||이재성개업[상세]|(효자동) 5층 --|||91604
송기헌||||변호사||||||||||송기헌||||91604
김진개업[상세]||||변호사||강원 강릉시 운정길 36||||||||김진개업[상세]|2층 (난곡동)|||91604
유강근개업[상세]||||변호사|033-671-0050|강원 양양군 양양읍 양양로 17||||||||유강근개업[상세]|(남문리) 3층 변호사 유강근 법률사무소|||91604
정지웅개업[상세]||||변호사|033-744-4038||강원 원주시 무실동 1811-2|||||||정지웅개업[상세]|(저스티스빌딩2층)|||91604
이정훈개업[상세]||||변호사|033-748-0854|강원 원주시 능라동길 59||||||||이정훈개업[상세]|6층 (무실동,정한프라자)|||91604
김선홍개업[상세]||||변호사|033-743-5455|강원 원주시 무실새골길 2||||||||김선홍개업[상세]|2층 (무실동,저스티스빌딩)|||91604
황동규개업[상세]||||변호사|033-645-­6911~3||강원 강릉시 성내동 21|||||||황동규개업[상세]||||91604
송영철개업[상세]||||변호사|033-645-4880,1||강원 강릉시 난곡동 116-5|||||||송영철개업[상세]|(율전빌딩 2층)|||91604
진형균||||변호사||||||||||진형균||||91604
윤정수개업[상세]||||변호사|033-732-5566|강원 원주시 무실새골길 16||||||||윤정수개업[상세]|3층 (무실동)|||91604
최승걸개업[상세]||||변호사|033-244-3100|강원 춘천시 온의동 영서로 2303||||||||최승걸개업[상세]|(성일빌딩6층)|||91604
김철수개업[상세]||||변호사|033-244-6800|강원 춘천시 공지로 289||||||||김철수개업[상세]|(대양빌딩)|||91604
박동수개업[상세]||||변호사|033-743-8787|강원 원주시 능라동길 59||||||||박동수개업[상세]|507호 (무실동,정한프라자)|||91604
고광록개업[상세]||||변호사|033-645-­6911~3||강원 강릉시 성내동 21|||||||고광록개업[상세]||||91604
김은호개업[상세]||||변호사|033-645-9977||강원 강릉시 난곡동 116-4|||||||김은호개업[상세]||||91604
이태영||||변호사||||||||||이태영||||91604
정영수개업[상세]||||변호사|033-646-­7700，7712||강원 강릉시 교1동 1006-6|||||||정영수개업[상세]||||91604
안봉진개업[상세]||||변호사|033-242-4315,6||강원 춘천시 효자2동 709|||||||안봉진개업[상세]|(대양빌딩4층)|||91604
백성용개업[상세]||||변호사|033-744-2488||강원 원주시 무실동 1811-3|||||||백성용개업[상세]|(2,3층)|||91604
이주해개업[상세]||||변호사|033-647­-7770∼1||강원 강릉시 교1동 860-26|||||||이주해개업[상세]|(시가빌딩4층)|||91604
김희근개업[상세]||||변호사|033-635-0087-8||강원 속초시 동명동 280-2|||||||김희근개업[상세]|(동명빌딩 3층)|||91604
박호서개업[상세]||||변호사|033-251-­8447∼8||강원 춘천시 효자2동 712-11|||||||박호서개업[상세]|(덕호빌딩4층)|||91604
김용학개업[상세]||||변호사|033-374-­0330∼2||강원 영월군 영월읍 영흥7리 846-3|||||||김용학개업[상세]||||91604
김문성개업[상세]||||변호사|033-744-2488||강원 원주시 무실동 1811-3|||||||김문성개업[상세]|(2,3층)|||91604
박형일개업[상세]||||변호사|033-257-­4502∼3||강원 춘천시 효자2동 309-1|||||||박형일개업[상세]||||91604
이종식개업[상세]||||변호사|033-636-­6231||강원 속초시 동명동 466-58|||||||이종식개업[상세]||||91604
고용균개업[상세]||||변호사|033-374-­2557||강원 영월군 영월읍 영흥7리 840-6|||||||고용균개업[상세]||||91604
권태형개업[상세]||||변호사||강원 강릉시 율곡로 3176||||||||권태형개업[상세]|4층 (죽헌동,에코피아 빌딩)|||91604
이호조개업[상세]||||변호사|033-251-0558,0559|강원 춘천시 공지로 293||||||||이호조개업[상세]|6층 (효자동,화남빌딩)|||91604
노재환개업[상세]||||변호사|033-264-­4437∼8||강원 춘천시 효자2동 360-8|||||||노재환개업[상세]|(태성빌딩4층)|||91604
한준희||||변호사||||||||||한준희||||91604
류지한개업[상세]||||변호사|033-255-5601,2|강원 춘천시 공지로 319-9||||||||류지한개업[상세]|(효자동)|||91604
안성일개업[상세]||||변호사|033-643-4460||강원 강릉시 죽헌동 920|||||||안성일개업[상세]|(에코피아빌딩 4층)|||91604
조해근||||변호사||||||||||조해근||||91604
박수복개업[상세]||||변호사|033-254-2500,264-5115||강원 춘천시 효자2동 360-1|||||||박수복개업[상세]|(2층)|||91604
김정삼개업[상세]||||변호사|033-745-2488|강원 원주시 무실새골길 12||||||||김정삼개업[상세]|(무실동) 보성빌딩 2층|||91604
이택수개업[상세]||||변호사|033-254-­4368||강원 춘천시 효자2동 709-10|||||||이택수개업[상세]|(화남빌딩6층)|||91604
강신원개업[상세]||||변호사|033-648-4422|강원 강릉시 교동광장로 90||||||||강신원개업[상세]|3층 (교동)|||91604
박우순개업[상세]||||변호사|033-744-7600||강원 원주시 학성1동 1040-3|||||||박우순개업[상세]||||91604
조동용개업[상세]||||변호사|033-635-2868|강원 속초시 법대로 4||||||||조동용개업[상세]|(동명동)|||91604
최병영개업[상세]||||변호사|033-463-3377|강원 인제군 인제읍 비봉로 28||||||||최병영개업[상세]|2층 (성지빌딩)|||91604
오시열개업[상세]||||변호사|033-745-5421~3||강원 원주시 무실동 1807-9|||||||오시열개업[상세]||||91604
이두환개업[상세]||||변호사|033-633-5559||강원 속초시 동명동 450-376|||||||이두환개업[상세]||||91604
박성덕개업[상세]||||변호사|033-534-0882||강원 동해시 천곡동 847|||||||박성덕개업[상세]|(동진빌딩303호)|||91604
김양일개업[상세]||||변호사|033-635-1384||강원 속초시 교동 737-7|||||||김양일개업[상세]|(아남프라자 905호)|||91604
이관형개업[상세]||||변호사|033-645-­6911~3||강원 강릉시 성내동 21|||||||이관형개업[상세]||||91604
홍성계||||변호사||||||||||홍성계||||91604
김종식개업[상세]||||변호사|033-242-4317||강원 춘천시 효자2동 709|||||||김종식개업[상세]|(대양빌딩4층)|||91604
함응래||||변호사||||||||||함응래||||91604
최정윤개업[상세]||||변호사|031-895-4750|경기 수원시 영통구 광교중앙로248번길 7-2||||||||최정윤개업[상세]|(하동,원희캐슬 광교) C동 811호|||91604
김정한개업[상세]||||변호사|031-873-9983|경기 의정부시 녹양로 44||||||||김정한개업[상세]|삼형빌딩 501호 (가능동)|||91604
양병렬개업[상세]||||변호사|031-484-3353|경기 안산시 단원구 광덕서로 72||||||||양병렬개업[상세]|(고잔동,중앙법조빌딩) 302호 변호사 안세환 법률사무소|||91604
김인욱개업[상세]||||변호사|031-213-6633|경기 수원시 영통구 광교중앙로248번길 95-9||||||||김인욱개업[상세]|401~404호 (하동,캡틴법조타운)|||91604
임슬기개업[상세]||||변호사|031-731-1061||경기 성남시 수정구 단대동 69-5|||||||임슬기개업[상세]|인화빌딩3층 성남국선전담변호사 사무실|||91604
이대희개업[상세]||||변호사||경기 성남시 수정구 산성대로 447-1||||||||이대희개업[상세]|(단대동) 4층|||91604
최윤영||||변호사||||||||||최윤영||||91604
서준원||||변호사||||||||||서준원||||91604
유진희개업[상세]||||변호사|031-213-1100|경기 수원시 영통구 매봉로 53||||||||유진희개업[상세]|3층 (매탄동,성심빌딩)|||91604
경선희개업[상세]||||변호사|031-731-6551|경기 성남시 중원구 산성대로 380||||||||경선희개업[상세]|6층 (금광동,동일빌딩)|||91604
강원도개업[상세]||||변호사|031-653-8100|경기 평택시 평남로 1031||||||||강원도개업[상세]|(동삭동) 3층 운성빌딩|||91604
박황준개업[상세]||||변호사|031-885-0725||경기 여주시 세종로 31|||||||박황준개업[상세]|(홍문동) 401호|||91604
유혜진개업[상세]||||변호사|031-213-0771|경기 수원시 영통구 광교중앙로248번길 40||||||||유혜진개업[상세]|615호,616호 (하동)|||91604
김지연개업[상세]||||변호사|031-262-2038|경기 용인시 수지구 풍덕천로148번길 22||||||||김지연개업[상세]|(풍덕천동,홍우빌딩) 302호|||91604
문나연개업[상세]||||변호사|031-605-9991|경기 성남시 수정구 산성대로 445||||||||문나연개업[상세]|3층 (단대동)|||91604
이나라개업[상세]||||변호사|031-734-9300|경기 성남시 중원구 산성대로 450||||||||이나라개업[상세]|(금광동,산성빌딩) 3층|||91604
유지승개업[상세]||||변호사|031-216-2500|경기 수원시 영통구 광교중앙로248번길 7-1||||||||유지승개업[상세]|201호,202호 (하동,오름법조프라자)|||91604
이형기개업[상세]||||변호사|031-212-0005|경기 수원시 영통구 동수원로 535||||||||이형기개업[상세]|(원천동) 201호 법률사무소 이삭|||91604
백건개업[상세]||||변호사|031-212-1126|경기 수원시 영통구 중부대로345번길 20||||||||백건개업[상세]|4층 404호 (원천동,대산프라자)|||91604
김새롬개업[상세]||||변호사|031-374-3750|경기 수원시 영통구 광교중앙로248번길 95-9||||||||김새롬개업[상세]|2층 203호,204호,205호 (하동,캡틴법조타운)|||91604
하지훈개업[상세]||||변호사|031-441-2727||경기 안양시 동안구 관양동 1597|||||||하지훈개업[상세]|(한양월드빌 301호)|||91604
안희정개업[상세]||||변호사|031-876-6111|경기 의정부시 녹양로 44||||||||안희정개업[상세]|301호 (가능동,삼형빌딩)|||91604
김헌기개업[상세]||||변호사|031-214-5502|경기 수원시 영통구 광교중앙로266번길 30||||||||김헌기개업[상세]|(하동) 503호 (하동,그랜드프라자)|||91604
고민지개업[상세]||||변호사|032-327-2020|경기 부천시 상일로 126||||||||고민지개업[상세]|301호,305호,306호,308호 (상동,뉴법조타운)|||91604
최원익개업[상세]||||변호사|031-979-1900|경기 고양시 덕양구 화정로 53-1||||||||최원익개업[상세]|(화정동,글로리아빌딩) 402호|||91604
김기봉개업[상세]||||변호사|031-211-3700|경기 수원시 영통구 월드컵로150번길 4||||||||김기봉개업[상세]|202호,203호 (광교행복프라자)|||91604
선동원개업[상세]||||변호사|031-895-4757|경기 용인시 수지구 광교중앙로 298||||||||선동원개업[상세]|(상현동) 드림타워2 504호|||91604
박철순||||변호사||||||||||박철순||||91604
조현권개업[상세]||||변호사|032-863-2212|경기 부천시 소향로 11||||||||조현권개업[상세]|312호 (상동,코오롱이데아폴리스)|||91604
성근모개업[상세]||||변호사|031-211-2700|경기 수원시 영통구 광교중앙로248번길 7-2||||||||성근모개업[상세]|제5층 제씨 501~3호 (하동,원희캐슬 광교)|||91604
선영신개업[상세]||||변호사|031-746-4300|경기 성남시 중원구 산성대로 446||||||||선영신개업[상세]|(금광동) 2층|||91604
양윤창개업[상세]||||변호사|031-216-6336|경기 수원시 영통구 광교중앙로248번길 95-9||||||||양윤창개업[상세]|6층 (하동,캡틴법조타운)|||91604
이재훈개업[상세]||||변호사||경기 의왕시 철도박물관로 37||||||||이재훈개업[상세]|(삼동,현대자동차그룹 의왕연구소) 16층 --|||91604
김정훈개업[상세]||||변호사|031-547-9650|경기 수원시 영통구 광교중앙로248번길 95-9||||||||김정훈개업[상세]|306호 (하동,캡틴법조타운)|||91604
김용민개업[상세]||||변호사|031-901-8700|경기 고양시 일산동구 장백로 206||||||||김용민개업[상세]|(장항동,이지로빌딩) 701호 법률사무소 화민|||91604
우원진개업[상세]||||변호사|0316512510|경기 평택시 평남로 1041||||||||우원진개업[상세]|302호 (동삭동,모세빌딩)|||91604
박정호개업[상세]||||변호사|031-8042-2441|경기 안산시 단원구 광덕서로 72||||||||박정호개업[상세]|(고잔동,중앙법조빌딩) 403호|||91604
임채후개업[상세]||||변호사|031-216-9830|경기 수원시 영통구 광교중앙로248번길 95-1||||||||임채후개업[상세]|504호 (하동)|||91604
권하빈개업[상세]||||변호사|032-323-3800|경기 부천시 신흥로 234||||||||권하빈개업[상세]|(중동,뉴월드프라자) 603호|||91604
