##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@자동차운전학원
강원/신진자동차운전전문학원||||자동차운전학원|033-342-7931|강원도 횡성군 횡성읍 입석로 118||||||||강원 신진자동차운전전문학원|(남산리)|||20306
경기/우리자동차운전전문학원||||자동차운전학원|031-582-0769|경기도 가평군 가평읍 태봉두밀로 34-71||||||||경기 우리자동차운전전문학원|(상색리)|||20306
뉴대성자동차운전전문학원||||자동차운전학원|031-904-7077|경기도 고양시 일산동구 장대길 160-38||||||||뉴대성자동차운전전문학원|(장항동)|||20306
신일자동차운전전문학원||||자동차운전학원|031-977-1522|경기도 고양시 일산동구 성현로 268번길 93||||||||신일자동차운전전문학원|(성석동)|||20306
경기/서울광명자동차운전전문학원||||자동차운전학원|02-894-6000|경기도 광명시 안현로 81||||||||경기 서울광명자동차운전전문학원|(하안동)|||20306
경기/광주제일자동차운전전문학원||||자동차운전학원|031-761-1400||경기도 광주시 곤지암읍 삼리 612-10|||||||경기 광주제일자동차운전전문학원|(평촌길)|||20306
경기/국제자동차운전전문학원||||자동차운전학원|031-718-7777|경기도 광주시 오포읍 신현로 55-10||||||||경기 국제자동차운전전문학원|(신현리)|||20306
모란자동차운전전문학원||||자동차운전학원|031-765-9999|경기도 광주시 절골길 83||||||||모란자동차운전전문학원|(장지동)|||20306
성남자동차운전전문학원||||자동차운전학원|031-768-6811|경기도 광주시 장지9길 140||||||||성남자동차운전전문학원|(장지동)|||20306
유환자동차운전전문학원||||자동차운전학원|031-454-6500|경기도 군포시 경수대로 453||||||||유환자동차운전전문학원|(당정동)|||20306
경기/서부자동차운전전문학원||||자동차운전학원|031-989-9011|경기도 김포시 양촌읍 김포한강4로 279-36||||||||경기 서부자동차운전전문학원|(석모리)|||20306
한강자동차운전전문학원||||자동차운전학원|031-996-6411|경기도 김포시 통진읍 율마로300번길 153||||||||한강자동차운전전문학원|(가현리)|||20306
북부신진자동차운전전문학원||||자동차운전학원|031-529-3131|경기도 남양주시 진접읍 장현로147번길 6||||||||북부신진자동차운전전문학원|(장현리)|||20306
신광자동차운전전문학원||||자동차운전학원|031-862-6433|경기도 동두천시 벌마들로40번길 24-9||||||||신광자동차운전전문학원|(상패동)|||20306
부천자동차운전전문학원||||자동차운전학원|032-679-3000|경기도 부천시 오정구 성오로 157||||||||부천자동차운전전문학원|(오정동)|||20306
신진중동자동차운전전문학원||||자동차운전학원|032-323-3388|경기도 부천시 평천로 651||||||||신진중동자동차운전전문학원|(약대동)|||20306
수원원천자동차운전전문학원||||자동차운전학원|031-217-8833|경기도 수원시 영통구 중부대로462번길 23||||||||수원원천자동차운전전문학원|(원천동)|||20306
신천자동차운전전문학원||||자동차운전학원|031-312-1141|경기도 시흥시 소래산길 69||||||||신천자동차운전전문학원|(대야동)|||20306
한빛자동차운전전문학원||||자동차운전학원|031-433-5500|경기도 시흥시 봉화로 49||||||||한빛자동차운전전문학원|(정왕동)|||20306
안산대일자동차운전전문학원||||자동차운전학원|031-413-1100|경기도 안산시 단원구 원포공원로 45||||||||안산대일자동차운전전문학원|(초지동)|||20306
갤럭시자동차운전전문학원||||자동차운전학원|031-655-6525|경기도 안성시 공도읍 봉기길 87||||||||갤럭시자동차운전전문학원|(양기리)|||20306
명학자동차운전전문학원||||자동차운전학원|031-468-6800|경기도 안양시 만안구 덕천로48번길 71||||||||명학자동차운전전문학원|(안양동)|||20306
안양자동차운전전문학원||||자동차운전학원|031-472-3000|경기도 안양시 만안구 안양로 599||||||||안양자동차운전전문학원|(석수동)|||20306
강북삼성자동차운전전문학원||||자동차운전학원|031-879-6500|경기도 양주시 백석읍 꿈나무로 93||||||||강북삼성자동차운전전문학원|(오산리)|||20306
북부중앙자동차운전전문학원||||자동차운전학원|031-841-9420|경기도 양주시 화합로 1221||||||||북부중앙자동차운전전문학원|(회정동)|||20306
한미자동차운전전문학원||||자동차운전학원|031-847-4000|경기도 양주시 삼숭로 129번길 11||||||||한미자동차운전전문학원|(삼숭동)|||20306
광원자동차운전전문학원||||자동차운전학원|031-771-7100|경기도 양평군 양평읍 중앙로 244-26||||||||광원자동차운전전문학원|(도곡리)|||20306
뉴신진자동차운전전문학원||||자동차운전학원|031-886-5700|경기도 여주군 여주읍 여주남로 236||||||||뉴신진자동차운전전문학원|(연라동)|||20306
e삼성자동차운전전문학원||||자동차운전학원|031-335-3805|경기도 용인시 처인구 경안천로 152-3||||||||e삼성자동차운전전문학원|(고림동)|||20306
시티자동차운전전문학원||||자동차운전학원|031-879-3000|경기도 의정부시 신흥로 41||||||||시티자동차운전전문학원|(호원동)|||20306
이천제일자동차운전전문학원||||자동차운전학원|031-638-0707|경기도 이천시 신둔면 원적로512번길 256-23||||||||이천제일자동차운전전문학원|(도봉리)|||20306
장호원자동차운전전문학원||||자동차운전학원|031-643-8000|경기도 이천시 장호원읍 장여로 229-33||||||||장호원자동차운전전문학원|(노탑리)|||20306
엘씨자동차운전전문학원||||자동차운전학원|031-952-6400|경기도 파주시 문산읍 우계로457번길 21||||||||엘씨자동차운전전문학원|(선유리)|||20306
자유로자동차운전전문학원||||자동차운전학원|031-947-9944|경기도 파주시 교하로1290번길 120-40||||||||자유로자동차운전전문학원|(다율동)|||20306
하예서부자동차운전전문학원||||자동차운전학원|031-953-4871|경기도 파주시 파주읍 학당말길 141||||||||하예서부자동차운전전문학원|(파주리)|||20306
대동자동차운전전문학원||||자동차운전학원|031-655-5252|경기도 평택시 팽성읍 안정순환로 21||||||||대동자동차운전전문학원|(송화리)|||20306
그린자동차운전전문학원||||자동차운전학원|031-542-2900|경기도 포천시 소흘읍 호국로 223-38||||||||그린자동차운전전문학원|(이동교리)|||20306
신제일자동차운전전문학원||||자동차운전학원|031-534-7600|경기도 포천시 영북면 문암길 20-1||||||||신제일자동차운전전문학원|(문암리)|||20306
상록수자동차운전전문학원||||자동차운전학원|031-355-7360|경기도 화성시 비봉면 하저자안로 207||||||||상록수자동차운전전문학원|(자안리)|||20306
거제자동차운전전문학원||||자동차운전학원|055-632-1320|경상남도 거제시 제산로2길 11||||||||거제자동차운전전문학원|(양정동)|||20306
옥포자동차운전전문학원||||자동차운전학원|055-687-7171|경상남도 거제시 옥포대첩로 272-13||||||||옥포자동차운전전문학원|(덕포동)|||20306
거창현대자동차운전전문학원||||자동차운전학원|055-943-9595|경상남도 거창군 거창읍 새동네2길 53||||||||거창현대자동차운전전문학원|(대평리)|||20306
고성자동차운전전문학원||||자동차운전학원|055-673-5454|경상남도 고성군 고성읍 남해안대로 2305||||||||고성자동차운전전문학원|(신월리)|||20306
김해자동차운전전문학원||||자동차운전학원|055-321-2001|경상남도 김해시 김해대로 2569||||||||김해자동차운전전문학원|(어방동)|||20306
장유자동차운전전문학원||||자동차운전학원|055-314-0808|경상남도 김해시 주촌면 금관대로 751||||||||장유자동차운전전문학원|(농소리)|||20306
한일자동차운전전문학원||||자동차운전학원|055-334-3001|경상남도 김해시 분성로3번길 235-34||||||||한일자동차운전전문학원|(내동)|||20306
남해자동차운전전문학원||||자동차운전학원|055-863-0321|경상남도 남해군 이동면 남해대로 1607||||||||남해자동차운전전문학원|(신전리)|||20306
밀양현대자동차운전전문학원||||자동차운전학원|055-354-8881|경상남도 밀양시 용평로 79||||||||밀양현대자동차운전전문학원|(용평동)|||20306
삼천포자동차운전전문학원||||자동차운전학원|055-833-3233|경상남도 사천시 삼천포대교로 566||||||||삼천포자동차운전전문학원|(좌룡동)|||20306
경남/국제자동차운전전문학원||||자동차운전학원|055-388-7080|경상남도 양산시 덕계북길 25||||||||경남 국제자동차운전전문학원|(덕계동)|||20306
경남/대우자동차운전전문학원||||자동차운전학원|055-385-5454|경상남도 양산시 동면 지당길 6-1||||||||경남 대우자동차운전전문학원|(석산리)|||20306
풍원자동차운전전문학원||||자동차운전학원|055-389-2521|경상남도 양산시 용주로 21||||||||풍원자동차운전전문학원|(용당동)|||20306
도원성자동차운전전문학원||||자동차운전학원|055-746-3666|경상남도 진주시 남강로 155-26||||||||도원성자동차운전전문학원|(평거동)|||20306
서부경남자동차운전전문학원||||자동차운전학원|055-759-9866|경상남도 진주시 금곡면 정자천로15번길 15||||||||서부경남자동차운전전문학원|(정자리)|||20306
정오자동차운전전문학원||||자동차운전학원|055-761-8888|경상남도 진주시 대신로 642-34||||||||정오자동차운전전문학원|(장재동)|||20306
창신자동차운전전문학원||||자동차운전학원|055-752-9555|경상남도 진주시 대신로 196번길 20||||||||창신자동차운전전문학원|(상평동)|||20306
창녕자동차운전전문학원||||자동차운전학원|055-533-6900|경상남도 창녕군 창녕읍 탐하로 254||||||||창녕자동차운전전문학원|(탐하리)|||20306
마창자동차운전전문학원||||자동차운전학원|055-291-8383|경상남도 창원시 의창구 팔용로 315||||||||마창자동차운전전문학원|(반계동)|||20306
부림자동차운전전문학원||||자동차운전학원|055-271-7900|경상남도 창원시 마산합포구 진북면 진북산업로 142||||||||부림자동차운전전문학원|(망곡리)|||20306
부성자동차운전전문학원||||자동차운전학원|055-551-9996~7|경상남도 창원시 진해구 어은로 32||||||||부성자동차운전전문학원|(죽곡동)|||20306
창원자동차운전전문학원||||자동차운전학원|055-237-7070|경상남도 창원시 의창구 차상로150번길 78||||||||창원자동차운전전문학원|(팔용동)|||20306
한백자동차운전전문학원||||자동차운전학원|055-271-1500|경상남도 창원시 마산합포구 진동면 삼진의거대로 830||||||||한백자동차운전전문학원|(교동리)|||20306
신세계자동차운전전문학원||||자동차운전학원|055-641-6800|경상남도 통영시 광도면 남해안대로 1160-60||||||||신세계자동차운전전문학원|(노산리)|||20306
한려자동차운전전문학원||||자동차운전학원|055-649-0211|경상남도 통영시 광도면 남해안대로 1130-19||||||||한려자동차운전전문학원|(노산리)|||20306
하동자동차운전전문학원||||자동차운전학원|055-883-8811|경상남도 하동군 하동읍 화심길 116||||||||하동자동차운전전문학원|(화심리)|||20306
함양자동차운전전문학원||||자동차운전학원|055-962-3241|경상남도 함양군 함양읍 함양남서로 996-11||||||||함양자동차운전전문학원|(이은리)|||20306
경산남부자동차운전전문학원||||자동차운전학원|053-811-1101|경상북도 경산시 중방로 124||||||||경산남부자동차운전전문학원|(계양동)|||20306
경산수성자동차운전전문학원||||자동차운전학원|053-818-4000|경상북도 경산시 임당로 106||||||||경산수성자동차운전전문학원|(임당동)|||20306
경산하양자동차운전전문학원||||자동차운전학원|053-851-5900|경상북도 경산시 진량읍 금호강변로 860||||||||경산하양자동차운전전문학원|(부기리)|||20306
경주자동차운전전문학원||||자동차운전학원|054-761-3001|경상북도 경주시 안강읍 새안현로 1144||||||||경주자동차운전전문학원|(강교리)|||20306
구미공단자동차운전전문학원||||자동차운전학원|054-472-7007|경상북도 구미시 옥계2공단로 238||||||||구미공단자동차운전전문학원|(구포동)|||20306
구미인동자동차운전전문학원||||자동차운전학원|054-475-7000|경상북도 구미시 인동가산로 384-26||||||||구미인동자동차운전전문학원|(구평동)|||20306
구미자동차운전전문학원||||자동차운전학원|054-452-1188|경상북도 구미시 고아읍 선산대로 468||||||||구미자동차운전전문학원|(송림리)|||20306
구미최신자동차운전전문학원||||자동차운전학원|054-443-8282|경상북도 구미시 고아읍 원대로9길 11||||||||구미최신자동차운전전문학원|(원호리)|||20306
남구미자동차운전전문학원||||자동차운전학원|054-464-5522～4|경상북도 구미시 오태1길 74||||||||남구미자동차운전전문학원|(오태동)|||20306
김천중앙자동차운전전문학원||||자동차운전학원|054-442-7900|경상북도 김천시 아포읍 송선로 140||||||||김천중앙자동차운전전문학원|(송천리)|||20306
김천현대자동차운전전문학원||||자동차운전학원|054-432-3355|경상북도 김천시 시청로 114||||||||김천현대자동차운전전문학원|(신음동)|||20306
문경영강자동차운전전문학원||||자동차운전학원|054-553-0057～8|경상북도 문경시 산양면 중앙로 360-8||||||||문경영강자동차운전전문학원|(반곡리)|||20306
봉화자동차운전전문학원||||자동차운전학원|054-673-7777|경상북도 봉화군 봉화읍 봉화로 1001-29||||||||봉화자동차운전전문학원|(해저리)|||20306
상주새한일자동차운전전문학원||||자동차운전학원|054-533-9988|경상북도 상주시 경상대로 2725||||||||상주새한일자동차운전전문학원|(가장동)|||20306
안동새한자동차운전전문학원||||자동차운전학원|054-858-5896|경상북도 안동시 강남로 108||||||||안동새한자동차운전전문학원|(수상동)|||20306
안동옥동현대자동차운전전문학원||||자동차운전학원|054-857-5588|경상북도 안동시 은행나무로 46-29||||||||안동옥동현대자동차운전전문학원|(옥동)|||20306
안동화성자동차운전전문학원||||자동차운전학원|054-859-1661|경상북도 안동시 앙실3길 19||||||||안동화성자동차운전전문학원|(수하동)|||20306
영덕진성자동차운전전문학원||||자동차운전학원|054-734-2802|경상북도 영덕군 영덕읍 남산길 22-6||||||||영덕진성자동차운전전문학원|(남산리)|||20306
영주대영자동차운전전문학원||||자동차운전학원|054-636-9188|경상북도 영주시 영봉로 35-15||||||||영주대영자동차운전전문학원|(휴천동)|||20306
영주자동차운전전문학원||||자동차운전학원|054-633-3737|경상북도 영주시 필두길50번길 99||||||||영주자동차운전전문학원|(상줄동)|||20306
영천중앙자동차운전전문학원||||자동차운전학원|054-332-3300|경상북도 영천시 천문로 502||||||||영천중앙자동차운전전문학원|(오미동)|||20306
예천자동차운전전문학원||||자동차운전학원|054-654-3759|경상북도 예천군 예천읍 도효자로 62-15||||||||예천자동차운전전문학원|(우계리)|||20306
의성경의자동차운전전문학원||||자동차운전학원|054-832-9400|경상북도 의성군 의성읍 홍술로 89-23||||||||의성경의자동차운전전문학원|(원당리)|||20306
청도화양자동차운전전문학원||||자동차운전학원|054-373-7800|경상북도 청도군 화양읍 북문길 46||||||||청도화양자동차운전전문학원|(동상리)|||20306
청송문화자동차운전전문학원||||자동차운전학원|054-874-3113|경상북도 청송군 진보면 못안길 65||||||||청송문화자동차운전전문학원|(이촌리)|||20306
포항경북자동차운전전문학원||||자동차운전학원|054-285-0888|경상북도 포항시 남구 연일로 143||||||||포항경북자동차운전전문학원|(생지리)|||20306
포항경포자동차운전전문학원||||자동차운전학원|054-284-9997|경상북도 포항시 남구 동해면 약전로115번길 69||||||||포항경포자동차운전전문학원|(신정리)|||20306
포항영남자동차운전전문학원||||자동차운전학원|054-244-9600|경상북도 포항시 북구 우창로 111||||||||포항영남자동차운전전문학원|(우현동)|||20306
포항현대자동차운전전문학원||||자동차운전학원|054-277-5000|경상북도 포항시 남구 오천읍 철강로 862||||||||포항현대자동차운전전문학원|(세계리)|||20306
포항흥해자동차운전전문학원||||자동차운전학원|054-262-8888|경상북도 포항시 북구 흥해읍 덕실마을길3번길 62||||||||포항흥해자동차운전전문학원|(용전리)|||20306
광주/영진자동차운전전문학원||||자동차운전학원|062-951-5100|광주광역시 광산구 목련로 372-19||||||||광주 영진자동차운전전문학원|(신가동)|||20306
광주/제일자동차운전전문학원||||자동차운전학원|062-954-2222|광주광역시 광산구 풍영정길 241-17||||||||광주 제일자동차운전전문학원|(신창동)|||20306
OK자동차운전전문학원||||자동차운전학원|062-675-7100|광주광역시 남구 송암로130번길 7||||||||OK자동차운전전문학원|(송하동)|||20306
한국자동차운전전문학원||||자동차운전학원|062-674-1600|광주광역시 남구 서문대로 541||||||||한국자동차운전전문학원|(송하동)|||20306
광주/신진자동차운전전문학원||||자동차운전학원|062-234-4343|광주광역시 동구 소태길 78||||||||광주 신진자동차운전전문학원|(소태동)|||20306
광주/대성자동차운전전문학원||||자동차운전학원|062-513-6500|광주광역시 북구 동운로32번길 20||||||||광주 대성자동차운전전문학원|(동림동)|||20306
동신자동차운전전문학원||||자동차운전학원|062-269-6400|광주광역시 북구 서방로81번길 27||||||||동신자동차운전전문학원|(우산동)|||20306
고려자동차운전전문학원||||자동차운전학원|053-633-7777|대구광역시 달서구 상화로 116||||||||고려자동차운전전문학원|(대곡동)|||20306
성당자동차운전전문학원||||자동차운전학원|053-563-4000|대구광역시 달서구 와룡로33길 51||||||||성당자동차운전전문학원|(감삼동)|||20306
남대구자동차운전전문학원||||자동차운전학원|053-611-9900|대구광역시 달성군 현풍면 비슬로 738||||||||남대구자동차운전전문학원|(성하리)|||20306
푸른자동차운전전문학원||||자동차운전학원|053-587-6600|대구광역시 달성군 다사읍 서재로12길 53||||||||푸른자동차운전전문학원||||20306
대한자동차운전전문학원||||자동차운전학원|053-982-4242|대구광역시 동구 신평로 146||||||||대한자동차운전전문학원|(용계동)|||20306
신탄자동차운전전문학원||||자동차운전학원|042-934-9000|대전광역시 대덕구 남경마을로33번길 32-20||||||||신탄자동차운전전문학원|(신탄진동)|||20306
문화자동차운전전문학원||||자동차운전학원|042-284-3399,7000|대전광역시 동구 용운로151번길 85||||||||문화자동차운전전문학원|(용운동)|||20306
대전/삼성자동차운전전문학원||||자동차운전학원|042-584-6116|대전광역시 서구 구봉로 456||||||||대전 삼성자동차운전전문학원|(정림동)|||20306
대전/효성자동차운전전문학원||||자동차운전학원|042-546-8000|대전광역시 서구 벌곡로1384번길 38||||||||대전 효성자동차운전전문학원|(가수원동)|||20306
향우자동차운전전문학원||||자동차운전학원|042-533-0400|대전광역시 서구 변동로 36||||||||향우자동차운전전문학원|(변동)|||20306
대전/대성자동차운전전문학원||||자동차운전학원|042-242-6565|대전광역시 중구 유등천동로 792||||||||대전 대성자동차운전전문학원|(증촌동)|||20306
온수역자동차운전전문학원||||자동차운전학원|02-2686-2031|서울특별시 구로구 부일로1가길 18-44||||||||온수역자동차운전전문학원|(온수동)|||20306
사당자동차운전전문학원||||자동차운전학원|02-521-1637|서울특별시 서초구 과천대로 904-6||||||||사당자동차운전전문학원|(방배동)|||20306
중랑자동차운전전문학원||||자동차운전학원|02-494-3355|서울특별시 중랑구 상봉로 117||||||||중랑자동차운전전문학원|(상봉동)|||20306
강화자동차운전전문학원||||자동차운전학원|032-932-2176|인천광역시 강화군 선원면 강화동로 984||||||||강화자동차운전전문학원|(냉정리)|||20306
거성자동차운전전문학원||||자동차운전학원|032-543-3399|인천광역시 계양구 봉오대로894번길 33-12||||||||거성자동차운전전문학원|(서운동)|||20306
성도자동차운전전문학원||||자동차운전학원|032-546-0100|인천광역시 계양구 아나지로 480||||||||성도자동차운전전문학원|(서운동)|||20306
인천/효성자동차운전전문학원||||자동차운전학원|032-551-7000|인천광역시 계양구 새풀로8번길 14||||||||인천 효성자동차운전전문학원|(효성동)|||20306
한양자동차운전전문학원||||자동차운전학원|032-507-6200|인천광역시 계양구 장제로 988||||||||한양자동차운전전문학원|(박촌동)|||20306
시엘자동차운전전문학원||||자동차운전학원|032-867-7070|인천광역시 남구 소성로 34||||||||시엘자동차운전전문학원|(용현동)|||20306
인기자동차운전전문학원||||자동차운전학원|032-446-1199|인천광역시 남동구 논현고잔로88번길 19||||||||인기자동차운전전문학원|(고잔동)|||20306
인천/동아자동차운전전문학원||||자동차운전학원|032-446-1100|인천광역시 남동구 청능대로 534번길 39||||||||인천 동아자동차운전전문학원|(고잔동)|||20306
일신자동차운전전문학원||||자동차운전학원|032-513-1313|인천광역시 부평구 무네미로 522||||||||일신자동차운전전문학원|(구산동)|||20306
세영자동차운전전문학원||||자동차운전학원|032-568-3030|인천광역시 서구 원당대로820번길 70||||||||세영자동차운전전문학원|(당하동)|||20306
인천/대우자동차운전전문학원||||자동차운전학원|032-561-5500|인천광역시 서구 호두산로 18||||||||인천 대우자동차운전전문학원|(경서동)|||20306
한성자동차운전전문학원||||자동차운전학원|032-581-2222|인천광역시 서구 중봉대로 266||||||||한성자동차운전전문학원|(석남동)|||20306
인천/기아자동차운전전문학원||||자동차운전학원|032-884-6111|인천광역시 중구 서해대로 261||||||||인천 기아자동차운전전문학원|(항동7가)|||20306
고흥자동차운전전문학원||||자동차운전학원|061-835-3161|전라남도 고흥군 고흥읍 송곡길 4-9||||||||고흥자동차운전전문학원|(남계리)|||20306
동광양자동차운전전문학원||||자동차운전학원|061-794-8088|전라남도 광양시 도이1길 89||||||||동광양자동차운전전문학원|(도이동)|||20306
나주자동차운전전문학원||||자동차운전학원|061-336-6611|전라남도 나주시 다시면 구진포로 28||||||||나주자동차운전전문학원|(가운리)|||20306
담양아시아자동차운전전문학원||||자동차운전학원|061-383-5777|전라남도 담양군 담양읍 운교길 43||||||||담양아시아자동차운전전문학원|(운교리)|||20306
우양자동차운전전문학원||||자동차운전학원|061-381-0381|전라남도 담양군 봉산면 죽향대로 729||||||||우양자동차운전전문학원|(기곡리)|||20306
순천현대자동차운전전문학원||||자동차운전학원|061-721-0700|전라남도 순천시 해룡면 순광로 234-16||||||||순천현대자동차운전전문학원|(복성리)|||20306
전남/쌍용자동차운전전문학원||||자동차운전학원|061-721-3331|전라남도 순천시 비례길 100||||||||전남 쌍용자동차운전전문학원|(조례동)|||20306
여천자동차운전전문학원||||자동차운전학원|061-682-2288|전라남도 여수시 소호로 271||||||||여천자동차운전전문학원|(소호동)|||20306
전남/동성자동차운전전문학원||||자동차운전학원|061-643-2222|전라남도 여수시 신월로 496-12||||||||전남 동성자동차운전전문학원|(신월동)|||20306
전남/영진자동차운전전문학원||||자동차운전학원|061-666-1111|전라남도 여수시 만성로 231||||||||전남 영진자동차운전전문학원|(만흥동)|||20306
대흥자동차운전전문학원||||자동차운전학원|061-535-3441|전라남도 해남군 북평면 와룡길 37||||||||대흥자동차운전전문학원|(와룡리)|||20306
모양자동차운전전문학원||||자동차운전학원|063-562-1606|전라북도 고창군 아산면 봉덕길 4||||||||모양자동차운전전문학원|(봉덕리)|||20306
군산자동차운전전문학원||||자동차운전학원|063-467-1122|전라북도 군산시 개사길 58-2||||||||군산자동차운전전문학원|(개사동)|||20306
금강자동차운전전문학원||||자동차운전학원|063-463-6561|전라북도 군산시 공단대로 179||||||||금강자동차운전전문학원|(수송동)|||20306
오성자동차운전전문학원||||자동차운전학원|063-453-9121|전라북도 군산시 개정면 아동북길 55||||||||오성자동차운전전문학원|(아동리)|||20306
전북/아시아자동차운전전문학원||||자동차운전학원|063-545-4800|전라북도 김제시 복죽로 538||||||||전북 아시아자동차운전전문학원|(연정동)|||20306
남원자동차운전전문학원||||자동차운전학원|063-631-0711|전라북도 남원시 요천로 1798-6||||||||남원자동차운전전문학원|(월락동)|||20306
길자동차운전전문학원||||자동차운전학원|063-831-0123|전라북도 익산시 신왕길 32||||||||길자동차운전전문학원|(석왕동)|||20306
이리자동차운전전문학원||||자동차운전학원|063-852-2073|전라북도 익산시 익산대로33길 46-5||||||||이리자동차운전전문학원|(신용동)|||20306
그랜드자동차운전전문학원||||자동차운전학원|063-225-8868|전라북도 전주시 완산구 콩쥐팥쥐로 1713||||||||그랜드자동차운전전문학원|(효자동3가)|||20306
삼천자동차운전전문학원||||자동차운전학원|063-231-9933|전라북도 전주시 완산구 우림로 1001||||||||삼천자동차운전전문학원|(삼천동2가)|||20306
서신자동차운전전문학원||||자동차운전학원|063-212-1177|전라북도 전주시 덕진구 한내로 21||||||||서신자동차운전전문학원|(팔복동)|||20306
전북/동성자동차운전전문학원||||자동차운전학원|063-244-4660|전라북도 전주시 덕진구 장재길 4||||||||전북 동성자동차운전전문학원|(우아동3가)|||20306
전북/동아자동차운전전문학원||||자동차운전학원|063-211-1100|전라북도 전주시 덕진구 추천로 209||||||||전북 동아자동차운전전문학원|(팔복동)|||20306
전북/신진자동차운전전문학원||||자동차운전학원|063-212-7771|전라북도 전주시 덕진구 추천로 201||||||||전북 신진자동차운전전문학원|(팔복동)|||20306
전북/제일자동차운전전문학원||||자동차운전학원|063-221-3511|전라북도 전주시 완산구 쑥고개로 398-47||||||||전북 제일자동차운전전문학원|(효자동2가)|||20306
전북자동차운전전문학원||||자동차운전학원|063-255-2000|전라북도 전주시 덕진구 초포다리로 117-6||||||||전북자동차운전전문학원|(호성동 1가)|||20306
정읍자동차운전전문학원||||자동차운전학원|063-535-3192|전라북도 정읍시 충정로 638||||||||정읍자동차운전전문학원|(용계동)|||20306
정읍현대자동차운전전문학원||||자동차운전학원|063-533-1199|전라북도 정읍시 영원로 89-14||||||||정읍현대자동차운전전문학원|(용계동)|||20306
삼다자동차운전전문학원||||자동차운전학원|064-721-3198~99|제주특별자치도 제주시 명림로 219-13||||||||삼다자동차운전전문학원|(봉개동)|||20306
금산자동차운전전문학원||||자동차운전학원|041-754-4700|충청남도 금산군 금산읍 장자길 27||||||||금산자동차운전전문학원|(음지리)|||20306
당진자동차운전전문학원||||자동차운전학원|041-355-3523|충청남도 당진시 송악읍 광명길 27||||||||당진자동차운전전문학원|(광명리)|||20306
당진충남자동차운전전문학원||||자동차운전학원|041-352-0456|충청남도 당진시 원당로 141-10||||||||당진충남자동차운전전문학원|(원당동)|||20306
뉴보령현대자동차운전전문학원||||자동차운전학원|041-931-3330|충청남도 보령시 대해로 173||||||||뉴보령현대자동차운전전문학원|(내항동)|||20306
충남/제일자동차운전전문학원||||자동차운전학원|041-931-1515|충청남도 보령시 청소면 충서로 3660||||||||충남 제일자동차운전전문학원|(야현리)|||20306
서산현대자동차운전전문학원||||자동차운전학원|041-663-5555|충청남도 서산시 음암면 중앙로 734||||||||서산현대자동차운전전문학원|(유계리)|||20306
우석자동차운전전문학원||||자동차운전학원|041-548-3600|충청남도 아산시 배방읍 배방로 194||||||||우석자동차운전전문학원|(북수리)|||20306
