##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@대형예술센터
고양아람누리||||대형예술센터|1577-7766|경기도 고양시 일산동구 중앙로 1286|||||||고양문화재단|고양아람누리||||100204
광명시민회관||||대형예술센터|02-2621-8800|경기도 광명시 시청로 20|||||||광명문화재단|광명시민회관|광명시민회관 (철산동)|||100204
군포문화예술회관||||대형예술센터|031-390-3500|경기도 군포시 고산로 599|||||||군포문화재단|군포문화예술회관||||100204
김포아트홀||||대형예술센터|031-996-1603|경기도 김포시 돌문로 26|||||||김포문화재단|김포아트홀||||100204
부천시민회관||||대형예술센터|032-652-5848|경기도 부천시 원미구 부일로 365|||||||부천문화재단|부천시민회관|(중동)|||100204
성남아트센터||||대형예술센터|031-783-8000|경기도 성남시 분당구 성남대로 808|||||||성남문화재단|성남아트센터||||100204
수원SK아트리움||||대형예술센터|031-250-5300|경기도 수원시 장안구 이목로 24-25|||||||수원문화재단|수원SK아트리움||||100204
안산문화예술의전당||||대형예술센터|031-481-4000|경기도 안산시 화랑로 312|||||||안산문화재단|안산문화예술의전당||||100204
안양아트센터||||대형예술센터|031-687-0500|경기도 안양시 만안구 문예로 36번길 16|||||||안양문화예술재단|안양아트센터|(안양동)|||100204
평촌아트홀||||대형예술센터|031-687-0500|경기도 안양시 만안구 문예로 36번길 16|||||||안양문화예술재단|평촌아트홀|(안양동)|||100204
세종국악당||||대형예술센터|031-881-9682|경기도 여주시 영릉로 125|||||||여주세종문화재단|세종국악당||||100204
오산문화예술회관||||대형예술센터|031-379-9900|경기도 오산시 경기동로 41|||||||오산문화재단|오산문화예술회관|(오산동)|||100204
용인포은아트홀||||대형예술센터|031-260-3300|경기도 용인시 수지구 포은대로 499|||||||용인문화재단|용인포은아트홀||||100204
의정부예술의전당||||대형예술센터|031-828-5841|경기도 의정부시 의정로 1||||||||의정부예술의전당||||100204
하남문화예술회관||||대형예술센터|031-790-7979|경기도 하남시 신평로 125|||||||하남문화재단|하남문화예술회관|(덕풍동)|||100204
화성아트홀||||대형예술센터|031-8015-8150|경기도 화성시 태안로 145|||||||화성시문화재단|화성아트홀||||100204
반석아트홀||||대형예술센터|031-8015-8150|경기도 화성시 태안로 145|||||||화성시문화재단|반석아트홀||||100204
가평문화예술회관||||대형예술센터|031-8078-8076|경기도 가평군 가평읍 문화로 131||||||||가평문화예술회관||||100204
과천시민회관||||대형예술센터|02-504-7300|경기도 과천시 통영로 5||||||||과천시민회관||||100204
구리아트홀||||대형예술센터|031-550-8800|경기도 구리시 아차산로 453||||||||구리아트홀||||100204
남양주/다산아트홀||||대형예술센터|031-590-4387|경기도 남양주시 다산중앙로 7||||||||남양주 다산아트홀||||100204
남한산성아트홀||||대형예술센터|031-760-4466|경기도 광주시 회안대로 891||||||||남한산성아트홀||||100204
동두천시민회관||||대형예술센터|031-860-2063|경기도 동두천시 어수로 4||||||||동두천시민회관|(상패동,시민회관)|||100204
안성맞춤아트홀||||대형예술센터|031-678-5415|경기도 안성시 발화대길 21||||||||안성맞춤아트홀|안성맞춤아트홀|||100204
양주문화예술회관||||대형예술센터|031-828-9731|경기도 양주시 광적면 부흥로 618번길 303||||||||양주문화예술회관||||100204
연천수레울아트홀||||대형예술센터|031-834-3770|경기도 연천군 연천읍 문화로 150||||||||연천수레울아트홀||||100204
이천아트홀||||대형예술센터|031-644-2100|경기도 이천시 부악로 40||||||||이천아트홀|(중리동 490)|||100204
파주시/운정행복센터||||대형예술센터|031-950-1911|경기도 파주시 와석순환로 415||||||||파주시 운정행복센터||||100204
남부문화예술회관||||대형예술센터|031-8024-5411|경기도 평택시 중앙로 277|||||||평택시|남부문화예술회관||||100204
포천반월아트홀||||대형예술센터|031-540-6213|경기도 포천시 군내면 청성로 111||||||||포천반월아트홀||||100204
안성문예회관||||대형예술센터|070-8856-2336|경기도 안성시 보개면 종합운동자로 203||||||||안성문예회관||||100204
양평군민회관||||대형예술센터|031-770-3776|경기도 양평군 양평읍 마유산로 1||||||||양평군민회관||||100204
영월문화예술회관||||대형예술센터|033-375-6353|강원도 영월군 영월읍 단종로 24|||||||영월문화재단|영월문화예술회관||||100204
치악예술관||||대형예술센터|033-763-9114|강원도 원주시 서원대로 331|||||||원주문화재단|치악예술관||||100204
인제하늘내린센터||||대형예술센터|033-460-8900|강원도 인제군 인제읍 비봉로44번길 100|||||||인제군문화재단|인제하늘내린센터||||100204
춘천문화예술회관||||대형예술센터|033-259-5841|강원도 춘천시 효자상길5번길 13|||||||춘천시문화재단|춘천문화예술회관|(효자동)|||100204
홍천문화예술회관||||대형예술센터|033-435-4350|강원도 홍천군 홍천읍 설악로 1792|||||||홍천문화재단|홍천문화예술회관||||100204
횡성문화예술회관||||대형예술센터|1522-1099|강원도 횡성군 횡성읍 문예로 75|||||||횡성문화재단|횡성문화예술회관|횡성문화예술회관 2층 횡성문화재단|||100204
강릉단오제전수교육관||||대형예술센터|033-660-3940|강원도 강릉시 단오장길 1||||||||강릉단오제전수교육관|(노암동)|||100204
강릉아트센터||||대형예술센터|033-660-6800|강원도 강릉시 종합운동장길 84||||||||강릉아트센터||||100204
동해시문화예술회관||||대형예술센터|033-539-8369||강원도 동해시 천곡동 809|||||||동해시문화예술회관||||100204
삼척시문화예술센터||||대형예술센터|033-572-1331|강원도 삼척시 엑스포로 45||||||||삼척시문화예술센터||||100204
속초문화회관||||대형예술센터|033-639-2080|강원도 속초시 번영로 155||||||||속초문화회관||||100204
양양군문화복지회관||||대형예술센터|033-670-2349|강원도 양양군 양양읍 일출로 540||||||||양양군문화복지회관||||100204
철원군/화강문화센터||||대형예술센터|033-450-5519|강원도 철원군 서면 약수로 3||||||||철원군 화강문화센터||||100204
태백문화예술회관||||대형예술센터|033-550-2781|강원도 태백시 고원로 203||||||||태백문화예술회관||||100204
평창문화예술회관||||대형예술센터|033-330-2546|강원도 평창군 평창읍 문화예술길 51||||||||평창문화예술회관||||100204
화천문화예술회관||||대형예술센터|033-440-2573|강원도 화천군 화천읍 상승로 91||||||||화천문화예술회관||||100204
고성군문화복지센터||||대형예술센터|033-680-3366|강원도 고성군 거진읍 자산천로 240||||||||고성군문화복지센터||||100204
양구문화복지센터||||대형예술센터|033-480-2241|강원도 양구읍 비봉로 73번길 52||||||||양구문화복지센터||||100204
원주백운아트홀||||대형예술센터|033-737-3820|강원도 원주시 사청로 1||||||||원주백운아트홀|(무실동)|||100204
정선문화예술회관||||대형예술센터|033-560-2567|강원도 정선군 정선읍 본양3길 17||||||||정선문화예술회관||||100204
대전예술가의집||||대형예술센터|042-480-1085|대전광역시 중구 중앙로 32|||||||대전문화재단|대전예술가의집||||100204
관저문예회관||||대형예술센터|042-288-2790|대전 서구 관저동로105번길 20||||||||관저문예회관||||100204
대덕문예회관||||대형예술센터|042-608-6496|대전광역시 대덕구 대전로 1348||||||||대덕문예회관|(읍내동)|||100204
대전시립연정국악원||||대형예술센터|042-270-8514|대전광역시 서구 둔산대로 181||||||||대전시립연정국악원||||100204
대전예술의전당||||대형예술센터|042-270-8333|대전광역시 서구 둔산대로 135||||||||대전예술의전당||||100204
단양문화예술회관||||대형예술센터|043-420-2557|충청북도 단양읍 중앙1로 32||||||||단양문화예술회관||||100204
옥천문화예술회관||||대형예술센터|043-730-3403|충청북도 옥천군 옥천읍 문정1길 32||||||||옥천문화예술회관||||100204
음성문화예술회관||||대형예술센터|043-871-5944|충청북도 음성군 음성읍 예술로 102||||||||음성문화예술회관||||100204
제천시문화회관||||대형예술센터|043-641-5517|충청북도 제천시 의림대로 6길 32||||||||제천시문화회관||||100204
증평문화회관||||대형예술센터|043-835-4114|충청북도 증평군 증평읍 삼보로 28||||||||증평문화회관||||100204
진천화랑관||||대형예술센터|043-539-7680|충청북도 진천군 진천읍 문화로 69-4||||||||진천화랑관||||100204
청주예술의전당||||대형예술센터|043-201-2306|충청북도 청주시 서원구 흥덕로 69||||||||청주예술의전당||||100204
충주시문화회관||||대형예술센터|043-850-3914|충청북도 충주시 중앙로 128||||||||충주시문화회관|(성내동)|||100204
충청북도교육문화원||||대형예술센터|043-229-2600|충청북도 청주시 청원구 공항로 287번길 56||||||||충청북도교육문화원||||100204
충청북도중원교육문화원||||대형예술센터|043-848-2268|충청북도 충주시 호암대로 50||||||||충청북도중원교육문화원||||100204
괴산문화예술회관||||대형예술센터|043-830-2686||충청북도 괴산군 괴산읍 동부리 751-10|||||||괴산문화예술회관||||100204
보은문화예술회관||||대형예술센터|043-540-3372|충청북도 보은군 보은읍 뱃돌로 54||||||||보은문화예술회관||||100204
영동/난계국악당||||대형예술센터|043-740-5949|충청북도 영동군 영동읍 성안길 11||||||||영동 난계국악당||||100204
청주아트홀||||대형예술센터|043-210-2353|충청북도 청주시 서원구 예체로 118-1||||||||청주아트홀||||100204
당진문예의전당||||대형예술센터|041-350-2901~4|충청남도 당진시 무수동2길 25-21|||||||당진문화재단|당진문예의전당||||100204
천안예술의전당||||대형예술센터|1566-0155|충청남도 천안시 동남구 성남면 종합휴양지로 185|||||||천안문화재단|천안예술의전당||||100204
계룡문화예술의전당||||대형예술센터|042-840-3707|충청남도 계룡시 문화로 31||||||||계룡문화예술의전당||||100204
공주문예회관||||대형예술센터|041-840-2180|충청남도 공주시 고마나루길 5||||||||공주문예회관||||100204
금산다락원||||대형예술센터|041-750-4424|충청남도 금산군 금산읍 금산로 1559||||||||금산다락원|금산다락원|||100204
논산문화예술회관||||대형예술센터|041-746-5950|충청남도 논산시 시민로 270||||||||논산문화예술회관||||100204
보령문화예술회관||||대형예술센터|041-930-3510|충청남도 보령시 성주산로 101||||||||보령문화예술회관||||100204
서산시문화회관||||대형예술센터|041-661-8030|충청남도 서산시 문화로 54||||||||서산시문화회관||||100204
서천군문예의전당||||대형예술센터|041-950-4227|충청남도 서천군 서천로 14번길 6-11||||||||서천군문예의전당||||100204
아산시/평생학습문화센터||||대형예술센터|041-537-3902|충청남도 아산시 남부로 92||||||||아산시 평생학습문화센터||||100204
예산군문예회관||||대형예술센터|041-339-8212|충청남도 예산군 예산읍 아리랑로 185-14||||||||예산군문예회관||||100204
청양문화예술회관||||대형예술센터|041-940-2730|충청남도 청양군 청양읍 문화예술로 178||||||||청양문화예술회관||||100204
충청남도문화예술회관||||대형예술센터|041-635-2413|충청남도 예산군 삽교읍 도청대로 600||||||||충청남도문화예술회관||||100204
충청남도학생교육문화원||||대형예술센터|041-904-6845|충청남도 천안시 동남구 옛농고 1길 41||||||||충청남도학생교육문화원||||100204
태안군문화예술회관||||대형예술센터|041-670-5927|충청남도 태안군 태안읍 백화로 200||||||||태안군문화예술회관||||100204
홍성군/홍주문화회관||||대형예술센터|041-630-9063|충청남도 홍성군 홍성읍 내포로 164||||||||홍성군 홍주문화회관||||100204
부여/국악의전당||||대형예술센터|041-830-2927|충청남도 부여군 규암면 백제문로 388||||||||부여 국악의전당||||100204
천안/성환문화회관||||대형예술센터|041-521-3823|충청남도 천안시 서북구 성환읍 성진로 15||||||||천안 성환문화회관||||100204
천안/신부문화회관||||대형예술센터|041-521-3744|충청남도 천안시 동남구 신부2길 12||||||||천안 신부문화회관||||100204
세종시문화예술회관||||대형예술센터|044-301-3521|세종특별자치시 조치원읍 문예회관길 22||||||||세종시문화예술회관||||100204
웃는얼굴아트센터||||대형예술센터|053-584-8715|대구광역시 달서구 문화회관길 160|||||||달서문화재단|웃는얼굴아트센터|(장기동)|||100204
달성문화재단||||대형예술센터|053-659-4211|대구광역시 달성군 대실역북로2길 188||||||||달성문화재단||||100204
아양아트센터||||대형예술센터|053-230-3303|대구광역시 동구 효동로 2길 24|||||||대구동구문화재단|아양아트센터||||100204
대구오페라하우스||||대형예술센터|053-666-6000|대구광역시 북구 호암로 15||||||||대구오페라하우스|(칠성동2가)|||100204
수성아트피아||||대형예술센터|053-668-1800|대구광역시 무학로 180|||||||수성문화재단|수성아트피아|(지산동)|||100204
어울아트센터||||대형예술센터|053-320-5120|대구광역시 북구 구암로 47|||||||행복북구문화재단|어울아트센터|(관음동)|||100204
대구문화예술회관||||대형예술센터|053-606-6131|대구광역시 달서구 공원순환로 201||||||||대구문화예술회관||||100204
대구서구문화회관||||대형예술센터|053-663-3081|대구광역시 서구 당산로 403||||||||대구서구문화회관||||100204
대구콘서트하우스||||대형예술센터|053-250-1400|대구광역시 중구 태평로 141||||||||대구콘서트하우스||||100204
대구학생문화센터||||대형예술센터|053-231-1332|대구광역시 달서구 용산로 181||||||||대구학생문화센터|(용산동)|||100204
대덕문화전당||||대형예술센터|053-664-3131|대구시 남구 앞산순환로 478||||||||대덕문화전당||||100204
봉산문화회관||||대형예술센터|053-661-3500|대구광역시 중구 봉산문화길 77||||||||봉산문화회관|(봉산동)|||100204
경주예술의전당||||대형예술센터|054-779-6092|경상북도 경주시 알천북로 1|||||||경주문화재단|경주예술의전당|(황성동,988)|||100204
포항문화예술회관||||대형예술센터|054-289-7999|경상북도 포항시 남구 희망대로 850|||||||포항문화재단|포항문화예술회관||||100204
경산시민회관||||대형예술센터|053-804-7243|경상북도 경산시 계양로 28||||||||경산시민회관||||100204
고령군/대가야문화누리||||대형예술센터|054-950-7018|경상북도 고령군 대가야읍 왕릉로 30||||||||고령군 대가야문화누리||||100204
구미시문화예술회관||||대형예술센터|054-480-4560|경상북도 구미시 송정대로 89||||||||구미시문화예술회관||||100204
군위/삼국유사교육문화회관||||대형예술센터|054-380-7212|경상북도 군위군 군위읍 군청로 158||||||||군위 삼국유사교육문화회관||||100204
김천시문화예술회관||||대형예술센터|054-420-7824|경상북도 김천시 운동장길 3||||||||김천시문화예술회관||||100204
문경문화예술회관||||대형예술센터|054-550-8944|경상북도 문경시 신흥로 85||||||||문경문화예술회관||||100204
상주문화회관||||대형예술센터|054-537-6215|경상북도 상주시 상산로 235||||||||상주문화회관||||100204
성주문화예술회관||||대형예술센터|054-933-6912|경상북도 성주군 성주읍 성산9길 45||||||||성주문화예술회관||||100204
안동문화예술의전당||||대형예술센터|054-840-3600|경상북도 안동시 축제장길 66||||||||안동문화예술의전당|(안흥동373-4)|||100204
천마아트센터||||대형예술센터|053-810-1523|경상북도 경산시 대학로 280|||||||영남대학교|천마아트센터|영남대학교 천마아트센터 (대동 214-1)|||100204
영주문화예술회관||||대형예술센터|054-639-5951|경상북도 영주시 가흥로 257||||||||영주문화예술회관|(가흥동)|||100204
영천시민회관||||대형예술센터|054-330-6454|경상북도 영천시 시청로 17||||||||영천시민회관||||100204
예주문화예술회관||||대형예술센터|054-730-7771|경상북도 영덕군 영해면 318만세길 36||||||||예주문화예술회관||||100204
예천군문화회관||||대형예술센터|054-650-8252||경상북도 예천군 예천읍 충효료 209-15|||||||예천군문화회관||||100204
울릉한마음회관||||대형예술센터|054-790-6563|경상북도 울릉군 울릉읍 울릉순환로 286||||||||울릉한마음회관||||100204
울진문화예술회관||||대형예술센터|054-789-5453~5|경상북도 울진군 후포삼율로 194-14||||||||울진문화예술회관||||100204
의성문화체육회관||||대형예술센터|054-830-6945|경상북도 의성군 의성읍 충효로 88||||||||의성문화체육회관||||100204
청송문화예술회관||||대형예술센터|054-870-6564|경상북도 청송군 청송읍 금월로 244-30||||||||청송문화예술회관||||100204
칠곡군교육문화회관||||대형예술센터|054-979-5105|경상북도 칠곡군 왜관읍 관문로1길 32||||||||칠곡군교육문화회관||||100204
김천시립문화회관||||대형예술센터|054-439-9487|경상북도 김천시 김천로 200||||||||김천시립문화회관||||100204
안동시민회관||||대형예술센터|054-840-3650|경상북도 안동시 퇴계로 115||||||||안동시민회관|(명륜동 344)|||100204
영양문화체육센터||||대형예술센터|054-680-6452|경상북도 영양군 영양읍 군민회관길 50||||||||영양문화체육센터||||100204
영주시민회관||||대형예술센터|054-634-3124|경상북도 영주시 선비로 213||||||||영주시민회관|(영주동)|||100204
포항/대잠홀||||대형예술센터|054-280-9384|경상북도 포항시 남구 시청로 1||||||||포항 대잠홀||||100204
포항/중앙아트홀||||대형예술센터|054-280-9380|경상북도 포항시 북구 서동로 83||||||||포항 중앙아트홀||||100204
부산문화회관||||대형예술센터|051-607-6000|부산광역시 남구 유엔평화로76번길 1||||||||부산문화회관||||100204
영화의전당||||대형예술센터|051-780-6000|부산광역시 해운대구 수영강변대로 120||||||||영화의전당||||100204
금정문화회관||||대형예술센터|051-519-5651|부산광역시 금정구 체육공원로 7||||||||금정문화회관||||100204
동래문화회관||||대형예술센터|051-550-6611|부산광역시 동래구 문화로 80||||||||동래문화회관||||100204
부산광역시학생예술문화회관||||대형예술센터|051-3668-114|부산광역시 북구 낙동북로 737-1||||||||부산광역시학생예술문화회관||||100204
부산민주공원/공연장||||대형예술센터|051-790-7408|부산광역시 중구 민주공원길 19||||||||부산민주공원 공연장||||100204
북구문화빙상센터||||대형예술센터|051-309-4084|부산광역시 북구 금곡대로 46번길 50||||||||북구문화빙상센터||||100204
영도문화예술회관||||대형예술센터|051-419-5571|부산광역시 영도구 함지로 79번길 6||||||||영도문화예술회관|(동삼동)|||100204
을숙도문화회관||||대형예술센터|051-220-5801|부산광역시 사하구 낙동남로1233번길 25||||||||을숙도문화회관||||100204
해운대문화회관||||대형예술센터|051-749-7651|부산광역시 해운대구 양운로 97||||||||해운대문화회관|(좌동)|||100204
부산예술회관||||대형예술센터|051-612-1372|부산광역시 남구 용소로 78||||||||부산예술회관||||100204
울산/중구문화의전당||||대형예술센터|052-290-4263|울산광역시 중구 종가로 405||||||||울산 중구문화의전당|(성안동) 중구문화의전당|||100204
울산문화예술회관||||대형예술센터|052-275-9623|울산광역시 남구 번영로 200||||||||울산문화예술회관|(달동)|||100204
울산북구문화예술회관||||대형예술센터|052-241-7352|울산광역시 북구 산업로 1000||||||||울산북구문화예술회관|(연암동)|||100204
울주문화예술회관||||대형예술센터|052-229-9500|울산광역시 울주군 범서읍 천상중앙길 36||||||||울주문화예술회관||||100204
현대예술관||||대형예술센터|1522-3331|울산광역시 동구 명덕로 10||||||||현대예술관||||100204
거제문화예술회관||||대형예술센터|055-680-1000|경상남도 거제시 장승로 145|||||||거제시문화예술재단|거제문화예술회관||||100204
거창군문화센터||||대형예술센터|055-940-8460|경상남도 거창군 거창읍 수남로 2181|||||||거창문화재단|거창군문화센터||||100204
김해문화의전당||||대형예술센터|055-320-1234|경상남도 김해시 김해대로 2060|||||||김해문화재단|김해문화의전당||||100204
밀양아리랑아트센터||||대형예술센터|055-359-4500|경남 밀양시 밀양대공원로 112|||||||밀양문화재단|밀양아리랑아트센터|밀양아리랑아트센터|||100204
성산아트홀||||대형예술센터|055-719-7870|경상남도 창원시 의창구 중앙대로 181|||||||창원문화재단|성산아트홀|(용호동)|||100204
3.15아트센터||||대형예술센터|055-719-7870|경상남도 창원시 의창구 중앙대로 181|||||||창원문화재단|3.15아트센터|(용호동)|||100204
진해문화센터||||대형예술센터|055-719-7870|경상남도 창원시 의창구 중앙대로 181|||||||창원문화재단|진해문화센터|(용호동)|||100204
통영국제음악당||||대형예술센터|055-650-0461|경상남도 통영시 큰발개1길 38|||||||통영국제음악재단|통영국제음악당|(도남동)|||100204
경상남도문화예술회관||||대형예술센터|02-1544-6711|경상남도 진주시 강남로 215||||||||경상남도문화예술회관||||100204
남해문화체육센터||||대형예술센터|055-860-8622|경상남도 남해군 남해읍 선소로 12||||||||남해문화체육센터||||100204
사천시문화예술회관||||대형예술센터|055-831-2460|경상남도 사천시 삼천포대교로 471||||||||사천시문화예술회관|(동림동)|||100204
산청문화예술회관||||대형예술센터|055-970-6481|경상남도 산청군 금서면 친환경로2631번길 12||||||||산청문화예술회관||||100204
양산문화예술회관||||대형예술센터|055-379-8550|경상남도 양산시 중앙로 39-1||||||||양산문화예술회관|(남부동)|||100204
의령군민문화회관||||대형예술센터|055-570-4920|경상남도 의령군 의령읍 의병로24길 31-1||||||||의령군민문화회관||||100204
창녕문화예술회관||||대형예술센터|055-530-1911|경상남도 창녕군 창녕읍 우포2로 1189-25||||||||창녕문화예술회관||||100204
하동문화예술회관||||대형예술센터|055-880-2384|경상남도 하동군 하동읍 섬진강대로 2222||||||||하동문화예술회관||||100204
함안문화예술회관||||대형예술센터|055-580-3607|경상남도 함안군 가야읍 함안대로 619-1||||||||함안문화예술회관||||100204
함양문화예술회관||||대형예술센터|055-960-5531|경상남도 함양군 함양읍 필봉산길 55||||||||함양문화예술회관||||100204
합천군문화예술회관||||대형예술센터|055-930-4933|경상남도 합천군 합천읍 황강체육공원로 93||||||||합천군문화예술회관||||100204
고성군문화체육센터||||대형예술센터|055-670-5845|경상남도 고성군 고성읍 송학고분로 193||||||||고성군문화체육센터||||100204
광주광역시서구문화센터||||대형예술센터|062-654-4300|광주광역시 서구 마재로 3|||||||광주기독교청년회|광주광역시서구문화센터|(농성동)|||100204
빛고을시민문화관||||대형예술센터|062-670-7900|광주광역시 남구 천변좌로 338-7|||||||광주문화재단|빛고을시민문화관||||100204
광산문화예술회관||||대형예술센터|062-960-8864|광주광역시 광산로68번길 13||||||||광산문화예술회관|(송정동)|||100204
광주문화예술회관||||대형예술센터|062-613-8333|광주광역시 북구 북문대로 60||||||||광주문화예술회관||||100204
국립아시아문화전당||||대형예술센터|1899-5566|광주광역시 동구 문화전당로 38||||||||국립아시아문화전당||||100204
남구종합문화예술회관||||대형예술센터|062-670-5060|광주광역시 남구 봉선로 208||||||||남구종합문화예술회관||||100204
동구문화센터||||대형예술센터|062-225-8700|광주광역시 동구 남문로 646||||||||동구문화센터||||100204
완주군향토예술문화회관||||대형예술센터|063-291-7245|전라북도 완주군 삼례읍 삼봉로 215|||||||완주문화재단|완주군향토예술문화회관||||100204
한벽문화관||||대형예술센터|063-280-7009|전라북도 전주시 완산구 전주천동로 20|||||||전주문화재단|한벽문화관||||100204
고창문화의전당||||대형예술센터|063-560-8041|전라북도 고창군 고창읍 모양성로 11||||||||고창문화의전당||||100204
군산예술의전당||||대형예술센터|063-454-5521|전라북도 군산시 백토로 203||||||||군산예술의전당||||100204
