##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@벤츠서비스센터
메르세데스벤츠|인천/서비스센터|||벤츠서비스센터|032-770-7700|인천광역시 중구 축항대로 86번길 56|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 인천/서비스센터||||160426
메르세데스벤츠|부평/서비스센터|||벤츠서비스센터|032-200-7000|인천광역시 부평구 길주로 398|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 부평/서비스센터||||160426
메르세데스벤츠|원주/서비스센터|||벤츠서비스센터|033-741-8899|강원도 원주시 북원로 2477|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 원주/서비스센터||||160426
메르세데스벤츠|춘천/서비스센터|||벤츠서비스센터|033-903-5100|강원도 춘천시 춘주로 68|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 춘천/서비스센터||||160426
메르세데스벤츠|천안/서비스센터|||벤츠서비스센터|041-620-7070|충청남도 천안시 서북구 번영로 547|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 천안/서비스센터||||160426
메르세데스벤츠|청주/서비스센터|||벤츠서비스센터|043-299-9090|충청북도 청주시 서원구 남이면 2순환로 1728|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 청주/서비스센터||||160426
메르세데스벤츠|대전/서비스센터|||벤츠서비스센터|042-606-3000|대전광역시 대덕구 신탄진로 583번길 11|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 대전/서비스센터||||160426
메르세데스벤츠|대전/유성/서비스센터|||벤츠서비스센터|042-602-2050|대전광역시 유성구 대학로 62|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 대전/유성/서비스센터||||160426
메르세데스벤츠|전주/서비스센터|||벤츠서비스센터|063-226-8955|전라북도 전주시 덕진구 온고을로 468|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 전주/서비스센터||||160426
메르세데스벤츠|군산/서비스센터|||벤츠서비스센터|063-443-8955|전라북도 군산시 백릉3길 2|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 군산/서비스센터||||160426
메르세데스벤츠|순천/서비스센터|||벤츠서비스센터|061-900-8600|전라남도 순천시 해룡면 지봉로 237|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 순천/서비스센터||||160426
메르세데스벤츠|화정/서비스센터|||벤츠서비스센터|062-376-2556|광주광역시 서구 상무대로 1041|||월~금: 09:00 18:00 토요일: 09:00 12:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 화정/서비스센터||||160426
메르세데스벤츠|소촌/서비스센터|||벤츠서비스센터|062-942-7200|광주광역시 광산구 어등대로 603번길 20|||월~금: 09:00 18:00 토요일: 09:00 12:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 소촌/서비스센터||||160426
메르세데스벤츠|수완/서비스센터|||벤츠서비스센터|062-961-0090|광주광역시 광산구 임방울대로 516|||월~금: 09:00 18:00 토요일: 09:00 12:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 수완/서비스센터||||160426
메르세데스벤츠|포항/서비스센터|||벤츠서비스센터|054-256-9004|경상북도 포항시 남구 새천년대로 210|||월~금 : 08:30~18:00 주말 및 공휴일 : 휴무|||||메르세데스벤츠 포항/서비스센터||||160426
메르세데스벤츠|마산/서비스센터|||벤츠서비스센터|1899-3617|경상남도 창원시 마산합포구 해안대로 262|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 마산/서비스센터||||160426
메르세데스벤츠|창원/서비스센터|||벤츠서비스센터|1899-3617|경상남도 창원시 성산구 해원로374번길 6|||월~금: 08:30 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 창원/서비스센터||||160426
메르세데스벤츠|진주/서비스센터|||벤츠서비스센터|1899-3617|경상남도 진주시 강남로 257|||월~금 : 09:00~18:00 주말 및 공휴일 : 휴무|||||메르세데스벤츠 진주/서비스센터||||160426
메르세데스벤츠|황금/서비스센터|||벤츠서비스센터|053-764-1200|대구광역시 수성구 동대구로 150|||월~금 : 08:30~18:00 주말 및 공휴일 : 휴무|||||메르세데스벤츠 황금/서비스센터||||160426
메르세데스벤츠|대구/서구/서비스센터|||벤츠서비스센터|053-552-9001|대구광역시 서구 와룡로 427|||월~금 : 08:30~18:00 주말 및 공휴일 : 휴무|||||메르세데스벤츠 대구/서구/서비스센터||||160426
메르세데스벤츠|이현/서비스센터|||벤츠서비스센터|053-551-3333|대구광역시 수성구 와룡로 433|||월~금 : 08:30~18:00 주말 및 공휴일 : 휴무|||||메르세데스벤츠 이현/서비스센터||||160426
메르세데스벤츠|감전/서비스센터|||벤츠서비스센터|051-323-3421|부산광역시 사상구 가야대로 45|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 감전/서비스센터||||160426
메르세데스벤츠|금정/서비스센터|||벤츠서비스센터|1688-2369|부산광역시 금정구 중앙대로 1912|||월~금 : 09:00~18:00, 주말 및 공휴일 : 휴무|||||메르세데스벤츠 금정/서비스센터||||160426
메르세데스벤츠|남천/서비스센터|||벤츠서비스센터|051-750-2800|부산광역시 수영구 수영로 434|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 남천/서비스센터||||160426
메르세데스벤츠|부산/북구/서비스센터|||벤츠서비스센터|051-678-7800|부산광역시 북구 금곡대로 66-11|||월~금 : 09:00~18:00 주말 및 공휴일 : 휴무|||||메르세데스벤츠 부산/북구/서비스센터||||160426
메르세데스벤츠|해운대/서비스센터|||벤츠서비스센터|1688-2369|부산광역시 해운대구 해운대로 287|||월~금: 09:00 18:00 토요일: 09:00 17:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 해운대/서비스센터||||160426
메르세데스벤츠|울산/서비스센터|||벤츠서비스센터|1688-2369|울산광역시 남구 남중로 74번길 19|||월~금 : 09:00~18:00 주말 및 공휴일 : 휴무|||||메르세데스벤츠 울산/서비스센터||||160426
메르세데스벤츠|제주/서비스센터|||벤츠서비스센터|064-800-9898|제주특별자치도 제주시 연삼로 101|||월~금 : 09:00~18:00 토요일 : 09:00~13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 제주/서비스센터||||160426
