##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쉐보레서비스센터
쉐보레서비스센터|포항서비스센터|129.355794|35.989484|쉐보레서비스센터|054-285-1122~8|경북 포항시 남구 연일읍 철강로 119||||||||쉐보레서비스센터 포항서비스센터||||160408
쉐보레서비스센터|김해서비스센터|128.916737|35.232742|쉐보레서비스센터|055-321-7744~7|경남 김해시 삼안로 41||||||||쉐보레서비스센터 김해서비스센터|(안동)|||160408
쉐보레서비스센터|서대구서비스센터|128.537931|35.866324|쉐보레서비스센터|053-566-9988|대구 서구 와룡로 372||||||||쉐보레서비스센터 서대구서비스센터|(중리동 1058-6)|||160408
쉐보레서비스센터|서인천서비스센터|126.646355|37.502801|쉐보레서비스센터|032-770-9900|인천 서구 건지로 45-42||||||||쉐보레서비스센터 서인천서비스센터|(석남동)|||160408
쉐보레서비스센터|북부서비스센터|127.071563|37.816212|쉐보레서비스센터|031-863-0020|경기 양주시 청담로 171||||||||쉐보레서비스센터 북부서비스센터|(고암동)|||160408
쉐보레서비스센터|강릉서비스센터|128.92656799999997|37.7673393|쉐보레서비스센터|033-653-9771|강원 강릉시 강변로604번길 19||||||||쉐보레서비스센터 강릉서비스센터|(입암동)|||160408
쉐보레서비스센터|거제서비스센터|128.630664|34.898804|쉐보레서비스센터|055-687-8255|경남 거제시 연초면 연하해안로 206||||||||쉐보레서비스센터 거제서비스센터||||160408
쉐보레서비스센터|강서서비스센터|126.82285750000005|37.546112|쉐보레서비스센터|02-2661-8255|서울 강서구 남부순환로 223-19||||||||쉐보레서비스센터 강서서비스센터|(외발산동)|||160408
쉐보레서비스센터|동일산서비스센터|126.80776|37.709071|쉐보레서비스센터|031-977-8779|경기 고양시 일산동구 성현로 195||||||||쉐보레서비스센터 동일산서비스센터|(성석동)|||160408
쉐보레서비스센터|관악서비스센터|126.92929549999997|37.4883972|쉐보레서비스센터|02-873-1155|서울 관악구 봉천로 12길 5||||||||쉐보레서비스센터 관악서비스센터|(신림동)|||160408
쉐보레서비스센터|금천서비스센터|126.897034|37.477209|쉐보레서비스센터|02-803-8255|서울 금천구 시흥대로 153길 26||||||||쉐보레서비스센터 금천서비스센터|(독산동)|||160408
쉐보레서비스센터|수성서비스센터|128.7181432|35.83601350000001|쉐보레서비스센터|053-795-9000|대구 수성구 달구벌대로 3314||||||||쉐보레서비스센터 수성서비스센터|(신매동)|||160408
쉐보레서비스센터|북대구서비스센터|128.55035810000004|35.8865517|쉐보레서비스센터|053-817-8255|대구 서구 염색공단중앙로 14길 23||||||||쉐보레서비스센터 북대구서비스센터|(비산동)|||160408
쉐보레서비스센터|신탄진서비스센터|127.42239760000007|36.4267675|쉐보레서비스센터|042-932-9176~9259|대전 대덕구 상서당1길 7||||||||쉐보레서비스센터 신탄진서비스센터||||160408
쉐보레서비스센터|서대전서비스센터|127.319692|36.292306|쉐보레서비스센터|042-543-4464-5|대전 유성구 계백로 809||||||||쉐보레서비스센터 서대전서비스센터|(원내동)|||160408
쉐보레서비스센터|남동서비스센터|126.692225|37.407408|쉐보레서비스센터|032-815-8255|인천 남동구 남동서로 198||||||||쉐보레서비스센터 남동서비스센터|(고잔동)|||160408
쉐보레서비스센터|동광주서비스센터|126.93051160000005|35.1894899|쉐보레서비스센터|062-268-7771-2|광주 북구 오문로 234||||||||쉐보레서비스센터 동광주서비스센터||||160408
쉐보레서비스센터|서광주서비스센터|126.807048|35.181154|쉐보레서비스센터|062-955-8255|광주 광산구 하남대로 127-12||||||||쉐보레서비스센터 서광주서비스센터|(흑석동)|||160408
쉐보레서비스센터|용인서비스센터|127.222821|37.234582|쉐보레서비스센터|031-332-8255|경기 용인시 처인구 고진로 127||||||||쉐보레서비스센터 용인서비스센터|(고림동)|||160408
쉐보레서비스센터|평택서비스센터|127.072893|37.037609|쉐보레서비스센터|031-668-5959-62|경기 평택시 산단로 25||||||||쉐보레서비스센터 평택서비스센터|(모곡동)|||160408
쉐보레서비스센터|안산서비스센터|126.84851500000002|37.2809846|쉐보레서비스센터|031-419-8255-7|경기 안산시 상록구 선진5길 37||||||||쉐보레서비스센터 안산서비스센터|(사동)|||160408
쉐보레서비스센터|이천서비스센터|127.470953|37.320263|쉐보레서비스센터|031-632-8255-7|경기 이천시 백사면 이여로 262||||||||쉐보레서비스센터 이천서비스센터||||160408
쉐보레서비스센터|파주서비스센터|126.790883|37.771259|쉐보레서비스센터|031-944-7614~5|경기 파주시 월롱면 통일로 690번길 3||||||||쉐보레서비스센터 파주서비스센터||||160408
쉐보레서비스센터|김포서비스센터|126.63657|37.665147|쉐보레서비스센터|031-989-8255-7|경기 김포시 양촌읍 양곡로 358||||||||쉐보레서비스센터 김포서비스센터||||160408
쉐보레서비스센터|남양주서비스센터|127.29561369999999|37.6530525|쉐보레서비스센터|031-594-1144|경기 남양주시 화도읍 경춘로 1864||||||||쉐보레서비스센터 남양주서비스센터||||160408
쉐보레서비스센터|포천서비스센터|127.124707|37.788161|쉐보레서비스센터|031-543-8255|경기 포천시 소흘읍 호국로 151||||||||쉐보레서비스센터 포천서비스센터||||160408
쉐보레서비스센터|의왕서비스센터|126.974596|37.346066|쉐보레서비스센터|031-429-9333|경기 의왕시 청백리로 38||||||||쉐보레서비스센터 의왕서비스센터|(고천동)|||160408
쉐보레서비스센터|시흥서비스센터|126.789526|37.452341|쉐보레서비스센터|031-315-4000|경기 시흥시 호현로 148||||||||쉐보레서비스센터 시흥서비스센터|(대야동)|||160408
쉐보레서비스센터|부천서비스센터|126.785716|37.508924|쉐보레서비스센터|032-682-8200|경기 부천시 부천로 276||||||||쉐보레서비스센터 부천서비스센터|(도당동)|||160408
쉐보레서비스센터|수원서비스센터|127.04534289999992|37.2493676|쉐보레서비스센터|031-216-2103~6|경기 수원시 영통구 권선로 899||||||||쉐보레서비스센터 수원서비스센터|(신동)|||160408
쉐보레서비스센터|춘천서비스센터|127.7065725|37.8634498|쉐보레서비스센터|033-241-3500|강원 춘천시 옛경춘로 739||||||||쉐보레서비스센터 춘천서비스센터||||160408
쉐보레서비스센터|증평서비스센터|127.61484|36.810135|쉐보레서비스센터|043-838-0707|충북 증평군 도안면 화성로 26||||||||쉐보레서비스센터 증평서비스센터||||160408
쉐보레서비스센터|충주서비스센터|127.92847610000001|37.0025908|쉐보레서비스센터|043-845-8255|충북 충주시 목행산단2로 105||||||||쉐보레서비스센터 충주서비스센터|(목행동)|||160408
쉐보레서비스센터|천안서비스센터|127.156246|36.834102|쉐보레서비스센터|041-555-6182-3|충남 천안시 서북구 두정공단1길 51||||||||쉐보레서비스센터 천안서비스센터|(두정동)|||160408
쉐보레서비스센터|서산서비스센터|126.505343|36.791563|쉐보레서비스센터|041-664-8255|충남 서산시 음암면 운암로 233||||||||쉐보레서비스센터 서산서비스센터||||160408
쉐보레서비스센터|홍성서비스센터|126.659169|36.58449|쉐보레서비스센터|041-634-8254-5|충남 홍성군 홍성읍 충서로 1216번길 6-34||||||||쉐보레서비스센터 홍성서비스센터||||160408
쉐보레서비스센터|보령서비스센터|126.603653|36.323706|쉐보레서비스센터|041-931-1255-7|충남 보령시 남포면 보령남로 243||||||||쉐보레서비스센터 보령서비스센터||||160408
쉐보레서비스센터|아산서비스센터|126.987658|36.791685|쉐보레서비스센터|041-547-0088|충남 아산시 실옥로 110-4||||||||쉐보레서비스센터 아산서비스센터|(실옥동)|||160408
쉐보레서비스센터|남천안서비스센터|127.172781|36.782052|쉐보레서비스센터|041-567-7288|충남 천안시 동남구 충절로 455||||||||쉐보레서비스센터 남천안서비스센터|(삼룡동)|||160408
쉐보레서비스센터|군산서비스센터|126.756756|35.98325|쉐보레서비스센터|063-445-0900|전북 군산시 구암로 160||||||||쉐보레서비스센터 군산서비스센터|(구암동)|||160408
쉐보레서비스센터|목포서비스센터|126.41808319999996|34.8049738|쉐보레서비스센터|061-282-8255|전남 목포시 삼각로 43번길 16||||||||쉐보레서비스센터 목포서비스센터|(상동)|||160408
쉐보레서비스센터|순천서비스센터|127.503604|34.980217|쉐보레서비스센터|061-755-8272|전남 순천시 산단2길 107||||||||쉐보레서비스센터 순천서비스센터||||160408
쉐보레서비스센터|해남서비스센터|126.64882480000006|34.5849304|쉐보레서비스센터|061-534-0150|전남 해남군 옥천면 해남로 602||||||||쉐보레서비스센터 해남서비스센터||||160408
쉐보레서비스센터|여수서비스센터|127.653088|34.790773|쉐보레서비스센터|061-685-8155|전남 여수시 주삼덕양로 199||||||||쉐보레서비스센터 여수서비스센터|(주삼동)|||160408
쉐보레서비스센터|구미서비스센터|128.365181|36.107871|쉐보레서비스센터|054-464-0190|경북 구미시 구미대로 16길 18||||||||쉐보레서비스센터 구미서비스센터|(광평동)|||160408
쉐보레서비스센터|북포항서비스센터|129.354284|36.060534|쉐보레서비스센터|054-248-9951|경북 포항시 북구 소티재로 102||||||||쉐보레서비스센터 북포항서비스센터|(우현동)|||160408
쉐보레서비스센터|마산서비스센터|128.51085360000002|35.2435735|쉐보레서비스센터|055-232-0027|경남 창원시 마산회원구 내서읍 중리공단로 113||||||||쉐보레서비스센터 마산서비스센터||||160408
쉐보레서비스센터|동양산서비스센터|129.15564259999996|35.3802461|쉐보레서비스센터|055-387-3838|경남 양산시 웅상대로 902||||||||쉐보레서비스센터 동양산서비스센터||||160408
쉐보레서비스센터|울산서비스센터|129.318525|35.506269|쉐보레서비스센터|052-275-8255|울산 남구 산업로 91번길 21||||||||쉐보레서비스센터 울산서비스센터||||160408
