##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@K2
K2|팩토리아울렛점|127.57516|37.235478|K2|031-884-9701~03||경기도 여주시 가남읍 본두리 713-1|||||||K2 팩토리아울렛점||||91001
K2|남양주평내점|127.2365098|37.6496969|K2|031-559-7700|경기도 남양주시 경춘로 1293||||||||K2 남양주평내점||||91001
K2|뉴코아아울렛 부천점|126.7564396|37.5041697|K2|032-624-7457|경기도 부천시 송내대로 239||||||||K2 뉴코아아울렛 부천점|뉴코아아울렛 5층|||91001
K2|인천모다MS점|126.64782|37.51|K2|032-288-7727|인천 서구 북항로32번안길 50||||||||K2 인천모다MS점|인천모다아울렛 1층|||91001
K2|남양주모다상설점|127.1159566|37.6329834|K2|031-514-8279||경기도 구리시 갈매동 268-3|||||||K2 남양주모다상설점|모다아울렛 2층|||91001
K2|홍성MS점|126.6761299|36.6017753|K2|041-631-8611|충청남도 홍성군 의사로36번길 48||||||||K2 홍성MS점|1층|||91001
K2|울산모다상설점|129.357142|35.577071|K2|052-935-3065|울산광역시 북구 진장유통로 78-6||||||||K2 울산모다상설점|모다아울렛 1층|||91001
K2|현대시티몰 가든파이브점|127.1249432|37.4776339|K2|02-2673-2355|서울 송파구 충민로 66||||||||K2 현대시티몰 가든파이브점|가든파이브 라이프동|||91001
K2|신세계사이먼 시흥점|126.7363958|37.3797538|K2|031-8072-3304|경기도 시흥시 서해안로 699||||||||K2 신세계사이먼 시흥점|시흥프리미엄아울렛 2층|||91001
K2|천안모다점|127.1012743|36.7983739|K2|070-7813-5016|충청남도 천안시 서북구 공원로 196||||||||K2 천안모다점|펜타포트 2층|||91001
K2|제주MS점|126.524884|33.515336|K2|064-759-8611|제주도 제주시 중앙로 35||||||||K2 제주MS점||||91001
K2|부산아트몰링(복합)점|128.966336|35.1065693|K2|051-999-7403|부산광역시 사하구 낙동남로 1413||||||||K2 부산아트몰링(복합)점|아트몰링 5층|||91001
K2|LF광양상설점|127.567785|34.962866|K2|061-815-4804|전남 광양시 광양읍 순광로 466||||||||K2 LF광양상설점|LF광양아울렛 오션동 3층|||91001
K2|신세계대구점|128.628586|35.876289|K2|053-661-6545|대구광역시 동구 동부로30길 12||||||||K2 신세계대구점|신세계백화점 6층|||91001
K2|부산안락MS점|129.107281|35.196147|K2|051-528-1113|부산광역시 동래구 충렬대로 447||||||||K2 부산안락MS점||||91001
K2|여수여천MS점|127.669095|34.7589369|K2|061-685-5010|전라남도 여수시 망마로 59||||||||K2 여수여천MS점|(신기동)|||91001
K2|신세계김해점|128.8720233|35.2294798|K2|055-272-1854|경남 김해시 전하로 304번길 24||||||||K2 신세계김해점||||91001
K2|신세계하남점|127.2219759|37.5458246|K2|031-8072-1938|경기도 하남시 미사대로 750||||||||K2 신세계하남점|신세계백화점 하남 3층|||91001
K2|스타필드하남점|127.2096406|37.5406148|K2|031-8072-1938|경기도 하남시 하남대로 792||||||||K2 스타필드하남점|(신장동) 동진빌딩 2층|||91001
K2|마리오아울렛구로점|126.8870859|37.4786854|K2|02-2067-3932|서울특별시 금천구 디지털로9길 23||||||||K2 마리오아울렛구로점|(가산동) 1층|||91001
K2|롯데몰진주점|128.1398097|35.1802293|K2|055-791-2353|경상남도 진주시 동진로 440||||||||K2 롯데몰진주점|(충무공동)|||91001
K2|롯데센트럴스퀘어점|129.061|35.1513704|K2|051-932-6060|부산광역시 부산진구 중앙대로666번길 50||||||||K2 롯데센트럴스퀘어점|(부전동,더샵 센트럴스타) 지하1층|||91001
K2|대전패션아일랜드점|127.457874|36.3069064|K2|042-282-6655|대전광역시 동구 은어송로 72||||||||K2 대전패션아일랜드점|(가오동,토마토쇼핑센터) 1층|||91001
K2|플라이워크 롯데울산점|129.339|35.5385|K2|052-960-4759|울산광역시 남구 삼산로 288||||||||K2 플라이워크 롯데울산점|(삼산동) 롯데백화점 5층|||91001
K2|충주MS점|127.9325748|36.9722898|K2|043-845-2004|충청북도 충주시 중앙로 84||||||||K2 충주MS점|(성서동)|||91001
K2|현대충청점|127.4260205|36.644202|K2|043-909-4412|충청북도 청주시 흥덕구 직지대로 308||||||||K2 현대충청점|(복대동) 현대백화점 충청점 4F|||91001
K2|롯데아울렛청주점|127.4214821|36.6446649|K2|043-717-2954|충청북도 청주시 흥덕구 2순환로 1004||||||||K2 롯데아울렛청주점|(비하동) 롯데아울렛 청주점 3층|||91001
K2|청주복대MS점|127.4420693|36.6333794|K2|043-223-3954|충청북도 청주시 흥덕구 가로수로1337번길 4||||||||K2 청주복대MS점|(복대동)|||91001
K2|청주율량(복합)점|127.4829306|36.6774091|K2|043-216-4545|충청북도 청주시 청원구 공항로 231||||||||K2 청주율량(복합)점|(사천동)|||91001
K2|청주에버세이브MS점|127.4814691|36.6057854|K2|043-292-8611|충청북도 청주시 서원구 청남로1936번길 1||||||||K2 청주에버세이브MS점|(미평동) 에버세이브 B동 3층|||91001
K2|청원(복합)점|127.460363|36.5790985|K2|043-263-7770|충청북도 청주시 서원구 남이면 청남로 1579||||||||K2 청원(복합)점||||91001
K2|제천MS점|128.2125627|37.1413422|K2|043-653-8611|충청북도 제천시 의림대로 156||||||||K2 제천MS점|(중앙로2가)|||91001
K2|금왕MS점|127.5252743|36.9776954|K2|043-882-8632|충청북도 음성군 대소면 대금로 819-7||||||||K2 금왕MS점||||91001
K2|갤러리아센터시티점|127.1048436|36.8005153|K2|041-412-9398|충청남도 천안시 서북구 공원로 227||||||||K2 갤러리아센터시티점|(불당동) 갤러리아센터시티 5층|||91001
K2|천안(복합)점|127.1322874|36.8032617|K2|041-579-8866|충청남도 천안시 동남구 쌍용대로 66||||||||K2 천안(복합)점|(쌍용동) 천안로데오 의류타운 내|||91001
K2|신세계충청점|127.156017|36.8194964|K2|041-640-5373|충청남도 천안시 동남구 만남로 43||||||||K2 신세계충청점|(신부동) 3층|||91001
K2|내포MS점|126.7701938|36.6631019|K2|041-333-7603|충청남도 예산군 응봉면 충서로 257-3||||||||K2 내포MS점||||91001
K2|온양MS점|126.994812|36.792069|K2|041-533-0800|충청남도 아산시 아산로 114||||||||K2 온양MS점|(온천동)|||91001
K2|퍼스트빌리지상설점|127.0276784|36.8970782|K2|041-536-0556|충청남도 아산시 둔포면 해위안길 127||||||||K2 퍼스트빌리지상설점||||91001
K2|롯데아울렛부여점|126.9017623|36.3070739|K2|041-435-2672|충청남도 부여군 규암면 백제문로 387||||||||K2 롯데아울렛부여점|롯데프리미엄아울렛 부여점 2층|||91001
K2|서산MS점|126.4575612|36.7794037|K2|041-662-1776|충청남도 서산시 중앙로 66||||||||K2 서산MS점||||91001
K2|보령MS점|126.5945033|36.3498916|K2|041-931-9211|충청남도 보령시 남대천로 39||||||||K2 보령MS점|(대천동)|||91001
K2|행담도모다점|126.8069875|36.945134|K2|070-7826-8127|충청남도 당진시 신평면 서해안고속도로 275||||||||K2 행담도모다점||||91001
K2|당진MS점|126.6334875|36.8959892|K2|041-358-1776|충청남도 당진시 당진중앙2로 173||||||||K2 당진MS점|(읍내동)|||91001
K2|논산점|127.0872267|36.2031465|K2|041-734-1926|충청남도 논산시 계백로 991||||||||K2 논산점|(취암동)|||91001
K2|금산점|127.489411|36.1073882|K2|041-754-8720|충청남도 금산군 금산읍 비호로 61||||||||K2 금산점||||91001
K2|공주MS점|127.1249357|36.456095|K2|041-856-7999|충청남도 공주시 웅진로 176||||||||K2 공주MS점|(중동)|||91001
K2|신제주MS점|126.4829093|33.4884916|K2|064-748-8611|제주특별자치도 제주시 도령로 39||||||||K2 신제주MS점|(노형동) 1층|||91001
K2|서귀포점|126.5671519|33.2487287|K2|064-763-7600|제주특별자치도 서귀포시 중정로 101||||||||K2 서귀포점|(서귀동)|||91001
K2|정읍점|126.852365|35.5666157|K2|063-538-3141|전라북도 정읍시 중앙로 126||||||||K2 정읍점|(수성동)|||91001
K2|전주평화 MS점|127.1265045|35.7938514|K2|063-227-3555|전라북도 전주시 완산구 장승배기로 124||||||||K2 전주평화 MS점||||91001
K2|롯데전주점|127.1219568|35.8345173|K2|063-289-3458|전라북도 전주시 완산구 온고을로 2||||||||K2 롯데전주점|(서신동) 롯데백화점 4층|||91001
K2|서전주MS점|127.0879015|35.8216729|K2|063-223-4377|전라북도 전주시 완산구 유연로 16-5||||||||K2 서전주MS점|(효자동3가)|||91001
K2|전주중앙MS점|127.1447071|35.8219466|K2|063-284-2260|전라북도 전주시 완산구 문화광장로 1||||||||K2 전주중앙MS점||||91001
K2|전주인후MS점|127.1573862|35.8363248|K2|063-247-3954|전라북도 전주시 덕진구 안덕원로 276||||||||K2 전주인후MS점|(인후동1가)|||91001
K2|전주송천(복합)점|127.1122849|35.8703111|K2|063-278-2260|전라북도 전주시 덕진구 동부대로 1220||||||||K2 전주송천(복합)점|(송천동2가)|||91001
K2|익산팔봉MS점|127.0167563|35.9684353|K2|063-831-8033|전라북도 익산시 무왕로 1491||||||||K2 익산팔봉MS점|(팔봉동)|||91001
K2|K2익산영등MS점|126.978665|35.959022|K2|063-833-0543|전라북도 익산시 무왕로 1097||||||||K2 K2익산영등MS점||||91001
K2|남원MS점|127.3821567|35.4065289|K2|063-636-0202|전라북도 남원시 남문로 463-2||||||||K2 남원MS점|(하정동) 1호|||91001
K2|김제점|126.892603|35.8029126|K2|063-545-1238|전라북도 김제시 동서로 229||||||||K2 김제점|(요촌동)|||91001
K2|군산MS점|126.716084|35.9688658|K2|063-461-2829|전라북도 군산시 월명로 278||||||||K2 군산MS점|(수송동)|||91001
K2|해남점|126.6006799|34.5717971|K2|061-535-7900|전라남도 해남군 해남읍 중앙1로 122||||||||K2 해남점||||91001
K2|여수중앙MS점|127.7338169|34.7410916|K2|061-666-0050|전라남도 여수시 진남상가길 33-18||||||||K2 여수중앙MS점|(교동) 1층|||91001
K2|순천MS점|127.5184765|34.9530505|K2|061-723-8885|전라남도 순천시 연향번영길 145||||||||K2 순천MS점|(연향동)|||91001
K2|순천중앙MS점|127.4862897|34.9542987|K2|061-753-0351|전라남도 순천시 시민로 52||||||||K2 순천중앙MS점|(남내동)|||91001
K2|NC순천점|127.5199699|34.973378|K2|061-720-5482|전라남도 순천시 비봉2길 22||||||||K2 NC순천점|NC백화점순천점 4층|||91001
K2|남악점|126.4624588|34.8131542|K2|061-282-7115|전라남도 무안군 삼향읍 남악3로82번길 17||||||||K2 남악점||||91001
K2|목포중앙점|126.3848261|34.7909509|K2|061-247-8081|전라남도 목포시 호남로68번길 36||||||||K2 목포중앙점|(대안동) 1층|||91001
K2|목포하당MS점|126.4232913|34.805573|K2|061-282-8080|전라남도 목포시 백년대로 331||||||||K2 목포하당MS점|(상동)|||91001
K2|나주MS점|126.7186584|35.0331482|K2|061-333-0117|전라남도 나주시 중앙로 41||||||||K2 나주MS점|(중앙동)|||91001
K2|신포점|126.62673|37.471931|K2|032-777-7834||인천광역시 중구 내동 215-29|||||||K2 신포점||||91001
K2|롯데팩토리아울렛 인천점|126.6221878|37.4480115|K2|032-728-2703|인천광역시 중구 서해대로209번길 2||||||||K2 롯데팩토리아울렛 인천점|(항동7가) 롯데팩토리아울렛 인천점|||91001
K2|현대프리미엄아울렛 송도점|126.6585646|37.3823849|K2|032-727-2476|인천광역시 연수구 송도국제대로 123||||||||K2 현대프리미엄아울렛 송도점|(송도동) 현대프리미엄아울렛 지하1|||91001
K2|롯데부평점|126.7194444|37.493398|K2|032-452-2555|인천광역시 부평구 부평문화로 35||||||||K2 롯데부평점|롯데백화점 4층|||91001
K2|부평점|126.7223975|37.495076|K2|032-501-0064|인천광역시 부평구 부평대로 41||||||||K2 부평점|(부평동)|||91001
K2|부천송내복합점|126.7512757|37.4842396|K2|032-668-2457|인천광역시 부평구 경인로1185번길 1||||||||K2 부천송내복합점|(일신동) 송내IC입구|||91001
K2|부평아이즈빌점|126.7035743|37.5218251|K2|032-501-4322|인천광역시 부평구 마장로 489||||||||K2 부평아이즈빌점|(청천동) 아이즈빌아울렛 1402호|||91001
K2|롯데인천점|126.7015765|37.4470762|K2|032-450-2628|인천광역시 남동구 예술로 148||||||||K2 롯데인천점|(구월동) 롯데백화점 6층|||91001
K2|인천구월(복합)점|126.6913165|37.4503669|K2|032-423-0053|인천광역시 남구 인주대로 492||||||||K2 인천구월(복합)점|(주안동)|||91001
K2|신세계인천점|126.7013152|37.4414548|K2|032-430-1924|인천광역시 남구 연남로 35||||||||K2 신세계인천점|(관교동) 신세계백화점 신관 4층|||91001
K2|인천계양MS점|126.7229323|37.5408608|K2|032-553-5005|인천광역시 계양구 계양대로 190||||||||K2 인천계양MS점|(계산동)|||91001
K2|언양(복합)점|129.117177|35.5524902|K2|052-254-5060|울산광역시 울주군 삼남면 반구대로 669||||||||K2 언양(복합)점||||91001
K2|울산호계MS점|129.3521369|35.626697|K2|052-296-5425|울산광역시 북구 호계로 260||||||||K2 울산호계MS점|(호계동)|||91001
K2|울산진장MS점|129.3561686|35.5604839|K2|052-289-7708|울산광역시 북구 염포로 152||||||||K2 울산진장MS점|(진장동)|||91001
K2|울산동구MS점|129.4231765|35.5397416|K2|052-232-6777|울산광역시 동구 방어진순환도로 1150||||||||K2 울산동구MS점|(서부동)|||91001
K2|현대동구점|129.4313607|35.5216711|K2|052-250-4463|울산광역시 동구 방어진순환도로 899||||||||K2 현대동구점|(서부동) 현대백화점 4층|||91001
K2|롯데울산점|129.3383249|35.5384732|K2|052-960-4758|울산광역시 남구 삼산로 288||||||||K2 롯데울산점|(삼산동) 롯데백화점 5층|||91001
K2|현대울산점|129.3357802|35.5396481|K2|052-228-0669|울산광역시 남구 삼산로 261||||||||K2 현대울산점|(삼산동) 신세계백화점 6층|||91001
K2|울산달동(복합)점|129.3229885|35.5366832|K2|052-276-5959|울산광역시 남구 삼산로 143||||||||K2 울산달동(복합)점|(달동)|||91001
K2|울산무거(복합)점|129.2641762|35.5507468|K2|052-222-1106|울산광역시 남구 북부순환도로 1||||||||K2 울산무거(복합)점|(무거동)|||91001
K2|상봉엔터식스점|127.0914465|37.5985332|K2|02-6224-6125|서울특별시 중랑구 망우로55길 11-10||||||||K2 상봉엔터식스점|(상봉동) 이노시티 내 엔터식스 2층|||91001
K2|태능먹골MS점|127.0780181|37.611194|K2|02-972-0337|서울특별시 중랑구 공릉로 4||||||||K2 태능먹골MS점|(묵동)|||91001
K2|롯데아울렛서울역점|126.9707819|37.5551238|K2|02-6965-2813|서울특별시 중구 한강대로 405||||||||K2 롯데아울렛서울역점|(봉래동2가)|||91001
K2|신세계 본점|126.9811261|37.5609458|K2|02-310-1420|서울특별시 중구 소공로 63||||||||K2 신세계 본점|(충무로1가)|||91001
K2|롯데본점|126.9810855|37.5648353|K2|02-772-3655|서울특별시 중구 남대문로 81||||||||K2 롯데본점|(소공동) 롯데백화점 6층|||91001
K2|현대씨티아울렛 동대문점|127.0077562|37.5686075|K2|02-2283-2710|서울특별시 중구 장충단로13길 20||||||||K2 현대씨티아울렛 동대문점|(을지로6가) 7층|||91001
K2|NC불광점|126.9290202|37.6097493|K2|02-350-8010|서울특별시 은평구 불광로 20||||||||K2 NC불광점|(대조동)|||91001
K2|북한산성MS점|126.9493202|37.6557797|K2|02-354-3979|서울특별시 은평구 대서문길 43-11||||||||K2 북한산성MS점|(진관동)|||91001
K2|아이파크점|126.964161|37.5295669|K2|02-2012-4643|서울특별시 용산구 한강대로23길 55||||||||K2 아이파크점|아이파크백화점 5층|||91001
K2|롯데영등포점|126.9073756|37.5159139|K2|02-2164-5465|서울특별시 영등포구 경인로 846||||||||K2 롯데영등포점|(영등포동) 롯데백화점 6층|||91001
K2|신세계영등포점|126.905589|37.5171607|K2|02-2639-1981|서울특별시 영등포구 영중로 9||||||||K2 신세계영등포점|(영등포동4가) 신세계백화점 B관 4층|||91001
K2|화곡(복합)점|128.623124|34.888043|K2|02-2691-6667|서울특별시 양천구 화곡로 72||||||||K2 화곡(복합)점|(신월동) 1층|||91001
K2|현대목동점|126.8750083|37.5268408|K2|02-2163-3569|서울특별시 양천구 목동동로 257||||||||K2 현대목동점|(목동,하이페리온) 현대백화점 별관 1층|||91001
K2|문정(복합)점|127.1238466|37.4906984|K2|02-403-9670~1|서울특별시 송파구 중대로10길 42||||||||K2 문정(복합)점|(가락동) 1층|||91001
K2|롯데잠실점|127.0979455|37.5112959|K2|02-2143-7564|서울특별시 송파구 올림픽로 240||||||||K2 롯데잠실점|(잠실동) 롯데백화점 6층|||91001
K2|본점|127.0607694|37.5465579|K2|02-3408-9720|서울특별시 성동구 아차산로11가길 3||||||||K2 본점|(성수동2가) 케이투코리아 본사 1층|||91001
K2|현대미아점|127.0287147|37.6083792|K2|02-2117-1539|서울특별시 성북구 동소문로 315||||||||K2 현대미아점|(길음동) 현대백화점 5층|||91001
K2|신세계 강남점|127.0036409|37.5043714|K2|02-3479-6241|서울특별시 서초구 신반포로 176||||||||K2 신세계 강남점|(반포동) 신세계백화점 5층|||91001
K2|현대 신촌점|126.935897|37.5561695|K2|02-3145-2707|서울특별시 서대문구 신촌로 83||||||||K2 현대 신촌점|(창천동) 현대백화점 7층|||91001
K2|청량리상설점|127.0487569|37.5825899|K2|02-965-2772|서울특별시 동대문구 왕산로 240||||||||K2 청량리상설점|(전농동) 제일빌딩 2층 1호|||91001
K2|도봉산점|127.0373309|37.686203|K2|02-3492-6789|서울특별시 도봉구 도봉산길 81||||||||K2 도봉산점|(도봉동)|||91001
K2|롯데청량리점|127.0460428|37.5798241|K2|02-3707-1552|서울특별시 동대문구 왕산로 200||||||||K2 롯데청량리점|(전농동) 롯데백화점 5층|||91001
K2|장안아트몰링점|127.072356|37.571885|K2|02-2215-7977|서울 동대문구 답십리로 288||||||||K2 장안아트몰링점|아트몰링 2층|||91001
K2|롯데노원점|127.0610966|37.6551448|K2|02-950-2643|서울특별시 노원구 동일로 1414||||||||K2 롯데노원점|(상계동) 롯데백화점 6층|||91001
K2|세이브존노원점|127.0687185|37.6378705|K2|02-974-0870|서울특별시 노원구 한글비석로 57||||||||K2 세이브존노원점|(하계동) 세이브존 1층|||91001
K2|2001아울렛중계점|127.0679938|37.6413085|K2|02-3296-2001|서울특별시 노원구 동일로204가길 46||||||||K2 2001아울렛중계점|(중계동) 2001아울렛|||91001
K2|금천(복합)점|126.9001553|37.4567128|K2|02-894-6484|서울 금천구 시흥대로 258||||||||K2 금천(복합)점|하림빌딩 1층|||91001
K2|현대아울렛 가산점|126.8890713|37.4775955|K2|02-2136-9904|서울특별시 금천구 디지털로10길 9||||||||K2 현대아울렛 가산점|(가산동)|||91001
K2|롯데팩토리아울렛 가산점|126.8845965|37.4794363|K2|02-2623-2212|서울특별시 금천구 벚꽃로 278||||||||K2 롯데팩토리아울렛 가산점|(가산동) 2층|||91001
K2|W몰구로상설점|126.8876991|37.4773347|K2|02-2081-0516|서울특별시 금천구 디지털로 188||||||||K2 W몰구로상설점|(가산동 W-MALL) 5층|||91001
K2|AK구로점|126.8828402|37.5011776|K2|02-858-1072|서울특별시 구로구 구로중앙로 152||||||||K2 AK구로점|(구로동 애경백화점) 5층|||91001
K2|롯데관악점|126.9250547|37.4905539|K2|02-3289-8569|서울특별시 관악구 봉천로 209||||||||K2 롯데관악점|(봉천동) 롯데백화점 5층|||91001
K2|롯데건대스타시티점|127.0711401|37.5387831|K2|02-2218-3713|서울특별시 광진구 능동로 92||||||||K2 롯데건대스타시티점|(자양동) 롯데백화점 7층|||91001
K2|강서(복합)점|126.8644785|37.55155|K2|02-3664-8102|서울특별시 강서구 공항대로 521||||||||K2 강서(복합)점|(등촌동)|||91001
K2|롯데김포공항점|126.8030028|37.5650603|K2|02-6116-3444|서울특별시 강서구 하늘길 38||||||||K2 롯데김포공항점|(방화동)|||91001
K2|롯데미아점|127.0304958|37.614218|K2|02-944-2333|서울특별시 강북구 도봉로 62||||||||K2 롯데미아점|(미아동) 롯데백화점 5층|||91001
K2|수유점|127.0231195|37.6327486|K2|02-988-1230|서울특별시 강북구 도봉로 273||||||||K2 수유점|(수유동)|||91001
K2|길동사거리MS점|127.1397518|37.5362434|K2|02-476-0098|서울특별시 강동구 양재대로 1462||||||||K2 길동사거리MS점|(길동)|||91001
K2|현대 무역점|127.0597342|37.508596|K2|02-3467-8486|서울특별시 강남구 테헤란로 517||||||||K2 현대 무역점|(삼성동) 현대백화점 8층|||91001
K2|롯데강남점|127.0532974|37.4969112|K2|02-531-2736|서울특별시 강남구 도곡로 401||||||||K2 롯데강남점|(대치동) 6층|||91001
K2|롯데센텀시티점|129.1310928|35.1698628|K2|051-730-3590|부산광역시 해운대구 센텀남대로 59||||||||K2 롯데센텀시티점|(우동) 롯데백화점 5층|||91001
K2|신세계센텀시티점|129.1296287|35.1689454|K2|051-745-2591|부산광역시 해운대구 센텀남대로 35||||||||K2 신세계센텀시티점|(우동) 신세계백화점 3층|||91001
K2|롯데광복점|129.0361027|35.098017|K2|051-678-3748|부산광역시 중구 중앙대로 2||||||||K2 롯데광복점|(중앙동7가) 롯데백화점 7층|||91001
K2|부산남포MS(복합)점|129.0269454|35.0971554|K2|051-257-8611|부산광역시 중구 구덕로 83||||||||K2 부산남포MS(복합)점|(남포동6가)|||91001
K2|뉴코아괴정점|128.994021|35.0989107|K2|051-209-5227|부산광역시 사하구 사하로 190||||||||K2 뉴코아괴정점|(괴정동)|||91001
K2|부산하단복합점|128.9703221|35.1049402|K2|051-203-2294|부산광역시 사하구 낙동대로 442||||||||K2 부산하단복합점|(당리동)|||91001
K2|부산애플아울렛점|128.9832782|35.1634865|K2|051-559-6203|부산광역시 사상구 사상로 201||||||||K2 부산애플아울렛점|(괘법동)|||91001
K2|NC서면점|129.0631333|35.1570657|K2|051-794-7319|부산광역시 부산진구 동천로 92||||||||K2 NC서면점|(전포동) NC서면점|||91001
K2|부산범일(복합)점|129.0589924|35.1439656|K2|051-645-8611|부산광역시 부산진구 범일로 155-1||||||||K2 부산범일(복합)점|(범천동)|||91001
K2|롯데부산본점|129.0560043|35.1566793|K2|051-810-4562|부산광역시 부산진구 가야대로 772||||||||K2 롯데부산본점|롯데백화점 4층|||91001
K2|롯데동래점|129.0774444|35.2118248|K2|051-668-4541|부산광역시 동래구 중앙대로 1393||||||||K2 롯데동래점|롯데백화점 5층|||91001
K2|현대부산점|129.0585611|35.1413361|K2|051-667-0690|부산광역시 동구 범일로 125||||||||K2 현대부산점|(범일동)|||91001
K2|신세계사이먼기장점|129.2349663|35.323811|K2|051-940-1347|부산광역시 기장군 장안읍 정관로 1133||||||||K2 신세계사이먼기장점||||91001
K2|롯데아울렛 동부산점|129.2123033|35.1924892|K2|051-901-2564|부산광역시 기장군 기장읍 기장해안로 147||||||||K2 롯데아울렛 동부산점|롯데아울렛 동부산점 2층|||91001
K2|부산녹산MS점|128.8899598|35.1173769|K2|051-941-9181|부산광역시 강서구 낙동남로 662||||||||K2 부산녹산MS점|(녹산동)|||91001
K2|대전중촌MS점|127.4136254|36.3351814|K2|042-257-0003|대전광역시 중구 동서대로 1421||||||||K2 대전중촌MS점|(중촌동)|||91001
K2|대전유성MS(복합)점|127.3364279|36.3622592|K2|042-822-4975|대전광역시 유성구 유성대로 783||||||||K2 대전유성MS(복합)점||||91001
K2|대전세이점|127.4089516|36.3210066|K2|042-221-2637|대전광역시 중구 계백로 1700||||||||K2 대전세이점|(문화동) 세이백화점 4층|||91001
K2|대전모다MS점|127.3189917|36.3126534|K2|042-545-8611|대전광역시 유성구 대정로 5||||||||K2 대전모다MS점|(대정동) 모다아울렛 1층|||91001
K2|대전둔산MS(복합)점|127.3894466|36.3469876|K2|042-483-4985|대전광역시 서구 문정로 89||||||||K2 대전둔산MS(복합)점|(탄방동)|||91001
K2|갤러리아타임월드점|127.3785331|36.3523378|K2|042-472-0885|대전광역시 서구 대덕대로 211||||||||K2 갤러리아타임월드점|(둔산동) 갤러리아백화점 6층|||91001
K2|대전도마MS점|127.3844868|36.3153816|K2|042-533-9393|대전광역시 서구 계백로 1477||||||||K2 대전도마MS점|(도마동)|||91001
K2|롯데대전점|127.3895496|36.3406236|K2|042-601-2631|대전광역시 서구 계룡로 598||||||||K2 롯데대전점|(괴정동) 롯데백화점 6층|||91001
K2|신세계스타일마켓 대전점|127.4366283|36.3503694|K2|042-615-1423|대전광역시 동구 동서대로 1689||||||||K2 신세계스타일마켓 대전점|(용전동)|||91001
K2|대전중리MS점|127.4258393|36.3584689|K2|042-226-0006|대전광역시 대덕구 한밭대로 1146||||||||K2 대전중리MS점|(중리동)|||91001
K2|대덕MS점|127.4198791|36.42307|K2|042-933-7676|대전광역시 대덕구 신탄진로 490||||||||K2 대덕MS점|(상서동)|||91001
K2|대백프라자점|128.6063478|35.8559376|K2|053-425-4540|대구광역시 중구 명덕로 333||||||||K2 대백프라자점|(대봉동) 대백프라자 6층|||91001
K2|동아쇼핑점|128.5919122|35.8661747|K2|053-251-4010|대구광역시 중구 달구벌대로 2085||||||||K2 동아쇼핑점|(덕산동) 대구 동아쇼핑 6층|||91001
K2|현대 대구점|128.5906053|35.8667516|K2|053-245-2538|대구광역시 중구 달구벌대로 2077||||||||K2 현대 대구점|(계산동2가) 현대백화점 5층|||91001
