##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@PACADEMY
#신나는피아노음악학원||||음악/미술학원||울산광역시 남구 옥현로 92-17||1|학교교과교습학원;예능(대);음악;예능(중)|||||#신나는피아노음악학원|2층,201호 (무거동)|||20309
강남동아스쿨학원||||일반학원|052-260-3234|울산광역시 남구 삼산로155번길 29-1||4|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||강남동아스쿨학원|(2층) (달동)|||20315
강림학원||||일반학원|052-265-3566|울산광역시 남구 대공원입구로21번길 28||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||강림학원|(3층) (옥동)|||20315
강문석영어학원||||일반학원|052-261-7300|울산광역시 남구 돋질로 296||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||강문석영어학원|2층일부 (삼산동)|||20315
강의하는아이들수학학원||||일반학원|052-7105-005|울산광역시 남구 문수로335번길 8-1||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||강의하는아이들수학학원|3층 (옥동)|||20315
강한수학전문학원||||일반학원|052-256-3493|울산광역시 남구 왕생로100번길 26||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||강한수학전문학원|2층 (달동)|||20315
건단과전문학원||||일반학원|052-277-4202|울산광역시 남구 옥현로2번길 3||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||건단과전문학원|(1층) (무거동,옥현하나빌딩)|||20315
건반음악학원||||음악/미술학원|052-247-5574|울산광역시 남구 북부순환도로13번길 6-7||2|학교교과교습학원;예능(대);음악;예능(중)|||||건반음악학원|(2층) (무거동,소망어린이집)|||20309
겨루수학학원||||일반학원||울산광역시 남구 삼산중로128번길 12-1||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||겨루수학학원|A동 3층일부 (삼산동)|||20315
경남실용음악학원||||음악/미술학원|052-266-2521|울산광역시 남구 봉월로8번길 11||2|학교교과교습학원;예능(대);음악;예능(중)|||||경남실용음악학원|2층 (신정동)|||20309
경남열관리학원||||전문자격학원|052-274-2035|울산광역시 남구 중앙로 175||2|평생직업교육학원;직업기술;화공 및 세라믹;산업기반기술|||||경남열관리학원|(신정동)|||20307
경남컴퓨터학원||||컴퓨터학원|052-265-3832|울산광역시 남구 수암로 15-9||5|학교교과교습학원;기타(대);컴퓨터(소);기타(중)|||||경남컴퓨터학원|3,4층 (신정동)|||20310
계림부동산법학원||||국가고시학원|052-271-8877|울산광역시 남구 중앙로 153||9|평생직업교육학원;인문사회(대);성인고시;인문사회(중)|||||계림부동산법학원|괴하빌딩 (6층) (신정동,한국전기안전공사 (울산지사))|||20308
계명미술학원||||음악/미술학원|052-276-8456|울산광역시 남구 야음로11번길 31-24||4|학교교과교습학원;예능(대);미술;예능(중)|||||계명미술학원|(2층) (야음동)|||20309
고등하이레벨정쌤수학학원||||일반학원||울산광역시 남구 문수로 338||10|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||고등하이레벨정쌤수학학원|7층 (옥동,유원빌딩)|||20315
고려수학전문학원||||일반학원|052-227-1156|울산광역시 남구 문수로392번길 5||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||고려수학전문학원|(3층) (옥동)|||20315
고수학전문학원||||일반학원|052-260-6509|울산광역시 남구 돋질로 302||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||고수학전문학원|(삼산동)|||20315
공부가수학학원||||일반학원||울산광역시 남구 문수로435번길 10||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||공부가수학학원|2층 (신정동)|||20315
공업탑인테코일본어전문학원||||외국어학원|052-256-8383|울산광역시 남구 삼산로9번길 6-10||7|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||공업탑인테코일본어전문학원|(5층) (신정동)|||20305
공존독서실||||독서실||울산광역시 남구 문수로 406||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||공존독서실|3층 일부 (신정동)|||20317
공클라라음악학원||||음악/미술학원||울산광역시 남구 신복로71번길 13||2|학교교과교습학원;예능(대);음악;예능(중)|||||공클라라음악학원|무거현대아파트상가 2동 301호 (무거동,무거현대아파트)|||20309
관인예일음악학원||||음악/미술학원|052-273-2776|울산광역시 남구 두왕로190번길 46||2|학교교과교습학원;예능(대);음악;예능(중)|||||관인예일음악학원|(선암동)|||20309
교당학원||||일반학원||울산광역시 남구 문수로369번길 68||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||교당학원|3층 (옥동,도성아파트)|||20315
교일학원||||일반학원|052-222-0541|울산광역시 남구 옥현로 87||4|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||교일학원|2층 (무거동)|||20315
구경희음악학원||||음악/미술학원|052-274-8797|울산광역시 남구 돋질로367번길 17||2|학교교과교습학원;예능(대);음악;예능(중)|||||구경희음악학원|(3층) (삼산동)|||20309
구영점유투엠학원||||일반학원||울산광역시 울주군 범서읍 점촌2길 2||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||구영점유투엠학원|4층 (범서읍)|||20315
국강신새벽국어전문학원||||일반학원|052-260-2399|울산광역시 남구 문수로321번길 9||2|학교교과교습학원;입시.검정 및 보습;입시·논술;보통교과|||||국강신새벽국어전문학원|(3층) (옥동)|||20315
국과수단과학원||||일반학원||울산광역시 남구 문수로 321||8|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||국과수단과학원|2층 (옥동)|||20315
국어명가김홍보국어학원||||일반학원|052-937-0909|울산광역시 남구 대공원입구로9번길 24-7||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||국어명가김홍보국어학원|(1층) (옥동)|||20315
굿모닝독서실||||독서실|052-258-3660|울산광역시 남구 신정로 34||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||굿모닝독서실|(2층) (달동,굿모닝독서실)|||20317
권재길수학전문학원||||일반학원|052-276-4994|울산광역시 남구 법대로95번길 16||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||권재길수학전문학원|2층 (옥동)|||20315
권진수학학원||||일반학원|052-261-0762|울산광역시 남구 수암로 133||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||권진수학학원|(야음동)|||20315
규미술학원||||음악/미술학원|052-266-2258|울산광역시 남구 도산로101번길 4-22||5|학교교과교습학원;예능(대);미술;예능(중)|||||규미술학원|(2층) (달동,국술원합기도)|||20309
그로티움독학재수학원||||일반학원|052-267-1469|울산광역시 남구 문수로 329||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||그로티움독학재수학원|6층 (옥동)|||20315
그루터기학원||||일반학원||울산광역시 남구 대공원입구로9번길 24-18||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||그루터기학원|1.2층 (옥동)|||20315
그린섬미술학원||||음악/미술학원|052-274-5890|울산광역시 남구 봉월로 19||7|학교교과교습학원;예능(대);미술;예능(중)|||||그린섬미술학원|(6,7층) (신정동)|||20309
그림레시피미술학원||||음악/미술학원|052-267-7022|울산광역시 남구 월평로 256||2|학교교과교습학원;예능(대);미술;예능(중)|||||그림레시피미술학원|5층 일부 (삼산동)|||20309
그림방땡이학원||||음악/미술학원|052-268-5292|울산광역시 남구 돋질로401번길 15||2|학교교과교습학원;예능(대);미술;예능(중)|||||그림방땡이학원|(2층) (삼산동)|||20309
그림아이미술학원||||음악/미술학원|052-274-4612|울산광역시 남구 신정로12번길 9||3|학교교과교습학원;예능(대);미술;예능(중)|||||그림아이미술학원|(1층) (달동)|||20309
글램비댄스학원||||취미학원||울산광역시 남구 대학로 128||4|학교교과교습학원;예능(대);무용;예능(중)|||||글램비댄스학원|6층 (무거동,하늘빌딩)|||20313
글로리영어학원||||외국어학원|052-271-1391|울산광역시 남구 대암로 96||5|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||글로리영어학원|622-40번지 2층 (야음동)|||20305
글로벌간호학원||||전문자격학원|052-261-9978|울산광역시 남구 중앙로 213||22|평생직업교육학원;직업기술;간호조무사;간호보조기술|||||글로벌간호학원|(2,3층) (신정동)|||20307
글뿌리단과전문학원||||일반학원|052-271-9011|울산광역시 남구 대암로90번길 7-11||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||글뿌리단과전문학원|(2층) (야음동)|||20315
글사랑Ｏ2독서실||||독서실|052-256-0977|울산광역시 남구 삼산중로 131||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||글사랑Ｏ2독서실|4층 (삼산동)|||20317
글샘논술구술학원||||일반학원|052-265-4470|울산광역시 남구 정동로118번길 21||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||글샘논술구술학원|(삼산동)|||20315
금관음악학원||||음악/미술학원|052-261-0028|울산광역시 남구 거마로30번길 20||2|학교교과교습학원;예능(대);음악;예능(중)|||||금관음악학원|6층 (신정동)|||20309
금향색소폰드럼학원||||음악/미술학원|052-275-7268|울산광역시 남구 신정로203번길 69-1||2|학교교과교습학원;예능(대);음악;예능(중)|||||금향색소폰드럼학원|3층 (신정동)|||20309
기린아국어전문학원||||일반학원||울산광역시 남구 문수로 325||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||기린아국어전문학원|3층 (옥동)|||20315
기쁨수학학원||||일반학원|052-256-5041|울산광역시 남구 문수로 429||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||기쁨수학학원|3층 (신정동)|||20315
기찬연세수학학원||||일반학원|052-260-7663|울산광역시 남구 삼산중로 127||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||기찬연세수학학원|(2층) (삼산동)|||20315
기타스터디기타전문학원||||음악/미술학원|052-269-6926|울산광역시 남구 삼산중로131번길 13-1||2|학교교과교습학원;예능(대);음악;예능(중)|||||기타스터디기타전문학원|2층 (삼산동)|||20309
길버트어학원||||외국어학원|052-247-5074|울산광역시 남구 대공원입구로21번길 32||8|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||길버트어학원|2층 (옥동)|||20305
길수학학원||||일반학원|052-273-7056|울산광역시 남구 문수로 348||5|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||길수학학원|4층 (옥동)|||20315
김가인피아노레슨전문학원||||음악/미술학원|052-272-1233|울산광역시 남구 대암로 8||3|학교교과교습학원;예능(대);음악;예능(중)|||||김가인피아노레슨전문학원|4층 (신정동)|||20309
김규훈수학전문학원||||일반학원|052-900-7703|울산광역시 남구 대학로147번길 56||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||김규훈수학전문학원|(무거동,신세대2차아파트)|||20315
김서진수학전문학원||||일반학원|052-273-8777|울산광역시 남구 문수로392번길 37||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||김서진수학전문학원|(4층) (옥동,현대약국)|||20315
김성우수학전문학원||||일반학원|052-276-8235|울산광역시 남구 삼산중로131번길 27||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||김성우수학전문학원|2층 (삼산동)|||20315
김신조영어학원||||외국어학원|052-272-7271|울산광역시 남구 삼산중로114번길 9||3|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||김신조영어학원|(삼산동,종로엠학원)|||20305
김연희한국무용학원||||취미학원||울산광역시 남구 번영로 57||2|학교교과교습학원;예능(대);무용;예능(중)|||||김연희한국무용학원|3층 (야음동)|||20313
김옥천수학전문학원||||일반학원|052-247-3650|울산광역시 남구 옥현로58번길 4||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||김옥천수학전문학원|4층 (무거동)|||20315
김외섭무용학원||||취미학원|052-227-8736|울산광역시 남구 삼산로 140||2|학교교과교습학원;예능(대);무용;예능(중)|||||김외섭무용학원|4층 (달동)|||20313
김원장국어논술전문학원||||일반학원|052-258-5231|울산광역시 남구 문수로 363-1||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||김원장국어논술전문학원|(2층) (옥동,전국부동산중개협회울산지부)|||20315
김유신영어학원||||외국어학원|052-258-7905|울산광역시 남구 문수로321번길 3-1||4|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||김유신영어학원|2층 (옥동)|||20305
김은정수학전문학원||||일반학원||울산광역시 남구 중앙로 42||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||김은정수학전문학원|4층 (야음동)|||20315
김찬이영어학원||||외국어학원|052-227-0011|울산광역시 남구 문수로435번길 5||2|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||김찬이영어학원|(신정동,대정학원)|||20305
김하은장유진의융합영재관학원||||일반학원||울산광역시 남구 돋질로261번길 15-1||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||김하은장유진의융합영재관학원|3층 (삼산동)|||20315
김현수명품수학전문학원||||일반학원|052-227-7732|울산광역시 남구 문수로 297||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||김현수명품수학전문학원|(3층) (옥동)|||20315
김홍어학원수학학원||||외국어학원|052-249-3494|울산광역시 남구 옥현로 19||3|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||김홍어학원수학학원|2층,3층 (무거동)|||20305
깊은생각수학과학전문학원||||일반학원|052-211-0106|울산광역시 남구 대학로145번길 58-3||2|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||깊은생각수학과학전문학원|(3층) (무거동)|||20315
깨비블럭학원||||일반학원||울산광역시 남구 봉월로59번길 10-1||2|학교교과교습학원;기타(대);기타(소);기타(중)|||||깨비블럭학원|3층 (신정동)|||20315
깨움수학전문학원||||일반학원||울산광역시 남구 대학로145번길 66||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||깨움수학전문학원|202호 (2층) (무거동,아성홈토피아 상가동)|||20315
꿈꾸는미술놀이터학원||||음악/미술학원|052-227-6969|울산광역시 남구 돋질로257번길 21||2|학교교과교습학원;예능(대);미술;예능(중)|||||꿈꾸는미술놀이터학원|2층 일부 (삼산동)|||20309
꿈독서실||||독서실|052-2221-381|울산광역시 남구 대학로 123||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||꿈독서실|(무거동)|||20317
꿈모리학원||||음악/미술학원|052-261-8224|울산광역시 남구 야음본로 42||2|학교교과교습학원;예능(대);미술;예능(중)|||||꿈모리학원|(야음동,상아탑웅변속셈학원)|||20309
꿈이있는독서실||||독서실|052-277-8899|울산광역시 남구 두왕로190번길 18||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||꿈이있는독서실|3층 (선암동,선암새마을금고)|||20317
꿈이크는과수원학원||||일반학원|052-260-3789|울산광역시 남구 돋질로367번길 4||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||꿈이크는과수원학원|2층 (삼산동)|||20315
꿈있는독서실||||독서실|052-274-8885|울산광역시 남구 삼산중로128번길 26||1|학교교과교습학원;독서실;독서실(유아/초·중·고);독서실|||||꿈있는독서실|(3,4,5층) (삼산동)|||20317
나랏말쌈국어논술전문학원||||일반학원||울산광역시 남구 문수로 333-1||4|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||나랏말쌈국어논술전문학원|4층 (옥동)|||20315
나무미술학원||||음악/미술학원|052-227-5063|울산광역시 남구 수암로 12||1|학교교과교습학원;예능(대);미술;예능(중)|||||나무미술학원|(3층) (신정동,위당입시학원)|||20309
나비연기학원||||일반학원|052-227-5717|울산광역시 남구 삼산로 13||8|학교교과교습학원;기타(대);연극;기타(중)|||||나비연기학원|3층 (신정동)|||20315
나이키어학원||||외국어학원|052-260-8290|울산광역시 남구 대공원입구로21번길 44||9|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||나이키어학원|2층 (옥동)|||20305
나토얀음악학원||||음악/미술학원|052-247-7049|울산광역시 남구 신복로61번길 4||3|학교교과교습학원;예능(대);음악;예능(중)|||||나토얀음악학원|(2층) (무거동,새이숍몬테소리어린이집)|||20309
남구간호학원||||전문자격학원|052-211-8333|울산광역시 남구 북부순환도로 6-1||12|평생직업교육학원;직업기술;간호조무사;간호보조기술|||||남구간호학원|3층,남구 북부순환도로 8,2층 (무거동)|||20307
남구에스엠잉글리쉬어학원||||외국어학원|052-272-0400|울산광역시 남구 수암로 134||10|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||남구에스엠잉글리쉬어학원|789-128번지 6층 (야음동,일중학원)|||20305
남구키즈콜럼버스실용외국어학원||||외국어학원|052-227-0150|울산광역시 남구 신정로 39||7|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||남구키즈콜럼버스실용외국어학원|4층 (달동)|||20305
남구한양학원||||일반학원|052-257-1411|울산광역시 남구 삼산로 27||8|학교교과교습학원;입시.검정 및 보습;검정;보통교과|||||남구한양학원|계룡빌딩 3층전부 (신정동,천사빌딩)|||20315
남부고운학원||||일반학원|052-265-2669|울산광역시 남구 산업로339번길 38-28||3|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||남부고운학원|(1,2층) (선암동)|||20315
남산입시단과학원||||일반학원|052-261-8500|울산광역시 남구 거마로134번길 13||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||남산입시단과학원|(신정동)|||20315
내삶의반올림더샾음악학원||||음악/미술학원|052-247-0982|울산광역시 남구 신복로46번길 9-36||2|학교교과교습학원;예능(대);음악;예능(중)|||||내삶의반올림더샾음악학원|(2층) (무거동)|||20309
네오뮤직음악학원||||음악/미술학원|052-274-1116|울산광역시 남구 돋질로 246||5|학교교과교습학원;예능(대);음악;예능(중)|||||네오뮤직음악학원|(2층) (달동)|||20309
네오예일학원||||일반학원|052-222-0212|울산광역시 남구 옥현로 92-17||3|학교교과교습학원;입시.검정 및 보습;입시;보통교과|||||네오예일학원|(3층) 302,303호 (무거동,최재경소아과)|||20315
노리안직영학원||||외국어학원|052-265-8086|울산광역시 남구 번영로 174||4|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||노리안직영학원|4층 (달동)|||20305
노리터학원||||외국어학원||울산광역시 남구 번영로15번길 26||1|학교교과교습학원;국제화;실용외국어(유아/초·중·고);외국어|||||노리터학원|2층 (야음동)|||20305
노마드수학영어전문학원||||일반학원|052-260-1634|울산광역시 남구 돋질로 288||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||노마드수학영어전문학원|(2층) (삼산동)|||20315
논리독해정독학원||||일반학원||울산광역시 남구 수암로115번길 11||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||논리독해정독학원|2층 (신정동)|||20315
논술나무학원||||일반학원|052-265-7400|울산광역시 남구 돋질로257번길 17||2|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||논술나무학원|3층 (삼산동)|||20315
누보미술학원||||음악/미술학원|052-286-7004|울산광역시 남구 신복로71번길 8||3|학교교과교습학원;예능(대);미술;예능(중)|||||누보미술학원|2층 202호 (무거동)|||20309
눈높이러닝센터강남학원||||일반학원|052-265-9090|울산광역시 남구 대암로 67||8|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터강남학원|4층 (신정동)|||20315
눈높이러닝센터남산학원||||일반학원|052-261-0028|울산광역시 남구 문수로369번길 65||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터남산학원|(신정동,한서빌딩)|||20315
눈높이러닝센터대공원학원||||일반학원|052-268-7802|울산광역시 남구 대공원로99번길 22||8|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터대공원학원|2층 (옥동)|||20315
눈높이러닝센터무거학원||||일반학원|052-249-0929|울산광역시 울주군 범서읍 장검길 95||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터무거학원|3층 (범서읍)|||20315
눈높이러닝센터삼산아이비학원||||일반학원|052-260-0209|울산 남구 남중로 125||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터삼산아이비학원|3층 (삼산동)|||20315
눈높이러닝센터삼신학원||||일반학원||울산광역시 남구 돋질로257번길 17-1||7|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터삼신학원|1층 (삼산동)|||20315
눈높이러닝센터신정학원||||일반학원|052-268-7803|울산광역시 남구 거마로134번길 13||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터신정학원|2층 일부 (신정동)|||20315
눈높이러닝센터옥현학원||||일반학원|052-249-9509|울산광역시 남구 옥현로46번길 5-9||6|학교교과교습학원;입시.검정 및 보습;보습;보통교과|||||눈높이러닝센터옥현학원|4층 일부 (무거동,서영빌딩)|||20315
뉴고려컴퓨터전산회계학원||||컴퓨터학원|052-266-2810|울산광역시 남구 수암로 7||4|평생직업교육학원;직업기술;컴퓨터(정보처리,통신기기,인터넷,소프트웨어);컴퓨터|||||뉴고려컴퓨터전산회계학원|(2,3층) (신정동)|||20310
뉴라이프기타학원||||음악/미술학원|052-277-0116|울산광역시 남구 중앙로128번길 25||2|평생직업교육학원;기예(대);실용음악(성악);기예(중)|||||뉴라이프기타학원|2층 일부 (달동)|||20309
