##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@코스닥기업
글로본||||코스닥기업|02-6934-0800|서울특별시 강남구 도산대로 331||||||||글로본||||210202
금강철강||||코스닥기업|02-3471-0001|서울시 서초구 서운로 19||||||||금강철강|701호 (서초동,서초월드오피스텔)|||210202
금화피에스시||||코스닥기업|02-2186-6220|서울시 강남구 테헤란로25길 15-4||||||||금화피에스시||||210202
기가레인||||코스닥기업|031-233-7325|경기도 화성시 동탄산단10길 61||||||||기가레인||||210202
기산텔레콤||||코스닥기업|02-3433-8200|서울특별시 송파구 오금로 111||||||||기산텔레콤|세기빌딩 11층 (방이동)|||210202
까스텔바쟉||||코스닥기업|02-3498-0330|서울특별시 강남구 논현로 322||||||||까스텔바쟉||||210202
나노||||코스닥기업|054-533-5887|경상북도 상주시 청리면 마공공단로 60||||||||나노||||210202
나노스||||코스닥기업|031-340-1000|경기도 화성시 마도면 마도공단로2길 4||||||||나노스||||210202
나노신소재||||코스닥기업|044-275-6966|세종시 부강면 금호안골길 78||||||||나노신소재|부용지방산업단지내|||210202
나노엔텍||||코스닥기업|02-6220-7728|서울특별시 구로구 디지털로26길 5||||||||나노엔텍|에이스하이엔드타워1차 12층 (구로동)|||210202
나노캠텍||||코스닥기업|031-671-9466|경기도 용인시 처인구 남사면 완장천로 42-34||||||||나노캠텍||||210202
나라엠앤디||||코스닥기업|055-239-3600|경남 창원시 성산구 공단로 675||||||||나라엠앤디||||210202
나무가||||코스닥기업|031-776-0120|경기도 성남시 중원구 사기막골로 124||||||||나무가|709호 (상대원동,SKn테크노파크)|||210202
나무기술||||코스닥기업|031-8060-0200|경기도 성남시 분당구 판교로 255||||||||나무기술|5층 (삼평동,이노밸리F동)|||210202
나스미디어||||코스닥기업|02-2188-7300|서울특별시 강남구 도곡로1길 14||||||||나스미디어|삼일프라자오피스텔 4,5F|||210202
나우아이비캐피탈||||코스닥기업|02-565-6234|서울특별시 강남구 삼성로 511||||||||나우아이비캐피탈|골든타워 11층|||210202
나이벡||||코스닥기업|043-532-7458|충북 진천군 이월면 밤디길 116||||||||나이벡|이월전기전자농공1단지|||210202
나이스디앤비||||코스닥기업|02-2122-2500|서울시 마포구 마포대로 217||||||||나이스디앤비||||210202
나이스정보통신||||코스닥기업|02-2187-2700|서울특별시 영등포구 은행로 17||||||||나이스정보통신|NICE 그룹1사옥|||210202
남화산업||||코스닥기업|061-450-9000|전라남도 무안군 청계면 서호로 162||||||||남화산업||||210202
남화토건||||코스닥기업|061-374-4409|전남 화순군 화순읍 벽라1길 40||||||||남화토건||||210202
내츄럴엔도텍||||코스닥기업|070-4601-3139|경기도 성남시 분당구 판교로 255||||||||내츄럴엔도텍|번길 58,에이동 301호|||210202
네오디안테크놀로지||||코스닥기업|02-533-4550|서울특별시 서초구 방배로34길 8||||||||네오디안테크놀로지|다원빌딩 301호|||210202
네오셈||||코스닥기업|031-8091-8800|경기도 안양시 동안구 시민대로327번길 12-26||||||||네오셈|주식회사 네오셈|||210202
네오오토||||코스닥기업|02-732-2871|서울특별시 종로구 새문안로5길 19||||||||네오오토|6층 (당주동,로얄빌딩)|||210202
네오위즈||||코스닥기업|031-8023-6600|경기도 성남시 분당구 성남대로2번길 12||||||||네오위즈|네오위즈타워 (구미동)|||210202
네오위즈홀딩스||||코스닥기업|031-8023-6600|경기도 성남시 분당구 성남대로2번길 12||||||||네오위즈홀딩스|네오위즈타워 (구미동)|||210202
네오티스||||코스닥기업|031-671-0170|경기도 안성시 죽산면 용대길 38-9||||||||네오티스|두교산업단지|||210202
네오팜||||코스닥기업|042-864-0038|대전광역시 유성구 테크노2로 309-8||||||||네오팜|(탑립동)|||210202
네오펙트||||코스닥기업|031-889-8521|경기도 용인시 수지구 죽전로 152||||||||네오펙트|서관 401호|||210202
네이블||||코스닥기업|070-7780-9835|서울특별시 강남구 학동로 401||||||||네이블|8층 (청담동,금하빌딩)|||210202
네이처셀||||코스닥기업|02-3472-1681|서울특별시 영등포구 국회대로76길 10||||||||네이처셀|5층|||210202
네패스||||코스닥기업|02-3470-2700|충청북도 음성군 삼성면 금일로965번길 105||||||||네패스||||210202
네패스신소재||||코스닥기업|063-833-2020|전라북도 익산시 석암로 99||||||||네패스신소재|(팔봉동)|||210202
넥스턴||||코스닥기업|031-288-2021|경기도 용인시 기흥구 기흥단지로 121번길 35||||||||넥스턴||||210202
넥스트아이||||코스닥기업|031-389-2299|경기도 안양시 동안구 흥안대로 415||||||||넥스트아이|두산벤처다임 512호 (평촌동)|||210202
넥스트BT||||코스닥기업|043-878-8851|충청북도 음성군 삼성면 대양로 193-12||||||||넥스트BT||||210202
넥슨지티||||코스닥기업|031-779-2500|경기도 성남시 판교로 256번길 25||||||||넥슨지티||||210202
넵튠||||코스닥기업|031-698-3498|경기도 성남시 분당구 성남대로331번길 8||||||||넵튠|13층 (정자동,킨스타워)|||210202
넷게임즈||||코스닥기업|02-6421-7767|서울특별시 강남구 남부순환로 2621||||||||넷게임즈|5층~7층 (도곡동,서브원강남빌딩)|||210202
노랑풍선||||코스닥기업|02-2022-7200|서울특별시 중구 수표로 31||||||||노랑풍선|(저동2가,노랑풍선빌딩)|||210202
노바렉스||||코스닥기업|02-587-0019|충청북도 청주시 청원구 오창읍 각리1길 94||||||||노바렉스||||210202
노바텍||||코스닥기업|031-627-5290|경기도 용인시 기흥구 흥덕중앙로 120||||||||노바텍|511호,1101호,1111호,1112호,1113호 (영덕동,유타워)|||210202
녹십자랩셀||||코스닥기업|031-260-9300|경기도 용인시 기흥구 이현로30번길 107||||||||녹십자랩셀|(보정동) 목암빌딩 4층|||210202
녹십자셀||||코스닥기업|02-2101-0600|경기도 용인시 기흥구 이현로30번길 107||||||||녹십자셀|GC녹십자셀센터|||210202
녹십자엠에스||||코스닥기업|031-260-9300|경기도 용인시 기흥구 이현로30번길 107||||||||녹십자엠에스||||210202
녹원씨엔아이||||코스닥기업|02-2025-6500|경기도 파주시 신촌2로 7-12||||||||녹원씨엔아이||||210202
농우바이오||||코스닥기업|031-218-1116|경기도 수원시 영통구 센트럴타운로 114-8||||||||농우바이오|(이의동) 농우바이오|||210202
누리텔레콤||||코스닥기업|02-781-0700|서울시 서초구 사평대로 16||||||||누리텔레콤|누리빌딩|||210202
누리플랜||||코스닥기업|031-997-9097|경기도 김포시 대곶면 대곶로202번길 191||||||||누리플랜||||210202
뉴로스||||코스닥기업|042-865-7300|대전시 유성구 테크노2로 274||||||||뉴로스||||210202
뉴보텍||||코스닥기업|033-734-6001|강원도 원주시 태장공단길 42-6||||||||뉴보텍||||210202
뉴인텍||||코스닥기업|041-541-8100|충남 아산시 음봉면 음봉면로 243||||||||뉴인텍||||210202
뉴지랩||||코스닥기업|032-683-7903|경기도 부천시 오정구 신흥로362번길 23||||||||뉴지랩|(내동)|||210202
뉴트리||||코스닥기업|031-776-3494|경기도 성남시 중원구 사기막골로 124||||||||뉴트리|테크동 1109호 (상대원동,SKn테크노파크)|||210202
뉴파워프라즈마||||코스닥기업|031-612-7600|경기도 수원시 영통구 신원로 176||||||||뉴파워프라즈마|(신동)|||210202
뉴프라이드||||코스닥기업|1-310-631-7000|||||||||뉴프라이드|E. Orangethorpe Avenue,Suite D,Fullerton,CA 92831|||210202
뉴프렉스||||코스닥기업|031-494-9325|경기도 안산시 단원구 만해로 181||||||||뉴프렉스|반월공단 603블럭 4로트 (신길동)|||210202
다나와||||코스닥기업|02-1688-2450|서울시 양천구 목동동로 233-1||||||||다나와|드림타워 501호|||210202
다날||||코스닥기업|031-697-1004|경기도 성남시 분당구 분당로 55||||||||다날|9층 (서현동,분당퍼스트타워)|||210202
다믈멀티미디어||||코스닥기업|031-380-6950|서울특별시 서초구 서초대로 67||||||||다믈멀티미디어|성령빌딩 (방배동 8699,11) 2층|||210202
다산||||코스닥기업|031-488-3581|경기도 안산시 단원구 번영2로 72||||||||다산|(성곡동)|||210202
다산네트웍스||||코스닥기업|070-7010-1000|경기도 성남시 분당구 대왕판교로644번길 49||||||||다산네트웍스|다산타워 10층|||210202
다우데이타||||코스닥기업|02-3410-5100|서울특별시 마포구 독막로 311||||||||다우데이타|염리동,재화스퀘어 5층,11층|||210202
다원시스||||코스닥기업|031-8085-3012|경기도 안산시 단원구 시화호수로 485||||||||다원시스|(성곡동) (주) 다원시스|||210202
대동금속||||코스닥기업|053-610-5000|대구시 달성군 논공읍 논공로 602||||||||대동금속||||210202
대동기어||||코스닥기업|055-851-2300|경남 사천시 사남면 공단1로 42||||||||대동기어||||210202
대동스틸||||코스닥기업|032-817-4448|인천광역시 남동구 앵고개로622번길 29||||||||대동스틸|남동공단 165B1L 고잔동|||210202
대륙제관||||코스닥기업|02-6003-0600|서울특별시 강남구 역삼로 221||||||||대륙제관|(역삼동)|||210202
대림제지||||코스닥기업|031-373-7670|경기도 오산시 황새로 169||||||||대림제지|(누읍동)|||210202
대명코퍼레이션||||코스닥기업|02-2222-7574|강원도 홍천군 서면 한치골길 262||||||||대명코퍼레이션||||210202
대백저축은행||||코스닥기업|053-423-3301|대구광역시 수성구 달구벌대로 2382-1||||||||대백저축은행|(범어동)|||210202
대보마그네틱||||코스닥기업|032-354-3960|경기도 화성시 팔탄면 현대기아로 25-13||||||||대보마그네틱||||210202
대봉엘에스||||코스닥기업|032-712-8800|인천시 남동구 능허대로 649번길 123||||||||대봉엘에스|(고잔동)|||210202
대성미생물||||코스닥기업|031-461-7103|경기도 의왕시 덕영대로 103||||||||대성미생물||||210202
대성엘텍||||코스닥기업|02-2102-3000|서울특별시 금천구 벚꽃로 278||||||||대성엘텍|(가산동)|||210202
대성창투||||코스닥기업|02-559-2900|서울특별시 강남구 역삼로 165||||||||대성창투|해성빌딩 4층|||210202
대성파인텍||||코스닥기업|055-289-4885|경상남도 창원시 성산구 성산패총로24번길 16||||||||대성파인텍|(성산동)|||210202
대신밸런스제4호스팩||||코스닥기업|02-769-3921|서울특별시 중구 삼일대로 343||||||||대신밸런스제4호스팩||||210202
대신밸런스제5호스팩||||코스닥기업|02-769-3921|서울특별시 중구 삼일대로 343||||||||대신밸런스제5호스팩|(저동1가,대신파이낸스센터 (DaishinFinanceCenter))|||210202
대신밸런스제6호스팩||||코스닥기업|02-769-3921|서울특별시 중구 삼일대로 343||||||||대신밸런스제6호스팩||||210202
대신정보통신||||코스닥기업|02-2107-5000|광주광역시 서구 상무중앙로 110||||||||대신정보통신|(치평동,우체국보험광주회관)|||210202
대아티아이||||코스닥기업|032-680-0800|경기도 부천시 오정구 수도로 139||||||||대아티아이|대아빌딩 (내동)|||210202
대양전기공업||||코스닥기업|051-200-5331|부산시 사하구 장평로 245||||||||대양전기공업||||210202
대양제지||||코스닥기업|031-491-1641|경기도 안산시 단원구 신원로 50||||||||대양제지|(신길동)|||210202
대원||||코스닥기업|043-264-1115|충청북도 청주시 흥덕구 직지대로435번길 15||||||||대원|(송정동)|||210202
대원미디어||||코스닥기업|02-6373-3000|서울특별시 용산구 한강대로23길 55||||||||대원미디어|6층 11호 (한강로3가,현대아이파크몰 테마파크)|||210202
대원산업||||코스닥기업|031-495-2301|경기도 안산시 단원구 원시로 179||||||||대원산업||||210202
대유||||코스닥기업|02-556-6293|서울특별시 강남구 학동로77길 26||||||||대유|(청담동,대유빌딩)|||210202
대유에이피||||코스닥기업|063-210-3900|전라북도 완주군 봉동읍 완주산단8로 66||||||||대유에이피||||210202
대유위니아||||코스닥기업|041-530-6114|광주광역시 광산구 하남산단9번로 110||||||||대유위니아||||210202
대정화금||||코스닥기업|031-488-8822|경기도 시흥시 서해안로 186||||||||대정화금|시화공단1다 107호 (정왕동)|||210202
대주산업||||코스닥기업|02-2201-8108|서울특별시 광진구 구의강변로 44||||||||대주산업|남전빌딩 (구의동)|||210202
대주전자재료||||코스닥기업|031-498-2901|경기도 시흥시 서해안로 148||||||||대주전자재료|(정왕동)|||210202
대주코레스||||코스닥기업|031-494-3201|전라북도 완주군 봉동읍 완주산단6로 266||||||||대주코레스||||210202
대창솔루션||||코스닥기업|051-264-0832|부산광역시 강서구 화전산단1로 155||||||||대창솔루션|화전동|||210202
대창스틸||||코스닥기업|032-816-7700|인천광역시 남동구 아암대로 1213||||||||대창스틸||||210202
대한과학||||코스닥기업|033-737-7500|강원도 원주시 지정면 신평석화로 326||||||||대한과학||||210202
대한광통신||||코스닥기업|031-494-1011|경기도 안산시 단원구 장자골로 49||||||||대한광통신|(성곡동)|||210202
대한뉴팜||||코스닥기업|031-353-6141~5|경기도 화성시 향남읍 제약공단1길 66||||||||대한뉴팜||||210202
대한약품||||코스닥기업|02-2678-8443|서울시 영등포구 선유로 45길 3||||||||대한약품||||210202
대호피앤씨||||코스닥기업|055-388-4001|경남 양산시 산막공단북4길 13||||||||대호피앤씨||||210202
대화제약||||코스닥기업|033-342-5140|강원도 횡성군 횡성읍 한우로 495||||||||대화제약||||210202
더블유에프엠||||코스닥기업|02-565-4874|서울시 금천구 가산디지털1로 131||||||||더블유에프엠|BYC하이시티빌딩 B동 15|||210202
덕산네오룩스||||코스닥기업|041-590-5400|충청남도 천안시 서북구 입장면 쑥골길 21-32||||||||덕산네오룩스||||210202
덕산하이메탈||||코스닥기업|052-283-9000|울산시 북구 무룡1로 66||||||||덕산하이메탈||||210202
덕신하우징||||코스닥기업|041-556-2600|충청남도 천안시 동남구 수신면 수신로 485-34||||||||덕신하우징||||210202
덕우전자||||코스닥기업|054-474-9661|경상북도 구미시 산동면 첨단기업7로 98-23||||||||덕우전자||||210202
데브시스터즈||||코스닥기업|02-2148-0657|서울특별시 강남구 도산대로 327||||||||데브시스터즈|데브시스터즈 (주)|||210202
데이타솔루션||||코스닥기업|02-3404-5656|서울특별시 강남구 언주로 620||||||||데이타솔루션|10층|||210202
데일리블록체인||||코스닥기업|031-470-4803|경기도 안양시 만안구 예술공원로 153-32||||||||데일리블록체인|3층 (석수동 8251 3층)|||210202
데코앤이||||코스닥기업|02-2145-1300|서울특별시 송파구 위례성대로22길 27||||||||데코앤이||||210202
덱스터||||코스닥기업|031-8076-4830|서울특별시 마포구 매봉산로 75||||||||덱스터|1801호,1901호 (상암동,디디엠씨)|||210202
도이치모터스||||코스닥기업|02-1577-3456|서울특별시 성동구 동일로 111||||||||도이치모터스|(성수동 2가)|||210202
동구바이오제약||||코스닥기업|02-2684-5421|서울특별시 송파구 법원로 114||||||||동구바이오제약|B동 14층|||210202
동국산업||||코스닥기업|02-316-7500|서울시 중구 다동길 46||||||||동국산업|동국산업 (주)|||210202
동국알앤에스||||코스닥기업|055-323-6589|경남 김해시 상동면 상동로 375번길 26-29||||||||동국알앤에스||||210202
동국제약||||코스닥기업|02-2191-9800|서울시 강남구 테헤란로 108길 7||||||||동국제약||||210202
동국S&C||||코스닥기업|054-285-4500|경북 포항시 남구 대송로 62||||||||동국S&C|(장흥동)|||210202
동방선기||||코스닥기업|055-545-0882|경남 창원시 진해구 명제로 73||||||||동방선기|(죽곡동)|||210202
동부스팩5호||||코스닥기업|02-369-3062|서울특별시 영등포구 국제금융로8길 32||||||||동부스팩5호||||210202
동성화인텍||||코스닥기업|02-6190-8500|부산광역시 사하구 신산로 99||||||||동성화인텍||||210202
동신건설||||코스닥기업|054-858-7811|경북 안동시 서동문로 217||||||||동신건설||||210202
동아엘텍||||코스닥기업|031-345-1500|경기도 안양시 동안구 시민대로327번길 12-24||||||||동아엘텍|(주)동아엘텍 빌딩|||210202
동아화성||||코스닥기업|055-313-1800|경남 김해시 유하로 154-9||||||||동아화성||||210202
동양에스텍||||코스닥기업|042-221-6900|대전광역시 중구 중앙로164번길 20||||||||동양에스텍|(은행동)|||210202
동양이엔피||||코스닥기업|031-236-1511|경기도 평택시 진위면 진위산단로 76||||||||동양이엔피|진위산업단지|||210202
동양텔레콤||||코스닥기업|031-288-3406|경기도 용인시 기흥구 구성로 262-14||||||||동양텔레콤||||210202
동양파일||||코스닥기업|02-3770-3157|충청남도 아산시 염치읍 아산온천로 16-127||||||||동양파일||||210202
동양피엔에프||||코스닥기업|02-2106-8000|서울특별시 금천구 가산디지털1로 88||||||||동양피엔에프|아이티프리미어타워 17층,18층 (가산동)|||210202
동우팜투테이블||||코스닥기업|063-450-2000|전북 군산시 서수면 동군산로 1095||||||||동우팜투테이블||||210202
동운아나텍||||코스닥기업|02-3465-8765|서울특별시 서초구 남부순환로 2351||||||||동운아나텍|아리랑타워 9층|||210202
동원개발||||코스닥기업|051-645-3113|부산광역시 수영구 수영로 754||||||||동원개발|동원빌딩 (민락동,센텀비스타동원)|||210202
동일금속||||코스닥기업|054-333-5501|경북 영천시 금호읍 금호로 6||||||||동일금속||||210202
동일기연||||코스닥기업|031-356-7114|경기도 화성시 남양로930번길 28||||||||동일기연|(북양동)|||210202
동일철강||||코스닥기업|051-316-5341|부산광역시 사상구 가야대로 46||||||||동일철강|(학장동)|||210202
동진쎄미켐||||코스닥기업|032-578-5091|인천광역시 서구 백범로 644||||||||동진쎄미켐|(가좌동)|||210202
동화기업||||코스닥기업|02-2122-0589|인천시 서구 가정로97번길 28||||||||동화기업||||210202
두올산업||||코스닥기업|055-352-4860|경상남도 밀양시 산내면 산내로 670-21||||||||두올산업||||210202
두원중공업||||코스닥기업|02-510-7500|경상남도 사천시 축동면 구해창길 20-7||||||||두원중공업||||210202
듀오백||||코스닥기업|032-816-4814|인천광역시 서구 가재울로32번길 27||||||||듀오백|(가좌동)|||210202
드래곤플라이||||코스닥기업|02-2017-7800|서울특별시 서초구 서초중앙로22길 80||||||||드래곤플라이|(서초동)|||210202
드림라인||||코스닥기업|02-6007-6036|서울특별시 송파구 중대로 135||||||||드림라인|아이티벤처타워 9층|||210202
드림시큐리티||||코스닥기업|02-2233-5523|서울특별시 송파구 중대로8길 8||||||||드림시큐리티|3층,5층,6층,7층 (문정동,서경빌딩)|||210202
드림어스컴퍼니||||코스닥기업|02-3019-1700|서울시 서초구 방배로 18길 5||||||||드림어스컴퍼니|(방배동,아이리버하우스)|||210202
디딤||||코스닥기업|032-819-6870|인천광역시 남동구 논현로46번길 39-24||||||||디딤||||210202
디바이스이엔지||||코스닥기업|041-629-5200|충청남도 아산시 음봉면 음봉로 169||||||||디바이스이엔지||||210202
디스플레이텍||||코스닥기업|031-776-7502|경기도 안성시 공단1로 10||||||||디스플레이텍|(신건지동)|||210202
디아이티||||코스닥기업|031-831-7000|경기도 화성시 정남면 가장로 355-50||||||||디아이티||||210202
디알젬||||코스닥기업|02-869-8566|경기도 광명시 하안로 60||||||||디알젬|광명테크노파크 E동 7층|||210202
디알텍||||코스닥기업|031-779-7400|경기도 성남시 중원구 둔촌대로541번길 29||||||||디알텍|상대원동 3층|||210202
디앤씨미디어||||코스닥기업|02-333-2513|서울특별시 구로구 디지털로26길 111||||||||디앤씨미디어|503호 (구로동,제이앤케이디지털타워)|||210202
디에스케이||||코스닥기업|031-416-9100|경기도 안산시 상록구 안산테콤1길 21||||||||디에스케이|(사사동)|||210202
디에스티||||코스닥기업|031-997-6181|경상남도 창원시 마산회원구 봉암공단9길 26||||||||디에스티|3층|||210202
디에이치피코리아||||코스닥기업|043-239-3303|충북 청원군 오송읍 오송생명6로 50||||||||디에이치피코리아||||210202
디에이테크놀로지||||코스닥기업|031-369-8800|경기도 화성시 비봉면 쌍학길 15||||||||디에이테크놀로지|(쌍학리 250-2)|||210202
디에이피||||코스닥기업|031-677-0005|경기도 안성시 미양면 안성맞춤대로 474-22||||||||디에이피||||210202
디엔에이링크||||코스닥기업|02-3153-1500|서울특별시 서대문구 이화여대길 52||||||||디엔에이링크|이화여자대학교 산학협력관2층 디엔에이링크|||210202
디엔에프||||코스닥기업|042-932-7939|대전시 대덕구 대화로 132번길 142||||||||디엔에프||||210202
디엠티||||코스닥기업|031-420-7500|서울특별시 강남구 언주로 726||||||||디엠티|14층 (논현동,두산빌딩)|||210202
디오||||코스닥기업|051-745-7777|부산시 해운대구 센텀서로 66||||||||디오||||210202
디오스텍||||코스닥기업|031-705-6234|경기도 용인시 처인구 남사면 당하로 113-12||||||||디오스텍||||210202
디이엔티||||코스닥기업|041-529-3456|충남 천안시 동남구 수신면 장산동길 32||||||||디이엔티||||210202
디자인||||코스닥기업|02-868-0246|서울특별시 양천구 국회대로 162||||||||디자인||||210202
디젠스||||코스닥기업|041-906-2100|경기도 시흥시 공단1대로27번길 38||||||||디젠스|(정왕동)|||210202
디지아이||||코스닥기업|031-820-8900|경기도 양주시 청담로 52||||||||디지아이|(주)디지아이|||210202
디지캡||||코스닥기업|02-3477-2101|서울특별시 강서구 마곡중앙8로7길 11||||||||디지캡|D&C CAMPUS|||210202
디지탈옵틱||||코스닥기업|031-777-9361|경기도 화성시 동탄면 동탄산단2길 47||||||||디지탈옵틱|4층|||210202
디지털대성||||코스닥기업|02-2104-8600|서울특별시 서초구 방배로 181||||||||디지털대성|단우빌딩 6층~8층 (방배동)|||210202
디지틀조선||||코스닥기업|02-3701-2114|서울특별시 중구 세종대로21길 52||||||||디지틀조선|(태평로1가)|||210202
디케이디앤아이||||코스닥기업|02-2636-2431|서울특별시 영등포구 여의대로 14||||||||디케이디앤아이|KT빌딩 16층 (여의도동)|||210202
디케이락||||코스닥기업|055-338-0114|경남 김해시 주촌면 골든루트로 129번길 7||||||||디케이락||||210202
디케이앤디||||코스닥기업|031-491-6633|경기도 안산시 단원구 별망로 345||||||||디케이앤디||||210202
디케이티||||코스닥기업|070-4324-3293|인천광역시 부평구 안남로418번길 10||||||||디케이티|5층|||210202
디티앤씨||||코스닥기업|031-321-2664|경기도 용인시 처인구 유림로154번길 42||||||||디티앤씨||||210202
딜리||||코스닥기업|031-860-5500|경기도 동두천시 강변로 702번길 30||||||||딜리||||210202
라온시큐어||||코스닥기업|02-561-4545|서울특별시 강남구 테헤란로 145||||||||라온시큐어|역삼동,우신빌딩 11,12,13층|||210202
라이브플렉스||||코스닥기업|02-3446-4875|서울특별시 강남구 언주로 702||||||||라이브플렉스|8층 (논현동)|||210202
라이온켐텍||||코스닥기업|042-930-3300|대전광역시 대덕구 대덕대로1277번길 36||||||||라이온켐텍|(문평동)|||210202
라이트론||||코스닥기업|042-930-7700|대전시 대덕구 문평동로 68||||||||라이트론||||210202
램테크놀러지||||코스닥기업|031-323-1119|경기도 용인시 처인구 양지면 주북로 285||||||||램테크놀러지||||210202
랩지노믹스||||코스닥기업|031-628-0702|경기도 성남시 분당구 대왕판교로 700||||||||랩지노믹스|(삼평동)|||210202
러셀||||코스닥기업|043-532-8818|충청북도 진천군 문백면 문진로 320-80||||||||러셀||||210202
럭슬||||코스닥기업|031-660-9900|경기도 평택시 산단로 255||||||||럭슬|(칠괴동)|||210202
레고켐바이오||||코스닥기업|042-861-0688|대전시 대덕구 문평서로 8-26||||||||레고켐바이오||||210202
레드로버||||코스닥기업|031-601-7900|서울특별시 강남구 학동로23길 55||||||||레드로버|코데즈빌딩|||210202
레드캡투어||||코스닥기업|02-2001-4563|서울특별시 중구 을지로 100||||||||레드캡투어|파인에비뉴 B동 19층|||210202
레이언스||||코스닥기업|031-8015-6420|경기도 화성시 삼성1로1길 14||||||||레이언스|(석우동)|||210202
로고스바이오||||코스닥기업|031-478-4185|경기도 안양시 동안구 시민대로327번길 28||||||||로고스바이오|(관양동) 2층,3층|||210202
로보로보||||코스닥기업|02-909-5050|서울특별시 강북구 도봉로54길 6||||||||로보로보|로보로보빌딩 (미아동)|||210202
