##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@르노삼성자동차서비스
르노삼성자동차서비스센터|공도정비사업소|||르노삼성자동차서비스|031-653-3007|경기 안성시 공도읍 원승두길 10|경기 안성시 공도읍 승두리 598-92|ESC센터||||||르노삼성자동차서비스센터 공도정비사업소||||160417
르노삼성자동차지정정비코너|반월점|||르노삼성자동차서비스|031-202-9984|경기 화성시 삼성1로 332-9|경기 화성시 반월동 102-9|ESC코너||||||르노삼성자동차지정정비코너 반월점|(반월동)|||160417
르노삼성자동차지정정비코너|백현점|||르노삼성자동차서비스|031-706-5102|경기 성남시 분당구 대왕판교로 397|경기 성남시 분당구 백현동 409|General-ASC코너||||||르노삼성자동차지정정비코너 백현점|(백현동)|||160417
르노삼성자동차지정정비코너|양주점|||르노삼성자동차서비스|031-858-6110|경기 양주시 부흥로1907번길 178|경기 양주시 광사동 279-2|Premium-ASC코너||||||르노삼성자동차지정정비코너 양주점|(광사동)|||160417
르노삼성자동차지정정비코너|인계점|||르노삼성자동차서비스|031-225-8101|경기 수원시 팔달구 권광로134번길 39|경기 수원시 팔달구 인계동 1130-7|Premium-ASC코너||||||르노삼성자동차지정정비코너 인계점|(인계동)|||160417
르노삼성자동차서비스|비사업소|||르노삼성자동차서비스|031-911-9845|경기 고양시 일산서구 법곳길115번길 82-25|경기 고양시 일산서구 법곳동 239-1|ESC센터||||||르노삼성자동차서비스 비사업소|(법곳동)|||160417
르노삼성자동차서비스|중산자동차|||르노삼성자동차서비스|031-977-4733|경기 고양시 일산동구 고봉로531번길 29|경기 고양시 일산동구 성석동 1526-10|General-ASC센터||||||르노삼성자동차서비스 중산자동차|(성석동)|||160417
르노삼성자동차서비스코너|사동점|||르노삼성자동차서비스|031-416-5195|경기 안산시 상록구 선진6길 8|경기 안산시 상록구 사동 1497-1|General-ASC코너||||||르노삼성자동차서비스코너 사동점|2호 (사동);2호|||160417
르노삼성자동차|여주정비센터|||르노삼성자동차서비스|031-884-5802|경기 여주시 영릉로 42|경기 여주시 창동 215-6|General-ASC센터||||||르노삼성자동차 여주정비센터|(창동)|||160417
르노삼성자동차|원천점|||르노삼성자동차서비스|031-216-7878|경기 수원시 영통구 중부대로 396|경기 수원시 영통구 원천동 198-6|General-ASC코너||||||르노삼성자동차 원천점|(원천동)|||160417
르노삼성자동차서비스|별내점|||르노삼성자동차서비스|031-573-3628|경기 남양주시 불암로109번길 39|경기 남양주시 별내동 625-7|General-ASC코너||||||르노삼성자동차서비스 별내점|(별내동)|||160417
르노삼성자동차지정정비센터|마석정비|||르노삼성자동차서비스|031-593-9696|경기 남양주시 화도읍 소래비로 14|경기 남양주시 화도읍 마석우리 105-1|General-ASC센터||||||르노삼성자동차지정정비센터 마석정비||||160417
르노삼성자동차서비스코너|소사점|||르노삼성자동차서비스|032-347-3030|경기 부천시 경인로 365|경기 부천시 소사본동 52|ESC코너||||||르노삼성자동차서비스코너 소사점|(소사본동)|||160417
르노삼성자동차서비스|곡선점|||르노삼성자동차서비스|031-242-9958|경기 수원시 권선구 곡선로49번길 5|경기 수원시 권선구 곡반정동 557-16|General-ASC코너||||||르노삼성자동차서비스 곡선점|-20 (곡반정동)|||160417
르노삼성자동차지정정비코너|이천점|||르노삼성자동차서비스|031-635-5033|경기 이천시 애련정로 105|경기 이천시 창전동 461-22|General-ASC코너||||||르노삼성자동차지정정비코너 이천점|(창전동)|||160417
르노삼성자동차서비스|정비센터|||르노삼성자동차서비스|031-962-3511|경기 고양시 덕양구 마상로114번길 25|경기 고양시 덕양구 주교동 584-1|General-ASC센터||||||르노삼성자동차서비스 정비센터|(주교동)|||160417
르노삼성자동차서비스코너|김포양곡점|||르노삼성자동차서비스|031-985-6122|경기 김포시 양촌읍 양곡로 362|경기 김포시 양촌읍 양곡리 83-2|ESC코너||||||르노삼성자동차서비스코너 김포양곡점||||160417
르노삼성자동차지정정비코너|삼성로점|||르노삼성자동차서비스|031-214-3316|경기 수원시 영통구 삼성로 301|경기 수원시 영통구 원천동 321-3|ESC코너||||||르노삼성자동차지정정비코너 삼성로점|(원천동)|||160417
르노삼성자동차서비스코너|삼미점|||르노삼성자동차서비스|031-377-0052|경기 오산시 북삼미로 189|경기 오산시 외삼미동 289-58|ESC코너||||||르노삼성자동차서비스코너 삼미점|(외삼미동)|||160417
르노삼성자동차서비스코너|소하점|||르노삼성자동차서비스|02-894-1500|경기 광명시 하안로 178|경기 광명시 소하동 49-7|ESC코너||||||르노삼성자동차서비스코너 소하점|(소하동)|||160417
르노삼성자동차서비스코너|금오점|||르노삼성자동차서비스|031-845-3030|경기 의정부시 추동로91번길 20|경기 의정부시 신곡동 756-1|ESC코너||||||르노삼성자동차서비스코너 금오점|(신곡동)|||160417
르노삼성자동차지정정비코너|다산점|||르노삼성자동차서비스|031-555-7030|경기 남양주시 가운로2길 65|경기 남양주시 가운동 679-2|General-ASC코너||||||르노삼성자동차지정정비코너 다산점|(가운동)|||160417
르노삼성자동차|용인정비사업소|||르노삼성자동차서비스|031-322-6833|경기 용인시 처인구 금학로 521|경기 용인시 처인구 마평동 520|ESC센터||||||르노삼성자동차 용인정비사업소|(마평동)|||160417
르노삼성자동차지정정비코너|대야점|||르노삼성자동차서비스|031-312-6150|경기 시흥시 서해안로1661번길 14|경기 시흥시 대야동 289-25|General-ASC코너||||||르노삼성자동차지정정비코너 대야점|(대야동)|||160417
르노삼성자동차서비스|수원정비사업소|||르노삼성자동차서비스|031-268-3333|경기 수원시 장안구 천천로 235|경기 수원시 장안구 이목동 403-1|ESC센터||||||르노삼성자동차서비스 수원정비사업소|(이목동)|||160417
르노삼성자동차|경기광주정비사업소|||르노삼성자동차서비스|031-797-0300|경기 광주시 곤지암읍 경충대로184번길 7-5|경기 광주시 곤지암읍 수양리 281-2|ESC센터||||||르노삼성자동차 경기광주정비사업소||||160417
르노삼성자동차지정정비코너|죽전점|||르노삼성자동차서비스|031-282-9990|경기 용인시 수지구 현암로 133|경기 용인시 수지구 죽전1동 1178-4|Premium-ASC코너||||||르노삼성자동차지정정비코너 죽전점|(죽전동)|||160417
르노삼성자동차서비스|성정왕점|||르노삼성자동차서비스|031-433-8259|경기 시흥시 역전로 27|경기 시흥시 정왕동 1398-3|General-ASC코너||||||르노삼성자동차서비스 성정왕점|(정왕동)|||160417
르노삼성자동차서비스|비사업소|||르노삼성자동차서비스|031-391-0003|경기 군포시 고산로 138|경기 군포시 당정동 447-7|ESC센터||||||르노삼성자동차서비스 비사업소|(당정동)|||160417
르노삼성자동차지정정비코너|유림점|||르노삼성자동차서비스|031-321-8918|경기 용인시 처인구 백옥대로 1289-3|경기 용인시 처인구 유방동 493|General-ASC코너||||||르노삼성자동차지정정비코너 유림점|(유방동)|||160417
르노삼성자동차지정정비센터|포천정비|||르노삼성자동차서비스|031-544-5022|경기 포천시 화합로 305|경기 포천시 동교동 75-1|General-ASC센터||||||르노삼성자동차지정정비센터 포천정비|(동교동)|||160417
르노삼성자동차지정정비센터|파주정비|||르노삼성자동차서비스|031-953-6140~1|경기도 파주시 파주읍 샛봉우재길 20-12|경기 파주시 파주읍 봉암리 443-20|General-ASC센터||||||르노삼성자동차지정정비센터 파주정비||||160417
르노삼성자동차서비스|부천정비센터|||르노삼성자동차서비스|032-678-3727|경기 부천시 오정구 옥산로 293|경기 부천시 오정구 내동 157|Premium-ASC센터||||||르노삼성자동차서비스 부천정비센터|(내동)|||160417
르노삼성자동차지정정비코너|안성점|||르노삼성자동차서비스|031-676-7732|경기 안성시 대덕면 중앙로 63|경기 안성시 대덕면 건지리 347-2|Premium-ASC코너||||||르노삼성자동차지정정비코너 안성점||||160417
르노삼성자동차지정정비코너|안중점|||르노삼성자동차서비스|031-681-8224|경기 평택시 안중읍 서동대로 1466|경기 평택시 안중읍 현화리 640-6|General-ASC코너||||||르노삼성자동차지정정비코너 안중점||||160417
르노삼성자동차지정정비코너|영화점|||르노삼성자동차서비스|031-254-4062|경기 수원시 장안구 팔달로199번길 41-5|경기 수원시 장안구 영화동 425-13|General-ASC코너||||||르노삼성자동차지정정비코너 영화점|(영화동)|||160417
르노삼성자동차지정정비코너|왕곡점|||르노삼성자동차서비스|031-429-9983|경기 의왕시 사천1길 4|경기 의왕시 왕곡동 596-2|General-ASC코너||||||르노삼성자동차지정정비코너 왕곡점|(왕곡동)|||160417
르노삼성자동차지정정비코너|원동점|||르노삼성자동차서비스|031-373-7629|경기 오산시 대원로 50|경기 오산시 원동 766-1|General-ASC코너||||||르노삼성자동차지정정비코너 원동점|(원동)|||160417
르노삼성자동차서비스|경오자동차공업사|||르노삼성자동차서비스|031-372-8556|경기 오산시 오산로 123-23|경기 오산시 오산동 782-1|General-ASC센터||||||르노삼성자동차서비스 경오자동차공업사|(오산동)|||160417
르노삼성자동차서비스|비사업소|||르노삼성자동차서비스|031-726-9800|경기 광주시 오포읍 신현로 60|경기 광주시 오포읍 신현리 696-24|ESC센터||||||르노삼성자동차서비스 비사업소||||160417
르노삼성자동차|남분당정비사업소|||르노삼성자동차서비스|031-262-8855|경기 용인시 기흥구 용구대로2469번길 164|경기 용인시 기흥구 보정동 375-16|ESC센터||||||르노삼성자동차 남분당정비사업소|(보정동)|||160417
르노삼성자동차서비스|영통정비사업소|||르노삼성자동차서비스|031-217-8101|경기 수원시 영통구 매영로 142|경기 수원시 영통구 매탄4동 296-4|ESC센터||||||르노삼성자동차서비스 영통정비사업소|(매탄동)|||160417
르노삼성자동차지정정비코너|안녕점|||르노삼성자동차서비스|031-222-5354|경기 화성시 효행로 472|경기 화성시 안녕동 188-547|General-ASC코너||||||르노삼성자동차지정정비코너 안녕점|(안녕동)|||160417
르노삼성자동차지정정비코너|파주교하점|||르노삼성자동차서비스|031-957-0299|경기 파주시 파주로 584|경기 파주시 교하읍 당하리 230-20|ESC코너||||||르노삼성자동차지정정비코너 파주교하점|(당하동)|||160417
르노삼성자동차지정정비코너|우만점|||르노삼성자동차서비스|031-213-0021|경기 수원시 팔달구 팔달문로130번길 30|경기 수원시 팔달구 우만동 549-6|General-ASC코너||||||르노삼성자동차지정정비코너 우만점|(우만동)|||160417
르노삼성자동차서비스코너|초지점|||르노삼성자동차서비스|031-507-3500|경기 안산시 단원구 원포공원1로 49|경기 안산시 단원구 초지동 743-5|General-ASC코너||||||르노삼성자동차서비스코너 초지점|(초지동);101 ~ 105호|||160417
르노삼성자동차서비스코너|파주금촌점|||르노삼성자동차서비스|031-949-3310|경기 파주시 강천길 88|경기 파주시 금촌동 469-6|ESC코너||||||르노삼성자동차서비스코너 파주금촌점||||160417
르노삼성자동차|안양정비사업소|||르노삼성자동차서비스|031-442-3000|경기 안양시 만안구 만안로 100|경기 안양시 안양6동 538-4|ESC센터||||||르노삼성자동차 안양정비사업소|(안양동)|||160417
르노삼성자동차서비스코너|야탑점|||르노삼성자동차서비스|031-707-3044|경기 성남시 분당구 판교로 475|경기 성남시 분당구 야탑동 532-5|General-ASC코너||||||르노삼성자동차서비스코너 야탑점|굿모닝프라자2차 108호 (야탑동);굿모닝 프라자 108호|||160417
르노삼성자동차|장호원점|||르노삼성자동차서비스|031-642-5757|경기 이천시 장호원읍 서동대로 8780-4|경기 이천시 장호원읍 진암리 561-73|General-ASC코너||||||르노삼성자동차 장호원점||||160417
르노삼성자동차지정정비코너|교문점|||르노삼성자동차서비스|031-553-3334|경기 구리시 아차산로413번길 8|경기 구리시 교문동 404|ESC코너||||||르노삼성자동차지정정비코너 교문점|(교문동)|||160417
르노삼성자동차지정정비코너|영통점|||르노삼성자동차서비스|031-204-3077|경기 수원시 영통구 덕영대로 1493|경기 수원시 영통구 망포동 19-1|Premium-ASC코너||||||르노삼성자동차지정정비코너 영통점|(영통동) (망포동);(영통동)|||160417
