##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롯데슈퍼
롯데슈퍼|고양원흥점|||롯데슈퍼|031-968-6370|경기도 고양시 덕양구 도래울2로 3||||||||롯데슈퍼 고양원흥점|1동 제1|||92102
롯데슈퍼|고양장항점|||롯데슈퍼|031-924-5613|경기도 고양시 일산동구 고봉로 20-5||||||||롯데슈퍼 고양장항점|1층 101호 104호 (장항동,포오스프라자Ⅱ);포오|||92102
롯데슈퍼|고양풍동점|||롯데슈퍼|031-932-9660|경기도 고양시 일산동구 숲속마을로 20||||||||롯데슈퍼 고양풍동점|삼|||92102
롯데슈퍼|고양행신점|||롯데슈퍼|031-971-5602|경기도 고양시 덕양구 충장로 118-35||||||||롯데슈퍼 고양행신점|(행신동,선아빌딩);선아|||92102
롯데슈퍼|관고점|||롯데슈퍼|031-634-5601|경기도 이천시 설봉로19번길 12||||||||롯데슈퍼 관고점|(관고동)|||92102
롯데슈퍼|광명소하점|||롯데슈퍼|02-898-5601|경기도 광명시 하안로 112||||||||롯데슈퍼 광명소하점|신촌프라자,;신촌프라자 주건|||92102
롯데슈퍼|광명점|||롯데슈퍼|02-2687-8792|경기도 광명시 모세로 40||||||||롯데슈퍼 광명점|마상가 제지하층|||92102
롯데슈퍼|광주도평점|||롯데슈퍼|031-764-5608|경기도 광주시 초월읍 현산로 76||||||||롯데슈퍼 광주도평점|(도평리)|||92102
롯데슈퍼|광주점|||롯데슈퍼|031-763-8889|경기도 광주시 태봉로 51||||||||롯데슈퍼 광주점|(태전동);성원프라자 B101|||92102
롯데슈퍼|교문점|||롯데슈퍼|031-569-5602|경기도 구리시 장자대로37번길 61||||||||롯데슈퍼 교문점|덕현상가,;덕현상가|||92102
롯데슈퍼|구리갈매|||롯데슈퍼|031-575-5093|경기도 구리시 경춘북로 252||||||||롯데슈퍼 구리갈매|갈매역아이파|||92102
롯데슈퍼|군포당정점|||롯데슈퍼|031-452-5621|경기도 군포시 고산로151번길 21||||||||롯데슈퍼 군포당정점|103호~107호 (당정동);신세기프|||92102
롯데슈퍼|군포대야점|||롯데슈퍼|031-416-5602|경기도 군포시 대야2로 155||||||||롯데슈퍼 군포대야점|스타파크,;스타파크 제지1|||92102
롯데슈퍼|김포센터|||롯데슈퍼|1688-9600|||||||||롯데슈퍼 김포센터||||92102
롯데슈퍼|김포전원점|||롯데슈퍼|031-985-6284|경기도 김포시 김포한강11로 133||||||||롯데슈퍼 김포전원점|107호~114|||92102
롯데슈퍼|낙양점|||롯데슈퍼|031-853-9716|경기도 의정부시 민락로 388||||||||롯데슈퍼 낙양점|삼도빌딩 101~|||92102
롯데슈퍼|남양주도곡|||롯데슈퍼|031-521-5647|경기도 남양주시 와부읍 덕소로 238||||||||롯데슈퍼 남양주도곡|인덕빌딩지상1층전체,지하1층일부 (도곡리);인덕빌딩 1층|||92102
롯데슈퍼|남양주마석|||롯데슈퍼|031-595-5614|경기도 남양주시 화도읍 마석로 84||||||||롯데슈퍼 남양주마석|(마석우리)|||92102
롯데슈퍼|남양주별내|||롯데슈퍼|031-574-1606|경기도 남양주시 순화궁로 357||||||||롯데슈퍼 남양주별내|화성프라자|||92102
롯데슈퍼|남양주진접|||롯데슈퍼|031-571-5601|경기도 남양주시 진접읍 광릉내로 17-1||||||||롯데슈퍼 남양주진접|외3필지 (부평리);1층 나|||92102
롯데슈퍼|남양주청학|||롯데슈퍼|031-848-7560|경기도 남양주시 청학로중앙길 41||||||||롯데슈퍼 남양주청학||||92102
롯데슈퍼|남양주호평|||롯데슈퍼|031-595-0720|경기도 남양주시 천마산로 2||||||||롯데슈퍼 남양주호평|(호평동)|||92102
롯데슈퍼|내손점|||롯데슈퍼|031-426-9800|경기도 의왕시 평의길 34||||||||롯데슈퍼 내손점|(내손동)|||92102
롯데슈퍼|녹양점|||롯데슈퍼|031-875-5601|경기도 의정부시 비우로 111||||||||롯데슈퍼 녹양점|(녹양동);롯데슈퍼녹양|||92102
롯데슈퍼|당수점|||롯데슈퍼|031-415-5603|경기도 수원시 권선구 당진로15번길 50||||||||롯데슈퍼 당수점|외5필지한스프라자지하1층B동101~106 (당수동);한|||92102
롯데슈퍼|대야2점|||롯데슈퍼|031-437-5615|경기도 군포시 대야1로 7||||||||롯데슈퍼 대야2점|(대야미동)|||92102
롯데슈퍼|덕정점|||롯데슈퍼|031-861-5601|경기도 양주시 고암길 208||||||||롯데슈퍼 덕정점|(고암동);101호~104호,11|||92102
롯데슈퍼|동서울대점|||롯데슈퍼|031-759-9334|경기도 성남시 수정구 복정로 95||||||||롯데슈퍼 동서울대점|(복정동)|||92102
롯데슈퍼|동탄영천점|||롯데슈퍼|031-378-9380|경기도 화성시 지산2길 34-8||||||||롯데슈퍼 동탄영천점|1층 111호|||92102
롯데슈퍼|동탄점|||롯데슈퍼|031-8003-5624|경기도 화성시 10용사로 438||||||||롯데슈퍼 동탄점|,11 (반송동);뉴엘지프라자|||92102
롯데슈퍼|동탄중앙점|||롯데슈퍼|031-8015-9117|경기도 화성시 동탄중심상가1길 28||||||||롯데슈퍼 동탄중앙점||||92102
롯데슈퍼|동탄청계2|||롯데슈퍼|031-378-7626|경기도 화성시 동탄대로시범길 20||||||||롯데슈퍼 동탄청계2|시범한화|||92102
롯데슈퍼|동탄청계점|||롯데슈퍼|031-378-4617|경기도 화성시 동탄대로시범길 276||||||||롯데슈퍼 동탄청계점|참조은|||92102
롯데슈퍼|망포역점|||롯데슈퍼|031-273-9213|경기도 수원시 영통구 영통로 195||||||||롯데슈퍼 망포역점|(망포동);골든스퀘|||92102
롯데슈퍼|모란점|||롯데슈퍼|031-751-5601|경기도 성남시 중원구 성남대로 1129||||||||롯데슈퍼 모란점|(성남동);하나|||92102
롯데슈퍼|민락점|||롯데슈퍼|031-853-9037|경기도 의정부시 용현로105번길 45-7||||||||롯데슈퍼 민락점|(민락동)|||92102
롯데슈퍼|범박점|||롯데슈퍼|032-342-5603|경기도 부천시 소사구 범안로 117||||||||롯데슈퍼 범박점|현대리치모아제지1층 (102,106,105-1) (범박동);현대리치|||92102
롯데슈퍼|보라점|||롯데슈퍼|031-285-9270|경기도 용인시 기흥구 사은로126번길 29||||||||롯데슈퍼 보라점|굿모닝마트 (보라동);한|||92102
롯데슈퍼|부곡점|||롯데슈퍼|031-462-3511|경기도 의왕시 부곡시장4길 7||||||||롯데슈퍼 부곡점||||92102
롯데슈퍼|분당구미점|||롯데슈퍼|031-715-5603|경기도 성남시 분당구 미금로22번길 6||||||||롯데슈퍼 분당구미점|(구미동)|||92102
롯데슈퍼|분당상탑점|||롯데슈퍼|031-8017-5608|경기도 성남시 분당구 야탑로 241||||||||롯데슈퍼 분당상탑점|(야탑동);천궁빌딩|||92102
롯데슈퍼|분당서현점|||롯데슈퍼|031-781-5601|경기도 성남시 분당구 중앙공원로40번길 42||||||||롯데슈퍼 분당서현점||||92102
롯데슈퍼|분당이매점|||롯데슈퍼|031-707-5602|경기도 성남시 분당구 양현로94번길 15||||||||롯데슈퍼 분당이매점|(이매동)|||92102
롯데슈퍼|분당점|||롯데슈퍼|031-704-5601|경기도 성남시 분당구 장안로16번길 14||||||||롯데슈퍼 분당점|(분당동);인|||92102
롯데슈퍼|분당정자점|||롯데슈퍼|031-719-9247|경기도 성남시 분당구 내정로17번길 2||||||||롯데슈퍼 분당정자점|한솔|||92102
롯데슈퍼|산본2동점|||롯데슈퍼|031-393-5601|경기도 군포시 고산로677번길 40||||||||롯데슈퍼 산본2동점|101동 103호 (산본동,대현빌딩);대현빌딩|||92102
롯데슈퍼|상록수점|||롯데슈퍼|031-409-8344|경기도 안산시 상록구 상록수로 34||||||||롯데슈퍼 상록수점|1층 (본오동,상록수아카데미);상록수|||92102
롯데슈퍼|새서울점|||롯데슈퍼|02-507-1574|경기도 과천시 별양상가2로 20||||||||롯데슈퍼 새서울점|(별양동,새서울쇼핑타운);새서울쇼핑|||92102
롯데슈퍼|성남도촌점|||롯데슈퍼|031-758-7620|경기도 성남시 중원구 도촌남로 69||||||||롯데슈퍼 성남도촌점|휴먼시|||92102
롯데슈퍼|성대점|||롯데슈퍼|031-296-5602|경기도 수원시 장안구 율전로101번길 11||||||||롯데슈퍼 성대점|(율전동);광|||92102
롯데슈퍼|세교점|||롯데슈퍼|031-377-5602|경기도 오산시 수청로 188||||||||롯데슈퍼 세교점|롯데슈퍼|||92102
롯데슈퍼|세류역점|||롯데슈퍼|031-239-5601|경기도 수원시 권선구 정조로 385||||||||롯데슈퍼 세류역점|(장지동);제1호 1|||92102
롯데슈퍼|소사점|||롯데슈퍼|032-344-7000|경기도 부천시 소사구 은성로 82||||||||롯데슈퍼 소사점|(소사본동);한신아파|||92102
롯데슈퍼|송내2동점|||롯데슈퍼|032-656-5768|경기도 부천시 소사구 중동로22번길 83||||||||롯데슈퍼 송내2동점|(송내동)|||92102
롯데슈퍼|송내점|||롯데슈퍼|032-614-3111|경기도 부천시 소사구 경인로 71||||||||롯데슈퍼 송내점|롯데슈퍼|||92102
롯데슈퍼|송양점|||롯데슈퍼|031-853-7145|경기도 의정부시 송양로 33||||||||롯데슈퍼 송양점|해동프라자 제1|||92102
롯데슈퍼|송정점|||롯데슈퍼|031-638-5601|경기도 이천시 증신로291번길 82||||||||롯데슈퍼 송정점|(송정동)|||92102
롯데슈퍼|수원경기대|||롯데슈퍼|031-243-5601|경기도 수원시 장안구 광교산로 138||||||||롯데슈퍼 수원경기대|(연무동)|||92102
롯데슈퍼|수원광교점|||롯데슈퍼|031-216-5611|경기도 수원시 영통구 광교중앙로 247||||||||롯데슈퍼 수원광교점|휴먼|||92102
롯데슈퍼|수원구운점|||롯데슈퍼|031-278-5634|경기도 수원시 권선구 일월천로4번길 71||||||||롯데슈퍼 수원구운점|(구운동)|||92102
롯데슈퍼|수원금곡점|||롯데슈퍼|031-278-5609|경기도 수원시 권선구 금곡로73번길 71||||||||롯데슈퍼 수원금곡점|금곡엘지아파트,;LG|||92102
롯데슈퍼|수원망포점|||롯데슈퍼|031-273-5601|경기도 수원시 영통구 영통로154번길 106||||||||롯데슈퍼 수원망포점|(망포동)|||92102
롯데슈퍼|수원세류점|||롯데슈퍼|031-898-5602|경기도 수원시 권선구 권선로 548||||||||롯데슈퍼 수원세류점|,325-9 (세류동)|||92102
롯데슈퍼|수원천천점|||롯데슈퍼|031-291-5601|경기도 수원시 장안구 일월로66번길 23||||||||롯데슈퍼 수원천천점|,7 (천천동)|||92102
롯데슈퍼|수원화서점|||롯데슈퍼|031-292-5603|경기도 수원시 팔달구 정자천로14번길 56||||||||롯데슈퍼 수원화서점|101호 (화서동,성보빌딩)|||92102
롯데슈퍼|수지점1|||롯데슈퍼|031-276-5603|경기도 용인시 수지구 수지로 62||||||||롯데슈퍼 수지점1|(상현동);1층|||92102
롯데슈퍼|수지점2|||롯데슈퍼|031-262-3855|경기도 용인시 수지구 진산로 24||||||||롯데슈퍼 수지점2|수지성원|||92102
롯데슈퍼|수진점|||롯데슈퍼|031-752-5601|경기도 성남시 수정구 산성대로 95||||||||롯데슈퍼 수진점|써미트|||92102
롯데슈퍼|시흥능곡점|||롯데슈퍼|031-315-7420|경기도 시흥시 장현능곡로 198||||||||롯데슈퍼 시흥능곡점|동도프라자|||92102
롯데슈퍼|시흥센터|||롯데슈퍼|1688-9600|||||||||롯데슈퍼 시흥센터||||92102
롯데슈퍼|시흥은행점|||롯데슈퍼|031-312-5601|경기도 시흥시 시흥대로1074번길 5||||||||롯데슈퍼 시흥은행점|외3필지 105호 (은행동,스페이스타워);스페이|||92102
롯데슈퍼|시흥장곡점|||롯데슈퍼|031-311-5601|경기도 시흥시 장곡로53번길 12||||||||롯데슈퍼 시흥장곡점|주상가 B10|||92102
롯데슈퍼|시흥조남점|||롯데슈퍼|031-481-8352|경기도 시흥시 목감중앙로 47||||||||롯데슈퍼 시흥조남점|골든프라자|||92102
롯데슈퍼|신갈2점|||롯데슈퍼|031-284-5610|경기도 용인시 기흥구 새천년로16번길 3-6||||||||롯데슈퍼 신갈2점|(신갈동)|||92102
롯데슈퍼|신갈점|||롯데슈퍼|031-283-5601|경기도 용인시 기흥구 신구로53번길 10-1||||||||롯데슈퍼 신갈점|(신갈동)|||92102
롯데슈퍼|신곡점|||롯데슈퍼|031-843-3584|경기도 의정부시 동일로 583||||||||롯데슈퍼 신곡점|(신곡동)|||92102
롯데슈퍼|안산고잔점|||롯데슈퍼|031-481-9461|경기도 안산시 단원구 광덕서로 44||||||||롯데슈퍼 안산고잔점|이노프라자,;이노프|||92102
롯데슈퍼|안산본오점|||롯데슈퍼|031-502-1895|경기도 안산시 상록구 샘골로 158||||||||롯데슈퍼 안산본오점|(본오동);제1층|||92102
롯데슈퍼|안산부곡점|||롯데슈퍼|031-419-5615|경기도 안산시 상록구 태마당로 13||||||||롯데슈퍼 안산부곡점|12번지 (부곡동)|||92102
롯데슈퍼|안산와동점|||롯데슈퍼|031-487-5650|경기도 안산시 단원구 와동로1길 8||||||||롯데슈퍼 안산와동점|(와동)|||92102
롯데슈퍼|안산점|||롯데슈퍼|031-480-5619|경기도 안산시 단원구 당곡2로 23||||||||롯데슈퍼 안산점|(고잔동);종합쇼핑|||92102
롯데슈퍼|안양비산점|||롯데슈퍼|031-382-5603|경기도 안양시 동안구 동안로 271||||||||롯데슈퍼 안양비산점|상가 106호 (비산동,삼호뉴타운아파트);뉴타운상|||92102
롯데슈퍼|안양점|||롯데슈퍼|031-464-5600|경기도 안양시 만안구 안양로329번길 108||||||||롯데슈퍼 안양점|1층 (안양동,안양월드프라자)|||92102
롯데슈퍼|안양평촌점|||롯데슈퍼|031-476-9905|경기도 안양시 동안구 귀인로190번길 39-17||||||||롯데슈퍼 안양평촌점|(평촌동);제|||92102
롯데슈퍼|안중점|||롯데슈퍼|031-686-5601|경기도 평택시 안중읍 안중믿음길 50-6||||||||롯데슈퍼 안중점|,333,322-5 (현화리)|||92102
롯데슈퍼|야탑점|||롯데슈퍼|031-702-5602|경기도 성남시 분당구 장미로 139||||||||롯데슈퍼 야탑점|(야탑동);매화마을|||92102
롯데슈퍼|양주옥정점|||롯데슈퍼|031-868-9294||경기도 양주시 옥정동 502-1|||||||롯데슈퍼 양주옥정점|제지하1층 제|||92102
롯데슈퍼|언남점|||롯데슈퍼|031-284-5601|경기도 용인시 기흥구 구성로 118||||||||롯데슈퍼 언남점|외 419-2 (언남동)|||92102
롯데슈퍼|영화점|||롯데슈퍼|031-241-5800|경기도 수원시 장안구 수성로 337||||||||롯데슈퍼 영화점|영화점 상가,;영화점|||92102
롯데슈퍼|오남2점|||롯데슈퍼|031-527-2591|경기도 남양주시 오남읍 진건오남로 512||||||||롯데슈퍼 오남2점|(오남리)|||92102
롯데슈퍼|오산점|||롯데슈퍼|031-375-5602|경기도 오산시 대원로15번길 17||||||||롯데슈퍼 오산점|(오산동);롯데슈퍼|||92102
롯데슈퍼|오포점|||롯데슈퍼|031-762-5604|경기도 광주시 오포읍 양벌로 200||||||||롯데슈퍼 오포점|일원 (양벌리)|||92102
롯데슈퍼|와동공원점|||롯데슈퍼|031-487-9106|경기도 안산시 단원구 와동공원로 108||||||||롯데슈퍼 와동공원점|(와동)|||92102
롯데슈퍼|용인동백점|||롯데슈퍼|031-8005-7982|경기도 용인시 기흥구 평촌2로1번길 4-2||||||||롯데슈퍼 용인동백점|1|||92102
롯데슈퍼|용인동천점|||롯데슈퍼|031-262-5601|경기도 용인시 수지구 동천로 69||||||||롯데슈퍼 용인동천점|제1호|||92102
롯데슈퍼|용인성복점|||롯데슈퍼|031-896-5604|경기도 용인시 수지구 성복1로163번길 8||||||||롯데슈퍼 용인성복점|외4필지 (성복동);버|||92102
롯데슈퍼|용인센터|||롯데슈퍼|1688-9600|||||||||롯데슈퍼 용인센터||||92102
롯데슈퍼|용인점|||롯데슈퍼|031-338-5601|경기도 용인시 처인구 백옥대로 1066||||||||롯데슈퍼 용인점|롯데슈퍼센터,;롯데|||92102
롯데슈퍼|용인풍덕천|||롯데슈퍼|031-272-5604|경기도 용인시 수지구 문인로 67||||||||롯데슈퍼 용인풍덕천|풍림상가|||92102
롯데슈퍼|우만1동점|||롯데슈퍼|031-248-9014|경기도 수원시 팔달구 팔달문로131번길 66||||||||롯데슈퍼 우만1동점||||92102
롯데슈퍼|우만2점|||롯데슈퍼|031-248-5604|경기도 수원시 팔달구 팔달문로163번길 49||||||||롯데슈퍼 우만2점|(우만동)|||92102
롯데슈퍼|우만점|||롯데슈퍼|031-216-5603|경기도 수원시 팔달구 중부대로143번길 39||||||||롯데슈퍼 우만점|(우만동)|||92102
롯데슈퍼|운정점|||롯데슈퍼|031-947-2787|경기도 파주시 미래로602번길 10||||||||롯데슈퍼 운정점||||92102
롯데슈퍼|위례동로점|||롯데슈퍼|031-759-9793|경기도 성남시 수정구 위례동로 153||||||||롯데슈퍼 위례동로점|에이플|||92102
롯데슈퍼|위례우남점|||롯데슈퍼|031-759-7273|경기도 성남시 수정구 위례광장로 5||||||||롯데슈퍼 위례우남점|아이파|||92102
롯데슈퍼|위례창곡점|||롯데슈퍼|031-759-8839|경기도 성남시 수정구 위례순환로 130||||||||롯데슈퍼 위례창곡점|아트|||92102
롯데슈퍼|율전점|||롯데슈퍼|031-269-5601|경기도 수원시 장안구 서부로 2161||||||||롯데슈퍼 율전점|,91 (율전동)|||92102
롯데슈퍼|의왕오전점|||롯데슈퍼|031-429-5601|경기도 의왕시 오전로 198||||||||롯데슈퍼 의왕오전점|성원1차이화아파|||92102
롯데슈퍼|의정부점|||롯데슈퍼|031-874-1600|경기도 의정부시 호동로 53||||||||롯데슈퍼 의정부점|외 1필지 (호원동);롯데슈퍼마트|||92102
롯데슈퍼|이천갈산점|||롯데슈퍼|031-637-5603|경기도 이천시 증신로 83||||||||롯데슈퍼 이천갈산점|(갈산동)|||92102
롯데슈퍼|이천점|||롯데슈퍼|031-634-6747|경기도 이천시 부발읍 경충대로 2269||||||||롯데슈퍼 이천점|,-4,산48-6 (신하리);롯데프라자|||92102
롯데슈퍼|인계점|||롯데슈퍼|031-217-5604|경기도 수원시 팔달구 권광로 262||||||||롯데슈퍼 인계점|(인계동)|||92102
롯데슈퍼|일산점|||롯데슈퍼|031-976-5600|경기도 고양시 일산동구 고봉로 250||||||||롯데슈퍼 일산점|제1층|||92102
롯데슈퍼|전곡점|||롯데슈퍼|031-833-6981|경기도 연천군 전곡읍 전곡로 187-1||||||||롯데슈퍼 전곡점|(은대리)|||92102
롯데슈퍼|정자점|||롯데슈퍼|031-246-9093|경기도 수원시 장안구 정자천로 187||||||||롯데슈퍼 정자점|101호 (정자동);롯데프|||92102
롯데슈퍼|중동점|||롯데슈퍼|032-621-7400|경기도 부천시 원미구 신흥로 190-1||||||||롯데슈퍼 중동점|상가 2동 (중동,위브더스테이트아파트);위브더|||92102
롯데슈퍼|지산점|||롯데슈퍼|031-611-5606|경기도 평택시 지산로 114||||||||롯데슈퍼 지산점|(지산동)|||92102
롯데슈퍼|지행점|||롯데슈퍼|031-865-5601|경기도 동두천시 중앙로 130||||||||롯데슈퍼 지행점|(지행동)|||92102
롯데슈퍼|철산점|||롯데슈퍼|02-2612-5601|경기도 광명시 디지털로 24||||||||롯데슈퍼 철산점||||92102
롯데슈퍼|청계점|||롯데슈퍼|031-422-5601|경기도 의왕시 양지편2로 3||||||||롯데슈퍼 청계점|세종프라자 주차빌딩,;세종프라자 주|||92102
롯데슈퍼|탑동2점|||롯데슈퍼|031-292-5616|경기도 수원시 권선구 탑동로 48||||||||롯데슈퍼 탑동2점|외 2필지 (탑동);강서빌딩|||92102
롯데슈퍼|탑동3점|||롯데슈퍼|031-278-9063|경기도 수원시 권선구 서둔로 213||||||||롯데슈퍼 탑동3점||||92102
롯데슈퍼|탑동점|||롯데슈퍼|031-278-5600|경기도 수원시 권선구 금호로 248||||||||롯데슈퍼 탑동점|현대탑월드,;현대탑월|||92102
롯데슈퍼|태안점|||롯데슈퍼|031-224-5607|경기도 화성시 병점1로 216-13||||||||롯데슈퍼 태안점|1층 (병점동,태안프라자);안화동마을우남|||92102
롯데슈퍼|통진점|||롯데슈퍼|031-988-5603|경기도 김포시 통진읍 김포대로 2232||||||||롯데슈퍼 통진점|(마송리)|||92102
롯데슈퍼|파주금촌점|||롯데슈퍼|031-944-5615|경기도 파주시 금빛로 12||||||||롯데슈퍼 파주금촌점|(금촌동)|||92102
롯데슈퍼|파주운정점|||롯데슈퍼|031-957-5605|경기도 파주시 와석순환로 76||||||||롯데슈퍼 파주운정점||||92102
롯데슈퍼|판교점|||롯데슈퍼|031-8017-9646|경기도 성남시 분당구 운중로243번길 10||||||||롯데슈퍼 판교점|주|||92102
롯데슈퍼|평택이충점|||롯데슈퍼|031-667-5734|경기도 평택시 이충로 111||||||||롯데슈퍼 평택이충점|(이충동)|||92102
롯데슈퍼|평택점|||롯데슈퍼|031-652-5601|경기도 평택시 중앙로 168||||||||롯데슈퍼 평택점|(합정동)|||92102
롯데슈퍼|포천일동점|||롯데슈퍼|031-533-5601|경기도 포천시 화동로 1072||||||||롯데슈퍼 포천일동점||||92102
롯데슈퍼|하남창우점|||롯데슈퍼|031-793-5605|경기도 하남시 대청로116번길 59||||||||롯데슈퍼 하남창우점|꿈동산신|||92102
롯데슈퍼|화서3점|||롯데슈퍼|031-257-5601|경기도 수원시 팔달구 동말로25번길 100||||||||롯데슈퍼 화서3점|(화서동)|||92102
롯데슈퍼|화성반월점|||롯데슈퍼|031-203-5601|경기도 화성시 영통로26번길 33||||||||롯데슈퍼 화성반월점|2필지101호|||92102
롯데슈퍼|화성봉담점|||롯데슈퍼|031-296-5617|경기도 화성시 봉담읍 샘마을길 39||||||||롯데슈퍼 화성봉담점|(상리)|||92102
롯데슈퍼|회룡역점|||롯데슈퍼|031-871-9211|경기도 의정부시 외미로 99||||||||롯데슈퍼 회룡역점|회룡역환승주차|||92102
롯데슈퍼|거제상동점|||롯데슈퍼|055-633-7406|경상남도 거제시 상동5길 117-40||||||||롯데슈퍼 거제상동점|상동프라|||92102
롯데슈퍼|김해장유점|||롯데슈퍼|055-328-9461|경상남도 김해시 장유면 계동로23번길 12||||||||롯데슈퍼 김해장유점|(관동리)|||92102
롯데슈퍼|김해진영점|||롯데슈퍼|055-346-7864|경상남도 김해시 진산대로 63-27||||||||롯데슈퍼 김해진영점|주차빌딩|||92102
롯데슈퍼|마산호계점|||롯데슈퍼|055-232-9112|경상남도 창원시 마산회원구 호계본동로 5||||||||롯데슈퍼 마산호계점||||92102
롯데슈퍼|부산신호점|||롯데슈퍼|051-831-8581|부산 강서구 신호산단2로 21||||||||롯데슈퍼 부산신호점|(신호동);101호|||92102
롯데슈퍼|삼천포점|||롯데슈퍼|055-835-8062|경상남도 사천시 주공로 41||||||||롯데슈퍼 삼천포점|(벌리동);롯데슈퍼|||92102
롯데슈퍼|상남점|||롯데슈퍼|055-267-5601|경상남도 창원시 성산구 동산로 122||||||||롯데슈퍼 상남점|스카이웰빙파크,;스카이|||92102
롯데슈퍼|양산가촌2|||롯데슈퍼|055-379-3393|경상남도 양산시 물금로 75||||||||롯데슈퍼 양산가촌2|이지더원 그랜|||92102
롯데슈퍼|양산가촌점|||롯데슈퍼|055-367-7131|경상남도 양산시 청운로 178||||||||롯데슈퍼 양산가촌점|아르누보시티,;아르누보시티|||92102
롯데슈퍼|양산남부점|||롯데슈퍼|055-363-5602|경상남도 양산시 양주로 44||||||||롯데슈퍼 양산남부점|(남부동);롯데슈퍼|||92102
롯데슈퍼|양산소주점|||롯데슈퍼|055-362-5601|경상남도 양산시 소주회야1길 5||||||||롯데슈퍼 양산소주점|,364-3 (소주동)|||92102
롯데슈퍼|진주초전2|||롯데슈퍼|055-763-4904|경상남도 진주시 초북로20번길 30-4||||||||롯데슈퍼 진주초전2|1층상|||92102
롯데슈퍼|진주초전점|||롯데슈퍼|055-763-5626|경상남도 진주시 초전남로 49||||||||롯데슈퍼 진주초전점|,818-5 (초전동)|||92102
롯데슈퍼|함양점|||롯데슈퍼|055-962-5602|경상남도 함양군 함양읍 고운로 85||||||||롯데슈퍼 함양점|(교산리);롯데슈퍼|||92102
롯데슈퍼|합천점|||롯데슈퍼|055-931-5601|경상남도 합천군 합천읍 충효로 39||||||||롯데슈퍼 합천점|외2필지 (합천리)|||92102
롯데슈퍼|경주동천점|||롯데슈퍼|054-742-5603|경상북도 경주시 동천로 70||||||||롯데슈퍼 경주동천점|(동천동)|||92102
롯데슈퍼|경주용황점|||롯데슈퍼|054-777-5965|경상북도 경주시 용황로7길 8||||||||롯데슈퍼 경주용황점|용황 협성휴|||92102
롯데슈퍼|경주점|||롯데슈퍼|054-744-5601|경상북도 경주시 양정로 330||||||||롯데슈퍼 경주점|(용강동)|||92102
롯데슈퍼|구미진평점|||롯데슈퍼|054-476-5630|경상북도 구미시 인동26길 48||||||||롯데슈퍼 구미진평점|(진평동)|||92102
