##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@산후조리원
구세산후조리원||129.023856|35.096738|산후조리원|051-253-5555|부산 서구 구덕로 114||||||||구세산후조리원|(충무동1가)|||30601
군산/미래와/여성||126.7168991|35.9701397|산후조리원|063-441-1170|전북 군산시 문화로 164||||||||군산 미래와 여성|(수송동,미래와여성 산부인과)|||30601
궁/산후조리원/강남||127.0363744|37.5069248|산후조리원|02-555-9550|서울 강남구 언주로107길 35||||||||궁 산후조리원 강남|(역삼동)|||30601
궁/산후조리원/강서||126.8453438|37.5641163|산후조리원|02-2664-3500|서울 강서구 양천로 600||||||||궁 산후조리원 강서|(등촌동,파인블루빌딩)|||30601
궁/산후조리원/구의||127.0881815|37.5407337|산후조리원|02-453-0640|서울 광진구 자양로 192||||||||궁 산후조리원 구의|(구의동,궁 한방산후조리원)|||30601
궁/산후조리원/도곡||127.0344931|37.4893894|산후조리원|02-577-8677|서울 강남구 도곡로6길 13||||||||궁 산후조리원 도곡|(도곡동)|||30601
궁/산후조리원/삼성||127.0650934|37.51642|산후조리원|02-547-5047|서울 강남구 봉은사로111길 13||||||||궁 산후조리원 삼성|(삼성동,마당빌딩)|||30601
궁/산후조리원/상암||126.884894|37.580892|산후조리원|02-306-2617|서울 마포구 월드컵북로 497||||||||궁 산후조리원 상암|(상암동)|||30601
궁/산후조리원/신내||127.0976311|37.6140365|산후조리원|02-3421-5553|서울 중랑구 신내로16길 76||||||||궁 산후조리원 신내|(신내동)|||30601
그녀의/정원/드라마||127.0394659|37.5054054|산후조리원|02-3453-4628|서울 강남구 언주로 303||||||||그녀의 정원 드라마|(역삼동)|||30601
그라티아||127.0801019|37.7961563|산후조리원|031-856-7790|경기 양주시 고읍남로 6-6||||||||그라티아|(광사동)|||30601
그랑베이||||산후조리원|031-427-1725||경기 안양시 동안구 호계동 1003-5|||||||그랑베이||||30601
그레이스||129.1121808|37.5232472|산후조리원|033-532-0050|강원 동해시 천곡로 86-2||||||||그레이스|(천곡동,대륜빌딩)|||30601
그레이스산후조리원||126.7901254|37.6409396|산후조리원|031-901-4000|경기 고양시 일산동구 중앙로 1073||||||||그레이스산후조리원|(백석동)|||30601
그린/산후조리원||126.6865553|37.4962049|산후조리원|032-574-3661|인천 서구 건지로 371||||||||그린 산후조리원|(가좌동)|||30601
그린나래||128.4160598|36.1364374|산후조리원|054-476-8008|경북 구미시 산호대로24길 9-45||||||||그린나래|(옥계동)|||30601
기통맘/산후조리원||127.1263734|37.5078233|산후조리원|02-457-7700|서울 송파구 마천로 4||||||||기통맘 산후조리원|(방이동)|||30601
김란미즈||127.4953928|37.4906926|산후조리원|031-772-2136|경기 양평군 양평읍 시민로 12||||||||김란미즈|(양근리)|||30601
김순선/산후조리원||126.5142279|33.4761111|산후조리원|064-757-5141|제주특별자치도 제주시 오남로 224||||||||김순선 산후조리원|(오라2동)|||30601
김천제일병원/산후조리원||128.1201022|36.1363175|산후조리원|054-420-9700|경북 김천시 신음1길 12||||||||김천제일병원 산후조리원|(신음동,김천제일병원)|||30601
김혜정/달서점||128.5457477|35.8371366|산후조리원|053-656-8575|대구 달서구 구마로 217||||||||김혜정 달서점|(성당동)|||30601
김혜정/수성점||128.620444|35.8545219|산후조리원|053-656-0012|대구 수성구 명덕로 432||||||||김혜정 수성점|(수성동3가)|||30601
나래산후조리원||126.7901254|37.6409396|산후조리원|031-908-6020|경기 고양시 일산동구 중앙로 1072||||||||나래산후조리원|(백석동)|||30601
나래산후조리원||127.1260024|35.8646048|산후조리원|063-241-3522|전북 전주시 덕진구 천마산로 55||||||||나래산후조리원|(송천동2가)|||30601
나리산후조리원||126.7108441|37.6227138|산후조리원|031-986-6301|경기 김포시 중구로 11||||||||나리산후조리원|(북변동)|||30601
나무산후조리원||128.4243375|36.1384303|산후조리원|054-476-1120|경북 구미시 옥계북로 22||||||||나무산후조리원|(옥계동,타워밸리)|||30601
나무정원||127.046548|37.8241564|산후조리원|031-859-1231|경기 양주시 평화로1489번길 19-11||||||||나무정원|(덕계동)|||30601
남정우산후조리원||127.2450517|37.6604995|산후조리원|031-559-9900|경기 남양주시 늘을2로 20||||||||남정우산후조리원|(호평동,CH리베로빌딩)|||30601
노블맘산후조리원||126.9545601|37.3897538|산후조리원|031-386-1300|경기 안양시 동안구 평촌대로211번길 16||||||||노블맘산후조리원|(호계동,삼희월드프라자)|||30601
노블엘르/산후조리원||127.1115675|37.2782967|산후조리원|031-286-1016|경기 용인시 기흥구 구갈로 70||||||||노블엘르 산후조리원|(구갈동,메가타운)|||30601
노원/라테라||127.0648595|37.6574949|산후조리원|02-951-2300|서울 노원구 상계로7길 17||||||||노원 라테라|(상계동)|||30601
노은/산후조리원||127.3267353|36.3790869|산후조리원|042-822-4566|대전 유성구 노은로 178||||||||노은 산후조리원|(지족동,금강프라자)|||30601
누리산후조리원||127.0494029|37.6843273|산후조리원|02-3493-9955|서울 도봉구 도봉로180나길 34||||||||누리산후조리원|(도봉동)|||30601
뉴더퀸/산후조리원||127.0928516|37.508129|산후조리원|02-420-5560|서울 송파구 석촌호수로 284||||||||뉴더퀸 산후조리원|(송파동,현대레이크빌)|||30601
뉴마더맘||126.6709088|37.5066765|산후조리원|032-577-9990|인천 서구 길주로 79||||||||뉴마더맘|(석남동)|||30601
뉴본||129.0024288|35.1053675|산후조리원|051-291-7777|부산 사하구 낙동대로 234||||||||뉴본|(괴정동,조일빌딩)|||30601
뉴연세산후조리원||126.8992674|37.4554606|산후조리원|02-891-1540|서울 금천구 시흥대로71길 41||||||||뉴연세산후조리원|(시흥동,뉴연세 산후조리원)|||30601
늘푸른/산후조리원/관악||126.9579466|37.4915716|산후조리원|02-862-3588|서울 관악구 관악로 217||||||||늘푸른 산후조리원 관악|(봉천동,동진빌딩)|||30601
늘푸른/산후조리원/구로||126.8838584|37.4990653|산후조리원|02-861-3588|서울 구로구 구로중앙로 68||||||||늘푸른 산후조리원 구로|(구로동,신안타워)|||30601
늘푸른/산후조리원/동작||126.9425638|37.5054825|산후조리원|02-814-3588||서울 동작구 상도동 25-1|||||||늘푸른 산후조리원 동작||||30601
다나산후조리원||127.4890319|36.6424341|산후조리원|043-284-3535|충북 청주시 청원구 충청대로 179||||||||다나산후조리원|(주중동,청주다나여성병원)|||30601
다솜/산후조리원||127.2596969|37.4114741|산후조리원|031-798-7374|경기 광주시 광주대로55번길 5||||||||다솜 산후조리원|(경안동)|||30601
다온누리/산후조리원||127.0718957|37.2754129|산후조리원|1566-1641|경기 용인시 기흥구 흥덕2로87번길 18||||||||다온누리 산후조리원|(영덕동,이씨티)|||30601
다온미래||127.0521518|36.7712725|산후조리원|041-549-3582|충남 아산시 배방읍 배방로 26||||||||다온미래|(공수리,다온팰리스)|||30601
다온산후조리원||127.1322854|37.43967|산후조리원|1588-0761|경기 성남시 수정구 제일로 147||||||||다온산후조리원|(수진동,희정빌딩)|||30601
다정/산후조리원||126.7203875|37.4587383|산후조리원|032-471-3582|인천 남동구 호구포로 826||||||||다정 산후조리원|(구월동,다정산부인과)|||30601
닥터마레/산부인과/마레||126.8854894|37.4472973|산후조리원|02-898-3575|경기 광명시 소하로109번길 22||||||||닥터마레 산부인과 마레|(소하동)|||30601
닥터안/아세아||128.5568575|35.876362|산후조리원|053-562-0100|대구 서구 서대구로 49||||||||닥터안 아세아|(내당동,아세아병원)|||30601
대웅한방산후조리원||126.859605|35.1336741|산후조리원|062-682-6000|광주 서구 운천로 12||||||||대웅한방산후조리원|(금호동)|||30601
대자연||128.4320105|36.0909543|산후조리원|054-716-1001|경북 구미시 인동36길 10||||||||대자연|(진평동,영진빌딩)|||30601
더/리움/산후조리원||127.1098561|37.3897865|산후조리원|031-8016-1173|경기 성남시 분당구 판교역로192번길 14-2||||||||더 리움 산후조리원|(삼평동,골드타워)|||30601
더네이쳐/산후조리원||127.0620566|37.0796462|산후조리원|031-668-3579|경기 평택시 지산로 64||||||||더네이쳐 산후조리원|(지산동)|||30601
더드림산후조리원||127.0161805|37.5628266|산후조리원|02-2231-6375||서울 중구 신당동 291-48|||||||더드림산후조리원||||30601
더보솜/산후조리원||126.763709|37.4786153|산후조리원|032-665-7000|경기 부천시 소사구 성주로68번길 32||||||||더보솜 산후조리원|(송내동)|||30601
더블레스/산후조리원||127.0774857|37.6348338|산후조리원|02-949-2223|서울 노원구 노원로 240||||||||더블레스 산후조리원|(하계동,백경빌딩)|||30601
더블유/산후조리원||126.8230955|35.1895951|산후조리원|062-616-9100|광주 광산구 임방울대로 331||||||||더블유 산후조리원|(수완동)|||30601
더블유(W)/산후조리원||127.1195436|37.3201439|산후조리원|031-261-8888|경기 용인시 기흥구 죽전로 2||||||||더블유(W) 산후조리원|(보정동,현타워)|||30601
더와이즈/산후조리원||126.8511761|37.554617|산후조리원|02-2600-5157|서울 강서구 화곡로 188||||||||더와이즈 산후조리원|(화곡동,황세영산부인과병원)|||30601
더원산후조리원||128.8005428|35.1948811|산후조리원|055-323-2701|경남 김해시 번화1로80번길 5||||||||더원산후조리원|(대청동,메카메디칼빌딩)|||30601
더팰리스/산후조리원||127.113324|37.3773436|산후조리원|031-711-6169|경기 성남시 분당구 황새울로200번길 36||||||||더팰리스 산후조리원|(수내동,분당 동부루트빌딩)|||30601
더하기/산후조리원||126.8511761|37.554617|산후조리원|02-1644-3358|서울 강서구 화곡로 191||||||||더하기 산후조리원|(화곡동,R.U휘트니스)|||30601
더한방산후조리원||126.7859443|37.504939|산후조리원|032-675-0011|경기 부천시 원미구 길주로 307||||||||더한방산후조리원|(중동,로얄프라자)|||30601
더홈/산후조리원||126.7859443|37.504939|산후조리원|032-328-3630|경기 부천시 원미구 길주로 251||||||||더홈 산후조리원|(중동,동현빌딩)|||30601
데시미늄/비엠||127.1204332|37.3406045|산후조리원|031-717-8811|경기 성남시 분당구 구미로 191||||||||데시미늄 비엠|(구미동,아산웰빙프라자)|||30601
데이케어/산후조리원||126.9388145|37.3613089|산후조리원|031-398-0721|경기 군포시 산본로 394||||||||데이케어 산후조리원|(산본동,대림프라자)|||30601
도안누리||127.3398706|36.3347471|산후조리원|042-820-2850|대전 유성구 원신흥남로28번길 88||||||||도안누리|(원신흥동)|||30601
동그라미/강서||126.8289527|37.5390049|산후조리원|02-2065-7301|서울 양천구 화곡로 64||||||||동그라미 강서|(신월동)|||30601
동그라미/구리||127.1429742|37.5980837|산후조리원|031-567-0012||경기 구리시 수택동 424-14|||||||동그라미 구리||||30601
동그라미/노원||127.0629311|37.6583031|산후조리원|02-933-0087|서울 노원구 동일로 1323||||||||동그라미 노원|(상계동,하라프라자센타)|||30601
동그라미/녹번||126.9352994|37.6035543|산후조리원|02-388-0900|서울 은평구 통일로 636||||||||동그라미 녹번|(녹번동) 3층|||30601
동그라미/레피리움/목동||126.8712594|37.5256483|산후조리원|02-6491-1001|서울 양천구 오목로 325||||||||동그라미 레피리움 목동|(목동) 6층|||30601
동그라미/레피리움/용산마포||126.9663223|37.5584436|산후조리원|02-6012-1010|서울 중구 중림로 31||||||||동그라미 레피리움 용산마포|(중림동,이화빌딩) 1층|||30601
동그라미/레피리움/장안||127.0706893|37.5814261|산후조리원|02-6085-1110|서울 동대문구 한천로46길 42||||||||동그라미 레피리움 장안|(장안동,예신프라자)|||30601
동그라미/레피리움/행당성수||127.0354448|37.5581317|산후조리원|02-6409-1003|서울 성동구 고산자로6길 40||||||||동그라미 레피리움 행당성수|(행당동,레몬프라자) 6층|||30601
동그라미/미아||127.0195479|37.6262513|산후조리원|02-988-0838|서울 강북구 삼양로 184||||||||동그라미 미아|(미아동,유유빌딩)|||30601
동그라미/별내||127.2165279|37.6360028|산후조리원|031-838-1000|경기 남양주시 별내2로 74||||||||동그라미 별내|(별내동) 제이에스타워 4층|||30601
동그라미/송우포천||127.1444577|37.8273341|산후조리원|031-8080-1004|경기 포천시 소흘읍 솔모루로 55||||||||동그라미 송우포천|(송우리)|||30601
동그라미/수원영통||127.0653595|37.2345763|산후조리원|031-273-6644|경기 화성시 영통로50번길 49||||||||동그라미 수원영통|(반월동,반달마을두산위브)|||30601
동그라미/월계||127.0506124|37.6324739|산후조리원|02-904-8034|서울 노원구 초안산로5길 12||||||||동그라미 월계|(월계동,월계프라자)|||30601
동그라미/은평||126.9080318|37.5765041|산후조리원|02-374-2882|서울 서대문구 응암로 133||||||||동그라미 은평|(북가좌동)|||30601
동그라미/프리미엄/강동명일||127.1411034|37.5374092|산후조리원|02-429-6777|서울 강동구 양재대로 1657-11||||||||동그라미 프리미엄 강동명일|(명일동,대은상가)|||30601
동그라미/프리미엄/안양||126.9213657|37.4158997|산후조리원|031-471-6610|경기 안양시 만안구 예술공원로 153-32||||||||동그라미 프리미엄 안양|(석수동,패미리월드G7)|||30601
동그라미/플러스/강동송파||127.1351779|37.5390124|산후조리원|02-485-2151|서울 강동구 천호대로 1099||||||||동그라미 플러스 강동송파|(천호동,정산타워빌딩)|||30601
동그라미/화정||126.8320376|37.6357436|산후조리원|031-819-1000|경기 고양시 덕양구 화중로 72||||||||동그라미 화정|(화정동,홀인원프라자빌딩)|||30601
동원산후조리원||126.7779931|37.6728487|산후조리원|031-921-1515|경기 고양시 일산동구 일산로 439||||||||동원산후조리원|(정발산동,동원산부인과)|||30601
동탄제일/산후조리원||127.0717703|37.2027981|산후조리원|031-8015-1115|경기 화성시 동탄중앙로 381-7||||||||동탄제일 산후조리원|(석우동)|||30601
동탄제일/프리미엄||127.0719188|37.2244573|산후조리원|031-8015-7911|경기 화성시 삼성1로 138||||||||동탄제일 프리미엄|(석우동)|||30601
두리하나/산후조리원||126.7465048|37.676687|산후조리원|031-924-5800|경기 고양시 일산서구 중앙로 1559||||||||두리하나 산후조리원|(대화동,씨티타워)|||30601
드림맘/산후조리원||127.1956072|37.7171961|산후조리원|031-527-2900|경기 남양주시 진접읍 해밀예당1로 79-3||||||||드림맘 산후조리원|(금곡리)|||30601
디/엘린||127.0657805|37.3173486|산후조리원|031-263-8855|경기 용인시 수지구 성복2로 348||||||||디 엘린|(성복동)|||30601
디어레이나/산후조리원||127.0598683|37.3921795|산후조리원|031-8016-9979|경기 성남시 분당구 하오개로 367||||||||디어레이나 산후조리원|(운중동)|||30601
라렌느산후조리원||127.0928516|37.508129|산후조리원|02-414-3322|서울 송파구 석촌호수로 156||||||||라렌느산후조리원|(삼전동,삼전동썬프라자)|||30601
라마드레||127.0492421|37.5024324|산후조리원|02-555-7166|서울 강남구 선릉로 535||||||||라마드레|(역삼동) 5층|||30601
라벨락산후조리원||127.0928516|37.508129|산후조리원|02-415-7752|서울 송파구 석촌호수로 296||||||||라벨락산후조리원|(송파동,레이크사이드타워)|||30601
라벨메르산후조리원||127.1002813|37.5064288|산후조리원|02-484-3710|서울 송파구 송파대로49길 3||||||||라벨메르산후조리원|(석촌동,중기빌딩)|||30601
라벨베베산후조리원||127.1183748|37.5059065|산후조리원|02-412-8855|서울 송파구 오금로 152||||||||라벨베베산후조리원|(송파동,연세빌딩)|||30601
라벨비||126.9252241|37.6053896|산후조리원|02-386-2822|서울 은평구 진흥로 148||||||||라벨비|(녹번동)|||30601
라보드마망||127.1313538|37.5231922|산후조리원|02-486-3300|서울 강동구 강동대로 143-64||||||||라보드마망|(성내동,태창타워)|||30601
라온/산후조리원||127.4582915|36.3037249|산후조리원|042-286-3575|대전 동구 동구청로 89-2||||||||라온 산후조리원|(가오동)|||30601
라움산후조리원/안산점||126.8281726|37.3074752|산후조리원|031-485-5544|경기 안산시 단원구 광덕1로 195||||||||라움산후조리원 안산점|(고잔동,광장타워)|||30601
라크렘/산후조리원||127.1511241|37.3883658|산후조리원|031-706-9988|경기 성남시 분당구 새마을로 231||||||||라크렘 산후조리원|(율동,율동갤러리)|||30601
로얄사임당/강북점||127.0941165|37.5987063|산후조리원|02-495-7600||서울 중랑구 상봉동 74-46|||||||로얄사임당 강북점||||30601
로얄사임당/봉천점||126.9451687|37.4862105|산후조리원|02-889-0700|서울 관악구 양녕로 46||||||||로얄사임당 봉천점|(봉천동,메카플러스)|||30601
로얄사임당/서울대점||126.9426971|37.4837388|산후조리원|02-873-1112|서울 관악구 남부순환로 1802||||||||로얄사임당 서울대점|(봉천동,관악캠퍼스타워)|||30601
로얄사임당/은평점||126.9182398|37.5916222|산후조리원|02-352-3588|서울 은평구 진흥로13길 2||||||||로얄사임당 은평점|(대조동)|||30601
로얄사임당/인천서구점||126.672389|37.5615291|산후조리원|032-566-3313|인천 서구 승학로 528||||||||로얄사임당 인천서구점|(검암동,아카데미프라자)|||30601
로얄사임당/천왕점||126.887369|37.4954031|산후조리원|02-2688-6200|서울 구로구 천왕로 106||||||||로얄사임당 천왕점|(오류동,골드프라자)|||30601
로즈마리||128.5577855|35.9432018|산후조리원|053-210-7777|대구 북구 팔거천동로 215||||||||로즈마리|(동천동)|||30601
로즈맘||128.4466289|35.8593802|산후조리원|053-592-3575|대구 달성군 다사읍 달구벌대로 874||||||||로즈맘|(죽곡리)|||30601
로즈맘/산후조리원||128.6197194|35.2516798|산후조리원|055-251-5811||경남 창원시 의창구 팔용동 42-1|||||||로즈맘 산후조리원||||30601
로즈메디||129.4298806|35.5084316|산후조리원|052-234-3575|울산 동구 방어진순환도로 747||||||||로즈메디|(전하동)|||30601
루시나/산후조리원||127.0153897|37.5902251|산후조리원|02-922-4652|서울 성북구 보문로 180||||||||루시나 산후조리원|(삼선동4가,삼선동빌딩)|||30601
루시아산후조리원||126.9786162|37.2519981|산후조리원|031-895-8100|경기 수원시 권선구 서부로1596번길 10||||||||루시아산후조리원|(고색동)|||30601
류정선/산후조리원||128.5554311|35.9337616|산후조리원|053-325-2900|대구 북구 팔거천동로 223||||||||류정선 산후조리원|(동천동,수정빌딩)|||30601
르베르쏘||126.8595589|37.520154|산후조리원|02-2647-0100||서울 양천구 신정동 1023-12|||||||르베르쏘||||30601
르베르쏘/광진||127.0897785|37.5402538|산후조리원|02-457-6020||서울 광진구 구의동 223-65|||||||르베르쏘 광진||||30601
르베르쏘/울산||129.2556049|35.5577381|산후조리원|052-247-1600|울산 울주군 범서읍 장검길 3||||||||르베르쏘 울산|(굴화리)|||30601
르베르쏘/의정부||127.0459017|37.7244332|산후조리원|031-836-3001|경기 의정부시 외미로 95||||||||르베르쏘 의정부|(호원동) 7층|||30601
르보아/산후조리원/세종||127.262252|36.479927|산후조리원|044-716-1004|세종특별자치시 한누리대로 165||||||||르보아 산후조리원 세종|(나성동,세종메디피아)|||30601
르보아/산후조리원/울산||129.2977785|35.5323779|산후조리원|052-256-1052|울산 남구 대공원로 241||||||||르보아 산후조리원 울산|(신정동,대공원코오롱파크폴리스)|||30601
르보아/산후조리원/천안||127.1400267|36.8333451|산후조리원|041-567-1052|충남 천안시 서북구 두정로 208||||||||르보아 산후조리원 천안|(두정동)|||30601
리더스/미래퀸||126.8888398|37.5187334|산후조리원|02-3667-3579|서울 영등포구 선유로 59||||||||리더스 미래퀸|(문래동6가,문래 아카데미)|||30601
리베라맘/창원||128.6805781|35.2231966|산후조리원|055-262-9922||경남 창원시 성산구 상남동 78-4|||||||리베라맘 창원||||30601
리안(전/세이레)||127.1275525|37.5486728|산후조리원|02-482-8899|서울 강동구 올림픽로 564||||||||리안(전 세이레)|(성내동)|||30601
리앤아이||126.7289159|37.4050226|산후조리원|032-270-7777|인천 남동구 논고개로 71||||||||리앤아이|(논현동,가산타워)|||30601
리엔나/산후조리원||127.0134123|37.5031812|산후조리원|02-535-3853|서울 서초구 고무래로 22||||||||리엔나 산후조리원|(반포동,쌍동빌딩 서관)|||30601
리즈앤마리안||127.1408261|36.8332521|산후조리원|041-523-6110|충남 천안시 서북구 두정로 202||||||||리즈앤마리안|(두정동,리즈앤마리안클리닉센터)|||30601
린산후조리원||127.0548231|37.5753938|산후조리원|02-2243-5353|서울 동대문구 답십리로 266||||||||린산후조리원|(장안동,파워스빌딩)|||30601
린아미에산후조리원||127.0700931|37.5712476|산후조리원|02-2246-2001|서울 동대문구 장한로 119||||||||린아미에산후조리원|(장안동,장안삼성쉐르빌)|||30601
릴리브||127.0910199|37.7364184|산후조리원|031-851-9222|경기 의정부시 오목로205번길 22||||||||릴리브|(민락동)|||30601
마더웰산후조리원||127.0725136|37.6282795|산후조리원|02-971-0080|서울 노원구 동일로 1055||||||||마더웰산후조리원|(공릉동,산후조리원)|||30601
마드레산후조리원||127.0544333|37.5730358|산후조리원|1599-3270|서울 동대문구 전농로 102||||||||마드레산후조리원|(답십리동,목련빌딩)|||30601
마리나/산후조리원||127.4482368|37.2750438|산후조리원|031-636-0552|경기 이천시 경충대로 2564||||||||마리나 산후조리원|(중리동,마리나산부인과)|||30601
