##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롯데마트
롯데마트|양평점|||롯데마트|02-450-2500|서울 영등포구 선유로 138-0|서울 영등포구 양평동3가 45||10:00~23:00|||||롯데마트 양평점||||90402
롯데마트|금천점|||롯데마트|02-6960-2500|서울 금천구 시흥대로 291-0|서울 금천구 독산동 1155||10:00~23:00|||||롯데마트 금천점||||90402
롯데마트|검단점|||롯데마트|032-560-2500|인천 서구 원당대로 581|인천 서구 마전동 626-7||10:00~23:00|||||롯데마트 검단점|581|||90402
롯데마트|계양점|||롯데마트|032-550-2500|인천 계양구 장제로 822|인천 계양구 계산동 1059-1||10:00~23:00|||||롯데마트 계양점||||90402
롯데마트|부평점|||롯데마트|032-509-2500|인천 부평구 마장로 296|인천 부평구 산곡동 159-52||10:00~23:00|||||롯데마트 부평점|159-52|||90402
롯데마트|부평역점|||롯데마트|032-454-2500|인천 부평구 광장로 16|인천 부평구 부평동 738-1||10:00~23:00|||||롯데마트 부평역점||||90402
롯데마트|삼산점|||롯데마트|032-363-2500|인천 부평구 길주로 623-0|인천 부평구 삼산동 465-1||10:00~23:00|||||롯데마트 삼산점||||90402
롯데마트|연수점|||롯데마트|032-810-2500|인천 연수구 청능대로 87|인천 연수구 청학동 502-4||10:00~23:00|||||롯데마트 연수점||||90402
롯데마트|영종도점|||롯데마트|032-747-2500|인천 중구 흰바위로 51|인천 중구 운서동 2803-2||10:00~22:30|||||롯데마트 영종도점|롯데마트 영종도점|||90402
롯데마트|청라점|||롯데마트|032-590-2500|인천 서구 청라 커넬로 252|인천 서구 경서동 958-1||10:00~23:00|||||롯데마트 청라점||||90402
롯데마트|송도점|||롯데마트|032-222-2500||인천 연수구 송도동 6-11||10:00~23:00|||||롯데마트 송도점||||90402
롯데마트|인천터미널점|||롯데마트|032-242-6000||인천 남구 관교동 롯데마트 인천터미널점 (롯데백화점 지하1층) ||10:30~22:00|||||롯데마트 인천터미널점||||90402
롯데마트|고양점|||롯데마트|031-930-7000|경기 고양시 덕양구 충장로 150|경기 고양시 덕양구 행신3동 941||10:00~23:00|||||롯데마트 고양점||||90402
롯데마트|구리점|||롯데마트|031-569-2500|경기 구리시 동구릉로136번길 37|경기 구리시 인창동 430||10:00~23:00|||||롯데마트 구리점||||90402
롯데마트|권선점|||롯데마트|031-229-7700|경기 수원시 권선구 동수원로 232|경기 수원시 권선구 권선동 1296-5||10:00~23:00|||||롯데마트 권선점||||90402
롯데마트|덕소점|||롯데마트|031-579-7700|경기 남양주시 와부읍 월문천로 33|경기 남양주시 와부읍 덕소리 501-3||10:00~23:00|||||롯데마트 덕소점||||90402
롯데마트|동두천점|||롯데마트|031-830-2500|경기 동두천시 평화로 2169번길 21|경기 동두천시 송내동 551||10:00~23:00|||||롯데마트 동두천점|(송내동)|||90402
롯데마트|마석점|||롯데마트|031-748-2500|경기 남양주시 화도읍 경춘로 1992|경기 남양주시 화도읍 마석우리 255-24||10:00~23:00|||||롯데마트 마석점||||90402
롯데마트|서현점|||롯데마트|031-789-2500|경기 성남시 분당구 황새울로311번길 28-0|경기 성남시 분당구 서현동 275||10:00~23:00|||||롯데마트 서현점|롯데서현주차빌딩|||90402
롯데마트|수지점|||롯데마트|031-266-2500|경기 용인시 기흥구 진산로 116|경기 용인시 기흥구 보정동 266-4||10:00~23:00|||||롯데마트 수지점||||90402
롯데마트|시화점|||롯데마트|031-496-7700|경기 시흥시 마유로238번길 26|경기 시흥시 정왕동 1366-4||10:00~23:00|||||롯데마트 시화점||||90402
롯데마트|시흥점|||롯데마트|031-599-2800|경기 시흥시 비둘기공원7길 38|경기 시흥시 대야동 542||10:00~23:00|||||롯데마트 시흥점||||90402
롯데마트|안산점|||롯데마트|031-508-2500|경기 안산시 상록구 충장로 427|경기 안산시 상록구 성포동 590||10:00~23:00|||||롯데마트 안산점||||90402
롯데마트|안성점|||롯데마트|031-691-2500|경기 안성시 공도읍 서동대로 4478|경기 안성시 공도읍 양기리 306||10:00~23:00|||||롯데마트 안성점||||90402
롯데마트|화정점|||롯데마트|031-947-2500|경기 고양시 덕양구 화중로 66|경기 고양시 덕양구 화정동 982||10:00~23:00|||||롯데마트 화정점||||90402
롯데마트|양주점|||롯데마트|031-870-2500|경기 양주시 평화로 1547|경기 양주시 회정동 351-2||10:00~23:00|||||롯데마트 양주점||||90402
롯데마트|오산점|||롯데마트|031-371-2500|경기 오산시 경기대로 271-0|경기 오산시 오산동 868||10:00~23:00|||||롯데마트 오산점||||90402
롯데마트|의왕점|||롯데마트|031-470-2500|경기 의왕시 계원대학로 7-0|경기 의왕시 내손동 743||10:00~23:00|||||롯데마트 의왕점||||90402
롯데마트|의정부점|||롯데마트|031-850-2500|경기 의정부시 산단로76번길 116-0|경기 의정부시 용현동 527-1||10:00~23:00|||||롯데마트 의정부점|롯데마트|||90402
롯데마트|장암점|||롯데마트|031-849-2500|경기 의정부시 장곡로 224|경기 의정부시 장암동 38-10||10:00~23:00|||||롯데마트 장암점||||90402
롯데마트|김포한강점|||롯데마트|031-8049-2500|경기 김포시 김포한강2로 41-0|경기 김포시 장기동 2031||10:00~23:00|||||롯데마트 김포한강점|장기동. e편한세상 캐널시티|||90402
롯데마트|주엽점|||롯데마트|031-913-2500|경기 고양시 일산서구 중앙로 1496|경기 고양시 일산서구 주엽1동 15||10:00~23:00|||||롯데마트 주엽점||||90402
롯데마트|천천점|||롯데마트|031-240-2500|경기 수원시 장안구 만석로19번길 25-10|경기 수원시 장안구 천천동 525||10:00~23:00|||||롯데마트 천천점|롯데마트|||90402
롯데마트|평택점|||롯데마트|031-8053-2500|경기 평택시 평택5로 30|경기 평택시 합정동 968-1||10:00~23:00|||||롯데마트 평택점|롯데마트 평택점|||90402
롯데마트|영통점|||롯데마트|031-290-4000|경기 수원시 영통구 봉영로 1579|경기 수원시 영통구 영통동 960-1||10:00~23:00|||||롯데마트 영통점||||90402
롯데마트|상록점|||롯데마트|031-8086-0800|경기 안산시 상록구 반석로 8|경기 안산시 상록구 본오동 ||10:00~23:00|||||롯데마트 상록점||||90402
롯데마트|마장휴게소점|||롯데마트|031-662-2500|경기 이천시 마장면 중부고속도로 112|경기 이천시 마장면 목리 산13-32||10:00~20:00|||||롯데마트 마장휴게소점|마장프리미엄휴게소 하행|||90402
롯데마트|판교점|||롯데마트|031-701-2500|경기도 성남시 분당구 대왕판교로 606번길 58|경기 성남시 분당구 삼평동 741||10:00~23:00|||||롯데마트 판교점||||90402
롯데마트|선부점|||롯데마트|031-487-2500|경기 안산시 단원구 달미로 64|경기 안산시 단원구 선부동 1086||10:00~23:00|||||롯데마트 선부점||||90402
롯데마트|신갈점|||롯데마트|031-442-2500|경기도 용인시 기흥구 중부대로 375|경기 용인시 기흥구 신갈동 63||10:00~23:00|||||롯데마트 신갈점|(신갈동)|||90402
롯데마트|수원점|||롯데마트|031-8067-2500|경기도 수원시 권선구 세화로 134|경기 수원시 권선구 서둔동 296-77||10:00~23:00|||||롯데마트 수원점|(서둔동)|||90402
롯데마트|광교점|||롯데마트|031-410-2500|경기 수원시 영통구 센트럴타운로 85-0|경기도 수원시 영통구 이의동 1332||10:00~23:00|||||롯데마트 광교점||||90402
롯데마트|시흥배곧점|||롯데마트|031-299-2500|경기 시흥시 서울대학로278번길 67-0|경기도 시흥시 정왕동 1771-1||10:00~23:00|||||롯데마트 시흥배곧점|정왕동 동원아파트 맞은편|||90402
롯데마트|경기양평점|||롯데마트|031-8079-2500|경기 양평군 양평읍 남북로 76-0|경기 양평군 양평읍 공흥리 468-33||10:00~22:00|||||롯데마트 경기양평점||||90402
롯데마트|이천점|||롯데마트|031-8011-2500||경기 이천시 안흥동 274-1||10:00~23:00|||||롯데마트 이천점||||90402
롯데마트|원주점|||롯데마트|033-749-2500|강원 원주시 봉화로 1|강원 원주시 단계동 1123||10:00~23:00|||||롯데마트 원주점||||90402
롯데마트|춘천점|||롯데마트|033-240-2500|강원 춘천시 방송길 84|강원 춘천시 온의동 6-25||10:00~23:00|||||롯데마트 춘천점||||90402
롯데마트|석사점|||롯데마트|033-260-7700|강원 춘천시 세실로 108|강원 춘천시 석사동 27||10:00~23:00|||||롯데마트 석사점||||90402
롯데마트|마산점|||롯데마트|055-230-2500|경남 창원시 마산합포구 신마산시장길 33|경남 창원시 마산합포구 창포동3가 8-1||10:00~23:00|||||롯데마트 마산점||||90402
롯데마트|삼계점|||롯데마트|055-719-5200|경남 창원시 마산회원구 내서읍 경남대로 927|경남 창원시 마산회원구 내서읍 삼계리 25-2||10:00~23:00|||||롯데마트 삼계점||||90402
롯데마트|시티세븐점|||롯데마트|055-270-5600|경남 창원시 의창구 원이대로 320|경남 창원시 의창구 두대동 333||10:00~23:00|||||롯데마트 시티세븐점||||90402
롯데마트|웅상점|||롯데마트|055-379-2500|경남 양산시 삼호1길 34|경남 양산시 삼호동 1011||10:00~23:00|||||롯데마트 웅상점||||90402
롯데마트|장유점|||롯데마트|055-311-2500|경남 김해시 장유면 번화1로56번길 15|경남 김해시 장유면 대청리 300||10:00~23:00|||||롯데마트 장유점||||90402
롯데마트|진해점|||롯데마트|055-541-2500|경남 창원시 진해구 진해대로 762|경남 창원시 진해구 석동 543-5||10:00~23:00|||||롯데마트 진해점||||90402
롯데마트|창원중앙점|||롯데마트|055-240-2500|경남 창원시 성산구 중앙대로 123|경남 창원시 성산구 중앙동 92||10:00~23:00|||||롯데마트 창원중앙점||||90402
롯데마트|통영점|||롯데마트|055-640-2500|경남 통영시 무전대로 65|경남 통영시 무전동 1069||10:00~23:00|||||롯데마트 통영점||||90402
롯데마트|김해점|||롯데마트|055-632-2500|경상남도 김해시 김해대로 2330|경상남도 김해시 부원동 부원역세권지구 A-1 (부원동 959) ||10:00~23:00|||||롯데마트 김해점|(부원동)|||90402
롯데마트|거제점|||롯데마트|055-641-2500|경상남도 거제시 서간도길 9-9|경남 거제시 옥포동 241-1||10:00~23:00|||||롯데마트 거제점|(옥포동)|||90402
롯데마트|양덕점|||롯데마트|055-243-2500|경상남도 창원시 마산회원구 삼호로 80|경남 창원시 마산회원구 양덕동 222-3||10:00~23:00|||||롯데마트 양덕점||||90402
롯데마트|진주점|||롯데마트|055-790-2500||경남 진주시 충무공동 35||10:00~23:00|||||롯데마트 진주점||||90402
롯데마트|당진점|||롯데마트|041-832-2500|충남 당진시 정안로 20|충남 당진시 원당동 824||10:00~23:00|||||롯데마트 당진점||||90402
롯데마트|서산점|||롯데마트|041-665-2500|충남 서산시 충의로 27|충남 서산시 예천동 508-7||10:00~23:00|||||롯데마트 서산점||||90402
롯데마트|성정점|||롯데마트|041-553-2500|충남 천안시 서북구 성정두정로 1|충남 천안시 서북구 성정동 1486||10:00~23:00|||||롯데마트 성정점||||90402
롯데마트|천안점|||롯데마트|041-585-2500|충남 천안시 서북구 월봉로 95-0|충남 천안시 서북구 쌍용2동 1367||10:00~23:00|||||롯데마트 천안점||||90402
롯데마트|천안아산점|||롯데마트|041-539-2500|충남 아산시 배방읍 광장로 210|충남 아산시 배방읍 장재리 13-1||10:00~23:00|||||롯데마트 천안아산점||||90402
롯데마트|홍성점|||롯데마트|041-339-2500|충남 홍성군 홍성읍 조양로247번길 9|충남 홍성군 홍성읍 고암리 1042||10:00~23:00|||||롯데마트 홍성점||||90402
롯데마트|아산터미널점|||롯데마트|041-537-2500|충남 아산시 번영로 225|충남 아산시 모종동 555-5||10:00~23:00|||||롯데마트 아산터미널점||||90402
롯데마트|노은점|||롯데마트|042-525-2500|대전광역시 유성구 북유성대로 유성대로 206|대전 유성구 하기동 519||10:00~23:00|||||롯데마트 노은점||||90402
롯데마트|대덕점|||롯데마트|042-930-2500|대전 유성구 테크노중앙로 14|대전 유성구 관평동 887||10:00~23:00|||||롯데마트 대덕점||||90402
롯데마트|서대전점|||롯데마트|042-540-2500|대전 유성구 유성대로 26-37|대전 유성구 원내동 33||10:00~23:00|||||롯데마트 서대전점||||90402
롯데마트|상당점|||롯데마트|043-213-2500|충북 청주시 상당구 용암북로160번길 60|충북 청주시 상당구 용암동 2634||10:00~23:00|||||롯데마트 상당점||||90402
롯데마트|제천점|||롯데마트|043-640-2600|충북 제천시 용두대로11길 10|충북 제천시 하소동 77||10:00~22:00|||||롯데마트 제천점||||90402
롯데마트|청주점|||롯데마트|043-236-2500|충북 청주시 흥덕구 풍산로 15|충북 청주시 흥덕구 가경동 1416-2||10:00~23:00|||||롯데마트 청주점||||90402
롯데마트|충주점|||롯데마트|043-841-2500|충북 충주시 봉계1길 49|충북 충주시 칠금동 849||10:00~23:00|||||롯데마트 충주점|충주공용버스터미널|||90402
롯데마트|서청주점|||롯데마트|043-254-2500||충북 청주시 흥덕구 비하동 332-1||10:30~23:00|||||롯데마트 서청주점||||90402
롯데마트|구미점|||롯데마트|054-440-2500|경북 구미시 구미대로22길 11-0|경북 구미시 신평동 465||10:00~23:00|||||롯데마트 구미점||||90402
롯데마트|포항점|||롯데마트|054-222-2500|경북 포항시 남구 지곡로 247-0|경북 포항시 남구 지곡동 481||10:00~23:00|||||롯데마트 포항점||||90402
롯데마트|김천점|||롯데마트|054-748-2500|경북 김천시 시청로 80|경북 김천시 신음동 470||10:00~23:00|||||롯데마트 김천점||||90402
롯데마트|대구율하점|||롯데마트|053-607-2500|대구 동구 안심로 80|대구 동구 율하동 1117||10:00~23:00|||||롯데마트 대구율하점||||90402
롯데마트|칠성점|||롯데마트|053-715-2500|대구 북구 호암로 1-0|대구 북구 칠성동2가 725||10:00~23:00|||||롯데마트 칠성점|롯데마트;롯데마트|||90402
롯데마트|군산점|||롯데마트|063-441-2500|전북 군산시 수송로 185|전북 군산시 수송동 833||10:00~23:00|||||롯데마트 군산점||||90402
롯데마트|덕진점|||롯데마트|063-270-0700|전북 전주시 덕진구 가련산로 26-3|전북 전주시 덕진구 송천동1가 481-4||10:00~22:00|||||롯데마트 덕진점||||90402
롯데마트|익산점|||롯데마트|063-830-2500|전북 익산시 무왕로 1053|전북 익산시 영등동 833-9||10:00~23:00|||||롯데마트 익산점||||90402
롯데마트|송천점|||롯데마트|063-219-2500|전북 전주시 덕진구 송천중앙로 82|전북 전주시 덕진구 송천동1가 281-1||10:00~23:00|||||롯데마트 송천점||||90402
롯데마트|전주점|||롯데마트|063-249-2500|전북 전주시 완산구 우전로 240|전북 전주시 완산구 효자동2가 1234-3||10:00~23:00|||||롯데마트 전주점||||90402
롯데마트|정읍점|||롯데마트|063-570-2500|전북 정읍시 벚꽃로 85|전북 정읍시 농소동 446-1||10:00~23:00|||||롯데마트 정읍점||||90402
롯데마트|남원점|||롯데마트|063-620-2500|전북 남원시 향교동 춘향로 96|전북 남원시 향교동 2-6||10:00~23:00|||||롯데마트 남원점||||90402
롯데마트|상무점|||롯데마트|062-602-2500|광주 서구 시청로 40|광주 서구 치평동 1239||10:00~23:00|||||롯데마트 상무점||||90402
롯데마트|수완점|||롯데마트|062-975-2500|광주 광산구 장신로 98-0|광주 광산구 장덕동 1678||10:00~23:00|||||롯데마트 수완점||||90402
롯데마트|월드컵점|||롯데마트|062-610-2500|광주 서구 금화로 240|광주 서구 풍암동 423-2||10:00~23:00|||||롯데마트 월드컵점|월드컵경기장 內;월드컵경기장 內|||90402
롯데마트|첨단점|||롯데마트|062-962-2500|광주 광산구 첨단강변로99번길 22|광주 광산구 쌍암동 694-3||10:00~23:00|||||롯데마트 첨단점||||90402
롯데마트|나주점|||롯데마트|061-339-3200|전남 나주시 내동길 15|전남 나주시 송월동 1106-7||10:00~23:00|||||롯데마트 나주점|(송월동)|||90402
롯데마트|목포점|||롯데마트|061-280-2500|전남 목포시 원형서로 15|전남 목포시 상동 1134||10:00~23:00|||||롯데마트 목포점||||90402
롯데마트|여수점|||롯데마트|061-640-2500|전남 여수시 국포1로 36|전남 여수시 국동 37-100||10:00~23:00|||||롯데마트 여수점|36 롯데마트|||90402
롯데마트|여천점|||롯데마트|061-650-2500|전남 여수시 무선로 187|전남 여수시 선원동 1268-2||10:00~23:00|||||롯데마트 여천점||||90402
롯데마트|남악점|||롯데마트|061-740-2500|전남 무안군 삼향읍 남악로162번길 80|전남 무안군 삼향읍 남악리 2622||10:00~23:00|||||롯데마트 남악점||||90402
롯데마트|울산점|||롯데마트|052-228-2500|울산 남구 삼산로 74|울산 남구 달동 830-1||10:00~23:00|||||롯데마트 울산점||||90402
롯데마트|진장점|||롯데마트|052-240-2500|울산 북구 진장유통로 64|울산광역시 북구 진장동 283-1||10:00~23:00|||||롯데마트 진장점||||90402
롯데마트|금정점|||롯데마트|051-580-7700|부산 금정구 중앙대로 1731|부산 금정구 부곡동 223-1||10:00~23:00|||||롯데마트 금정점||||90402
롯데마트|동래점|||롯데마트|051-668-2500|부산 동래구 중앙대로 1393|부산 동래구 온천동 502-3||10:00~23:00|||||롯데마트 동래점||||90402
롯데마트|사상점|||롯데마트|051-329-2500|부산 사상구 낙동대로 733|부산 사상구 엄궁동 690||10:00~23:00|||||롯데마트 사상점||||90402
롯데마트|사하점|||롯데마트|051-603-2500|부산 사하구 을숙도대로 610|부산 사하구 장림동 1033-2||10:00~23:00|||||롯데마트 사하점||||90402
롯데마트|부산점|||롯데마트|051-608-2500|부산 부산진구 신천대로 241|부산 부산진구 부암동 257||10:00~23:00|||||롯데마트 부산점||||90402
롯데마트|화명점|||롯데마트|051-604-2500|부산 북구 화명대로 47|부산 북구 화명3동 2273||10:00~23:00|||||롯데마트 화명점|롯데마트|||90402
롯데마트|광복점|||롯데마트|051-441-2500|부산시 중구 중앙대로 2|부산 중구 중앙동7가 20-1||10:30~23:00|||||롯데마트 광복점||||90402
롯데마트|동부산점|||롯데마트|051-922-2500|부산 기장군 기장읍 기장해안로 147|부산 기장군 기장읍 당사리 64||10:00~22:00|||||롯데마트 동부산점||||90402
롯데마트|제주점|||롯데마트|064-798-2500|제주 제주시 연북로 1|제주 제주시 노형동 708||10:00~23:00|||||롯데마트 제주점||||90402
VIC마켓|VIC금천점|||롯데마트|02-809-2500|서울 금천구 두산로 71|서울 금천구 독산동 295-10||10:00~22:00|||||VIC마켓 VIC금천점||||90402
VIC마켓|VIC도봉점|||롯데마트|02-2289-2500|서울 도봉구 마들로 645|서울 도봉구 방학동 717-6||10:00~22:00|||||VIC마켓 VIC도봉점||||90402
VIC마켓|VIC영등포점|||롯데마트|02-2165-2500|서울 영등포구 영중로 125-0|서울 영등포구 영등포동8가 62-1||10:00~22:00|||||VIC마켓 VIC영등포점||||90402
VIC마켓|VIC신영통점|||롯데마트|031-695-2500|경기 화성시 삼성1로 333|경기 화성시 반월동 123-5||10:00~22:00|||||VIC마켓 VIC신영통점||||90402
VIC마켓|VIC킨텍스점|||롯데마트|031-388-2500|경기도 고양시 일산서구 주엽로 79|경기 고양시 일산서구 대화동 1050-171||10:00~22:00|||||VIC마켓 VIC킨텍스점||||90402
토이저러스|구로점|||롯데마트|02-2629-2700|서울특별시 구로구 경인로 482|서울특별시 구로구 구로동 636-89||10:00~23:00|||||토이저러스 구로점||||90402
토이저러스|김포공항점|||롯데마트|02-6116-1600|서울시 강서구 하늘길 38|서울 강서구 방화동 886||10:00~23:00|||||토이저러스 김포공항점||||90402
토이저러스|잠실점|||롯데마트|02-411-8200|서울 송파구 올림픽로 240|서울 송파구 잠실동 40-1||10:00~22:00|||||토이저러스 잠실점|롯데마트 잠실점|||90402
토이저러스|중계점|||롯데마트|02-2092-2649|서울 노원구 노원로 330|서울 노원구 중계동 361||10:00~23:00|||||토이저러스 중계점||||90402
토이저러스|청량리점|||롯데마트|02-3706-4911|서울 동대문구 왕산로 214|서울 동대문구 전농동 591-53||10:00~23:00|||||토이저러스 청량리점||||90402
토이저러스|은평점|||롯데마트|02-2097-2600||서울 은평구 진관동 79-15||10:00~23:00|||||토이저러스 은평점||||90402
토이저러스|계양점|||롯데마트|032-550-2575|인천 계양구 장제로 822|인천 계양구 계산동 1059-1||10:00~23:00|||||토이저러스 계양점||||90402
토이저러스|삼산점|||롯데마트|032-363-2700|인천 부평구 길주로 623-0|인천 부평구 삼산동 465-1||10:00~23:00|||||토이저러스 삼산점||||90402
토이저러스|청라점|||롯데마트|032-590-2500|인천 서구 청라 커넬로 252|인천 서구 경서동 958-1||10:00~23:00|||||토이저러스 청라점||||90402
토이저러스|송도점|||롯데마트|032-222-2500||인천 연수구 송도동 6-11||10:00~23:00|||||토이저러스 송도점||||90402
토이저러스|구리점|||롯데마트|031-569-2700|경기 구리시 동구릉로136번길 37|경기 구리시 인창동 430||10:00~23:00|||||토이저러스 구리점||||90402
토이저러스|권선점|||롯데마트|031-229-7763|경기 수원시 권선구 동수원로 232|경기 수원시 권선구 권선동 1296-5||10:00~22:00|||||토이저러스 권선점||||90402
토이저러스|수지점|||롯데마트|031-266-2500|경기 용인시 기흥구 진산로 116|경기 용인시 기흥구 보정동 266-4||10:00~23:00|||||토이저러스 수지점||||90402
토이저러스|안산점|||롯데마트|031-412-8881|경기 안산시 상록구 충장로 427|경기 안산시 상록구 성포동 590||10:00~23:00|||||토이저러스 안산점||||90402
토이저러스|김포한강점|||롯데마트|031-8049-2500|경기 김포시 김포한강2로 41-0|경기 김포시 장기동 2031||10:00~23:00|||||토이저러스 김포한강점|장기동. e편한세상 캐널시티|||90402
토이저러스|영통점|||롯데마트|031-290-4007|경기 수원시 영통구 봉영로 1579|경기 수원시 영통구 영통동 960-1||10:00~23:00|||||토이저러스 영통점||||90402
토이저러스|VIC킨텍스점|||롯데마트|031-8071-8350|경기도 고양시 일산서구 주엽로 79|경기 고양시 일산서구 대화동 1050-171||10:00~22:00|||||토이저러스 VIC킨텍스점||||90402
토이저러스|수원점|||롯데마트|031-8066-2106|경기도 수원시 권선구 세화로 134|경기 수원시 권선구 서둔동 296-77||10:00~23:00|||||토이저러스 수원점|(서둔동)|||90402
토이저러스|광교점|||롯데마트|031-228-1700|경기 수원시 영통구 센트럴타운로 85-0|경기도 수원시 영통구 이의동 1332||10:00~23:00|||||토이저러스 광교점||||90402
토이저러스|창원중앙점|||롯데마트|055-240-2701|경남 창원시 성산구 중앙대로 123|경남 창원시 성산구 중앙동 92||10:00~23:00|||||토이저러스 창원중앙점||||90402
토이저러스|김해점|||롯데마트|055-340-2900|경상남도 김해시 김해대로 2330|경상남도 김해시 부원동 부원역세권지구 A-1 (부원동 959) ||10:00~23:00|||||토이저러스 김해점|(부원동)|||90402
토이저러스|양덕점|||롯데마트|055-259-2850|경상남도 창원시 마산회원구 삼호로 80|경남 창원시 마산회원구 양덕동 222-3||10:00~23:00|||||토이저러스 양덕점||||90402
토이저러스|천안아산점|||롯데마트|041-539-8900|충남 아산시 배방읍 광장로 210|충남 아산시 배방읍 장재리 13-1||11:00~22:00|||||토이저러스 천안아산점||||90402
토이저러스|대덕점|||롯데마트|042-930-2600|대전 유성구 테크노중앙로 14|대전 유성구 관평동 887||10:00~23:00|||||토이저러스 대덕점||||90402
토이저러스|서청주점|||롯데마트|043-254-2500||충북 청주시 흥덕구 비하동 332-1||10:30~23:00|||||토이저러스 서청주점||||90402
토이저러스|구미점|||롯데마트|054-440-2423|경북 구미시 구미대로22길 11-0|경북 구미시 신평동 465||10:00~23:00|||||토이저러스 구미점||||90402
토이저러스|대구율하점|||롯데마트|053-607-2700|대구 동구 안심로 80|대구 동구 율하동 1117||11:00~22:00|||||토이저러스 대구율하점||||90402
토이저러스|전주점|||롯데마트|063-249-2560|전북 전주시 완산구 우전로 240|전북 전주시 완산구 효자동2가 1234-3||10:00~23:00|||||토이저러스 전주점||||90402
토이저러스|수완점|||롯데마트|062-975-2700|광주 광산구 장신로 98-0|광주 광산구 장덕동 1678||11:00~22:00|||||토이저러스 수완점||||90402
토이저러스|진장점|||롯데마트|052-240-2550|울산 북구 진장유통로 64|울산광역시 북구 진장동 283-1||10:00~23:00|||||토이저러스 진장점||||90402
토이저러스|동래점|||롯데마트|051-668-2700|부산 동래구 중앙대로 1393|부산 동래구 온천동 502-3||10:00~22:00|||||토이저러스 동래점||||90402
토이저러스|사상점|||롯데마트|051-329-2500|부산 사상구 낙동대로 733|부산 사상구 엄궁동 690||10:00~23:00|||||토이저러스 사상점||||90402
토이저러스|부산점|||롯데마트|051-608-2600|부산 부산진구 신천대로 241|부산 부산진구 부암동 257||10:00~23:00|||||토이저러스 부산점||||90402
토이저러스|광복점|||롯데마트|051-250-2600|부산시 중구 중앙대로 2|부산 중구 중앙동7가 20-1||10:30~23:00|||||토이저러스 광복점||||90402
토이저러스|제주점|||롯데마트|064-798-2600|제주 제주시 연북로 1|제주 제주시 노형동 708||10:00~22:00|||||토이저러스 제주점||||90402
롯데문화센터|구로점|||롯데마트|02-2639-2599|서울특별시 구로구 경인로 482|서울특별시 구로구 구로동 636-89||10:00~18:00|||||롯데문화센터 구로점||||90402
롯데문화센터|송파점|||롯데마트|02-2006-7800|서울 송파구 중대로 80|서울 송파구 문정동 150-2||10:00~19:30|||||롯데문화센터 송파점||||90402
롯데문화센터|VIC영등포점|||롯데마트|02-2165-2500|서울 영등포구 영중로 125-0|서울 영등포구 영등포동8가 62-1||10:00~22:00|||||롯데문화센터 VIC영등포점||||90402
